代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12415643.969999998807907
真實報酬,2415643.969999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11859.604171209983178
風險,257463.389248007384595
起點值,0.046063264395956
找到最佳解世代,1639
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),KO[14](2),MCD[15](7),UNH[23](4),
FS( 231 ),3450809.699999999720603,2954157.010000000242144,3029216.479999999981374,3336147.850000000093132,12770331.039999999105930
FS( 232 ),3405592.039999999571592,2979528.909999999683350,3016870.319999999832362,3353082.490000000223517,12755073.759999999776483
FS( 233 ),3371523.939999999944121,2979528.909999999683350,3005525.199999999720603,3329091.750000000000000,12685669.799999998882413
FS( 234 ),3310201.359999999869615,2949082.629999999888241,2972824.560000000055879,3226778.299999999813735,12458886.850000001490116
FS( 235 ),3360374.379999999888241,2936396.680000000167638,2963815.199999999720603,3225367.080000000074506,12485953.339999999850988
FS( 236 ),3397539.580000000074506,2993906.319999999832362,2979498.160000000149012,3331208.580000000074506,12702152.640000000596046
FS( 237 ),3399397.839999999850988,3009975.190000000409782,2956807.919999999925494,3330502.970000000204891,12696683.919999999925494
FS( 238 ),3340552.939999999944121,2933859.489999999757856,2837350.479999999981374,3211960.490000000223517,12323723.400000000372529
FS( 239 ),3362232.640000000130385,2933859.489999999757856,2876057.359999999869615,3264175.629999999888241,12436325.120000001043081
FS( 240 ),3403733.780000000260770,2922019.270000000018626,2873721.600000000093132,3386246.160000000149012,12585720.810000000521541
FS( 241 ),3444615.500000000000000,2950774.090000000316650,2894743.439999999944121,3434933.250000000000000,12725066.279999999329448
FS( 242 ),3477444.759999999776483,3003209.350000000093132,2938789.199999999720603,3566176.709999999962747,12985620.019999999552965
FS( 243 ),3543722.699999999720603,3012512.379999999888241,2946130.160000000149012,3581700.129999999888241,13084065.370000001043081
FS( 244 ),3642210.479999999515712,2980374.640000000130385,2963481.520000000018626,3524545.720000000204891,13110612.359999999403954
FS( 245 ),3658315.399999999906868,2987986.209999999962747,2980165.520000000018626,3516078.399999999906868,13142545.529999999329448
FS( 246 ),3647165.839999999850988,2929630.840000000316650,2920436.799999999813735,3387657.379999999888241,12884890.859999999403954
FS( 247 ),3555491.679999999701977,2867892.549999999813735,2869383.759999999776483,3322741.260000000242144,12615509.249999998137355
FS( 248 ),3577790.799999999813735,2850977.950000000186265,2915431.600000000093132,3358727.370000000111759,12702927.719999998807907
FS( 249 ),3567880.080000000074506,2907641.860000000335276,2981166.560000000055879,3444106.180000000167638,12900794.679999999701977
FS( 250 ),3533192.560000000055879,2941471.060000000055879,2994513.759999999776483,3489265.220000000204891,12958442.599999999627471
FS( 251 ),3513371.119999999646097,2878041.310000000055879,2937454.479999999981374,3361549.810000000055879,12690416.720000000670552
FS( 252 ),3456384.479999999515712,2920327.810000000055879,2962480.479999999981374,3286755.149999999906868,12625947.919999999925494
FS( 253 ),3374001.619999999646097,2856898.060000000055879,2930447.199999999720603,3254297.089999999850988,12415643.969999998807907
