代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12721292.820000000298023
真實報酬,2721292.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10217.109476302290204
風險,165228.850893850787543
起點值,0.061836110467573
找到最佳解世代,2050
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CVX[5](6),INTC[11](7),JPM[13](10),MRK[17](4),MSFT[18](13),PG[21](16),UNH[23](2),V[25](15),
FS( 135 ),1469711.680000000167638,1458676.129999999888241,1407299.300000000046566,1509413.959999999962747,1336295.990000000223517,1327093.879999999888241,1372762.350000000093132,1362037.429999999934807,11243290.720000000670552
FS( 136 ),1483933.440000000176951,1485017.889999999897555,1415956.040000000037253,1526321.760000000009313,1356265.310000000055879,1358023.760000000009313,1392383.780000000027940,1389502.510000000009313,11407404.489999998360872
FS( 137 ),1443009.600000000325963,1465673.159999999916181,1404765.619999999878928,1492989.239999999990687,1343903.350000000093132,1339558.159999999916181,1376152.439999999944121,1371415.750000000000000,11237467.320000000298023
FS( 138 ),1428352.480000000214204,1466084.749999999767169,1402020.800000000046566,1481878.400000000139698,1337484.640000000130385,1338942.640000000130385,1373481.459999999962747,1364716.949999999953434,11192962.120000001043081
FS( 139 ),1444025.440000000176951,1504774.209999999962747,1407088.159999999916181,1506757.020000000018626,1359593.530000000027940,1355100.040000000037253,1393205.620000000111759,1373425.389999999897555,11343969.410000000149012
FS( 140 ),1419935.520000000251457,1550460.699999999953434,1389774.679999999701977,1504341.620000000111759,1361019.910000000149012,1354946.159999999916181,1422586.400000000139698,1374430.209999999729916,11377495.199999999254942
FS( 141 ),1422837.920000000158325,1529469.609999999869615,1397586.859999999869615,1481395.320000000065193,1353412.550000000046566,1359870.320000000065193,1414470.730000000214204,1381798.889999999897555,11340842.200000001117587
FS( 142 ),1417903.840000000316650,1528646.429999999934807,1403287.639999999897555,1496129.260000000009313,1350559.790000000270084,1363101.800000000046566,1412313.400000000139698,1381296.479999999981374,11353238.640000000596046
FS( 143 ),1445912.000000000000000,1541405.719999999972060,1411310.959999999962747,1514486.300000000046566,1373144.140000000130385,1351099.159999999916181,1437379.520000000018626,1393689.260000000009313,11468427.059999998658895
FS( 144 ),1450991.200000000186265,1545521.619999999878928,1422923.659999999916181,1522215.580000000074506,1374570.520000000251457,1369410.879999999888241,1448988.010000000009313,1396033.839999999850988,11530655.310000000521541
FS( 145 ),1439962.080000000074506,1530704.379999999888241,1419967.699999999953434,1520766.340000000083819,1365299.050000000046566,1350483.640000000130385,1443543.320000000065193,1382301.300000000046566,11453027.810000000521541
FS( 146 ),1433576.800000000279397,1508478.519999999785796,1388930.119999999878928,1501201.599999999860302,1352699.360000000102445,1351868.559999999823049,1435427.650000000139698,1370075.989999999990687,11342258.600000001490116
FS( 147 ),1436479.200000000186265,1530292.789999999804422,1401176.239999999990687,1511346.280000000027940,1377661.010000000242144,1359716.439999999944121,1446419.760000000009313,1375937.439999999944121,11439029.160000000149012
FS( 148 ),1482482.240000000223517,1540994.129999999888241,1408566.139999999897555,1528978.699999999953434,1379562.850000000093132,1376643.239999999990687,1442516.020000000018626,1389502.510000000009313,11549245.830000000074506
FS( 149 ),1469711.680000000167638,1536055.050000000046566,1386185.300000000046566,1495404.639999999897555,1364585.860000000102445,1357716.000000000000000,1421045.449999999953434,1371918.159999999916181,11402622.140000000596046
FS( 150 ),1493656.480000000214204,1553753.419999999925494,1406032.459999999962747,1507481.639999999897555,1369340.460000000195578,1381105.760000000009313,1438304.090000000083819,1384980.820000000065193,11534655.130000000819564
FS( 151 ),1486835.840000000316650,1550049.109999999869615,1404343.340000000083819,1510138.580000000074506,1365061.320000000298023,1364332.839999999850988,1422791.860000000102445,1387660.339999999850988,11491213.230000000447035
FS( 152 ),1469711.680000000167638,1545110.029999999795109,1406243.599999999860302,1508689.340000000083819,1360782.180000000167638,1359562.559999999823049,1419401.770000000018626,1385483.229999999981374,11454984.390000000596046
FS( 153 ),1483643.200000000186265,1563631.580000000074506,1429257.859999999869615,1516901.699999999953434,1370291.380000000121072,1367256.559999999823049,1413648.890000000130385,1395866.369999999878928,11540497.540000000968575
FS( 154 ),1482917.600000000325963,1566924.300000000046566,1433058.380000000121072,1513520.139999999897555,1372668.680000000167638,1372950.119999999878928,1402040.400000000139698,1396033.839999999850988,11540113.459999999031425
FS( 155 ),1484223.680000000167638,1568159.070000000065193,1438125.739999999990687,1516177.080000000074506,1374095.060000000055879,1384952.760000000009313,1403992.270000000018626,1387995.279999999795109,11557720.939999999478459
FS( 156 ),1509039.200000000186265,1564866.350000000093132,1449316.159999999916181,1543471.099999999860302,1379800.580000000074506,1370488.040000000037253,1418579.930000000167638,1392014.560000000055879,11627575.919999999925494
FS( 157 ),1495397.920000000158325,1533997.100000000093132,1442348.540000000037253,1495887.719999999972060,1359593.530000000027940,1362486.280000000027940,1384370.840000000083819,1373927.800000000046566,11448009.730000000447035
FS( 158 ),1482482.240000000223517,1528234.840000000083819,1438548.019999999785796,1489366.139999999897555,1357691.690000000176951,1362947.919999999925494,1387966.390000000130385,1377444.669999999925494,11424681.910000000149012
FS( 159 ),1462745.920000000158325,1521649.399999999906868,1430313.559999999823049,1509897.040000000037253,1353174.820000000298023,1357869.879999999888241,1378617.959999999962747,1371080.810000000055879,11385349.390000002458692
FS( 160 ),1466954.400000000139698,1541405.719999999972060,1425668.479999999981374,1500960.060000000055879,1365061.320000000298023,1360793.600000000093132,1375844.250000000000000,1380794.070000000065193,11417481.900000000372529
FS( 161 ),1471017.760000000242144,1534820.279999999795109,1418278.580000000074506,1485984.580000000074506,1360306.720000000204891,1351560.800000000046566,1378001.580000000074506,1375769.969999999972060,11375740.270000001415610
FS( 162 ),1477257.920000000158325,1553753.419999999925494,1429469.000000000000000,1499752.360000000102445,1370766.840000000083819,1345713.360000000102445,1473129.560000000055879,1366224.179999999934807,11516066.640000000596046
FS( 163 ),1484223.680000000167638,1461557.259999999776483,1443193.099999999860302,1494438.479999999981374,1367676.350000000093132,1316322.280000000027940,1483197.100000000093132,1386822.989999999990687,11437431.239999998360872
FS( 164 ),1478418.880000000353903,1458264.539999999804422,1441292.840000000083819,1495646.179999999934807,1361019.910000000149012,1306935.600000000093132,1490388.199999999953434,1381631.419999999925494,11413597.569999998435378
FS( 165 ),1470147.040000000037253,1446740.019999999785796,1446149.059999999823049,1478255.300000000046566,1418312.840000000083819,1297702.800000000046566,1493470.100000000093132,1379119.369999999878928,11429896.529999997466803
FS( 166 ),1460859.360000000102445,1451267.509999999776483,1454172.380000000121072,1467386.000000000000000,1450168.660000000149012,1294163.559999999823049,1486484.459999999962747,1392851.909999999916181,11457353.839999999850988
FS( 167 ),1462455.680000000167638,1444682.070000000065193,1452694.399999999906868,1496370.800000000046566,1449930.930000000167638,1338327.119999999878928,1477136.030000000027940,1373760.329999999841675,11495357.359999999403954
FS( 168 ),1468550.720000000204891,1437273.449999999953434,1459662.019999999785796,1470284.479999999981374,1441372.650000000139698,1344943.960000000195578,1461212.879999999888241,1369071.169999999925494,11452371.330000000074506
FS( 169 ),1450120.480000000214204,1432745.959999999962747,1461773.419999999925494,1480429.159999999916181,1428772.960000000195578,1332325.800000000046566,1458233.709999999962747,1371918.159999999916181,11416319.650000002235174
FS( 170 ),1506717.280000000027940,1429864.830000000074506,1459239.739999999990687,1421251.860000000102445,1423305.170000000158325,1336326.680000000167638,1441899.640000000130385,1376942.260000000009313,11395547.460000000894070
FS( 171 ),1520213.440000000176951,1435215.499999999767169,1462406.840000000083819,1418353.379999999888241,1424493.820000000298023,1335711.159999999916181,1451967.180000000167638,1381798.889999999897555,11430160.210000000894070
FS( 172 ),1545319.200000000186265,1420809.850000000093132,1456283.780000000027940,1432362.699999999953434,1421641.060000000055879,1336480.559999999823049,1432448.480000000214204,1366894.060000000055879,11412239.690000001341105
FS( 173 ),1529501.120000000111759,1424102.570000000065193,1450160.720000000204891,1421251.860000000102445,1412845.050000000046566,1334787.879999999888241,1427825.629999999888241,1349477.179999999934807,11349952.009999997913837
FS( 174 ),1529501.120000000111759,1396526.039999999804422,1443826.519999999785796,1411348.719999999972060,1407614.990000000223517,1332633.559999999823049,1416011.680000000167638,1350649.469999999972060,11288112.099999999627471
FS( 175 ),1520648.800000000279397,1383355.159999999916181,1430735.840000000083819,1420768.780000000027940,1395728.490000000223517,1309243.800000000046566,1414778.920000000158325,1345792.839999999850988,11221052.630000000819564
FS( 176 ),1550688.640000000130385,1427806.879999999888241,1475497.519999999785796,1450478.199999999953434,1436380.320000000298023,1332018.040000000037253,1458130.980000000214204,1381798.889999999897555,11512799.470000002533197
FS( 177 ),1557073.920000000158325,1429864.830000000074506,1478664.619999999878928,1461589.040000000037253,1437568.970000000204891,1345867.239999999990687,1468095.790000000037253,1387995.279999999795109,11566719.689999999478459
FS( 178 ),1562153.120000000111759,1430276.419999999925494,1546651.699999999953434,1550234.220000000204891,1430437.070000000298023,1322323.600000000093132,1457822.790000000037253,1394024.199999999953434,11693923.120000001043081
FS( 179 ),1564329.920000000158325,1419986.669999999925494,1618439.300000000046566,1569074.339999999850988,1395490.760000000242144,1276621.239999999990687,1501277.580000000074506,1371080.810000000055879,11716300.620000001043081
FS( 180 ),1547641.120000000111759,1424514.159999999916181,1619283.859999999869615,1544678.800000000046566,1403098.120000000111759,1286161.800000000046566,1504256.750000000000000,1371248.279999999795109,11700882.890000000596046
FS( 181 ),1546915.520000000251457,1419163.489999999757856,1678825.340000000083819,1534534.120000000111759,1381702.420000000158325,1277236.760000000009313,1564456.530000000027940,1312633.779999999795109,11715467.959999999031425
FS( 182 ),1581308.960000000195578,1436861.859999999869615,1675658.239999999990687,1537432.599999999860302,1399532.170000000158325,1286777.320000000065193,1563942.879999999888241,1315815.709999999729916,11797329.740000000223517
FS( 183 ),1572456.640000000130385,1433980.729999999981374,1634274.800000000046566,1512795.520000000018626,1418075.110000000102445,1280160.479999999981374,1556443.590000000083819,1341103.679999999934807,11749290.549999998882413
FS( 184 ),1569118.880000000353903,1441389.350000000093132,1647365.479999999981374,1514486.300000000046566,1441610.380000000121072,1278313.919999999925494,1548944.300000000279397,1357683.209999999729916,11798911.820000000298023
FS( 185 ),1584791.840000000316650,1438508.219999999972060,1640820.139999999897555,1494438.479999999981374,1434716.210000000195578,1261848.760000000009313,1535383.939999999944121,1353496.459999999729916,11744004.049999998882413
FS( 186 ),1599013.600000000325963,1439742.989999999757856,1647998.899999999906868,1504824.699999999953434,1446840.440000000176951,1271697.080000000074506,1545246.020000000018626,1368066.349999999860302,11823430.080000000074506
FS( 187 ),1605398.880000000353903,1460322.489999999757856,1658133.619999999878928,1490332.300000000046566,1453021.420000000158325,1273543.640000000130385,1564251.070000000065193,1338591.630000000121072,11843595.050000000745058
FS( 188 ),1610913.440000000176951,1448797.969999999972060,1665101.239999999990687,1488883.060000000055879,1435904.860000000102445,1272312.600000000093132,1577400.510000000009313,1332562.709999999729916,11831876.390000000596046
FS( 189 ),1610913.440000000176951,1458676.129999999888241,1664467.819999999832362,1502650.840000000083819,1438995.350000000093132,1284315.239999999990687,1569901.220000000204891,1341941.029999999795109,11871861.070000000298023
FS( 190 ),1603657.440000000176951,1461557.259999999776483,1653699.679999999701977,1492747.699999999953434,1440897.190000000176951,1278313.919999999925494,1562710.120000000111759,1324356.679999999934807,11817939.990000002086163
FS( 191 ),1586823.520000000251457,1453325.459999999962747,1666368.080000000074506,1502167.760000000009313,1452308.230000000214204,1275544.080000000074506,1619006.160000000149012,1325528.969999999972060,11881072.260000001639128
FS( 192 ),1619040.160000000149012,1428218.469999999972060,1692760.580000000074506,1478013.760000000009313,1432576.640000000130385,1268927.239999999990687,1626505.449999999953434,1294881.959999999729916,11840924.259999997913837
FS( 193 ),1644145.920000000158325,1389529.009999999776483,1726965.260000000009313,1467627.540000000037253,1407377.260000000242144,1259694.439999999944121,1653420.709999999962747,1263230.130000000121072,11811990.270000001415610
FS( 194 ),1639937.440000000176951,1405992.609999999869615,1722953.599999999860302,1476564.520000000018626,1408565.910000000149012,1268003.960000000195578,1651263.379999999888241,1268086.760000000009313,11841368.180000001564622
FS( 195 ),1643565.440000000176951,1415459.179999999934807,1758002.840000000083819,1455309.000000000000000,1431625.720000000204891,1277082.879999999888241,1619417.080000000074506,1294714.489999999990687,11895176.629999998956919
FS( 196 ),1636454.560000000288710,1429041.649999999906868,1767081.859999999869615,1456033.620000000111759,1425207.010000000242144,1275851.839999999850988,1616232.449999999953434,1291365.089999999850988,11897268.080000000074506
FS( 197 ),1660834.720000000204891,1461145.669999999925494,1775105.179999999701977,1450719.739999999990687,1458964.670000000158325,1295394.600000000093132,1637600.290000000037253,1328208.489999999990687,12067973.360000001266599
FS( 198 ),1671428.480000000214204,1469377.469999999972060,1797274.880000000121072,1452168.979999999981374,1450406.390000000130385,1284930.760000000009313,1636778.449999999953434,1327706.079999999841675,12090071.490000000223517
FS( 199 ),1680716.160000000149012,1471847.009999999776483,1805087.059999999823049,1478979.919999999925494,1473228.470000000204891,1298318.320000000065193,1644996.850000000093132,1325361.500000000000000,12178535.289999999105930
FS( 200 ),1700162.240000000223517,1480490.399999999906868,1789040.419999999925494,1490815.379999999888241,1477983.070000000298023,1310013.199999999953434,1638524.860000000102445,1314643.419999999925494,12201672.990000000223517
FS( 201 ),1704080.480000000214204,1514652.369999999878928,1789673.840000000083819,1492506.159999999916181,1497239.200000000186265,1310782.600000000093132,1649311.510000000009313,1326366.320000000065193,12284612.480000000447035
FS( 202 ),1682892.960000000195578,1504362.619999999878928,1789040.419999999925494,1492747.699999999953434,1490107.300000000046566,1298318.320000000065193,1642325.870000000111759,1325194.029999999795109,12224989.220000000670552
FS( 203 ),1698711.040000000037253,1514240.779999999795109,1815855.199999999953434,1506515.479999999981374,1487730.000000000000000,1303088.600000000093132,1650133.350000000093132,1331390.419999999925494,12307664.869999999180436
FS( 204 ),1713658.400000000139698,1494484.459999999962747,1793474.359999999869615,1508206.260000000009313,1481073.560000000055879,1303088.600000000093132,1684239.709999999962747,1312131.369999999878928,12290356.720000000670552
FS( 205 ),1707418.240000000223517,1518356.679999999934807,1803820.220000000204891,1476806.060000000055879,1512453.920000000158325,1303550.239999999990687,1659584.510000000009313,1307944.619999999878928,12289934.490000000223517
FS( 206 ),1711771.840000000316650,1531527.560000000055879,1827045.619999999878928,1461347.500000000000000,1510552.080000000074506,1301395.919999999925494,1660098.160000000149012,1312298.839999999850988,12316037.519999999552965
FS( 207 ),1711191.360000000102445,1522060.989999999757856,1831690.699999999953434,1435502.719999999972060,1510552.080000000074506,1296933.400000000139698,1657427.180000000167638,1308614.500000000000000,12273972.929999999701977
FS( 208 ),1723671.680000000167638,1520003.039999999804422,1834646.659999999916181,1439125.820000000065193,1510789.810000000055879,1299857.119999999878928,1659995.430000000167638,1304595.219999999972060,12292684.779999999329448
FS( 209 ),1718592.480000000214204,1521649.399999999906868,1838024.899999999906868,1438642.739999999990687,1503420.180000000167638,1307397.239999999990687,1674891.280000000027940,1308781.969999999972060,12311400.189999999478459
FS( 210 ),1715690.080000000074506,1525765.300000000046566,1839714.019999999785796,1444198.159999999916181,1504371.100000000093132,1301857.559999999823049,1670884.810000000055879,1312131.369999999878928,12314612.400000000372529
FS( 211 ),1711191.360000000102445,1507655.340000000083819,1826412.199999999953434,1431638.080000000074506,1497476.930000000167638,1293701.919999999925494,1658557.209999999962747,1311294.019999999785796,12237927.059999998658895
FS( 212 ),1709885.280000000027940,1508890.109999999869615,1813532.659999999916181,1426082.659999999916181,1495337.360000000102445,1298010.559999999823049,1654448.010000000009313,1311796.429999999934807,12217983.070000000298023
FS( 213 ),1708143.840000000316650,1492838.100000000093132,1821978.260000000009313,1421976.479999999981374,1477269.880000000121072,1293855.800000000046566,1644175.010000000009313,1306604.859999999869615,12166842.229999998584390
FS( 214 ),1710320.640000000130385,1506420.570000000065193,1841825.419999999925494,1452893.599999999860302,1487730.000000000000000,1295702.360000000102445,1658659.939999999944121,1331390.419999999925494,12284942.949999999254942
FS( 215 ),1709885.280000000027940,1498600.359999999869615,1835068.939999999944121,1452410.520000000018626,1481073.560000000055879,1300318.760000000009313,1663385.520000000018626,1342275.969999999972060,12283018.910000000149012
FS( 216 ),1702484.160000000149012,1496130.820000000065193,1818177.739999999990687,1451927.439999999944121,1481073.560000000055879,1308936.040000000037253,1666159.230000000214204,1358018.149999999906868,12282907.140000002458692
FS( 217 ),1695663.520000000251457,1501481.489999999757856,1818388.880000000121072,1455792.080000000074506,1493910.980000000214204,1308474.400000000139698,1668522.020000000018626,1376774.789999999804422,12319008.159999998286366
FS( 218 ),1681151.520000000251457,1506832.159999999916181,1819655.720000000204891,1475839.900000000139698,1489156.380000000121072,1298779.960000000195578,1663796.439999999944121,1369071.169999999925494,12304283.250000000000000
FS( 219 ),1668380.960000000195578,1503951.029999999795109,1824934.220000000204891,1447338.179999999934807,1488680.920000000158325,1284776.879999999888241,1659995.430000000167638,1361702.489999999990687,12239760.110000001266599
FS( 220 ),1682457.600000000325963,1520826.219999999972060,1838658.319999999832362,1488641.520000000018626,1502231.530000000027940,1288777.760000000009313,1663180.060000000055879,1369908.519999999785796,12354681.530000001192093
FS( 221 ),1685795.360000000102445,1510948.060000000055879,1820922.559999999823049,1502650.840000000083819,1488443.190000000176951,1290162.680000000167638,1668008.370000000111759,1362707.310000000055879,12329638.369999999180436
FS( 222 ),1688988.000000000000000,1514240.779999999795109,1830635.000000000000000,1505790.860000000102445,1490582.760000000242144,1292778.640000000130385,1662255.490000000223517,1359357.909999999916181,12344629.440000001341105
FS( 223 ),1687536.800000000279397,1514652.369999999878928,1764125.899999999906868,1485018.419999999925494,1486541.350000000093132,1311244.239999999990687,1650544.270000000018626,1360865.139999999897555,12260528.490000000223517
FS( 224 ),1682602.720000000204891,1513006.009999999776483,1772360.359999999869615,1477530.679999999934807,1485828.160000000149012,1306935.600000000093132,1620547.110000000102445,1366391.649999999906868,12225202.289999999105930
FS( 225 ),1677378.400000000139698,1505185.800000000046566,1758847.399999999906868,1457241.320000000065193,1481073.560000000055879,1303396.360000000102445,1630409.189999999944121,1368736.229999999981374,12182268.259999999776483
FS( 226 ),1677668.640000000130385,1520414.629999999888241,1766659.580000000074506,1510380.120000000111759,1491533.680000000167638,1345713.360000000102445,1629998.270000000018626,1370578.399999999906868,12312946.679999999701977
FS( 227 ),1674621.120000000111759,1513417.600000000093132,1767504.139999999897555,1492989.239999999990687,1496763.740000000223517,1338173.239999999990687,1634210.199999999953434,1375769.969999999972060,12293449.250000000000000
FS( 228 ),1688842.880000000353903,1548402.749999999767169,1788829.280000000027940,1478496.840000000083819,1510076.620000000111759,1352022.439999999944121,1648181.480000000214204,1393856.729999999981374,12408709.020000001415610
FS( 229 ),1701468.320000000065193,1555811.369999999878928,1816488.619999999878928,1475356.820000000065193,1513880.300000000046566,1341250.839999999850988,1656502.610000000102445,1405077.219999999972060,12465836.099999999627471
FS( 230 ),1691455.040000000037253,1545933.209999999962747,1831690.699999999953434,1478255.300000000046566,1527906.370000000111759,1332633.559999999823049,1672014.840000000083819,1394024.199999999953434,12473913.219999998807907
FS( 231 ),1651401.920000000158325,1563219.989999999757856,1835491.220000000204891,1491540.000000000000000,1563803.600000000093132,1334480.119999999878928,1674480.360000000102445,1402900.109999999869615,12517317.319999998435378
FS( 232 ),1622813.280000000027940,1540170.949999999953434,1816488.619999999878928,1483810.719999999972060,1548351.150000000139698,1334941.760000000009313,1665234.660000000149012,1401727.820000000065193,12413538.960000000894070
FS( 233 ),1615992.640000000130385,1515475.550000000046566,1786929.019999999785796,1497336.959999999962747,1536940.110000000335276,1348021.559999999823049,1665337.390000000130385,1385148.289999999804422,12351181.519999999552965
FS( 234 ),1610913.440000000176951,1503127.850000000093132,1793685.500000000000000,1499993.900000000139698,1511503.000000000000000,1343866.800000000046566,1671603.920000000158325,1380626.599999999860302,12315321.009999999776483
FS( 235 ),1628472.960000000195578,1509713.289999999804422,1786084.459999999962747,1550234.220000000204891,1501756.070000000298023,1350483.640000000130385,1651571.570000000065193,1378282.019999999785796,12356598.230000000447035
FS( 236 ),1648209.280000000027940,1503127.850000000093132,1840769.720000000204891,1552891.160000000149012,1513880.300000000046566,1345097.839999999850988,1662974.600000000093132,1441585.679999999934807,12508536.429999997839332
FS( 237 ),1639647.200000000186265,1492838.100000000093132,1832112.979999999981374,1568591.260000000009313,1512929.380000000121072,1344943.960000000195578,1649003.320000000065193,1437398.929999999934807,12477465.130000000819564
FS( 238 ),1616573.120000000111759,1496130.820000000065193,1831057.280000000027940,1550717.300000000046566,1507937.050000000046566,1354330.640000000130385,1649208.780000000027940,1436561.579999999841675,12442516.570000000298023
FS( 239 ),1619330.400000000139698,1497365.590000000083819,1815010.639999999897555,1553615.779999999795109,1505797.480000000214204,1359254.800000000046566,1646948.720000000204891,1425006.149999999906868,12422329.560000002384186
FS( 240 ),1629198.560000000288710,1459499.310000000055879,1841192.000000000000000,1555306.560000000055879,1522914.040000000270084,1364486.719999999972060,1648284.209999999962747,1433212.179999999934807,12454093.579999998211861
FS( 241 ),1640663.040000000037253,1454560.229999999981374,1836969.199999999953434,1549509.600000000093132,1521487.660000000149012,1353715.119999999878928,1651468.840000000083819,1438571.219999999972060,12446944.910000000149012
FS( 242 ),1653143.360000000102445,1473493.369999999878928,1861250.300000000046566,1564485.079999999841675,1538604.220000000204891,1358947.040000000037253,1664207.360000000102445,1447614.599999999860302,12561745.330000000074506
FS( 243 ),1632971.680000000167638,1478844.039999999804422,1891021.040000000037253,1585982.139999999897555,1535038.270000000018626,1352022.439999999944121,1675918.580000000074506,1454480.869999999878928,12606279.059999998658895
FS( 244 ),1633697.280000000027940,1483783.119999999878928,1912768.459999999962747,1573905.139999999897555,1534087.350000000093132,1402187.320000000065193,1687835.260000000009313,1466036.300000000046566,12694300.230000000447035
FS( 245 ),1606269.600000000325963,1498600.359999999869615,1911501.619999999878928,1576320.540000000037253,1533849.620000000111759,1397109.280000000027940,1681260.540000000037253,1463859.189999999944121,12668770.749999998137355
FS( 246 ),1601190.400000000139698,1501481.489999999757856,1905167.419999999925494,1579460.560000000055879,1536226.920000000158325,1401725.680000000167638,1619314.350000000093132,1464696.539999999804422,12609263.359999997541308
FS( 247 ),1621362.080000000074506,1503127.850000000093132,1921636.340000000083819,1581634.420000000158325,1533136.429999999934807,1410650.719999999972060,1649619.699999999953434,1472400.159999999916181,12693567.699999999254942
FS( 248 ),1601916.000000000000000,1484606.300000000046566,1922692.040000000037253,1577045.160000000149012,1530045.940000000176951,1407111.479999999981374,1649619.699999999953434,1470390.519999999785796,12643427.139999998733401
FS( 249 ),1611203.680000000167638,1489133.789999999804422,1924170.019999999785796,1590571.399999999906868,1536226.920000000158325,1402341.199999999953434,1670473.890000000130385,1476754.380000000121072,12700875.279999999329448
FS( 250 ),1598142.880000000353903,1503539.439999999944121,1907278.819999999832362,1598059.139999999897555,1536226.920000000158325,1401110.159999999916181,1675199.470000000204891,1480941.130000000121072,12700497.960000000894070
FS( 251 ),1621797.440000000176951,1502716.259999999776483,1909390.220000000204891,1590571.399999999906868,1526955.450000000186265,1398648.080000000074506,1699032.830000000074506,1473739.919999999925494,12722851.600000001490116
FS( 252 ),1632681.440000000176951,1489956.969999999972060,1913401.880000000121072,1591054.480000000214204,1521012.200000000186265,1401417.919999999925494,1699032.830000000074506,1472735.099999999860302,12721292.820000000298023
