代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13734449.889999998733401
真實報酬,3734449.889999998733401

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16050.168619393485642
風險,234608.926747005432844
起點值,0.068412437846841
找到最佳解世代,1926
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](2),INTC[11](13),NKE[19](4),UNH[23](3),
FS( 171 ),2201849.879999999888241,1861073.909999999916181,2210928.399999999441206,2060401.160000000149012,2028153.359999999869615,2261012.479999999515712,12623423.189999997615814
FS( 172 ),2218736.750000000000000,2003072.770000000018626,2235049.120000000111759,2054287.260000000009313,2010339.680000000167638,2263319.400000000372529,12784808.980000000447035
FS( 173 ),2225788.410000000149012,2029969.489999999990687,2247006.399999999441206,2075074.519999999785796,2027718.880000000121072,2282194.200000000186265,12887755.900000002235174
FS( 174 ),2207045.839999999850988,2017707.750000000000000,2248037.200000000186265,2035945.559999999590218,1994263.919999999925494,2256608.359999999403954,12759612.629999998956919
FS( 175 ),2221705.870000000111759,2011972.419999999925494,2233606.000000000000000,2013324.129999999888241,1980795.040000000037253,2233329.439999999478459,12694736.900000000372529
FS( 176 ),2264386.969999999739230,2015730.050000000046566,2281641.280000000260770,2060401.160000000149012,2015118.960000000195578,2285340.000000000000000,12922622.420000001788139
FS( 177 ),2317459.989999999292195,2014741.199999999953434,2274219.519999999552965,2051230.309999999590218,1983836.399999999906868,2303795.359999999403954,12945286.779999999329448
FS( 178 ),2346780.049999999813735,2048559.869999999878928,2312359.120000000111759,2086690.929999999934807,1998608.719999999972060,2303585.639999999664724,13096588.330000001937151
FS( 179 ),2358285.389999999664724,2060228.300000000046566,2306792.799999999813735,2100752.899999999906868,1999477.680000000167638,2295196.839999999850988,13120737.909999998286366
FS( 180 ),2372203.139999999664724,2059239.449999999953434,2309060.559999999590218,2123985.720000000204891,1995567.359999999869615,2301907.879999999888241,13161968.109999999403954
FS( 181 ),2388718.870000000111759,2054097.429999999934807,2308854.399999999441206,2095250.390000000130385,2033801.600000000093132,2302117.599999999627471,13182844.289999999105930
FS( 182 ),2383708.479999999515712,2054690.739999999990687,2287207.599999999627471,2091582.049999999813735,2035539.520000000018626,2307570.320000000298023,13160302.709999999031425
FS( 183 ),2403193.330000000074506,2067743.559999999823049,2314008.399999999441206,2103809.849999999627471,2062477.280000000027940,2361887.799999999813735,13313124.219999998807907
FS( 184 ),2468142.830000000074506,2076445.439999999944121,2314833.040000000037253,2064069.499999999767169,2064215.199999999953434,2441161.959999999962747,13428871.969999998807907
FS( 185 ),2452740.519999999552965,2070116.800000000046566,2406986.559999999590218,2103809.849999999627471,2072904.800000000046566,2420819.120000000111759,13527381.649999998509884
FS( 186 ),2390017.859999999403954,2087916.099999999860302,2397915.519999999552965,2075685.910000000149012,2103318.399999999441206,2391877.759999999776483,13446735.549999998882413
FS( 187 ),2420265.769999999552965,2067941.330000000074506,2378742.639999999664724,2057344.209999999729916,2107228.719999999739230,2383698.679999999701977,13415225.349999997764826
FS( 188 ),2383894.049999999813735,2058448.369999999878928,2365754.559999999590218,2032888.609999999869615,2109835.599999999627471,2383069.519999999552965,13333894.709999999031425
FS( 189 ),2395584.959999999962747,2094244.739999999990687,2393998.479999999515712,2082411.199999999953434,2145462.959999999962747,2399217.959999999962747,13510924.300000000745058
FS( 190 ),2400595.350000000558794,2103342.159999999683350,2392967.679999999701977,2084856.760000000009313,2128518.240000000223517,2366921.080000000074506,13477205.269999999552965
FS( 191 ),2385378.609999999403954,2087916.099999999860302,2365960.719999999739230,2086079.539999999804422,2118525.200000000186265,2387054.200000000186265,13430918.369999997317791
FS( 192 ),2345852.200000000186265,2077236.520000000018626,2389669.120000000111759,2062235.329999999608845,2138945.759999999776483,2407397.040000000037253,13421339.969999998807907
FS( 193 ),2349378.029999999329448,2053306.349999999860302,2359569.759999999776483,2029220.269999999785796,2105490.799999999813735,2367340.519999999552965,13264309.729999996721745
FS( 194 ),2359398.809999999590218,2081785.229999999981374,2376062.559999999590218,2000484.939999999711290,2116787.280000000260770,2409703.959999999962747,13344226.780000001192093
FS( 195 ),2310593.900000000372529,2038869.140000000130385,2320605.519999999552965,1938123.159999999916181,2096801.199999999953434,2358532.279999999329448,13063529.199999999254942
FS( 196 ),2268469.509999999776483,2034913.739999999990687,2331119.679999999701977,1976640.729999999748543,2071166.880000000121072,2363985.000000000000000,13046299.540000000968575
FS( 197 ),2309480.479999999515712,2119559.299999999813735,2393586.160000000149012,1883098.059999999823049,2108097.679999999701977,2409284.519999999552965,13223110.199999999254942
FS( 198 ),2293521.459999999962747,2105122.089999999850988,2367197.679999999701977,1891046.129999999888241,2081594.399999999906868,2417044.160000000149012,13155529.919999999925494
FS( 199 ),2318758.979999999515712,2123514.700000000186265,2401832.559999999590218,1884932.229999999748543,2095063.280000000027940,2485622.599999999627471,13309728.349999997764826
FS( 200 ),2357543.110000000335276,2115406.129999999888241,2382865.839999999850988,1870258.869999999878928,2097235.679999999701977,2466328.359999999403954,13289641.989999998360872
FS( 201 ),2384079.620000000111759,2135380.899999999906868,2393173.839999999850988,1888600.569999999832362,2118525.200000000186265,2515822.279999999329448,13435586.409999998286366
FS( 202 ),2366079.330000000074506,2123514.700000000186265,2374207.120000000111759,1879429.719999999739230,2135904.399999999441206,2532599.879999999888241,13411739.149999998509884
FS( 203 ),2336388.129999999888241,2144478.320000000298023,2422242.399999999441206,1914278.949999999720603,2215414.240000000223517,2498625.240000000223517,13531431.279999999329448
FS( 204 ),2360697.799999999813735,2140325.149999999906868,2392967.679999999701977,1907553.659999999916181,2204117.759999999776483,2496528.040000000037253,13502194.089999999850988
FS( 205 ),2351048.160000000149012,2118372.680000000167638,2394616.959999999962747,1882486.669999999925494,2186738.559999999590218,2477233.799999999813735,13410500.829999998211861
FS( 206 ),2289624.489999999292195,2076643.209999999962747,2343695.440000000409782,1827461.569999999832362,2150676.719999999739230,2444098.040000000037253,13132203.469999998807907
FS( 207 ),2305583.509999999776483,2081389.689999999944121,2316688.479999999515712,1839077.979999999748543,2158062.879999999888241,2438016.160000000149012,13138822.699999999254942
FS( 208 ),2287212.080000000074506,2086136.169999999925494,2347406.319999999366701,1956464.859999999869615,2169793.839999999850988,2474926.879999999888241,13321944.149999998509884
FS( 209 ),2345109.919999999925494,2098793.450000000186265,2363280.639999999664724,1923449.799999999813735,2191952.320000000298023,2537633.160000000149012,13460223.289999999105930
FS( 210 ),2309109.339999999850988,2074467.739999999990687,2342252.319999999366701,1911833.389999999897555,2179786.879999999888241,2480799.040000000037253,13298252.709999997168779
FS( 211 ),2305769.080000000074506,2085345.089999999850988,2332356.639999999664724,1883709.449999999720603,2162842.160000000149012,2463182.559999999590218,13233208.980000000447035
FS( 212 ),2325625.069999999366701,2096420.209999999962747,2361425.200000000186265,1883709.449999999720603,2165014.559999999590218,2461295.080000000074506,13293493.569999998435378
FS( 213 ),2363295.779999999329448,2089102.719999999972060,2369877.759999999776483,1897771.419999999925494,2166752.479999999515712,2468425.559999999590218,13355229.719999998807907
FS( 214 ),2338429.400000000372529,2085147.320000000065193,2356477.359999999403954,1911222.000000000000000,2164145.599999999627471,2461085.359999999403954,13316511.039999999105930
FS( 215 ),2330821.029999999329448,2103539.930000000167638,2383072.000000000000000,1914278.949999999720603,2190648.879999999888241,2478701.839999999850988,13401066.629999998956919
FS( 216 ),2348635.750000000000000,2111648.500000000000000,2362043.679999999701977,1909999.219999999739230,2188042.000000000000000,2486251.759999999776483,13406624.909999998286366
FS( 217 ),2358656.529999999329448,2115208.359999999869615,2375856.399999999441206,1952185.129999999888241,2171966.240000000223517,2495689.160000000149012,13469565.819999998435378
FS( 218 ),2354017.279999999329448,2106506.479999999981374,2359363.599999999627471,1939957.329999999841675,2156759.440000000409782,2503448.799999999813735,13420056.929999999701977
FS( 219 ),2343810.929999999701977,2109473.029999999795109,2351323.359999999403954,1925283.969999999739230,2162407.679999999701977,2514983.400000000372529,13407286.369999999180436
FS( 220 ),2352718.290000000037253,2115801.669999999925494,2338953.759999999776483,2007210.229999999748543,2168924.879999999888241,2460456.200000000186265,13444069.029999997466803
FS( 221 ),2341398.519999999552965,2137951.909999999683350,2337304.479999999515712,2009655.789999999804422,2170228.320000000298023,2550216.359999999403954,13546759.379999998956919
FS( 222 ),2315047.580000000074506,2110066.339999999850988,2311122.160000000149012,1985200.189999999711290,2141118.160000000149012,2489607.279999999329448,13352165.709999999031425
FS( 223 ),2367935.029999999329448,2140325.149999999906868,2326790.319999999366701,2001096.329999999608845,2172400.719999999739230,2486880.919999999925494,13495432.469999996945262
FS( 224 ),2355130.700000000186265,2129645.570000000298023,2333181.280000000260770,1982754.629999999888241,2178917.919999999925494,2501561.320000000298023,13481195.419999999925494
FS( 225 ),2386863.169999999925494,2134787.589999999850988,2329470.399999999441206,1999262.160000000149012,2175876.559999999590218,2470732.479999999515712,13496996.359999999403954
FS( 226 ),2406348.019999999552965,2155751.209999999962747,2349467.919999999925494,1977863.510000000009313,2196731.599999999627471,2480169.879999999888241,13566336.140000000596046
FS( 227 ),2417667.790000000037253,2166233.020000000018626,2344107.759999999776483,1961355.979999999748543,2193255.759999999776483,2489187.839999999850988,13571812.150000000372529
FS( 228 ),2461647.879999999888241,2178692.529999999795109,2296484.799999999813735,1987034.359999999869615,2192821.280000000260770,2437806.439999999478459,13554491.290000000968575
FS( 229 ),2422863.750000000000000,2173946.049999999813735,2279785.839999999850988,2018826.640000000130385,2169359.360000000335276,2466118.639999999664724,13530904.280000001192093
FS( 230 ),2387234.309999999590218,2171770.580000000074506,2241233.919999999925494,2010878.569999999832362,2176311.040000000037253,2382650.080000000074506,13370082.499999998137355
FS( 231 ),2322470.379999999888241,2150213.649999999906868,2205568.240000000223517,1990091.309999999590218,2147200.879999999888241,2336301.959999999962747,13151850.419999998062849
FS( 232 ),2392986.979999999515712,2185812.250000000000000,2258551.359999999403954,2043282.239999999990687,2189345.440000000409782,2374051.559999999590218,13444033.829999998211861
FS( 233 ),2388347.729999999515712,2195898.520000000018626,2269065.519999999552965,2043893.629999999888241,2190648.879999999888241,2402573.479999999515712,13490431.759999997913837
FS( 234 ),2334532.429999999701977,2191547.580000000074506,2227833.519999999552965,1995593.819999999832362,2181524.799999999813735,2377616.799999999813735,13308652.949999999254942
FS( 235 ),2319872.400000000372529,2169990.649999999906868,2232987.519999999552965,1969915.439999999711290,2177180.000000000000000,2380133.439999999478459,13250083.449999999254942
FS( 236 ),2324511.650000000372529,2160893.229999999981374,2268653.200000000186265,1971138.219999999972060,2204117.759999999776483,2406767.879999999888241,13336085.940000001341105
FS( 237 ),2368306.169999999925494,2177703.680000000167638,2318750.080000000074506,2005376.059999999590218,2225407.280000000260770,2426062.120000000111759,13521609.390000000596046
FS( 238 ),2344182.069999999366701,2147840.409999999683350,2306998.959999999962747,1998650.769999999785796,2233227.919999999925494,2406977.599999999627471,13437881.729999998584390
FS( 239 ),2335831.419999999925494,2160497.689999999944121,2319780.879999999888241,1971749.609999999869615,2224103.839999999850988,2404251.240000000223517,13416218.679999999701977
FS( 240 ),2338429.400000000372529,2159508.839999999850988,2292361.599999999627471,1995593.819999999832362,2219324.559999999590218,2429837.080000000074506,13435059.299999998882413
FS( 241 ),2392986.979999999515712,2174143.820000000298023,2307823.599999999627471,2015769.689999999711290,2247131.280000000260770,2485832.320000000298023,13623691.690000001341105
FS( 242 ),2389646.719999999739230,2181461.310000000055879,2336892.160000000149012,2016992.469999999972060,2280586.240000000223517,2502609.919999999925494,13708192.820000000298023
FS( 243 ),2415997.660000000149012,2182054.620000000111759,2357095.839999999850988,2042670.849999999627471,2275806.959999999962747,2512466.759999999776483,13786096.689999999478459
FS( 244 ),2413770.819999999366701,2186603.330000000074506,2316070.000000000000000,2026774.709999999729916,2273200.080000000074506,2528195.759999999776483,13744618.699999999254942
FS( 245 ),2413585.250000000000000,2179483.609999999869615,2311122.160000000149012,2040225.289999999804422,2272765.599999999627471,2542666.439999999478459,13759852.349999997764826
FS( 246 ),2438266.059999999590218,2183241.239999999757856,2309266.719999999739230,2051230.309999999590218,2267986.320000000298023,2526308.279999999329448,13776302.929999997839332
FS( 247 ),2459606.609999999403954,2180670.229999999981374,2312359.120000000111759,2045116.410000000149012,2268855.280000000260770,2508062.639999999664724,13774674.290000002831221
FS( 248 ),2405420.169999999925494,2164453.089999999850988,2287001.440000000409782,2023717.760000000009313,2246696.799999999813735,2479750.439999999478459,13607043.700000001117587
FS( 249 ),2450328.109999999403954,2182845.700000000186265,2312359.120000000111759,2061012.549999999813735,2234096.879999999888241,2505126.559999999590218,13745772.919999998062849
FS( 250 ),2445503.290000000037253,2186010.020000000018626,2312977.599999999627471,2079354.249999999767169,2222365.919999999925494,2508691.799999999813735,13754906.879999998956919
FS( 251 ),2417667.790000000037253,2182845.700000000186265,2297103.280000000260770,2106866.799999999813735,2208897.040000000037253,2521065.279999999329448,13734449.889999998733401
