代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12935292.329999998211861
真實報酬,2935292.329999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13810.838640390747969
風險,148506.403995623986702
起點值,0.092998269898164
找到最佳解世代,1902
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),BA[2](12),CAT[3](8),DD[7](1),MRK[17](10),MSFT[18](2),
FS( 171 ),1940774.580000000074506,1989687.599999999860302,2016603.010000000009313,2292529.660000000149012,1925340.779999999795109,2098199.199999999254942,12263138.829999998211861
FS( 172 ),1910374.840000000316650,1961727.800000000046566,1995681.790000000037253,2256822.700000000186265,1893435.269999999785796,2094515.379999999655411,12112561.779999999329448
FS( 173 ),1910374.840000000316650,1939235.000000000000000,2020945.149999999906868,2263435.100000000093132,1888289.219999999972060,2095567.899999999906868,12117851.210000000894070
FS( 174 ),1935409.920000000391155,1981877.599999999860302,2032787.349999999860302,2305754.459999999962747,1958961.639999999897555,2129774.799999999813735,12344569.769999999552965
FS( 175 ),1910374.840000000316650,1931268.800000000046566,2018379.340000000083819,2245912.240000000223517,1916077.889999999897555,2071359.939999999711290,12093377.050000000745058
FS( 176 ),1896324.540000000270084,1906745.399999999906868,2002392.370000000111759,2210535.899999999906868,1918479.379999999888241,2063466.039999999804422,11997947.629999998956919
FS( 177 ),1903988.340000000316650,1925177.000000000000000,2028642.580000000074506,2236324.260000000242144,1906471.929999999934807,2061887.259999999776483,12062495.369999999180436
FS( 178 ),1890193.500000000000000,1941109.399999999906868,2023116.219999999972060,2239630.459999999962747,1922939.289999999804422,2091884.079999999841675,12108876.949999999254942
FS( 179 ),1894025.400000000139698,1968756.800000000046566,2031603.130000000121072,2283602.919999999925494,1930143.759999999776483,2126090.979999999515712,12234226.989999998360872
FS( 180 ),1915739.500000000000000,1998122.400000000139698,2029629.429999999934807,2293852.140000000130385,1937348.229999999981374,2105566.839999999850988,12280262.540000000968575
FS( 181 ),1938475.440000000176951,1996560.399999999906868,2025879.399999999906868,2295174.620000000111759,1964107.689999999944121,2101883.019999999552965,12322084.570000000298023
FS( 182 ),1940519.120000000111759,1992343.000000000000000,2046603.250000000000000,2304431.979999999981374,1981947.330000000074506,2104514.320000000298023,12370363.000000000000000
FS( 183 ),1914973.120000000111759,2040452.599999999860302,2040484.779999999795109,2324599.800000000279397,1972684.439999999944121,2088726.519999999785796,12381925.259999999776483
FS( 184 ),2072081.020000000251457,2028425.200000000186265,2077985.080000000074506,2318318.020000000018626,1973713.649999999906868,2097672.939999999478459,12568199.910000000149012
FS( 185 ),2087408.620000000111759,2009681.199999999953434,2066340.250000000000000,2283602.919999999925494,1963764.620000000111759,2100304.239999999292195,12511105.849999997764826
FS( 186 ),2168133.980000000447035,1984376.800000000046566,2057853.340000000083819,2226736.279999999795109,1944552.699999999953434,2150825.199999999254942,12532482.299999998882413
FS( 187 ),2161747.480000000447035,2005151.400000000139698,2078379.819999999832362,2292860.279999999795109,2014538.979999999981374,2131879.839999999850988,12684561.800000000745058
FS( 188 ),2153572.759999999776483,2015304.400000000139698,2080353.520000000018626,2349396.300000000279397,2009049.860000000102445,2126090.979999999515712,12733771.820000000298023
FS( 189 ),2158681.959999999962747,2006557.200000000186265,2073840.309999999823049,2293521.520000000018626,2045415.279999999795109,2105040.580000000074506,12683060.849999999627471
FS( 190 ),2162513.860000000335276,2029674.800000000046566,2072656.090000000083819,2292529.660000000149012,1997385.479999999981374,2088726.519999999785796,12643490.410000000149012
FS( 191 ),2193169.059999999590218,2061227.200000000186265,2062984.959999999962747,2323938.560000000055879,2011451.350000000093132,2075043.759999999776483,12727818.889999998733401
FS( 192 ),2169411.280000000260770,2043576.600000000093132,2050155.910000000149012,2312366.859999999869615,1959304.709999999962747,2055572.139999999897555,12590391.500000000000000
FS( 193 ),2161747.480000000447035,2036079.000000000000000,2064958.660000000149012,2331542.819999999832362,1915734.820000000065193,2074517.500000000000000,12584584.280000001192093
FS( 194 ),2145908.959999999962747,2039515.399999999906868,2071274.500000000000000,2316995.540000000037253,1881084.750000000000000,2086095.219999999972060,12540878.369999999180436
FS( 195 ),2136967.860000000335276,2047794.000000000000000,2073642.939999999944121,2319971.120000000111759,1894121.409999999916181,2080832.619999999878928,12553333.950000001117587
FS( 196 ),2163535.700000000186265,2071224.000000000000000,2096143.120000000111759,2359976.140000000130385,1896865.969999999972060,2103461.799999999813735,12691210.730000000447035
FS( 197 ),2166856.679999999701977,2084500.999999999767169,2114893.270000000484288,2356669.939999999944121,1912647.189999999944121,2127143.500000000000000,12762715.580000000074506
FS( 198 ),2167367.600000000558794,2077315.800000000046566,2102656.330000000074506,2363612.959999999962747,1933917.529999999795109,2117670.820000000298023,12762545.040000000968575
FS( 199 ),2148974.480000000447035,2049512.200000000186265,2072261.349999999860302,2288892.840000000316650,1917450.169999999925494,2083990.179999999934807,12561085.220000000670552
FS( 200 ),2180651.520000000484288,2043264.199999999953434,2092787.830000000074506,2306085.080000000074506,1916764.029999999795109,2096094.159999999683350,12635650.820000000298023
FS( 201 ),2206452.980000000447035,2051699.000000000000000,2080156.149999999906868,2322946.700000000186265,1933231.389999999897555,2091884.079999999841675,12686374.300000002607703
FS( 202 ),2206963.900000000372529,2024051.600000000093132,2004563.439999999944121,2341792.040000000037253,1921223.939999999944121,2088200.259999999776483,12586799.179999999701977
FS( 203 ),2212839.480000000447035,2045607.200000000186265,2030616.279999999795109,2351380.020000000018626,1941122.000000000000000,2123459.679999999701977,12705028.660000000149012
FS( 204 ),2216160.459999999962747,2059352.800000000046566,2034563.679999999934807,2343775.760000000242144,1938034.370000000111759,2110303.179999999701977,12702194.250000000000000
FS( 205 ),2241195.540000000037253,2068256.199999999953434,2053313.830000000074506,2386095.120000000111759,1949012.610000000102445,2111355.699999999254942,12809233.000000000000000
FS( 206 ),2283346.440000000409782,2095747.399999999906868,2046405.880000000121072,2397997.439999999944121,1944895.769999999785796,2115039.519999999552965,12883436.449999999254942
FS( 207 ),2277215.400000000372529,2098246.600000000093132,2031208.389999999897555,2437671.840000000316650,1934946.739999999990687,2105566.839999999850988,12884859.810000000521541
FS( 208 ),2318855.379999999888241,2110898.799999999813735,2044826.919999999925494,2470403.220000000204891,1979545.840000000083819,2122933.419999999925494,13047467.580000000074506
FS( 209 ),2310169.740000000223517,2112617.000000000000000,2017787.229999999981374,2453872.220000000204891,1985034.959999999962747,2154509.019999999552965,13033994.170000001788139
FS( 210 ),2294331.220000000670552,2122770.000000000000000,2047984.840000000083819,2472386.939999999944121,1987436.449999999953434,2146615.120000000111759,13071528.570000000298023
FS( 211 ),2326774.640000000596046,2122457.600000000093132,2062392.849999999860302,2477015.620000000111759,1986750.309999999823049,2120302.120000000111759,13095697.140000000596046
FS( 212 ),2353342.480000000447035,2113866.600000000093132,2058840.189999999944121,2471064.459999999962747,1987436.449999999953434,2121880.899999999441206,13106435.079999998211861
FS( 213 ),2362539.040000000037253,2137140.399999999906868,2111143.240000000223517,2477676.859999999869615,1993268.639999999897555,2168718.040000000037253,13250490.219999998807907
FS( 214 ),2355897.080000000074506,2159477.000000000000000,2135222.379999999888241,2501481.500000000000000,1984691.889999999897555,2182927.059999999590218,13319700.910000000149012
FS( 215 ),2393705.160000000149012,2154947.200000000186265,2146472.469999999739230,2494869.100000000093132,1987779.519999999785796,2171875.599999999627471,13349653.049999998882413
FS( 216 ),2407755.459999999962747,2143857.000000000000000,2157525.190000000409782,2502473.359999999869615,2006648.370000000111759,2163455.439999999478459,13381718.819999998435378
FS( 217 ),2397792.520000000484288,2094654.000000000000000,2145288.250000000000000,2488917.939999999944121,2017626.610000000102445,2150298.939999999478459,13294582.259999999776483
FS( 218 ),2357685.300000000745058,2064819.800000000046566,2105024.770000000484288,2448251.680000000167638,2000130.039999999804422,2135563.660000000149012,13111479.250000000000000
FS( 219 ),2331883.839999999850988,2066381.799999999813735,2107393.209999999962747,2467097.020000000018626,1998071.620000000111759,2169770.559999999590218,13140602.049999997019768
FS( 220 ),2355386.160000000149012,2070286.799999999813735,2108182.690000000409782,2462468.340000000316650,1992239.429999999934807,2183979.580000000074506,13172547.000000000000000
FS( 221 ),2352320.640000000596046,2068880.999999999767169,2105419.509999999776483,2448251.680000000167638,1991896.360000000102445,2193452.259999999776483,13160225.449999999254942
FS( 222 ),2354875.240000000223517,2069349.599999999860302,2121406.480000000447035,2472717.560000000055879,2003903.809999999823049,2191873.479999999515712,13214130.170000001788139
FS( 223 ),2346700.520000000484288,2074660.399999999906868,2116866.969999999739230,2451557.880000000353903,2000130.039999999804422,2184505.839999999850988,13174425.649999998509884
FS( 224 ),2322431.820000000298023,2063414.000000000000000,2158906.780000000260770,2470403.220000000204891,2021400.379999999888241,2193452.259999999776483,13230012.459999999031425
FS( 225 ),2320388.140000000596046,2043889.000000000000000,2147064.580000000074506,2490240.419999999925494,2006991.439999999944121,2209766.320000000298023,13218343.900000000372529
FS( 226 ),2306337.839999999850988,2017335.000000000000000,2127919.690000000409782,2463460.200000000186265,1987093.379999999888241,2197136.080000000074506,13099286.189999999478459
FS( 227 ),2308381.520000000484288,1984689.199999999953434,2140354.000000000000000,2477015.620000000111759,2019341.959999999962747,2211871.360000000335276,13141657.660000000149012
FS( 228 ),2322176.360000000335276,1999684.400000000139698,2141932.959999999962747,2453872.220000000204891,2008020.649999999906868,2195557.299999999813735,13121247.890000000596046
FS( 229 ),2349766.040000000037253,2007806.799999999813735,2147064.580000000074506,2430067.580000000074506,1973713.649999999906868,2223449.080000000074506,13131871.730000000447035
FS( 230 ),2374034.740000000223517,1987344.600000000093132,2144893.509999999776483,2422793.939999999944121,1984691.889999999897555,2194504.780000000260770,13108267.460000000894070
FS( 231 ),2389106.879999999888241,2001715.000000000000000,2154762.009999999776483,2426761.380000000353903,2007334.509999999776483,2203451.199999999254942,13183134.979999998584390
FS( 232 ),2388085.040000000037253,1993436.400000000139698,2162459.440000000409782,2425769.520000000018626,2025860.289999999804422,2205029.979999999515712,13200644.669999998062849
FS( 233 ),2402135.339999999850988,2007338.199999999953434,2192459.679999999701977,2450566.020000000018626,2031006.340000000083819,2199767.379999999888241,13283276.960000000894070
FS( 234 ),2451694.580000000074506,2016397.800000000046566,2174301.639999999664724,2412214.100000000093132,2007677.580000000074506,2209766.320000000298023,13272056.019999999552965
FS( 235 ),2435856.059999999590218,1980471.800000000046566,2160485.740000000223517,2400642.399999999906868,1995670.129999999888241,2198714.860000000335276,13171844.989999998360872
FS( 236 ),2436877.900000000372529,1980471.800000000046566,2173906.900000000372529,2410561.000000000000000,2008706.789999999804422,2192926.000000000000000,13203454.390000000596046
FS( 237 ),2427936.800000000745058,1980471.800000000046566,2158512.040000000037253,2406924.180000000167638,2009736.000000000000000,2193978.519999999552965,13177563.339999999850988
FS( 238 ),2432535.080000000074506,2000777.800000000046566,2170354.240000000223517,2429406.340000000316650,2004933.019999999785796,2215028.919999999925494,13253039.400000000372529
FS( 239 ),2463956.660000000149012,2023114.400000000139698,2172920.049999999813735,2424777.660000000149012,1996013.199999999953434,2217660.219999999739230,13298446.189999997615814
FS( 240 ),2435089.679999999701977,2016554.000000000000000,2168183.169999999925494,2426761.380000000353903,1986750.309999999823049,2233974.280000000260770,13267316.820000000298023
FS( 241 ),2421294.839999999850988,1990312.400000000139698,2198775.520000000484288,2451557.880000000353903,1994983.989999999990687,2319754.660000000149012,13376683.290000000968575
FS( 242 ),2378122.100000000558794,1966257.599999999860302,2152788.309999999590218,2431720.680000000167638,1976115.139999999897555,2343436.360000000335276,13248444.190000001341105
FS( 243 ),2412353.740000000223517,1993748.800000000046566,2174499.009999999776483,2433704.399999999906868,2001502.320000000065193,2351856.519999999552965,13367668.789999999105930
FS( 244 ),2399836.200000000186265,2004058.000000000232831,2175683.230000000447035,2441639.279999999795109,1989837.939999999944121,2359750.419999999925494,13370809.070000000298023
FS( 245 ),2419762.080000000074506,2026550.800000000046566,2172327.940000000409782,2462468.340000000316650,2004589.949999999953434,2359224.160000000149012,13444927.269999999552965
FS( 246 ),2482860.700000000186265,1979222.199999999953434,2139169.780000000260770,2537188.459999999962747,1993611.709999999962747,2361329.199999999254942,13493386.050000000745058
FS( 247 ),2478773.339999999850988,1943140.000000000000000,2073248.200000000186265,2534874.120000000111759,1997042.409999999916181,2336594.979999999515712,13363677.050000000745058
FS( 248 ),2495122.780000000260770,1924396.000000000000000,2069498.169999999925494,2528922.959999999962747,1994983.989999999990687,2341857.580000000074506,13354785.480000000447035
FS( 249 ),2529609.879999999888241,1922209.199999999953434,2055682.270000000018626,2528261.720000000204891,1988808.729999999981374,2313965.799999999813735,13338541.600000001490116
FS( 250 ),2513260.440000000409782,1910650.399999999906868,2066340.250000000000000,2516690.020000000018626,2009736.000000000000000,2309755.719999999739230,13326436.829999998211861
FS( 251 ),2507384.860000000335276,1910181.800000000046566,2040484.779999999795109,2471064.459999999962747,1992582.500000000000000,2293441.660000000149012,13215144.059999998658895
FS( 252 ),2442242.559999999590218,1881909.600000000093132,1988576.469999999972060,2404609.840000000316650,1946611.120000000111759,2271338.739999999292195,12935292.329999998211861
