代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13780815.750000000000000
真實報酬,3780815.750000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17826.269846421910188
風險,229418.157018476049416
起點值,0.077702088091425
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](3),INTC[11](12),NKE[19](4),UNH[23](2),
FS( 171 ),2156388.089999999850988,1963918.119999999878928,2172982.900000000372529,2291105.009999999776483,2172240.720000000204891,2241047.709999999962747,12997686.550000000745058
FS( 172 ),2095641.250000000000000,1935219.359999999869615,2127393.370000000111759,2265270.500000000000000,2137042.479999999981374,2204134.290000000037253,12764705.250000000000000
FS( 173 ),2095838.480000000214204,1924954.839999999850988,2120880.580000000074506,2223053.129999999888241,2124700.239999999757856,2199686.889999999664724,12689118.160000000149012
FS( 174 ),2125225.750000000000000,1944645.959999999729916,2193571.719999999739230,2269681.270000000484288,2168583.759999999776483,2222146.259999999776483,12923858.719999998807907
FS( 175 ),2206878.970000000204891,1964756.040000000037253,2242102.509999999776483,2311898.639999999664724,2218409.839999999850988,2328216.750000000000000,13272266.750000000000000
FS( 176 ),2209245.729999999981374,1974392.119999999878928,2203656.040000000037253,2316309.410000000149012,2194182.479999999981374,2306424.490000000223517,13204214.270000001415610
FS( 177 ),2154810.250000000000000,1978791.199999999720603,2193781.810000000521541,2306227.650000000372529,2190982.640000000130385,2280407.200000000186265,13105004.750000000000000
FS( 178 ),2173941.560000000055879,1994083.239999999757856,2179285.600000000558794,2299926.549999999813735,2171783.600000000093132,2291970.439999999478459,13110994.989999998360872
FS( 179 ),2165657.899999999906868,1973973.159999999916181,2156385.790000000037253,2290474.900000000372529,2142070.799999999813735,2297752.059999999590218,13026318.609999999403954
FS( 180 ),2106883.359999999869615,1976486.919999999692664,2122141.120000000111759,2280393.139999999664724,2121500.399999999906868,2322879.870000000111759,12930288.809999998658895
FS( 181 ),2090513.269999999785796,1993873.760000000009313,2187479.110000000335276,2296776.000000000000000,2125614.479999999981374,2352010.339999999850988,13046270.960000000894070
FS( 182 ),2144357.060000000055879,1984656.639999999664724,2169201.280000000260770,2274092.040000000037253,2139785.200000000186265,2348674.790000000037253,13060771.009999997913837
FS( 183 ),2160727.149999999906868,1972716.280000000027940,2175083.799999999813735,2298666.330000000074506,2137499.600000000093132,2430951.689999999478459,13175648.849999997764826
FS( 184 ),2216937.700000000186265,1993245.320000000065193,2228446.660000000149012,2325761.059999999590218,2190982.640000000130385,2531685.299999999813735,13487062.679999999701977
FS( 185 ),2228377.040000000037253,1984237.679999999934807,2213740.360000000335276,2296776.000000000000000,2197839.439999999944121,2490546.849999999627471,13411521.369999999180436
FS( 186 ),2230743.799999999813735,1989474.679999999934807,2234539.269999999552965,2256448.959999999962747,2202410.640000000130385,2481874.419999999925494,13395495.769999999552965
FS( 187 ),2152640.720000000204891,1968526.679999999934807,2209328.469999999739230,2154371.139999999664724,2159898.479999999981374,2446295.219999999739230,13091064.710000000894070
FS( 188 ),2274331.629999999888241,1941294.280000000027940,2200504.689999999478459,2128536.629999999888241,2132928.399999999906868,2411827.870000000111759,13089427.500000000000000
FS( 189 ),2345137.200000000186265,1952815.679999999934807,2261010.610000000335276,2155631.360000000335276,2168583.759999999776483,2432508.280000000260770,13315690.890000000596046
FS( 190 ),2310819.179999999701977,1905473.199999999720603,2193781.810000000521541,2081908.489999999990687,2108701.040000000037253,2362684.099999999627471,12963371.819999998435378
FS( 191 ),2339811.989999999757856,1925792.760000000009313,2193991.900000000372529,2120345.200000000186265,2100930.000000000000000,2385810.580000000074506,13066686.430000001564622
FS( 192 ),2340206.450000000186265,1971249.919999999692664,2253027.189999999478459,2123495.750000000000000,2133842.640000000130385,2397373.820000000298023,13219199.769999999552965
FS( 193 ),2358154.379999999888241,2121656.559999999590218,2277607.719999999739230,2117194.650000000372529,2115100.720000000204891,2399819.889999999664724,13389537.919999998062849
FS( 194 ),2365649.120000000111759,2150145.839999999850988,2289792.939999999478459,2138618.389999999664724,2133385.520000000018626,2419833.189999999478459,13497428.999999998137355
FS( 195 ),2345728.890000000130385,2137158.080000000074506,2290843.390000000596046,2098291.349999999627471,2098187.279999999795109,2392704.049999999813735,13362917.039999999105930
FS( 196 ),2361310.060000000055879,2131083.160000000149012,2276137.089999999850988,2074977.280000000027940,2084016.560000000055879,2368020.979999999515712,13295549.129999998956919
FS( 197 ),2406672.959999999962747,2135063.280000000260770,2325088.060000000521541,2123495.750000000000000,2120129.040000000037253,2423168.740000000223517,13533621.830000000074506
FS( 198 ),2463080.739999999757856,2134015.879999999888241,2317524.820000000298023,2114044.099999999627471,2087216.399999999906868,2442737.299999999813735,13558623.239999998360872
FS( 199 ),2494243.080000000074506,2169836.959999999962747,2356391.469999999739230,2150590.480000000447035,2102758.479999999981374,2442514.929999999701977,13716339.400000000372529
FS( 200 ),2506471.339999999850988,2182196.280000000260770,2350719.040000000037253,2165083.009999999776483,2103672.720000000204891,2433620.129999999888241,13741766.519999999552965
FS( 201 ),2521263.589999999850988,2181148.879999999888241,2353030.030000000260770,2189027.190000000409782,2099558.640000000130385,2440735.969999999739230,13784768.300000000745058
FS( 202 ),2538817.060000000055879,2175702.399999999441206,2352819.939999999478459,2159412.020000000484288,2139785.200000000186265,2440958.339999999850988,13807498.959999997168779
FS( 203 ),2533491.849999999627471,2176330.839999999850988,2330760.490000000223517,2155631.360000000335276,2141613.680000000167638,2446739.959999999962747,13784572.179999999701977
FS( 204 ),2554201.000000000000000,2190156.519999999552965,2358072.189999999478459,2168233.559999999590218,2169955.120000000111759,2504333.790000000037253,13944956.179999999701977
FS( 205 ),2623231.500000000000000,2199373.639999999664724,2358912.549999999813735,2127276.410000000149012,2171783.600000000093132,2588389.650000000372529,14068971.349999999627471
FS( 206 ),2606861.409999999683350,2192670.280000000260770,2452822.780000000260770,2168233.559999999590218,2180926.000000000000000,2566819.759999999776483,14168337.789999999105930
FS( 207 ),2540197.669999999925494,2211523.479999999515712,2443578.820000000298023,2139248.500000000000000,2212924.399999999906868,2536132.700000000186265,14083609.570000000298023
FS( 208 ),2572346.159999999683350,2190366.000000000000000,2424040.450000000186265,2120345.200000000186265,2217038.479999999981374,2527460.269999999552965,14051600.560000000521541
FS( 209 ),2533689.080000000074506,2180310.959999999962747,2410804.780000000260770,2095140.800000000046566,2219781.200000000186265,2526793.160000000149012,13966523.980000000447035
FS( 210 ),2546114.570000000298023,2218226.839999999850988,2439587.110000000335276,2146179.709999999962747,2257265.040000000037253,2543915.650000000372529,14151292.919999999925494
FS( 211 ),2551439.780000000260770,2227862.919999999925494,2438536.660000000149012,2148700.150000000372529,2239437.359999999869615,2509670.669999999925494,14115651.540000000968575
FS( 212 ),2535266.919999999925494,2211523.479999999515712,2411014.870000000111759,2149960.370000000111759,2228923.600000000093132,2531018.189999999478459,14067711.429999999701977
FS( 213 ),2493256.929999999701977,2200211.559999999590218,2435175.219999999739230,2125386.080000000074506,2250408.239999999757856,2552588.080000000074506,14057030.109999999403954
FS( 214 ),2497004.299999999813735,2174864.479999999515712,2404502.080000000074506,2091360.139999999897555,2215210.000000000000000,2510115.410000000149012,13893060.410000000149012
FS( 215 ),2507654.720000000204891,2205029.599999999627471,2421309.280000000260770,2061744.969999999972060,2227095.120000000111759,2555034.150000000372529,13977871.840000001713634
FS( 216 ),2455783.229999999981374,2159572.440000000409782,2364795.070000000298023,1997473.750000000000000,2206067.600000000093132,2500775.870000000111759,13684471.960000000894070
FS( 217 ),2411012.020000000018626,2155382.839999999850988,2375509.660000000149012,2037170.679999999934807,2179097.520000000018626,2506557.490000000223517,13664734.209999999031425
FS( 218 ),2454599.850000000093132,2245040.280000000260770,2439166.929999999701977,1940763.850000000093132,2217952.720000000204891,2554589.410000000149012,13852117.040000000968575
FS( 219 ),2437638.070000000298023,2229748.240000000223517,2412275.410000000149012,1948955.280000000027940,2190068.399999999906868,2562817.099999999627471,13781506.500000000000000
FS( 220 ),2464461.350000000093132,2249229.879999999888241,2447570.530000000260770,1942654.179999999934807,2204239.120000000111759,2635532.089999999850988,13943691.150000002235174
FS( 221 ),2505682.419999999925494,2240641.200000000186265,2428242.250000000000000,1927531.540000000037253,2206524.720000000204891,2615074.049999999813735,13923700.179999999701977
FS( 222 ),2533886.310000000055879,2261798.679999999701977,2438746.750000000000000,1946434.840000000083819,2228923.600000000093132,2667553.370000000111759,14077347.550000000745058
FS( 223 ),2514755.000000000000000,2249229.879999999888241,2419418.469999999739230,1936983.189999999944121,2247208.399999999906868,2685342.969999999739230,14052941.910000000149012
FS( 224 ),2483198.200000000186265,2271434.759999999776483,2468369.439999999478459,1972899.459999999962747,2330861.359999999869615,2649319.030000000260770,14176086.250000000000000
FS( 225 ),2509035.330000000074506,2267035.679999999701977,2438536.660000000149012,1965968.250000000000000,2318976.239999999757856,2647095.330000000074506,14146651.490000000223517
FS( 226 ),2498779.370000000111759,2243783.399999999441206,2440217.379999999888241,1940133.739999999990687,2300691.439999999944121,2626637.290000000037253,14050246.619999997317791
FS( 227 ),2433496.239999999757856,2199583.120000000111759,2388325.150000000372529,1883423.840000000083819,2262750.479999999981374,2591502.830000000074506,13759085.660000000149012
FS( 228 ),2450458.020000000018626,2204610.639999999664724,2360803.360000000335276,1895395.929999999934807,2270521.520000000018626,2585054.099999999627471,13766847.570000000298023
FS( 229 ),2430932.250000000000000,2209638.160000000149012,2392106.769999999552965,2016377.050000000046566,2282863.759999999776483,2624191.219999999739230,13956113.210000000894070
FS( 230 ),2492468.010000000242144,2223044.879999999888241,2408283.700000000186265,1982351.110000000102445,2306176.879999999888241,2690679.849999999627471,14103008.430000001564622
FS( 231 ),2454205.390000000130385,2197278.839999999850988,2386854.519999999552965,1970379.020000000018626,2293377.520000000018626,2630417.580000000074506,13932516.869999999180436
FS( 232 ),2450655.250000000000000,2208800.240000000223517,2376770.200000000186265,1941393.959999999962747,2275549.839999999850988,2611738.500000000000000,13864911.990000000223517
FS( 233 ),2471758.859999999869615,2220531.120000000111759,2406392.890000000596046,1941393.959999999962747,2277835.439999999944121,2609737.169999999925494,13927653.440000001341105
FS( 234 ),2511796.549999999813735,2212780.359999999403954,2415006.580000000074506,1955886.489999999990687,2279663.919999999925494,2617297.750000000000000,13992435.649999998509884
FS( 235 ),2485367.729999999981374,2208590.759999999776483,2401350.729999999515712,1969748.910000000149012,2276921.200000000186265,2609514.799999999813735,13951498.129999998956919
FS( 236 ),2477281.299999999813735,2228072.399999999441206,2428452.339999999850988,1972899.459999999962747,2304805.520000000018626,2628193.879999999888241,14039708.899999998509884
FS( 237 ),2496215.379999999888241,2236661.080000000074506,2407023.160000000149012,1968488.689999999944121,2302062.799999999813735,2636199.200000000186265,14046654.309999998658895
FS( 238 ),2506865.799999999813735,2240431.719999999739230,2421099.189999999478459,2011966.280000000027940,2285149.359999999869615,2646205.849999999627471,14111722.199999997392297
FS( 239 ),2501935.049999999813735,2231214.599999999627471,2404291.990000000223517,1999364.080000000074506,2269150.160000000149012,2654433.540000000037253,14060393.419999998062849
FS( 240 ),2491087.399999999906868,2234356.799999999813735,2396098.479999999515712,1984241.439999999944121,2275092.720000000204891,2666663.889999999664724,14047544.730000000447035
FS( 241 ),2500554.439999999944121,2241060.160000000149012,2383493.080000000074506,2068676.179999999934807,2281949.520000000018626,2608847.689999999478459,14084585.069999998435378
FS( 242 ),2488523.410000000149012,2264521.919999999925494,2381812.360000000335276,2071196.619999999878928,2283320.879999999888241,2704022.049999999813735,14193401.240000002086163
FS( 243 ),2460516.750000000000000,2234985.240000000223517,2355130.929999999701977,2045992.219999999972060,2252693.839999999850988,2639757.120000000111759,13989080.100000001490116
FS( 244 ),2516727.299999999813735,2267035.679999999701977,2371097.769999999552965,2062375.079999999841675,2285606.479999999981374,2636866.309999999590218,14139712.619999997317791
FS( 245 ),2503118.429999999701977,2255723.759999999776483,2377610.560000000521541,2043471.780000000027940,2292463.279999999795109,2652432.209999999962747,14124824.019999999552965
FS( 246 ),2536844.760000000242144,2261170.240000000223517,2373828.939999999478459,2060484.750000000232831,2289263.439999999944121,2619743.820000000298023,14141339.949999999254942
FS( 247 ),2557553.909999999683350,2283375.120000000111759,2394207.669999999925494,2038430.900000000139698,2311205.200000000186265,2629750.469999999739230,14214527.269999999552965
FS( 248 ),2569584.939999999944121,2294477.559999999590218,2388745.330000000074506,2021417.929999999934807,2307548.239999999757856,2639312.379999999888241,14221090.379999998956919
FS( 249 ),2616328.450000000186265,2307674.799999999813735,2340214.540000000037253,2047882.550000000046566,2307091.120000000111759,2584831.729999999515712,14204027.190000001341105
FS( 250 ),2575107.379999999888241,2302647.280000000260770,2323197.250000000000000,2080648.270000000251457,2282406.640000000130385,2614851.679999999701977,14178862.500000000000000
FS( 251 ),2537239.219999999739230,2300343.000000000000000,2283910.419999999925494,2072456.840000000083819,2289720.560000000055879,2526348.419999999925494,14010022.460000000894070
FS( 252 ),2468405.950000000186265,2277509.679999999701977,2247564.850000000558794,2051033.099999999860302,2259093.520000000018626,2477204.650000000372529,13780815.750000000000000
