代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13544796.410000000149012
真實報酬,3544796.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13885.527131362838190
風險,199949.984678353124764
起點值,0.069445002227430
找到最佳解世代,1971
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](14),INTC[11](3),JNJ[12](11),KO[14](10),TRV[22](2),UNH[23](8),
FS( 151 ),1887705.270000000018626,1629609.340000000083819,1984255.770000000018626,1640290.139999999897555,1611449.000000000000000,1622293.719999999739230,1593840.760000000009313,11969446.999999998137355
FS( 152 ),1887705.270000000018626,1624731.460000000195578,1988920.489999999990687,1636077.599999999860302,1633934.000000000000000,1626415.479999999981374,1576609.720000000204891,11974397.020000001415610
FS( 153 ),1871219.639999999897555,1610968.869999999878928,1951602.729999999981374,1597540.659999999916181,1645926.000000000000000,1608554.519999999785796,1559934.520000000251457,11845749.939999999478459
FS( 154 ),1910065.089999999850988,1639190.890000000130385,1998249.930000000167638,1636857.699999999720603,1669535.250000000000000,1622121.979999999981374,1604957.560000000288710,12080981.400000000372529
FS( 155 ),1914233.869999999878928,1621421.469999999972060,1960349.079999999841675,1592704.039999999804422,1644052.250000000000000,1612504.540000000037253,1573830.520000000251457,11919098.769999999552965
FS( 156 ),1908738.659999999916181,1612362.550000000046566,1860640.689999999944121,1579442.339999999850988,1666537.250000000000000,1615080.640000000130385,1582168.120000000111759,11824973.250000000000000
FS( 157 ),1891305.579999999841675,1578391.599999999860302,1834984.729999999981374,1546522.119999999878928,1651547.250000000000000,1606150.159999999916181,1555487.800000000279397,11664392.240000002086163
FS( 158 ),1871219.639999999897555,1569681.099999999860302,1874051.760000000009313,1513601.899999999906868,1635433.000000000000000,1608898.000000000000000,1534551.160000000149012,11607439.560000000521541
FS( 159 ),1848291.350000000093132,1530483.849999999860302,1823906.020000000018626,1532324.299999999813735,1620068.249999999767169,1579873.939999999944121,1522322.680000000167638,11457273.390000000596046
FS( 160 ),1824036.629999999888241,1548427.479999999981374,1798833.150000000139698,1510013.439999999944121,1594960.000000000000000,1576782.619999999878928,1582168.120000000111759,11435224.439999997615814
FS( 161 ),1850754.719999999972060,1572120.039999999804422,1829736.919999999925494,1539969.280000000027940,1606952.000000000000000,1601341.439999999944121,1633861.240000000223517,11634738.640000000596046
FS( 162 ),1890358.129999999888241,1600167.849999999860302,1841398.719999999972060,1547770.280000000027940,1622316.750000000000000,1600654.479999999981374,1640531.320000000298023,11743200.530000001192093
FS( 163 ),1941709.919999999925494,1641107.199999999953434,1901456.989999999990687,1565868.599999999860302,1524507.000000000000000,1618515.439999999944121,1685183.800000000279397,11878351.950000001117587
FS( 164 ),1951563.399999999906868,1626125.140000000130385,1881631.930000000167638,1579286.319999999832362,1522258.500000000000000,1641528.599999999860302,1663320.760000000009313,11865717.650000000372529
FS( 165 ),1986429.559999999823049,1651559.800000000046566,1906121.709999999962747,1601285.139999999897555,1531252.500000000000000,1661965.659999999916181,1679810.680000000167638,12018428.050000000745058
FS( 166 ),1993819.669999999925494,1654869.789999999804422,1934693.119999999878928,1609086.139999999897555,1537623.250000000000000,1678452.699999999953434,1697968.120000000111759,12106515.789999999105930
FS( 167 ),1991735.279999999795109,1663231.869999999878928,1935859.300000000279397,1623752.019999999785796,1527505.000000000000000,1698031.060000000055879,1707046.840000000083819,12147164.369999999180436
FS( 168 ),2022622.149999999906868,1682743.390000000130385,1967346.160000000149012,1634985.459999999962747,1520010.000000000000000,1712800.699999999953434,1716496.120000000111759,12257006.980000000447035
FS( 169 ),2033991.550000000046566,1679781.820000000065193,1977841.780000000027940,1646999.000000000000000,1535000.000000000000000,1707476.760000000009313,1722425.080000000074506,12303518.990000000223517
FS( 170 ),2027169.909999999916181,1698944.919999999925494,1899707.719999999972060,1670089.959999999962747,1551489.000000000000000,1717437.679999999934807,1739470.840000000083819,12304313.029999999329448
FS( 171 ),2046497.889999999897555,1698944.919999999925494,1983089.589999999850988,1681635.439999999944121,1569477.000000000000000,1731176.879999999888241,1760407.480000000214204,12471232.199999999254942
FS( 172 ),2073026.489999999990687,1674032.890000000130385,2000582.290000000037253,1676642.799999999813735,1566853.750000000000000,1716578.979999999981374,1757628.280000000260770,12465348.480000000447035
FS( 173 ),2057867.289999999804422,1671768.159999999916181,2013993.359999999869615,1694741.119999999878928,1567228.500000000000000,1736844.299999999813735,1759851.640000000363216,12502297.370000001043081
FS( 174 ),2062794.029999999795109,1668632.380000000121072,1968512.339999999850988,1697861.519999999785796,1585591.250000000000000,1743026.939999999944121,1775044.600000000093132,12501466.059999998658895
FS( 175 ),2059762.189999999944121,1694938.090000000083819,1972010.880000000121072,1700825.899999999906868,1584841.750000000000000,1750240.019999999785796,1782641.080000000074506,12545262.910000000149012
FS( 176 ),2065636.379999999888241,1701209.650000000139698,1958016.719999999972060,1688188.280000000027940,1585966.000000000000000,1758140.060000000055879,1734468.280000000260770,12491628.370000001043081
FS( 177 ),2062225.559999999823049,1710094.359999999869615,1939357.839999999850988,1697861.519999999785796,1588589.250000000000000,1768787.939999999944121,1755590.200000000186265,12522509.669999998062849
FS( 178 ),2078711.189999999944121,1709745.939999999944121,1942273.290000000037253,1699265.699999999720603,1593086.250000000000000,1767929.239999999990687,1773006.520000000251457,12564021.129999998956919
FS( 179 ),2108082.139999999664724,1715843.289999999804422,1946354.920000000158325,1696769.379999999888241,1600581.250000000000000,1769990.119999999878928,1772821.240000000223517,12610445.339999999850988
FS( 180 ),2137832.069999999366701,1724728.000000000000000,1963847.619999999878928,1701762.019999999785796,1603579.250000000000000,1772909.699999999953434,1776897.400000000372529,12681559.059999998658895
FS( 181 ),2163602.709999999962747,1711488.039999999804422,1979591.050000000279397,1687564.199999999720603,1601330.749999999767169,1759170.500000000000000,1762260.280000000260770,12665010.530000001192093
FS( 182 ),2160002.399999999441206,1707829.630000000121072,1996500.660000000149012,1689748.479999999748543,1608451.000000000000000,1764666.179999999934807,1787458.360000000102445,12714659.709999997168779
FS( 183 ),2188046.919999999925494,1672116.580000000074506,2023905.890000000130385,1698017.539999999804422,1631310.750000000000000,1766383.579999999841675,1819326.520000000251457,12799110.779999999329448
FS( 184 ),2172887.719999999739230,1684659.699999999953434,2002914.650000000139698,1696925.399999999906868,1657168.500000000000000,1769474.899999999906868,1794684.280000000260770,12778718.150000002235174
FS( 185 ),2203964.080000000074506,1699815.969999999972060,2096209.050000000279397,1687876.239999999990687,1658292.750000000000000,1776859.719999999739230,1794499.000000000000000,12917519.809999998658895
FS( 186 ),2206995.919999999925494,1712184.880000000121072,2075217.810000000288710,1682883.599999999860302,1667661.500000000000000,1782870.619999999878928,1791905.080000000074506,12919722.410000000149012
FS( 187 ),2247925.759999999776483,1714275.400000000139698,2113701.750000000000000,1667593.639999999897555,1659042.250000000232831,1782527.140000000130385,1795425.400000000372529,12980494.340000001713634
FS( 188 ),2228408.290000000037253,1690060.210000000195578,2117783.379999999888241,1664785.280000000027940,1665038.250000000000000,1776344.500000000000000,1813953.400000000372529,12956376.310000000521541
FS( 189 ),2254936.889999999664724,1702080.699999999953434,2151602.600000000093132,1672742.299999999813735,1659791.750000000000000,1792488.060000000055879,1817844.280000000260770,13051489.579999998211861
FS( 190 ),2253610.459999999962747,1731696.400000000139698,2172010.750000000000000,1688968.379999999888241,1680028.250000000000000,1793861.979999999981374,1827478.840000000083819,13147658.060000000521541
FS( 191 ),2180467.319999999366701,1722637.479999999981374,2167346.030000000260770,1685535.939999999944121,1669535.250000000000000,1793690.239999999990687,1835445.880000000121072,13054661.140000000596046
FS( 192 ),2172129.759999999776483,1710094.359999999869615,2192418.899999999906868,1693024.899999999906868,1669160.500000000000000,1793003.280000000027940,1849712.440000000176951,13079547.139999998733401
FS( 193 ),2196763.459999999962747,1717585.390000000130385,2182506.370000000111759,1680699.319999999832362,1641429.000000000000000,1806570.739999999990687,1867684.600000000093132,13093241.880000000819564
FS( 194 ),2188425.899999999441206,1723856.949999999953434,2184255.640000000130385,1678203.000000000000000,1630186.500000000000000,1805025.079999999841675,1846747.960000000195578,13056704.030000001192093
FS( 195 ),2179140.889999999664724,1735877.439999999944121,2196500.530000000260770,1693024.899999999906868,1631310.750000000000000,1806742.479999999981374,1858976.440000000176951,13101576.429999999701977
FS( 196 ),2129873.490000000223517,1749640.030000000027940,2169095.300000000279397,1693180.919999999925494,1616695.500000000000000,1817733.840000000083819,1851379.960000000195578,13027602.040000000968575
FS( 197 ),2162465.769999999552965,1735877.439999999944121,2151019.510000000242144,1685847.979999999748543,1575473.000000000000000,1803651.159999999916181,1871760.760000000009313,12986098.619999999180436
FS( 198 ),2121346.440000000409782,1723682.739999999990687,2123614.280000000260770,1657608.359999999869615,1558984.000000000000000,1790598.919999999925494,1836001.720000000204891,12811839.460000000894070
FS( 199 ),2115093.269999999552965,1746852.669999999925494,2139940.800000000279397,1665097.319999999832362,1556360.750000000000000,1795922.859999999869615,1847859.640000000363216,12867130.310000000521541
FS( 200 ),2079279.659999999916181,1738316.380000000121072,2112535.569999999832362,1629368.739999999990687,1533126.249999999767169,1771707.519999999785796,1829887.480000000214204,12694224.599999999627471
FS( 201 ),2050856.159999999916181,1743020.050000000046566,2094459.780000000027940,1622035.799999999813735,1520384.750000000000000,1770505.340000000083819,1820808.760000000009313,12622073.639999998733401
FS( 202 ),2022811.639999999897555,1690931.260000000009313,2073468.540000000037253,1603313.399999999906868,1513639.250000000000000,1770333.599999999860302,1775971.000000000000000,12450471.689999999478459
FS( 203 ),2073215.979999999748543,1723682.739999999990687,2113118.660000000149012,1623752.019999999785796,1557110.250000000000000,1793175.019999999785796,1836928.120000000111759,12720985.789999999105930
FS( 204 ),2134610.740000000223517,1753821.070000000065193,2158599.680000000167638,1666501.500000000000000,1588589.250000000000000,1819622.979999999981374,1894364.920000000158325,13016113.140000000596046
FS( 205 ),2118125.110000000335276,1775771.530000000027940,2120698.830000000074506,1646842.979999999748543,1572100.250000000000000,1816188.179999999934807,1898996.920000000158325,12948726.799999998882413
FS( 206 ),2140105.950000000186265,1803122.500000000000000,2169678.390000000130385,1665409.359999999869615,1587090.250000000000000,1825805.619999999878928,1909187.320000000298023,13100402.389999998733401
FS( 207 ),2132526.349999999627471,1807651.960000000195578,2182506.370000000111759,1627028.439999999944121,1610324.750000000000000,1836796.979999999981374,1905667.000000000000000,13102504.849999999627471
FS( 208 ),2122483.379999999888241,1804167.760000000009313,2183089.459999999962747,1631865.060000000055879,1609200.500000000000000,1832846.959999999962747,1902517.240000000223517,13086173.360000001266599
FS( 209 ),2160002.399999999441206,1807477.750000000000000,2189503.449999999720603,1639198.000000000000000,1609950.000000000000000,1832503.479999999981374,1900108.600000000093132,13138746.679999999701977
FS( 210 ),2158486.479999999515712,1821066.130000000121072,2167929.120000000111759,1643410.539999999804422,1606202.500000000000000,1836796.979999999981374,1896032.440000000176951,13129927.189999999478459
FS( 211 ),2132147.370000000111759,1816536.669999999925494,2143439.339999999850988,1643878.599999999860302,1602455.000000000000000,1836453.500000000000000,1905667.000000000000000,13080580.480000000447035
FS( 212 ),2091596.509999999776483,1828731.369999999878928,2116034.109999999869615,1631553.019999999785796,1582218.500000000000000,1817905.579999999841675,1873057.720000000204891,12941099.810000000521541
FS( 213 ),2071700.059999999823049,1801903.030000000027940,2120115.739999999757856,1630772.919999999925494,1579220.500000000000000,1810864.239999999990687,1867314.040000000270084,12881893.530000001192093
FS( 214 ),2013337.139999999897555,1764099.460000000195578,2096209.050000000279397,1619383.459999999962747,1579220.500000000000000,1789053.260000000009313,1836557.560000000288710,12697863.429999999701977
FS( 215 ),2013526.629999999888241,1758698.949999999953434,2057142.020000000018626,1611426.439999999944121,1591212.500000000000000,1773081.439999999944121,1832851.960000000195578,12637942.939999999478459
FS( 216 ),2041760.639999999897555,1818975.609999999869615,2100290.680000000167638,1646999.000000000000000,1611074.250000000000000,1803307.679999999934807,1851565.240000000223517,12873976.099999999627471
FS( 217 ),2120209.500000000000000,1859218.119999999878928,2139357.709999999962747,1659948.659999999916181,1630561.250000000000000,1840747.000000000000000,1939943.800000000279397,13189989.040000000968575
FS( 218 ),2122483.379999999888241,1827337.689999999944121,2143439.339999999850988,1637325.759999999776483,1612573.250000000000000,1817562.099999999860302,1921786.360000000102445,13082510.879999998956919
FS( 219 ),2070184.139999999897555,1819149.820000000065193,2134109.899999999906868,1631709.039999999804422,1597958.000000000000000,1806742.479999999981374,1900108.600000000093132,12959964.979999998584390
FS( 220 ),2088564.669999999925494,1807129.330000000074506,2128279.000000000000000,1634517.399999999906868,1597583.250000000000000,1809490.319999999832362,1909743.160000000149012,12975310.130000000819564
FS( 221 ),2080606.089999999850988,1788140.439999999944121,2119532.649999999906868,1622659.879999999888241,1594960.000000000000000,1782183.659999999916181,1914560.440000000176951,12902646.159999998286366
FS( 222 ),2024138.069999999832362,1759744.210000000195578,2110203.209999999962747,1599100.859999999869615,1588214.500000000000000,1789740.219999999739230,1935497.080000000074506,12806641.150000000372529
FS( 223 ),2008410.399999999906868,1813923.520000000018626,2125363.550000000279397,1623283.959999999962747,1593835.750000000000000,1829755.640000000130385,1959768.760000000009313,12954344.580000000074506
FS( 224 ),2060141.169999999925494,1798767.250000000000000,2104372.310000000055879,1580378.459999999962747,1617444.999999999767169,1817733.840000000083819,1956989.560000000288710,12935830.589999999850988
FS( 225 ),2075868.839999999850988,1803645.130000000121072,2127112.819999999832362,1589895.679999999934807,1624940.000000000000000,1803479.419999999925494,2025543.160000000149012,13050488.049999998882413
FS( 226 ),2129873.490000000223517,1847894.469999999972060,2152185.689999999944121,1618915.399999999906868,1640679.500000000000000,1857749.260000000009313,2109475.000000000000000,13356775.810000000521541
FS( 227 ),2140863.910000000149012,1835699.770000000018626,2125363.550000000279397,1594576.280000000027940,1623066.250000000000000,1837655.679999999934807,2075198.200000000186265,13232426.640000000596046
FS( 228 ),2143137.790000000037253,1852946.560000000055879,2088045.790000000037253,1595512.399999999906868,1611449.000000000000000,1838857.859999999869615,2067972.280000000260770,13197924.679999999701977
FS( 229 ),2068099.750000000000000,1832041.359999999869615,1993585.209999999962747,1592860.060000000055879,1588589.250000000000000,1821340.379999999888241,2038327.480000000214204,12934846.490000002086163
FS( 230 ),2185015.080000000074506,1824724.539999999804422,1969678.520000000018626,1583342.839999999850988,1570976.000000000000000,1796094.599999999860302,2009609.080000000074506,12939443.660000000149012
FS( 231 ),2253041.990000000223517,1874897.020000000018626,1994751.390000000130385,1597384.639999999897555,1577721.500000000000000,1795407.640000000130385,2026840.120000000111759,13120047.300000000745058
FS( 232 ),2220070.729999999515712,1819149.820000000065193,1926529.859999999869615,1562436.159999999916181,1542869.750000000000000,1765868.359999999869615,1968662.200000000186265,12805589.879999998956919
FS( 233 ),2247925.759999999776483,1819324.030000000027940,1962098.349999999860302,1573201.539999999804422,1558609.250000000232831,1796094.599999999860302,1987931.320000000298023,12945187.849999999627471
FS( 234 ),2248304.740000000223517,1868277.039999999804422,1965013.800000000279397,1598632.799999999813735,1560108.250000000000000,1821168.640000000130385,1997565.880000000121072,13059074.150000000372529
FS( 235 ),2265548.330000000074506,1888659.609999999869615,1959182.900000000139698,1581470.599999999860302,1561982.000000000000000,1833018.699999999953434,1999603.960000000195578,13089469.099999999627471
FS( 236 ),2272748.950000000186265,1898763.789999999804422,1979007.959999999962747,1598632.799999999813735,1566104.250000000000000,1844697.019999999785796,2016279.160000000149012,13176236.929999999701977
FS( 237 ),2253610.459999999962747,1899634.840000000083819,1941690.199999999720603,1577414.079999999841675,1553362.750000000000000,1841090.479999999981374,1993675.000000000000000,13060480.810000000521541
FS( 238 ),2268580.169999999925494,1887440.140000000130385,1920115.869999999878928,1556819.439999999944121,1545118.249999999767169,1816531.659999999916181,1973108.920000000158325,12967717.449999999254942
FS( 239 ),2312162.870000000111759,1928031.070000000065193,1965013.800000000279397,1565712.579999999841675,1588964.000000000000000,1829412.159999999916181,2019058.360000000102445,13208357.839999999850988
FS( 240 ),2366357.009999999776483,1921759.510000000009313,1956267.449999999720603,1566180.639999999897555,1587839.750000000000000,1850879.659999999916181,2035363.000000000000000,13284650.019999999552965
FS( 241 ),2396296.429999999701977,1953988.359999999869615,1990086.670000000158325,1535912.759999999776483,1580344.750000000000000,1855516.640000000130385,2035177.720000000204891,13347326.330000000074506
FS( 242 ),2408044.809999999590218,1949284.689999999944121,2003497.739999999990687,1554323.119999999878928,1573599.250000000000000,1854829.679999999934807,2027766.520000000251457,13371348.809999998658895
FS( 243 ),2422256.559999999590218,1951201.000000000000000,2025655.160000000149012,1567116.759999999776483,1566853.750000000000000,1854829.679999999934807,2033695.480000000214204,13421611.390000000596046
FS( 244 ),2439121.169999999925494,1951026.789999999804422,1998249.930000000167638,1559627.799999999813735,1563855.749999999767169,1854486.199999999953434,2033880.760000000009313,13400251.399999998509884
FS( 245 ),2434004.939999999478459,1932734.739999999990687,1994751.390000000130385,1571173.280000000027940,1578096.250000000000000,1854657.939999999944121,2038698.040000000270084,13404119.580000001937151
FS( 246 ),2453901.389999999664724,1955382.039999999804422,2006413.189999999711290,1564308.399999999906868,1572849.750000000000000,1851738.359999999869615,2086685.560000000288710,13491281.689999999478459
FS( 247 ),2520222.889999999664724,1956078.880000000121072,1968512.339999999850988,1563060.239999999990687,1568352.750000000000000,1839029.599999999860302,2156721.400000000372529,13571981.099999999627471
FS( 248 ),2504495.219999999739230,2033950.750000000000000,2006413.189999999711290,1571173.280000000027940,1578845.750000000000000,1847101.379999999888241,2138749.240000000223517,13680731.810000000521541
FS( 249 ),2440447.599999999627471,2026285.510000000009313,1979591.050000000279397,1579130.299999999813735,1575847.750000000000000,1836110.019999999785796,2113180.600000000093132,13550595.830000000074506
FS( 250 ),2471334.469999999739230,2010083.979999999981374,1962098.349999999860302,1603937.479999999748543,1591212.500000000000000,1851738.359999999869615,2105954.680000000167638,13596362.819999996572733
FS( 251 ),2434194.429999999701977,1999108.750000000000000,1938774.750000000000000,1599412.899999999906868,1622691.500000000000000,1845212.239999999990687,2105398.840000000316650,13544796.410000000149012
