代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15272573.400000000372529
真實報酬,5272573.400000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20710.953480907104677
風險,248398.003872037283145
起點值,0.083378099493812
找到最佳解世代,2512
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](11),HD[9](21),JNJ[12](9),MCD[15](25),MRK[17](20),MSFT[18](7),PG[21](4),
FS( 135 ),2194135.970000000204891,1822079.400000000139698,1418377.340000000083819,1473650.830000000074506,1282584.320000000065193,1521857.310000000055879,1664938.530000000027940,1490871.119999999878928,12868494.819999998435378
FS( 136 ),2185282.180000000167638,1830544.200000000186265,1444079.800000000279397,1437828.989999999990687,1290956.679999999934807,1501479.590000000083819,1670764.500000000000000,1484648.399999999906868,12845584.340000001713634
FS( 137 ),2199770.199999999720603,1852058.900000000139698,1436211.700000000186265,1426988.169999999925494,1301139.280000000027940,1523709.830000000074506,1680474.450000000186265,1485944.800000000046566,12906297.330000001937151
FS( 138 ),2190916.410000000149012,1825606.400000000139698,1432015.380000000121072,1436179.300000000046566,1316978.880000000121072,1542235.030000000027940,1729024.200000000186265,1484129.839999999850988,12957085.440000001341105
FS( 139 ),2161940.370000000111759,1876042.500000000000000,1429917.220000000204891,1424867.140000000130385,1330103.120000000111759,1538066.860000000102445,1715430.270000000018626,1489315.439999999711290,12965682.919999999925494
FS( 140 ),2182867.510000000242144,1885212.700000000186265,1449325.200000000186265,1441364.040000000037253,1341417.120000000111759,1562149.619999999878928,1706367.649999999906868,1498390.239999999757856,13067094.080000000074506
FS( 141 ),2285088.540000000037253,1830191.500000000232831,1414705.560000000055879,1427930.850000000093132,1333271.040000000037253,1561686.489999999990687,1707014.979999999981374,1507205.760000000009313,13067094.719999998807907
FS( 142 ),2355918.859999999869615,1785751.300000000279397,1380610.460000000195578,1421332.090000000083819,1319920.520000000018626,1513520.970000000204891,1720608.909999999916181,1490611.839999999850988,12988274.950000001117587
FS( 143 ),2359138.419999999925494,1801270.100000000093132,1401592.060000000055879,1436179.300000000046566,1346395.280000000027940,1522320.439999999944121,1721256.239999999990687,1507205.760000000009313,13095357.599999999627471
FS( 144 ),2344650.399999999906868,1759651.500000000232831,1377987.760000000242144,1426752.500000000000000,1344811.320000000065193,1501942.720000000204891,1813824.429999999934807,1494501.039999999804422,13064121.669999999925494
FS( 145 ),2328552.600000000093132,1703219.500000000232831,1369070.580000000307336,1416147.350000000093132,1339606.880000000121072,1482954.390000000363216,1856548.209999999962747,1475314.319999999832362,12971413.830000001937151
FS( 146 ),2269795.629999999888241,1684173.700000000186265,1363825.180000000167638,1414497.660000000149012,1335533.840000000083819,1501942.720000000204891,1850722.239999999990687,1482574.159999999916181,12903065.130000000819564
FS( 147 ),2212648.439999999944121,1665480.600000000093132,1322386.520000000251457,1403892.510000000009313,1326935.199999999953434,1484343.780000000027940,1813824.429999999934807,1483870.559999999823049,12713382.040000000968575
FS( 148 ),2257722.280000000260770,1721559.900000000372529,1359104.320000000065193,1410726.939999999944121,1338249.199999999953434,1450072.160000000149012,1826771.030000000027940,1543764.239999999757856,12907970.070000000298023
FS( 149 ),2167574.600000000093132,1685937.200000000186265,1316092.040000000270084,1391637.669999999925494,1326256.360000000102445,1432473.220000000204891,1795051.860000000102445,1503835.119999999878928,12618858.070000000298023
FS( 150 ),2176428.390000000130385,1702514.100000000325963,1314518.420000000158325,1402007.150000000139698,1338701.760000000009313,1447756.510000000242144,1804761.810000000055879,1528466.719999999972060,12715154.860000001266599
FS( 151 ),2169989.270000000018626,1696518.200000000186265,1311371.180000000167638,1388809.630000000121072,1340512.000000000000000,1420431.840000000083819,1782105.260000000009313,1518873.359999999869615,12628610.740000000223517
FS( 152 ),2194135.970000000204891,1695460.100000000093132,1309273.020000000251457,1402714.160000000149012,1364271.399999999906868,1511668.450000000186265,1816413.750000000000000,1530540.959999999962747,12824477.810000002384186
FS( 153 ),2231160.910000000149012,1755419.100000000325963,1344417.200000000186265,1413554.979999999981374,1391198.719999999972060,1514910.360000000102445,1842954.280000000027940,1567877.279999999795109,13061492.830000000074506
FS( 154 ),2234380.470000000204891,1752244.800000000279397,1368021.500000000000000,1421096.419999999925494,1396629.439999999944121,1509352.800000000279397,1846190.929999999934807,1582656.239999999757856,13110572.600000001490116
FS( 155 ),2316479.250000000000000,1811145.700000000186265,1406312.920000000158325,1431701.570000000065193,1417447.199999999953434,1548255.720000000204891,1876615.439999999944121,1603657.919999999925494,13411615.720000000670552
FS( 156 ),2334186.830000000074506,1774817.600000000093132,1406837.460000000195578,1443013.729999999981374,1409301.120000000111759,1556592.060000000055879,1877910.100000000093132,1603917.199999999953434,13406576.099999999627471
FS( 157 ),2337406.390000000130385,1787514.800000000279397,1432539.920000000158325,1434529.610000000102445,1421746.520000000018626,1538529.989999999990687,1885030.729999999981374,1613510.559999999823049,13450808.520000001415610
FS( 158 ),2322918.370000000111759,1773406.800000000279397,1428868.140000000130385,1441128.370000000111759,1406812.040000000037253,1527414.869999999878928,1900566.649999999906868,1589397.519999999785796,13390512.759999999776483
FS( 159 ),2351089.520000000018626,1787514.800000000279397,1434113.540000000270084,1447727.130000000121072,1438717.520000000018626,1532972.430000000167638,1918044.560000000055879,1597435.199999999953434,13507614.699999999254942
FS( 160 ),2376041.109999999869615,1851000.800000000046566,1450374.280000000027940,1465638.050000000046566,1460214.120000000111759,1565854.660000000149012,1912218.589999999850988,1614547.679999999934807,13695889.289999999105930
FS( 161 ),2380065.560000000055879,1852764.300000000279397,1415754.640000000130385,1465166.710000000195578,1438491.239999999990687,1588084.900000000139698,1941995.770000000018626,1615584.800000000046566,13697907.919999999925494
FS( 162 ),2367992.210000000428408,1834776.600000000325963,1431490.840000000083819,1468701.760000000009313,1447768.719999999972060,1627450.950000000186265,1949116.399999999906868,1618177.599999999860302,13745475.080000001937151
FS( 163 ),2305210.790000000037253,1813967.300000000279397,1422049.120000000111759,1471294.130000000121072,1434870.760000000009313,1636250.420000000158325,1927754.510000000009313,1611436.319999999832362,13622833.350000001490116
FS( 164 ),2298771.669999999925494,1823490.200000000186265,1425720.900000000139698,1468466.090000000083819,1447542.439999999944121,1688584.110000000102445,1917397.229999999981374,1602361.519999999785796,13672334.160000000149012
FS( 165 ),2367187.320000000298023,1856291.300000000279397,1443030.720000000204891,1477421.550000000046566,1447995.000000000000000,1686731.590000000083819,1938111.790000000037253,1626474.559999999823049,13843243.830000000074506
FS( 166 ),2351089.520000000018626,1833013.100000000093132,1445653.420000000158325,1488969.380000000121072,1453199.439999999944121,1677468.989999999990687,1936169.800000000046566,1628289.519999999785796,13813853.169999999925494
FS( 167 ),2347869.960000000428408,1866872.300000000279397,1460865.080000000307336,1491797.419999999925494,1458403.880000000121072,1693678.540000000037253,1928401.839999999850988,1630104.479999999748543,13877993.500000000000000
FS( 168 ),2306820.570000000298023,1849942.700000000186265,1448276.120000000111759,1482134.950000000186265,1439170.080000000074506,1680710.900000000139698,1891504.030000000027940,1619992.559999999823049,13718551.910000002011657
FS( 169 ),2298771.669999999925494,1848531.900000000139698,1435162.620000000111759,1480956.600000000093132,1431250.280000000027940,1677005.860000000102445,1903803.300000000046566,1616621.919999999925494,13692104.150000000372529
FS( 170 ),2264966.290000000037253,1894735.600000000093132,1468733.180000000167638,1496746.489999999990687,1437812.399999999906868,1708035.570000000298023,1942643.100000000093132,1631141.599999999860302,13844814.230000000447035
FS( 171 ),2256112.500000000000000,1896851.800000000279397,1486043.000000000000000,1505466.280000000027940,1414279.280000000027940,1704330.530000000027940,1927754.510000000009313,1638401.439999999711290,13829239.339999999850988
FS( 172 ),2259332.060000000055879,1896499.100000000325963,1465061.400000000139698,1512065.040000000037253,1402286.439999999944121,1702941.140000000363216,1930991.159999999916181,1622066.800000000046566,13791243.140000002458692
FS( 173 ),2223112.010000000242144,1928594.800000000279397,1472929.500000000000000,1516778.439999999944121,1393687.800000000046566,1699699.230000000214204,1940701.110000000102445,1623103.919999999925494,13798606.810000000521541
FS( 174 ),2172403.939999999944121,1968802.600000000093132,1480273.060000000055879,1517014.110000000102445,1401381.320000000065193,1699699.230000000214204,1928401.839999999850988,1619733.279999999795109,13787709.379999998956919
FS( 175 ),2182867.510000000242144,1963159.400000000139698,1451423.360000000335276,1514186.070000000065193,1371512.360000000102445,1683489.680000000167638,1914160.580000000074506,1604176.479999999748543,13684975.440000001341105
FS( 176 ),2274624.970000000204891,1956458.100000000093132,1445128.880000000121072,1517249.780000000027940,1371286.080000000074506,1720540.080000000074506,1923223.200000000186265,1613769.839999999850988,13822280.929999999701977
FS( 177 ),2258527.169999999925494,1940233.900000000139698,1468208.640000000130385,1526440.909999999916181,1381468.679999999934807,1738602.150000000139698,1933580.479999999981374,1613769.839999999850988,13860831.770000001415610
FS( 178 ),2238404.919999999925494,1961043.200000000186265,1494435.640000000130385,1528326.270000000018626,1395271.760000000009313,1716835.040000000037253,1932285.820000000065193,1616362.639999999897555,13882965.289999999105930
FS( 179 ),2264966.290000000037253,1976914.700000000186265,1514368.160000000149012,1530918.639999999897555,1406133.199999999953434,1749254.140000000363216,1949116.399999999906868,1633734.399999999906868,14025405.930000001564622
FS( 180 ),2232770.689999999944121,1963512.100000000325963,1522236.260000000242144,1525733.899999999906868,1402965.280000000027940,1759906.130000000121072,1943290.429999999934807,1610658.479999999748543,13961073.270000001415610
FS( 181 ),2242429.370000000111759,1944466.300000000279397,1519089.020000000251457,1527147.919999999925494,1412469.040000000037253,1748327.880000000121072,1948469.070000000065193,1611695.599999999860302,13954094.200000001117587
FS( 182 ),2206209.320000000298023,1921188.100000000093132,1510696.380000000121072,1519370.810000000055879,1401155.040000000037253,1726560.770000000251457,1916102.570000000065193,1596916.639999999897555,13798199.630000002682209
FS( 183 ),2247258.710000000428408,1884860.000000000000000,1502828.280000000027940,1517014.110000000102445,1406812.040000000037253,1732118.330000000074506,1965299.649999999906868,1595879.519999999785796,13852070.640000000596046
FS( 184 ),2279454.310000000055879,1915192.200000000186265,1519089.020000000251457,1516071.429999999934807,1417899.760000000009313,1745549.100000000093132,1975656.929999999934807,1589397.519999999785796,13958310.269999999552965
FS( 185 ),2303601.010000000242144,1943408.200000000186265,1536398.840000000083819,1520784.830000000074506,1424914.439999999944121,1748327.880000000121072,1995076.830000000074506,1589397.519999999785796,14061909.550000000745058
FS( 186 ),2323723.260000000242144,1938470.400000000139698,1521187.180000000167638,1521727.510000000009313,1433739.360000000102445,1725171.380000000121072,2001550.130000000121072,1589656.800000000046566,14055226.020000001415610
FS( 187 ),2403407.370000000111759,1956810.800000000046566,1530104.360000000335276,1524791.220000000204891,1435097.040000000037253,1713130.000000000232831,2006728.770000000018626,1588878.959999999962747,14158948.519999999552965
FS( 188 ),2433188.300000000279397,1944819.000000000232831,1530628.900000000139698,1530447.300000000046566,1439396.360000000102445,1727023.900000000139698,2017733.380000000121072,1588101.119999999878928,14211338.260000001639128
FS( 189 ),2404212.260000000242144,1947287.900000000139698,1535349.760000000242144,1530447.300000000046566,1438943.800000000046566,1718224.430000000167638,2031974.640000000130385,1596657.359999999869615,14203097.449999999254942
FS( 190 ),2433188.300000000279397,1938470.400000000139698,1528006.200000000186265,1529740.290000000037253,1423104.199999999953434,1716371.910000000149012,2004139.450000000186265,1591212.479999999748543,14164233.230000000447035
FS( 191 ),2422724.729999999981374,1909196.300000000279397,1517515.400000000139698,1517956.790000000037253,1412921.599999999860302,1692289.150000000139698,1973067.610000000102445,1572025.760000000009313,14017697.339999999850988
FS( 192 ),2460554.560000000055879,1981499.800000000279397,1503877.360000000335276,1524319.880000000121072,1420615.120000000111759,1714056.260000000009313,2003492.119999999878928,1584730.479999999748543,14193145.580000000074506
FS( 193 ),2465383.899999999906868,2046396.600000000325963,1514892.700000000186265,1506644.630000000121072,1409753.679999999934807,1721003.209999999962747,2004139.450000000186265,1585249.039999999804422,14253463.209999997168779
FS( 194 ),2425944.290000000037253,2108471.800000000279397,1509647.300000000279397,1518899.470000000204891,1390519.880000000121072,1744159.709999999962747,1991840.179999999934807,1577729.919999999925494,14267212.550000002607703
FS( 195 ),2421114.949999999720603,2193825.200000000186265,1527481.660000000149012,1508058.650000000139698,1400702.479999999981374,1746938.489999999990687,1971125.619999999878928,1569173.679999999934807,14338420.730000000447035
FS( 196 ),2437212.750000000000000,2172663.200000000186265,1520138.100000000093132,1513243.389999999897555,1399344.800000000046566,1746012.230000000214204,1984719.550000000046566,1567099.439999999711290,14340433.460000000894070
FS( 197 ),2416285.609999999869615,2146916.100000000093132,1477125.820000000065193,1513479.060000000055879,1410206.239999999990687,1752959.180000000167638,1959473.679999999934807,1560876.719999999972060,14237322.410000000149012
FS( 198 ),2388114.460000000428408,2131397.300000000279397,1467684.100000000093132,1521491.840000000083819,1417899.760000000009313,1739065.280000000027940,1946527.080000000074506,1578767.039999999804422,14190946.859999999403954
FS( 199 ),2421919.839999999850988,2157144.399999999906868,1475552.200000000186265,1531154.310000000055879,1416315.800000000046566,1802977.220000000204891,1964652.320000000065193,1595101.679999999934807,14364817.770000001415610
FS( 200 ),2408236.710000000428408,2171252.400000000372529,1484469.380000000121072,1534218.020000000018626,1417673.479999999981374,1852069.000000000232831,2004139.450000000186265,1596657.359999999869615,14468715.800000000745058
FS( 201 ),2367992.210000000428408,2145152.600000000093132,1498631.960000000195578,1521491.840000000083819,1409301.120000000111759,1827986.239999999990687,1997666.149999999906868,1576952.079999999841675,14345174.200000001117587
FS( 202 ),2472627.910000000149012,2139156.700000000186265,1514892.700000000186265,1540109.770000000018626,1436454.719999999972060,1881246.189999999944121,2013202.070000000065193,1600287.279999999795109,14597977.339999999850988
FS( 203 ),2434798.080000000074506,2123285.200000000186265,1503352.820000000065193,1535396.370000000111759,1425819.560000000055879,1900234.520000000251457,1980188.239999999990687,1567358.719999999972060,14470433.510000001639128
FS( 204 ),2392138.910000000149012,2088015.200000000186265,1493911.100000000093132,1507587.310000000055879,1430118.880000000121072,1856237.170000000158325,1942643.100000000093132,1551542.639999999897555,14262194.310000002384186
FS( 205 ),2273820.080000000074506,2037579.100000000325963,1454046.060000000055879,1489440.720000000204891,1434418.199999999953434,1800198.439999999944121,1874673.450000000186265,1563728.800000000046566,13927904.850000001490116
FS( 206 ),2334991.720000000204891,2037931.800000000279397,1448800.660000000149012,1489912.060000000055879,1427629.800000000046566,1795104.010000000009313,1897977.330000000074506,1572025.760000000009313,14004373.140000000596046
FS( 207 ),2367992.210000000428408,2035462.900000000139698,1454570.600000000093132,1479778.250000000000000,1443921.960000000195578,1786767.670000000158325,1909629.270000000018626,1573581.439999999711290,14051704.300000000745058
FS( 208 ),2390529.129999999888241,2184302.300000000279397,1460340.540000000270084,1495096.800000000046566,1442111.719999999972060,1789546.450000000186265,1920633.880000000121072,1576692.800000000046566,14259253.620000002905726
FS( 209 ),2291527.660000000149012,2206522.400000000372529,1434113.540000000270084,1503580.919999999925494,1421746.520000000018626,1758516.739999999990687,1887620.050000000046566,1599250.159999999916181,14102877.990000002086163
FS( 210 ),2208623.990000000223517,2137393.200000000186265,1469257.720000000204891,1481427.939999999944121,1412695.320000000065193,1768242.470000000204891,1824181.709999999962747,1595879.519999999785796,13897701.870000001043081
FS( 211 ),2239209.810000000055879,2176190.200000000186265,1489190.240000000223517,1486848.350000000093132,1445732.199999999953434,1773800.030000000027940,1839070.300000000046566,1607287.839999999850988,14057328.969999998807907
FS( 212 ),2252088.050000000279397,2184655.000000000000000,1522760.800000000279397,1508058.650000000139698,1448900.120000000111759,1831228.150000000139698,1842306.950000000186265,1630882.319999999832362,14220880.040000002831221
FS( 213 ),2290722.770000000018626,2167725.400000000372529,1493386.560000000055879,1499574.530000000027940,1475601.159999999916181,1793251.489999999990687,1853311.560000000055879,1624400.319999999832362,14197973.790000000968575
FS( 214 ),2208623.990000000223517,2092247.600000000093132,1465061.400000000139698,1476243.200000000186265,1449578.960000000195578,1718224.430000000167638,1802172.489999999990687,1591990.319999999832362,13804142.390000000596046
FS( 215 ),2247258.710000000428408,2059799.200000000186265,1467684.100000000093132,1476243.200000000186265,1433965.639999999897555,1701088.619999999878928,1813824.429999999934807,1589397.519999999785796,13789261.419999998062849
FS( 216 ),2231965.800000000279397,2041811.500000000232831,1499681.040000000270084,1469880.110000000102445,1423783.040000000037253,1694604.800000000279397,1794404.530000000027940,1581878.399999999906868,13738009.220000002533197
FS( 217 ),2256112.500000000000000,2107061.000000000465661,1514368.160000000149012,1479071.239999999990687,1438491.239999999990687,1689047.239999999990687,1813177.100000000093132,1601324.399999999906868,13898652.880000000819564
FS( 218 ),2243234.260000000242144,2100007.000000000000000,1502828.280000000027940,1478364.229999999981374,1431250.280000000027940,1676542.730000000214204,1811882.439999999944121,1598990.879999999888241,13843100.099999997764826
FS( 219 ),2284283.649999999906868,2137040.500000000465661,1520662.640000000130385,1482606.290000000037253,1443469.399999999906868,1708035.570000000298023,1820297.729999999981374,1606510.000000000000000,14002905.780000001192093
FS( 220 ),2304405.899999999906868,2103886.700000000186265,1521187.180000000167638,1478128.560000000055879,1438943.800000000046566,1709888.090000000083819,1807998.459999999962747,1601324.399999999906868,13965763.090000001713634
FS( 221 ),2339016.169999999925494,2160671.399999999906868,1544266.940000000176951,1499103.189999999944121,1448447.560000000055879,1744159.709999999962747,1835186.320000000065193,1629067.359999999869615,14199918.650000002235174
FS( 222 ),2329357.490000000223517,2180422.600000000093132,1574690.260000000242144,1507822.979999999981374,1454104.560000000055879,1729339.550000000279397,1850722.239999999990687,1629585.919999999925494,14256045.600000001490116
FS( 223 ),2333381.939999999944121,2218161.500000000000000,1589377.380000000121072,1520784.830000000074506,1459082.720000000204891,1727023.900000000139698,1875320.780000000027940,1643587.039999999804422,14366720.089999997988343
FS( 224 ),2318893.919999999925494,2242850.500000000465661,1581509.280000000027940,1503816.590000000083819,1464966.000000000000000,1736286.500000000232831,1862374.179999999934807,1645142.719999999972060,14355839.689999999478459
FS( 225 ),2304405.899999999906868,2256253.100000000093132,1590426.460000000195578,1496275.150000000139698,1465644.839999999850988,1719150.689999999944121,1859784.860000000102445,1644364.879999999888241,14336305.879999998956919
FS( 226 ),2265771.180000000167638,2213929.100000000093132,1612981.680000000167638,1492033.090000000083819,1467907.640000000130385,1690899.760000000009313,1833891.659999999916181,1638920.000000000000000,14216334.110000001266599
FS( 227 ),2307625.460000000428408,2238970.800000000279397,1644978.620000000111759,1495332.470000000204891,1476732.560000000055879,1710351.220000000204891,1853311.560000000055879,1656551.039999999804422,14383853.730000002309680
FS( 228 ),2322918.370000000111759,2217456.100000000093132,1644978.620000000111759,1491326.080000000074506,1456819.919999999925494,1693678.540000000037253,1851369.570000000065193,1651624.719999999972060,14330171.919999999925494
FS( 229 ),2352699.300000000279397,2227684.399999999906868,1636585.980000000214204,1484727.320000000065193,1444827.080000000074506,1708035.570000000298023,1855900.880000000121072,1640734.959999999962747,14351195.490000002086163
FS( 230 ),2403407.370000000111759,2257311.200000000186265,1648650.400000000139698,1493918.450000000186265,1447768.719999999972060,1726097.640000000363216,1878557.429999999934807,1646698.399999999906868,14502409.610000001266599
FS( 231 ),2401797.589999999850988,2272830.000000000000000,1644978.620000000111759,1495096.800000000046566,1449805.239999999757856,1731655.200000000186265,1842306.950000000186265,1651884.000000000000000,14490354.399999998509884
FS( 232 ),2406626.930000000167638,2273182.700000000186265,1650748.560000000055879,1494154.120000000111759,1439848.920000000158325,1723318.860000000102445,1842306.950000000186265,1647735.519999999785796,14477922.560000002384186
FS( 233 ),2422724.729999999981374,2311979.700000000186265,1649174.940000000176951,1498160.510000000009313,1435323.320000000065193,1720076.950000000186265,1853311.560000000055879,1650846.879999999888241,14541598.589999999850988
FS( 234 ),2517701.750000000000000,2395922.300000000279397,1668058.380000000121072,1509237.000000000232831,1440754.040000000037253,1736286.500000000232831,1850722.239999999990687,1651365.439999999711290,14770047.650000000372529
FS( 235 ),2519311.530000000260770,2371586.000000000000000,1676451.020000000251457,1513007.720000000204891,1473564.640000000130385,1729802.680000000167638,1853311.560000000055879,1638401.439999999711290,14775436.590000001713634
FS( 236 ),2564385.370000000111759,2390984.500000000465661,1661763.900000000139698,1514657.409999999916181,1473112.079999999841675,1715445.650000000139698,1864316.170000000158325,1641253.519999999785796,14825918.600000001490116
FS( 237 ),2585312.509999999776483,2469283.900000000372529,1663337.520000000251457,1515128.750000000232831,1469491.599999999860302,1698309.840000000083819,1875320.780000000027940,1633734.399999999906868,14909919.300000000745058
FS( 238 ),2592556.520000000018626,2471400.100000000093132,1685368.200000000186265,1513479.060000000055879,1475601.159999999916181,1708035.570000000298023,1888914.709999999962747,1637882.879999999888241,14973238.199999999254942
FS( 239 ),2605434.759999999776483,2462935.300000000279397,1702153.480000000214204,1512536.380000000121072,1482842.120000000111759,1721003.209999999962747,1894740.679999999934807,1641772.079999999841675,15023418.009999999776483
FS( 240 ),2574044.050000000279397,2447769.200000000186265,1714742.439999999944121,1521727.510000000009313,1491893.320000000298023,1748327.880000000121072,1896035.339999999850988,1651624.719999999972060,15046164.460000000894070
FS( 241 ),2580483.170000000391155,2423785.600000000093132,1707398.880000000121072,1520784.830000000074506,1495061.239999999757856,1757127.350000000093132,1901213.979999999981374,1647216.959999999962747,15033072.010000001639128
FS( 242 ),2577263.610000000335276,2447063.799999999813735,1705825.260000000242144,1523612.870000000111759,1502075.919999999925494,1763611.170000000158325,1918044.560000000055879,1659662.399999999906868,15097159.590000001713634
FS( 243 ),2582897.840000000316650,2499616.100000000558794,1699530.780000000027940,1533275.340000000083819,1508864.320000000298023,1780746.980000000214204,1916749.899999999906868,1652402.559999999823049,15174083.820000004023314
FS( 244 ),2555531.580000000074506,2494325.600000000093132,1697432.620000000111759,1534453.689999999944121,1505470.120000000111759,1762684.910000000149012,1915455.239999999990687,1655254.639999999897555,15120608.400000000372529
FS( 245 ),2584507.620000000111759,2536296.899999999906868,1713693.360000000335276,1534218.020000000018626,1516331.560000000055879,1773800.030000000027940,1916102.570000000065193,1656291.760000000009313,15231241.820000000298023
FS( 246 ),2625557.009999999776483,2545819.800000000279397,1709497.040000000270084,1540345.439999999944121,1524025.079999999841675,1783062.630000000121072,1934227.810000000055879,1673144.959999999962747,15335679.770000003278255
FS( 247 ),2637630.360000000335276,2550757.600000000093132,1695334.460000000195578,1525969.570000000065193,1511579.679999999934807,1760369.260000000009313,1919339.219999999972060,1649291.199999999953434,15250271.349999999627471
FS( 248 ),2606239.650000000372529,2556753.500000000000000,1711070.660000000149012,1521727.510000000009313,1513842.480000000214204,1749717.270000000251457,1942643.100000000093132,1649550.479999999748543,15251544.650000000372529
FS( 249 ),2655337.940000000409782,2560280.500000000465661,1717889.680000000167638,1517249.780000000027940,1521988.560000000055879,1733507.720000000204891,1919986.550000000046566,1651365.439999999711290,15277606.170000001788139
FS( 250 ),2672240.630000000353903,2613890.900000000372529,1710021.580000000307336,1527619.260000000009313,1517689.239999999757856,1754811.700000000186265,1915455.239999999990687,1652402.559999999823049,15364131.110000003129244
FS( 251 ),2711680.239999999757856,2593434.300000000279397,1714742.439999999944121,1529504.620000000111759,1521536.000000000000000,1744159.709999999962747,1927107.179999999934807,1650587.599999999860302,15392752.090000001713634
FS( 252 ),2702021.560000000055879,2560985.900000000372529,1696908.080000000307336,1536574.720000000204891,1509769.439999999944121,1729802.680000000167638,1896035.339999999850988,1640475.679999999934807,15272573.400000000372529
