代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13255693.169999999925494
真實報酬,3255693.169999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12664.895263752461688
風險,160685.507442499481840
起點值,0.078817906265035
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](9),BA[2](7),CAT[3](17),DD[7](3),MRK[17](13),MSFT[18](15),UNH[23](6),UTX[24](2),
FS( 135 ),1481236.370000000111759,1830027.790000000037253,1267452.199999999953434,1495706.560000000055879,1280367.379999999888241,1443302.120000000111759,1475636.179999999934807,1490240.000000000000000,11763968.599999999627471
FS( 136 ),1476854.630000000121072,1816867.149999999906868,1266098.150000000139698,1495441.790000000037253,1285838.979999999981374,1436043.740000000223517,1475636.179999999934807,1483787.840000000083819,11736568.460000000894070
FS( 137 ),1479643.010000000242144,1814125.350000000093132,1261584.650000000139698,1483262.370000000111759,1301980.200000000186265,1427257.280000000027940,1464124.129999999888241,1475139.200000000186265,11707116.190000001341105
FS( 138 ),1481435.540000000037253,1825640.909999999683350,1266850.400000000139698,1493058.860000000102445,1295140.700000000186265,1457818.879999999888241,1486310.989999999990687,1475276.479999999981374,11781532.759999999776483
FS( 139 ),1502746.730000000214204,1851962.189999999944121,1260230.600000000325963,1512122.300000000046566,1308272.540000000037253,1452470.600000000093132,1495311.319999999832362,1492161.920000000158325,11875278.200000001117587
FS( 140 ),1493784.080000000074506,1865534.100000000093132,1259929.699999999953434,1516888.160000000149012,1315112.040000000037253,1445594.240000000223517,1504311.650000000139698,1490789.120000000111759,11891943.089999999850988
FS( 141 ),1475659.610000000102445,1896790.620000000111759,1264443.200000000186265,1503384.890000000130385,1313470.559999999823049,1421144.960000000195578,1500334.760000000009313,1498202.239999999990687,11873430.839999999850988
FS( 142 ),1478248.820000000065193,1877872.199999999720603,1258876.550000000279397,1497030.410000000149012,1315112.040000000037253,1403572.040000000037253,1498869.589999999850988,1497790.399999999906868,11827372.050000000745058
FS( 143 ),1465302.770000000018626,1815770.429999999701977,1243982.000000000232831,1480349.899999999906868,1316753.520000000018626,1416560.719999999972060,1506614.060000000055879,1494083.840000000083819,11739417.240000000223517
FS( 144 ),1482829.730000000214204,1822350.750000000000000,1235556.800000000279397,1494382.709999999962747,1330158.939999999944121,1428785.360000000102445,1526079.889999999897555,1506988.160000000149012,11827132.340000001713634
FS( 145 ),1479045.500000000232831,1864026.109999999869615,1246991.000000000000000,1495441.790000000037253,1338913.500000000000000,1435279.699999999953434,1543452.619999999878928,1512891.200000000186265,11916041.419999998062849
FS( 146 ),1490199.020000000018626,1823310.379999999888241,1269859.400000000139698,1470818.179999999934807,1358611.259999999776483,1437953.840000000083819,1550359.849999999860302,1514401.280000000027940,11915513.209999999031425
FS( 147 ),1517684.480000000214204,1847712.399999999906868,1269257.600000000093132,1462610.310000000055879,1356422.619999999878928,1426875.260000000009313,1559778.799999999813735,1523049.920000000158325,11963391.390000002458692
FS( 148 ),1553335.909999999916181,1846889.859999999869615,1273921.550000000279397,1474260.190000000176951,1363262.119999999878928,1436425.760000000009313,1556429.839999999850988,1530874.880000000121072,12035400.110000001266599
FS( 149 ),1582215.560000000055879,1840446.629999999888241,1272868.400000000139698,1472936.340000000083819,1363262.119999999878928,1456672.820000000065193,1558941.560000000055879,1521951.680000000167638,12069295.109999999403954
FS( 150 ),1568472.830000000074506,1839212.819999999832362,1267602.650000000139698,1507621.209999999962747,1372837.419999999925494,1468897.460000000195578,1552243.639999999897555,1514401.280000000027940,12091289.310000000521541
FS( 151 ),1611294.380000000121072,1809601.379999999888241,1261885.550000000279397,1459962.610000000102445,1361347.059999999823049,1463549.180000000167638,1543243.310000000055879,1505889.920000000158325,12016773.390000000596046
FS( 152 ),1607510.149999999906868,1802746.879999999888241,1263390.050000000046566,1466317.090000000083819,1349035.959999999962747,1487616.439999999944121,1541568.830000000074506,1495593.920000000158325,12013779.320000000298023
FS( 153 ),1615875.290000000037253,1819608.949999999720603,1270009.850000000093132,1455726.290000000037253,1335356.959999999962747,1451706.560000000055879,1522730.929999999934807,1497104.000000000000000,11968118.830000000074506
FS( 154 ),1593369.080000000074506,1853196.000000000000000,1286408.900000000139698,1480614.670000000158325,1351224.600000000093132,1465459.280000000027940,1538429.179999999934807,1525520.960000000195578,12094222.669999999925494
FS( 155 ),1611692.720000000204891,1846341.500000000000000,1295285.450000000186265,1538334.530000000027940,1355875.459999999962747,1478829.979999999981374,1543034.000000000000000,1526344.640000000130385,12195738.280000001192093
FS( 156 ),1609103.510000000242144,1832906.679999999701977,1300250.300000000279397,1575402.330000000074506,1352318.919999999925494,1455908.780000000027940,1549941.229999999981374,1523599.040000000037253,12199430.789999999105930
FS( 157 ),1597153.310000000055879,1817278.419999999925494,1283099.000000000232831,1547866.250000000000000,1339187.080000000074506,1436807.780000000027940,1509963.020000000018626,1491750.080000000074506,12023104.939999999478459
FS( 158 ),1594962.439999999944121,1822762.020000000018626,1287462.050000000046566,1537010.679999999934807,1321951.540000000037253,1421909.000000000000000,1486310.989999999990687,1483925.120000000111759,11956293.839999999850988
FS( 159 ),1577435.480000000214204,1834688.850000000093132,1294683.650000000139698,1565605.840000000083819,1323593.020000000018626,1401661.939999999944121,1475217.560000000055879,1473766.399999999906868,11946652.740000000223517
FS( 160 ),1586198.960000000195578,1846889.859999999869615,1314693.500000000000000,1568518.310000000055879,1315659.200000000186265,1408920.320000000065193,1487357.540000000037253,1489965.440000000176951,12018203.130000000819564
FS( 161 ),1579028.840000000083819,1862792.299999999813735,1307772.800000000279397,1591288.530000000027940,1310461.179999999934807,1395167.600000000093132,1480450.310000000055879,1477472.960000000195578,12004434.520000001415610
FS( 162 ),1567078.640000000130385,1857445.790000000037253,1326579.050000000279397,1640535.750000000000000,1337819.179999999934807,1397459.719999999972060,1514986.459999999729916,1507537.280000000027940,12149441.869999999180436
FS( 163 ),1549153.340000000083819,1853058.909999999683350,1317100.700000000186265,1655362.870000000111759,1334809.800000000046566,1384853.060000000055879,1515195.770000000018626,1503281.600000000093132,12112816.049999998882413
FS( 164 ),1562099.390000000130385,1873622.409999999683350,1338013.250000000232831,1650861.780000000027940,1349309.540000000037253,1405864.159999999916181,1535289.529999999795109,1519206.080000000074506,12234266.139999998733401
FS( 165 ),1622049.560000000055879,1869920.979999999981374,1353509.600000000093132,1654568.560000000055879,1350403.859999999869615,1398987.800000000046566,1556220.529999999795109,1521402.560000000055879,12327063.450000001117587
FS( 166 ),1615277.780000000027940,1875815.850000000093132,1367802.350000000093132,1674955.850000000093132,1351771.759999999776483,1416560.719999999972060,1551615.709999999729916,1530325.760000000009313,12384125.779999999329448
FS( 167 ),1604522.600000000093132,1895556.810000000055879,1371413.150000000139698,1691371.590000000083819,1360252.739999999990687,1430313.439999999944121,1566686.029999999795109,1547073.920000000158325,12467190.279999999329448
FS( 168 ),1593568.250000000232831,1876775.479999999981374,1367200.550000000279397,1681575.100000000093132,1362167.800000000046566,1424583.140000000130385,1563337.069999999832362,1548584.000000000000000,12417791.390000000596046
FS( 169 ),1577833.820000000065193,1863340.659999999683350,1367200.550000000279397,1681575.100000000093132,1366271.500000000000000,1424583.140000000130385,1565220.859999999869615,1547623.040000000037253,12393648.669999998062849
FS( 170 ),1596356.630000000121072,1871154.790000000037253,1366297.850000000093132,1674161.540000000037253,1369280.879999999888241,1429167.379999999888241,1576104.979999999981374,1562312.000000000000000,12444836.050000000745058
FS( 171 ),1573850.419999999925494,1873622.409999999683350,1352155.550000000279397,1654039.020000000018626,1353960.400000000139698,1419616.879999999888241,1560825.349999999860302,1544328.320000000065193,12332398.349999999627471
FS( 172 ),1539194.840000000083819,1886645.959999999962747,1351403.300000000046566,1646625.459999999962747,1360526.319999999832362,1410066.379999999888241,1571918.779999999795109,1549956.800000000279397,12316337.839999997988343
FS( 173 ),1547559.980000000214204,1897476.069999999832362,1333650.200000000186265,1643712.989999999990687,1360799.900000000139698,1380268.820000000065193,1553918.119999999878928,1548446.720000000204891,12265832.800000000745058
FS( 174 ),1536605.630000000121072,1926264.969999999739230,1338013.250000000232831,1625443.860000000102445,1370922.359999999869615,1390965.379999999888241,1601431.489999999990687,1558330.880000000121072,12347977.820000000298023
FS( 175 ),1546364.960000000195578,1930514.759999999776483,1341172.700000000186265,1627297.250000000000000,1362167.800000000046566,1366134.080000000074506,1582802.900000000139698,1560252.800000000279397,12316707.250000001862645
FS( 176 ),1526647.130000000121072,1948473.549999999813735,1349748.350000000093132,1606380.420000000158325,1354781.140000000130385,1357347.620000000111759,1592431.159999999916181,1561076.479999999981374,12296885.850000001490116
FS( 177 ),1516290.290000000037253,1945320.479999999981374,1361784.350000000325963,1610351.969999999972060,1364630.020000000018626,1376830.640000000130385,1563546.379999999888241,1562723.840000000083819,12301477.969999998807907
FS( 178 ),1524257.090000000083819,1928869.679999999701977,1352456.450000000186265,1579638.649999999906868,1453269.939999999944121,1336336.520000000018626,1547638.819999999832362,1548584.000000000000000,12271051.149999998509884
FS( 179 ),1554730.100000000093132,1919410.469999999739230,1362536.600000000093132,1608233.810000000055879,1449986.979999999981374,1366898.120000000111759,1549313.299999999813735,1546250.239999999990687,12357359.620000002905726
FS( 180 ),1585800.620000000111759,1927772.959999999962747,1390369.850000000093132,1623325.700000000186265,1436855.140000000130385,1404336.080000000074506,1566476.719999999972060,1566018.560000000055879,12500955.630000000819564
FS( 181 ),1577037.140000000130385,1922152.270000000018626,1384351.850000000325963,1624649.550000000046566,1436307.979999999981374,1409302.340000000083819,1522940.239999999990687,1568077.760000000009313,12444819.130000000819564
FS( 182 ),1538398.159999999916181,1925579.520000000018626,1375776.200000000186265,1624120.010000000242144,1421261.080000000074506,1389819.320000000065193,1517916.799999999813735,1567940.479999999981374,12360811.570000000298023
FS( 183 ),1562298.560000000055879,1942167.409999999683350,1363138.400000000139698,1731881.399999999906868,1417978.119999999878928,1381796.900000000139698,1531312.639999999897555,1578648.320000000065193,12509221.750000000000000
FS( 184 ),1569269.510000000242144,1979181.709999999962747,1348695.200000000186265,1722349.679999999934807,1404846.280000000027940,1372628.420000000158325,1536336.080000000074506,1594160.960000000195578,12527467.840000001713634
FS( 185 ),1582414.730000000214204,1937232.169999999925494,1331243.000000000232831,1686340.959999999962747,1411685.780000000027940,1377594.680000000167638,1532149.879999999888241,1576589.120000000111759,12435250.320000000298023
FS( 186 ),1553734.250000000232831,1873348.229999999981374,1296489.050000000279397,1636828.969999999972060,1422081.819999999832362,1406246.180000000167638,1498660.279999999795109,1534856.000000000000000,12222244.779999999329448
FS( 187 ),1566281.960000000195578,1883081.620000000111759,1373519.450000000186265,1625179.090000000083819,1437128.719999999972060,1376448.620000000111759,1499706.830000000074506,1562174.720000000204891,12323521.010000001639128
FS( 188 ),1441203.199999999953434,1879380.189999999944121,1391272.550000000046566,1623590.469999999972060,1446430.439999999944121,1385617.100000000093132,1500962.689999999711290,1563135.680000000167638,12231592.319999998435378
FS( 189 ),1424871.260000000242144,1779167.399999999906868,1363439.300000000279397,1686605.730000000214204,1428374.159999999916181,1400515.879999999888241,1491543.739999999990687,1555036.160000000149012,12129553.630000000819564
FS( 190 ),1422082.880000000121072,1734613.149999999906868,1402255.400000000139698,1708581.640000000130385,1463939.559999999823049,1408156.280000000027940,1523777.479999999981374,1574392.640000000130385,12237799.030000001192093
FS( 191 ),1424273.750000000232831,1717202.719999999972060,1412937.350000000093132,1715995.200000000186265,1449166.239999999990687,1445594.240000000223517,1512893.359999999869615,1565332.160000000149012,12243395.019999999552965
FS( 192 ),1427062.130000000121072,1687317.099999999860302,1390520.300000000279397,1685017.110000000102445,1424817.619999999878928,1393639.520000000018626,1480659.619999999878928,1512342.080000000074506,12001375.480000000447035
FS( 193 ),1447576.640000000130385,1673059.739999999990687,1391723.900000000139698,1695343.140000000130385,1463939.559999999823049,1388673.260000000009313,1475845.489999999990687,1497790.399999999906868,12033952.130000000819564
FS( 194 ),1458530.990000000223517,1664285.979999999981374,1383599.600000000093132,1691106.820000000065193,1464486.719999999972060,1368426.199999999953434,1482334.099999999860302,1481454.080000000074506,11994224.490000000223517
FS( 195 ),1458331.820000000065193,1681696.409999999916181,1411733.750000000000000,1718907.670000000158325,1471052.640000000130385,1382178.920000000158325,1483380.650000000139698,1502595.200000000186265,12109877.060000002384186
FS( 196 ),1478647.159999999916181,1741330.559999999823049,1427380.550000000279397,1719437.209999999962747,1498410.640000000130385,1396695.680000000167638,1493636.839999999850988,1520167.040000000037253,12275705.679999999701977
FS( 197 ),1505136.770000000018626,1743249.819999999832362,1421813.900000000139698,1728439.390000000130385,1501693.600000000093132,1405864.159999999916181,1459728.619999999878928,1532110.399999999906868,12298036.660000000149012
FS( 198 ),1525053.770000000018626,1784376.819999999832362,1428734.600000000093132,1766036.730000000214204,1523853.580000000074506,1419998.900000000139698,1478147.900000000139698,1550780.479999999981374,12476982.780000001192093
FS( 199 ),1524854.600000000093132,1756547.549999999813735,1446939.050000000279397,1748561.910000000149012,1504702.979999999981374,1431459.500000000000000,1470194.119999999878928,1548309.440000000176951,12431569.149999998509884
FS( 200 ),1549153.340000000083819,1775328.879999999888241,1446036.350000000093132,1745914.209999999962747,1507438.780000000027940,1436807.780000000027940,1490497.189999999711290,1555448.000000000000000,12506624.529999999329448
FS( 201 ),1547759.149999999906868,1784376.819999999832362,1452656.150000000139698,1761270.869999999878928,1516740.500000000000000,1437189.800000000046566,1538847.799999999813735,1563272.960000000195578,12602114.050000000745058
FS( 202 ),1553535.080000000074506,1790820.049999999813735,1452806.600000000093132,1763918.570000000298023,1523580.000000000000000,1429549.400000000139698,1545336.409999999916181,1561488.320000000065193,12621034.430000001564622
FS( 203 ),1529037.169999999925494,1760111.889999999664724,1447540.850000000093132,1750944.839999999850988,1505797.300000000046566,1432987.580000000074506,1539475.729999999981374,1565606.720000000204891,12531502.080000000074506
FS( 204 ),1511311.040000000037253,1776151.419999999925494,1458222.800000000279397,1777421.839999999850988,1526862.959999999962747,1442156.060000000055879,1538010.560000000055879,1579472.000000000000000,12609608.679999999701977
FS( 205 ),1494580.760000000242144,1758603.899999999906868,1466948.900000000139698,1770802.589999999850988,1532881.719999999972060,1450942.520000000018626,1544917.790000000037253,1584002.239999999990687,12603680.419999999925494
FS( 206 ),1500954.199999999953434,1776562.689999999944121,1464240.800000000046566,1770273.050000000046566,1536985.419999999925494,1439863.939999999944121,1590965.989999999990687,1599240.320000000065193,12679086.410000000149012
FS( 207 ),1485418.939999999944121,1738040.399999999906868,1450549.850000000093132,1780599.080000000074506,1529598.759999999776483,1434133.640000000130385,1576523.599999999860302,1591003.520000000018626,12585867.789999999105930
FS( 208 ),1472074.550000000046566,1735709.869999999878928,1462435.400000000139698,1803369.300000000046566,1539447.640000000130385,1431459.500000000000000,1592012.540000000037253,1594023.680000000167638,12630532.480000000447035
FS( 209 ),1501352.540000000037253,1762442.419999999925494,1454912.900000000139698,1829051.989999999990687,1550117.259999999776483,1446358.280000000027940,1591175.299999999813735,1600887.680000000167638,12736298.370000001043081
FS( 210 ),1497369.140000000130385,1767377.659999999683350,1458975.050000000046566,1836730.320000000298023,1559145.400000000139698,1463549.180000000167638,1617339.049999999813735,1606516.160000000149012,12807001.960000000894070
FS( 211 ),1501551.710000000195578,1757781.359999999869615,1449045.350000000093132,1826404.290000000270084,1543551.340000000083819,1443302.120000000111759,1613780.779999999795109,1602946.880000000121072,12738363.830000000074506
FS( 212 ),1511510.210000000195578,1785336.449999999720603,1459727.300000000046566,1865060.709999999962747,1561060.459999999962747,1467369.379999999888241,1635339.709999999729916,1614341.120000000111759,12899745.339999999850988
FS( 213 ),1514696.929999999934807,1765595.489999999757856,1449948.050000000279397,1882005.989999999990687,1556136.020000000018626,1455908.780000000027940,1632409.369999999878928,1611870.080000000074506,12868570.709999999031425
FS( 214 ),1510116.020000000018626,1766555.120000000111759,1468453.400000000139698,1876975.360000000102445,1566532.059999999823049,1457436.860000000102445,1625083.520000000018626,1616674.880000000121072,12887827.220000000670552
FS( 215 ),1509319.340000000083819,1762168.239999999757856,1460178.650000000139698,1866914.100000000325963,1572277.239999999990687,1447886.360000000102445,1620060.080000000074506,1624225.280000000027940,12863029.290000000968575
FS( 216 ),1510713.530000000027940,1739548.389999999897555,1455665.150000000139698,1878828.750000000000000,1568173.540000000037253,1444830.199999999953434,1630106.959999999729916,1616812.160000000149012,12844678.679999999701977
FS( 217 ),1525252.939999999944121,1722823.409999999916181,1457019.200000000186265,1857382.380000000121072,1550938.000000000000000,1452470.600000000093132,1628013.859999999869615,1587571.520000000018626,12781471.909999998286366
FS( 218 ),1526846.300000000046566,1705824.250000000000000,1456718.300000000046566,1848644.969999999972060,1554220.959999999962747,1462021.100000000093132,1624246.279999999795109,1589905.280000000027940,12768427.439999997615814
FS( 219 ),1509916.850000000093132,1671003.389999999897555,1438513.850000000093132,1837789.399999999906868,1526315.800000000046566,1447504.340000000083819,1611896.989999999990687,1549819.520000000018626,12592760.140000000596046
FS( 220 ),1492987.399999999906868,1687728.369999999878928,1435203.950000000186265,1834347.390000000130385,1523853.580000000074506,1440245.960000000195578,1584477.379999999888241,1545838.399999999906868,12544682.430000001564622
FS( 221 ),1498763.330000000074506,1719396.159999999916181,1439416.550000000279397,1847585.890000000130385,1539174.059999999823049,1453616.659999999916181,1606664.239999999990687,1570686.080000000074506,12675302.970000000670552
FS( 222 ),1511908.550000000046566,1700477.739999999990687,1450549.850000000093132,1872739.040000000270084,1541909.859999999869615,1510919.659999999916181,1632618.679999999934807,1574392.640000000130385,12795516.020000001415610
FS( 223 ),1511510.210000000195578,1675801.539999999804422,1444983.200000000186265,1870620.880000000121072,1531787.400000000139698,1500223.100000000093132,1673643.439999999711290,1565194.880000000121072,12773764.650000000372529
FS( 224 ),1504340.090000000083819,1696227.949999999953434,1447540.850000000093132,1894450.179999999934807,1520844.200000000186265,1540717.219999999972060,1706505.109999999869615,1561900.160000000149012,12872525.759999999776483
FS( 225 ),1516091.120000000111759,1680462.599999999860302,1465293.950000000186265,1893126.330000000074506,1495401.259999999776483,1534222.879999999888241,1702528.219999999972060,1572882.560000000055879,12860008.920000001788139
FS( 226 ),1534215.590000000083819,1691978.159999999916181,1457169.650000000139698,1891272.940000000176951,1471326.219999999972060,1547211.560000000055879,1701272.359999999869615,1561625.600000000093132,12856072.080000000074506
FS( 227 ),1550746.699999999953434,1700203.559999999823049,1483347.950000000186265,1909542.070000000298023,1509901.000000000000000,1541099.240000000223517,1697504.779999999795109,1581531.200000000186265,12973876.500000000000000
FS( 228 ),1535808.949999999953434,1693486.149999999906868,1471462.400000000139698,1863736.860000000102445,1532608.140000000130385,1520088.140000000130385,1706714.420000000158325,1573019.840000000083819,12896924.900000000372529
FS( 229 ),1529236.340000000083819,1689099.269999999785796,1481241.650000000139698,1809459.010000000242144,1524674.319999999832362,1503661.280000000027940,1695830.299999999813735,1562312.000000000000000,12795514.169999998062849
FS( 230 ),1527443.810000000055879,1706235.519999999785796,1495383.950000000186265,1817402.110000000102445,1531513.819999999832362,1539571.159999999916181,1708388.900000000139698,1576177.280000000027940,12902116.550000000745058
FS( 231 ),1527244.640000000130385,1720355.789999999804422,1495083.050000000279397,1832229.230000000214204,1553126.640000000130385,1565930.540000000037253,1716133.369999999878928,1604045.120000000111759,13014148.379999998956919
FS( 232 ),1541186.540000000037253,1757644.270000000018626,1501702.850000000093132,1874327.660000000149012,1542183.439999999944121,1582357.400000000139698,1712993.719999999972060,1618871.360000000102445,13131267.240000000223517
FS( 233 ),1543775.750000000232831,1759015.169999999925494,1544129.750000000000000,1881476.450000000186265,1544645.659999999916181,1579683.260000000009313,1708179.589999999850988,1645640.960000000195578,13206546.590000001713634
FS( 234 ),1533020.570000000065193,1765458.399999999906868,1542926.150000000139698,1868767.489999999990687,1537806.159999999916181,1566694.580000000074506,1721575.429999999934807,1644268.160000000149012,13180516.940000001341105
FS( 235 ),1513103.570000000065193,1746265.799999999813735,1537209.050000000279397,1835936.010000000242144,1535343.939999999944121,1523144.300000000046566,1706505.109999999869615,1622440.640000000130385,13019948.419999999925494
FS( 236 ),1489402.340000000083819,1721726.689999999944121,1521261.350000000093132,1807340.850000000325963,1509901.000000000000000,1520470.159999999916181,1697086.159999999916181,1594984.640000000130385,12862173.190000001341105
FS( 237 ),1489402.340000000083819,1701985.729999999981374,1540518.950000000186265,1812636.250000000000000,1505797.300000000046566,1521234.199999999953434,1688295.139999999897555,1589356.160000000149012,12849226.070000000298023
FS( 238 ),1508921.000000000232831,1739411.299999999813735,1549545.949999999953434,1846526.809999999823049,1562154.780000000027940,1546065.500000000000000,1703574.770000000018626,1606790.720000000204891,13062990.830000000074506
FS( 239 ),1489402.340000000083819,1694994.139999999897555,1538563.100000000325963,1798603.440000000176951,1527957.280000000027940,1503661.280000000027940,1674271.369999999878928,1572745.280000000027940,12800198.229999998584390
FS( 240 ),1478447.990000000223517,1673471.009999999776483,1526376.650000000139698,1770273.050000000046566,1529872.340000000083819,1497930.979999999981374,1652503.129999999888241,1564096.640000000130385,12692971.789999999105930
FS( 241 ),1484423.090000000083819,1689647.629999999888241,1546386.500000000232831,1790925.110000000102445,1520297.040000000037253,1496784.920000000158325,1657317.260000000009313,1577961.920000000158325,12763743.470000000670552
FS( 242 ),1473667.909999999916181,1703630.809999999823049,1542173.900000000139698,1793572.809999999823049,1533428.879999999888241,1518560.060000000055879,1664224.489999999990687,1590317.120000000111759,12819575.980000000447035
FS( 243 ),1476655.460000000195578,1727895.739999999990687,1548643.250000000232831,1828787.219999999972060,1539174.059999999823049,1543391.360000000102445,1636595.569999999832362,1620930.560000000055879,12922073.220000000670552
FS( 244 ),1493584.909999999916181,1753668.659999999916181,1547138.750000000000000,1836995.089999999850988,1544919.239999999990687,1528492.580000000074506,1586151.859999999869615,1627794.560000000055879,12918745.650000000372529
FS( 245 ),1511311.040000000037253,1752297.759999999776483,1544280.200000000186265,1838054.170000000158325,1566258.479999999981374,1525818.439999999944121,1568779.129999999888241,1624088.000000000000000,12930887.219999998807907
FS( 246 ),1512904.399999999906868,1748596.329999999841675,1560077.450000000186265,1845467.730000000214204,1580484.640000000130385,1527728.540000000037253,1585733.239999999990687,1636305.920000000158325,12997298.250000000000000
FS( 247 ),1492987.399999999906868,1790820.049999999813735,1555413.500000000000000,1861618.700000000186265,1573097.979999999981374,1516267.939999999944121,1576732.909999999916181,1642620.800000000279397,13009559.279999999329448
FS( 248 ),1615476.949999999953434,1780264.120000000111759,1583999.000000000232831,1856588.070000000298023,1573918.719999999972060,1522762.280000000027940,1603105.969999999972060,1633423.040000000037253,13169538.150000002235174
FS( 249 ),1627427.149999999906868,1763813.319999999832362,1575122.450000000186265,1828787.219999999972060,1565984.900000000139698,1524672.379999999888241,1583640.139999999897555,1609124.479999999981374,13078572.040000000968575
FS( 250 ),1690364.870000000111759,1741604.739999999990687,1568653.100000000325963,1783246.780000000027940,1550664.419999999925494,1561346.300000000046566,1585314.619999999878928,1615851.200000000186265,13097046.030000001192093
FS( 251 ),1685385.620000000111759,1759837.709999999962747,1584299.900000000139698,1836200.780000000027940,1606474.739999999990687,1547593.580000000074506,1574011.879999999888241,1613929.280000000027940,13207733.490000000223517
FS( 252 ),1679012.179999999934807,1768748.560000000055879,1585804.400000000139698,1881476.450000000186265,1602097.459999999962747,1543391.360000000102445,1570662.920000000158325,1624499.840000000083819,13255693.169999999925494
