代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13459441.389999998733401
真實報酬,3459441.389999998733401

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16524.777072560555098
風險,236090.916287825210020
起點值,0.069993277727021
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,7
BA[2](12),DD[7](13),GS[8](5),HD[9](2),TRV[22](9),UNH[23](20),V[25](1),
FS( 151 ),1791800.139999999897555,1583368.240000000223517,2001952.750000000000000,1851929.650000000139698,1906373.000000000000000,1650341.010000000009313,1842512.219999999739230,12628280.010000001639128
FS( 152 ),1749067.299999999813735,1505269.179999999934807,1966242.250000000000000,1816964.200000000186265,1872117.999999999767169,1612637.490000000223517,1792714.780000000027940,12315016.199999999254942
FS( 153 ),1751486.139999999897555,1509822.040000000037253,1934559.250000000000000,1822749.849999999860302,1912782.000000000000000,1644580.750000000000000,1830952.099999999860302,12406935.129999998956919
FS( 154 ),1747454.739999999757856,1511222.920000000158325,1887571.750000000000000,1831302.550000000046566,1880073.999999999767169,1624158.010000000009313,1803385.660000000149012,12285172.629999998956919
FS( 155 ),1735965.250000000000000,1505269.179999999934807,1860721.750000000000000,1823252.950000000186265,1858636.999999999767169,1562889.790000000037253,1794048.639999999897555,12140787.559999998658895
FS( 156 ),1773054.129999999888241,1523830.840000000083819,1862332.750000000000000,1861488.550000000046566,1874328.000000000000000,1572053.840000000083819,1822504.320000000065193,12289595.429999999701977
FS( 157 ),1752493.989999999757856,1545544.480000000214204,1873072.750000000232831,1857966.850000000093132,1869245.000000000000000,1550583.780000000027940,1817613.500000000000000,12266523.349999999627471
FS( 158 ),1777488.670000000158325,1579165.600000000325963,1918986.250000000000000,1845892.449999999953434,1908361.999999999767169,1532779.340000000083819,1841622.979999999981374,12404300.290000000968575
FS( 159 ),1830904.719999999972060,1604381.440000000176951,1932277.000000000000000,1843376.950000000186265,1897533.000000000000000,1539325.090000000083819,1857184.680000000167638,12504985.879999998956919
FS( 160 ),1847836.599999999860302,1694387.980000000214204,1943419.749999999767169,1845640.900000000139698,1884494.000000000000000,1553725.740000000223517,1875858.719999999739230,12645366.690000001341105
FS( 161 ),1871621.859999999869615,1666720.600000000325963,1934693.500000000232831,1845137.799999999813735,1881842.000000000232831,1557391.359999999869615,1858963.160000000149012,12616373.279999999329448
FS( 162 ),1852472.709999999962747,1689134.679999999934807,1948118.500000000232831,1853187.400000000139698,1889135.000000000000000,1571268.349999999860302,1866521.699999999720603,12669841.339999997988343
FS( 163 ),1842595.779999999795109,1691236.000000000000000,1961006.500000000000000,1845137.799999999813735,1887588.000000000000000,1569173.709999999962747,1872746.379999999888241,12669487.169999998062849
FS( 164 ),1837959.670000000158325,1653412.240000000223517,1914556.000000000232831,1830296.350000000093132,1858636.999999999767169,1563675.280000000027940,1845624.559999999823049,12504164.099999999627471
FS( 165 ),1858721.379999999888241,1652011.360000000102445,1928786.499999999767169,1844634.699999999953434,1865709.000000000000000,1557391.359999999869615,1949665.639999999897555,12656922.940000001341105
FS( 166 ),1889561.589999999850988,1693687.540000000037253,1951609.000000000000000,1860482.349999999860302,1887588.000000000000000,1542728.880000000121072,1995906.119999999878928,12821566.480000000447035
FS( 167 ),1898632.239999999757856,1696139.080000000074506,1992957.999999999767169,1893183.850000000093132,1885378.000000000000000,1576243.120000000111759,1988347.579999999841675,12930884.869999999180436
FS( 168 ),1910726.439999999944121,1722755.800000000046566,2004637.750000000000000,1888404.399999999906868,1901069.000000000000000,1584098.020000000018626,1998573.840000000083819,13010268.250000000000000
FS( 169 ),1895608.689999999944121,1721354.920000000158325,2017257.249999999767169,1897208.650000000139698,1928915.000000000000000,1636725.849999999860302,1992793.780000000027940,13089867.140000000596046
FS( 170 ),1907098.179999999934807,1741667.679999999934807,1994166.250000000000000,1908528.400000000139698,1910792.999999999767169,1623634.349999999860302,1985235.239999999990687,13071126.099999999627471
FS( 171 ),1899640.089999999850988,1718553.160000000149012,2001684.250000000000000,1912050.100000000093132,1911456.000000000000000,1647199.049999999813735,1987013.719999999739230,13077599.369999997317791
FS( 172 ),1910121.729999999981374,1713299.860000000102445,2008799.500000000000000,1928652.400000000139698,1911677.000000000000000,1633583.890000000130385,1988792.199999999720603,13094929.580000000074506
FS( 173 ),1937333.679999999934807,1742017.900000000139698,2074447.750000000232831,1945003.149999999906868,1942617.000000000232831,1616303.109999999869615,2004353.899999999906868,13262079.490000000223517
FS( 174 ),1955676.549999999813735,1762680.880000000121072,2089081.000000000232831,1959089.949999999953434,1939965.000000000000000,1613161.149999999906868,2020360.219999999739230,13340017.750000000000000
FS( 175 ),1946807.469999999972060,1750773.400000000139698,2073776.500000000000000,1930664.800000000046566,1919854.000000000000000,1627038.140000000130385,1998573.840000000083819,13247491.150000000372529
FS( 176 ),1993974.849999999860302,1786495.840000000083819,2123583.250000000000000,1933431.850000000093132,1911677.000000000000000,1645366.240000000223517,2051483.619999999878928,13446015.649999998509884
FS( 177 ),1989943.449999999953434,1775989.240000000223517,2133249.250000000000000,1930916.350000000093132,1890682.000000000000000,1638035.000000000000000,2018581.739999999990687,13377400.030000001192093
FS( 178 ),1990548.159999999916181,1784394.520000000251457,2157817.000000000000000,1979968.599999999860302,1848250.000000000000000,1646151.729999999981374,2018137.119999999878928,13425270.129999998956919
FS( 179 ),1974019.420000000158325,1751473.840000000083819,2139156.250000000000000,2004620.500000000000000,1851344.000000000000000,1630703.760000000009313,2002575.419999999925494,13353896.189999999478459
FS( 180 ),2010705.159999999916181,1750773.400000000139698,2113246.000000000000000,1984999.599999999860302,1845377.000000000000000,1632798.399999999906868,1979899.800000000046566,13317802.360000001266599
FS( 181 ),2015744.409999999916181,1749722.740000000223517,2130832.750000000000000,1987012.000000000000000,1847586.999999999767169,1624943.500000000000000,2005687.760000000009313,13361533.160000000149012
FS( 182 ),2017961.679999999934807,1747621.420000000158325,2157414.250000000000000,2007890.649999999906868,1839189.000000000000000,1658457.740000000223517,2001241.559999999823049,13429779.300000000745058
FS( 183 ),1997401.540000000037253,1742718.340000000083819,2186546.500000000000000,1999589.500000000000000,1849134.000000000000000,1658719.570000000065193,1980344.419999999925494,13414456.869999999180436
FS( 184 ),2026629.189999999944121,1735713.940000000176951,2206415.500000000000000,1998331.750000000000000,1868803.000000000000000,1693019.299999999813735,2012357.059999999823049,13541272.740000000223517
FS( 185 ),1995990.549999999813735,1718553.160000000149012,2175940.750000000000000,1978710.849999999860302,1850239.000000000000000,1639867.810000000055879,1980344.419999999925494,13339649.539999999105930
FS( 186 ),2030660.589999999850988,1712599.420000000158325,2195809.750000000000000,1989275.949999999953434,1851123.000000000000000,1644318.919999999925494,2003020.039999999804422,13426810.669999999925494
FS( 187 ),2007883.179999999934807,1726608.219999999972060,2170570.750000000000000,1927646.199999999953434,1852448.999999999767169,1632798.399999999906868,2003020.039999999804422,13320978.789999999105930
FS( 188 ),1985307.339999999850988,1678628.080000000074506,2125194.250000000000000,1889159.049999999813735,1817531.000000000000000,1616826.770000000018626,1970118.160000000149012,13082767.649999998509884
FS( 189 ),2010906.729999999981374,1690185.340000000083819,2143720.750000000000000,1943493.850000000093132,1806481.000000000000000,1621277.880000000121072,1993683.020000000018626,13209751.570000000298023
FS( 190 ),2065935.339999999850988,1713299.860000000102445,2228701.000000000000000,1980723.250000000000000,1844051.000000000000000,1638296.830000000074506,2000352.320000000065193,13471362.599999999627471
FS( 191 ),2060896.089999999850988,1712249.200000000186265,2248570.000000000000000,1955316.700000000186265,1840957.000000000000000,1667359.959999999962747,2026584.899999999906868,13511936.849999999627471
FS( 192 ),2051019.159999999916181,1695788.860000000102445,2192453.500000000000000,1952298.100000000093132,1813995.000000000000000,1673905.709999999962747,1997239.979999999981374,13376703.309999998658895
FS( 193 ),2033482.569999999832362,1685282.260000000009313,2172987.250000000000000,1921860.550000000279397,1800072.000000000000000,1671287.409999999916181,1991459.919999999925494,13276434.960000000894070
FS( 194 ),2059283.529999999795109,1728009.100000000325963,2226150.250000000000000,1925130.700000000186265,1829907.000000000000000,1679665.970000000204891,2025695.660000000149012,13473845.210000000894070
FS( 195 ),2052631.719999999972060,1696139.080000000074506,2187217.750000000000000,1926640.000000000232831,1815542.000000000232831,1670501.919999999925494,2011023.199999999720603,13359698.669999999925494
FS( 196 ),2076820.119999999878928,1702793.260000000009313,2203193.500000000000000,1915320.250000000000000,1839410.000000000000000,1685426.230000000214204,2027029.520000000018626,13449995.879999998956919
FS( 197 ),2097984.969999999739230,1726608.219999999972060,2203730.500000000000000,1941733.000000000000000,1858416.000000000000000,1719725.960000000195578,2045258.939999999944121,13593460.589999999850988
FS( 198 ),2061097.659999999916181,1700691.940000000176951,2168959.750000000000000,1910037.700000000186265,1818415.000000000000000,1708729.100000000093132,2030141.859999999869615,13398076.009999999776483
FS( 199 ),2008487.889999999897555,1655513.560000000288710,2086396.000000000000000,1858218.400000000139698,1763165.000000000000000,1670501.919999999925494,1983901.379999999888241,13026187.150000002235174
FS( 200 ),2015341.270000000018626,1627495.959999999962747,2070823.000000000000000,1856960.649999999906868,1747473.999999999767169,1673120.219999999972060,1995461.500000000000000,12986679.600000001490116
FS( 201 ),1972406.859999999869615,1613487.160000000149012,2024238.250000000000000,1849162.600000000093132,1720511.999999999767169,1692757.470000000204891,1981678.280000000027940,12854245.619999999180436
FS( 202 ),1988935.599999999860302,1620841.780000000260770,2054847.250000000000000,1865010.250000000000000,1733330.000000000232831,1668669.109999999869615,2006132.379999999888241,12937769.370000001043081
FS( 203 ),2030862.159999999916181,1606132.540000000037253,2036052.250000000000000,1903497.400000000139698,1763386.000000000232831,1696161.260000000009313,2030141.859999999869615,13066236.470000000670552
FS( 204 ),2079238.959999999962747,1613487.160000000149012,2060888.499999999767169,1918590.399999999906868,1775541.000000000000000,1730460.990000000223517,2048371.280000000027940,13226581.289999999105930
FS( 205 ),2064927.489999999757856,1604381.440000000176951,2030548.000000000000000,1948776.399999999906868,1766259.000000000000000,1714489.360000000102445,2031475.719999999739230,13160860.410000000149012
FS( 206 ),2081053.089999999850988,1620841.780000000260770,2037260.500000000000000,1933683.400000000139698,1792558.000000000000000,1718416.809999999823049,2059042.160000000149012,13242858.740000000223517
FS( 207 ),2045375.199999999953434,1618040.020000000251457,2026117.749999999767169,1944751.600000000093132,1764048.999999999767169,1708990.929999999934807,2059042.160000000149012,13166369.660000000149012
FS( 208 ),2073998.139999999897555,1617339.580000000074506,2019539.500000000000000,1955316.700000000186265,1776867.000000000232831,1716060.340000000083819,2079050.059999999823049,13238174.320000000298023
FS( 209 ),2100403.809999999590218,1630297.719999999972060,2057263.750000000232831,1969403.500000000232831,1797641.000000000000000,1732555.630000000121072,2120844.339999999850988,13408412.750000000000000
FS( 210 ),2103830.500000000000000,1650260.260000000009313,2064916.000000000000000,1992797.649999999906868,1806923.000000000000000,1768950.000000000000000,2091054.800000000046566,13478735.210000000894070
FS( 211 ),2110079.169999999925494,1696839.520000000251457,2106936.250000000000000,2004872.050000000046566,1813332.000000000000000,1779685.030000000027940,2080828.539999999804422,13592575.559999998658895
FS( 212 ),2126607.910000000149012,1685282.260000000009313,2092034.500000000232831,1997325.550000000279397,1802723.999999999767169,1772353.790000000037253,2075493.099999999860302,13551824.110000001266599
FS( 213 ),2154424.569999999366701,1705595.020000000251457,2117273.500000000000000,2008896.850000000093132,1827697.000000000000000,1789896.399999999906868,2111507.319999999832362,13715293.660000000149012
FS( 214 ),2053438.000000000000000,1701742.600000000325963,2149493.500000000000000,2026002.250000000232831,1860405.000000000232831,1780470.520000000018626,2119955.100000000093132,13691509.970000000670552
FS( 215 ),2129833.030000000260770,1715751.400000000139698,2188291.750000000000000,2022480.550000000279397,1840515.000000000000000,1770520.980000000214204,2114619.660000000149012,13782015.370000001043081
FS( 216 ),2101008.519999999552965,1694387.980000000214204,2151238.750000000000000,2017952.649999999906868,1839410.000000000000000,1751931.049999999813735,2105282.640000000130385,13661214.589999999850988
FS( 217 ),2112296.440000000409782,1732211.740000000223517,2168154.250000000000000,2023486.750000000000000,1856206.000000000000000,1734126.610000000102445,2107950.359999999869615,13734435.149999998509884
FS( 218 ),2169542.319999999366701,1724857.120000000111759,2202522.250000000000000,2012921.649999999906868,1868140.000000000000000,1847237.169999999925494,2123067.439999999944121,13948290.949999999254942
FS( 219 ),2156037.129999999888241,1729059.760000000009313,2206549.750000000000000,2009651.500000000000000,1871013.000000000000000,1870801.870000000111759,2111062.699999999720603,13954178.710000000894070
FS( 220 ),2154021.429999999701977,1725207.340000000083819,2231923.000000000000000,2012418.550000000046566,1888030.000000000232831,1889915.460000000195578,2125735.160000000149012,14027253.940000001341105
FS( 221 ),2172767.440000000409782,1723106.020000000251457,2232057.250000000000000,2017198.000000000000000,1816867.999999999767169,1903268.790000000037253,2096390.239999999990687,13961658.740000000223517
FS( 222 ),2155835.559999999590218,1714350.520000000251457,2215678.750000000000000,2019210.399999999906868,1816205.000000000232831,1899079.510000000009313,2075937.719999999739230,13896300.460000000894070
FS( 223 ),2150796.309999999590218,1745169.880000000121072,2227358.500000000000000,1987012.000000000000000,1831011.999999999767169,1901435.980000000214204,2163083.239999999757856,14005870.910000000149012
FS( 224 ),2128623.609999999403954,1730810.860000000102445,2218632.250000000000000,1980723.250000000000000,1847586.999999999767169,1890700.949999999953434,2147521.540000000037253,13944602.459999997168779
FS( 225 ),2112699.580000000074506,1745520.100000000325963,2190574.000000000000000,1978962.400000000139698,1843388.000000000000000,1905887.090000000083819,2133738.319999999832362,13910772.490000002086163
FS( 226 ),2131244.019999999552965,1748672.080000000074506,2180639.500000000000000,1977201.549999999813735,1842946.000000000000000,1892271.929999999934807,2127958.259999999776483,13900936.339999997988343
FS( 227 ),2118545.109999999403954,1747621.420000000158325,2202119.500000000000000,1988018.200000000186265,1846482.000000000000000,1907458.069999999832362,1967450.439999999944121,13777697.740000000223517
FS( 228 ),2150796.309999999590218,1765482.639999999897555,2248570.000000000000000,1978207.750000000000000,1864383.000000000000000,1915574.799999999813735,1991459.919999999925494,13914477.419999999925494
FS( 229 ),2174984.709999999962747,1806458.380000000121072,2250315.250000000000000,2018204.200000000186265,1856427.000000000000000,1892010.100000000093132,2045258.939999999944121,14043661.579999998211861
FS( 230 ),2166921.910000000149012,1819416.520000000251457,2259712.750000000000000,2003865.849999999860302,1837642.000000000232831,1920287.740000000223517,2051483.619999999878928,14059333.390000000596046
FS( 231 ),2157649.690000000409782,1798403.320000000065193,2212188.250000000000000,2013676.300000000046566,1820183.000000000000000,1917669.439999999944121,2032809.579999999841675,13952582.580000000074506
FS( 232 ),2145152.349999999627471,1809960.580000000074506,2194333.000000000000000,1982987.199999999953434,1809133.000000000000000,1909290.880000000121072,2016358.639999999897555,13867218.650000000372529
FS( 233 ),2133461.290000000037253,1840779.940000000176951,2186143.750000000000000,2013424.750000000232831,1812890.000000000000000,1916098.460000000195578,2009689.340000000083819,13912490.530000001192093
FS( 234 ),2123181.219999999739230,1897165.360000000102445,2176612.000000000000000,1986508.899999999906868,1814436.999999999767169,1909552.710000000195578,1998573.840000000083819,13906034.030000001192093
FS( 235 ),2101210.089999999850988,1869147.760000000009313,2170705.000000000000000,1992294.550000000046566,1819298.999999999767169,1895413.890000000130385,1998129.219999999739230,13846202.509999997913837
FS( 236 ),2141322.519999999552965,1889110.300000000046566,2197823.500000000000000,1998331.750000000000000,1810901.000000000000000,1920549.569999999832362,1992349.160000000149012,13950390.800000000745058
FS( 237 ),2099597.530000000260770,1882806.340000000083819,2192856.250000000000000,1948021.750000000000000,1816205.000000000232831,1898032.189999999944121,1982567.520000000018626,13820089.580000000074506
FS( 238 ),2070773.020000000018626,1853037.639999999897555,2158085.500000000000000,1890165.250000000000000,1791673.999999999767169,1869492.720000000204891,1933214.699999999720603,13566445.830000000074506
FS( 239 ),2085689.199999999953434,1839729.280000000260770,2156877.250000000000000,1896202.449999999953434,1792336.999999999767169,1870278.210000000195578,1924322.300000000046566,13565438.690000001341105
FS( 240 ),2110885.450000000186265,1826771.139999999897555,2129624.500000000000000,1891926.099999999860302,1773110.000000000000000,1877609.449999999953434,1945219.439999999944121,13555149.079999998211861
FS( 241 ),2109071.319999999366701,1842881.260000000009313,2142109.750000000000000,1868783.500000000232831,1773994.000000000000000,1897246.699999999953434,1925656.160000000149012,13559745.689999997615814
FS( 242 ),2094558.279999999795109,1852337.200000000186265,2109218.500000000000000,1854696.700000000186265,1755209.000000000000000,1881275.069999999832362,1983012.139999999897555,13530309.890000000596046
FS( 243 ),2119351.389999999664724,1854788.740000000223517,2140096.000000000000000,1861488.550000000046566,1780182.000000000000000,1884417.030000000027940,1988792.199999999720603,13629118.909999998286366
FS( 244 ),2126204.769999999552965,1932187.360000000102445,2129893.000000000000000,1858721.500000000000000,1772226.000000000000000,1899341.340000000083819,1991015.300000000046566,13709592.269999999552965
FS( 245 ),2127212.620000000111759,1927634.500000000000000,2119824.250000000000000,1897460.200000000186265,1770679.000000000000000,1895152.059999999823049,1945219.439999999944121,13683185.070000000298023
FS( 246 ),2080448.379999999888241,1873350.400000000139698,2057129.499999999767169,1864507.150000000139698,1762281.000000000000000,1872634.679999999934807,1935882.419999999925494,13446236.529999999329448
FS( 247 ),2081657.799999999813735,1867746.880000000121072,2053639.000000000000000,1887398.200000000186265,1765596.000000000000000,1873158.340000000083819,1947442.539999999804422,13476641.759999997913837
FS( 248 ),2115118.419999999925494,1871249.080000000074506,2062499.500000000000000,1887901.300000000046566,1773552.000000000000000,1896723.040000000037253,1949221.020000000018626,13556267.359999999403954
FS( 249 ),2094759.849999999860302,1865295.340000000083819,2042362.000000000000000,1873814.500000000000000,1765817.000000000232831,1878394.939999999944121,1938994.760000000009313,13459441.389999998733401
