代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14346831.889999998733401
真實報酬,4346831.889999998733401

夏普值報酬,0.425983189000000
夏普值風險,0.099463909014425
夏普值,4.282791549427450

預期報酬,17441.307428970223555
風險,200977.618402266729390
趨勢值,0.086782337096166
找到最佳解世代,2174
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](19),BA[2](1),DD[7](7),MRK[17](13),UNH[23](10),V[25](4),
20131113,1965842.279999999795109,2886205.709999999497086,2080650.340000000083819,1846474.440000000176951,2214204.359999999869615,2099082.669999999925494,13092463.799999998882413
20131114,1994121.310000000055879,2927817.870000000111759,2107216.179999999701977,1865196.360000000102445,2227612.189999999944121,2102864.740000000223517,13224832.649999998509884
20131115,1982228.260000000009313,2949274.140000000130385,2113857.639999999664724,1874947.360000000102445,2241020.020000000018626,2122195.320000000298023,13283526.740000000223517
20131118,1958177.870000000111759,2998688.580000000074506,2095040.170000000158325,1872607.120000000111759,2235095.629999999888241,2100343.360000000335276,13259956.730000000447035
20131119,1961613.639999999897555,2968779.839999999385327,2086184.889999999897555,1874947.360000000102445,2232912.959999999962747,2073868.870000000111759,13198311.559999998658895
20131120,1944434.789999999804422,2870601.149999999441206,2062939.779999999795109,1877287.600000000093132,2244449.930000000167638,2081433.010000000009313,13081150.259999997913837
20131121,1967692.310000000055879,2881004.189999999944121,2082495.189999999944121,1896399.560000000055879,2273448.259999999776483,2117993.019999999552965,13219036.529999999329448
20131122,1962670.800000000046566,2946890.109999999869615,2083971.069999999832362,1908880.840000000083819,2299328.489999999757856,2123456.009999999776483,13325201.320000000298023
20131125,1977471.039999999804422,2882521.299999999813735,2049656.859999999869615,1936963.719999999972060,2309618.219999999739230,2121354.860000000335276,13277590.000000000000000
20131126,2013943.060000000055879,2921099.239999999757856,2038218.790000000037253,1933843.399999999906868,2323649.669999999459833,2138164.060000000521541,13368922.220000000670552
20131127,2061250.969999999972060,2919798.859999999869615,2054453.469999999972060,1943594.399999999906868,2318660.709999999962747,2143206.820000000298023,13440969.230000000447035
20131129,2099573.019999999552965,2909612.549999999813735,2052608.620000000111759,1943594.399999999906868,2322402.430000000167638,2137743.830000000074506,13465538.849999999627471
20131202,2081337.010000000009313,2907661.979999999515712,2100943.689999999478459,1957245.800000000046566,2312424.509999999776483,2154973.259999999776483,13514590.249999998137355
20131203,2138159.360000000335276,2860848.299999999813735,2034529.090000000083819,1940864.120000000111759,2299016.680000000167638,2119673.940000000409782,13393095.490000002086163
20131204,2133137.849999999627471,2850011.799999999813735,2043384.370000000111759,1923312.320000000065193,2296522.200000000186265,2130179.690000000409782,13376552.230000000447035
20131205,2144238.030000000260770,2876669.589999999385327,2028625.569999999832362,1903810.320000000065193,2268459.299999999813735,2119253.709999999962747,13341060.519999999552965
20131206,2114373.259999999776483,2929768.439999999944121,2063308.750000000000000,1926432.640000000130385,2291845.049999999813735,2120934.629999999888241,13446666.769999999552965
20131209,2138687.940000000409782,2918931.939999999944121,2143744.209999999962747,1933063.320000000065193,2298704.869999999646097,2117993.019999999552965,13551129.299999998882413
20131210,2135252.169999999925494,2897692.399999999441206,2195400.009999999776483,1927992.800000000046566,2308994.599999999627471,2095300.600000000093132,13560636.579999998211861
20131211,2119394.769999999552965,2872985.179999999701977,2157027.129999999888241,1909270.880000000121072,2249438.889999999664724,2160856.480000000447035,13468977.329999998211861
20131212,2116487.580000000074506,2881654.379999999888241,2141899.360000000335276,1884698.360000000102445,2214204.359999999869615,2137323.599999999627471,13376271.639999998733401
20131213,2093230.060000000055879,2900509.890000000130385,2181748.120000000111759,1887038.600000000093132,2197678.430000000167638,2178506.140000000596046,13438715.240000000223517
20131216,2104858.820000000298023,2919798.859999999869615,2185806.790000000037253,1875727.440000000176951,2215763.409999999683350,2182708.440000000409782,13484667.760000001639128
20131217,2095344.380000000121072,2944939.539999999571592,2217538.209999999962747,1868316.679999999934807,2205473.680000000167638,2240279.950000000186265,13571896.440000001341105
20131218,2079486.980000000214204,2936487.069999999832362,2286166.629999999888241,1907320.679999999934807,2256922.329999999608845,2262552.140000000596046,13728939.830000000074506
20131219,2055700.880000000121072,2929551.709999999497086,2306828.950000000186265,1903030.239999999990687,2257234.139999999664724,2270116.280000000260770,13722466.199999999254942
20131220,2072879.730000000214204,2962061.209999999497086,2300556.459999999962747,1923702.360000000102445,2287167.899999999441206,2268855.589999999850988,13815227.250000000000000
20131223,2152431.019999999552965,2956209.500000000000000,2305722.040000000037253,1925262.520000000018626,2318348.899999999441206,2290707.549999999813735,13948685.530000001192093
20131224,2143445.160000000149012,2965528.890000000130385,2334132.729999999515712,1927212.719999999972060,2311489.079999999608845,2297851.459999999962747,13979664.039999999105930
20131226,2129173.500000000000000,2996738.010000000242144,2357008.870000000111759,1939303.959999999962747,2333939.399999999441206,2313399.969999999739230,14069567.709999997168779
20131227,2114637.549999999813735,2967046.000000000000000,2343356.979999999515712,1942034.239999999990687,2328950.439999999944121,2307936.980000000447035,14003966.189999999478459
20131230,2093758.639999999897555,2945806.459999999497086,2343356.979999999515712,1947884.840000000083819,2331756.729999999981374,2320964.110000000335276,13983531.760000001639128
20131231,2118337.610000000335276,2958160.069999999832362,2333025.820000000298023,1952175.280000000027940,2347970.849999999627471,2339454.230000000447035,14049127.859999999403954
20140102,2088472.839999999850988,2962061.209999999497086,2304984.099999999627471,1930333.040000000037253,2325208.719999999739230,2321804.570000000298023,13932868.479999996721745
20140103,2042486.380000000121072,2982650.560000000055879,2294652.939999999478459,1939694.000000000000000,2341734.649999999441206,2323485.490000000223517,13924708.019999997690320
20140106,2053586.560000000055879,2999772.229999999515712,2290594.269999999552965,1940084.040000000037253,2314918.989999999757856,2309617.900000000372529,13908577.989999998360872
20140107,2039050.610000000102445,3045285.529999999795109,2265135.339999999850988,1954515.520000000018626,2385699.859999999869615,2327267.560000000521541,14016958.419999999925494
20140108,2052000.820000000065193,3052004.159999999683350,2267718.129999999888241,1942034.239999999990687,2357948.770000000018626,2334831.700000000186265,14006541.820000000298023
20140109,2025836.110000000102445,3080395.789999999571592,2238569.500000000000000,1931503.160000000149012,2372292.029999999795109,2331469.860000000335276,13980070.449999999254942
20140110,2012093.029999999795109,3075411.000000000000000,2244104.049999999813735,1945544.600000000093132,2329262.250000000000000,2323065.259999999776483,13929484.189999999478459
20140113,2022664.630000000121072,3049403.399999999441206,2201303.530000000260770,2071917.560000000055879,2305564.689999999944121,2299952.610000000335276,13950810.419999998062849
20140114,2063101.000000000000000,3034449.029999999795109,2241152.290000000037253,2067237.080000000074506,2308059.169999999459833,2339034.000000000000000,14053036.569999998435378
20140115,2104330.240000000223517,3047669.560000000055879,2262183.580000000074506,2048515.160000000149012,2333627.589999999850988,2350800.440000000409782,14147130.570000000298023
20140116,2092701.480000000214204,3038783.629999999888241,2264028.429999999701977,2047735.080000000074506,2268771.109999999869615,2329788.940000000409782,14041812.670000001788139
20140117,2041429.219999999972060,3044201.879999999888241,2263290.490000000223517,2026282.880000000121072,2261287.669999999459833,2439468.969999999739230,14075965.109999999403954
20140121,2073144.020000000018626,3070426.209999999497086,2413461.280000000260770,2021602.399999999906868,2281243.509999999776483,2436527.360000000335276,14296408.780000001192093
20140122,2082394.170000000158325,3128943.310000000055879,2400178.360000000335276,2002880.480000000214204,2288726.950000000186265,2447873.570000000298023,14351000.839999999850988
20140123,2099837.310000000521541,3062623.929999999701977,2349998.439999999478459,2012631.480000000214204,2282490.750000000000000,2397866.200000000186265,14205452.109999999403954
20140124,2061779.550000000046566,2961627.750000000000000,2281001.049999999813735,2027453.000000000000000,2232601.149999999441206,2324325.950000000186265,13888792.449999999254942
20140127,2078429.820000000065193,2977015.580000000074506,2264766.370000000111759,2048905.200000000186265,2234160.200000000186265,2271797.200000000186265,13875078.370000001043081
20140128,1912455.699999999953434,2971163.870000000111759,2262552.549999999813735,2062166.560000000055879,2236031.059999999590218,2321384.339999999850988,13765758.079999998211861
20140129,1890783.920000000158325,2812734.239999999757856,2350367.410000000149012,2036423.920000000158325,2221999.609999999869615,2281042.259999999776483,13593355.359999999403954
20140130,1887083.860000000102445,2742296.989999999757856,2380991.919999999925494,2087129.120000000111759,2270018.349999999627471,2320543.879999999888241,13688068.120000001043081
20140131,1889991.050000000046566,2714772.279999999795109,2391323.080000000074506,2066066.959999999962747,2253804.229999999981374,2263392.599999999627471,13579354.200000001117587
20140203,1893691.110000000102445,2667525.139999999664724,2348153.589999999850988,2031353.399999999906868,2205785.489999999757856,2242801.330000000074506,13389314.060000000521541
20140204,1920912.980000000214204,2644985.219999999739230,2362543.419999999925494,2087129.120000000111759,2198613.859999999869615,2254147.540000000037253,13468336.140000000596046
20140205,1935448.930000000167638,2631114.500000000000000,2356639.900000000372529,2087909.200000000186265,2208279.969999999739230,2265073.519999999552965,13484470.019999999552965
20140206,1935184.639999999897555,2658639.209999999962747,2395381.750000000000000,2097270.160000000149012,2209839.020000000018626,2300793.070000000298023,13597111.849999999627471
20140207,1962142.219999999972060,2752916.759999999776483,2396119.689999999478459,2136274.160000000149012,2225117.709999999962747,2330209.169999999925494,13802783.709999999031425
20140210,1997292.789999999804422,2755950.979999999515712,2408664.669999999925494,2140954.640000000130385,2174604.489999999757856,2317182.040000000037253,13794653.609999999403954
20140211,2023721.789999999804422,2820969.979999999515712,2461058.410000000149012,2172547.880000000353903,2202043.770000000018626,2335672.160000000149012,14016017.990000000223517
20140212,2023457.500000000000000,2776973.789999999571592,2436706.390000000596046,2145245.080000000074506,2190194.989999999757856,2355002.740000000223517,13927584.490000000223517
20140213,2055700.880000000121072,2806665.799999999813735,2433016.689999999478459,2149145.479999999981374,2220440.559999999590218,2353742.049999999813735,14018715.460000000894070
20140214,2053850.849999999860302,2820969.979999999515712,2454416.950000000186265,2162406.839999999850988,2292468.669999999459833,2374333.320000000298023,14158450.609999999403954
20140218,2061515.260000000009313,2831156.289999999571592,2458106.650000000372529,2172157.839999999850988,2302134.779999999795109,2375173.780000000260770,14200248.599999997764826
20140219,2029007.589999999850988,2782608.769999999552965,2440027.120000000111759,2146805.240000000223517,2293404.099999999627471,2352061.129999999888241,14043917.949999999254942
20140220,2005485.779999999795109,2807966.179999999701977,2476924.120000000111759,2176838.320000000298023,2291221.430000000167638,2347858.830000000074506,14106298.659999998286366
20140221,1983285.420000000158325,2780224.739999999757856,2467699.870000000111759,2185419.200000000186265,2301511.159999999683350,2346598.140000000596046,14064742.530000001192093
20140224,1991742.699999999953434,2808616.370000000111759,2466961.929999999701977,2191269.800000000279397,2370109.359999999869615,2376434.469999999739230,14205138.629999998956919
20140225,1971128.080000000074506,2747715.239999999757856,2481351.759999999776483,2180738.719999999739230,2348594.469999999739230,2386099.759999999776483,14115632.029999999329448
20140226,1953420.649999999906868,2744030.829999999608845,2513083.179999999701977,2194780.160000000149012,2371668.409999999683350,2375594.009999999776483,14152581.240000000223517
20140227,1992271.279999999795109,2786293.179999999701977,2548873.269999999552965,2209991.719999999739230,2370421.169999999459833,2377274.929999999701977,14285129.549999998882413
20140228,1986985.480000000214204,2794095.459999999497086,2559573.400000000372529,2222863.040000000037253,2409397.419999999459833,2373913.089999999850988,14346831.889999998733401
