代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12753829.739999998360872
真實報酬,2753829.739999998360872

夏普值報酬,0.266682974000000
夏普值風險,0.070946211590554
夏普值,3.758945939764671

預期報酬,10778.139750787626326
風險,146627.267081676982343
趨勢值,0.073507062944737
找到最佳解世代,1158
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CVX[5](20),INTC[11](9),MSFT[18](1),UNH[23](3),V[25](11),
20170117,2133542.540000000037253,1896651.099999999860302,2025533.319999999832362,2089763.200000000186265,2033436.879999999888241,1753405.540000000037253,11932336.579999998211861
20170118,2133364.750000000000000,1891105.359999999636784,2023331.679999999934807,2088760.600000000093132,1996481.360000000102445,1760525.950000000186265,11893573.699999999254942
20170119,2129631.160000000149012,1885233.399999999674037,2012873.890000000130385,2082076.600000000093132,2008631.119999999878928,1763546.730000000214204,11881996.899999998509884
20170120,2133542.540000000037253,1885559.619999999646097,2033239.059999999823049,2096781.400000000139698,2008124.879999999888241,1765920.200000000186265,11923171.699999999254942
20170123,2134964.859999999869615,1882134.309999999823049,2023882.090000000083819,2104133.800000000279397,2013313.839999999850988,1772609.070000000065193,11931041.970000000670552
20170124,2133009.169999999925494,1898119.089999999850988,2070666.939999999944121,2122849.000000000000000,2030526.000000000000000,1795912.230000000214204,12051086.429999999701977
20170125,2166967.060000000055879,1912309.659999999683350,2080574.319999999832362,2128196.200000000186265,2040777.360000000102445,1810368.820000000065193,12139197.419999999925494
20170126,2168033.799999999813735,1901055.069999999832362,2067364.480000000214204,2147914.000000000000000,2059887.919999999925494,1796128.000000000000000,12140387.269999999552965
20170127,2168211.590000000316650,1856036.709999999962747,2090481.699999999953434,2198378.200000000186265,2062925.360000000102445,1807563.809999999823049,12183601.370000001043081
20170130,2162522.310000000055879,1823904.039999999571592,2059658.740000000223517,2176655.199999999720603,2051534.959999999962747,1806053.420000000158325,12080332.669999999925494
20170131,2157544.189999999944121,1816237.869999999646097,2026634.140000000130385,2160613.600000000093132,2051661.519999999785796,1784692.189999999944121,11997387.509999997913837
20170201,2289108.790000000037253,1810529.019999999785796,2010121.840000000083819,2124854.200000000186265,2059381.679999999934807,1778866.399999999906868,12072865.929999999701977
20170202,2285197.410000000149012,1830265.329999999608845,2018928.399999999906868,2111152.000000000000000,2034702.479999999748543,1775845.619999999878928,12056095.239999998360872
20170203,2294975.860000000335276,1852448.289999999571592,2010121.840000000083819,2128196.200000000186265,2048750.639999999897555,1857406.679999999934807,12191903.509999999776483
20170206,2316488.449999999720603,1842824.799999999813735,1996361.590000000083819,2126859.399999999906868,2031538.479999999748543,1852012.429999999934807,12166089.150000000372529
20170207,2338534.410000000149012,1816890.309999999823049,2000764.870000000111759,2119841.200000000186265,2031791.599999999860302,1850933.580000000074506,12158759.970000000670552
20170208,2347601.699999999720603,1819989.399999999674037,2002416.100000000093132,2116833.400000000372529,2029007.280000000027940,1836045.450000000186265,12151897.329999998211861
20170209,2354357.719999999739230,1831080.879999999888241,1951778.380000000121072,2140895.800000000279397,2030652.559999999823049,1846618.179999999934807,12155387.519999999552965
20170210,2349024.020000000018626,1843966.569999999832362,1945173.460000000195578,2138890.600000000093132,2034575.919999999925494,1853522.820000000065193,12165157.390000000596046
20170213,2369825.449999999720603,1857994.029999999795109,1970492.319999999832362,2162953.000000000000000,2050269.360000000102445,1865174.399999999906868,12276712.559999998658895
20170214,2400583.120000000111759,1835321.739999999757856,1977647.649999999906868,2157940.000000000000000,2064697.199999999953434,1874020.969999999972060,12310214.679999999701977
20170215,2409294.830000000074506,1836137.289999999571592,1984252.569999999832362,2156603.200000000186265,2079378.159999999916181,1888909.100000000093132,12354579.149999998509884
20170216,2406450.189999999944121,1805309.500000000000000,2004067.329999999841675,2156269.000000000000000,2071278.320000000065193,1886104.089999999850988,12329482.429999999701977
20170217,2413028.419999999925494,1799600.649999999674037,2007920.199999999953434,2159611.000000000465661,1994962.639999999897555,1887182.939999999944121,12262309.849999999627471
20170221,2430451.839999999850988,1822272.939999999711290,2010121.840000000083819,2155266.399999999906868,2032297.839999999850988,1897108.360000000102445,12347523.219999998807907
20170222,2437741.230000000447035,1800416.199999999720603,1985353.390000000130385,2150921.800000000279397,2032297.839999999850988,1894519.119999999878928,12301253.580000000074506
20170223,2427429.410000000149012,1810855.239999999757856,1991407.899999999906868,2159611.000000000465661,2057989.519999999785796,1902718.380000000121072,12350015.450000001117587
20170224,2429740.680000000167638,1796175.339999999850988,2010672.250000000000000,2159611.000000000465661,2063811.280000000027940,1908112.630000000121072,12368127.179999999701977
20170227,2434541.010000000242144,1822762.269999999785796,2009571.429999999934807,2146577.200000000186265,2093173.199999999953434,1898834.520000000018626,12405463.629999998956919
20170228,2435607.750000000000000,1834995.519999999785796,1992508.720000000204891,2138222.200000000186265,2093173.199999999953434,1897539.899999999906868,12392051.290000000968575
20170301,2485388.949999999720603,1857504.699999999720603,1977647.649999999906868,2170305.399999999906868,2125572.560000000055879,1920195.750000000000000,12536619.009999999776483
20170302,2470632.380000000353903,1849022.979999999748543,1976546.829999999841675,2139224.800000000279397,2117599.279999999795109,1910270.330000000074506,12463300.599999999627471
20170303,2485211.160000000149012,1852122.069999999832362,1975996.419999999925494,2147245.600000000093132,2128863.119999999646097,1915880.350000000093132,12505322.719999998807907
20170306,2477388.399999999906868,1845923.889999999897555,1957832.890000000130385,2147914.000000000000000,2135191.119999999646097,1919116.899999999906868,12483371.199999999254942
20170307,2480588.620000000111759,1823740.929999999934807,1970492.319999999832362,2152258.600000000093132,2130128.720000000204891,1921706.140000000130385,12478919.330000000074506
20170308,2471343.540000000037253,1787856.729999999748543,1960584.939999999944121,2171976.399999999906868,2125192.879999999888241,1919548.439999999944121,12436506.929999997839332
20170309,2465654.260000000242144,1794870.459999999962747,1971593.140000000130385,2163287.200000000186265,2126458.479999999981374,1922784.989999999990687,12444652.530000003054738
20170310,2473832.599999999627471,1804167.729999999748543,1976546.829999999841675,2169971.200000000186265,2151390.799999999813735,1936162.730000000214204,12512075.890000000596046
20170313,2474899.339999999850988,1783615.869999999646097,1935266.079999999841675,2162618.799999999813735,2154301.680000000167638,1944361.989999999990687,12455067.759999999776483
20170314,2471165.750000000000000,1751156.979999999748543,1936366.899999999906868,2152592.799999999813735,2139747.279999999795109,1932278.869999999878928,12383312.579999998211861
20170315,2497300.880000000353903,1775949.699999999720603,1931963.620000000111759,2163955.600000000093132,2174171.600000000093132,1940262.360000000102445,12483607.759999999776483
20170316,2501390.049999999813735,1759312.479999999748543,1934165.260000000009313,2160279.399999999906868,2168096.720000000204891,1942851.600000000093132,12466099.509999999776483
20170317,2488944.750000000000000,1756376.500000000000000,1941320.590000000083819,2167966.000000000465661,2147847.119999999646097,1947167.000000000000000,12449625.959999999031425
20170320,2515079.880000000353903,1756050.279999999795109,1950127.149999999906868,2169971.200000000186265,2126331.919999999925494,1924295.380000000121072,12441859.810000002384186
20170321,2486277.899999999906868,1762248.459999999962747,1928661.159999999916181,2145908.799999999813735,2122535.119999999646097,1900129.140000000130385,12345764.580000000074506
20170322,2514368.719999999739230,1767957.309999999823049,1946824.689999999944121,2173313.200000000186265,2114055.600000000093132,1910054.559999999823049,12426578.079999998211861
20170323,2505479.219999999739230,1759475.589999999850988,1941320.590000000083819,2167966.000000000465661,2092034.159999999916181,1917390.739999999990687,12383670.300000000745058
20170324,2500501.099999999627471,1761432.909999999683350,1935266.079999999841675,2171642.200000000186265,2088363.919999999925494,1924511.149999999906868,12381721.360000001266599
20170327,2504768.060000000055879,1733541.099999999860302,1947925.510000000009313,2175652.600000000093132,2083301.519999999785796,1919332.670000000158325,12364525.459999999031425
20170328,2556682.740000000223517,1748057.889999999897555,1959484.120000000111759,2182002.400000000372529,2092793.519999999785796,1923000.760000000009313,12462025.429999999701977
20170329,2562372.020000000018626,1762737.789999999571592,1957832.890000000130385,2188018.000000000000000,2068620.559999999823049,1924295.380000000121072,12463880.640000000596046
20170330,2558994.010000000242144,1758007.599999999860302,1967740.270000000018626,2196038.799999999813735,2088237.360000000102445,1920627.290000000037253,12489649.329999998211861
20170331,2554193.680000000167638,1751320.089999999850988,1985353.390000000130385,2201051.800000000279397,2075834.479999999748543,1917606.510000000009313,12485363.950000001117587
20170403,2554904.839999999850988,1758333.819999999832362,1990307.079999999841675,2190691.600000000093132,2095830.959999999962747,1928179.239999999990687,12518251.540000000968575
20170404,2573928.370000000111759,1772361.279999999795109,1996912.000000000000000,2196707.200000000186265,2087984.239999999990687,1915664.580000000074506,12543561.670000001788139
20170405,2560594.120000000111759,1772035.059999999823049,1993609.540000000037253,2191025.800000000279397,2093046.639999999897555,1921058.830000000074506,12531373.990000000223517
20170406,2554193.680000000167638,1782637.209999999962747,1983151.750000000000000,2196707.200000000186265,2092666.959999999962747,1922353.450000000186265,12531714.250000000000000
20170407,2548504.399999999906868,1775623.479999999748543,1983151.750000000000000,2195036.200000000186265,2101273.040000000037253,1914801.500000000000000,12518394.370000001043081
20170410,2545481.969999999739230,1784920.750000000000000,1970492.319999999832362,2190023.200000000186265,2094438.799999999813735,1917390.739999999990687,12502751.779999999329448
20170411,2518102.310000000055879,1777417.689999999711290,1967189.860000000102445,2188352.200000000186265,2098868.399999999906868,1917174.969999999972060,12467109.430000001564622
20170412,2521124.740000000223517,1777417.689999999711290,1961135.350000000093132,2179997.200000000186265,2095451.280000000027940,1913506.880000000121072,12448637.140000000596046
20170413,2507790.490000000223517,1730605.119999999646097,1940219.770000000018626,2170639.600000000093132,2087857.679999999934807,1917606.510000000009313,12354723.169999998062849
20170417,2521658.110000000335276,1731746.889999999897555,1952879.199999999953434,2188352.200000000186265,2115954.000000000000000,1937888.890000000130385,12448483.290000000968575
20170418,2510457.339999999850988,1723754.500000000000000,1968841.090000000083819,2185344.399999999906868,2133798.959999999962747,1936162.730000000214204,12458363.019999999552965
20170419,2501212.260000000242144,1700103.549999999813735,1976546.829999999841675,2173647.400000000372529,2142151.919999999925494,1936594.270000000018626,12430260.230000000447035
20170420,2532503.299999999813735,1710705.699999999720603,1991407.899999999906868,2189020.600000000093132,2171134.159999999683350,1966802.070000000065193,12561577.730000000447035
20170421,2529480.870000000111759,1710868.809999999823049,1999113.640000000130385,2219098.600000000093132,2166324.879999999888241,1966802.070000000065193,12591692.870000001043081
20170424,2553838.099999999627471,1727832.250000000000000,2022781.270000000018626,2256863.200000000186265,2181132.399999999906868,1981905.969999999972060,12724357.190000001341105
20170425,2569661.410000000149012,1740881.049999999813735,2029386.189999999944121,2269897.000000000000000,2202774.159999999683350,1987515.989999999990687,12800119.800000000745058
20170426,2554549.260000000242144,1730278.899999999674037,2032688.649999999906868,2266889.200000000186265,2207077.199999999720603,1981258.659999999916181,12772745.870000001043081
20170427,2556504.949999999720603,1720329.189999999711290,2060209.149999999906868,2281594.000000000000000,2210241.199999999720603,1976511.719999999972060,12805394.209999999031425
20170428,2554015.890000000130385,1740391.719999999739230,1989756.669999999925494,2287943.799999999813735,2213405.199999999720603,1968312.459999999962747,12753829.739999998360872
