代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13246447.609999997541308
真實報酬,3246447.609999997541308

夏普值報酬,0.315944761000000
夏普值風險,0.077680464877707
夏普值,4.067235713604357

預期報酬,11800.266177763620362
風險,249613.817872401705245
趨勢值,0.047274090346215
找到最佳解世代,1525
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](9),CAT[3](8),DIS[6](1),DD[7](6),INTC[11](2),MRK[17](4),NKE[19](21),UNH[23](7),
20140624,1420567.400000000139698,1592927.750000000000000,1465120.800000000046566,1674214.720000000204891,1599197.120000000111759,1452937.649999999906868,1184294.880000000121072,1371844.579999999841675,11761104.900000000372529
20140625,1421826.200000000186265,1602236.000000000000000,1486739.199999999953434,1683427.010000000009313,1619121.280000000027940,1476517.550000000046566,1207986.630000000121072,1381914.379999999888241,11879768.250000000000000
20140626,1430323.100000000093132,1603418.000000000000000,1496485.199999999953434,1667698.709999999962747,1613878.080000000074506,1468239.500000000000000,1213988.540000000037253,1381075.229999999981374,11875106.359999999403954
20140627,1447316.900000000139698,1607259.500000000000000,1511547.199999999953434,1651521.030000000027940,1621742.880000000121072,1443154.500000000000000,1226940.030000000027940,1376208.159999999916181,11885690.200000001117587
20140630,1462265.150000000139698,1605634.250000000000000,1519343.999999999767169,1646577.850000000093132,1620169.919999999925494,1451181.699999999953434,1225044.689999999944121,1372012.409999999916181,11902229.969999998807907
20140701,1471548.800000000046566,1613021.750000000000000,1532279.599999999860302,1649274.130000000121072,1624364.480000000214204,1467737.799999999813735,1231994.270000000018626,1374362.030000000027940,11964582.859999997541308
20140702,1470919.400000000139698,1618784.000000000000000,1531748.000000000000000,1648600.060000000055879,1624364.480000000214204,1481283.699999999953434,1228835.369999999878928,1384431.829999999841675,11988966.839999999850988
20140703,1479573.650000000139698,1641242.000000000000000,1538836.000000000000000,1665451.810000000055879,1632753.600000000093132,1485046.449999999953434,1239259.739999999990687,1398865.209999999729916,12081028.459999999031425
20140707,1510099.550000000046566,1627649.000000000000000,1534406.000000000000000,1639387.769999999785796,1626986.080000000074506,1467988.650000000139698,1242418.639999999897555,1379900.419999999925494,12028836.109999999403954
20140708,1500343.850000000093132,1617306.500000000000000,1521470.399999999906868,1631523.620000000111759,1614402.400000000139698,1459208.899999999906868,1226940.030000000027940,1375033.350000000093132,11946229.049999998882413
20140709,1500973.250000000000000,1627353.500000000000000,1545569.599999999860302,1638264.320000000065193,1619645.600000000093132,1468741.199999999953434,1243050.420000000158325,1388627.579999999841675,12032225.469999998807907
20140710,1495466.000000000232831,1615829.000000000000000,1539190.399999999906868,1635792.729999999981374,1639045.440000000176951,1469493.750000000000000,1224097.020000000018626,1377550.799999999813735,11996465.140000000596046
20140711,1498298.300000000046566,1624694.000000000000000,1539722.000000000000000,1651071.650000000139698,1638521.120000000111759,1465981.849999999860302,1220938.119999999878928,1390809.369999999878928,12030036.409999998286366
20140714,1517652.350000000093132,1626614.750000000000000,1537418.400000000139698,1647925.989999999990687,1651104.800000000046566,1459459.750000000000000,1231362.489999999990687,1414305.569999999832362,12085844.099999999627471
20140715,1499871.800000000046566,1623068.750000000000000,1526609.199999999953434,1649274.130000000121072,1662639.840000000083819,1452686.799999999813735,1232626.050000000046566,1408095.860000000102445,12054872.429999999701977
20140716,1491374.900000000139698,1645970.000000000000000,1512433.199999999953434,1666125.880000000121072,1816789.919999999925494,1458707.199999999953434,1214936.209999999962747,1405746.239999999990687,12212083.549999998882413
20140717,1464782.750000000232831,1611544.250000000000000,1506762.800000000046566,1652644.479999999981374,1766979.520000000251457,1444910.449999999953434,1208934.300000000046566,1428403.289999999804422,12084961.839999999850988
20140718,1485867.650000000139698,1627796.750000000000000,1520584.399999999906868,1653992.620000000111759,1766979.520000000251457,1463473.350000000093132,1224412.909999999916181,1435284.319999999832362,12178391.520000001415610
20140721,1478157.500000000000000,1628683.250000000000000,1519343.999999999767169,1659385.179999999934807,1785855.040000000270084,1454944.449999999953434,1213356.760000000009313,1427564.139999999897555,12167290.320000000298023
20140722,1490430.800000000046566,1626171.500000000000000,1527672.399999999906868,1673540.650000000139698,1824130.400000000139698,1465731.000000000000000,1216831.550000000046566,1444179.309999999823049,12268687.610000001266599
20140723,1529296.250000000000000,1601349.500000000000000,1524660.000000000000000,1724320.589999999850988,1808925.120000000111759,1457703.800000000046566,1222201.679999999934807,1442333.179999999934807,12310790.119999999180436
20140724,1526778.650000000139698,1552001.000000000000000,1538127.199999999953434,1722747.760000000009313,1795817.120000000111759,1460212.300000000046566,1241470.969999999972060,1437969.600000000093132,12275124.600000001490116
20140725,1536849.050000000046566,1549193.750000000000000,1528026.800000000046566,1718703.339999999850988,1795817.120000000111759,1458707.199999999953434,1227571.810000000055879,1421186.600000000093132,12236055.669999999925494
20140728,1558091.300000000046566,1538851.250000000000000,1544329.199999999953434,1718253.959999999962747,1794768.479999999981374,1454191.899999999906868,1238312.070000000065193,1439144.409999999916181,12285942.570000000298023
20140729,1548020.899999999906868,1546829.750000000000000,1527495.199999999953434,1710389.810000000055879,1792671.199999999953434,1469493.750000000000000,1233573.719999999972060,1414305.569999999832362,12242779.900000000372529
20140730,1544401.850000000093132,1527474.500000000000000,1545392.399999999906868,1679382.589999999850988,1801060.320000000298023,1456951.250000000000000,1257581.360000000102445,1392152.010000000009313,12204396.279999999329448
20140731,1504277.600000000093132,1488616.250000000000000,1521824.799999999813735,1634219.900000000139698,1776941.600000000093132,1423337.350000000093132,1218411.000000000000000,1360264.309999999823049,11927892.810000000521541
20140801,1512617.149999999906868,1485218.000000000000000,1512964.799999999813735,1631074.239999999990687,1769076.800000000279397,1424842.449999999953434,1212724.979999999981374,1367648.829999999841675,11916167.250000000000000
20140804,1504120.250000000232831,1504277.750000000000000,1545923.999999999767169,1653767.929999999934807,1785330.719999999972060,1431364.550000000046566,1218726.889999999897555,1380739.569999999832362,12024251.660000000149012
20140805,1496724.800000000279397,1499697.500000000000000,1537241.199999999953434,1635118.659999999916181,1720839.360000000102445,1405527.000000000000000,1214936.209999999962747,1359257.329999999841675,11869342.060000000521541
20140806,1494207.199999999953434,1499549.750000000000000,1534406.000000000000000,1647701.300000000046566,1722412.320000000298023,1403018.500000000000000,1218411.000000000000000,1367816.659999999916181,11887522.730000000447035
20140807,1486654.400000000139698,1506198.500000000000000,1515268.400000000139698,1642084.050000000046566,1713498.880000000121072,1395743.849999999860302,1205775.400000000139698,1330222.739999999990687,11795446.220000000670552
20140808,1490745.500000000000000,1525997.000000000000000,1539013.199999999953434,1672866.580000000074506,1709304.320000000298023,1418571.199999999953434,1217147.439999999944121,1344656.119999999878928,11918301.359999999403954
20140811,1510414.250000000000000,1544022.500000000000000,1550531.199999999953434,1657587.659999999916181,1731325.760000000242144,1421330.549999999813735,1217147.439999999944121,1340460.369999999878928,11972819.730000000447035
20140812,1510099.550000000046566,1541510.750000000000000,1545392.399999999906868,1657587.659999999916181,1737093.280000000260770,1430612.000000000000000,1212093.199999999953434,1346334.419999999925494,11980723.259999999776483
20140813,1530083.000000000000000,1553774.000000000000000,1552303.199999999953434,1679831.970000000204891,1787952.320000000298023,1451181.699999999953434,1220306.340000000083819,1367984.489999999990687,12143417.019999999552965
20140814,1534174.100000000093132,1561161.500000000000000,1570200.399999999906868,1668148.089999999850988,1779563.199999999953434,1474510.750000000000000,1220938.119999999878928,1373187.219999999739230,12181883.379999998956919
20140815,1541726.900000000139698,1562343.500000000000000,1582072.800000000046566,1664553.050000000046566,1791622.560000000288710,1470246.300000000046566,1218411.000000000000000,1367313.169999999925494,12198289.280000001192093
20140818,1560294.199999999953434,1580664.500000000000000,1594299.599999999860302,1692189.920000000158325,1804206.239999999990687,1465480.149999999906868,1240839.189999999944121,1381914.379999999888241,12319888.179999999701977
20140819,1581851.150000000139698,1585392.500000000000000,1596426.000000000000000,1698481.239999999990687,1800536.000000000232831,1477771.799999999813735,1240207.409999999916181,1400879.169999999925494,12381545.270000001415610
20140820,1582480.550000000046566,1591302.500000000000000,1591996.000000000000000,1705446.630000000121072,1808925.120000000111759,1492070.249999999767169,1246525.209999999962747,1400207.850000000093132,12418954.109999997541308
20140821,1582637.900000000139698,1595291.750000000000000,1601564.799999999813735,1698256.550000000046566,1843005.919999999925494,1476266.699999999953434,1246841.100000000093132,1405914.069999999832362,12449778.789999999105930
20140822,1594281.800000000046566,1585540.250000000000000,1603513.999999999767169,1699380.000000000000000,1831995.199999999953434,1484293.899999999906868,1252527.119999999878928,1406081.899999999906868,12457614.169999999925494
20140825,1597743.500000000232831,1595291.750000000000000,1601564.799999999813735,1700054.070000000065193,1825179.040000000270084,1498341.499999999767169,1263899.159999999916181,1413802.079999999841675,12495875.900000000372529
20140826,1587515.750000000000000,1596621.500000000000000,1595185.599999999860302,1699155.310000000055879,1824654.719999999972060,1510131.449999999953434,1255370.130000000121072,1428571.119999999878928,12497205.580000000074506
20140827,1607027.149999999906868,1603861.250000000000000,1601387.600000000093132,1716456.439999999944121,1824130.400000000139698,1512138.250000000000000,1259160.810000000055879,1449717.699999999953434,12573879.599999999627471
20140828,1608915.350000000093132,1605338.750000000000000,1598906.800000000046566,1716456.439999999944121,1816789.919999999925494,1505114.449999999953434,1244945.760000000009313,1449046.379999999888241,12545513.849999997764826
20140829,1612849.100000000093132,1611544.250000000000000,1592704.799999999813735,1713535.470000000204891,1830946.560000000288710,1507873.800000000046566,1240839.189999999944121,1454752.600000000093132,12565045.770000001415610
20140902,1625437.100000000093132,1609328.000000000000000,1609007.199999999953434,1713535.470000000204891,1812595.360000000102445,1499846.599999999860302,1252211.229999999981374,1449885.530000000027940,12571846.490000000223517
20140903,1556832.500000000000000,1602531.500000000000000,1611488.000000000000000,1724769.970000000204891,1812595.360000000102445,1517155.249999999767169,1244945.760000000009313,1456598.729999999981374,12526917.070000000298023
20140904,1543929.800000000279397,1607850.500000000000000,1597312.000000000000000,1737127.920000000158325,1830422.239999999990687,1507121.250000000000000,1262319.709999999962747,1461130.139999999897555,12547213.560000002384186
20140905,1557304.550000000046566,1603713.500000000000000,1611488.000000000000000,1753530.290000000270084,1835141.120000000111759,1534714.750000000000000,1295804.050000000046566,1472710.409999999916181,12664406.670000001788139
20140908,1547706.200000000186265,1594405.250000000000000,1604754.399999999906868,1737801.989999999990687,1852443.679999999934807,1531453.699999999953434,1301490.070000000065193,1475395.689999999944121,12645450.979999998584390
20140909,1541884.250000000000000,1586870.000000000000000,1587743.199999999953434,1710614.500000000000000,1830422.239999999990687,1519162.050000000046566,1292645.150000000139698,1486304.639999999897555,12555646.030000001192093
20140910,1589246.600000000093132,1565150.750000000000000,1586325.599999999860302,1707468.839999999850988,1836189.760000000242144,1524179.049999999813735,1302753.630000000121072,1464318.909999999916181,12575633.140000002458692
20140911,1596012.650000000139698,1560127.250000000000000,1594299.599999999860302,1692189.920000000158325,1836189.760000000242144,1507622.949999999953434,1292329.260000000009313,1461465.799999999813735,12540237.189999997615814
20140912,1599631.699999999953434,1551705.500000000000000,1588983.600000000093132,1685449.220000000204891,1815216.959999999962747,1493826.199999999953434,1292645.150000000139698,1446361.100000000093132,12473819.430000001564622
20140915,1599159.649999999906868,1549341.500000000000000,1596248.799999999813735,1697133.100000000093132,1811022.400000000139698,1493073.650000000139698,1289170.360000000102445,1443843.649999999906868,12478993.109999999403954
20140916,1587043.700000000186265,1549341.500000000000000,1599615.599999999860302,1711288.570000000065193,1831470.880000000121072,1504863.600000000093132,1282536.670000000158325,1462808.439999999944121,12528968.959999999031425
20140917,1598372.900000000139698,1536487.250000000000000,1600678.799999999813735,1732634.120000000111759,1834092.479999999981374,1502104.250000000000000,1287590.909999999916181,1459955.329999999841675,12551916.040000000968575
20140918,1601677.250000000232831,1541658.500000000000000,1600856.000000000000000,1714883.609999999869615,1844054.560000000288710,1512890.800000000046566,1294856.380000000121072,1470696.449999999953434,12581573.550000000745058
20140919,1588617.199999999953434,1514620.250000000000000,1603513.999999999767169,1711513.260000000009313,1825703.360000000102445,1517406.100000000093132,1292329.260000000009313,1473549.559999999823049,12527252.990000000223517
20140922,1590190.700000000186265,1490832.500000000000000,1582250.000000000000000,1691515.850000000093132,1819935.840000000083819,1519663.750000000000000,1274639.420000000158325,1473046.069999999832362,12442074.130000000819564
20140923,1615052.000000000000000,1477387.250000000000000,1564884.399999999906868,1689268.950000000186265,1804730.560000000288710,1512138.250000000000000,1265478.610000000102445,1453242.129999999888241,12382182.149999998509884
20140924,1601047.850000000093132,1495265.000000000000000,1585085.199999999953434,1712636.709999999962747,1822033.120000000111759,1514145.050000000046566,1276850.650000000139698,1480430.589999999850988,12487494.169999999925494
20140925,1539996.050000000279397,1470295.250000000000000,1560631.599999999860302,1700054.070000000065193,1790049.600000000093132,1496083.849999999860302,1259792.590000000083819,1446361.100000000093132,12263264.109999999403954
20140926,1585312.850000000093132,1483149.500000000000000,1572503.999999999767169,1714209.540000000270084,1796341.439999999944121,1489812.599999999860302,1413631.020000000018626,1453409.959999999729916,12508370.909999998286366
20140929,1575242.450000000186265,1475023.250000000000000,1574098.799999999813735,1709266.359999999869615,1829897.919999999925494,1490314.299999999813735,1407629.110000000102445,1451899.489999999990687,12513371.679999997839332
20140930,1585312.850000000093132,1463203.250000000000000,1577642.800000000046566,1678034.450000000186265,1825703.360000000102445,1487053.250000000000000,1408892.670000000158325,1447535.909999999916181,12473378.540000000968575
20141001,1560608.900000000139698,1442222.750000000000000,1550353.999999999767169,1614447.179999999934807,1782184.800000000279397,1472754.800000000046566,1385200.920000000158325,1424543.199999999953434,12232316.550000000745058
20141002,1571938.100000000093132,1439267.750000000000000,1537950.000000000000000,1613323.729999999981374,1757541.760000000242144,1476266.699999999953434,1410472.119999999878928,1424878.860000000102445,12231639.019999997690320
20141003,1567532.300000000279397,1438972.250000000000000,1567365.199999999953434,1619839.739999999990687,1784282.080000000074506,1502605.949999999953434,1426266.619999999878928,1443675.819999999832362,12350539.959999999031425
20141006,1567532.300000000279397,1447985.000000000000000,1569314.399999999906868,1616020.010000000009313,1788476.640000000130385,1494578.750000000000000,1409208.560000000055879,1428067.629999999888241,12321183.289999999105930
20141007,1553842.850000000093132,1399227.500000000000000,1543620.399999999906868,1583889.339999999850988,1754920.160000000149012,1466483.550000000046566,1391202.830000000074506,1412962.929999999934807,12106149.560000000521541
20141008,1586099.600000000093132,1428038.750000000000000,1561340.399999999906868,1599842.330000000074506,1796865.760000000242144,1509629.750000000000000,1403206.650000000139698,1453745.619999999878928,12338768.859999999403954
20141009,1589561.300000000046566,1381497.500000000000000,1518812.399999999906868,1543220.450000000186265,1762784.959999999962747,1485297.300000000046566,1377935.449999999953434,1425550.179999999934807,12084659.539999999105930
20141010,1584998.150000000139698,1376030.750000000000000,1528735.599999999860302,1522099.589999999850988,1673126.240000000223517,1471500.549999999813735,1377303.670000000158325,1433102.530000000027940,11966897.079999998211861
20141013,1570521.950000000186265,1354607.000000000000000,1486916.399999999906868,1436492.699999999953434,1650056.160000000149012,1408286.349999999860302,1348873.570000000065193,1408935.010000000009313,11664689.140000000596046
20141014,1553842.850000000093132,1371155.000000000000000,1490992.000000000000000,1405710.170000000158325,1685185.600000000093132,1413052.500000000000000,1344135.219999999972060,1389970.219999999739230,11654043.559999998658895
20141015,1534803.500000000232831,1368052.250000000000000,1454488.799999999813735,1410878.040000000037253,1640094.080000000074506,1372916.499999999767169,1345398.780000000027940,1378893.439999999944121,11505525.389999998733401
20141016,1514662.700000000186265,1377656.000000000000000,1448463.999999999767169,1432223.590000000083819,1617548.320000000298023,1340306.000000000000000,1374776.550000000046566,1433102.530000000027940,11538739.689999999478459
20141017,1536849.050000000046566,1404398.750000000000000,1485498.799999999813735,1473566.550000000046566,1645337.280000000027940,1355106.150000000139698,1376987.780000000027940,1479927.100000000093132,11757671.459999999031425
20141020,1569735.200000000186265,1389328.250000000000000,1515445.599999999860302,1488171.400000000139698,1655823.679999999934807,1355858.699999999953434,1404154.320000000065193,1485968.979999999981374,11864486.130000000819564
20141021,1612377.050000000046566,1416809.750000000000000,1551240.000000000000000,1542771.070000000065193,1709828.640000000130385,1382950.500000000000000,1431636.750000000000000,1526416.010000000009313,12174029.769999999552965
20141022,1620559.250000000000000,1397306.750000000000000,1543443.199999999953434,1523447.729999999981374,1692001.760000000242144,1392482.799999999813735,1419317.040000000037253,1506612.069999999832362,12095170.599999997764826
20141023,1649511.650000000139698,1466749.250000000000000,1559213.999999999767169,1525694.630000000121072,1714023.199999999953434,1420578.000000000000000,1427530.179999999934807,1521548.939999999944121,12284849.849999999627471
20141024,1655648.300000000046566,1469261.000000000000000,1570200.399999999906868,1542771.070000000065193,1739714.880000000121072,1445161.300000000046566,1435743.320000000065193,1537996.280000000027940,12396496.549999998882413
20141027,1653917.450000000186265,1455963.500000000000000,1567365.199999999953434,1487722.019999999785796,1740763.520000000251457,1416062.699999999953434,1447431.250000000000000,1546219.949999999953434,12315445.589999999850988
20141028,1679565.500000000000000,1494674.000000000000000,1593590.800000000046566,1535356.300000000046566,1769076.800000000279397,1401011.699999999953434,1460382.739999999990687,1554779.280000000027940,12488437.119999999180436
20141029,1689006.500000000232831,1480342.250000000000000,1586502.800000000046566,1516032.959999999962747,1778514.560000000288710,1409791.449999999953434,1452485.489999999990687,1560149.839999999850988,12472825.849999999627471
20141030,1683341.900000000139698,1479899.000000000000000,1598729.599999999860302,1543894.519999999785796,1708255.679999999934807,1437635.800000000046566,1468911.770000000018626,1575590.199999999953434,12496258.469999998807907
20141031,1699391.600000000093132,1498367.750000000000000,1619284.799999999813735,1580743.679999999934807,1783233.439999999944121,1453439.349999999860302,1468595.880000000121072,1594554.989999999990687,12697611.490000000223517
20141103,1721420.600000000093132,1480785.500000000000000,1625132.399999999906868,1572205.459999999962747,1798963.040000000270084,1478022.649999999906868,1476177.239999999990687,1592037.539999999804422,12744744.429999999701977
20141104,1708832.600000000093132,1456997.750000000000000,1601033.199999999953434,1522548.970000000204891,1811022.400000000139698,1489310.899999999906868,1484074.489999999990687,1594051.500000000000000,12667871.810000000521541
20141105,1712923.700000000186265,1468817.750000000000000,1612551.199999999953434,1573104.220000000204891,1770125.439999999944121,1494327.899999999906868,1495446.530000000027940,1607813.559999999823049,12735110.300000000745058
20141106,1710406.100000000093132,1490980.250000000000000,1630271.199999999953434,1593775.700000000186265,1773271.360000000102445,1486551.549999999813735,1494182.969999999972060,1614694.589999999850988,12794133.720000000670552
20141107,1715283.950000000186265,1503539.000000000000000,1594831.199999999953434,1583889.339999999850988,1760687.679999999934807,1488558.350000000093132,1481231.479999999981374,1571058.789999999804422,12699079.789999999105930
20141110,1712451.650000000139698,1510187.750000000000000,1590932.800000000046566,1583215.269999999785796,1743909.439999999944121,1475263.300000000046566,1499868.989999999990687,1590191.409999999916181,12706020.610000001266599
20141111,1726141.100000000093132,1514915.750000000000000,1594476.800000000046566,1584563.409999999916181,1746531.040000000270084,1489310.899999999906868,1498605.429999999934807,1605967.429999999934807,12760511.859999999403954
20141112,1750530.350000000093132,1521712.250000000000000,1593059.199999999953434,1596696.670000000158325,1750201.280000000260770,1487805.800000000046566,1513452.260000000009313,1605799.600000000093132,12819257.410000000149012
20141113,1775234.300000000046566,1493935.250000000000000,1603513.999999999767169,1598718.880000000121072,1765930.880000000121072,1493575.349999999860302,1518190.610000000102445,1609491.860000000102445,12858591.129999998956919
20141114,1796633.900000000139698,1497333.500000000000000,1609007.199999999953434,1643881.570000000065193,1780087.520000000251457,1481785.399999999906868,1508398.020000000018626,1596233.289999999804422,12913360.400000000372529
20141117,1793644.250000000000000,1502652.500000000000000,1602096.399999999906868,1635792.729999999981374,1795292.800000000279397,1491568.550000000046566,1517242.939999999944121,1619058.169999999925494,12957348.340000001713634
20141118,1816932.050000000046566,1507676.000000000000000,1599792.800000000046566,1666125.880000000121072,1819935.840000000083819,1502355.099999999860302,1523876.630000000121072,1647924.929999999934807,13084619.230000000447035
20141119,1804344.050000000046566,1496742.500000000000000,1591641.599999999860302,1647251.920000000158325,1801060.320000000298023,1496083.849999999860302,1531457.989999999990687,1625603.539999999804422,12994185.769999999552965
20141120,1830149.450000000186265,1508414.750000000000000,1575339.199999999953434,1647251.920000000158325,1884951.520000000251457,1489561.750000000000000,1536828.119999999878928,1625435.709999999729916,13097932.419999998062849
20141121,1832667.050000000046566,1572833.750000000000000,1576402.399999999906868,1690841.780000000027940,1866076.000000000232831,1496585.549999999813735,1538723.459999999962747,1623086.089999999850988,13197216.080000001937151
20141124,1866654.649999999906868,1565594.000000000000000,1605108.799999999813735,1672192.510000000009313,1900681.120000000111759,1486300.699999999953434,1547252.489999999990687,1626274.860000000102445,13270059.129999997094274
20141125,1850447.600000000093132,1569731.000000000000000,1624069.199999999953434,1644330.950000000186265,1904351.360000000102445,1488558.350000000093132,1536828.119999999878928,1643057.860000000102445,13261374.439999997615814
20141126,1872476.600000000093132,1563082.250000000000000,1628853.600000000093132,1656239.519999999785796,1934761.919999999925494,1498843.199999999953434,1544725.369999999878928,1646582.289999999804422,13345564.749999998137355
20141128,1871375.150000000139698,1486400.000000000000000,1639308.400000000139698,1557375.920000000158325,1953113.120000000111759,1515148.449999999953434,1568417.119999999878928,1655309.449999999953434,13246447.609999997541308
