代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13203155.710000000894070
真實報酬,3203155.710000000894070

夏普值報酬,0.311615571000000
夏普值風險,0.082994642961800
夏普值,3.754646804654950

預期報酬,13218.870890265425260
風險,163953.735239559930051
趨勢值,0.080625615945564
找到最佳解世代,2031
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](7),DD[7](4),MRK[17](16),MSFT[18](14),UNH[23](6),
20140227,2812804.850000000558794,2861038.639999999664724,2411061.979999999981374,2287608.719999999739230,2536955.479999999981374,12909469.670000001788139
20140228,2820681.290000000037253,2873049.280000000260770,2425104.470000000204891,2314798.620000000111759,2578670.479999999981374,13012304.140000000596046
20140303,2805365.990000000223517,2856897.040000000037253,2400849.260000000242144,2282774.959999999962747,2572997.239999999757856,12918884.490000000223517
20140304,2849342.780000000260770,2917364.400000000372529,2428083.180000000167638,2320840.819999999832362,2607370.399999999906868,13123001.580000001937151
20140305,2817837.019999999552965,2943870.639999999664724,2420423.640000000130385,2302714.219999999739230,2602698.319999999832362,13087543.839999999850988
20140306,2819368.550000000745058,2936001.600000000558794,2436593.779999999795109,2305131.099999999627471,2591018.120000000111759,13088113.150000002235174
20140307,2812367.269999999552965,2920263.520000000484288,2445529.910000000149012,2290025.599999999627471,2583008.840000000316650,13051195.140000000596046
20140310,2776266.919999999925494,2938900.719999999739230,2439146.959999999962747,2285191.839999999850988,2599027.399999999906868,13038533.839999999850988
20140311,2749574.540000000037253,2905353.760000000707805,2412338.569999999832362,2297276.240000000223517,2595690.200000000186265,12960233.310000002384186
20140312,2722444.580000000074506,2891686.479999999515712,2417444.930000000167638,2312381.740000000223517,2589683.239999999757856,12933640.970000000670552
20140313,2666871.919999999925494,2874705.919999999925494,2374040.870000000111759,2289421.379999999888241,2569993.760000000242144,12775033.849999999627471
20140314,2693564.299999999813735,2869321.839999999850988,2370211.100000000093132,2277941.200000000186265,2526276.439999999944121,12737314.880000000819564
20140317,2744104.790000000037253,2890029.839999999850988,2394040.779999999795109,2299088.899999999441206,2561650.760000000242144,12888915.069999998435378
20140318,2713911.770000000484288,2929375.040000000037253,2398296.080000000074506,2389721.899999999441206,2603032.040000000037253,13034336.829999998211861
20140319,2674529.570000000298023,2926061.760000000707805,2382551.470000000204891,2372803.740000000223517,2668441.159999999683350,13024387.700000001117587
20140320,2707129.280000000260770,2963336.160000000149012,2365530.270000000018626,2436851.059999999590218,2720835.200000000186265,13193681.969999998807907
20140321,2681968.429999999701977,2961265.360000000335276,2325955.979999999981374,2426579.319999999832362,2714494.520000000018626,13110263.609999999403954
20140324,2700346.790000000037253,2958366.240000000223517,2288509.339999999850988,2447122.799999999813735,2712492.200000000186265,13106837.370000001043081
20140325,2713474.190000000409782,2986943.280000000260770,2348509.069999999832362,2437455.279999999795109,2706485.239999999757856,13192867.060000000521541
20140326,2702753.480000000447035,2915293.600000000558794,2383828.060000000055879,2404223.179999999701977,2721168.920000000391155,13127267.240000000223517
20140327,2695752.200000000186265,2830390.799999999813735,2371487.689999999944121,2378241.719999999739230,2703815.479999999981374,12979687.890000000596046
20140328,2723100.950000000186265,2842815.600000000558794,2382125.939999999944121,2435038.399999999441206,2723838.680000000167638,13106919.570000000298023
20140331,2745636.320000000298023,2866008.560000000521541,2415742.810000000055879,2476729.580000000074506,2736186.319999999832362,13240303.590000001713634
20140401,2805147.200000000186265,2931860.000000000000000,2398721.609999999869615,2502711.040000000037253,2731180.520000000018626,13369620.370000001043081
20140402,2807335.100000000558794,2943042.320000000298023,2402551.379999999888241,2498481.500000000000000,2723504.959999999962747,13374915.260000001639128
20140403,2817618.230000000447035,2923162.639999999664724,2391913.129999999888241,2477938.019999999552965,2744863.040000000037253,13355495.059999998658895
20140404,2786987.629999999888241,2871806.799999999813735,2388083.359999999869615,2409056.939999999478459,2720835.200000000186265,13176769.929999999701977
20140407,2747824.219999999739230,2827077.520000000484288,2348509.069999999832362,2404827.399999999441206,2705817.799999999813735,13034056.010000001639128
20140408,2716318.459999999962747,2835360.719999999739230,2342126.120000000111759,2406035.839999999850988,2691801.560000000055879,12991642.700000001117587
20140409,2776048.129999999888241,2888373.200000000186265,2429785.300000000279397,2445310.139999999664724,2716163.120000000111759,13255679.890000000596046
20140410,2705160.169999999925494,2813410.240000000223517,2376594.050000000279397,2378241.719999999739230,2669442.319999999832362,12942848.500000000000000
20140411,2670810.139999999664724,2769095.120000000111759,2379572.760000000242144,2369178.419999999925494,2634735.439999999944121,12823391.879999998956919
20140414,2696627.360000000335276,2801399.600000000558794,2364679.209999999962747,2367365.759999999776483,2642411.000000000465661,12872482.929999999701977
20140415,2718943.940000000409782,2805541.200000000186265,2385104.649999999906868,2401806.299999999813735,2653423.760000000242144,12964819.849999999627471
20140416,2757669.770000000484288,2860624.479999999515712,2394040.779999999795109,2441080.599999999627471,2609372.719999999739230,13062788.349999997764826
20140417,2798802.290000000037253,2873463.439999999478459,2402976.910000000149012,2417516.019999999552965,2528946.200000000186265,13021704.859999999403954
20140421,2796614.389999999664724,2875120.080000000074506,2436168.250000000000000,2413286.479999999515712,2501247.439999999944121,13022436.639999998733401
20140422,2790707.059999999590218,2886716.560000000521541,2458295.810000000055879,2416307.580000000074506,2528278.760000000242144,13080305.769999999552965
20140423,2858094.379999999888241,2911980.320000000298023,2446806.500000000000000,2398180.979999999515712,2513928.799999999813735,13128990.980000000447035
20140424,2841247.550000000745058,2904111.280000000260770,2448083.089999999850988,2408452.719999999739230,2555977.520000000018626,13157872.160000000149012
20140425,2814992.750000000000000,2860624.479999999515712,2435742.720000000204891,2411473.819999999832362,2524941.560000000055879,13047775.330000000074506
20140428,2779548.770000000484288,2789388.959999999962747,2411913.040000000037253,2469478.939999999478459,2527611.319999999832362,12977941.030000001192093
20140429,2808647.839999999850988,2872220.959999999962747,2498721.160000000149012,2447727.019999999552965,2509590.439999999944121,13136907.419999999925494
20140430,2822869.190000000409782,2943042.320000000298023,2491912.680000000167638,2441080.599999999627471,2504250.920000000391155,13203155.710000000894070
