代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12954980.409999998286366
真實報酬,2954980.409999998286366

夏普值報酬,0.286798041000000
夏普值風險,0.074137594481357
夏普值,3.868456253623406

預期報酬,11580.793216390960879
風險,205141.238849717337871
趨勢值,0.056452779954570
找到最佳解世代,3314
找到最佳解實驗#,2
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
CAT[3](1),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),V[25](15),
20161014,2347630.540000000037253,1891314.219999999972060,2043937.239999999990687,1804175.480000000214204,1938160.719999999739230,1844763.040000000270084,11869985.240000000223517
20161017,2337454.900000000372529,1881510.370000000111759,2023544.199999999953434,1791934.280000000027940,1941199.839999999850988,1838050.840000000316650,11813698.429999999701977
20161018,2335580.440000000409782,1896356.200000000186265,2042292.639999999897555,1784181.520000000251457,2075210.559999999823049,1825297.660000000149012,11958923.020000001415610
20161019,2356467.280000000260770,1914563.349999999860302,2035056.399999999674037,1745213.700000000186265,2089393.120000000111759,1852817.680000000167638,11993515.529999999329448
20161020,2319781.419999999925494,1912042.360000000102445,2036701.000000000000000,1732768.480000000214204,2099523.520000000018626,1845881.740000000223517,11946702.520000001415610
20161021,2311748.019999999552965,1918484.889999999897555,2013018.760000000009313,1720527.280000000027940,2103865.120000000111759,1842525.640000000130385,11910173.710000000894070
20161024,2302643.500000000000000,1929129.070000000065193,1998217.359999999869615,1715834.820000000065193,2094024.159999999916181,1860872.320000000298023,11900725.230000000447035
20161025,2262208.719999999739230,1927168.299999999813735,2037687.760000000009313,1774388.560000000055879,2080854.639999999897555,1835365.960000000195578,11917677.940000001341105
20161026,2252836.419999999925494,1936411.929999999934807,2002164.399999999674037,1783161.420000000158325,2058423.039999999804422,1829101.240000000223517,11862102.449999999254942
20161027,2222845.060000000521541,1939213.030000000027940,2015979.039999999804422,1766431.780000000027940,2054226.159999999916181,1832904.820000000298023,11831603.890000000596046
20161028,2246141.919999999925494,1935851.709999999962747,1935393.639999999897555,1771736.300000000279397,2031215.679999999934807,1839617.020000000251457,11759960.269999999552965
20161031,2234895.160000000149012,1940053.360000000102445,1931446.599999999860302,1770920.219999999972060,2045398.240000000223517,1846105.480000000447035,11768823.060000000521541
20161101,2202226.000000000000000,1931930.169999999925494,1950523.959999999729916,1771940.320000000065193,2017901.440000000176951,1826192.620000000344589,11700718.510000001639128
20161102,2171966.860000000335276,1923806.980000000214204,1935393.639999999897555,1769696.100000000093132,2011389.039999999804422,1802923.660000000149012,11615180.279999999329448
20161103,2176251.339999999850988,1915403.679999999934807,1921907.919999999925494,1766839.820000000065193,1994746.240000000223517,1804489.840000000316650,11579642.839999999850988
20161104,2204100.459999999962747,1898036.860000000102445,1934735.799999999813735,1735828.780000000027940,1993009.600000000093132,1798001.380000000121072,11563716.880000000819564
20161107,2242660.780000000260770,1957420.179999999934807,1975192.959999999729916,1766023.740000000223517,2054081.440000000176951,1846105.480000000447035,11841488.580000000074506
20161108,2267564.320000000298023,1961621.830000000074506,1990323.279999999795109,1784385.540000000037253,2068119.280000000027940,1854383.860000000102445,11926402.109999999403954
20161109,2442156.879999999888241,2051817.250000000000000,2111036.919999999925494,1753170.480000000214204,2053647.280000000027940,1862438.500000000000000,12274271.310000000521541
20161110,2502407.379999999888241,2147054.650000000372529,2136692.679999999701977,1692576.540000000037253,2114863.839999999850988,1831786.120000000344589,12425385.210000000894070
20161111,2490625.060000000521541,2148175.089999999850988,2103471.759999999776483,1705225.780000000027940,2119060.719999999739230,1832009.860000000102445,12398572.269999999552965
20161114,2521687.540000000037253,2227166.110000000335276,2089657.119999999878928,1693392.620000000111759,2203866.640000000130385,1753700.860000000102445,12489474.890000000596046
20161115,2528917.599999999627471,2222964.459999999962747,2093604.159999999916181,1706041.860000000102445,2203143.040000000037253,1757951.920000000158325,12512627.040000000968575
20161116,2499729.580000000074506,2168062.900000000372529,2060054.320000000065193,1697269.000000000000000,2192578.479999999981374,1791736.660000000149012,12409434.940000001341105
20161117,2484466.120000000111759,2185429.719999999739230,2062356.760000000009313,1694820.760000000009313,2182013.919999999925494,1813886.920000000158325,12422978.199999999254942
20161118,2472683.799999999813735,2176746.310000000055879,2035056.399999999674037,1672990.620000000111759,2162910.879999999888241,1808293.420000000158325,12328685.429999997839332
20161121,2487679.480000000447035,2186270.049999999813735,2049199.959999999729916,1686047.900000000139698,2176804.000000000000000,1827758.800000000279397,12413764.190000001341105
20161122,2506959.640000000596046,2199715.330000000074506,2029464.760000000009313,1688496.140000000130385,2203577.199999999720603,1788380.560000000288710,12416597.630000000819564
20161123,2575511.320000000298023,2208958.959999999962747,2027491.239999999990687,1686863.980000000214204,2222101.359999999869615,1780325.920000000158325,12501256.779999999329448
20161125,2565603.459999999962747,2208118.629999999888241,2046239.679999999934807,1702777.540000000037253,2211536.799999999813735,1792855.360000000102445,12527135.469999998807907
20161128,2541235.480000000447035,2193833.020000000018626,2032753.959999999729916,1694820.760000000009313,2201406.400000000372529,1769362.660000000149012,12433416.280000001192093
20161129,2518206.400000000372529,2210639.620000000111759,2045581.839999999850988,1691148.400000000139698,2280712.959999999962747,1770928.840000000316650,12517222.059999998658895
20161130,2558908.959999999962747,2245653.370000000111759,2012689.839999999850988,1682375.540000000037253,2291277.520000000018626,1729984.420000000158325,12520893.650000000372529
20161201,2577118.000000000000000,2291031.189999999944121,1998546.279999999795109,1670134.340000000083819,2329194.160000000149012,1687697.560000000288710,12553725.529999999329448
20161202,2547662.200000000186265,2285709.099999999627471,2010716.320000000065193,1681151.420000000158325,2326155.040000000037253,1694186.020000000251457,12545584.100000001490116
20161205,2529185.379999999888241,2332207.360000000335276,1981771.359999999869615,1693188.600000000093132,2281291.839999999850988,1729760.680000000167638,12547409.219999998807907
20161206,2549804.440000000409782,2344252.089999999850988,1982758.119999999878928,1691556.439999999944121,2276805.520000000018626,1725285.880000000121072,12570466.490000000223517
20161207,2606306.019999999552965,2354896.270000000018626,1975521.879999999888241,1717466.980000000214204,2306907.280000000260770,1774508.680000000167638,12735611.109999999403954
20161208,2577921.339999999850988,2384307.820000000298023,1977495.399999999674037,1703593.620000000111759,2305749.520000000018626,1773837.460000000195578,12722909.160000000149012
20161209,2558105.620000000111759,2394671.889999999664724,2014005.519999999785796,1721343.360000000102445,2317327.120000000111759,1770705.100000000325963,12776162.609999997541308
20161212,2546055.519999999552965,2373383.530000000260770,2030122.599999999860302,1736848.880000000121072,2308209.760000000242144,1756385.740000000223517,12751010.029999999329448
20161213,2571226.839999999850988,2374223.860000000335276,2032425.039999999804422,1737868.980000000214204,2323405.359999999869615,1772047.540000000270084,12811201.620000001043081
20161214,2510173.000000000000000,2373383.530000000260770,2032753.959999999729916,1721343.360000000102445,2313564.400000000372529,1770481.360000000102445,12721703.609999999403954
20161215,2531327.620000000111759,2408957.500000000000000,2051502.399999999674037,1727667.980000000214204,2324563.120000000111759,1778759.740000000223517,12822782.360000001266599
20161216,2479110.519999999552965,2379265.839999999850988,2053804.839999999850988,1727667.980000000214204,2372610.160000000149012,1753029.640000000130385,12765492.980000000447035
20161219,2482591.660000000149012,2392991.229999999981374,2011045.239999999990687,1728280.040000000037253,2337877.359999999869615,1747436.140000000130385,12700225.670000001788139
20161220,2526239.799999999813735,2423803.330000000074506,1989994.359999999869615,1725423.760000000009313,2338600.959999999962747,1753253.380000000121072,12757319.590000001713634
20161221,2512315.240000000223517,2429965.750000000000000,1954799.919999999925494,1719507.180000000167638,2334838.240000000223517,1748331.100000000325963,12699761.429999999701977
20161222,2520348.640000000596046,2433887.290000000037253,1959733.719999999739230,1723383.560000000055879,2338456.240000000223517,1742961.340000000316650,12718774.790000000968575
20161223,2525704.240000000223517,2438369.049999999813735,1959075.879999999888241,1733380.540000000037253,2359440.640000000130385,1748554.840000000316650,12764529.190000001341105
20161227,2531863.179999999701977,2440609.929999999701977,1966641.039999999804422,1726035.820000000065193,2353796.559999999590218,1753029.640000000130385,12771980.169999998062849
20161228,2494373.980000000447035,2422963.000000000000000,1949537.199999999953434,1715222.760000000009313,2336430.160000000149012,1751910.940000000176951,12670442.040000000968575
20161229,2498122.900000000372529,2405876.290000000037253,1941972.039999999804422,1720935.320000000065193,2330641.359999999869615,1752582.160000000149012,12650134.070000000298023
20161230,2483395.000000000000000,2417080.689999999944121,1936380.399999999674037,1715426.780000000027940,2316169.359999999869615,1745646.220000000204891,12614102.449999999254942
20170103,2516867.500000000000000,2443411.030000000260770,1978482.159999999916181,1717875.020000000251457,2336574.879999999888241,1778759.740000000223517,12771974.330000000074506
20170104,2505620.740000000223517,2434447.509999999776483,1977824.320000000065193,1723995.620000000111759,2343232.000000000000000,1793302.840000000316650,12778427.030000001192093
20170105,2490357.280000000260770,2412038.709999999962747,1977166.479999999748543,1735420.740000000223517,2347139.439999999944121,1814334.400000000372529,12776461.050000000745058
20170106,2491428.400000000372529,2412318.820000000298023,1982429.199999999953434,1734808.680000000167638,2350468.000000000000000,1839393.280000000027940,12810850.380000000819564
20170109,2473487.140000000596046,2413999.479999999981374,2009729.559999999823049,1721955.420000000158325,2343810.879999999888241,1829101.240000000223517,12792087.720000000670552
20170110,2512583.019999999552965,2421002.229999999981374,1970917.000000000000000,1703389.600000000093132,2338456.240000000223517,1819256.680000000167638,12765608.769999999552965
20170111,2534540.980000000447035,2439209.379999999888241,2027162.320000000065193,1708694.120000000111759,2342942.559999999590218,1830219.940000000176951,12882773.299999998882413
20170112,2516867.500000000000000,2415680.139999999664724,2046239.679999999934807,1710530.300000000279397,2349744.400000000372529,1820599.120000000344589,12859665.140000000596046
20170113,2529988.719999999739230,2428565.200000000186265,2050515.639999999897555,1713998.640000000130385,2341640.080000000074506,1816124.320000000298023,12880836.599999999627471
20170117,2505620.740000000223517,2340330.549999999813735,2022228.519999999785796,1738481.040000000037253,2325142.000000000000000,1818137.980000000447035,12749944.830000000074506
20170118,2499194.019999999552965,2351254.839999999850988,2012032.000000000000000,1732768.480000000214204,2282883.760000000242144,1825521.400000000372529,12703658.500000000000000
20170119,2500532.919999999925494,2333327.799999999813735,1984402.719999999739230,1728076.020000000251457,2296776.879999999888241,1828653.760000000242144,12671774.099999999627471
20170120,2532666.519999999552965,2343691.870000000111759,2056765.119999999878928,1784181.520000000251457,2296198.000000000000000,1831114.900000000372529,12844621.929999999701977
20170123,2529453.160000000149012,2344812.310000000055879,2033082.879999999888241,1774184.540000000037253,2302131.520000000018626,1838050.840000000316650,12821719.250000000000000
20170124,2577118.000000000000000,2373103.419999999925494,2013347.679999999934807,1792546.340000000083819,2321813.439999999944121,1862214.760000000242144,12940147.639999998733401
20170125,2628263.980000000447035,2409797.830000000074506,2009071.719999999739230,1778264.939999999944121,2333535.760000000242144,1877205.340000000316650,13036143.570000000298023
20170126,2603360.440000000409782,2429965.750000000000000,2013018.760000000009313,1766839.820000000065193,2355388.479999999981374,1862438.500000000000000,13031015.750000000000000
20170127,2650757.500000000000000,2435007.729999999981374,2031109.359999999869615,1769288.060000000055879,2358861.760000000242144,1874296.720000000204891,13119325.130000000819564
20170130,2591845.900000000372529,2409797.830000000074506,2020583.919999999925494,1769900.120000000111759,2345836.959999999962747,1872730.540000000270084,13010699.270000001415610
20170131,2561586.759999999776483,2370582.429999999701977,2039003.439999999944121,1787241.820000000065193,2345981.679999999701977,1850580.280000000027940,12954980.409999998286366
