代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13066227.640000000596046
真實報酬,3066227.640000000596046

夏普值報酬,0.297922764000000
夏普值風險,0.071525195507012
夏普值,4.165284161590177

預期報酬,11651.159266488131834
風險,203220.444411408825545
趨勢值,0.057332613853068
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),DIS[6](1),KO[14](20),MRK[17](4),MSFT[18](2),UNH[23](3),
20140722,2114182.000000000000000,2094796.759999999776483,1734898.779999999795109,2159752.419999999925494,2110037.140000000130385,2101026.639999999664724,12314697.739999998360872
20140723,2169312.399999999441206,2090666.100000000093132,1718893.560000000055879,2147924.259999999776483,2111919.820000000298023,2098340.879999999888241,12337061.019999999552965
20140724,2165741.200000000186265,2109132.580000000074506,1725632.599999999860302,2151620.559999999590218,2089798.330000000307336,2091992.719999999972060,12333921.990000000223517
20140725,2180026.000000000000000,2095282.719999999972060,1726896.169999999925494,2149402.779999999329448,2094505.030000000260770,2067576.719999999972060,12313693.419999999925494
20140728,2210158.000000000000000,2117636.879999999888241,1713418.089999999850988,2142749.439999999478459,2069559.520000000251457,2093701.839999999850988,12347227.769999999552965
20140729,2195873.200000000186265,2094553.780000000027940,1699518.820000000065193,2165296.870000000111759,2065794.160000000381842,2057566.159999999683350,12278606.990000002086163
20140730,2190739.599999999627471,2119094.759999999776483,1668771.949999999720603,2146815.370000000111759,2051203.390000000130385,2025337.039999999804422,12201966.109999997541308
20140731,2133823.599999999627471,2086778.419999999925494,1654872.679999999934807,2097284.950000000186265,2031435.250000000000000,1978946.639999999897555,11983145.539999999105930
20140801,2145653.200000000186265,2074629.419999999925494,1654872.679999999934807,2099502.729999999515712,2017315.150000000139698,1989689.679999999701977,11981666.859999999403954
20140804,2133600.400000000372529,2119823.700000000186265,1659505.769999999785796,2109113.110000000335276,2041319.320000000065193,2008734.159999999683350,12072100.460000000894070
20140805,2123110.000000000000000,2107917.679999999701977,1650239.589999999850988,2071041.219999999972060,2027669.890000000130385,1977481.679999999701977,11957464.059999998658895
20140806,2119538.799999999813735,2104030.000000000000000,1681407.649999999906868,2067344.919999999925494,2011667.110000000335276,1989933.839999999850988,11973926.320000000298023
20140807,2108825.200000000186265,2077788.160000000149012,1657399.820000000065193,2056625.649999999906868,2034729.940000000176951,1935242.000000000000000,11870614.769999999552965
20140808,2114628.399999999441206,2110347.479999999515712,1661611.719999999972060,2090261.979999999748543,2033317.930000000400469,1956239.760000000009313,11966411.269999997690320
20140811,2142528.399999999441206,2126141.179999999701977,1666666.000000000000000,2094327.909999999683350,2033317.930000000400469,1950135.760000000009313,12013121.179999997839332
20140812,2142082.000000000000000,2119094.759999999776483,1671299.089999999850988,2108004.219999999739230,2048379.370000000344589,1958681.359999999869615,12047544.799999998882413
20140813,2170428.399999999441206,2128570.979999999515712,1682250.029999999795109,2138313.879999999888241,2074736.890000000130385,1990178.000000000000000,12184482.179999997839332
20140814,2176231.599999999627471,2153111.959999999962747,1692358.589999999850988,2172689.469999999739230,2083679.620000000344589,1997746.959999999729916,12275822.199999999254942
20140815,2186945.200000000186265,2169391.620000000111759,1721841.890000000130385,2166405.759999999776483,2108154.460000000428408,1989201.359999999869615,12341944.290000000968575
20140818,2213282.799999999813735,2186157.240000000223517,1741637.820000000065193,2159382.790000000037253,2123215.900000000372529,2010443.280000000027940,12434123.830000000074506
20140819,2243861.200000000186265,2189073.000000000000000,1737847.109999999869615,2177494.660000000149012,2133570.640000000130385,2038033.359999999869615,12519883.970000000670552
20140820,2244754.000000000000000,2182998.500000000000000,1737425.919999999925494,2198563.569999999366701,2115685.180000000167638,2037056.719999999972060,12516487.890000000596046
20140821,2244977.200000000186265,2196119.419999999925494,1744164.959999999729916,2175276.879999999888241,2128393.270000000018626,2045358.159999999683350,12534293.890000000596046
20140822,2261494.000000000000000,2198792.200000000186265,1731950.449999999720603,2187105.040000000037253,2125098.580000000074506,2045602.319999999832362,12550046.589999999850988
20140825,2266404.400000000372529,2196119.419999999925494,1744164.959999999729916,2207804.319999999366701,2126039.920000000391155,2056833.679999999701977,12597370.699999999254942
20140826,2251896.399999999441206,2187372.139999999664724,1752167.570000000065193,2225176.929999999701977,2118509.200000000186265,2078319.760000000009313,12613445.999999998137355
20140827,2279573.200000000186265,2195876.440000000409782,1752167.570000000065193,2228133.969999999739230,2111919.820000000298023,2109083.919999999925494,12676758.919999999925494
20140828,2282251.599999999627471,2192474.719999999739230,1753431.140000000130385,2217784.330000000074506,2112390.490000000223517,2108107.279999999795109,12666443.559999998658895
20140829,2287831.599999999627471,2183970.419999999925494,1757221.849999999860302,2221850.259999999776483,2138277.340000000316650,2116408.720000000204891,12705564.189999999478459
20140902,2305687.599999999627471,2206324.580000000074506,1753852.329999999841675,2210022.099999999627471,2122274.560000000521541,2109328.080000000074506,12707493.250000000000000
20140903,2208372.399999999441206,2209726.299999999813735,1759748.989999999990687,2235526.569999999366701,2116155.850000000093132,2119094.479999999981374,12648628.589999997988343
20140904,2190070.000000000000000,2190287.900000000372529,1763539.699999999720603,2220741.370000000111759,2130275.950000000186265,2125686.799999999813735,12620605.719999998807907
20140905,2209042.000000000000000,2209726.299999999813735,1762276.130000000121072,2261400.669999999925494,2160869.500000000000000,2142533.839999999850988,12745852.439999999478459
20140908,2195426.799999999813735,2200493.059999999590218,1759748.989999999990687,2256595.479999999515712,2187227.020000000018626,2146440.399999999906868,12745935.749999998137355
20140909,2187168.399999999441206,2177166.979999999515712,1766488.029999999795109,2238483.610000000335276,2200876.450000000186265,2162310.799999999813735,12732498.269999999552965
20140910,2254351.599999999627471,2175223.139999999664724,1776175.399999999906868,2245876.209999999962747,2204641.810000000521541,2130325.839999999850988,12786597.999999998137355
20140911,2263949.200000000186265,2186157.240000000223517,1766909.219999999972060,2221480.629999999888241,2212172.530000000260770,2126175.119999999646097,12776847.939999999478459
20140912,2269082.799999999813735,2178867.839999999850988,1746270.909999999916181,2201150.979999999515712,2198052.430000000167638,2104200.720000000204891,12697629.679999999701977
20140915,2268413.200000000186265,2188830.019999999552965,1747955.669999999925494,2200042.089999999850988,2176401.610000000335276,2100538.319999999832362,12682184.910000000149012
20140916,2251226.799999999813735,2193446.639999999664724,1753852.329999999841675,2217414.700000000186265,2200876.450000000186265,2128128.399999999906868,12744949.319999998435378
20140917,2267297.200000000186265,2194904.519999999552965,1752588.760000000009313,2213348.769999999552965,2189580.370000000577420,2123977.679999999701977,12741701.300000000745058
20140918,2271984.400000000372529,2195147.500000000000000,1760170.179999999934807,2229242.860000000335276,2197111.090000000316650,2139603.919999999925494,12793263.950000001117587
20140919,2253458.799999999813735,2198792.200000000186265,1771121.119999999878928,2235896.200000000186265,2236647.370000000577420,2143754.639999999664724,12839674.330000001937151
20140922,2255690.799999999813735,2169634.599999999627471,1778281.349999999860302,2239222.870000000111759,2214996.550000000279397,2143022.159999999683350,12800852.330000000074506
20140923,2290956.399999999441206,2145822.559999999590218,1764382.079999999841675,2228133.969999999739230,2191463.050000000279397,2114211.279999999795109,12734973.339999997988343
20140924,2271091.599999999627471,2173522.280000000260770,1780387.300000000046566,2231091.009999999776483,2215937.890000000130385,2153765.199999999720603,12825799.279999999329448
20140925,2184490.000000000000000,2139991.040000000037253,1759748.989999999990687,2204477.649999999441206,2166988.210000000428408,2104200.720000000204891,12559900.610000001266599
20140926,2248771.599999999627471,2156270.700000000186265,1777438.969999999972060,2195236.899999999441206,2184403.000000000000000,2114455.439999999944121,12676580.609999997541308
20140929,2234486.799999999813735,2158457.519999999552965,1779544.919999999925494,2195976.160000000149012,2185815.010000000242144,2112258.000000000000000,12666542.410000000149012
20140930,2248771.599999999627471,2163317.120000000111759,1796813.709999999729916,2191170.969999999739230,2182049.650000000372529,2105909.839999999850988,12688036.889999998733401
20141001,2213729.200000000186265,2125898.200000000186265,1800183.229999999981374,2170102.059999999590218,2160398.830000000074506,2072459.919999999692664,12542775.439999999478459
20141002,2229799.599999999627471,2108889.599999999627471,1796813.709999999729916,2175276.879999999888241,2153809.450000000186265,2072948.239999999990687,12537541.479999998584390
20141003,2223550.000000000000000,2149224.280000000260770,1811134.169999999925494,2214088.029999999329448,2169341.560000000521541,2100294.159999999683350,12667636.200000001117587
20141006,2223550.000000000000000,2151897.059999999590218,1836405.570000000065193,2202259.870000000111759,2169341.560000000521541,2077587.280000000027940,12661045.339999999850988
20141007,2204131.599999999627471,2116664.959999999962747,1849883.649999999906868,2160861.309999999590218,2142984.040000000502914,2055612.879999999888241,12530142.439999997615814
20141008,2249887.599999999627471,2140962.959999999962747,1876418.619999999878928,2224437.669999999925494,2201817.790000000502914,2114943.759999999776483,12808472.400000000372529
20141009,2254798.000000000000000,2082647.759999999776483,1847777.699999999720603,2188583.559999999590218,2158045.480000000447035,2073924.879999999888241,12605781.379999998956919
20141010,2248325.200000000186265,2096254.639999999897555,1873049.099999999860302,2168253.910000000149012,2072383.540000000270084,2084912.079999999841675,12543182.470000000670552
20141013,2227790.799999999813735,2038911.359999999869615,1856201.500000000000000,2075107.149999999906868,2054498.080000000307336,2049753.039999999804422,12302265.929999999701977
20141014,2204131.599999999627471,2044499.899999999906868,1838090.329999999841675,2082130.119999999878928,2058263.440000000176951,2022162.959999999729916,12249282.349999999627471
20141015,2177124.400000000372529,1994446.019999999785796,1820821.539999999804422,2022989.319999999832362,2034259.270000000251457,2006048.399999999674037,12055692.949999999254942
20141016,2148554.799999999813735,1986184.699999999720603,1792601.810000000055879,1974937.419999999925494,2011667.110000000335276,2084912.079999999841675,11998861.919999999925494
20141017,2180026.000000000000000,2036967.519999999785796,1806079.890000000130385,1996745.589999999850988,2053556.740000000456348,2153032.720000000204891,12226412.460000000894070
20141020,2226674.799999999813735,2078031.139999999897555,1823348.679999999934807,1997854.479999999748543,2074736.890000000130385,2161822.479999999981374,12362472.469999998807907
20141021,2287162.000000000000000,2127113.099999999627471,1713418.089999999850988,2037774.520000000018626,2112390.490000000223517,2220665.040000000037253,12498527.239999998360872
20141022,2298768.399999999441206,2116421.979999999515712,1710890.949999999720603,2051820.459999999729916,2088856.990000000456348,2191854.159999999683350,12458616.939999999478459
20141023,2339837.200000000186265,2138047.200000000186265,1720999.510000000009313,2093219.020000000018626,2118979.870000000577420,2213584.399999999906868,12624671.200000001117587
20141024,2348542.000000000000000,2153111.959999999962747,1728159.739999999990687,2129442.759999999776483,2171224.240000000223517,2237512.080000000074506,12767996.779999999329448
20141027,2346086.799999999813735,2149224.280000000260770,1716787.609999999869615,2086565.679999999934807,2160869.500000000000000,2249475.919999999925494,12709013.789999999105930
20141028,2382468.399999999441206,2185185.320000000298023,1708363.810000000055879,2064387.879999999888241,2188168.360000000335276,2261928.080000000074506,12790505.849999999627471
20141029,2395860.400000000372529,2175466.120000000111759,1725211.409999999916181,2077324.929999999934807,2194287.070000000298023,2269741.199999999720603,12837895.129999998956919
20141030,2387825.200000000186265,2192231.740000000223517,1743743.769999999785796,2118353.860000000335276,2167458.880000000353903,2292203.919999999925494,12901821.370000001043081
20141031,2410591.599999999627471,2220417.419999999925494,1763960.890000000130385,2141640.549999999813735,2209819.180000000167638,2319794.000000000000000,13066227.640000000596046
