代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14307613.669999998062849
真實報酬,4307613.669999998062849

夏普值報酬,0.422061367000000
夏普值風險,0.097375664286333
夏普值,4.334361876689512

預期報酬,16188.339694519134355
風險,110929.610077541015926
趨勢值,0.145933440883848
找到最佳解世代,1684
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,9
AAPL[0](7),AXP[1](6),BA[2](5),HD[9](10),KO[14](19),MCD[15](1),MMM[16](4),UNH[23](2),V[25](11),
20170504,1433951.139999999897555,1310341.479999999981374,1428143.639999999664724,1410243.100000000093132,1144129.299999999813735,1415896.600000000093132,1341036.409999999916181,1368087.089999999850988,1247252.260000000009313,12099082.019999999552965
20170505,1457731.119999999878928,1310174.199999999953434,1443277.579999999841675,1418165.319999999832362,1144915.449999999953434,1420930.300000000279397,1340297.100000000093132,1368873.189999999944121,1240115.279999999795109,12144480.539999997243285
20170508,1497364.419999999692664,1307497.719999999972060,1451156.589999999850988,1428728.279999999795109,1150156.449999999953434,1423693.900000000139698,1335256.350000000093132,1371388.709999999962747,1237826.059999999823049,12203069.480000002309680
20170509,1506954.699999999953434,1312181.560000000055879,1458099.479999999748543,1435922.020000000018626,1140198.550000000046566,1424878.300000000279397,1330618.860000000102445,1361955.510000000009313,1238903.339999999850988,12209713.319999998435378
20170510,1499810.919999999692664,1315694.440000000176951,1429001.750000000000000,1440019.719999999972060,1141770.850000000093132,1426457.500000000232831,1321747.139999999897555,1363134.659999999683350,1242269.839999999850988,12179907.820000000298023
20170511,1506563.259999999776483,1303483.000000000000000,1434930.509999999776483,1422445.139999999897555,1144391.350000000093132,1423397.800000000279397,1322486.449999999953434,1362584.389999999897555,1240249.939999999711290,12160532.839999999850988
20170512,1527603.159999999683350,1296289.959999999962747,1429547.819999999832362,1429001.459999999729916,1142294.950000000186265,1434748.300000000279397,1321276.669999999925494,1350714.279999999795109,1248733.520000000018626,12180211.119999999180436
20170515,1523688.759999999776483,1310341.479999999981374,1422838.959999999729916,1432734.920000000158325,1145963.649999999906868,1443828.700000000186265,1328400.929999999934807,1348513.199999999953434,1255466.520000000018626,12211778.119999999180436
20170516,1521437.979999999748543,1306995.879999999888241,1425257.269999999785796,1441203.499999999767169,1149108.250000000000000,1453797.399999999906868,1330282.809999999823049,1321707.189999999944121,1254389.239999999990687,12204180.519999999552965
20170517,1470355.059999999823049,1277554.600000000093132,1394677.349999999860302,1421443.479999999981374,1151204.649999999906868,1445111.800000000046566,1309649.340000000083819,1327524.330000000074506,1235671.500000000000000,12033193.110000001266599
20170518,1492764.999999999767169,1277721.879999999888241,1383911.969999999972060,1417892.139999999897555,1147798.000000000000000,1451033.800000000046566,1312337.739999999990687,1347884.319999999832362,1234998.199999999720603,12066344.049999998882413
20170519,1497853.719999999739230,1284747.639999999897555,1410123.329999999841675,1423355.739999999990687,1150418.500000000000000,1462285.600000000093132,1316101.500000000000000,1356845.859999999869615,1245367.020000000018626,12147099.909999998286366
20170522,1506954.699999999953434,1287758.680000000167638,1432824.239999999757856,1420259.699999999953434,1157755.899999999906868,1462680.400000000139698,1334315.409999999916181,1373432.569999999832362,1256543.799999999813735,12232526.399999998509884
20170523,1505095.359999999869615,1291438.840000000083819,1431420.059999999823049,1409969.920000000158325,1163258.949999999953434,1459028.500000000000000,1329073.029999999795109,1377520.289999999804422,1263950.099999999860302,12230756.049999998882413
20170524,1500593.799999999813735,1290100.600000000093132,1445149.819999999832362,1411517.939999999944121,1180030.150000000139698,1475610.100000000093132,1327459.989999999990687,1380428.859999999869615,1276742.799999999813735,12287635.059999998658895
20170525,1505780.379999999888241,1295453.560000000055879,1459347.639999999664724,1424812.699999999953434,1189988.049999999813735,1478373.700000000186265,1341238.039999999804422,1399766.919999999925494,1279839.979999999981374,12374601.970000000670552
20170526,1503236.020000000018626,1295788.119999999878928,1455603.159999999916181,1410607.340000000083819,1189463.949999999953434,1479163.300000000279397,1348832.769999999785796,1395443.369999999878928,1274857.559999999823049,12352996.589999999850988
20170530,1503823.179999999701977,1289598.760000000009313,1457865.449999999720603,1401319.219999999972060,1190512.149999999906868,1479854.200000000186265,1360728.939999999944121,1388289.859999999869615,1275530.859999999869615,12347523.619999997317791
20170531,1494917.919999999692664,1287089.560000000055879,1463716.199999999720603,1397949.999999999767169,1191560.349999999860302,1489329.399999999906868,1374372.569999999832362,1377205.849999999860302,1282398.520000000018626,12358541.369999999180436
20170601,1499028.039999999804422,1309505.080000000074506,1461297.889999999664724,1412883.840000000083819,1199945.949999999953434,1504134.399999999906868,1373566.049999999813735,1411794.250000000000000,1284687.739999999990687,12456844.240000000223517
20170602,1521242.259999999776483,1313017.959999999962747,1483998.799999999813735,1414705.039999999804422,1202566.449999999953434,1517458.900000000139698,1389360.399999999906868,1410300.659999999683350,1294787.239999999990687,12547438.710000000894070
20170605,1506367.539999999804422,1321047.399999999906868,1474013.519999999785796,1409605.679999999934807,1205186.949999999953434,1508082.399999999906868,1386134.319999999832362,1410143.439999999944121,1300173.639999999897555,12520755.889999998733401
20170606,1511456.259999999776483,1319040.039999999804422,1456851.319999999832362,1404233.139999999897555,1204924.899999999906868,1492685.199999999953434,1380690.309999999823049,1421541.889999999897555,1289939.479999999981374,12481363.539999999105930
20170607,1520459.379999999888241,1335098.919999999925494,1467382.669999999692664,1411153.699999999953434,1192608.550000000046566,1499692.900000000139698,1378001.909999999916181,1440329.679999999934807,1293979.279999999795109,12538707.989999998360872
20170608,1516740.699999999953434,1337440.840000000083819,1481658.500000000000000,1397858.939999999944121,1182650.650000000139698,1494659.200000000186265,1384252.439999999944121,1428380.959999999962747,1293979.279999999795109,12517622.509999999776483
20170609,1457926.839999999618158,1343462.919999999925494,1482438.599999999860302,1392941.699999999953434,1187629.600000000093132,1495152.699999999953434,1390906.229999999981374,1426572.929999999934807,1273376.299999999813735,12450408.820000000298023
20170612,1423088.679999999701977,1341121.000000000000000,1482204.569999999832362,1385839.020000000018626,1187891.649999999906868,1465444.000000000000000,1393997.889999999897555,1409200.119999999878928,1259102.339999999850988,12347890.269999999552965
20170613,1434538.299999999813735,1348146.760000000009313,1490707.659999999916181,1402320.880000000121072,1180030.150000000139698,1478768.500000000000000,1405558.010000000009313,1423349.919999999925494,1280378.619999999878928,12443799.799999998882413
20170614,1420544.319999999832362,1352328.760000000009313,1500770.949999999720603,1427544.499999999767169,1187105.500000000000000,1487256.700000000186265,1411606.909999999916181,1433647.830000000074506,1283610.459999999729916,12504416.929999997839332
20170615,1412030.499999999767169,1349986.840000000083819,1524720.019999999785796,1427635.560000000055879,1185795.250000000000000,1492093.000000000000000,1420209.789999999804422,1418083.049999999813735,1268124.559999999823049,12498679.569999998435378
20170616,1392262.780000000027940,1362532.840000000083819,1532443.009999999776483,1426451.779999999795109,1187367.550000000046566,1500186.400000000139698,1433315.739999999990687,1427909.299999999813735,1268124.559999999823049,12530594.959999999031425
20170619,1432091.799999999813735,1369725.879999999888241,1553037.649999999906868,1446211.800000000046566,1189201.900000000139698,1511536.899999999906868,1434122.260000000009313,1438836.089999999850988,1276473.479999999981374,12651238.759999999776483
20170620,1419076.419999999692664,1380264.520000000018626,1547186.899999999906868,1435830.959999999729916,1195229.050000000046566,1520716.000000000000000,1434122.260000000009313,1440801.339999999850988,1270952.419999999692664,12644180.869999999180436
20170621,1427492.379999999888241,1375246.119999999878928,1553739.739999999757856,1425996.479999999981374,1185009.099999999860302,1517360.199999999953434,1430761.760000000009313,1453771.989999999757856,1273106.979999999981374,12642485.750000000000000
20170622,1425143.739999999757856,1375915.239999999990687,1555846.009999999776483,1415888.819999999832362,1181078.350000000093132,1527921.100000000093132,1426460.319999999832362,1466192.369999999878928,1265162.039999999804422,12639608.989999996498227
20170623,1431504.639999999897555,1375413.399999999906868,1577610.799999999813735,1377916.800000000046566,1185795.250000000000000,1526341.899999999906868,1431030.600000000093132,1456366.119999999878928,1287111.619999999878928,12649092.129999997094274
20170626,1427003.079999999841675,1387792.119999999878928,1560058.549999999813735,1378918.459999999729916,1190512.149999999906868,1519630.300000000279397,1429081.510000000009313,1455344.189999999944121,1282263.859999999869615,12630605.219999998807907
20170627,1406550.339999999618158,1389799.479999999981374,1551555.459999999729916,1386385.380000000121072,1180554.250000000000000,1517261.500000000000000,1410061.080000000074506,1451256.469999999739230,1277954.739999999990687,12571379.700000001117587
20170628,1427100.939999999944121,1404687.399999999906868,1557250.189999999944121,1395400.319999999832362,1187629.600000000093132,1522986.100000000093132,1415706.719999999972060,1459903.569999999832362,1295864.520000000018626,12666530.359999999403954
20170629,1406061.039999999804422,1398999.879999999888241,1540400.029999999795109,1385656.899999999906868,1174789.149999999906868,1511438.199999999953434,1397089.549999999813735,1456523.339999999850988,1271491.059999999823049,12542450.150000000372529
20170630,1409388.280000000027940,1409203.959999999962747,1542662.319999999832362,1396948.340000000083819,1175313.250000000000000,1511734.300000000046566,1399374.689999999944121,1457702.489999999757856,1262872.819999999832362,12565201.450000001117587
20170703,1404299.559999999823049,1423590.039999999804422,1549215.159999999916181,1402502.999999999767169,1172954.800000000046566,1505220.100000000093132,1410397.130000000121072,1467371.520000000018626,1257082.439999999711290,12592634.750000000000000
20170705,1410073.299999999813735,1420077.159999999916181,1574334.379999999888241,1390483.079999999841675,1174527.100000000093132,1510846.000000000000000,1409926.659999999916181,1479949.119999999878928,1265970.000000000000000,12636187.799999998882413
20170706,1396764.339999999618158,1400839.959999999962747,1571760.049999999813735,1384655.239999999990687,1163521.000000000000000,1511043.400000000139698,1398232.120000000111759,1469651.209999999962747,1255735.839999999850988,12552204.160000000149012
20170707,1410954.039999999804422,1410709.479999999981374,1578702.939999999944121,1386294.319999999832362,1163258.949999999953434,1542430.000000000232831,1408784.090000000083819,1477669.429999999934807,1264758.059999999823049,12643562.310000000521541
20170710,1419565.719999999739230,1410207.639999999897555,1591106.529999999795109,1376733.020000000018626,1162996.900000000139698,1535027.500000000232831,1414832.989999999990687,1469729.819999999832362,1280513.279999999795109,12660714.399999998509884
20170711,1424165.139999999897555,1407865.719999999972060,1609126.839999999850988,1371451.539999999804422,1161686.649999999906868,1529006.800000000046566,1409254.559999999823049,1461868.819999999832362,1284822.399999999906868,12659249.470000000670552
20170712,1426220.199999999953434,1418906.199999999953434,1610453.009999999776483,1389572.479999999981374,1166403.550000000046566,1545489.700000000186265,1420277.000000000000000,1467685.959999999962747,1295191.219999999972060,12740200.320000002160668
20170713,1446085.780000000027940,1428106.600000000093132,1608814.799999999813735,1395946.679999999934807,1164307.149999999906868,1530289.899999999906868,1418865.590000000083819,1458174.149999999906868,1291959.379999999888241,12742551.030000001192093
20170714,1458513.999999999767169,1426601.080000000074506,1626601.079999999841675,1392213.219999999972060,1170858.399999999906868,1532658.700000000186265,1423435.870000000111759,1469336.770000000018626,1305290.719999999972060,12805510.840000001713634
20170717,1463602.719999999739230,1425597.399999999906868,1630423.569999999832362,1401410.279999999795109,1172168.649999999906868,1532461.300000000046566,1422830.979999999981374,1465013.219999999739230,1303944.119999999878928,12817453.240000000223517
20170718,1468691.439999999944121,1430615.799999999813735,1624494.809999999823049,1385747.959999999729916,1170596.350000000093132,1519630.300000000279397,1420344.209999999962747,1468943.719999999739230,1314043.619999999878928,12803109.209999999031425
20170719,1477890.280000000027940,1437474.280000000027940,1645089.449999999720603,1396037.739999999990687,1174789.149999999906868,1518939.399999999906868,1425653.799999999813735,1487338.459999999962747,1323065.839999999850988,12886279.400000002235174
20170720,1471235.799999999813735,1427772.039999999804422,1640408.849999999860302,1338943.119999999878928,1174527.100000000093132,1522097.800000000279397,1428006.149999999906868,1505497.369999999878928,1321180.599999999860302,12829669.830000000074506
20170721,1470550.780000000027940,1431786.760000000009313,1654918.709999999729916,1335482.840000000083819,1180030.150000000139698,1519235.500000000000000,1419336.059999999823049,1507698.449999999953434,1341244.939999999711290,12860285.189999999478459
20170724,1488361.299999999813735,1421917.239999999990687,1655230.750000000000000,1316633.420000000158325,1175051.200000000186265,1498804.600000000093132,1411539.699999999953434,1500702.159999999683350,1351613.760000000009313,12819855.129999998956919
20170725,1494722.199999999953434,1428775.719999999972060,1657415.029999999795109,1338396.760000000009313,1185533.199999999953434,1570066.000000000000000,1340229.889999999897555,1496850.270000000018626,1346496.679999999701977,12858486.750000000000000
20170726,1501768.119999999878928,1426935.639999999897555,1821158.019999999785796,1335847.079999999841675,1198635.699999999953434,1544798.800000000046566,1337810.330000000074506,1499601.619999999878928,1358077.439999999711290,13024633.749999998137355
20170727,1473388.719999999739230,1402680.039999999804422,1880055.569999999832362,1345317.319999999832362,1208593.599999999860302,1549141.600000000093132,1344665.750000000000000,1485294.599999999860302,1340840.959999999729916,13029979.159999998286366
20170728,1463015.559999999823049,1418571.639999999897555,1882161.839999999850988,1348504.420000000158325,1205711.050000000046566,1538284.600000000093132,1342447.819999999832362,1502746.020000000018626,1335185.239999999990687,13036629.189999999478459
20170731,1455480.339999999618158,1425764.680000000167638,1891445.029999999795109,1362345.539999999804422,1201256.200000000186265,1531276.899999999906868,1352193.269999999785796,1507934.279999999795109,1340706.299999999813735,13068403.539999999105930
20170801,1468397.859999999869615,1425931.959999999962747,1867886.009999999776483,1364622.039999999804422,1197587.500000000000000,1520419.899999999906868,1365702.479999999981374,1511235.899999999906868,1358346.760000000009313,13080131.410000000149012
20170802,1537780.599999999627471,1426935.639999999897555,1856262.519999999785796,1370540.939999999944121,1194704.950000000186265,1545588.400000000139698,1380690.309999999823049,1517288.869999999878928,1363867.819999999832362,13193661.049999998882413
20170803,1522416.579999999841675,1430950.360000000102445,1858602.819999999832362,1373181.679999999934807,1196801.350000000093132,1527131.500000000000000,1395543.719999999972060,1531202.839999999850988,1354576.279999999795109,13190408.129999998956919
20170804,1530441.099999999627471,1438143.399999999906868,1854390.279999999795109,1391029.439999999944121,1192346.500000000000000,1518248.500000000000000,1395745.350000000093132,1532067.549999999813735,1358616.079999999841675,13211029.199999997392297
20170807,1554123.219999999739230,1436136.039999999804422,1874048.799999999813735,1396493.039999999804422,1196015.199999999953434,1529599.000000000000000,1394333.939999999944121,1531281.449999999953434,1366695.679999999701977,13278727.369999999180436
20170808,1566551.439999999944121,1437641.560000000055879,1868354.069999999832362,1396493.039999999804422,1194967.000000000000000,1529105.500000000000000,1387545.729999999981374,1532224.770000000018626,1363867.819999999832362,13276751.929999999701977
20170809,1576141.719999999739230,1433459.560000000055879,1827866.879999999888241,1413885.499999999767169,1194704.950000000186265,1529105.500000000000000,1387881.779999999795109,1531674.500000000000000,1359693.359999999869615,13254414.749999998137355
20170810,1519970.079999999841675,1414556.919999999925494,1816711.449999999720603,1401319.219999999972060,1198635.699999999953434,1545884.500000000232831,1386201.529999999795109,1513908.639999999897555,1339763.679999999701977,13136952.719999998807907
20170811,1541107.839999999618158,1410040.360000000102445,1832313.449999999720603,1410425.219999999972060,1194704.950000000186265,1552596.100000000093132,1384521.279999999795109,1517446.089999999850988,1347843.279999999795109,13190999.569999998435378
20170814,1564300.659999999683350,1429779.399999999906868,1850021.719999999972060,1404779.499999999767169,1200208.000000000000000,1552201.300000000046566,1393863.469999999972060,1522870.179999999934807,1371812.760000000009313,13289837.990000000223517
20170815,1581426.159999999683350,1451860.360000000102445,1865779.739999999757856,1367535.959999999729916,1210427.949999999953434,1555754.500000000232831,1392586.479999999981374,1529080.369999999878928,1382046.919999999692664,13336499.439999999478459
20170816,1575065.259999999776483,1461897.159999999916181,1853454.159999999916181,1386476.439999999944121,1210690.000000000000000,1568388.100000000093132,1397560.019999999785796,1523341.839999999850988,1391338.459999999729916,13368212.439999997615814
20170817,1544826.520000000018626,1440150.760000000009313,1837852.159999999916181,1362982.959999999729916,1201780.300000000046566,1558419.399999999906868,1380287.049999999813735,1514930.569999999832362,1375717.899999999906868,13216948.619999999180436
20170818,1541303.559999999823049,1428273.879999999888241,1839256.339999999850988,1343131.880000000121072,1196801.350000000093132,1557136.300000000046566,1368054.830000000074506,1500151.889999999897555,1380431.000000000000000,13154542.030000001192093
20170821,1538465.619999999878928,1426935.639999999897555,1838554.250000000000000,1358703.139999999897555,1197063.399999999906868,1563058.300000000279397,1374910.250000000000000,1509663.699999999953434,1389991.859999999869615,13197347.159999998286366
20170822,1563615.639999999897555,1426935.639999999897555,1870304.319999999832362,1365168.399999999906868,1194967.000000000000000,1575691.899999999906868,1381026.360000000102445,1531360.059999999823049,1401437.959999999729916,13310508.279999999329448
20170823,1565572.839999999618158,1426601.080000000074506,1857354.659999999916181,1357792.539999999804422,1193394.699999999953434,1567499.800000000046566,1362274.769999999785796,1527036.510000000009313,1389453.219999999972060,13246981.120000001043081
20170824,1558624.780000000027940,1427939.320000000065193,1862425.309999999823049,1350052.439999999944121,1189988.049999999813735,1563551.800000000046566,1358578.219999999972060,1531045.619999999878928,1389991.859999999869615,13232198.399999998509884
20170825,1564398.520000000018626,1429779.399999999906868,1840192.459999999729916,1362800.840000000083819,1194180.850000000093132,1567598.500000000000000,1358645.429999999934807,1527979.830000000074506,1391742.439999999711290,13237319.269999999552965
20170828,1580153.979999999748543,1428775.719999999972060,1850255.750000000000000,1378645.279999999795109,1190250.100000000093132,1575988.000000000000000,1360863.360000000102445,1533718.359999999869615,1397532.819999999832362,13296184.369999997317791
20170829,1594245.819999999832362,1428943.000000000000000,1876077.059999999823049,1364530.979999999981374,1191036.250000000000000,1573125.699999999953434,1363955.019999999785796,1546610.399999999906868,1397398.159999999683350,13335923.389999998733401
20170830,1598551.659999999683350,1433459.560000000055879,1875843.029999999795109,1365987.939999999944121,1189463.949999999953434,1574606.200000000186265,1369130.189999999944121,1539928.549999999813735,1396859.520000000018626,13343831.599999997764826
20170831,1604912.559999999823049,1440318.039999999804422,1869602.229999999748543,1364804.159999999916181,1193656.750000000000000,1578949.000000000000000,1373364.419999999925494,1563668.770000000018626,1394031.659999999683350,13383308.589999997988343
20170901,1605401.859999999869615,1440987.159999999916181,1874828.899999999906868,1373090.619999999878928,1199683.900000000139698,1577369.800000000046566,1368256.459999999962747,1570350.619999999878928,1399148.739999999990687,13409119.059999998658895
20170905,1586123.439999999944121,1427102.919999999925494,1848851.569999999832362,1392668.520000000018626,1203352.600000000093132,1570362.100000000093132,1350916.279999999795109,1566891.779999999795109,1387164.000000000000000,13333434.209999997168779
20170906,1584459.819999999832362,1425764.680000000167638,1830285.189999999944121,1425723.300000000046566,1204400.800000000046566,1561676.500000000000000,1358107.750000000000000,1559581.049999999813735,1389453.219999999972060,13339453.310000000521541
20170907,1578098.919999999692664,1412047.719999999972060,1843468.879999999888241,1438198.520000000018626,1212786.400000000139698,1578258.100000000093132,1374305.360000000102445,1557930.239999999757856,1408036.299999999813735,13403131.439999997615814
20170908,1552361.739999999757856,1409371.239999999990687,1862737.349999999860302,1453951.899999999906868,1213310.500000000000000,1576382.800000000279397,1382572.189999999944121,1554628.619999999878928,1406285.719999999972060,13411603.059999998658895
20170911,1580447.559999999823049,1433459.560000000055879,1876857.159999999916181,1442205.159999999916181,1219075.600000000093132,1594346.200000000186265,1408582.459999999962747,1569014.250000000000000,1429447.239999999990687,13553436.190000003203750
20170912,1574184.520000000018626,1447845.639999999897555,1876779.149999999906868,1456228.399999999906868,1224316.599999999860302,1543022.200000000186265,1409120.139999999897555,1552427.539999999804422,1430255.199999999720603,13514180.390000000596046
20170913,1562343.459999999962747,1449351.159999999916181,1887310.500000000000000,1457230.060000000055879,1228247.349999999860302,1549635.100000000093132,1408111.989999999990687,1559188.000000000000000,1425138.119999999878928,13526556.739999998360872
20170914,1548936.639999999897555,1441823.560000000055879,1913053.799999999813735,1451402.219999999972060,1208331.550000000046566,1549635.100000000093132,1421150.729999999981374,1554471.399999999906868,1428504.619999999878928,13517310.619999999180436
20170915,1564594.239999999757856,1455205.959999999962747,1942463.569999999832362,1442478.340000000083819,1210165.899999999906868,1548845.500000000000000,1434055.049999999813735,1558008.849999999860302,1418001.139999999897555,13573819.549999998882413
20170918,1552753.179999999701977,1469926.600000000093132,1974291.649999999906868,1437105.800000000046566,1208331.550000000046566,1546476.700000000186265,1436810.659999999916181,1558087.459999999962747,1411672.119999999878928,13595456.720000000670552
20170919,1553340.339999999618158,1488829.239999999990687,1969455.029999999795109,1435739.899999999906868,1204924.899999999906868,1553879.200000000186265,1435466.459999999962747,1530259.520000000018626,1419482.399999999906868,13591377.990000000223517
20170920,1527309.579999999841675,1479294.280000000027940,1992858.029999999795109,1445028.020000000018626,1199683.900000000139698,1578060.699999999953434,1414967.409999999916181,1538906.619999999878928,1419482.399999999906868,13595591.939999999478459
20170921,1501083.099999999627471,1479127.000000000000000,1997382.610000000102445,1449672.079999999841675,1189726.000000000000000,1569671.200000000186265,1414496.939999999944121,1534661.679999999934807,1418135.799999999813735,13553957.410000000149012
20170922,1486404.099999999627471,1478792.440000000176951,2000581.019999999785796,1456774.760000000009313,1192084.449999999953434,1568486.800000000046566,1416647.659999999916181,1517524.699999999953434,1421502.299999999813735,13538799.230000000447035
20170925,1473290.859999999869615,1475614.119999999878928,1983964.889999999664724,1467064.539999999804422,1197325.449999999953434,1542331.300000000046566,1416446.029999999795109,1507462.619999999878928,1387298.659999999683350,13450799.469999998807907
20170926,1498636.599999999627471,1483643.560000000055879,1979128.269999999785796,1468521.499999999767169,1194180.850000000093132,1513609.600000000093132,1418462.330000000074506,1514930.569999999832362,1386221.379999999888241,13457335.660000000149012
20170927,1509303.339999999618158,1497025.959999999962747,1991453.849999999860302,1465425.459999999729916,1169810.199999999953434,1520518.600000000093132,1408044.779999999795109,1529001.760000000009313,1399014.079999999841675,13489599.029999999329448
20170928,1500006.639999999897555,1507899.159999999916181,1983574.839999999850988,1478538.100000000093132,1176885.549999999813735,1554471.400000000139698,1408515.250000000000000,1541657.969999999739230,1408305.619999999878928,13559855.529999999329448
20170929,1508226.879999999888241,1513252.119999999878928,1983106.779999999795109,1489465.300000000046566,1179506.050000000046566,1546476.700000000186265,1410867.600000000093132,1539692.719999999739230,1408305.619999999878928,13578900.769999997690320
20171002,1505193.219999999739230,1514590.360000000102445,1996992.559999999823049,1493654.060000000055879,1174003.000000000000000,1549240.300000000279397,1430089.659999999916181,1552191.709999999962747,1419886.379999999888241,13635842.250000000000000
20171003,1511749.839999999618158,1529478.280000000027940,1992858.029999999795109,1504125.959999999729916,1184222.949999999953434,1548253.300000000279397,1442254.669999999925494,1561546.299999999813735,1421906.279999999795109,13696396.609999997541308
20171004,1501963.839999999618158,1522452.520000000018626,1995198.329999999841675,1505218.679999999934807,1192346.500000000000000,1551707.800000000279397,1455360.620000000111759,1576089.149999999906868,1418135.799999999813735,13718474.239999998360872
20171005,1520655.099999999627471,1524961.719999999972060,2019615.459999999729916,1512776.659999999916181,1192870.600000000093132,1567401.100000000093132,1454352.469999999972060,1555807.770000000018626,1430659.179999999701977,13779101.059999998658895
20171006,1519774.359999999869615,1531485.639999999897555,2017197.149999999674037,1510318.039999999804422,1192084.449999999953434,1575297.100000000093132,1455360.620000000111759,1557065.529999999795109,1437257.520000000018626,13795841.409999998286366
20171009,1525058.799999999813735,1533827.560000000055879,2015714.959999999729916,1509043.199999999953434,1189988.049999999813735,1580429.500000000232831,1456435.979999999981374,1543230.169999999925494,1441028.000000000000000,13794757.220000000670552
20171010,1525645.959999999962747,1537173.159999999916181,2035529.500000000000000,1504034.899999999906868,1202042.349999999860302,1584969.700000000186265,1456906.449999999953434,1530495.349999999860302,1445067.799999999813735,13821866.169999998062849
20171011,1532006.859999999869615,1538344.119999999878928,2039508.009999999776483,1504854.439999999944121,1208069.500000000000000,1610335.600000000093132,1455293.409999999916181,1535054.729999999748543,1460284.379999999888241,13883752.050000000745058
20171012,1526624.559999999823049,1532489.320000000065193,2043174.479999999981374,1498844.479999999981374,1208331.550000000046566,1617836.800000000046566,1462552.090000000083819,1516659.989999999757856,1455840.599999999860302,13862354.869999999180436
20171013,1536312.699999999953434,1553399.320000000065193,2034047.309999999823049,1497751.760000000009313,1210165.899999999906868,1632247.000000000232831,1463425.819999999832362,1513515.589999999850988,1463246.899999999906868,13904113.300000000745058
20171016,1564594.239999999757856,1538344.119999999878928,2026324.319999999832362,1495475.260000000009313,1221696.099999999860302,1628693.800000000046566,1470146.819999999832362,1518861.069999999832362,1458399.139999999897555,13922535.870000001043081
20171017,1570367.979999999748543,1533827.560000000055879,2017509.189999999944121,1487553.039999999804422,1219075.600000000093132,1632543.100000000093132,1463627.449999999953434,1602895.159999999683350,1448164.979999999981374,13975565.060000000521541
20171018,1563419.919999999692664,1540351.479999999981374,2028586.610000000102445,1488463.639999999897555,1215931.000000000000000,1636195.000000000232831,1467122.370000000111759,1613428.899999999906868,1451666.139999999897555,14005166.060000000521541
20171019,1526428.839999999618158,1537340.440000000176951,2020785.610000000102445,1486551.380000000121072,1220909.950000000186265,1643400.100000000093132,1473641.739999999990687,1597864.119999999878928,1441162.659999999683350,13948085.839999999850988
20171020,1529071.059999999823049,1540518.760000000009313,2065329.319999999832362,1488281.520000000018626,1215406.900000000139698,1641426.100000000093132,1487621.419999999925494,1631194.760000000009313,1448299.639999999897555,14047150.480000000447035
20171023,1528288.179999999701977,1545369.879999999888241,2046372.889999999664724,1500210.380000000121072,1213834.600000000093132,1612210.900000000139698,1489167.250000000000000,1627421.479999999748543,1448030.319999999832362,14010906.880000000819564
20171024,1537389.159999999683350,1570127.320000000065193,2075080.569999999832362,1511957.119999999878928,1210165.899999999906868,1617540.699999999953434,1577212.350000000093132,1636383.020000000018626,1459880.399999999906868,14195737.539999997243285
20171025,1530636.819999999832362,1564607.080000000074506,2015948.989999999990687,1512321.359999999869615,1206759.250000000000000,1614579.700000000186265,1597576.979999999981374,1631745.029999999795109,1474423.679999999701977,14148599.889999998733401
20171026,1540422.819999999832362,1600739.560000000055879,2022579.839999999618158,1526708.840000000083819,1211476.149999999906868,1618823.800000000046566,1565719.439999999944121,1644244.020000000018626,1478598.139999999897555,14209313.609999999403954
20171027,1595615.859999999869615,1602412.360000000102445,2000659.029999999562278,1523885.979999999981374,1207283.350000000093132,1632444.399999999906868,1577817.239999999990687,1671364.469999999739230,1477386.199999999720603,14288869.889999996870756
20171030,1631530.479999999748543,1590368.199999999953434,2022423.819999999832362,1505400.800000000046566,1201780.300000000046566,1640735.199999999953434,1552815.120000000111759,1646130.659999999683350,1481829.979999999981374,14273015.559999998658895
20171031,1654233.999999999767169,1597895.799999999813735,2012516.550000000046566,1509680.619999999878928,1204924.899999999906868,1647446.800000000046566,1547236.689999999944121,1652655.289999999804422,1481022.020000000018626,14307613.669999998062849
