代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12733995.580000000074506
真實報酬,2733995.580000000074506

夏普值報酬,0.264699558000000
夏普值風險,0.078033106209115
夏普值,3.392144320010184

預期報酬,12546.864274158479020
風險,265376.242707473284099
趨勢值,0.047279530926169
找到最佳解世代,1859
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,7
AAPL[0](8),BA[2](6),INTC[11](16),MRK[17](7),MSFT[18](1),NKE[19](4),PFE[20](11),
20180619,1569280.149999999906868,1888917.179999999934807,1662216.760000000009313,1582601.139999999897555,1732207.319999999832362,1929167.060000000055879,1475836.359999999869615,11840228.969999998807907
20180620,1576125.459999999962747,1897610.270000000018626,1662216.760000000009313,1589083.889999999897555,1749553.060000000055879,1941116.939999999944121,1485615.400000000139698,11901324.779999999329448
20180621,1567336.419999999925494,1869759.160000000149012,1638977.800000000046566,1586490.790000000037253,1737016.040000000037253,1920854.099999999860302,1479096.039999999804422,11799533.349999999627471
20180622,1562772.879999999888241,1876680.410000000149012,1648713.040000000037253,1594010.780000000027940,1724479.019999999785796,1907605.320000000298023,1487652.699999999953434,11801917.150000000372529
20180625,1539532.629999999888241,1833990.139999999897555,1592499.880000000121072,1583897.689999999944121,1689787.540000000037253,1879549.079999999841675,1482355.720000000204891,11601615.679999999701977
20180626,1558631.890000000130385,1834543.840000000083819,1559839.720000000204891,1574562.530000000027940,1701637.599999999860302,1885004.460000000195578,1482355.720000000204891,11596578.760000001639128
20180627,1556350.119999999878928,1826349.079999999841675,1531262.080000000074506,1552780.489999999990687,1675189.640000000130385,1853571.079999999841675,1475428.900000000139698,11470934.390000000596046
20180628,1567674.459999999962747,1853092.789999999804422,1546650.040000000037253,1563671.509999999776483,1693909.299999999813735,1862663.380000000121072,1481540.800000000046566,11569205.280000001192093
20180629,1564378.570000000065193,1857854.609999999869615,1561095.880000000121072,1574043.910000000149012,1693565.819999999832362,2069967.820000000298023,1478281.120000000111759,11799190.730000000447035
20180702,1581872.140000000130385,1861010.699999999953434,1576483.840000000083819,1567820.469999999972060,1717609.419999999925494,2035417.079999999841675,1480318.419999999925494,11820535.069999998435378
20180703,1554321.879999999888241,1843569.150000000139698,1553558.919999999925494,1574303.219999999972060,1701122.379999999888241,1981642.620000000111759,1481133.340000000083819,11689654.509999999776483
20180705,1566829.360000000102445,1844953.400000000139698,1593756.040000000037253,1598419.050000000046566,1713315.919999999925494,1988656.679999999934807,1502321.259999999776483,11808254.710000000894070
20180706,1588548.429999999934807,1853037.419999999925494,1613226.520000000018626,1612940.410000000149012,1737359.519999999785796,1986838.220000000204891,1512100.300000000046566,11904053.820000000298023
20180709,1610605.540000000037253,1893346.780000000027940,1628614.479999999981374,1608272.830000000074506,1749209.579999999841675,2007620.620000000111759,1514137.599999999860302,12011810.430000001564622
20180710,1608661.809999999823049,1922360.660000000149012,1638035.679999999934807,1615533.509999999776483,1753846.560000000055879,2015154.239999999757856,1525139.020000000018626,12078734.479999998584390
20180711,1587787.839999999850988,1886037.940000000176951,1607887.840000000083819,1605161.109999999869615,1751442.199999999953434,2009698.860000000102445,1516174.900000000139698,11964193.689999999478459
20180712,1614408.489999999990687,1916103.849999999860302,1644002.440000000176951,1624868.669999999925494,1789396.739999999990687,2009958.640000000130385,1528806.160000000149012,12127547.990000000223517
20180713,1616943.790000000037253,1942459.970000000204891,1639919.919999999925494,1630832.800000000046566,1810692.500000000000000,2010218.419999999925494,1529213.620000000111759,12180284.019999999552965
20180716,1613394.369999999878928,1971861.440000000176951,1633325.080000000074506,1623053.500000000000000,1801762.019999999785796,2019830.280000000027940,1523101.720000000204891,12186331.410000000149012
20180717,1617957.909999999916181,1976180.300000000046566,1625160.040000000037253,1621497.639999999897555,1819622.979999999981374,2012556.439999999944121,1534103.139999999897555,12207081.449999999254942
20180718,1609084.360000000102445,1994729.250000000000000,1624217.919999999925494,1632129.349999999860302,1805368.560000000055879,1989695.800000000046566,1534510.599999999860302,12189738.839999999850988
20180719,1621591.839999999850988,1967597.949999999953434,1632382.959999999962747,1620979.020000000018626,1793003.280000000027940,1999047.880000000121072,1522286.800000000046566,12156892.730000000447035
20180720,1617873.399999999906868,1965217.039999999804422,1630184.679999999934807,1621238.330000000074506,1825118.659999999916181,1999307.659999999916181,1521064.419999999925494,12180007.189999999478459
20180723,1617873.399999999906868,1956191.729999999981374,1642746.280000000027940,1625646.599999999860302,1854314.459999999962747,1989695.800000000046566,1516174.900000000139698,12202646.169999999925494
20180724,1631056.959999999962747,1983876.729999999981374,1638663.760000000009313,1644576.229999999981374,1848990.519999999785796,1962159.120000000111759,1536140.440000000176951,12245466.759999999776483
20180725,1646437.779999999795109,1970864.780000000027940,1646514.760000000009313,1672322.399999999906868,1903432.099999999860302,2004503.260000000009313,1547956.780000000027940,12392034.859999997541308
20180726,1641282.669999999925494,1989690.579999999841675,1638035.679999999934807,1659875.520000000018626,1882651.560000000055879,2030221.480000000214204,1554883.599999999860302,12396644.089999999850988
20180727,1613985.939999999944121,1997054.789999999804422,1497345.760000000009313,1646391.399999999906868,1849334.000000000000000,1997489.199999999953434,1565070.099999999860302,12166674.189999997615814
20180730,1604943.369999999878928,1943954.959999999962747,1497659.800000000046566,1680620.320000000065193,1809662.060000000055879,1973329.659999999916181,1572404.380000000121072,12082577.550000000745058
20180731,1608154.750000000000000,1972968.840000000083819,1510535.440000000176951,1708107.180000000167638,1821855.599999999860302,1998008.760000000009313,1627004.020000000018626,12246637.589999999850988
20180801,1702890.459999999962747,1953367.859999999869615,1532832.280000000027940,1698253.399999999906868,1825290.399999999906868,2014374.900000000139698,1640857.660000000149012,12367869.960000000894070
20180802,1752666.849999999860302,1936590.750000000000000,1553872.959999999962747,1691252.030000000027940,1847444.859999999869615,2043210.480000000214204,1615595.139999999897555,12440636.070000000298023
20180803,1757737.449999999953434,1929448.020000000018626,1558583.560000000055879,1709663.040000000037253,1855516.640000000130385,2045548.500000000000000,1651859.079999999841675,12508359.289999999105930
20180806,1766864.529999999795109,1919093.829999999841675,1548220.239999999990687,1717183.030000000027940,1857062.299999999813735,2065551.560000000055879,1672232.079999999841675,12546210.570000000298023
20180807,1750300.570000000065193,1942293.859999999869615,1560781.840000000083819,1726518.189999999944121,1869942.799999999813735,2092049.120000000111759,1664082.880000000121072,12605972.259999999776483
20180808,1751483.709999999962747,1925793.599999999860302,1568946.880000000121072,1729370.599999999860302,1880418.939999999944121,2091269.780000000027940,1687308.099999999860302,12634594.609999997541308
20180809,1765258.839999999850988,1903313.380000000121072,1574599.600000000093132,1711478.209999999962747,1883510.260000000009313,2111013.060000000521541,1670602.239999999990687,12619778.590000001713634
20180810,1753849.989999999990687,1879448.910000000149012,1534088.440000000176951,1713293.379999999888241,1872003.679999999934807,2097244.719999999739230,1667750.020000000018626,12517682.140000000596046
20180813,1765174.330000000074506,1873635.060000000055879,1521526.840000000083819,1730148.530000000027940,1858436.219999999739230,2082177.480000000214204,1662860.500000000000000,12493961.960000000894070
20180814,1772611.209999999962747,1877953.919999999925494,1511163.520000000018626,1723406.469999999739230,1881621.119999999878928,2081917.699999999953434,1658785.900000000139698,12507462.839999999850988
20180815,1776752.199999999953434,1837090.859999999869615,1490436.880000000121072,1747003.680000000167638,1848990.519999999785796,2067110.239999999757856,1677121.599999999860302,12444508.979999998584390
20180816,1802781.279999999795109,1915827.000000000000000,1481329.720000000204891,1785381.559999999823049,1848647.040000000037253,2079579.679999999934807,1687715.560000000055879,12601264.839999999850988
20180817,1838782.540000000037253,1918152.539999999804422,1479131.440000000176951,1790827.070000000065193,1847616.599999999860302,2071786.280000000027940,1715015.380000000121072,12661314.850000001490116
20180820,1820866.419999999925494,1942183.120000000111759,1460289.040000000037253,1819610.479999999981374,1835423.060000000055879,2134912.820000000298023,1724794.419999999925494,12738082.360000001266599
20180821,1817317.000000000000000,1958960.229999999981374,1495461.520000000018626,1793679.479999999981374,1820138.199999999953434,2154915.879999999888241,1717867.599999999860302,12758342.909999998286366
20180822,1817401.510000000009313,1938251.849999999860302,1477561.239999999990687,1790308.450000000186265,1838686.119999999878928,2146862.700000000186265,1714200.459999999962747,12723275.330000001937151
20180823,1821119.949999999953434,1924132.500000000000000,1475362.959999999962747,1788493.280000000027940,1847273.119999999878928,2153876.759999999776483,1719497.440000000176951,12729759.009999999776483
20180824,1826782.119999999878928,1934652.800000000046566,1496717.679999999934807,1790308.450000000186265,1861699.280000000027940,2141926.879999999888241,1727646.639999999897555,12779736.850000001490116
20180827,1841824.899999999906868,1958794.120000000111759,1518386.440000000176951,1789011.899999999906868,1882308.079999999841675,2147122.480000000447035,1694234.919999999925494,12831685.839999999850988
20180828,1856698.659999999916181,1944785.509999999776483,1525295.320000000065193,1779676.739999999757856,1893642.919999999925494,2145304.019999999552965,1690975.239999999990687,12836381.410000000149012
20180829,1884417.939999999944121,1939137.770000000018626,1530948.040000000037253,1784344.320000000065193,1923869.159999999916181,2150759.400000000372529,1690975.239999999990687,12904454.870000001043081
20180830,1901742.489999999990687,1920921.039999999804422,1514932.000000000000000,1777342.950000000186265,1922666.979999999981374,2114649.980000000447035,1690975.239999999990687,12843233.679999999701977
20180831,1923715.089999999850988,1898163.970000000204891,1520898.760000000009313,1778639.500000000000000,1929193.099999999860302,2135432.379999999888241,1691790.160000000149012,12877835.960000000894070
20180904,1929884.320000000065193,1917321.989999999990687,1506138.880000000121072,1762043.660000000149012,1918545.219999999739230,2067889.579999999841675,1685678.259999999776483,12787504.910000000149012
20180905,1917292.330000000074506,1919702.900000000139698,1498601.919999999925494,1779417.430000000167638,1863244.939999999944121,2076202.540000000037253,1705236.340000000083819,12759701.399999998509884
20180906,1885432.059999999823049,1945117.729999999981374,1484156.080000000074506,1799124.989999999757856,1867538.439999999944121,2088671.980000000214204,1702384.120000000111759,12772428.399999998509884
20180907,1870220.260000000009313,1934099.099999999860302,1458718.840000000083819,1806644.979999999981374,1858436.219999999739230,2086074.179999999934807,1719497.440000000176951,12733694.019999997690320
20180910,1845120.790000000037253,1893014.560000000055879,1454008.239999999990687,1803792.570000000065193,1878529.799999999813735,2132834.580000000074506,1713793.000000000000000,12721096.540000000968575
20180911,1891770.309999999823049,1911784.989999999990687,1410984.760000000009313,1791345.689999999944121,1910473.439999999944121,2146602.919999999925494,1723979.500000000000000,12786944.609999999403954
20180912,1868276.529999999795109,1956966.910000000149012,1410984.760000000009313,1811571.869999999878928,1918545.219999999739230,2156214.780000000260770,1728054.099999999860302,12850617.169999999925494
20180913,1913404.869999999878928,1968317.759999999776483,1431083.320000000065193,1836724.939999999944121,1939154.019999999785796,2168424.440000000409782,1745982.340000000083819,13003094.690000001341105
20180914,1891685.800000000046566,1992348.340000000083819,1430141.199999999953434,1814683.590000000083819,1947054.060000000055879,2168944.000000000000000,1750464.400000000139698,12995324.390000000596046
20180917,1841317.839999999850988,1971086.259999999776483,1426372.720000000204891,1826093.229999999981374,1925930.040000000037253,2162969.060000000521541,1752501.699999999953434,12906273.849999999627471
20180918,1844360.199999999953434,2013278.199999999953434,1447727.440000000176951,1826093.229999999981374,1944306.219999999739230,2214925.060000000521541,1772874.699999999953434,13063568.049999998882413
20180919,1845458.830000000074506,2022358.880000000121072,1449297.639999999897555,1814683.590000000083819,1918373.479999999981374,2193363.320000000298023,1762688.199999999953434,13006226.939999999478459
20180920,1859487.489999999990687,2034761.759999999776483,1482271.840000000083819,1835428.389999999897555,1950488.859999999869615,2217782.640000000596046,1782653.739999999990687,13162877.720000000670552
20180921,1839458.619999999878928,2061173.250000000000000,1465313.679999999934807,1843726.309999999823049,1962338.919999999925494,2222458.679999999701977,1795285.000000000000000,13189757.459999999031425
20180924,1865910.250000000000000,2037696.370000000111759,1473164.679999999934807,1835428.389999999897555,1969380.260000000009313,2189206.839999999850988,1789988.020000000018626,13160777.809999998658895
20180925,1877741.649999999906868,2033488.250000000000000,1441760.679999999934807,1832057.360000000102445,1965601.979999999981374,2202715.400000000372529,1784283.579999999841675,13137651.900000000372529
20180926,1862783.379999999888241,2021306.849999999860302,1435165.840000000083819,1823759.439999999944121,1957530.199999999953434,2174399.379999999888241,1779801.520000000018626,13054749.609999999403954
20180927,1901066.409999999916181,2034374.169999999925494,1440818.560000000055879,1833872.530000000027940,1964915.019999999785796,2196220.900000000372529,1788765.639999999897555,13160036.230000002309680
20180928,1907742.699999999953434,2059346.039999999804422,1485098.199999999953434,1839577.349999999860302,1964228.060000000055879,2200896.940000000409782,1795692.459999999962747,13252584.750000000000000
20181001,1920588.219999999972060,2116875.469999999739230,1458718.840000000083819,1854876.639999999897555,1985523.819999999832362,2194142.660000000149012,1803841.660000000149012,13334570.309999998658895
20181002,1937659.239999999990687,2139466.429999999701977,1510535.440000000176951,1860581.459999999962747,1977623.780000000027940,2150239.839999999850988,1801804.359999999869615,13377913.549999998882413
20181003,1961237.529999999795109,2172300.839999999850988,1531262.080000000074506,1850727.680000000167638,1977967.260000000009313,2143225.780000000260770,1825844.500000000000000,13462568.669999998062849
20181004,1926757.449999999953434,2159510.370000000111759,1511477.560000000055879,1846838.030000000027940,1937093.140000000130385,2082956.820000000298023,1821362.440000000176951,13285998.810000000521541
20181005,1895488.750000000000000,2140020.129999999888241,1476933.160000000149012,1841911.139999999897555,1925758.299999999813735,2081398.140000000130385,1829919.099999999860302,13191431.720000000670552
20181008,1891094.229999999981374,2136144.229999999515712,1476933.160000000149012,1853061.469999999739230,1903775.579999999841675,2084255.720000000204891,1844995.120000000111759,13190262.509999997913837
20181009,1917292.330000000074506,2134317.019999999552965,1461859.239999999990687,1875880.750000000000000,1927990.919999999925494,2089191.540000000037253,1852736.859999999869615,13259271.660000000149012
20181010,1828472.320000000065193,2034817.130000000121072,1406902.239999999990687,1826871.160000000149012,1823229.519999999785796,1946832.099999999860302,1813620.699999999953434,12680748.169999999925494
20181011,1812330.909999999916181,1982990.810000000055879,1389001.959999999962747,1772934.680000000167638,1818936.019999999785796,1935661.560000000055879,1744352.500000000000000,12456211.439999999478459
20181012,1877065.570000000065193,1994064.810000000055879,1409414.560000000055879,1810275.320000000065193,1881792.859999999869615,1972030.760000000009313,1783876.120000000111759,12728523.000000000000000
20181015,1836923.320000000065193,1987254.300000000046566,1398423.160000000149012,1801199.469999999739230,1847960.079999999841675,1948131.000000000000000,1756983.759999999776483,12576878.089999999850988
20181016,1877403.610000000102445,2039135.989999999990687,1442702.800000000046566,1846838.030000000027940,1906351.679999999934807,2012816.220000000204891,1789988.020000000018626,12915239.350000001490116
20181017,1869290.649999999906868,2023909.239999999990687,1441132.600000000093132,1862396.629999999888241,1901371.219999999739230,1986838.220000000204891,1816065.459999999962747,12901007.019999999552965
20181018,1825598.979999999981374,1989856.690000000176951,1412240.919999999925494,1872509.719999999739230,1863416.679999999934807,1963977.579999999841675,1792840.239999999990687,12720443.810000000521541
20181019,1853402.770000000018626,1972747.359999999869615,1381779.040000000037253,1876140.059999999823049,1866164.519999999785796,1927868.159999999916181,1813213.239999999990687,12691318.150000000372529
20181022,1864727.110000000102445,1971197.000000000000000,1413497.080000000074506,1881844.879999999888241,1882823.299999999813735,1945792.980000000214204,1807916.259999999776483,12767801.610000001266599
20181023,1882305.189999999944121,1938362.590000000083819,1397481.040000000037253,1869657.309999999823049,1856547.079999999841675,1905527.079999999841675,1796914.840000000083819,12646798.129999998956919
20181024,1817739.550000000046566,1963832.789999999804422,1332160.720000000204891,1829204.950000000186265,1757281.359999999869615,1873574.140000000130385,1730906.319999999832362,12304702.830000001937151
20181025,1857543.760000000009313,2014330.229999999981374,1391514.280000000027940,1814164.969999999739230,1859981.879999999888241,1899032.579999999841675,1768800.099999999860302,12605370.800000000745058
20181026,1827965.260000000009313,1989413.729999999981374,1434851.800000000046566,1825574.610000000102445,1836968.719999999739230,1872275.239999999757856,1735795.840000000083819,12522848.200000001117587
20181029,1793654.199999999953434,1858297.569999999832362,1425744.639999999897555,1852802.160000000149012,1783557.579999999841675,1875392.599999999860302,1761465.819999999832362,12350917.569999998435378
20181030,1802612.260000000009313,1937587.410000000149012,1499858.080000000074506,1889624.180000000167638,1781496.699999999953434,1935661.560000000055879,1747612.179999999934807,12594455.369999999180436
20181031,1849599.820000000065193,1964995.560000000055879,1472222.560000000055879,1908813.119999999878928,1834392.619999999878928,1949429.900000000139698,1754539.000000000000000,12733995.580000000074506
