代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13681807.070000000298023
真實報酬,3681807.070000000298023

夏普值報酬,0.359480707000000
夏普值風險,0.100075242557842
夏普值,3.592104278860246

預期報酬,16047.610511431892519
風險,223898.929824424645631
趨勢值,0.071673457858937
找到最佳解世代,2008
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](9),NKE[19](3),TRV[22](2),
20141215,2352405.250000000000000,1892092.450000000419095,2107283.040000000037253,2319509.140000000130385,2153618.700000000186265,2018982.160000000149012,12843894.740000002086163
20141216,2320237.450000000186265,1876897.500000000232831,2044307.660000000149012,2296262.500000000000000,2103524.399999999906868,2018786.320000000065193,12660019.830000000074506
20141217,2378052.549999999813735,1902083.650000000139698,2083904.220000000204891,2340172.820000000298023,2132407.600000000093132,2044833.040000000037253,12881457.879999998956919
20141218,2448473.950000000186265,1927686.100000000093132,2120341.480000000447035,2390540.540000000037253,2190625.300000000279397,2074992.400000000139698,13152663.770000001415610
20141219,2429564.500000000000000,1933514.300000000279397,2146879.600000000558794,2348567.439999999944121,2140079.700000000186265,2071075.600000000093132,13069685.140000002458692
20141222,2454777.099999999627471,1960781.950000000186265,2179946.940000000409782,2402809.600000000093132,2164901.200000000186265,2082042.640000000130385,13245263.429999999701977
20141223,2446083.099999999627471,1970981.300000000046566,2185423.060000000521541,2417015.879999999888241,2165803.800000000279397,2094576.400000000139698,13279887.540000000968575
20141224,2434563.549999999813735,1965361.250000000232831,2181210.660000000149012,2417661.620000000111759,2173024.600000000093132,2090072.080000000074506,13261897.759999999776483
20141226,2477598.849999999627471,1978058.400000000139698,2185212.440000000409782,2424764.759999999776483,2185209.700000000186265,2089680.400000000139698,13340528.549999998882413
20141229,2475860.049999999813735,1987841.450000000186265,2201640.799999999813735,2400872.379999999888241,2195589.600000000093132,2094576.400000000139698,13356384.679999999701977
20141230,2445648.399999999441206,1971189.450000000186265,2196164.679999999701977,2373751.299999999813735,2186112.299999999813735,2094184.720000000204891,13267054.849999999627471
20141231,2399135.500000000000000,1960573.800000000046566,2210908.080000000074506,2343401.520000000018626,2169865.500000000000000,2073034.000000000000000,13156922.400000000372529
20150102,2376313.750000000000000,1951415.200000000186265,2178472.600000000558794,2347921.700000000186265,2144592.700000000186265,2065004.560000000055879,13063724.509999999776483
20150105,2309369.950000000186265,1922898.650000000139698,2132768.060000000521541,2321446.360000000335276,2109842.600000000093132,2040132.880000000121072,12836462.500000001862645
20150106,2309587.299999999813735,1912699.300000000279397,2126238.839999999850988,2278181.780000000260770,2097657.500000000000000,2021919.760000000009313,12746288.479999998584390
20150107,2341972.450000000186265,1932265.400000000139698,2199113.360000000335276,2325966.540000000037253,2140982.299999999813735,2056387.600000000093132,12996691.650000000372529
20150108,2431955.349999999627471,1952247.800000000279397,2247766.580000000074506,2369231.120000000111759,2190174.000000000000000,2099080.720000000204891,13290459.570000002160668
20150109,2434563.549999999813735,1961822.700000000186265,2209223.120000000111759,2373751.299999999813735,2166255.100000000093132,2072642.320000000065193,13218262.089999999850988
20150112,2374574.950000000186265,1966193.850000000093132,2199323.980000000447035,2363419.459999999962747,2163096.000000000000000,2060304.400000000139698,13126916.640000002458692
20150113,2395657.900000000372529,1981388.800000000046566,2184791.200000000186265,2356962.060000000055879,2144141.399999999906868,2063437.840000000083819,13126383.200000001117587
20150114,2386529.200000000186265,1961406.400000000372529,2161833.620000000111759,2347275.959999999962747,2114806.899999999906868,2032299.280000000027940,13004155.359999999403954
20150115,2321758.899999999441206,1963904.199999999953434,2127502.560000000521541,2336944.120000000111759,2094498.399999999906868,2040916.239999999990687,12885528.420000001788139
20150116,2303718.849999999627471,1981180.650000000372529,2193005.379999999888241,2353733.360000000335276,2098560.100000000093132,2086546.960000000195578,13016749.300000000745058
20150120,2363055.400000000372529,1972022.050000000046566,2174681.440000000409782,2330486.720000000204891,2112550.400000000372529,2072838.160000000149012,13025638.170000001788139
20150121,2381095.450000000186265,1960157.500000000232831,2180578.799999999813735,2355670.580000000074506,2110293.899999999906868,2056583.440000000176951,13044383.669999999925494
20150122,2443040.200000000186265,1980556.200000000419095,2234076.280000000260770,2383437.399999999906868,2163096.000000000000000,2118468.880000000353903,13322678.960000000894070
20150123,2455646.500000000000000,1971605.750000000232831,2219332.879999999888241,2353733.360000000335276,2169865.500000000000000,2095555.600000000093132,13265743.589999999850988
20150126,2458254.700000000186265,1976809.500000000232831,2240184.259999999776483,2312406.000000000000000,2174378.500000000000000,2096926.479999999981374,13258963.440000001341105
20150127,2372184.099999999627471,1955994.500000000232831,2214909.860000000335276,2207796.120000000111759,2132407.600000000093132,2076950.800000000046566,12960246.980000000447035
20150128,2506289.049999999813735,1928935.000000000232831,2206063.820000000298023,2181320.780000000260770,2105780.899999999906868,2048162.320000000065193,12976555.870000001043081
20150129,2584317.700000000186265,1940383.250000000232831,2266722.379999999888241,2209087.600000000093132,2140982.299999999813735,2047378.960000000195578,13188876.190000001341105
20150130,2546498.799999999813735,1893341.350000000093132,2199323.980000000447035,2133536.020000000018626,2081862.000000000232831,2013694.479999999981374,12868260.630000000819564
20150202,2578449.250000000000000,1913531.900000000372529,2199534.600000000558794,2172926.160000000149012,2074189.900000000139698,2048162.320000000065193,12986798.130000000819564
20150203,2578883.950000000186265,1958700.449999999953434,2258718.820000000298023,2176154.860000000335276,2106683.500000000000000,2076754.960000000195578,13155900.540000002831221
20150204,2598662.799999999813735,2108152.150000000372529,2283361.360000000335276,2169697.459999999962747,2088180.200000000186265,2090267.920000000158325,13338325.889999998733401
20150205,2606922.099999999627471,2136460.550000000279397,2295577.320000000298023,2191652.620000000111759,2106232.200000000186265,2103585.040000000037253,13440433.829999998211861
20150206,2584969.750000000000000,2123555.250000000000000,2296630.419999999925494,2150325.259999999776483,2071482.100000000093132,2099472.400000000372529,13326439.179999999701977
20150209,2602140.400000000372529,2117518.900000000372529,2281887.020000000484288,2126432.879999999888241,2057491.800000000279397,2071467.280000000027940,13256942.280000001192093
20150210,2652130.899999999441206,2121473.750000000000000,2330961.480000000447035,2176154.860000000335276,2093144.500000000232831,2086155.280000000027940,13460024.769999999552965
20150211,2714293.000000000000000,2120433.000000000465661,2323379.160000000149012,2166468.759999999776483,2060650.899999999906868,2110635.279999999795109,13495864.099999999627471
20150212,2748634.299999999813735,2156026.650000000372529,2362343.860000000335276,2203921.680000000167638,2075995.100000000093132,2115922.960000000428408,13662848.550000000745058
20150213,2762110.000000000000000,2168307.500000000000000,2356657.120000000111759,2218773.700000000186265,2076897.700000000186265,2115139.600000000093132,13697889.619999999180436
20150217,2778411.250000000000000,2167266.750000000465661,2358973.940000000409782,2243311.820000000298023,2072836.000000000000000,2115139.600000000093132,13735943.360000001266599
20150218,2797755.400000000372529,2161854.850000000093132,2358763.320000000298023,2212962.040000000037253,2112550.400000000372529,2114747.920000000391155,13758637.929999999701977
20150219,2791886.949999999254942,2162479.300000000279397,2336648.219999999739230,2209087.600000000093132,2114355.600000000093132,2114943.759999999776483,13729405.429999999701977
20150220,2814708.700000000186265,2176217.200000000186265,2364028.820000000298023,2222002.399999999906868,2142336.200000000186265,2111614.479999999981374,13830911.800000000745058
20150223,2890781.200000000186265,2185375.800000000279397,2364871.299999999813735,2180029.299999999813735,2144141.399999999906868,2097122.320000000065193,13862325.320000000298023
20150224,2872741.149999999441206,2178715.000000000000000,2459018.440000000409782,2222002.399999999906868,2153167.399999999906868,2106326.799999999813735,13991975.190000001341105
20150225,2799276.849999999627471,2197448.500000000000000,2449751.160000000149012,2192298.360000000335276,2184758.399999999906868,2093793.040000000037253,13917330.310000002384186
20150226,2834704.899999999441206,2176425.350000000093132,2430163.500000000000000,2172926.160000000149012,2188820.100000000093132,2111614.479999999981374,13914658.490000000223517
20150227,2792104.299999999813735,2166434.150000000372529,2416894.440000000409782,2147096.560000000055879,2191527.900000000372529,2104172.560000000055879,13818233.910000002011657
20150302,2805797.349999999627471,2204109.300000000279397,2445749.379999999888241,2199401.500000000000000,2228534.500000000000000,2113181.200000000186265,13996777.230000000447035
20150303,2811665.799999999813735,2213684.200000000186265,2444696.280000000260770,2201984.459999999962747,2210933.800000000279397,2103389.200000000186265,13986357.740000002086163
20150304,2793843.099999999627471,2197448.500000000000000,2417105.060000000521541,2203275.939999999944121,2200553.899999999906868,2093205.520000000018626,13905436.019999999552965
20150305,2747547.549999999813735,2186208.400000000372529,2441326.360000000335276,2178092.080000000074506,2221765.000000000000000,2107306.000000000000000,13882249.390000000596046
20150306,2751677.200000000186265,2161022.250000000000000,2410575.839999999850988,2143222.120000000111759,2187014.899999999906868,2072054.800000000046566,13725571.110000001266599
20150309,2763414.099999999627471,2190995.850000000093132,2427425.440000000409782,2112872.339999999850988,2198748.700000000186265,2090072.080000000074506,13783532.509999999776483
20150310,2706251.049999999813735,2145827.300000000279397,2370768.660000000149012,2047006.860000000102445,2177988.899999999906868,2051099.920000000158325,13498946.689999999478459
20150311,2656912.599999999627471,2141664.300000000279397,2381510.280000000260770,2087688.479999999981374,2151362.200000000186265,2069508.880000000121072,13488650.740000000223517
20150312,2704946.950000000186265,2230752.500000000000000,2445328.139999999664724,1988890.260000000009313,2189722.700000000186265,2111810.319999999832362,13671454.870000001043081
20150313,2686254.849999999627471,2215557.550000000279397,2418368.780000000260770,1997284.880000000121072,2162193.399999999906868,2090072.080000000074506,13569735.540000000968575
20150316,2715814.450000000186265,2234915.500000000465661,2453752.940000000409782,1990827.479999999981374,2176183.700000000186265,2133352.720000000204891,13704850.790000000968575
20150317,2761240.599999999627471,2226381.350000000093132,2434375.900000000372529,1975329.719999999972060,2178440.200000000186265,2129827.600000000093132,13705599.369999999180436
20150318,2792321.650000000372529,2247404.500000000000000,2444906.900000000372529,1994701.920000000158325,2200553.899999999906868,2144907.279999999795109,13824800.150000000372529
20150319,2771238.700000000186265,2234915.500000000465661,2425529.860000000335276,1985015.820000000065193,2218605.899999999906868,2136877.839999999850988,13772187.620000001043081
20150320,2736462.700000000186265,2256979.400000000372529,2474604.320000000298023,2021823.000000000000000,2301193.800000000279397,2149019.920000000391155,13940087.140000002458692
20150323,2764935.549999999813735,2252608.250000000000000,2444696.280000000260770,2014719.860000000102445,2289460.000000000000000,2146865.680000000167638,13913289.619999999180436
20150324,2753633.349999999627471,2229503.600000000093132,2446381.240000000223517,1988244.520000000018626,2271408.000000000000000,2139227.920000000391155,13828402.629999998956919
20150325,2681690.500000000000000,2185583.950000000186265,2394358.100000000558794,1930127.920000000158325,2233950.100000000093132,2107501.839999999850988,13533216.410000000149012
20150326,2700382.599999999627471,2190579.550000000279397,2366766.879999999888241,1942396.979999999981374,2241622.200000000186265,2092226.320000000065193,13533978.530000001192093
20150327,2678864.950000000186265,2195575.150000000372529,2398149.259999999776483,2066379.060000000055879,2253807.299999999813735,2098101.520000000018626,13690881.239999998360872
20150330,2746678.150000000372529,2208896.750000000465661,2414367.000000000000000,2031509.100000000093132,2276823.600000000093132,2147257.360000000335276,13825535.960000000894070
20150331,2704512.250000000000000,2183294.300000000279397,2392883.759999999776483,2019240.040000000037253,2264187.200000000186265,2117685.520000000018626,13681807.070000000298023
