代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12821910.399999998509884
真實報酬,2821910.399999998509884

夏普值報酬,0.273491040000000
夏普值風險,0.064554502734048
夏普值,4.236591227830090

預期報酬,9980.217305538630171
風險,236881.513305841566762
趨勢值,0.042131685019476
找到最佳解世代,2424
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](4),INTC[11](14),MRK[17](5),MSFT[18](1),PFE[20](9),
20180928,2608575.650000000372529,2109277.349999999627471,2567018.949999999720603,2717582.200000000186265,2430776.170000000391155,12433230.319999998435378
20181001,2620371.830000000074506,2071810.829999999841675,2588368.099999999627471,2747045.839999999850988,2441807.570000000298023,12469404.169999999925494
20181002,2627878.490000000223517,2145405.780000000260770,2596328.799999999813735,2736115.779999999795109,2439049.720000000204891,12544778.570000000298023
20181003,2634848.959999999962747,2174843.759999999776483,2582578.500000000000000,2736591.000000000000000,2471592.350000000093132,12600454.569999998435378
20181004,2594098.520000000484288,2146743.870000000111759,2577150.750000000000000,2680039.819999999832362,2465525.080000000540167,12463558.040000000968575
20181005,2580693.770000000484288,2097680.569999999366701,2570275.599999999627471,2664357.559999999590218,2477108.049999999813735,12390115.550000000745058
20181008,2547986.180000000633299,2097680.569999999366701,2585835.149999999441206,2633943.479999999981374,2497516.140000000130385,12362961.519999999552965
20181009,2546377.610000000335276,2076271.129999999655411,2617677.949999999720603,2667446.490000000223517,2507995.970000000204891,12415769.150000000372529
20181010,2446646.270000000484288,1998215.879999999655411,2549288.299999999813735,2522504.389999999664724,2455045.250000000000000,11971700.089999999850988
20181011,2365681.580000000074506,1972792.169999999692664,2474023.500000000000000,2516564.139999999664724,2361278.350000000093132,11690339.740000000223517
20181012,2450935.790000000037253,2001784.119999999878928,2526129.899999999906868,2603529.399999999906868,2414780.640000000130385,11997159.850000001490116
20181015,2395172.030000000260770,1986173.069999999832362,2513465.149999999441206,2556720.229999999981374,2378377.020000000018626,11829907.499999998137355
20181016,2456833.879999999888241,2049063.299999999580905,2577150.750000000000000,2637507.629999999888241,2423054.189999999944121,12143609.749999998137355
20181017,2463268.160000000149012,2046833.149999999674037,2598861.749999999534339,2630616.939999999944121,2458354.670000000391155,12197934.669999998062849
20181018,2437531.040000000037253,2005798.389999999664724,2612973.899999999441206,2578105.129999999888241,2426915.180000000167638,12061323.639999998733401
20181019,2431096.759999999776483,1962533.479999999748543,2618039.799999999813735,2581906.889999999664724,2454493.680000000167638,12048070.609999999403954
20181022,2453616.740000000223517,2007582.509999999543652,2626000.499999999534339,2604955.059999999590218,2447323.270000000018626,12139478.079999998211861
20181023,2435386.280000000260770,1984834.979999999748543,2608993.549999999813735,2568600.729999999981374,2432430.880000000353903,12030246.419999999925494
20181024,2363000.629999999888241,1892060.739999999757856,2552544.950000000186265,2431262.149999999906868,2343076.540000000037253,11581945.009999997913837
20181025,2438067.230000000447035,1976360.409999999916181,2531557.649999999441206,2573352.929999999701977,2394372.549999999813735,11913710.769999999552965
20181026,2372652.049999999813735,2037912.549999999580905,2547479.049999999813735,2541513.189999999944121,2349695.380000000353903,11849252.220000000670552
20181029,2350668.259999999776483,2024977.679999999701977,2585473.299999999813735,2467616.479999999981374,2384444.290000000037253,11813180.009999997913837
20181030,2390346.320000000298023,2130240.759999999776483,2636856.000000000000000,2464765.160000000149012,2365690.910000000149012,11987899.150000000372529
20181031,2453080.549999999813735,2090990.119999999878928,2663632.899999999906868,2537949.040000000037253,2375067.600000000093132,12120720.209999999031425
20181101,2447718.650000000372529,2150758.139999999664724,2645902.250000000000000,2516801.750000000000000,2408713.370000000111759,12169894.160000000149012
20181102,2438603.419999999925494,2101248.809999999590218,2615144.999999999534339,2522504.389999999664724,2367897.189999999944121,12045398.809999996796250
20181105,2473991.959999999962747,2139607.389999999664724,2645902.250000000000000,2554581.740000000223517,2400439.820000000298023,12214523.160000000149012
20181106,2493294.799999999813735,2107493.229999999515712,2652777.399999999906868,2559571.549999999813735,2372309.750000000000000,12185446.730000000447035
20181107,2568361.400000000372529,2173059.639999999664724,2716824.849999999627471,2660318.189999999944121,2448977.979999999981374,12567542.060000000521541
20181108,2597315.660000000149012,2185102.450000000186265,2731298.850000000093132,2655328.379999999888241,2418641.630000000353903,12587686.970000000670552
20181109,2526002.389999999664724,2145851.809999999590218,2708864.149999999906868,2603529.399999999906868,2442359.140000000130385,12426606.890000000596046
20181112,2446110.080000000074506,2080731.429999999701977,2702712.699999999720603,2539374.700000000186265,2432982.450000000186265,12201911.359999999403954
20181113,2419300.580000000074506,2113737.649999999441206,2699817.899999999906868,2541037.969999999739230,2400439.820000000298023,12174333.919999998062849
20181114,2376941.570000000298023,2100356.750000000000000,2681001.699999999720603,2494228.799999999813735,2366794.049999999813735,12019322.870000001043081
20181115,2507771.930000000633299,2145851.809999999590218,2708140.449999999720603,2549116.709999999962747,2383341.150000000372529,12294222.049999998882413
20181116,2485251.950000000186265,2177965.969999999739230,2752286.149999999906868,2573115.319999999832362,2399888.250000000000000,12388507.640000000596046
20181119,2453080.549999999813735,2140945.479999999515712,2762779.799999999813735,2485912.450000000186265,2436843.439999999944121,12279561.719999998807907
20181120,2385520.610000000335276,2113737.649999999441206,2705969.349999999627471,2416767.939999999944121,2400991.390000000130385,12022986.939999999478459
20181121,2406968.209999999962747,2097680.569999999366701,2706331.200000000186265,2450033.339999999850988,2377273.880000000353903,12038287.200000001117587
20181123,2388201.559999999590218,2075825.099999999627471,2701989.000000000000000,2449082.899999999906868,2379480.160000000149012,11994578.719999998807907
20181126,2443429.129999999888241,2116413.830000000074506,2729851.449999999720603,2529870.299999999813735,2390511.560000000521541,12210076.270000001415610
20181127,2472919.580000000074506,2144067.689999999478459,2762417.949999999720603,2545790.169999999925494,2430776.170000000391155,12355971.559999998658895
20181128,2535653.809999999590218,2179304.059999999590218,2794622.600000000093132,2640358.950000000186265,2476556.479999999981374,12626495.899999998509884
20181129,2538334.759999999776483,2127564.580000000074506,2819228.399999999906868,2618261.219999999739230,2510202.250000000000000,12613591.210000000894070
20181130,2566752.830000000074506,2199375.410000000149012,2870972.949999999720603,2634893.919999999925494,2549915.290000000037253,12821910.399999998509884
