代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13456761.959999999031425
真實報酬,3456761.959999999031425

夏普值報酬,0.336976196000000
夏普值風險,0.094211120942540
夏普值,3.576819728166952

預期報酬,15339.152768852640293
風險,206431.641481550730532
趨勢值,0.074306209352230
找到最佳解世代,2543
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),DIS[6](4),HD[9](11),INTC[11](3),KO[14](10),TRV[22](2),UNH[23](5),
20140917,2029279.389999999897555,1777194.280000000027940,1695694.930000000167638,2036314.719999999739230,1571726.879999999888241,1645973.750000000000000,1719299.439999999944121,12475486.389999998733401
20140918,2033474.560000000055879,1777391.020000000251457,1711867.360000000102445,2047375.190000000176951,1578525.839999999850988,1665833.500000000000000,1731948.399999999906868,12546418.870000001043081
20140919,2016893.649999999906868,1780342.120000000111759,1716514.610000000102445,2027000.639999999897555,1588346.559999999823049,1662845.750000000000000,1735308.280000000027940,12527254.609999999403954
20140922,2018891.350000000093132,1756733.320000000298023,1708149.560000000055879,2020597.209999999962747,1594767.799999999813735,1662670.000000000000000,1734715.360000000102445,12496527.599999999627471
20140923,2050455.010000000009313,1737452.800000000046566,1700713.959999999962747,2003715.440000000176951,1582303.040000000037253,1644216.250000000000000,1711393.840000000083819,12430253.339999999850988
20140924,2032675.479999999981374,1759881.160000000149012,1729155.130000000121072,2022925.729999999981374,1596656.400000000139698,1666009.250000000000000,1743411.520000000018626,12550717.669999999925494
20140925,1955164.719999999972060,1732731.040000000037253,1708335.450000000186265,1987415.800000000046566,1578148.120000000111759,1646852.500000000000000,1703290.600000000093132,12311941.229999998584390
20140926,2012698.479999999981374,1745912.620000000111759,1725809.110000000102445,1994401.359999999869615,1594012.360000000102445,1659155.000000000000000,1711591.479999999981374,12443583.410000000149012
20140929,1999913.199999999953434,1747683.280000000027940,1726552.669999999925494,2031657.679999999934807,1595900.959999999962747,1648082.750000000000000,1709812.720000000204891,12459606.259999999776483
20140930,2012698.479999999981374,1751618.080000000074506,1705361.209999999962747,2027000.639999999897555,1611387.479999999748543,1651070.500000000000000,1704674.080000000074506,12463813.469999998807907
20141001,1981334.590000000083819,1721320.120000000111759,1691977.130000000121072,1978683.850000000093132,1614409.239999999990687,1636307.500000000000000,1677597.399999999906868,12301632.830000000074506
20141002,1995718.030000000027940,1707548.320000000298023,1714655.709999999962747,1951323.740000000223517,1611387.479999999748543,1635780.249999999767169,1677992.680000000167638,12294409.210000000894070
20141003,1990124.469999999972060,1740207.160000000149012,1738821.410000000149012,1981012.370000000111759,1624229.959999999962747,1660209.500000000000000,1700128.360000000102445,12434736.230000000447035
20141006,1990124.469999999972060,1742371.300000000046566,1733616.490000000223517,1985669.409999999916181,1646893.159999999916181,1664427.500000000000000,1681747.840000000083819,12444853.169999999925494
20141007,1972744.479999999981374,1713844.000000000000000,1718931.180000000167638,1948413.089999999850988,1658980.199999999953434,1646149.500000000000000,1663960.239999999990687,12323025.689999999478459
20141008,2013697.329999999841675,1733518.000000000000000,1749045.360000000102445,1994983.490000000223517,1682776.559999999823049,1660033.750000000000000,1711986.760000000242144,12546044.250000000000000
20141009,2018092.269999999785796,1686300.399999999906868,1730084.580000000074506,1957145.039999999804422,1657091.599999999860302,1650191.750000000000000,1678783.239999999990687,12377691.880000000819564
20141010,2012298.940000000176951,1697317.840000000083819,1720418.300000000046566,1857600.810000000055879,1679754.799999999813735,1652828.000000000000000,1687677.040000000037253,12307898.730000000447035
20141013,1993920.100000000093132,1650887.199999999953434,1684169.750000000000000,1831987.089999999850988,1664646.000000000000000,1643689.000000000000000,1659216.880000000121072,12128519.020000001415610
20141014,1972744.479999999981374,1655412.220000000204891,1674875.250000000000000,1870989.800000000046566,1648404.040000000037253,1646501.000000000232831,1636883.560000000055879,12105813.349999999627471
20141015,1948572.310000000055879,1614883.780000000027940,1633050.000000000000000,1820926.620000000111759,1632917.519999999785796,1616799.250000000000000,1623839.320000000065193,11890991.800000000745058
20141016,1923001.750000000000000,1608194.620000000111759,1652196.669999999925494,1795895.030000000027940,1607610.280000000027940,1613635.750000000000000,1687677.040000000037253,11888214.140000000596046
20141017,1951169.320000000065193,1649313.280000000027940,1677477.709999999962747,1826747.919999999925494,1619697.320000000065193,1638768.000000000000000,1742818.600000000093132,12105995.150000000372529
20141020,1992921.250000000000000,1682562.340000000083819,1707406.000000000000000,1838390.519999999785796,1635183.839999999850988,1638065.000000000000000,1749933.640000000130385,12244465.589999999850988
20141021,2047058.919999999925494,1722303.820000000298023,1751090.150000000139698,1898349.909999999916181,1536598.919999999925494,1656343.000000000000000,1797564.880000000121072,12409312.600000001490116
20141022,2057446.959999999962747,1713647.260000000009313,1735103.610000000102445,1878557.490000000223517,1534332.599999999860302,1679893.500000000000000,1774243.360000000102445,12373227.779999999329448
20141023,2094204.639999999897555,1731157.120000000111759,1762243.550000000046566,1903006.949999999953434,1543397.879999999888241,1700807.750000000000000,1791833.320000000065193,12526654.210000000894070
20141024,2101995.669999999925494,1743355.000000000000000,1765775.459999999962747,1931531.320000000065193,1549819.120000000111759,1717679.750000000000000,1811202.040000000037253,12621361.359999999403954
20141027,2099798.200000000186265,1740207.160000000149012,1774698.180000000167638,1932695.580000000074506,1539620.679999999934807,1737715.250000000000000,1820886.399999999906868,12645624.450000001117587
20141028,2132360.709999999962747,1769324.680000000167638,1795517.860000000102445,1964130.600000000093132,1532066.280000000027940,1752829.750000000000000,1830966.040000000037253,12777198.919999998062849
20141029,2144346.910000000149012,1761455.080000000074506,1792357.730000000214204,1974608.940000000176951,1547175.080000000074506,1747381.500000000000000,1837290.520000000018626,12804618.760000001639128
20141030,2137155.189999999944121,1775030.140000000130385,1812805.630000000121072,1896603.519999999785796,1563794.760000000009313,1757575.000000000000000,1855473.399999999906868,12798440.640000000596046
20141031,2157531.729999999981374,1797851.979999999981374,1812805.630000000121072,1979848.109999999869615,1581925.320000000065193,1771635.000000000000000,1877806.720000000204891,12979407.490000000223517
20141103,2185499.530000000260770,1804344.399999999906868,1786223.360000000102445,1997312.010000000009313,1579281.280000000027940,1756696.250000000000000,1874842.120000000111759,12984201.949999999254942
20141104,2169517.929999999701977,1777587.760000000009313,1783806.790000000037253,2010701.000000000000000,1579659.000000000000000,1777434.750000000000000,1877213.800000000046566,12975924.030000001192093
20141105,2174711.950000000186265,1790375.860000000102445,1780460.770000000018626,1965294.859999999869615,1598167.280000000027940,1783761.750000000000000,1893420.280000000027940,12986195.749999998137355
20141106,2171515.629999999888241,1810049.860000000102445,1808530.160000000149012,1968787.639999999897555,1597411.839999999850988,1791143.250000000000000,1901523.520000000018626,13048964.899999998509884
20141107,2177708.500000000000000,1770701.860000000102445,1815222.200000000186265,1954816.519999999785796,1598545.000000000000000,1799227.750000000000000,1850137.120000000111759,12966361.949999999254942
20141110,2174112.640000000130385,1766373.580000000074506,1824702.590000000083819,1936188.359999999869615,1601189.040000000037253,1810124.250000000000000,1872668.080000000074506,12985361.540000000968575
20141111,2191492.629999999888241,1770308.380000000121072,1824330.810000000055879,1939099.010000000009313,1605721.679999999934807,1809245.500000000000000,1891246.239999999990687,13031447.250000000000000
20141112,2222456.979999999981374,1768734.460000000195578,1830836.959999999962747,1943173.920000000158325,1613276.080000000074506,1811354.500000000000000,1891048.600000000093132,13080884.500000000000000
20141113,2253820.869999999646097,1780342.120000000111759,1840317.350000000093132,1960637.820000000065193,1616297.839999999850988,1814342.250000000000000,1895396.680000000167638,13161157.929999999701977
20141114,2280989.590000000316650,1786441.060000000055879,1826189.709999999962747,1976355.330000000074506,1614031.519999999785796,1800282.250000000232831,1879783.120000000111759,13164075.580000001937151
20141117,2277193.959999999962747,1778768.199999999953434,1822286.020000000018626,1993237.100000000093132,1621208.199999999953434,1805906.250000000000000,1906662.160000000149012,13205264.889999998733401
20141118,2306759.919999999925494,1776210.580000000074506,1784178.570000000065193,2020597.209999999962747,1644249.120000000111759,1807663.750000000000000,1940656.239999999990687,13280318.390000000596046
20141119,2290778.319999999832362,1767160.540000000037253,1797562.650000000139698,1999640.530000000027940,1670311.799999999813735,1810827.250000000000000,1914370.120000000111759,13250654.210000000894070
20141120,2323540.600000000093132,1749060.460000000195578,1813735.080000000074506,2092781.330000000074506,1671444.959999999962747,1818384.500000000000000,1914172.479999999981374,13383122.410000000149012
20141121,2326736.919999999925494,1750240.899999999906868,1826933.270000000018626,2071824.650000000139698,1680887.959999999962747,1824535.750000000000000,1911405.520000000018626,13392567.969999998807907
20141124,2369887.239999999757856,1782112.780000000027940,1829163.950000000186265,2110245.229999999981374,1672200.400000000139698,1824184.250000000000000,1915160.680000000167638,13502957.529999999329448
20141125,2349310.929999999701977,1803163.960000000195578,1803325.240000000223517,2114320.140000000130385,1678243.919999999925494,1817857.250000000232831,1934924.680000000167638,13501149.119999999180436
20141126,2377278.729999999981374,1808475.940000000176951,1816151.650000000139698,2148083.679999999701977,1672955.839999999850988,1834377.750000000000000,1939075.120000000111759,13596401.710000000894070
20141128,2375880.340000000316650,1820083.600000000093132,1847752.950000000186265,2168458.229999999981374,1693352.719999999972060,1835783.750000000000000,1949352.399999999906868,13690666.990000002086163
20141201,2298769.119999999646097,1823821.660000000149012,1838086.669999999925494,2163801.189999999944121,1682776.559999999823049,1835608.000000000000000,1957850.920000000158325,13600717.119999999180436
20141202,2289979.239999999757856,1838970.640000000130385,1824702.590000000083819,2188832.780000000260770,1682398.839999999850988,1834905.000000000000000,1973069.199999999953434,13632861.289999999105930
20141203,2315949.340000000316650,1831888.000000000000000,1832695.860000000102445,2178936.569999999832362,1654447.559999999823049,1848789.250000000000000,1992240.280000000027940,13654949.859999999403954
20141204,2307159.459999999962747,1834248.880000000121072,1839387.900000000139698,2180682.959999999962747,1643115.959999999962747,1847207.500000000000000,1969906.960000000195578,13621712.620000001043081
20141205,2297370.729999999981374,1844676.100000000093132,1852214.310000000055879,2192907.689999999944121,1644249.120000000111759,1848965.000000000000000,1982951.199999999953434,13663337.149999998509884
20141208,2245430.530000000260770,1845463.060000000055879,1866899.620000000111759,2165547.580000000074506,1629518.040000000037253,1860213.000000000000000,1974847.960000000195578,13587922.790000002831221
20141209,2279790.970000000204891,1828543.420000000158325,1852214.310000000055879,2147501.549999999813735,1587968.839999999850988,1845801.500000000000000,1996588.360000000102445,13538411.949999999254942
20141210,2236440.879999999888241,1802770.479999999981374,1839202.010000000009313,2120141.439999999944121,1571349.159999999916181,1832444.500000000000000,1958443.840000000083819,13360795.310000000521541
20141211,2229848.470000000204891,1805131.360000000102445,1863925.380000000121072,2136441.080000000074506,1568705.120000000111759,1837892.749999999767169,1971092.800000000046566,13413039.960000000894070
20141212,2192091.939999999944121,1800016.120000000111759,1854816.770000000018626,2109080.969999999739230,1545286.479999999748543,1813112.000000000000000,1951921.720000000204891,13266329.000000000000000
20141215,2162126.439999999944121,1788408.460000000195578,1859835.800000000046566,2091034.940000000176951,1532444.000000000000000,1811881.750000000000000,1942237.360000000102445,13187971.750000000000000
20141216,2132560.479999999981374,1774046.440000000176951,1804254.690000000176951,2070078.260000000009313,1525645.040000000037253,1811706.000000000000000,1894408.479999999981374,13012702.390000000596046
20141217,2185699.299999999813735,1797851.979999999981374,1839202.010000000009313,2109663.100000000093132,1569460.559999999823049,1835080.750000000000000,1959432.040000000037253,13296392.740000002086163
20141218,2250424.780000000260770,1822051.000000000000000,1871360.980000000214204,2155069.240000000223517,1601189.040000000037253,1862146.250000000000000,2020700.439999999944121,13582944.730000000447035
20141219,2233044.790000000037253,1827559.720000000204891,1894783.120000000111759,2117230.790000000037253,1584569.360000000102445,1858631.250000000000000,2025641.439999999944121,13541463.470000000670552
20141222,2256218.109999999869615,1853332.660000000149012,1923967.850000000093132,2166129.709999999962747,1599678.159999999916181,1868473.250000000000000,2036511.640000000130385,13704314.380000000819564
20141223,2248227.310000000055879,1862972.920000000158325,1928800.990000000223517,2178936.569999999832362,1623096.799999999813735,1879721.250000000000000,2032756.479999999981374,13754515.320000000298023
20141224,2237639.500000000000000,1857660.940000000176951,1925083.190000000176951,2179518.699999999720603,1621963.639999999897555,1875679.000000000000000,2029396.600000000093132,13726944.570000000298023
20141226,2277193.959999999962747,1869662.080000000074506,1928615.100000000093132,2185922.129999999888241,1622719.080000000074506,1875327.500000000000000,2026827.280000000027940,13786270.130000000819564
20141229,2275595.799999999813735,1878908.860000000102445,1943114.520000000018626,2164383.319999999832362,1618941.879999999888241,1879721.250000000000000,2022479.199999999953434,13783147.829999998211861
20141230,2247827.770000000018626,1863169.660000000149012,1938281.380000000121072,2139933.859999999869615,1615164.679999999934807,1879369.750000000232831,2032756.479999999981374,13716506.580000000074506
20141231,2205076.989999999757856,1853135.920000000158325,1951293.680000000167638,2112573.750000000000000,1594767.799999999813735,1860388.750000000000000,1997971.840000000083819,13575211.730000000447035
20150102,2184101.140000000130385,1844479.360000000102445,1922666.620000000111759,2116648.660000000149012,1591746.040000000037253,1853183.000000000000000,1991845.000000000000000,13504672.820000000298023
20150105,2122571.979999999981374,1817525.979999999981374,1882328.490000000223517,2092781.330000000074506,1591746.040000000037253,1830862.750000000000000,1959036.760000000242144,13296856.330000000074506
20150106,2122771.750000000000000,1807885.720000000204891,1876565.900000000139698,2053778.620000000111759,1603833.080000000074506,1814518.000000000000000,1955083.960000000195578,13234440.030000001192093
20150107,2152537.479999999981374,1826379.280000000027940,1940883.840000000083819,2096856.240000000223517,1623852.239999999990687,1845450.000000000000000,1975045.600000000093132,13461007.679999999701977
20150108,2235242.259999999776483,1845266.320000000298023,1983824.430000000167638,2135858.949999999720603,1643493.679999999934807,1883763.500000000232831,2069319.880000000121072,13796772.019999999552965
20150109,2237639.500000000000000,1854316.360000000102445,1949806.560000000055879,2139933.859999999869615,1625363.120000000111759,1860037.250000000000000,2049951.160000000149012,13717050.809999998658895
20150112,2182502.979999999981374,1858447.899999999906868,1941069.730000000214204,2130619.780000000260770,1610632.040000000037253,1848965.000000000000000,2026827.280000000027940,13599067.709999999031425
20150113,2201880.669999999925494,1872809.920000000158325,1928243.320000000065193,2124798.479999999981374,1610254.320000000065193,1851777.000000000000000,2037104.560000000055879,13626871.270000001415610
20150114,2193490.330000000074506,1853922.880000000121072,1907981.310000000055879,2116066.530000000260770,1607610.280000000027940,1823832.750000000000000,2042243.199999999953434,13545150.279999999329448
20150115,2133958.869999999646097,1856283.760000000009313,1877681.240000000223517,2106752.449999999720603,1600811.320000000065193,1831565.750000000000000,2064576.520000000018626,13471632.910000000149012
20150116,2117377.959999999962747,1872613.180000000167638,1935493.030000000260770,2121887.830000000074506,1606477.120000000111759,1872515.500000000000000,2090467.360000000102445,13616834.980000000447035
20150120,2171915.169999999925494,1863956.620000000111759,1919320.600000000093132,2100931.150000000372529,1630273.479999999748543,1860213.000000000000000,2087502.760000000242144,13634115.780000001192093
20150121,2188496.080000000074506,1852742.440000000176951,1924525.520000000018626,2123634.219999999739230,1637827.879999999888241,1845625.750000000000000,2160629.560000000055879,13733484.450000001117587
20150122,2245430.530000000260770,1872022.960000000195578,1971741.580000000074506,2148665.809999999590218,1653692.120000000111759,1901162.750000000000000,2250160.479999999981374,14042879.230000000447035
20150123,2257017.189999999944121,1863563.140000000130385,1958729.280000000260770,2121887.830000000074506,1635939.280000000027940,1880600.000000000000000,2213597.080000000074506,13931336.800000000745058
20150126,2259414.429999999701977,1868481.640000000130385,1977132.390000000130385,2084631.510000000009313,1624229.959999999962747,1881830.249999999767169,2205889.120000000111759,13901612.300000000745058
20150127,2180305.509999999776483,1848807.640000000130385,1954825.590000000083819,1990326.449999999953434,1601189.040000000037253,1863903.750000000000000,2174266.720000000204891,13613627.700000001117587
20150128,2303563.600000000093132,1823231.440000000176951,1947018.209999999962747,1966459.120000000111759,1583436.199999999953434,1838068.500000000000000,2143632.520000000018626,13605412.589999999850988
20150129,2375281.030000000260770,1834052.140000000130385,2000554.530000000260770,1991490.709999999962747,1590235.159999999916181,1837365.500000000000000,2162013.040000000037253,13790995.109999999403954
20150130,2340521.049999999813735,1789588.899999999906868,1941069.730000000214204,1923381.500000000000000,1555107.199999999953434,1807136.499999999767169,2099954.080000000074506,13456761.959999999031425
