代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13883687.300000000745058
真實報酬,3883687.300000000745058

夏普值報酬,0.379668730000000
夏普值風險,0.090823052147006
夏普值,4.180312387932827

預期報酬,15218.004731253906357
風險,156598.135959795705276
趨勢值,0.097178709299330
找到最佳解世代,2742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MMM[16](5),MRK[17](6),MSFT[18](3),
20140417,1779730.030000000027940,1878524.439999999944121,1860941.639999999897555,1757440.639999999897555,1732305.550000000046566,1705880.439999999944121,1711287.310000000055879,12426113.049999998882413
20140421,1776441.699999999953434,1857858.520000000018626,1862014.520000000018626,1751591.179999999934807,1743499.080000000074506,1729442.679999999934807,1708293.340000000083819,12429144.019999999552965
20140422,1794614.050000000046566,1865843.080000000074506,1869524.680000000167638,1744441.839999999850988,1746894.869999999878928,1745150.840000000083819,1710431.890000000130385,12476904.250000000000000
20140423,1789248.879999999888241,1867486.959999999962747,1885886.100000000093132,1738592.379999999888241,1735575.570000000298023,1736994.679999999934807,1697600.590000000083819,12451388.160000000149012
20140424,1822132.179999999934807,1869130.840000000083819,1880789.920000000158325,1738592.379999999888241,1718722.390000000130385,1737900.919999999925494,1704871.660000000149012,12472143.290000000968575
20140425,1811921.050000000046566,1837192.600000000093132,1852626.819999999832362,1706745.320000000065193,1717590.460000000195578,1729140.600000000093132,1707010.209999999962747,12362230.060000002384186
20140428,1804479.040000000037253,1826624.800000000046566,1806492.979999999981374,1711294.899999999674037,1726017.050000000046566,1712224.119999999878928,1748070.369999999878928,12335206.259999997913837
20140429,1822478.319999999832362,1846821.040000000037253,1860136.979999999981374,1721044.000000000000000,1730041.690000000176951,1773848.439999999944121,1732672.810000000055879,12487046.279999999329448
20140430,1824209.020000000018626,1863259.840000000083819,1906002.600000000093132,1734692.739999999990687,1749410.270000000018626,1769015.159999999916181,1727968.000000000000000,12574560.630000000819564
20140501,1818497.709999999962747,1868426.320000000065193,1860673.420000000158325,1719094.179999999934807,1771042.710000000195578,1801035.639999999897555,1710859.600000000093132,12549632.580000000074506
20140502,1817459.290000000037253,1886039.320000000065193,1859868.760000000009313,1716494.419999999925494,1762364.580000000074506,1758744.439999999944121,1697600.590000000083819,12498574.400000000372529
20140505,1808978.859999999869615,1907409.760000000009313,1885349.660000000149012,1700895.860000000102445,1768527.310000000288710,1771129.719999999972060,1686480.130000000121072,12528774.300000002607703
20140506,1797729.310000000055879,1902947.800000000046566,1875961.959999999962747,1702845.679999999934807,1751925.669999999925494,1725213.559999999823049,1670654.860000000102445,12427281.839999999850988
20140507,1810709.560000000055879,1885569.640000000130385,1891518.719999999972060,1713894.659999999916181,1775193.119999999878928,1686849.400000000139698,1686052.420000000158325,12449790.519999999552965
20140508,1816247.800000000046566,1916333.679999999934807,1879717.040000000037253,1711944.839999999850988,1771294.250000000232831,1656339.319999999832362,1695462.040000000037253,12447341.969999998807907
20140509,1818324.639999999897555,1924553.080000000074506,1882131.020000000018626,1709345.079999999841675,1777708.520000000018626,1667818.359999999869615,1691184.939999999944121,12471068.639999998733401
20140512,1838054.620000000111759,1935590.560000000055879,1914585.639999999897555,1713894.659999999916181,1796322.479999999981374,1670235.000000000000000,1709576.469999999972060,12578262.430000001564622
20140513,1854496.270000000018626,1927606.000000000000000,1911903.439999999944121,1719094.179999999934807,1791417.450000000186265,1684130.679999999934807,1728823.420000000158325,12617474.439999999478459
20140514,1843765.929999999934807,1900364.560000000055879,1917536.059999999823049,1711294.899999999674037,1780978.540000000037253,1702859.639999999897555,1721124.640000000130385,12577927.269999999552965
20140515,1817113.149999999906868,1882281.880000000121072,1856918.340000000083819,1690496.820000000065193,1773180.800000000046566,1688359.800000000046566,1693751.200000000186265,12402104.990000002086163
20140516,1835112.429999999934807,1887918.040000000037253,1870865.780000000027940,1678147.959999999962747,1775067.350000000093132,1687755.639999999897555,1703588.530000000027940,12438458.730000000447035
20140519,1824035.949999999953434,1903417.479999999981374,1884545.000000000232831,1692446.639999999897555,1781858.929999999934807,1702255.479999999981374,1700166.850000000093132,12488729.330000000074506
20140520,1757750.139999999897555,1904356.840000000083819,1899833.540000000037253,1692446.639999999897555,1763748.050000000046566,1691682.679999999934807,1697172.880000000121072,12406993.769999999552965
20140521,1780595.379999999888241,1930189.239999999990687,1907611.920000000158325,1702845.679999999934807,1769156.160000000149012,1709203.319999999832362,1725829.450000000186265,12525434.149999998509884
20140522,1784056.780000000027940,1933946.679999999934807,1901442.860000000102445,1699595.979999999748543,1764754.210000000195578,1706484.600000000093132,1715136.700000000186265,12505420.809999998658895
20140523,1800498.429999999934807,1956726.159999999916181,1935775.020000000018626,1708695.139999999897555,1775193.119999999878928,1716151.159999999916181,1715992.119999999878928,12609034.149999998509884
20140527,1794440.979999999981374,1966589.439999999944121,1945430.939999999944121,1735992.619999999878928,1778966.219999999972060,1712526.199999999953434,1718986.090000000083819,12652935.489999998360872
20140528,1781114.589999999850988,1963301.679999999934807,1977617.340000000083819,1747041.599999999860302,1778840.450000000186265,1703765.879999999888241,1711287.310000000055879,12662971.849999999627471
20140529,1793056.419999999925494,1973399.800000000046566,2004171.120000000111759,1752241.119999999878928,1790914.369999999878928,1743036.280000000027940,1725401.740000000223517,12782223.849999999627471
20140530,1769345.830000000074506,1972930.120000000111759,1990760.120000000111759,1775638.959999999962747,1792926.690000000176951,1747869.559999999823049,1751064.340000000083819,12800538.620000001043081
20140602,1795825.540000000037253,1979035.959999999962747,2005780.439999999944121,1771739.320000000065193,1790033.979999999981374,1749984.119999999878928,1744648.689999999944121,12837051.049999998882413
20140603,1808459.649999999906868,1969877.199999999953434,2009535.520000000018626,1797736.919999999925494,1797202.869999999878928,1749379.959999999729916,1723263.189999999944121,12855458.309999996796250
20140604,1805344.389999999897555,1978331.439999999944121,2004707.559999999823049,1793837.280000000027940,1789279.359999999869615,1749984.119999999878928,1724546.320000000065193,12846033.469999998807907
20140605,1851207.939999999944121,1991012.800000000046566,2010071.959999999962747,1797736.919999999925494,1807516.010000000242144,1755119.479999999981374,1762612.510000000242144,12975280.620000001043081
20140606,1872322.479999999981374,1987020.520000000018626,2029383.800000000046566,1830883.860000000102445,1819212.619999999878928,1747567.479999999981374,1774160.679999999934807,13060554.439999999478459
20140609,1882187.469999999972060,2007451.600000000093132,2024019.399999999906868,1813985.419999999925494,1827764.979999999981374,1750286.199999999953434,1765178.770000000251457,13070876.839999999850988
20140610,1891879.389999999897555,1990308.280000000027940,2030188.459999999962747,1835433.439999999711290,1823363.030000000027940,1766900.600000000093132,1758335.410000000149012,13096411.609999999403954
20140611,1881149.050000000046566,1979975.320000000065193,2019191.439999999944121,1815285.299999999813735,1816319.910000000149012,1776567.159999999916181,1747642.660000000149012,13036133.839999999850988
20140612,1845842.770000000018626,1944514.479999999981374,1986200.379999999888241,1817235.119999999878928,1799466.729999999981374,1761161.079999999841675,1735666.780000000027940,12890090.339999999850988
20140613,1847919.609999999869615,1944514.479999999981374,2001488.920000000158325,1941373.659999999916181,1803114.060000000288710,1759348.600000000093132,1763467.929999999934807,13061230.259999999776483
20140616,1848611.889999999897555,1956256.479999999981374,1997733.840000000083819,1950472.820000000065193,1802610.979999999981374,1754213.239999999990687,1775016.100000000093132,13084918.349999999627471
20140617,1846188.909999999916181,1952968.719999999972060,1986200.379999999888241,1946573.179999999934807,1807264.469999999972060,1753911.159999999916181,1782714.880000000121072,13075824.700000001117587
20140618,1860207.580000000074506,1962832.000000000000000,2006048.660000000149012,1945273.299999999813735,1815313.750000000232831,1764483.959999999729916,1781431.750000000000000,13135594.000000000000000
20140619,1856226.969999999972060,1967293.959999999962747,1988882.580000000074506,1955672.339999999850988,1817326.070000000298023,1761161.079999999841675,1775443.810000000055879,13122009.810000000521541
20140620,1893090.879999999888241,1944984.159999999916181,2004171.120000000111759,1962821.679999999934807,1825752.660000000149012,1779890.040000000037253,1782714.880000000121072,13193428.419999999925494
20140623,1882706.679999999934807,1943575.120000000111759,2020264.319999999832362,1964771.500000000000000,1812295.270000000018626,1767202.679999999934807,1795973.890000000130385,13186792.459999999031425
20140624,1865918.889999999897555,1941696.400000000139698,1998538.500000000232831,1982319.879999999888241,1799718.270000000018626,1749682.040000000037253,1785708.850000000093132,13123585.830000000074506
20140625,1876822.300000000046566,1970346.880000000121072,2009535.520000000018626,2007017.599999999860302,1806761.390000000130385,1778077.559999999823049,1797684.730000000214204,13246248.980000000447035
20140626,1878206.859999999869615,1983263.080000000074506,1990760.120000000111759,2000518.199999999953434,1807767.550000000046566,1768108.919999999925494,1784425.719999999972060,13213053.450000001117587
20140627,1882706.679999999934807,2003224.479999999981374,1971448.280000000027940,2010267.299999999813735,1807264.469999999972060,1737900.919999999925494,1807094.350000000093132,13219909.480000000447035
20140630,1880802.909999999916181,2013557.439999999944121,1965547.439999999944121,2008317.479999999748543,1801604.820000000298023,1747567.479999999981374,1783570.300000000279397,13200970.870000001043081
20140701,1889456.409999999916181,2030700.760000000009313,1968766.080000000074506,2013517.000000000000000,1818206.460000000195578,1767504.759999999776483,1790841.369999999878928,13278995.839999999850988
20140702,1896206.139999999897555,2029996.239999999990687,1967961.420000000158325,2013517.000000000000000,1826633.050000000046566,1783817.079999999841675,1792124.500000000000000,13310258.429999999701977
20140703,1922512.780000000027940,2039389.840000000083819,1988077.920000000158325,2023916.040000000037253,1828896.910000000149012,1788348.280000000027940,1787847.399999999906868,13378992.169999999925494
20140707,1906590.339999999850988,2033518.840000000083819,1956964.399999999906868,2016766.699999999953434,1822608.410000000149012,1767806.840000000083819,1795973.890000000130385,13300232.420000001788139
20140708,1894475.439999999944121,2016375.520000000018626,1947576.699999999953434,2001168.139999999897555,1818206.460000000195578,1757234.040000000037253,1786991.980000000214204,13222031.280000001192093
20140709,1906244.199999999953434,2048313.760000000009313,1955623.300000000046566,2007667.540000000037253,1819715.700000000186265,1768713.079999999841675,1782287.170000000158325,13288567.750000000000000
20140710,1892744.739999999990687,2039859.520000000018626,1952672.879999999888241,2031715.320000000065193,1809779.869999999878928,1769619.319999999832362,1783142.590000000083819,13279537.240000000223517
20140711,1903128.939999999944121,2040564.040000000037253,1970911.840000000083819,2031065.379999999888241,1815062.210000000195578,1765390.199999999953434,1800250.990000000223517,13326376.599999999627471
20140714,1905378.850000000093132,2037511.120000000111759,1967156.760000000009313,2046663.939999999711290,1823740.340000000083819,1757536.119999999878928,1802389.540000000037253,13340379.669999998062849
20140715,1901225.169999999925494,2023185.880000000121072,1968766.080000000074506,2060962.619999999878928,1824494.960000000195578,1749379.959999999729916,1815648.550000000279397,13343666.220000000670552
20140716,1928051.020000000018626,2004398.679999999934807,1988882.580000000074506,2252044.979999999981374,1838455.429999999934807,1756629.879999999888241,1885365.280000000027940,13653830.849999999627471
20140717,1887725.709999999962747,1996883.800000000046566,1972789.379999999888241,2190300.680000000167638,1805377.919999999925494,1740015.479999999981374,1904612.230000000214204,13497708.200000001117587
20140718,1906763.409999999916181,2015201.320000000065193,1974398.699999999953434,2190300.680000000167638,1821602.250000000232831,1762369.400000000139698,1911455.590000000083819,13582094.349999999627471
20140721,1907801.830000000074506,2013557.439999999944121,1980835.979999999981374,2213698.520000000018626,1814936.440000000176951,1752098.679999999934807,1917871.240000000223517,13600803.129999998956919
20140722,1904859.639999999897555,2024594.919999999925494,1997733.840000000083819,2261144.139999999664724,1825249.580000000074506,1765088.119999999878928,1917443.530000000027940,13696116.769999997690320
20140723,1875783.879999999888241,2020602.640000000130385,2058351.559999999823049,2242295.879999999888241,1819715.700000000186265,1755421.559999999823049,1919154.369999999878928,13691328.589999999850988
20140724,1817978.500000000000000,2038450.479999999981374,2056474.020000000018626,2226047.379999999888241,1825375.350000000093132,1758442.359999999869615,1899052.000000000000000,13621823.089999999850988
20140725,1814690.169999999925494,2025064.600000000093132,2051646.059999999823049,2226047.379999999888241,1825249.580000000074506,1756629.879999999888241,1903329.100000000093132,13602659.769999997690320
20140728,1802575.270000000018626,2046669.880000000121072,2051109.620000000111759,2224747.499999999534339,1830406.150000000139698,1751192.439999999944121,1880660.469999999972060,13587364.330000000074506
20140729,1811921.050000000046566,2024360.080000000074506,2041721.920000000158325,2222147.739999999757856,1811414.880000000121072,1769619.319999999832362,1877238.790000000037253,13558426.780000001192093
20140730,1789248.879999999888241,2048078.919999999925494,2004707.559999999823049,2232546.779999999795109,1807893.320000000298023,1754515.319999999832362,1863979.780000000027940,13500973.559999998658895
20140731,1743731.469999999972060,2016845.199999999953434,1950795.340000000083819,2202649.540000000037253,1772048.869999999878928,1714036.600000000093132,1846015.959999999962747,13246125.980000000447035
20140801,1739750.859999999869615,2005103.199999999953434,1947040.260000000009313,2192900.439999999944121,1762238.810000000288710,1715849.079999999841675,1833184.660000000149012,13196070.310000000521541
20140804,1762076.889999999897555,2048783.439999999944121,1974130.479999999981374,2213048.579999999608845,1770288.090000000083819,1723703.159999999916181,1854997.869999999878928,13347031.509999999776483
20140805,1756711.719999999972060,2037276.280000000027940,1951868.219999999972060,2133105.959999999962747,1758088.400000000139698,1692588.919999999925494,1842594.280000000027940,13172236.779999999329448
20140806,1756538.649999999906868,2033518.840000000083819,1966888.540000000037253,2135055.779999999795109,1755195.690000000176951,1689568.119999999878928,1828052.140000000130385,13164820.759999999776483
20140807,1764326.800000000046566,2008156.120000000111759,1960183.040000000037253,2124006.799999999813735,1749913.350000000093132,1680807.800000000046566,1849009.929999999934807,13136406.839999999850988
20140808,1787518.179999999934807,2039624.679999999934807,1996929.180000000167638,2118807.279999999795109,1771545.790000000037253,1708297.079999999841675,1847726.800000000279397,13270451.990000000223517
20140811,1808632.719999999972060,2054889.280000000027940,1978690.219999999972060,2146104.760000000242144,1768150.000000000232831,1711619.959999999729916,1847726.800000000279397,13315816.740000000223517
20140812,1805690.530000000027940,2048078.919999999925494,1978690.219999999972060,2153254.100000000093132,1771923.100000000093132,1722796.919999999925494,1861413.520000000251457,13341850.309999998658895
20140813,1820055.339999999850988,2057237.679999999934807,2005244.000000000232831,2216298.279999999795109,1783493.940000000176951,1747567.479999999981374,1885365.280000000027940,13515264.999999998137355
20140814,1828708.839999999850988,2080956.520000000018626,1991296.559999999823049,2205899.239999999757856,1790285.520000000018626,1775660.919999999925494,1893491.770000000251457,13566302.369999999180436
20140815,1830093.399999999906868,2096690.800000000046566,1987005.040000000037253,2220847.859999999869615,1785003.179999999934807,1770525.559999999823049,1915732.689999999944121,13605901.529999999329448
20140818,1851554.080000000074506,2112894.759999999776483,2019996.100000000093132,2236446.419999999459833,1812672.580000000074506,1764786.040000000037253,1929419.410000000149012,13727772.390000000596046
20140819,1857092.319999999832362,2115712.839999999850988,2027506.260000000009313,2231896.840000000316650,1814307.590000000083819,1779587.959999999729916,1938829.030000000027940,13764935.839999997988343
20140820,1864015.120000000111759,2109841.839999999850988,2035821.080000000074506,2242295.879999999888241,1818709.540000000037253,1796806.519999999785796,1922576.050000000279397,13790069.030000001192093
20140821,1868688.010000000009313,2122523.200000000186265,2027238.040000000037253,2284541.979999999981374,1817451.840000000083819,1777775.479999999981374,1934124.219999999972060,13832345.770000001415610
20140822,1857265.389999999897555,2125106.439999999478459,2028579.139999999897555,2270893.239999999757856,1812798.350000000093132,1787442.040000000037253,1931130.250000000000000,13813217.849999997764826
20140825,1868688.010000000009313,2122523.200000000186265,2029383.800000000046566,2262444.020000000018626,1819967.239999999990687,1804358.519999999785796,1931985.670000000158325,13839353.459999999031425
20140826,1870245.639999999897555,2114068.959999999962747,2028310.920000000158325,2261794.079999999608845,1818709.540000000037253,1818556.280000000027940,1925142.310000000055879,13836830.730000000447035
20140827,1878726.069999999832362,2122288.360000000335276,2048963.860000000102445,2261144.139999999664724,1810408.719999999972060,1820972.919999999925494,1919154.369999999878928,13861661.439999999478459
20140828,1880456.770000000018626,2119000.600000000558794,2048963.860000000102445,2252044.979999999981374,1810911.800000000046566,1812514.679999999934807,1919582.080000000307336,13843477.770000001415610
20140829,1887725.709999999962747,2110781.200000000186265,2045477.000000000232831,2269593.359999999869615,1811163.340000000083819,1815837.559999999823049,1943106.130000000121072,13883687.300000000745058
