代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13128204.559999998658895
真實報酬,3128204.559999998658895

夏普值報酬,0.304120456000000
夏普值風險,0.087006961005495
夏普值,3.495357756269541

預期報酬,14197.704522965344950
風險,146636.030186104733730
趨勢值,0.096822755668891
找到最佳解世代,2584
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](8),CAT[3](7),DD[7](1),MRK[17](9),MSFT[18](2),V[25](10),
20140417,1933220.859999999869615,2067097.840000000083819,2317298.000000000000000,1953837.699999999953434,2094324.649999999906868,1958185.360000000102445,12323968.410000000149012
20140421,1956164.169999999692664,2063278.460000000195578,2318634.000000000000000,1980824.919999999925494,2090660.499999999767169,1969107.920000000158325,12378673.969999998807907
20140422,1958226.489999999757856,2084385.560000000055879,2327986.000000000000000,1998816.400000000139698,2093277.750000000000000,1977017.360000000102445,12439713.559999998658895
20140423,1932447.489999999757856,2078153.940000000176951,2348360.000000000000000,1989474.669999999925494,2077574.249999999767169,1966471.439999999944121,12392485.789999999105930
20140424,2090988.339999999850988,2116347.740000000223517,2342014.000000000000000,1990512.639999999897555,2086472.899999999906868,1971744.400000000139698,12598084.020000001415610
20140425,2106455.739999999757856,2104487.560000000055879,2306944.000000000000000,1980478.929999999934807,2089090.149999999674037,1873064.719999999972060,12460525.100000001490116
20140428,2187917.379999999888241,2095843.700000000186265,2249496.000000000000000,1961103.489999999990687,2139341.349999999627471,1896793.040000000037253,12530498.960000000894070
20140429,2181472.629999999888241,2116749.780000000260770,2316296.000000000000000,2031685.449999999953434,2120497.149999999441206,1908468.880000000121072,12675173.889999998733401
20140430,2173223.349999999627471,2118759.980000000447035,2373410.000000000000000,2026149.610000000102445,2114739.200000000186265,1907715.599999999860302,12714001.740000000223517
20140501,2178379.149999999906868,2112126.319999999832362,2316964.000000000000000,2062824.549999999813735,2093801.199999999953434,1940483.280000000027940,12704582.499999998137355
20140502,2182246.000000000000000,2110920.200000000186265,2315962.000000000000000,2014385.949999999953434,2077574.249999999767169,1925041.040000000037253,12626133.440000001341105
20140505,2213180.799999999813735,2101070.220000000204891,2347692.000000000000000,2028571.540000000037253,2063964.550000000046566,1950275.920000000158325,12704759.029999999329448
20140506,2189206.330000000074506,2088003.920000000158325,2336002.000000000000000,1975981.059999999823049,2044596.900000000139698,1933703.760000000242144,12567497.970000000670552
20140507,2181472.629999999888241,2103080.420000000391155,2355374.000000000000000,1932040.330000000074506,2063441.100000000093132,1965341.520000000018626,12600754.000000000000000
20140508,2165489.649999999906868,2109513.060000000055879,2340678.000000000000000,1897095.339999999850988,2074957.000000000000000,1986056.719999999972060,12573793.770000001415610
20140509,2156467.000000000000000,2111925.300000000279397,2343684.000000000000000,1910242.959999999962747,2069722.500000000000000,1984926.800000000046566,12576972.560000002384186
20140512,2183277.159999999683350,2134841.580000000074506,2384098.000000000000000,1913010.879999999888241,2092230.849999999860302,1993589.520000000018626,12701051.990000000223517
20140513,2186628.429999999701977,2153938.480000000447035,2380758.000000000000000,1928926.419999999925494,2115786.099999999627471,1996979.280000000027940,12763020.709999999031425
20140514,2187144.009999999776483,2141475.240000000223517,2387772.000000000000000,1950377.799999999813735,2106364.000000000000000,1976264.079999999841675,12749401.130000000819564
20140515,2168583.129999999888241,2110518.160000000149012,2312288.000000000000000,1933770.280000000027940,2072863.199999999953434,1953289.040000000037253,12551315.809999998658895
20140516,2200549.089999999850988,2131424.240000000223517,2329656.000000000000000,1933078.299999999813735,2084902.549999999813735,1975510.800000000046566,12655124.980000000447035
20140519,2226585.879999999888241,2118558.959999999962747,2346690.000000000000000,1949685.820000000065193,2080714.949999999953434,1980783.760000000242144,12703023.369999999180436
20140520,2227101.459999999962747,2041568.300000000279397,2365728.000000000000000,1937576.169999999925494,2077050.800000000046566,1957808.719999999972060,12606837.450000001117587
20140521,2233030.629999999888241,2068102.940000000176951,2375414.000000000000000,1957643.589999999850988,2112121.950000000186265,1978523.920000000158325,12724841.029999999329448
20140522,2236381.899999999906868,2072123.340000000083819,2367732.000000000000000,1954529.679999999934807,2099035.700000000186265,1971367.760000000242144,12701174.380000000819564
20140523,2261645.319999999832362,2091220.240000000223517,2410484.000000000000000,1965601.360000000102445,2100082.599999999627471,1996979.280000000027940,12826016.799999998882413
20140527,2304180.669999999925494,2084184.540000000270084,2422508.000000000000000,1961449.479999999748543,2103746.750000000000000,2019954.320000000065193,12896027.759999999776483
20140528,2297993.709999999962747,2068706.000000000000000,2462588.000000000000000,1951415.769999999785796,2094324.649999999906868,2013174.800000000046566,12888206.930000001564622
20140529,2340013.479999999981374,2082576.380000000121072,2495654.000000000000000,1996394.469999999972060,2111598.500000000000000,2021460.880000000121072,13047701.710000000894070
20140530,2331248.620000000111759,2055036.640000000363216,2478954.000000000000000,2001930.309999999823049,2143005.500000000000000,2022967.439999999944121,13033146.509999999776483
20140602,2315265.640000000130385,2085792.700000000186265,2497658.000000000000000,2004352.239999999990687,2135153.750000000000000,2010538.320000000065193,13048764.650000000372529
20140603,2348004.969999999739230,2100467.160000000149012,2502334.000000000000000,2003660.259999999776483,2108981.250000000000000,1989823.119999999878928,13053274.759999999776483
20140604,2374815.129999999888241,2096848.800000000279397,2496322.000000000000000,2004352.239999999990687,2110551.599999999627471,1990953.040000000037253,13073846.809999998658895
20140605,2384095.569999999832362,2150119.100000000093132,2503002.000000000000000,2010234.070000000065193,2157138.650000000372529,1998485.840000000083819,13203079.230000000447035
20140606,2377393.029999999795109,2174643.540000000502914,2527050.000000000000000,2001584.320000000065193,2171271.799999999813735,2005642.000000000000000,13257588.690000001341105
20140609,2415545.950000000186265,2186101.680000000167638,2520370.000000000000000,2004698.229999999748543,2160279.350000000558794,2001875.599999999860302,13288874.810000000521541
20140610,2429724.399999999906868,2197358.800000000279397,2528052.000000000000000,2023727.679999999934807,2151904.150000000372529,2017317.840000000083819,13348088.870000001043081
20140611,2419670.589999999850988,2184895.560000000055879,2514358.000000000000000,2034799.360000000102445,2138817.900000000372529,2002628.880000000121072,13295174.290000000968575
20140612,2379197.560000000055879,2143887.480000000447035,2473276.000000000000000,2017153.869999999878928,2124161.299999999813735,1993966.159999999916181,13131646.370000001043081
20140613,2353160.770000000018626,2146299.720000000204891,2492314.000000000000000,2015077.929999999934807,2158185.549999999813735,1989446.479999999981374,13154488.449999999254942
20140616,2376877.450000000186265,2147103.800000000279397,2487638.000000000000000,2009196.099999999860302,2172318.700000000186265,1979653.840000000083819,13172791.890000000596046
20140617,2373783.969999999739230,2144289.520000000018626,2473276.000000000000000,2008850.110000000102445,2181740.799999999813735,1984926.800000000046566,13166871.199999999254942
20140618,2376361.870000000111759,2160572.140000000130385,2497992.000000000000000,2020959.759999999776483,2180170.450000000186265,1989069.840000000083819,13225130.059999998658895
20140619,2368112.589999999850988,2155948.680000000167638,2476616.000000000000000,2017153.869999999878928,2172842.149999999441206,1980407.119999999878928,13171084.409999998286366
20140620,2343622.540000000037253,2198765.939999999944121,2495654.000000000000000,2038605.250000000000000,2181740.799999999813735,1972497.679999999934807,13230890.210000000894070
20140623,2341560.219999999739230,2186704.740000000223517,2515694.000000000000000,2024073.669999999925494,2197967.750000000000000,1972497.679999999934807,13238502.059999998658895
20140624,2327381.770000000018626,2167205.800000000279397,2488640.000000000000000,2004006.250000000000000,2185404.950000000186265,1956678.800000000046566,13129321.570000000298023
20140625,2329444.089999999850988,2179870.060000000055879,2502334.000000000000000,2036529.309999999823049,2200061.549999999813735,1968731.280000000027940,13216974.290000000968575
20140626,2343364.750000000000000,2181478.220000000204891,2478954.000000000000000,2025111.639999999897555,2183834.599999999627471,1967601.360000000102445,13180348.570000000298023
20140627,2371206.069999999832362,2186704.740000000223517,2454906.000000000000000,1990512.639999999897555,2211577.450000000186265,1970614.479999999981374,13185525.380000002682209
20140630,2395696.120000000111759,2184493.520000000018626,2447558.000000000000000,2001584.320000000065193,2182787.700000000186265,1984173.520000000018626,13196297.179999999701977
20140701,2410905.729999999981374,2194544.520000000018626,2451566.000000000000000,2024419.659999999916181,2191686.349999999627471,2017317.840000000083819,13290444.099999999627471
20140702,2409874.569999999832362,2202384.300000000279397,2450564.000000000000000,2043103.119999999878928,2193256.700000000186265,2022967.439999999944121,13322154.130000000819564
20140703,2424053.020000000018626,2232939.340000000316650,2475614.000000000000000,2048292.969999999972060,2188022.200000000186265,2038786.320000000065193,13407711.850000001490116
20140707,2474064.279999999795109,2214445.500000000000000,2436870.000000000000000,2024765.650000000139698,2197967.750000000000000,2041046.159999999916181,13389163.339999999850988
20140708,2458081.299999999813735,2200374.100000000093132,2425180.000000000000000,2012656.000000000000000,2186975.299999999813735,2027110.479999999981374,13310381.179999999701977
20140709,2459112.459999999962747,2214043.459999999962747,2435200.000000000000000,2025803.619999999878928,2181217.349999999627471,2035396.560000000055879,13350777.449999999254942
20140710,2450089.810000000055879,2198363.900000000372529,2431526.000000000000000,2026841.589999999850988,2182264.250000000000000,2029746.959999999962747,13318836.510000001639128
20140711,2454730.029999999795109,2210425.100000000093132,2454238.000000000000000,2021997.729999999748543,2203202.250000000000000,2043306.000000000000000,13387903.109999999403954
20140714,2486438.200000000186265,2213038.360000000335276,2449562.000000000000000,2013001.989999999990687,2205819.500000000000000,2081346.639999999897555,13449210.690000001341105
20140715,2457307.929999999701977,2208213.879999999888241,2451566.000000000000000,2003660.259999999776483,2222046.450000000186265,2088502.800000000046566,13431301.320000000298023
20140716,2443387.270000000018626,2239371.980000000447035,2476616.000000000000000,2011964.019999999785796,2307368.799999999813735,2096788.880000000121072,13575500.950000001117587
20140717,2399820.759999999776483,2192534.319999999832362,2456576.000000000000000,1992934.570000000065193,2330924.049999999813735,2051592.079999999841675,13424385.779999999329448
20140718,2434364.620000000111759,2214646.520000000018626,2458580.000000000000000,2018537.830000000074506,2339299.250000000000000,2073437.199999999953434,13538869.419999999925494
20140721,2421732.909999999683350,2215852.640000000130385,2466596.000000000000000,2006774.169999999925494,2347151.000000000000000,2064397.840000000083819,13522508.559999998658895
20140722,2441840.529999999795109,2212435.300000000279397,2487638.000000000000000,2021651.739999999990687,2346627.549999999813735,2083606.479999999981374,13593803.600000001490116
20140723,2505514.659999999683350,2178663.939999999944121,2563122.000000000000000,2010580.059999999823049,2348721.349999999627471,2082853.199999999953434,13689459.209999999031425
20140724,2501390.020000000018626,2111523.260000000242144,2560784.000000000000000,2014039.959999999962747,2324119.200000000186265,2097542.159999999683350,13609402.600000001490116
20140725,2517888.580000000074506,2107703.879999999888241,2554772.000000000000000,2011964.019999999785796,2329353.700000000186265,2022214.159999999916181,13543900.339999999850988
20140728,2552690.229999999981374,2093632.480000000214204,2554104.000000000000000,2005736.199999999953434,2301610.849999999627471,2017317.840000000083819,13525095.599999999627471
20140729,2536191.669999999925494,2104487.560000000055879,2542414.000000000000000,2026841.589999999850988,2297423.250000000000000,2010538.320000000065193,13517900.390000000596046
20140730,2530262.500000000000000,2078153.940000000176951,2496322.000000000000000,2009542.089999999850988,2281196.299999999813735,2015811.280000000027940,13411292.110000001266599
20140731,2464526.049999999813735,2025285.680000000167638,2429188.000000000000000,1963179.429999999934807,2259211.399999999441206,1986810.000000000000000,13128204.559999998658895
