代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13327687.459999999031425
真實報酬,3327687.459999999031425

夏普值報酬,0.324068746000000
夏普值風險,0.081672524852404
夏普值,3.967904097316063

預期報酬,12794.450234979396555
風險,160424.575717445928603
趨勢值,0.079753679744892
找到最佳解世代,2177
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),PG[21](15),UNH[23](4),
20170113,1702940.900000000139698,1798639.320000000065193,1861401.969999999972060,1663725.399999999906868,1690024.800000000046566,1480923.189999999944121,1729196.310000000288710,11926854.890000000596046
20170117,1716673.699999999953434,1785503.479999999748543,1843474.059999999823049,1664177.619999999878928,1685442.620000000111759,1502075.589999999850988,1717013.130000000121072,11914363.200000001117587
20170118,1716530.649999999906868,1792864.079999999841675,1838745.820000000065193,1662368.739999999990687,1684634.000000000000000,1497140.030000000027940,1685807.090000000316650,11878093.409999998286366
20170119,1713526.599999999860302,1800564.399999999906868,1839730.869999999878928,1653776.560000000055879,1679243.199999999953434,1493085.820000000065193,1696066.610000000102445,11875997.059999998658895
20170120,1716673.699999999953434,1806566.119999999878928,1863372.070000000065193,1670508.699999999953434,1691102.959999999962747,1541560.070000000065193,1695639.130000000121072,11985425.750000001862645
20170123,1717818.099999999860302,1787428.560000000055879,1861007.949999999953434,1662820.960000000195578,1697032.840000000083819,1532922.839999999850988,1700020.800000000046566,11959055.050000000745058
20170124,1716244.550000000046566,1818116.600000000093132,1896075.729999999981374,1701259.659999999916181,1712127.080000000074506,1548787.139999999897555,1714555.120000000344589,12107168.880000002682209
20170125,1743567.099999999860302,1895233.040000000037253,1933704.640000000130385,1709399.619999999878928,1716439.719999999972060,1536448.239999999757856,1723211.590000000316650,12258006.949999999254942
20170126,1744425.399999999906868,1915163.280000000027940,1915382.709999999962747,1698546.340000000083819,1732342.579999999841675,1526577.119999999878928,1739348.960000000195578,12271789.389999998733401
20170127,1744568.449999999953434,1899083.199999999720603,1950253.479999999981374,1717539.579999999841675,1773043.120000000111759,1528692.359999999869615,1741913.840000000316650,12355097.029999997466803
20170130,1739990.849999999860302,1874963.079999999841675,1906911.280000000027940,1692215.260000000009313,1755523.019999999785796,1529221.169999999925494,1732295.540000000270084,12231123.200000001117587
20170131,1735985.449999999953434,1850616.479999999748543,1884649.149999999906868,1665082.060000000055879,1742585.100000000093132,1544204.119999999878928,1732402.410000000149012,12155527.769999999552965
20170201,1841842.449999999953434,1856844.679999999934807,1873813.600000000093132,1651515.460000000195578,1713744.320000000065193,1539444.829999999841675,1738921.480000000214204,12216129.820000000298023
20170202,1838695.349999999860302,1837480.639999999897555,1847414.260000000009313,1658750.979999999981374,1702693.179999999934807,1547024.439999999944121,1718081.830000000074506,12150143.679999999701977
20170203,1846563.100000000093132,1839066.000000000000000,1837760.770000000018626,1651515.460000000195578,1716439.719999999972060,1540854.989999999757856,1729944.400000000139698,12162147.440000001341105
20170206,1863872.149999999906868,1856957.919999999692664,1829683.360000000102445,1640209.960000000195578,1715361.560000000055879,1540678.719999999972060,1715410.080000000074506,12162176.750000000000000
20170207,1881610.349999999860302,1885494.399999999906868,1838351.800000000046566,1643827.719999999972060,1709701.219999999972060,1551431.189999999944121,1715623.820000000298023,12226043.500000000000000
20170208,1888905.899999999906868,1855032.839999999850988,1830471.399999999906868,1645184.380000000121072,1707275.360000000102445,1557071.829999999841675,1713272.680000000167638,12197217.389999998733401
20170209,1894341.799999999813735,1860355.119999999878928,1851157.449999999953434,1603580.140000000130385,1726682.239999999990687,1563065.010000000009313,1714661.990000000223517,12213846.750000000000000
20170210,1890050.300000000046566,1882436.919999999692664,1897454.800000000046566,1598153.500000000232831,1725065.000000000000000,1550726.109999999869615,1717974.960000000195578,12261864.589999999850988
20170213,1906787.149999999906868,1902820.119999999878928,1940599.989999999990687,1618955.619999999878928,1744471.879999999888241,1556719.290000000037253,1731226.840000000316650,12401583.890000000596046
20170214,1931534.800000000046566,1908142.399999999906868,1932522.580000000074506,1624834.479999999981374,1740428.779999999795109,1548787.139999999897555,1743410.020000000251457,12429663.199999999254942
20170215,1938544.249999999767169,1917201.600000000093132,1950844.510000000009313,1630261.119999999878928,1739350.620000000111759,1606251.159999999916181,1755806.940000000176951,12538263.199999999254942
20170216,1936255.449999999953434,1934300.839999999850988,1935871.750000000000000,1646541.039999999804422,1739081.079999999841675,1600434.250000000000000,1748967.260000000242144,12541454.669999999925494
20170217,1941548.300000000046566,1955816.439999999944121,1947495.339999999850988,1649706.579999999841675,1741776.480000000214204,1605722.350000000093132,1684524.650000000139698,12526593.140000000596046
20170221,1955567.199999999720603,1988089.839999999850988,1932719.589999999850988,1651515.460000000195578,1738272.459999999962747,1615946.010000000009313,1716051.300000000046566,12598164.859999999403954
20170222,1961432.250000000232831,1985825.040000000037253,1934689.689999999944121,1631165.560000000055879,1734768.439999999944121,1611891.799999999813735,1716051.300000000046566,12575827.080000001937151
20170223,1953135.349999999860302,2002811.040000000037253,1882482.040000000037253,1636139.979999999981374,1741776.480000000214204,1606427.429999999934807,1737745.910000000149012,12560521.230000000447035
20170224,1954995.000000000000000,2009378.959999999962747,1881102.969999999972060,1651967.680000000167638,1741776.480000000214204,1605017.269999999785796,1742661.930000000167638,12586903.289999999105930
20170227,1958857.350000000093132,2031913.719999999972060,1919716.929999999934807,1651063.239999999990687,1731264.420000000158325,1602196.949999999953434,1767455.770000000251457,12662471.379999998956919
20170228,1959715.650000000139698,2040972.919999999692664,1904350.149999999906868,1637044.420000000158325,1724525.919999999925494,1605369.809999999823049,1767455.770000000251457,12639437.639999998733401
20170301,1999769.649999999906868,2082645.239999999757856,1942176.070000000065193,1624834.479999999981374,1750401.760000000009313,1615769.739999999757856,1794814.490000000223517,12810414.429999999701977
20170302,1987896.500000000000000,2072227.159999999916181,1859037.850000000093132,1623930.039999999804422,1725334.540000000037253,1602549.489999999757856,1788081.680000000167638,12659060.259999999776483
20170303,1999626.599999999860302,2063054.719999999972060,1874010.610000000102445,1623477.820000000065193,1731803.500000000000000,1595322.419999999925494,1797593.110000000102445,12684891.779999999329448
20170306,1993332.399999999906868,2048899.719999999972060,1884649.149999999906868,1608554.560000000055879,1732342.579999999841675,1593030.909999999916181,1802936.610000000102445,12663748.929999999701977
20170307,1995907.300000000046566,2061242.880000000121072,1889968.420000000158325,1618955.619999999878928,1735846.600000000093132,1591620.750000000000000,1798661.810000000288710,12692206.380000000819564
20170308,1988468.699999999953434,2058072.159999999916181,1836775.719999999972060,1610815.659999999916181,1751749.459999999962747,1588976.699999999953434,1794493.880000000121072,12629355.279999999329448
20170309,1983891.100000000093132,2044823.079999999841675,1800525.879999999888241,1619860.060000000055879,1744741.420000000158325,1592502.100000000093132,1795562.580000000074506,12581909.219999998807907
20170310,1990471.399999999674037,2023647.199999999720603,1818650.800000000046566,1623930.039999999804422,1750132.220000000204891,1605369.809999999823049,1816615.969999999972060,12628820.440000001341105
20170313,1991329.699999999720603,2027610.600000000093132,1825152.129999999888241,1590013.539999999804422,1744202.339999999850988,1609600.290000000037253,1819073.980000000214204,12606985.579999998211861
20170314,1988325.650000000139698,2023986.919999999692664,1809785.350000000093132,1590917.979999999981374,1736116.139999999897555,1604135.919999999925494,1806783.930000000167638,12560054.890000000596046
20170315,2009354.000000000000000,2023760.439999999944121,1839336.850000000093132,1587300.219999999972060,1745280.500000000000000,1611186.719999999972060,1835852.570000000298023,12652074.300000000745058
20170316,2012644.149999999906868,2017871.959999999962747,1829289.339999999850988,1589109.100000000093132,1742315.560000000055879,1611891.799999999813735,1830722.810000000288710,12633847.720000000670552
20170317,2002630.650000000139698,2039500.799999999813735,1830471.399999999906868,1594987.960000000195578,1748514.980000000214204,1604135.919999999925494,1813623.610000000102445,12633868.319999998435378
20170320,2023659.000000000000000,2031460.759999999776483,1879526.890000000130385,1602223.479999999981374,1750132.220000000204891,1608013.859999999869615,1795455.710000000195578,12690474.920000001788139
20170321,2000484.899999999906868,1992619.439999999944121,1821014.920000000158325,1584586.899999999906868,1730725.339999999850988,1607485.049999999813735,1792249.610000000102445,12529169.160000000149012
20170322,2023086.799999999813735,2004169.919999999692664,1821014.920000000158325,1599510.159999999916181,1752827.620000000111759,1603959.649999999906868,1785089.320000000298023,12589661.390000000596046
20170323,2015934.299999999813735,2007340.639999999897555,1817074.719999999972060,1594987.960000000195578,1748514.980000000214204,1600081.709999999962747,1766493.940000000176951,12550431.249999998137355
20170324,2011928.899999999674037,1991034.079999999841675,1815498.640000000130385,1590013.539999999804422,1751479.920000000158325,1596556.309999999823049,1763394.710000000195578,12519909.100000001490116
20170327,2015362.099999999860302,1994204.799999999813735,1802890.000000000000000,1600414.600000000093132,1754714.399999999906868,1595146.149999999906868,1759119.910000000149012,12521854.960000000894070
20170328,2057132.700000000186265,2008473.040000000037253,1831259.439999999944121,1609911.219999999972060,1759835.660000000149012,1599905.439999999944121,1767135.160000000149012,12633655.659999998286366
20170329,2061710.300000000046566,2011530.519999999785796,1829486.350000000093132,1608554.560000000055879,1764687.379999999888241,1597085.119999999878928,1746722.990000000223517,12619780.219999998807907
20170330,2058992.350000000093132,2015493.919999999692664,1836578.709999999962747,1616694.520000000018626,1771156.339999999850988,1590034.320000000065193,1763287.840000000316650,12652241.000000000000000
20170331,2055130.000000000000000,2002811.040000000037253,1827516.250000000000000,1631165.560000000055879,1775199.439999999944121,1583864.869999999878928,1752814.580000000074506,12628504.739999998360872
20170403,2055702.199999999720603,2000433.000000000000000,1817862.760000000009313,1635235.539999999804422,1766843.699999999953434,1580868.280000000027940,1769700.040000000270084,12626648.519999999552965
20170404,2071008.550000000046566,2023647.199999999720603,1854506.619999999878928,1640662.180000000167638,1771695.420000000158325,1584922.489999999757856,1763074.100000000093132,12709519.560000000521541
20170405,2060279.800000000046566,2005302.320000000065193,1856673.729999999981374,1637948.859999999869615,1767113.239999999990687,1585980.109999999869615,1767348.900000000139698,12680649.959999999031425
20170406,2055130.000000000000000,2008586.280000000027940,1887801.309999999823049,1629356.680000000167638,1771695.420000000158325,1575932.719999999972060,1767028.290000000270084,12695533.700000001117587
20170407,2050552.399999999906868,2025345.799999999813735,1881891.010000000009313,1629356.680000000167638,1770347.720000000204891,1572936.129999999888241,1774295.450000000419095,12704728.190000003203750
20170410,2048120.549999999813735,2010737.839999999850988,1913806.629999999888241,1618955.619999999878928,1766304.620000000111759,1577519.149999999906868,1768524.469999999972060,12703971.880000000819564
20170411,2026090.849999999860302,2022175.079999999841675,1913018.589999999850988,1616242.300000000046566,1764956.920000000158325,1582983.519999999785796,1772264.920000000391155,12697735.179999999701977
20170412,2028522.700000000186265,1993638.600000000093132,1868888.350000000093132,1611267.880000000121072,1758218.420000000158325,1591973.290000000037253,1769379.430000000167638,12621891.670000001788139
20170413,2017793.950000000186265,1988769.280000000027940,1834214.589999999850988,1594083.520000000018626,1750671.300000000046566,1587037.729999999981374,1762967.230000000214204,12535540.600000001490116
20170417,2028951.850000000093132,2027270.880000000121072,1854703.629999999888241,1604484.579999999841675,1764956.920000000158325,1593383.449999999953434,1786692.370000000344589,12660446.680000001564622
20170418,2019939.699999999720603,2014021.799999999813735,1859628.879999999888241,1617598.960000000195578,1762531.060000000055879,1600610.519999999785796,1801761.040000000270084,12676094.959999999031425
20170419,2012501.100000000093132,2020250.000000000000000,1841503.959999999962747,1623930.039999999804422,1753097.160000000149012,1579458.119999999878928,1808814.460000000195578,12639557.840000001713634
20170420,2037677.899999999906868,2030441.600000000093132,1864948.149999999906868,1636139.979999999981374,1765496.000000000000000,1574698.829999999841675,1833287.690000000176951,12742693.150000000372529
20170421,2035246.050000000046566,2042671.519999999785796,1858249.809999999823049,1642471.060000000055879,1789754.600000000093132,1562183.659999999916181,1829226.630000000121072,12759806.330000000074506
20170424,2054843.899999999674037,2061695.839999999850988,1907305.300000000046566,1661916.520000000018626,1820212.620000000111759,1578576.769999999785796,1841730.420000000391155,12926284.369999999180436
20170425,2067575.349999999860302,2078115.639999999897555,2057229.909999999916181,1667343.159999999916181,1830724.679999999934807,1586508.919999999925494,1860005.190000000176951,13147505.849999999627471
20170426,2055416.100000000093132,2057732.439999999944121,2061958.149999999906868,1670056.479999999981374,1828298.820000000065193,1546671.899999999906868,1863638.770000000251457,13083775.660000000149012
20170427,2056989.649999999906868,2074831.679999999934807,2022950.170000000158325,1692667.479999999981374,1840158.579999999841675,1545790.549999999813735,1866310.520000000251457,13099701.629999998956919
20170428,2054986.949999999953434,2093063.320000000065193,2014675.750000000000000,1634783.320000000065193,1845279.839999999850988,1539444.829999999841675,1868982.270000000251457,13051219.279999999329448
20170501,2096900.600000000093132,2065432.759999999776483,2009553.489999999990687,1642018.840000000083819,1870886.139999999897555,1535214.350000000093132,1865883.040000000270084,13085892.220000000670552
20170502,2110204.250000000000000,2077322.959999999962747,1999900.000000000000000,1671865.359999999869615,1867921.199999999953434,1519878.859999999869615,1861073.890000000130385,13108169.519999999552965
20170503,2103767.000000000000000,2076756.759999999776483,2000491.030000000027940,1672317.579999999841675,1861991.320000000065193,1523580.530000000027940,1843974.690000000176951,13082881.909999998286366
20170504,2096185.349999999860302,2073133.079999999841675,1958133.879999999888241,1666438.719999999972060,1854713.739999999990687,1523933.070000000065193,1859791.450000000419095,13032332.290000000968575
20170505,2130946.500000000000000,2095101.639999999897555,1963059.129999999888241,1665082.060000000055879,1859835.000000000000000,1524814.419999999925494,1860860.150000000139698,13099701.900000000372529
20170508,2188881.750000000000000,2106538.879999999888241,1957739.860000000102445,1652419.899999999906868,1858217.760000000009313,1525695.769999999785796,1864279.990000000223517,13153776.910000000149012
20170509,2202900.650000000372529,2116617.239999999757856,1956163.780000000027940,1644732.159999999916181,1860913.160000000149012,1523051.719999999972060,1851455.590000000316650,13155837.300000002607703
20170510,2192458.000000000000000,2074378.719999999972060,1977243.850000000093132,1628452.239999999990687,1868190.739999999990687,1524638.149999999906868,1853058.640000000130385,13118423.340000001713634
20170511,2202328.450000000186265,2082984.959999999962747,1989655.479999999981374,1613981.199999999953434,1845279.839999999850988,1518997.510000000009313,1852310.550000000046566,13105540.990000000223517
20170512,2233084.200000000186265,2075171.399999999906868,1984139.199999999953434,1606745.680000000167638,1843123.519999999785796,1519350.049999999813735,1836173.180000000167638,13097790.230000000447035
20170515,2227362.200000000186265,2065432.759999999776483,2017827.909999999916181,1611267.880000000121072,1844471.220000000204891,1521817.829999999841675,1833180.820000000298023,13121363.620000001043081
20170516,2224072.049999999813735,2068943.199999999720603,2016251.830000000074506,1619860.060000000055879,1870886.139999999897555,1520231.399999999906868,1796738.150000000139698,13116985.830000001937151
20170517,2149399.950000000186265,2024553.119999999878928,1972909.629999999888241,1584586.899999999906868,1818864.920000000158325,1520583.939999999944121,1804646.530000000260770,12875547.989999998360872
20170518,2182158.399999999441206,2008926.000000000000000,1974485.709999999962747,1592726.859999999869615,1825064.339999999850988,1513709.409999999916181,1832325.860000000102445,12929399.579999998211861
20170519,2189597.000000000000000,2046974.639999999897555,2018024.920000000158325,1600866.820000000065193,1824525.260000000009313,1520231.399999999906868,1844509.040000000270084,13044732.080000001937151
20170522,2202900.650000000372529,2079927.479999999748543,2015266.780000000027940,1617598.960000000195578,1845010.300000000046566,1519702.589999999850988,1867058.610000000102445,13147468.369999999180436
20170523,2200182.700000000186265,2077889.159999999916181,2041666.119999999878928,1621668.939999999944121,1851209.720000000204891,1517411.079999999841675,1872615.850000000093132,13182646.570000000298023
20170524,2193602.400000000372529,2097819.399999999906868,2047970.439999999944121,1633426.659999999916181,1853635.579999999841675,1524814.419999999925494,1876570.040000000270084,13227841.940000001341105
20170525,2201184.049999999813735,2118429.079999999608845,2069050.510000000009313,1639757.739999999990687,1876546.480000000214204,1531160.139999999897555,1902860.060000000288710,13338991.060000000521541
20170526,2197464.750000000000000,2112993.560000000055879,2081659.149999999906868,1639757.739999999990687,1885710.839999999850988,1538034.669999999925494,1896982.210000000195578,13352605.920000001788139
20170530,2198323.049999999813735,2116277.520000000018626,2077915.959999999962747,1636139.979999999981374,1897840.139999999897555,1540678.719999999972060,1887257.040000000270084,13354435.410000002011657
20170531,2185305.500000000000000,2124770.520000000018626,2077127.920000000158325,1632974.439999999944121,1882476.360000000102445,1552841.350000000093132,1872188.370000000344589,13327687.459999999031425
