代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12657730.920000001788139
真實報酬,2657730.920000001788139

夏普值報酬,0.257073092000000
夏普值風險,0.067373838499335
夏普值,3.815621875285285

預期報酬,10076.660904889386075
風險,130709.325527628854616
趨勢值,0.077092134506955
找到最佳解世代,2146
找到最佳解實驗#,2
找到最佳解次數,32

stock[index](rank)
投資組合檔數,8
AAPL[0](8),BA[2](9),CAT[3](15),DD[7](1),MCD[15](23),MRK[17](13),PFE[20](14),UNH[23](7),
20131219,1513226.149999999906868,1706321.449999999953434,1275348.320000000298023,1592611.850000000093132,1231491.510000000009313,1305940.939999999711290,1409749.400000000139698,1444790.080000000074506,11479479.699999999254942
20131220,1525871.900000000139698,1725255.949999999953434,1295597.840000000083819,1588281.439999999944121,1249223.420000000158325,1320126.919999999925494,1388633.100000000093132,1463949.759999999776483,11556940.330000000074506
20131223,1584431.449999999953434,1721847.740000000223517,1310602.879999999888241,1591847.659999999916181,1246505.389999999897555,1321197.559999999823049,1393223.600000000093132,1483907.759999999776483,11653564.039999999105930
20131224,1577816.750000000000000,1727275.630000000121072,1324442.479999999981374,1611461.869999999878928,1249611.709999999962747,1322535.859999999636784,1390469.300000000046566,1479516.999999999767169,11683130.599999999627471
20131226,1567311.050000000046566,1745452.750000000232831,1327938.800000000279397,1627255.129999999888241,1253494.610000000102445,1330833.319999999832362,1402404.600000000093132,1493886.759999999776483,11748577.019999999552965
20131227,1556610.800000000046566,1728159.240000000223517,1323859.760000000242144,1617830.119999999878928,1254400.619999999878928,1332706.939999999711290,1406536.050000000046566,1490693.479999999981374,11710797.010000001639128
20131230,1541241.350000000093132,1715788.699999999953434,1323859.760000000242144,1617830.119999999878928,1255694.920000000158325,1336721.839999999850988,1408831.300000000046566,1492489.699999999953434,11692457.690000001341105
20131231,1559334.500000000000000,1722983.810000000055879,1322985.680000000167638,1610697.679999999701977,1255953.780000000027940,1339666.099999999627471,1406077.000000000000000,1502867.859999999869615,11720566.410000000149012
20140102,1537350.349999999860302,1725255.949999999953434,1309291.760000000242144,1591338.199999999953434,1247929.119999999878928,1324677.139999999897555,1398273.150000000139698,1488298.519999999785796,11622414.190000001341105
20140103,1503498.649999999906868,1737247.800000000046566,1308563.360000000102445,1584205.759999999776483,1249611.709999999962747,1331100.979999999748543,1401027.450000000186265,1498876.259999999776483,11614131.970000000670552
20140106,1511669.750000000000000,1747219.969999999972060,1291373.120000000111759,1581403.729999999748543,1240681.039999999804422,1331368.639999999897555,1402404.600000000093132,1481712.379999999888241,11587833.230000000447035
20140107,1500969.500000000000000,1773728.270000000018626,1295597.840000000083819,1563827.359999999869615,1247540.829999999841675,1341272.059999999823049,1411126.550000000046566,1527017.040000000037253,11661079.450000002980232
20140108,1510502.449999999953434,1777641.399999999906868,1298657.120000000111759,1565610.469999999972060,1234986.119999999878928,1332706.939999999711290,1420766.600000000093132,1509254.420000000158325,11650125.519999999552965
20140109,1491242.000000000000000,1794177.530000000027940,1306960.879999999888241,1545486.800000000046566,1235633.270000000018626,1325480.119999999878928,1419848.500000000000000,1518435.099999999860302,11637264.199999999254942
20140110,1481125.399999999906868,1791274.240000000223517,1318615.280000000260770,1549307.750000000000000,1240033.889999999897555,1335115.879999999888241,1408831.300000000046566,1490893.060000000055879,11615196.800000000745058
20140113,1488907.399999999906868,1776126.639999999897555,1309583.120000000111759,1519759.069999999832362,1227479.179999999934807,1421837.719999999739230,1401945.550000000046566,1475724.979999999981374,11621363.660000000149012
20140114,1518673.550000000046566,1767416.770000000018626,1319343.680000000167638,1547269.909999999916181,1232526.949999999953434,1418625.799999999813735,1423061.850000000093132,1477321.619999999878928,11704240.129999998956919
20140115,1549023.350000000093132,1775116.800000000046566,1346294.479999999981374,1561789.520000000018626,1235633.270000000018626,1405778.119999999878928,1431324.750000000000000,1493687.179999999934807,11798647.469999998807907
20140116,1540463.150000000139698,1769941.370000000111759,1340467.280000000260770,1563063.169999999925494,1243399.070000000065193,1405242.799999999813735,1430865.700000000186265,1452174.540000000037253,11745617.079999998211861
20140117,1502720.449999999953434,1773097.120000000111759,1332163.520000000018626,1562553.709999999962747,1228773.479999999981374,1390521.500000000000000,1427193.300000000046566,1447384.619999999878928,11664407.699999999254942
20140121,1526066.449999999953434,1788370.949999999953434,1319926.399999999906868,1666228.819999999832362,1230714.929999999934807,1387309.579999999841675,1433620.000000000000000,1460157.739999999990687,11812394.869999999180436
20140122,1532875.700000000186265,1822453.050000000046566,1305941.120000000111759,1657058.539999999804422,1228126.329999999841675,1374461.899999999906868,1435456.200000000186265,1464947.660000000149012,11821320.500000000000000
20140123,1545716.000000000000000,1783826.670000000158325,1289042.240000000223517,1622415.259999999776483,1233821.250000000000000,1381153.399999999906868,1423520.900000000139698,1460956.060000000055879,11740451.780000001192093
20140124,1517700.800000000046566,1725003.490000000223517,1255390.160000000149012,1574780.750000000000000,1222301.979999999981374,1391324.479999999748543,1381288.300000000046566,1429023.259999999776483,11496813.220000000670552
20140127,1529957.449999999953434,1733965.820000000298023,1329978.320000000298023,1563572.629999999888241,1217642.500000000000000,1406045.779999999795109,1361549.150000000139698,1430021.160000000149012,11572732.810000000521541
20140128,1407780.050000000046566,1730557.610000000102445,1347168.560000000055879,1562044.250000000000000,1219066.229999999981374,1415146.219999999739230,1396436.950000000186265,1431218.639999999897555,11509418.510000001639128
20140129,1391826.950000000186265,1638283.479999999981374,1320217.760000000242144,1622669.989999999990687,1205734.940000000176951,1397480.659999999916181,1382206.400000000139698,1422237.540000000037253,11380657.720000002533197
20140130,1389103.250000000000000,1597258.729999999981374,1357803.200000000186265,1643812.579999999841675,1214147.889999999897555,1432276.459999999729916,1414798.950000000186265,1452972.859999999869615,11502173.919999998062849
20140131,1391243.300000000046566,1581227.520000000018626,1368146.479999999981374,1650945.020000000018626,1218936.800000000046566,1417822.819999999832362,1395518.850000000093132,1442594.699999999953434,11466435.489999998360872
20140203,1393967.000000000000000,1553709.380000000121072,1346440.160000000149012,1621141.609999999869615,1204052.349999999860302,1394001.079999999841675,1404699.850000000093132,1411859.379999999888241,11329870.809999998658895
20140204,1414005.650000000139698,1540581.460000000195578,1347605.600000000093132,1631076.079999999841675,1204958.360000000102445,1432276.459999999729916,1443260.050000000046566,1407269.040000000037253,11421032.700000002980232
20140205,1424705.900000000139698,1532502.740000000223517,1339738.879999999888241,1627000.399999999906868,1211300.429999999934807,1432811.779999999795109,1406995.100000000093132,1413456.019999999785796,11388511.249999998137355
20140206,1424511.350000000093132,1548533.949999999953434,1366981.040000000037253,1653747.050000000046566,1228902.909999999916181,1439235.619999999878928,1415717.050000000046566,1414453.920000000158325,11492082.890000000596046
20140207,1444355.449999999953434,1603444.000000000000000,1382131.760000000242144,1654256.509999999776483,1241587.050000000046566,1466001.619999999878928,1433160.949999999953434,1424233.339999999850988,11649170.679999999701977
20140210,1470230.599999999860302,1605211.219999999972060,1376741.600000000093132,1662917.329999999841675,1227867.469999999972060,1469213.539999999804422,1444637.199999999953434,1391901.379999999888241,11648720.339999999850988
20140211,1489685.599999999860302,1643080.219999999972060,1383442.879999999888241,1699088.989999999990687,1234080.110000000102445,1490894.000000000000000,1463458.250000000000000,1409464.420000000158325,11813194.470000000670552
20140212,1489491.050000000046566,1617455.530000000027940,1401070.160000000149012,1682276.810000000055879,1228255.760000000009313,1472157.799999999813735,1451063.900000000139698,1401880.379999999888241,11743651.390000000596046
20140213,1513226.149999999906868,1634749.040000000037253,1400196.080000000074506,1679729.509999999776483,1235633.270000000018626,1474834.399999999906868,1455195.350000000093132,1421239.639999999897555,11814803.439999999478459
20140214,1511864.299999999813735,1643080.219999999972060,1406606.000000000000000,1694503.849999999860302,1239775.030000000027940,1483934.839999999850988,1466212.550000000046566,1467342.619999999878928,11913319.409999998286366
20140218,1517506.250000000000000,1649013.030000000027940,1406751.680000000167638,1697051.149999999906868,1242881.349999999860302,1490626.339999999850988,1463458.250000000000000,1473529.599999999860302,11940817.650000000372529
20140219,1493576.599999999860302,1620737.509999999776483,1401652.879999999888241,1684569.379999999888241,1236798.139999999897555,1473228.439999999711290,1445096.250000000000000,1467941.359999999869615,11823600.559999998658895
20140220,1476261.649999999906868,1635506.420000000158325,1411996.160000000149012,1710042.379999999888241,1239386.739999999990687,1493838.259999999776483,1448309.600000000093132,1466544.300000000046566,11881885.509999999776483
20140221,1459919.450000000186265,1619348.979999999981374,1420445.600000000093132,1703674.129999999888241,1248446.840000000083819,1499726.779999999795109,1444178.150000000139698,1473130.439999999944121,11868870.369999999180436
20140224,1466145.050000000046566,1635885.110000000102445,1417823.360000000102445,1703164.669999999925494,1249093.989999999990687,1503741.679999999701977,1468507.800000000046566,1517038.040000000037253,11961399.699999999254942
20140225,1450970.149999999906868,1600414.479999999981374,1404566.479999999981374,1713099.139999999897555,1250647.150000000139698,1496514.859999999636784,1463917.300000000046566,1503267.019999999785796,11883396.580000000074506
20140226,1437935.300000000046566,1598268.570000000065193,1416075.200000000186265,1735005.919999999925494,1241198.760000000009313,1506150.619999999878928,1468507.800000000046566,1518035.939999999944121,11921178.109999999403954
20140227,1466534.149999999906868,1622883.420000000158325,1408791.200000000186265,1759714.729999999748543,1230714.929999999934807,1516589.359999999636784,1479525.000000000000000,1517237.619999999878928,12001990.409999998286366
20140228,1462643.150000000139698,1627427.699999999953434,1412724.560000000055879,1767101.899999999906868,1231620.940000000176951,1525422.139999999897555,1474016.400000000139698,1542185.119999999878928,12043141.910000000149012
20140303,1466728.699999999953434,1618591.600000000093132,1403109.680000000167638,1757167.429999999934807,1220878.250000000000000,1510165.519999999785796,1468048.750000000000000,1538792.259999999776483,11983482.189999999478459
20140304,1476456.199999999953434,1643963.829999999841675,1413452.959999999962747,1794358.009999999776483,1229420.630000000121072,1527295.759999999776483,1500641.300000000046566,1559348.999999999767169,12144937.690000001341105
20140305,1479569.000000000000000,1625786.709999999962747,1403983.760000000242144,1810660.729999999748543,1229938.349999999860302,1522477.879999999888241,1503395.600000000093132,1556554.879999999888241,12132366.910000000149012
20140306,1475094.349999999860302,1626670.320000000298023,1421902.399999999906868,1805820.859999999869615,1237186.429999999934807,1532648.959999999729916,1490083.150000000139698,1549569.580000000074506,12138976.049999998882413
20140307,1474316.149999999906868,1622630.959999999962747,1413890.000000000000000,1796141.120000000111759,1236150.989999999990687,1538269.819999999832362,1488706.000000000000000,1544779.660000000149012,12114884.699999999254942
20140310,1475678.000000000000000,1601803.010000000009313,1409519.600000000093132,1807603.969999999739230,1232268.090000000083819,1534254.919999999925494,1486869.800000000046566,1554359.499999999767169,12102356.890000000596046
20140311,1489880.149999999906868,1586402.949999999953434,1410830.720000000204891,1786970.840000000083819,1278604.030000000027940,1517392.339999999850988,1488246.950000000186265,1552363.699999999953434,12110691.679999999701977
20140312,1491436.550000000046566,1570750.430000000167638,1410539.360000000102445,1778564.749999999767169,1277698.020000000018626,1520604.259999999776483,1468048.750000000000000,1548771.259999999776483,12066413.380000000819564
20140313,1474899.800000000046566,1538688.010000000009313,1392912.080000000074506,1768120.819999999832362,1260354.400000000139698,1493302.939999999711290,1428570.450000000186265,1536996.040000000037253,11893844.539999999105930
20140314,1458363.049999999813735,1554088.070000000065193,1389707.120000000111759,1764809.329999999841675,1263072.429999999934807,1490894.000000000000000,1433620.000000000000000,1510851.060000000055879,11865405.060000000521541
20140317,1464005.000000000000000,1583247.199999999953434,1393786.160000000149012,1777545.829999999841675,1263331.289999999804422,1505882.959999999729916,1442341.950000000186265,1532006.540000000037253,11962146.929999999701977
20140318,1476845.300000000046566,1565827.460000000195578,1404566.479999999981374,1801745.179999999934807,1259577.820000000065193,1508559.559999999823049,1465753.500000000000000,1556754.459999999962747,12039629.760000001639128
20140319,1476456.199999999953434,1543106.060000000055879,1399176.320000000298023,1799707.340000000083819,1243916.789999999804422,1498656.139999999897555,1455654.400000000139698,1595872.139999999897555,12012545.390000000596046
20140320,1469452.399999999906868,1561914.330000000074506,1401652.879999999888241,1822633.039999999804422,1250388.289999999804422,1487949.739999999990687,1464835.400000000139698,1627206.199999999953434,12086032.279999999329448
20140321,1480930.850000000093132,1547397.880000000121072,1418843.120000000111759,1821359.389999999897555,1235762.699999999953434,1463057.359999999636784,1477229.750000000000000,1623414.179999999934807,12067995.230000000447035
20140324,1498634.899999999906868,1558001.199999999953434,1410976.399999999906868,1819576.280000000027940,1244952.229999999981374,1439503.279999999795109,1445555.300000000046566,1622216.699999999953434,12039416.289999999105930
20140325,1514782.550000000046566,1565575.000000000000000,1436324.720000000204891,1837152.649999999906868,1241457.619999999878928,1477243.339999999850988,1460703.950000000186265,1618624.259999999776483,12151864.089999997988343
20140326,1500191.300000000046566,1559389.729999999981374,1424816.000000000000000,1793084.359999999869615,1240551.610000000102445,1499459.119999999878928,1477229.750000000000000,1627405.780000000027940,12122127.650000000372529
20140327,1493771.149999999906868,1555350.369999999878928,1434285.200000000186265,1740864.709999999962747,1244693.369999999878928,1491696.979999999748543,1473557.350000000093132,1617027.619999999878928,12051246.749999998137355
20140328,1492020.199999999953434,1571129.119999999878928,1447979.120000000111759,1748506.609999999869615,1258671.809999999823049,1498388.479999999748543,1463458.250000000000000,1629002.420000000158325,12109156.009999997913837
20140331,1491825.650000000139698,1584130.810000000055879,1447687.760000000242144,1762771.489999999990687,1268896.780000000027940,1519533.619999999878928,1474475.449999999953434,1636386.879999999888241,12185708.440000001341105
20140401,1505444.149999999906868,1618465.370000000111759,1454097.680000000167638,1803273.560000000055879,1267214.190000000176951,1508827.219999999739230,1466671.600000000093132,1633393.179999999934807,12257386.949999999254942
20140402,1507973.300000000046566,1619727.670000000158325,1495179.439999999944121,1810151.270000000018626,1263201.860000000102445,1511236.159999999916181,1482279.300000000046566,1628802.839999999850988,12318551.839999999850988
20140403,1497467.600000000093132,1625660.479999999981374,1494014.000000000000000,1797924.229999999748543,1264107.869999999878928,1504544.659999999916181,1487328.850000000093132,1641575.959999999962747,12312623.649999998509884
20140404,1478012.600000000093132,1607988.280000000027940,1488478.160000000149012,1766337.709999999962747,1266825.900000000139698,1502135.719999999739230,1476311.649999999906868,1627206.199999999953434,12213296.220000000670552
20140407,1454861.149999999906868,1585393.110000000102445,1473036.080000000074506,1738826.870000000111759,1255694.920000000158325,1477243.339999999850988,1432242.850000000093132,1618225.099999999860302,12035523.419999998062849
20140408,1454861.149999999906868,1567215.990000000223517,1491683.120000000111759,1743921.469999999739230,1269543.929999999934807,1473228.439999999711290,1417094.200000000186265,1609842.739999999990687,12027391.040000000968575
20140409,1473927.050000000046566,1601676.780000000027940,1500423.919999999925494,1776526.909999999683350,1273038.539999999804422,1528366.399999999906868,1433620.000000000000000,1624412.080000000074506,12211991.679999999701977
20140410,1454861.149999999906868,1560778.260000000009313,1489789.280000000260770,1730420.780000000027940,1287016.979999999981374,1494908.899999999906868,1405158.900000000139698,1596470.879999999888241,12019405.130000002682209
20140411,1444160.900000000139698,1540960.149999999906868,1477989.200000000186265,1703164.669999999925494,1285204.959999999962747,1496782.519999999785796,1370730.150000000139698,1575714.560000000055879,11894707.110000001266599
20140414,1449997.399999999906868,1555855.290000000037253,1497364.640000000130385,1723033.609999999869615,1295818.219999999972060,1487414.419999999925494,1371189.200000000186265,1580304.900000000139698,11960977.679999997839332
20140415,1439491.699999999953434,1568730.750000000000000,1493285.600000000093132,1725580.909999999683350,1305137.179999999934807,1500262.099999999627471,1372107.300000000046566,1586891.040000000037253,11991486.580000001937151
20140416,1442409.949999999953434,1591073.460000000195578,1499549.840000000083819,1759459.999999999767169,1305137.179999999934807,1505882.959999999729916,1381288.300000000046566,1560546.479999999981374,12045348.169999999925494
20140417,1458946.699999999953434,1614804.699999999953434,1498093.040000000037253,1767356.629999999888241,1297630.239999999990687,1511503.819999999832362,1388633.100000000093132,1512447.699999999953434,12049415.929999997839332
20140421,1476261.649999999906868,1613542.399999999906868,1495325.120000000111759,1768375.550000000046566,1290123.300000000046566,1532381.299999999813735,1416635.150000000139698,1495882.560000000055879,12088527.030000001192093
20140422,1477818.049999999813735,1610134.189999999944121,1510621.520000000018626,1775507.989999999990687,1285593.250000000000000,1546299.619999999878928,1423061.850000000093132,1512048.540000000037253,12141085.009999997913837
20140423,1458363.049999999813735,1649013.030000000027940,1506105.439999999944121,1791046.520000000018626,1283134.079999999841675,1539072.799999999813735,1419389.450000000186265,1503466.599999999860302,12149590.969999996945262
20140424,1578011.300000000046566,1639293.320000000298023,1533784.640000000130385,1786206.649999999906868,1292323.610000000102445,1539875.779999999795109,1409749.400000000139698,1528613.679999999934807,12307858.380000000819564
20140425,1589684.299999999813735,1624145.719999999972060,1525189.520000000018626,1759459.999999999767169,1303842.880000000121072,1532113.639999999897555,1411585.600000000093132,1510052.739999999990687,12256074.399999998509884
20140428,1651162.100000000093132,1603696.460000000195578,1518925.280000000260770,1715646.439999999711290,1298406.820000000065193,1517124.679999999701977,1470803.050000000046566,1511649.379999999888241,12287414.210000000894070
20140429,1646298.350000000093132,1620485.050000000046566,1534076.000000000000000,1766592.439999999711290,1313808.989999999990687,1571727.319999999832362,1457949.650000000139698,1500872.060000000055879,12411809.860000001266599
20140430,1640072.750000000000000,1628690.000000000232831,1535532.800000000279397,1810151.270000000018626,1312255.829999999841675,1567444.759999999776483,1435915.250000000232831,1497678.780000000027940,12427741.439999999478459
20140501,1643963.750000000000000,1621621.120000000111759,1530725.360000000102445,1767101.899999999906868,1306819.770000000018626,1595816.719999999739230,1429947.600000000093132,1495882.560000000055879,12391878.780000001192093
20140502,1646882.000000000000000,1640303.159999999916181,1529851.280000000260770,1766337.709999999962747,1312902.979999999981374,1558344.319999999832362,1411585.600000000093132,1497479.199999999953434,12363686.250000000000000
20140505,1670228.000000000000000,1665801.620000000111759,1522712.959999999962747,1790537.060000000055879,1309149.510000000009313,1569318.379999999888241,1375320.650000000139698,1501470.800000000046566,12404538.980000002309680
20140506,1652134.850000000093132,1651537.630000000121072,1513243.760000000242144,1781621.509999999776483,1306690.340000000083819,1528634.059999999823049,1350991.000000000000000,1502069.540000000037253,12286922.690000001341105
20140507,1646298.350000000093132,1645478.589999999850988,1524169.760000000242144,1796395.849999999860302,1319762.770000000018626,1494641.239999999990687,1332169.950000000186265,1554958.239999999990687,12313874.750000001862645
20140508,1634236.250000000000000,1648255.649999999906868,1528831.520000000018626,1785187.729999999748543,1319633.340000000083819,1467607.579999999841675,1339055.700000000186265,1534601.080000000074506,12257408.849999999627471
20140509,1627427.000000000000000,1654945.839999999850988,1530579.680000000167638,1787480.300000000046566,1332317.479999999981374,1477778.659999999916181,1332629.000000000232831,1535798.560000000055879,12278956.519999999552965
20140512,1647660.199999999953434,1673880.339999999850988,1547187.200000000186265,1818302.629999999888241,1331411.469999999972060,1479919.939999999711290,1337219.500000000000000,1551565.379999999888241,12387146.660000000149012
20140513,1650189.349999999860302,1684609.889999999897555,1561026.800000000279397,1815755.329999999841675,1340083.280000000027940,1492232.299999999813735,1340432.850000000093132,1557552.780000000027940,12441882.579999998211861
20140514,1650578.449999999953434,1678803.310000000055879,1551994.640000000130385,1821104.659999999683350,1333611.780000000027940,1508827.219999999739230,1335842.350000000093132,1540189.320000000065193,12420951.730000000447035
20140515,1636570.850000000093132,1656334.370000000111759,1529559.919999999925494,1763535.679999999934807,1326751.989999999990687,1495979.539999999804422,1334006.150000000139698,1526418.300000000046566,12269156.800000000745058
20140516,1660695.050000000046566,1651285.170000000158325,1544710.640000000130385,1776781.639999999897555,1335035.510000000009313,1495444.219999999739230,1336760.450000000186265,1529811.160000000149012,12330523.839999999850988
20140519,1680344.600000000093132,1658101.589999999850988,1535387.120000000111759,1789772.870000000111759,1321445.360000000102445,1508291.899999999906868,1344105.250000000232831,1540788.060000000055879,12378236.750000001862645
20140520,1680733.699999999953434,1635758.880000000121072,1479591.680000000167638,1804292.479999999748543,1314197.280000000027940,1498923.799999999813735,1342728.100000000093132,1530010.739999999990687,12286236.660000000149012
20140521,1685208.350000000093132,1653178.620000000111759,1498821.439999999944121,1811679.649999999906868,1327528.570000000065193,1514448.079999999841675,1357417.700000000186265,1551166.219999999972060,12399448.630000000819564
20140522,1687737.500000000000000,1664286.860000000102445,1501735.040000000037253,1805820.859999999869615,1326104.840000000083819,1512039.139999999897555,1361549.150000000139698,1563540.179999999934807,12422813.570000000298023
20140523,1706803.400000000139698,1671481.969999999972060,1515574.640000000130385,1838426.300000000046566,1320280.489999999990687,1520604.259999999776483,1353745.300000000046566,1572122.119999999878928,12499038.479999998584390
20140527,1738904.149999999906868,1693698.449999999953434,1510475.840000000083819,1847596.579999999841675,1324939.969999999972060,1517392.339999999850988,1359253.900000000139698,1578907.839999999850988,12571169.069999998435378
20140528,1734234.949999999953434,1695718.130000000121072,1499258.479999999981374,1878164.179999999934807,1311220.389999999897555,1509630.199999999720603,1359253.900000000139698,1568330.099999999860302,12555810.330000000074506
20140529,1765946.599999999860302,1705942.759999999776483,1509310.399999999906868,1903382.449999999953434,1311738.110000000102445,1544426.000000000000000,1358794.850000000093132,1584096.920000000158325,12683638.089999999850988
20140530,1759331.900000000139698,1707331.290000000037253,1489352.240000000223517,1890645.949999999953434,1312902.979999999981374,1548708.559999999823049,1360172.000000000000000,1589285.999999999767169,12657730.920000001788139
