代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13939816.940000001341105
真實報酬,3939816.940000001341105

夏普值報酬,0.385281694000000
夏普值風險,0.100810132582930
夏普值,3.821854848599214

預期報酬,16110.808645935543609
風險,230888.985438501345925
趨勢值,0.069777294119674
找到最佳解世代,2006
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
BA[2](4),DD[7](12),GS[8](9),TRV[22](13),UNH[23](18),V[25](1),
20130620,2386003.839999999850988,1910820.920000000391155,2278469.529999999329448,1947938.319999999832362,1919020.419999999925494,2215265.349999999627471,12657522.379999998956919
20130621,2394145.480000000447035,1878482.520000000251457,2261462.769999999552965,1930602.959999999729916,1922028.219999999972060,2228173.570000000298023,12614899.520000001415610
20130624,2343140.500000000000000,1862313.320000000298023,2210589.099999999627471,1900815.439999999711290,1944586.720000000204891,2212783.000000000000000,12474232.080000000074506
20130625,2362776.219999999739230,1870802.150000000139698,2244016.179999999701977,1914976.719999999972060,1916914.959999999962747,2240088.849999999627471,12549579.080000000074506
20130626,2412583.900000000372529,1853824.490000000223517,2223490.779999999329448,1948182.479999999981374,1948496.860000000102445,2266898.229999999981374,12653480.740000000223517
20130627,2470054.299999999813735,1862313.320000000298023,2250613.629999999888241,1961611.280000000027940,1987899.040000000037253,2287253.500000000000000,12819749.070000000298023
20130628,2453052.639999999664724,1851803.340000000316650,2217479.769999999552965,1951356.559999999823049,1969551.460000000195578,2268387.639999999664724,12711635.410000000149012
20130701,2472209.440000000409782,1870802.150000000139698,2224810.269999999552965,1980411.599999999860302,1974063.159999999916181,2299168.780000000260770,12821469.400000002235174
20130702,2429825.020000000484288,1867568.310000000288710,2212641.639999999664724,1948914.959999999729916,1963235.079999999841675,2299168.780000000260770,12721357.789999999105930
20130703,2463828.339999999850988,1866759.850000000093132,2205457.750000000000000,1963076.239999999990687,1971356.140000000130385,2321509.929999999701977,12791992.250000000000000
20130705,2495197.600000000558794,1881716.360000000102445,2246655.160000000149012,1986027.280000000027940,1990305.280000000027940,2368178.110000000335276,12968083.789999999105930
20130708,2499268.419999999925494,1904757.470000000204891,2255011.929999999701977,1996282.000000000000000,2032113.700000000186265,2334914.620000000111759,13022352.140000000596046
20130709,2506691.680000000633299,1958520.060000000288710,2300900.859999999403954,2003362.639999999897555,2044445.679999999934807,2323495.809999999590218,13137420.730000000447035
20130710,2526327.400000000372529,1945180.470000000204891,2284627.150000000372529,1991642.959999999729916,2036023.839999999850988,2317538.169999999925494,13101343.990000000223517
20130711,2559372.879999999888241,1968625.810000000288710,2312189.830000000074506,2019233.039999999804422,2056176.100000000093132,2357752.240000000223517,13273353.900000000372529
20130712,2439403.419999999925494,1964179.280000000260770,2347376.230000000447035,2055368.719999999972060,2045348.020000000018626,2367185.169999999925494,13218864.839999999850988
20130715,2530158.759999999776483,1980348.480000000214204,2389746.519999999552965,2033394.319999999832362,2033918.380000000121072,2361227.530000000260770,13328797.990000002086163
20130716,2495915.980000000447035,1955690.450000000186265,2349282.160000000149012,2032173.520000000018626,2012563.000000000000000,2350801.660000000149012,13196430.770000001415610
20130717,2509325.740000000223517,1999347.290000000270084,2367755.019999999552965,2050729.679999999701977,1992109.960000000195578,2353780.479999999981374,13273052.170000001788139
20130718,2577332.379999999888241,1990858.460000000195578,2405287.179999999701977,2063914.319999999832362,2122046.919999999925494,2370660.459999999962747,13530103.719999998807907
20130719,2561288.559999999590218,1995709.220000000204891,2409685.480000000447035,2067088.399999999674037,2149117.120000000111759,2357255.770000000018626,13540148.550000000745058
20130722,2558893.959999999962747,1991262.690000000176951,2437394.769999999552965,2085888.719999999972060,2171074.060000000055879,2373639.280000000260770,13618157.480000000447035
20130723,2581163.740000000223517,1988837.310000000288710,2437541.379999999888241,2007269.199999999720603,2186413.839999999850988,2340872.259999999776483,13542101.730000000447035
20130724,2561049.100000000558794,1978731.560000000288710,2419654.959999999962747,2006536.719999999972060,2181601.359999999869615,2318034.639999999664724,13465612.339999999850988
20130725,2555062.600000000558794,2014303.800000000046566,2432410.029999999329448,2022895.439999999711290,2184308.380000000353903,2415342.759999999776483,13624327.009999999776483
20130726,2528722.000000000000000,1997730.370000000344589,2422880.379999999888241,2041207.439999999711290,2171976.399999999906868,2397966.309999999590218,13560486.899999998509884
20130729,2509804.660000000149012,2014708.030000000260770,2392238.889999999664724,2036568.399999999674037,2189421.640000000130385,2382575.740000000223517,13525321.360000001266599
20130730,2531834.980000000447035,2018346.100000000093132,2381389.750000000000000,2036080.079999999841675,2173781.080000000074506,2376121.629999999888241,13517557.620000001043081
20130731,2516749.000000000000000,2017133.410000000149012,2404847.349999999627471,2039986.639999999897555,2191226.319999999832362,2196895.959999999962747,13366842.679999999701977
20130801,2555062.600000000558794,2037749.140000000130385,2455574.410000000149012,2059763.599999999860302,2200550.500000000000000,2223705.339999999850988,13532409.589999999850988
20130802,2583797.799999999813735,2085044.050000000046566,2457480.339999999850988,2050973.839999999850988,2173480.300000000279397,2283778.209999999962747,13634558.539999999105930
20130805,2574219.400000000372529,2100000.560000000521541,2467743.040000000037253,2030220.239999999990687,2205964.540000000037253,2290728.790000000037253,13668880.570000000298023
20130806,2563204.240000000223517,2075746.760000000242144,2415843.099999999627471,2010931.599999999860302,2202956.739999999757856,2269877.049999999813735,13538563.489999998360872
20130807,2548357.719999999739230,2089086.350000000093132,2396343.969999999739230,1998723.599999999860302,2193331.780000000260770,2251507.660000000149012,13477355.080000001937151
20130808,2534469.040000000037253,2124658.589999999850988,2387400.759999999776483,2002874.319999999832362,2201152.060000000055879,2244060.610000000335276,13494619.379999998956919
20130809,2522256.580000000074506,2189739.620000000111759,2376991.449999999254942,2004583.439999999711290,2193632.560000000055879,2231648.860000000335276,13518856.510000001639128
20130812,2496155.440000000409782,2157401.219999999739230,2370540.609999999403954,2009954.959999999729916,2177390.439999999944121,2231152.389999999664724,13442599.059999998658895
20130813,2543807.980000000447035,2180442.330000000074506,2400155.830000000074506,2000676.879999999888241,2206265.319999999832362,2224698.280000000260770,13556050.620000001043081
20130814,2494239.759999999776483,2173166.190000000409782,2394731.259999999776483,2006536.719999999972060,2180398.239999999757856,2213775.939999999944121,13462852.109999999403954
20130815,2459996.980000000447035,2138806.639999999664724,2356759.269999999552965,1979434.959999999729916,2147613.220000000204891,2158667.770000000018626,13241282.839999999850988
20130816,2477717.020000000484288,2123445.900000000372529,2355439.779999999329448,1980167.439999999711290,2148515.560000000055879,2148738.370000000111759,13234028.070000000298023
20130819,2507649.520000000484288,2108489.389999999664724,2325677.949999999254942,1958925.520000000018626,2156937.399999999906868,2172072.459999999962747,13229756.239999998360872
20130820,2505494.379999999888241,2127083.969999999739230,2339312.679999999701977,1959902.159999999683350,2179495.899999999906868,2150227.780000000260770,13261520.870000001043081
20130821,2488253.259999999776483,2137998.180000000633299,2303393.230000000447035,1939148.559999999823049,2161148.319999999832362,2214272.410000000149012,13244217.960000000894070
20130822,2517706.839999999850988,2140827.790000000037253,2337113.529999999329448,1966738.639999999897555,2164757.680000000167638,2220726.520000000018626,13347874.999999998137355
20130823,2525848.480000000447035,2230162.620000000111759,2325971.169999999925494,1957948.879999999888241,2181902.140000000130385,2223208.870000000111759,13445046.160000000149012
20130826,2527045.780000000260770,2224907.629999999888241,2314975.419999999925494,1956239.760000000009313,2177089.659999999683350,2172072.459999999962747,13372334.710000000894070
20130827,2471491.059999999590218,2162251.980000000447035,2246508.549999999813735,1946961.679999999701977,2151222.580000000074506,2161646.589999999850988,13140086.439999999478459
20130828,2472927.820000000298023,2155784.299999999813735,2242696.689999999478459,1950624.079999999841675,2151824.140000000130385,2174554.809999999590218,13148415.839999999850988
20130829,2512678.180000000633299,2159826.600000000558794,2252372.949999999254942,1959413.839999999850988,2178894.339999999850988,2176540.689999999944121,13239730.599999999627471
20130830,2488492.719999999739230,2152954.690000000409782,2230381.449999999254942,1950868.239999999990687,2157839.739999999757856,2165121.879999999888241,13145662.719999998807907
20130903,2514593.860000000335276,2155380.070000000298023,2268939.879999999888241,1967226.959999999729916,2182503.700000000186265,2197392.429999999701977,13286040.899999998509884
20130904,2547160.419999999925494,2174783.110000000335276,2283307.660000000149012,1979434.959999999729916,2206265.319999999832362,2186966.559999999590218,13377922.030000001192093
20130905,2553865.299999999813735,2211163.810000000521541,2289611.889999999664724,1969424.399999999674037,2227019.140000000130385,2186966.559999999590218,13438055.100000001490116
20130906,2539976.620000000111759,2219652.639999999664724,2296795.779999999329448,1965273.679999999701977,2227620.700000000186265,2192924.200000000186265,13442247.619999997317791
20130909,2566796.139999999664724,2234204.919999999925494,2338286.410000000149012,2006780.879999999888241,2233335.520000000018626,2216258.290000000037253,13595666.160000000149012
20130910,2590263.219999999739230,2301711.330000000074506,2421121.059999999590218,2015326.479999999981374,2244765.159999999683350,2291225.259999999776483,13864416.509999999776483
20130911,2615645.980000000447035,2294030.959999999962747,2419948.179999999701977,2044381.520000000018626,2261308.060000000055879,2312573.469999999739230,13947892.170000001788139
20130912,2629295.200000000186265,2237034.530000000260770,2394877.870000000111759,2029487.760000000009313,2248073.739999999757856,2297182.899999999906868,13835956.000000001862645
20130913,2665932.580000000074506,2295243.650000000372529,2404407.519999999552965,2040230.799999999813735,2240253.459999999962747,2345836.959999999962747,13991908.970000002533197
20130916,2769858.219999999739230,2291201.350000000558794,2448830.349999999627471,2064890.959999999729916,2259503.380000000353903,2350801.660000000149012,14185089.919999999925494
20130917,2804340.459999999962747,2285946.360000000335276,2454548.139999999664724,2072215.760000000009313,2235140.200000000186265,2378107.509999999776483,14230302.430000001564622
20130918,2835230.799999999813735,2352240.080000000074506,2463931.179999999701977,2097608.399999999906868,2196941.140000000130385,2403427.479999999981374,14349383.080000000074506
20130919,2850556.240000000223517,2337687.799999999813735,2459826.099999999627471,2121780.239999999757856,2130769.540000000037253,2416832.169999999925494,14317456.089999997988343
20130920,2792846.379999999888241,2285542.129999999888241,2488708.269999999552965,2101270.799999999813735,2122648.479999999981374,2467968.580000000074506,14258988.639999998733401
20130923,2813918.860000000335276,2258862.950000000186265,2422733.769999999552965,2109083.919999999925494,2160245.979999999981374,2435698.030000000260770,14200547.510000001639128
20130924,2849598.400000000372529,2251586.810000000521541,2389306.689999999478459,2096631.760000000009313,2175284.979999999981374,2399952.189999999944121,14162364.830000000074506
20130925,2837864.860000000335276,2294435.190000000409782,2379630.429999999701977,2099317.520000000018626,2165058.459999999962747,2377611.040000000037253,14153921.500000000000000
20130926,2858697.879999999888241,2302115.560000000521541,2379337.209999999962747,2095655.119999999878928,2170472.500000000000000,2402434.540000000037253,14208716.809999998658895
20130927,2843372.440000000409782,2246331.820000000298023,2343564.370000000111759,2085400.399999999674037,2165359.239999999757856,2395980.429999999701977,14080012.700000001117587
20130930,2813679.400000000372529,2210759.580000000074506,2319520.330000000074506,2069774.159999999683350,2153929.600000000093132,2372149.870000000111759,13939816.940000001341105
