代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12004117.849999999627471
真實報酬,2004117.849999999627471

夏普值報酬,0.191711785000000
夏普值風險,0.067252675781468
夏普值,2.850619440376624

預期報酬,9879.126140365833635
風險,170675.843841382215032
趨勢值,0.057882392247300
找到最佳解世代,2451
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MCD[15](7),PG[21](2),UNH[23](11),WMT[28](18),
20160628,2516064.250000000000000,2494207.040000000037253,2333657.000000000000000,2397750.860000000335276,2209481.660000000149012,11951160.810000000521541
20160629,2539473.349999999627471,2515044.560000000055879,2374692.000000000000000,2429038.520000000484288,2238833.809999999590218,12097082.239999998360872
20160630,2581396.919999999925494,2532935.360000000335276,2396200.000000000000000,2440793.000000000000000,2256136.129999999888241,12207461.410000000149012
20160701,2581184.110000000335276,2534198.240000000223517,2399313.000000000000000,2434915.760000000707805,2249647.760000000242144,12199258.870000001043081
20160705,2602039.490000000223517,2541775.520000000018626,2417991.000000000000000,2447015.959999999962747,2259843.770000000018626,12268665.739999998360872
20160706,2609913.459999999962747,2539039.279999999795109,2406388.000000000000000,2461190.479999999515712,2280853.729999999515712,12297384.949999999254942
20160707,2607146.929999999701977,2545143.200000000186265,2400728.000000000000000,2433878.600000000558794,2271893.600000000093132,12258790.330000000074506
20160708,2614382.469999999739230,2553351.919999999925494,2427330.000000000000000,2442003.020000000484288,2281471.669999999925494,12318539.080000000074506
20160711,2616084.950000000186265,2567875.040000000037253,2426764.000000000000000,2425581.320000000298023,2288269.010000000242144,12324574.320000000298023
20160712,2615872.139999999664724,2573137.040000000037253,2426764.000000000000000,2417629.760000000707805,2263860.379999999888241,12297263.320000000298023
20160713,2617574.620000000111759,2585134.399999999906868,2430726.000000000000000,2445633.080000000074506,2274674.330000000074506,12353742.429999999701977
20160714,2621405.200000000186265,2608497.680000000167638,2430160.000000000000000,2434570.040000000037253,2277146.089999999850988,12371779.010000001639128
20160715,2617574.620000000111759,2601762.319999999832362,2434122.000000000000000,2443040.180000000633299,2276219.180000000167638,12372718.300000000745058
20160718,2620553.959999999962747,2605761.439999999944121,2431858.000000000000000,2433014.299999999813735,2281471.669999999925494,12372659.369999999180436
20160719,2665456.870000000111759,2662591.040000000037253,2438650.000000000000000,2464820.540000000037253,2275910.209999999962747,12507428.660000000149012
20160720,2663115.959999999962747,2653329.919999999925494,2414595.000000000000000,2472253.520000000484288,2279926.820000000298023,12483221.220000000670552
20160721,2663328.769999999552965,2676903.680000000167638,2412897.000000000000000,2469660.620000000111759,2271584.629999999888241,12494374.699999999254942
20160722,2660775.049999999813735,2699635.520000000018626,2425915.000000000000000,2483835.139999999664724,2272511.540000000037253,12542672.250000000000000
20160725,2657795.709999999962747,2681534.240000000223517,2428179.000000000000000,2449954.580000000074506,2278690.939999999944121,12496154.470000000670552
20160726,2663328.769999999552965,2561771.120000000111759,2413180.000000000000000,2449436.000000000000000,2278073.000000000000000,12365788.890000000596046
20160727,2655241.990000000223517,2514834.080000000074506,2390257.000000000000000,2449090.280000000260770,2265405.229999999515712,12274828.580000001937151
20160728,2648644.879999999888241,2513571.200000000186265,2400162.000000000000000,2467759.160000000149012,2262933.469999999739230,12293070.710000000894070
20160729,2665031.250000000000000,2476316.240000000223517,2422236.000000000000000,2475365.000000000000000,2254591.279999999795109,12293539.769999999552965
20160801,2668649.019999999552965,2483893.520000000018626,2445442.000000000000000,2480723.660000000149012,2279617.850000000093132,12358326.049999998882413
20160802,2656944.469999999739230,2477368.640000000130385,2455347.000000000000000,2474846.419999999925494,2259534.799999999813735,12324041.329999998211861
20160803,2636727.519999999552965,2473580.000000000000000,2432990.000000000000000,2469833.479999999515712,2253664.369999999646097,12266795.369999999180436
20160804,2635876.280000000260770,2489997.439999999944121,2435254.000000000000000,2466894.860000000335276,2264787.290000000037253,12292809.870000001043081
20160805,2643963.059999999590218,2509151.120000000111759,2427613.000000000000000,2471734.940000000409782,2278999.910000000149012,12331462.030000001192093
20160808,2631407.269999999552965,2489786.959999999962747,2427047.000000000000000,2456868.979999999515712,2266023.169999999925494,12271133.379999998956919
20160809,2626725.450000000186265,2490207.919999999925494,2433556.000000000000000,2451510.320000000298023,2272202.570000000298023,12274202.260000001639128
20160810,2625235.780000000260770,2500521.439999999944121,2442612.000000000000000,2457906.139999999664724,2284870.339999999850988,12311145.699999999254942
20160811,2633960.990000000223517,2512729.279999999795109,2454498.000000000000000,2465511.979999999515712,2280235.790000000037253,12346936.039999999105930
20160812,2622256.439999999478459,2515676.000000000000000,2463271.000000000000000,2469833.479999999515712,2283016.520000000018626,12354053.439999997615814
20160815,2602890.729999999515712,2494628.000000000000000,2462705.000000000000000,2448053.120000000111759,2265405.229999999515712,12273682.079999998211861
20160816,2560754.349999999627471,2482420.160000000149012,2450253.000000000000000,2438718.680000000633299,2252119.520000000018626,12184265.710000000894070
20160817,2581609.729999999515712,2464739.839999999850988,2461007.000000000000000,2449608.860000000335276,2253355.400000000372529,12210320.830000000074506
20160818,2569053.939999999478459,2465371.279999999795109,2474591.000000000000000,2457560.419999999925494,2295684.290000000037253,12262260.929999999701977
20160819,2552029.139999999664724,2420749.520000000018626,2470912.000000000000000,2455313.240000000223517,2249647.760000000242144,12148651.660000000149012
20160822,2535217.149999999441206,2429379.200000000186265,2457894.000000000000000,2456177.540000000037253,2246249.089999999850988,12124916.980000000447035
20160823,2541814.259999999776483,2424538.160000000149012,2473459.000000000000000,2454794.660000000149012,2223694.279999999795109,12118300.359999999403954
20160824,2526279.129999999888241,2417802.800000000279397,2470912.000000000000000,2417802.620000000111759,2231727.500000000000000,12064524.050000000745058
20160825,2523299.790000000037253,2429589.680000000167638,2487609.000000000000000,2373377.600000000558794,2200521.529999999795109,12014397.599999999627471
20160826,2533301.860000000335276,2408752.160000000149012,2478553.000000000000000,2361623.120000000111759,2198049.770000000018626,11980279.910000000149012
20160829,2552029.139999999664724,2429168.719999999739230,2498929.000000000000000,2372859.020000000484288,2206082.990000000223517,12059068.869999999180436
20160830,2542452.689999999478459,2428116.319999999832362,2477421.000000000000000,2365944.620000000111759,2203302.260000000242144,12017236.889999998733401
20160831,2539686.160000000149012,2434430.719999999739230,2470912.000000000000000,2351770.100000000558794,2207318.869999999646097,12004117.849999999627471
