代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15056297.899999998509884
真實報酬,5056297.899999998509884

夏普值報酬,0.496929790000000
夏普值風險,0.118632144128441
夏普值,4.188829205194013

預期報酬,20721.669319476037344
風險,247312.513691526779439
趨勢值,0.083787387100526
找到最佳解世代,2128
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](13),HD[9](28),MCD[15](15),MRK[17](8),MSFT[18](7),PG[21](5),UNH[23](20),
20091118,2045320.239999999990687,1623583.700000000186265,1296067.239999999990687,1500744.639999999897555,1812080.300000000279397,1857715.449999999720603,1577920.510000000009313,1534331.100000000093132,13247763.179999999701977
20091119,1991093.859999999869615,1605169.800000000046566,1287518.679999999934807,1487374.719999999972060,1821878.030000000027940,1837355.439999999944121,1571346.929999999934807,1521576.060000000055879,13123313.519999999552965
20091120,1985532.179999999934807,1613596.500000000000000,1290843.120000000111759,1500510.080000000074506,1880148.740000000223517,1827483.919999999925494,1562497.879999999888241,1517855.840000000083819,13178468.259999997913837
20091123,2044625.030000000027940,1642621.800000000046566,1306515.480000000214204,1500979.199999999953434,1878086.060000000288710,1847226.959999999962747,1586011.069999999832362,1545491.760000000009313,13351557.360000001266599
20091124,2030720.830000000074506,1622023.199999999953434,1308890.080000000074506,1506374.080000000074506,1867772.660000000149012,1845376.049999999813735,1587780.879999999888241,1571001.840000000083819,13339939.620000001043081
20091125,2027939.989999999990687,1651984.800000000046566,1322662.760000000009313,1511768.959999999962747,1885821.110000000102445,1837972.409999999683350,1589550.689999999944121,1569938.919999999925494,13397639.639999998733401
20091127,1992484.280000000027940,1637004.000000000000000,1311264.679999999934807,1491831.360000000102445,1871382.350000000093132,1802805.119999999646097,1579690.319999999832362,1564624.320000000065193,13251086.429999999701977
20091130,1985532.179999999934807,1635755.599999999860302,1299391.679999999934807,1483621.760000000009313,1867256.990000000223517,1814527.549999999813735,1576403.530000000027940,1523701.900000000139698,13186191.189999999478459
20091201,1956333.359999999869615,1676640.699999999953434,1329786.560000000055879,1490424.000000000000000,1901806.880000000353903,1851545.750000000000000,1590562.010000000009313,1525296.280000000027940,13322395.539999999105930
20091202,1948686.050000000046566,1678513.300000000046566,1345458.919999999925494,1466029.760000000009313,1897681.520000000018626,1837355.439999999944121,1597641.250000000000000,1503506.419999999925494,13274872.659999998286366
20091203,1951466.889999999897555,1678201.200000000186265,1326462.120000000111759,1453598.080000000074506,1896134.510000000242144,1840440.289999999804422,1581712.959999999962747,1452486.260000000009313,13180502.310000000521541
20091204,1920182.439999999944121,1706602.300000000046566,1333585.919999999925494,1444684.800000000046566,1892524.820000000298023,1849694.839999999850988,1582724.280000000027940,1459395.240000000223517,13189394.640000000596046
20091207,1876384.209999999729916,1742181.699999999953434,1340234.800000000046566,1452659.840000000083819,1892524.820000000298023,1837972.409999999683350,1579437.489999999990687,1504037.880000000121072,13225433.150000000372529
20091208,1885421.939999999944121,1737188.099999999860302,1314114.200000000186265,1421697.919999999925494,1874476.370000000344589,1824399.069999999832362,1564267.689999999944121,1512541.240000000223517,13134106.529999999329448
20091209,1964675.880000000121072,1731258.199999999953434,1308415.160000000149012,1421463.360000000102445,1915729.969999999972060,1833036.649999999906868,1573622.400000000139698,1514667.080000000074506,13262868.700000001117587
20091210,1950771.679999999934807,1716901.599999999860302,1329311.639999999897555,1432018.560000000055879,1935841.100000000093132,1842908.169999999925494,1573622.400000000139698,1610861.340000000083819,13392236.490000000223517
20091211,1933391.429999999934807,1735315.500000000000000,1353057.639999999897555,1446326.719999999972060,1911604.610000000102445,1841674.229999999981374,1576150.699999999953434,1619896.160000000149012,13417416.989999998360872
20091214,1956333.359999999869615,1749360.000000000000000,1371104.600000000093132,1457585.600000000093132,1947701.510000000242144,1857715.449999999720603,1593090.309999999823049,1644874.780000000027940,13577765.609999999403954
20091215,1928524.959999999729916,1737500.199999999953434,1378228.400000000139698,1454301.760000000009313,1959561.920000000158325,1852162.719999999739230,1570588.439999999944121,1664538.800000000046566,13545407.200000001117587
20091216,1936867.479999999981374,1720646.800000000046566,1375378.880000000121072,1464153.280000000027940,1946670.170000000158325,1857098.479999999981374,1571599.760000000009313,1711307.280000000260770,13583722.130000002682209
20091217,1905583.030000000027940,1700048.199999999953434,1367780.160000000149012,1452425.280000000027940,1922433.680000000167638,1826249.979999999981374,1557188.449999999953434,1691111.800000000046566,13422820.580000001937151
20091218,1941038.739999999990687,1667901.899999999906868,1360656.360000000102445,1458289.280000000027940,1928621.719999999972060,1873139.699999999720603,1556177.129999999888241,1676230.919999999925494,13462055.749999998137355
20091221,1968847.139999999897555,1694742.500000000000000,1375378.880000000121072,1469782.719999999972060,1943576.150000000139698,1883011.219999999739230,1549856.379999999888241,1709712.900000000139698,13594907.889999998733401
20091222,1989703.439999999944121,1719710.500000000000000,1391051.239999999990687,1477054.080000000074506,1946670.170000000158325,1901520.319999999832362,1549856.379999999888241,1717684.800000000046566,13693250.929999999701977
20091223,2007083.689999999944121,1715341.100000000093132,1377278.560000000055879,1486201.919999999925494,1920886.670000000158325,1907690.019999999785796,1550109.209999999962747,1680482.600000000093132,13645073.769999997690320
20091224,2075909.479999999981374,1731570.299999999813735,1385352.200000000186265,1487609.280000000027940,1907479.250000000232831,1912625.779999999795109,1549350.719999999972060,1683671.360000000102445,13733568.370000001043081
20091228,2101632.250000000000000,1720958.899999999906868,1385827.120000000111759,1492065.919999999925494,1922949.350000000093132,1923114.269999999785796,1548592.229999999981374,1668259.020000000018626,13763399.059999998658895
20091229,2076604.689999999944121,1723143.600000000093132,1390101.400000000139698,1491596.800000000046566,1913151.620000000344589,1936687.609999999869615,1556935.619999999878928,1639560.180000000167638,13727781.519999999552965
20091230,2101632.250000000000000,1715341.100000000093132,1383452.520000000018626,1475177.600000000093132,1911088.940000000176951,1910157.899999999906868,1551626.189999999944121,1648063.540000000270084,13696540.040000000968575
20091231,2092594.520000000018626,1689436.800000000046566,1373954.120000000111759,1464622.399999999906868,1884274.100000000093132,1880543.339999999850988,1532916.770000000018626,1619896.160000000149012,13538238.209999999031425
20100104,2125269.390000000130385,1753417.300000000046566,1361606.200000000186265,1472597.439999999944121,1908510.590000000083819,1909540.929999999701977,1545305.439999999944121,1675699.460000000195578,13751946.750000000000000
20100105,2129440.649999999906868,1810843.700000000186265,1371579.520000000018626,1461338.560000000055879,1916245.639999999897555,1910157.899999999906868,1545811.100000000093132,1673042.160000000149012,13818459.230000000447035
20100106,2095375.359999999869615,1865773.300000000046566,1366830.320000000065193,1441400.959999999962747,1942029.139999999897555,1898435.469999999739230,1538479.030000000027940,1689517.419999999925494,13837841.000000000000000
20100107,2091204.099999999860302,1941301.500000000000000,1382977.600000000093132,1451956.159999999916181,1945123.160000000149012,1878692.429999999701977,1530135.640000000130385,1754355.540000000037253,13975746.129999998956919
20100108,2105108.299999999813735,1922575.500000000000000,1376328.719999999972060,1450548.800000000046566,1944091.820000000298023,1891648.799999999813735,1528113.000000000000000,1737880.280000000260770,13956295.220000002533197
20100111,2087032.839999999850988,1899792.199999999953434,1337385.280000000027940,1461807.679999999934807,1951826.870000000344589,1867586.969999999739230,1522045.080000000074506,1749572.400000000139698,13877049.320000000298023
20100112,2062700.489999999990687,1886059.800000000046566,1328836.719999999972060,1469782.719999999972060,1936356.770000000018626,1855247.569999999832362,1539490.350000000093132,1703335.379999999888241,13781809.800000000745058
20100113,2091899.309999999823049,1908843.099999999860302,1335960.520000000018626,1468140.800000000046566,2007519.230000000214204,1872522.729999999981374,1555418.640000000130385,1729376.919999999925494,13969681.250000000000000
20100114,2080080.739999999990687,1921327.100000000093132,1344034.160000000149012,1469548.159999999916181,2062180.250000000232831,1910157.899999999906868,1556935.619999999878928,1770830.800000000046566,14115094.730000000447035
20100115,2045320.239999999990687,1898231.699999999953434,1356857.000000000000000,1460869.439999999944121,2035365.410000000149012,1903988.199999999720603,1537720.540000000037253,1793683.580000000074506,14032036.109999997541308
20100119,2135697.540000000037253,1892926.000000000000000,1371579.520000000018626,1489016.639999999897555,2094667.459999999962747,1918795.479999999981374,1560475.239999999990687,1867025.060000000288710,14330182.940000001341105
20100120,2103022.669999999925494,1878881.500000000000000,1361131.280000000027940,1477992.320000000065193,2115809.930000000633299,1887330.009999999776483,1528365.830000000074506,1836200.379999999888241,14188733.920000001788139
20100121,2066176.539999999804422,1847671.500000000000000,1352582.719999999972060,1482448.959999999962747,2066821.280000000027940,1851545.750000000000000,1512943.199999999953434,1759138.680000000167638,13939328.629999998956919
20100122,1963980.669999999925494,1803041.200000000186265,1316488.800000000046566,1486905.600000000093132,2004425.209999999962747,1786763.899999999906868,1524826.209999999962747,1762327.439999999944121,13648759.029999999329448
20100125,2016816.630000000121072,1803353.300000000046566,1311739.600000000093132,1479868.800000000046566,1998752.840000000083819,1808974.819999999832362,1532916.770000000018626,1753824.080000000074506,13706246.839999999850988
20100126,2045320.239999999990687,1801168.600000000093132,1316963.719999999972060,1496757.120000000111759,1989470.780000000027940,1820080.279999999795109,1534433.750000000000000,1724062.320000000065193,13728256.809999998658895
20100127,2064786.119999999878928,1932874.800000000046566,1322187.840000000083819,1494880.639999999897555,1992564.800000000279397,1830568.769999999785796,1537467.709999999962747,1766579.120000000111759,13941909.800000000745058
20100128,1979275.289999999804422,1952537.100000000093132,1298441.840000000083819,1473770.239999999990687,1958014.910000000149012,1799103.299999999813735,1559463.919999999925494,1776676.860000000102445,13797283.459999999031425
20100129,1907668.659999999916181,1891365.500000000000000,1330261.480000000214204,1464387.840000000083819,1968843.980000000214204,1738640.239999999757856,1556177.129999999888241,1753824.080000000074506,13611168.910000002011657
20100201,1934086.639999999897555,1925696.500000000000000,1348308.440000000176951,1498633.600000000093132,1975032.020000000018626,1752830.549999999813735,1567301.650000000139698,1760733.060000000288710,13762622.460000000894070
20100202,1945210.000000000000000,1933186.899999999906868,1378703.320000000065193,1501917.439999999944121,2038975.100000000093132,1755915.399999999906868,1590309.179999999934807,1809627.379999999888241,13953844.719999998807907
20100203,1978580.080000000074506,1918206.100000000093132,1352107.800000000046566,1529595.519999999785796,1996690.160000000149012,1766403.889999999664724,1583988.429999999934807,1770830.800000000046566,13896402.780000001192093
20100204,1907668.659999999916181,1851416.699999999953434,1326462.120000000111759,1502621.120000000111759,1913151.620000000344589,1717663.259999999776483,1552384.679999999934807,1725125.240000000223517,13496493.400000000372529
20100205,1941038.739999999990687,1822703.500000000000000,1328836.719999999972060,1486436.479999999981374,1894071.830000000074506,1728768.719999999739230,1549856.379999999888241,1729376.919999999925494,13481089.289999997243285
20100208,1927829.750000000000000,1806786.399999999906868,1357806.840000000083819,1475881.280000000027940,1886852.450000000419095,1710259.619999999646097,1542524.309999999823049,1722467.939999999944121,13430408.589999999850988
20100209,1948686.050000000046566,1864524.900000000139698,1371104.600000000093132,1491127.679999999934807,1880664.410000000149012,1728151.750000000000000,1561486.559999999823049,1753824.080000000074506,13599570.030000001192093
20100210,1937562.689999999944121,1858282.899999999906868,1360656.360000000102445,1483621.760000000009313,1866741.320000000298023,1726917.809999999590218,1559211.090000000083819,1738411.740000000223517,13531405.669999999925494
20100211,1973018.399999999906868,1891053.400000000139698,1376803.639999999897555,1496288.000000000000000,1901806.880000000353903,1734938.419999999925494,1566543.159999999916181,1760201.599999999860302,13700653.500000000000000
20100212,1990398.649999999906868,1861716.000000000000000,1377278.560000000055879,1491596.800000000046566,1903869.560000000288710,1723215.989999999757856,1561486.559999999823049,1710244.360000000102445,13619806.480000000447035
20100216,2020292.679999999934807,1911964.099999999860302,1398175.040000000037253,1501448.320000000065193,1942029.139999999897555,1749128.729999999981374,1588539.369999999878928,1681014.060000000055879,13792591.440000001341105
20100217,2011950.159999999916181,1929441.699999999953434,1425720.400000000139698,1507312.320000000065193,1925527.700000000419095,1763936.009999999776483,1589045.030000000027940,1729908.379999999888241,13882841.699999999254942
20100218,2015426.209999999729916,1962836.399999999906868,1439018.160000000149012,1512472.640000000130385,1922949.350000000093132,1787380.869999999646097,1602697.850000000093132,1737348.820000000065193,13980130.299999998882413
20100219,2002912.429999999934807,1984683.400000000139698,1431894.360000000102445,1518571.199999999953434,1933262.750000000232831,1775041.469999999739230,1604214.830000000074506,1697489.320000000065193,13948069.759999999776483
20100222,1990398.649999999906868,1996543.199999999953434,1439968.000000000000000,1519274.879999999888241,1914182.959999999962747,1772573.589999999850988,1603456.340000000083819,1758075.760000000009313,13994473.379999998956919
20100223,1957028.569999999832362,1959091.200000000186265,1460389.560000000055879,1521620.480000000214204,1882727.090000000083819,1747894.789999999804422,1598146.909999999916181,1743726.340000000083819,13870624.939999999478459
20100224,1993179.489999999990687,1981250.299999999813735,1489359.679999999934807,1530768.320000000065193,1904385.230000000214204,1766403.889999999664724,1615339.350000000093132,1786774.599999999860302,14067460.859999999403954
20100225,2006388.479999999981374,1962212.199999999953434,1489359.679999999934807,1510127.039999999804422,1885821.110000000102445,1764552.979999999981374,1610535.580000000074506,1777739.780000000260770,14006736.850000001490116
20100226,2032111.250000000000000,1971263.099999999860302,1481760.959999999962747,1497695.360000000102445,1901806.880000000353903,1768871.769999999785796,1599916.719999999972060,1799529.640000000130385,14052955.680000001564622
20100301,2075909.479999999981374,1997479.500000000000000,1492684.120000000111759,1500744.639999999897555,1921918.010000000242144,1790465.719999999739230,1605731.809999999823049,1809095.919999999925494,14194029.199999999254942
20100302,2074519.059999999823049,2011211.899999999906868,1489359.679999999934807,1502855.679999999934807,1928106.050000000279397,1755915.399999999906868,1610788.409999999916181,1804312.780000000260770,14177068.960000000894070
20100303,2078690.319999999832362,2011524.000000000000000,1494583.800000000046566,1492535.040000000037253,1918823.990000000223517,1755915.399999999906868,1606743.129999999888241,1812284.680000000167638,14171100.359999999403954
20100304,2092594.520000000018626,2045855.000000000000000,1493159.040000000037253,1487843.840000000083819,1915214.300000000279397,1766403.889999999664724,1609777.090000000083819,1751166.780000000260770,14162014.460000000894070
20100305,2174629.299999999813735,2120134.800000000279397,1510256.160000000149012,1493473.280000000027940,1933262.750000000232831,1763936.009999999776483,1610282.750000000000000,1793152.120000000111759,14399127.170000001788139
20100308,2176019.720000000204891,2098599.899999999906868,1517854.880000000121072,1527484.480000000214204,1926043.370000000344589,1766403.889999999664724,1597641.250000000000000,1759138.680000000167638,14369186.170000001788139
20100309,2214951.479999999981374,2115765.400000000372529,1504557.120000000111759,1527015.359999999869615,1910057.600000000093132,1776892.379999999888241,1600422.379999999888241,1758075.760000000009313,14407737.479999998584390
20100310,2233026.939999999944121,2185051.600000000093132,1505981.880000000121072,1523262.399999999906868,1890977.810000000288710,1787380.869999999646097,1593090.309999999823049,1766579.120000000111759,14485350.929999999701977
20100311,2239283.830000000074506,2186924.199999999720603,1525928.520000000251457,1529595.519999999785796,1901806.880000000353903,1800337.239999999757856,1597135.590000000083819,1780397.080000000074506,14561408.859999999403954
20100312,2250407.189999999944121,2179433.799999999813735,1541125.960000000195578,1537101.439999999944121,1916245.639999999897555,1805889.969999999739230,1600928.040000000037253,1749040.939999999944121,14580172.979999998584390
20100315,2223294.000000000000000,2166013.500000000000000,1552524.040000000037253,1546483.840000000083819,1946670.170000000158325,1807123.909999999683350,1610535.580000000074506,1728845.460000000195578,14581490.500000001862645
20100316,2228855.680000000167638,2144790.700000000186265,1545875.159999999916181,1549767.679999999934807,1956467.900000000139698,1812059.669999999925494,1606237.469999999972060,1756481.379999999888241,14600535.640000000596046
20100317,2226074.840000000316650,2165389.299999999813735,1544450.400000000139698,1557039.039999999804422,1963687.280000000027940,1828100.889999999664724,1618373.310000000055879,1740537.580000000074506,14643652.640000000596046
20100318,2230941.310000000055879,2211892.200000000186265,1538751.360000000102445,1564075.840000000083819,1982767.070000000298023,1826866.949999999720603,1611294.069999999832362,1785180.220000000204891,14751769.020000001415610
20100319,2207304.169999999925494,2207210.700000000186265,1536851.679999999934807,1560557.439999999944121,1962655.940000000176951,1825633.009999999776483,1614075.199999999953434,1827697.020000000018626,14741985.159999998286366
20100322,2232331.729999999981374,2244350.600000000093132,1551574.200000000186265,1571816.320000000065193,1975032.020000000018626,1826249.979999999981374,1615086.520000000018626,1769767.879999999888241,14786209.250000000000000
20100323,2267787.439999999944121,2252777.300000000279397,1547774.840000000316650,1579791.359999999869615,1985345.420000000158325,1843525.139999999664724,1631520.469999999972060,1762327.439999999944121,14870849.410000000149012
20100324,2278215.590000000316650,2257146.699999999720603,1534952.000000000000000,1566890.560000000055879,1960077.590000000083819,1829334.829999999608845,1608260.109999999869615,1738943.199999999953434,14773820.579999998211861
20100325,2251102.399999999906868,2262452.399999999906868,1549199.599999999860302,1569236.160000000149012,1948217.180000000167638,1851545.750000000000000,1608512.939999999944121,1760201.599999999860302,14800468.029999999329448
20100326,2293510.209999999962747,2265573.399999999906868,1555373.560000000055879,1577680.320000000065193,1930168.730000000214204,1829951.799999999813735,1610282.750000000000000,1734160.060000000288710,14796700.830000000074506
20100329,2308109.620000000111759,2313012.600000000093132,1548249.760000000009313,1573223.679999999934807,1953889.550000000279397,1825633.009999999776483,1611294.069999999832362,1745320.720000000204891,14878733.010000001639128
20100330,2342174.909999999683350,2294910.799999999813735,1552524.040000000037253,1577211.199999999953434,1942029.139999999897555,1836738.469999999739230,1609524.260000000009313,1757012.840000000083819,14912125.659999998286366
20100331,2333832.390000000130385,2266197.600000000093132,1536376.760000000009313,1565014.080000000074506,1926043.370000000344589,1807123.909999999683350,1599663.890000000130385,1736285.900000000139698,14770537.900000002235174
20100401,2343565.330000000074506,2278057.399999999906868,1537801.520000000251457,1585186.239999999990687,1944607.490000000223517,1799103.299999999813735,1601939.359999999869615,1753292.620000000111759,14843553.260000001639128
20100405,2368592.890000000130385,2248407.900000000372529,1551099.279999999795109,1595741.439999999944121,1928106.050000000279397,1805889.969999999739230,1612052.559999999823049,1761264.520000000018626,14871154.610000001266599
20100406,2379021.040000000037253,2258395.100000000093132,1545875.159999999916181,1590581.120000000111759,1920886.670000000158325,1808974.819999999832362,1595618.609999999869615,1775613.939999999944121,14874966.460000000894070
20100407,2389449.189999999944121,2250280.500000000000000,1548724.679999999934807,1588000.959999999962747,1897165.850000000093132,1810825.729999999981374,1580195.979999999981374,1750103.860000000102445,14814746.750000000000000
20100408,2383192.299999999813735,2255898.299999999813735,1565821.800000000046566,1612864.320000000065193,1896650.180000000167638,1845993.019999999785796,1581712.959999999962747,1733628.599999999860302,14875761.479999998584390
20100409,2401267.759999999776483,2260267.700000000186265,1579119.560000000055879,1610987.840000000083819,1906447.910000000149012,1871905.759999999776483,1586011.069999999832362,1714496.040000000037253,14930503.640000000596046
20100412,2406134.229999999981374,2244662.700000000186265,1590042.719999999972060,1607469.439999999944121,1900259.870000000344589,1870671.819999999832362,1585252.580000000074506,1714496.040000000037253,14918989.400000002235174
20100413,2407524.649999999906868,2221879.399999999906868,1630885.840000000316650,1616617.280000000027940,1892524.820000000298023,1878692.429999999701977,1592837.479999999981374,1709181.439999999944121,14950143.340000001713634
20100414,2440199.520000000018626,2237796.500000000000000,1661280.719999999972060,1628345.280000000027940,1867256.990000000223517,1901520.319999999832362,1597641.250000000000000,1650189.380000000121072,14984229.960000000894070
20100415,2472179.180000000167638,2249968.399999999906868,1668879.440000000176951,1622246.719999999972060,1858490.600000000093132,1904605.169999999925494,1592837.479999999981374,1627868.060000000055879,14997075.050000000745058
20100416,2456884.560000000055879,2209395.400000000372529,1662705.479999999981374,1619197.439999999944121,1841473.490000000223517,1892265.769999999785796,1589045.030000000027940,1633182.660000000149012,14904149.830000000074506
20100419,2454103.719999999739230,2214701.099999999627471,1670304.200000000186265,1640073.280000000027940,1851271.219999999972060,1915093.659999999683350,1598399.739999999990687,1659755.660000000149012,15003702.580000000074506
20100420,2429076.159999999683350,2228745.600000000093132,1670779.120000000111759,1649924.800000000046566,1859521.940000000176951,1934836.699999999720603,1597641.250000000000000,1646469.160000000149012,15016994.729999998584390
20100421,2574375.049999999813735,2314573.100000000093132,1675053.400000000139698,1650393.919999999925494,1791453.500000000232831,1932985.789999999804422,1608765.770000000018626,1608204.040000000270084,15155804.570000000298023
20100422,2646676.890000000130385,2359203.399999999906868,1696424.800000000046566,1666109.439999999944121,1741433.510000000242144,1936687.609999999869615,1607754.449999999953434,1618833.240000000223517,15273123.339999997988343
20100423,2689779.909999999683350,2344846.799999999813735,1728244.440000000176951,1668924.160000000149012,1828581.740000000223517,1910157.899999999906868,1606490.300000000046566,1644874.780000000027940,15421900.029999999329448
20100426,2676570.919999999925494,2320190.899999999906868,1732993.640000000130385,1665874.879999999888241,1804860.920000000158325,1919412.449999999720603,1616603.500000000000000,1586414.180000000167638,15322921.389999998733401
20100427,2602183.449999999720603,2262140.300000000279397,1676003.239999999990687,1654381.439999999944121,1778046.080000000074506,1903371.229999999981374,1595618.609999999869615,1583756.880000000121072,15055501.230000000447035
20100428,2598012.189999999944121,2258707.200000000186265,1671254.040000000037253,1649924.800000000046566,1782171.440000000176951,1907073.049999999813735,1597135.590000000083819,1617770.320000000065193,15082048.629999998956919
20100429,2668228.399999999906868,2303025.400000000372529,1688826.080000000074506,1677602.879999999888241,1817752.670000000158325,1912625.779999999795109,1572611.080000000074506,1663475.880000000121072,15304148.170000001788139
20100430,2593145.719999999739230,2260579.800000000279397,1673153.719999999972060,1655788.800000000046566,1806923.600000000093132,1884245.159999999683350,1571599.760000000009313,1610861.340000000083819,15056297.899999998509884
