代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13594680.439999999478459
真實報酬,3594680.439999999478459

夏普值報酬,0.350768044000000
夏普值風險,0.090848386573960
夏普值,3.861026675629931

預期報酬,14006.311732160796964
風險,176156.311416271928465
趨勢值,0.079510700579230
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](2),CAT[3](5),JPM[13](6),MSFT[18](1),V[25](8),
20170526,2948084.800000000279397,2553401.399999999906868,2668736.959999999962747,2468584.799999999813735,2425870.879999999888241,13064678.839999999850988
20170530,2949236.319999999832362,2548809.859999999869615,2623091.520000000018626,2484463.049999999813735,2427152.080000000074506,13032752.830000000074506
20170531,2931771.600000000093132,2547843.220000000204891,2568379.520000000018626,2464350.599999999627471,2440220.320000000298023,12952565.259999999776483
20170601,2939832.240000000223517,2553159.739999999757856,2596829.759999999776483,2473524.700000000186265,2444576.400000000372529,13007922.840000001713634
20170602,2983398.080000000074506,2560409.540000000037253,2583698.879999999888241,2532097.799999999813735,2463794.400000000372529,13123398.700000001117587
20170605,2954226.240000000223517,2542285.040000000037253,2588388.479999999981374,2550446.000000000000000,2474044.000000000000000,13109389.759999999776483
20170606,2964206.080000000074506,2526577.139999999664724,2593703.359999999869615,2558914.399999999441206,2454569.759999999776483,13097970.740000000223517
20170607,2981862.720000000204891,2501444.500000000000000,2623404.159999999683350,2554327.349999999627471,2462256.959999999962747,13123295.690000001341105
20170608,2974569.760000000242144,2537693.500000000000000,2655918.720000000204891,2538801.950000000186265,2462256.959999999962747,13169240.890000000596046
20170609,2859225.839999999850988,2559684.560000000055879,2718759.359999999869615,2481287.399999999441206,2423052.240000000223517,13042009.400000000372529
20170612,2790902.319999999832362,2563309.459999999497086,2719384.640000000130385,2462233.500000000000000,2395890.799999999813735,12931720.719999998807907
20170613,2813356.960000000428408,2555576.339999999850988,2728451.199999999720603,2492931.450000000186265,2436376.719999999739230,13026692.669999998062849
20170614,2785912.399999999906868,2530443.699999999720603,2722823.680000000167638,2479523.149999999441206,2442526.479999999515712,12961229.410000000149012
20170615,2769215.359999999869615,2571284.239999999757856,2706566.399999999906868,2466467.700000000186265,2413058.879999999888241,12926592.579999998211861
20170616,2730447.520000000484288,2600283.439999999944121,2694373.439999999944121,2469996.200000000186265,2413058.879999999888241,12908159.480000000447035
20170619,2808558.960000000428408,2597625.179999999701977,2753462.399999999906868,2500694.150000000372529,2428945.759999999776483,13089286.450000001117587
20170620,2783033.600000000093132,2586750.479999999981374,2736267.199999999720603,2466820.549999999813735,2418439.919999999925494,12991311.749999998137355
20170621,2799538.720000000204891,2500477.859999999869615,2723761.600000000093132,2479523.149999999441206,2422539.759999999776483,12925841.089999997988343
20170622,2794932.640000000130385,2509419.279999999795109,2720635.199999999720603,2479170.299999999813735,2407421.600000000558794,12911579.019999999552965
20170623,2807407.440000000409782,2515944.099999999627471,2715632.959999999962747,2512691.049999999813735,2449188.719999999739230,13000864.269999999552965
20170626,2798579.120000000111759,2519327.339999999850988,2727513.279999999795109,2488697.250000000000000,2439964.080000000074506,12974081.070000000298023
20170627,2758467.839999999850988,2511594.220000000204891,2752837.119999999646097,2442121.049999999813735,2431764.400000000372529,12896784.630000000819564
20170628,2798771.040000000502914,2572492.540000000037253,2808174.399999999906868,2462939.200000000186265,2465844.320000000298023,13108221.500000000000000
20170629,2757508.240000000223517,2552918.080000000074506,2849755.520000000018626,2416715.849999999627471,2419464.879999999888241,12996362.570000000298023
20170630,2764033.520000000484288,2596900.199999999720603,2857571.520000000018626,2432241.250000000000000,2403065.520000000484288,13053812.010000001639128
20170703,2754053.680000000167638,2585058.859999999869615,2899777.919999999925494,2405424.650000000372529,2392047.200000000186265,13036362.309999998658895
20170705,2765376.960000000428408,2597625.179999999701977,2928853.439999999944121,2437534.000000000000000,2408959.040000000037253,13138348.620000001043081
20170706,2739275.839999999850988,2573942.500000000000000,2919474.239999999757856,2419538.649999999441206,2389484.799999999813735,13041716.030000001192093
20170707,2767104.240000000223517,2583850.560000000055879,2934168.319999999832362,2450942.299999999813735,2406652.879999999888241,13142718.300000000745058
20170710,2783993.200000000186265,2606083.279999999795109,2913534.080000000074506,2469290.500000000000000,2436632.959999999962747,13209534.019999999552965
20170711,2793013.440000000409782,2615749.679999999701977,2902279.040000000037253,2469643.349999999627471,2444832.639999999664724,13225518.149999998509884
20170712,2797043.760000000242144,2633149.199999999720603,2892274.560000000055879,2510573.950000000186265,2464563.120000000111759,13297604.589999999850988
20170713,2836003.520000000484288,2621307.859999999869615,2910720.319999999832362,2532450.649999999441206,2458413.360000000335276,13358895.710000000894070
20170714,2860377.359999999869615,2628557.659999999683350,2884145.919999999925494,2568088.500000000000000,2483781.120000000111759,13424950.559999998658895
20170717,2870357.200000000186265,2630249.279999999795109,2857258.879999999888241,2588200.950000000186265,2481218.719999999739230,13427285.030000001192093
20170718,2880337.040000000502914,2587475.459999999497086,2847254.399999999906868,2586436.700000000186265,2500436.719999999739230,13401940.320000000298023
20170719,2898377.520000000484288,2606324.939999999944121,2851318.720000000204891,2606196.299999999813735,2517604.799999999813735,13479822.280000001192093
20170720,2885326.960000000428408,2593516.959999999497086,2851318.720000000204891,2618898.900000000372529,2514017.440000000409782,13463078.980000000447035
20170721,2883983.520000000484288,2575875.779999999795109,2841626.879999999888241,2603726.350000000558794,2552197.200000000186265,13457409.730000000447035
20170724,2918912.960000000428408,2614299.720000000204891,2853819.839999999850988,2597022.200000000186265,2571927.679999999701977,13555982.400000000372529
20170725,2931387.760000000242144,2767995.479999999981374,2901341.119999999646097,2617840.349999999627471,2562190.559999999590218,13780755.269999999552965
20170726,2945206.000000000465661,2743346.159999999683350,2874141.439999999944121,2612900.450000000186265,2584227.200000000186265,13759821.250000000000000
20170727,2889549.200000000186265,2763887.259999999776483,2862261.119999999646097,2581496.799999999813735,2551428.479999999515712,13648622.859999999403954
20170728,2869205.680000000167638,2757362.439999999944121,2853819.839999999850988,2577262.600000000558794,2540666.400000000372529,13598316.960000002756715
20170731,2854427.839999999850988,2753737.540000000037253,2870077.119999999646097,2565265.700000000186265,2551172.240000000223517,13594680.439999999478459
