代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15796318.800000000745058
真實報酬,5796318.800000000745058

夏普值報酬,0.570931880000000
夏普值風險,0.122537678128197
夏普值,4.659235336601536

預期報酬,22658.194535372789687
風險,279768.585891280614305
趨勢值,0.080989059093925
找到最佳解世代,2121
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),BA[2](10),JNJ[12](8),MCD[15](23),MRK[17](20),PG[21](3),
20091215,3078115.359999999403954,2607721.780000000260770,2051321.899999999906868,1893585.629999999888241,2367597.250000000000000,2198622.789999999571592,14196968.709999997168779
20091216,3091430.919999999925494,2582427.100000000093132,2053223.000000000000000,1906412.849999999860302,2352021.000000000000000,2200038.509999999776483,14185557.379999998956919
20091217,3041497.570000000298023,2551511.379999999888241,2042766.949999999953434,1891142.349999999860302,2322737.649999999906868,2179864.500000000000000,14029524.400000000372529
20091218,3098088.700000000186265,2503264.120000000111759,2039598.450000000186265,1898777.599999999860302,2330214.250000000000000,2178448.779999999795109,14048395.900000000372529
20091221,3142473.900000000372529,2543548.240000000223517,2038331.050000000046566,1913742.689999999711290,2348282.699999999720603,2169600.529999999795109,14155983.109999999403954
20091222,3175762.799999999813735,2581021.840000000316650,2044668.050000000046566,1923210.399999999906868,2352021.000000000000000,2169600.529999999795109,14246288.619999999180436
20091223,3203503.549999999813735,2574463.959999999962747,2045935.449999999720603,1935121.389999999897555,2320868.500000000000000,2169954.459999999962747,14249851.309999998658895
20091224,3313356.919999999925494,2598821.799999999813735,2050054.500000000000000,1936953.849999999860302,2304669.200000000186265,2168892.669999999925494,14372752.939999999478459
20091228,3354413.230000000447035,2582895.520000000018626,2057658.899999999906868,1942756.639999999897555,2323360.699999999720603,2167830.879999999888241,14428919.870000001043081
20091229,3314466.549999999813735,2586174.459999999962747,2057658.899999999906868,1942145.820000000065193,2311522.750000000000000,2179510.569999999832362,14391483.050000000745058
20091230,3354413.230000000447035,2574463.959999999962747,2056708.349999999860302,1920767.119999999878928,2309030.550000000279397,2172078.039999999571592,14387465.250000000000000
20091231,3339988.040000000037253,2535585.100000000093132,2040865.849999999860302,1907023.669999999925494,2276631.949999999720603,2145887.220000000204891,14245985.830000000074506
20100104,3392140.650000000372529,2631611.200000000186265,2049420.800000000279397,1917407.609999999869615,2305915.299999999813735,2163229.789999999571592,14459729.349999997764826
20100105,3398798.429999999701977,2717800.480000000447035,2025657.050000000046566,1902747.929999999701977,2315261.049999999813735,2163937.649999999906868,14524206.590000001713634
20100106,3344426.559999999590218,2800242.400000000372529,2042133.250000000000000,1876788.080000000074506,2346413.549999999813735,2153673.680000000167638,14563681.519999999552965
20100107,3337768.780000000260770,2913600.040000000037253,2027558.150000000139698,1890531.529999999795109,2350151.850000000093132,2141993.990000000223517,14661608.339999999850988
20100108,3359961.379999999888241,2885494.840000000316650,2034528.849999999860302,1888699.070000000065193,2348905.750000000000000,2139162.549999999813735,14656756.440000001341105
20100111,3331111.000000000000000,2851300.180000000167638,2034845.699999999953434,1903358.750000000000000,2358251.500000000000000,2130668.229999999981374,14609539.359999999403954
20100112,3292273.950000000186265,2830689.700000000186265,2045618.600000000093132,1913742.689999999711290,2339560.000000000000000,2155089.399999999906868,14576978.339999999850988
20100113,3338878.410000000149012,2864884.359999999869615,2058609.449999999953434,1911604.820000000065193,2425540.899999999906868,2177386.990000000223517,14776908.929999999701977
20100114,3320014.700000000186265,2883621.160000000149012,2062728.499999999767169,1913437.279999999795109,2491584.200000000186265,2179510.569999999832362,14850900.410000000149012
20100115,3264533.200000000186265,2848958.080000000074506,2045618.600000000093132,1902137.109999999869615,2459185.600000000093132,2152611.890000000130385,14673048.480000000447035
20100119,3408785.099999999627471,2840994.939999999944121,2070649.749999999767169,1938786.309999999823049,2530836.349999999627471,2184465.589999999850988,14974522.039999999105930
20100120,3356632.490000000223517,2819916.040000000037253,2064312.750000000232831,1924432.039999999804422,2556381.399999999906868,2139516.479999999981374,14861195.200000001117587
20100121,3297822.099999999627471,2773074.040000000037253,2026924.449999999953434,1930234.830000000074506,2497191.649999999906868,2117926.750000000000000,14643177.820000000298023
20100122,3134706.490000000223517,2706089.980000000447035,2002527.000000000000000,1936037.619999999878928,2421802.599999999627471,2134561.459999999962747,14335729.149999998509884
20100125,3219038.370000000111759,2706558.400000000372529,2003160.699999999953434,1926875.320000000065193,2414949.049999999813735,2145887.220000000204891,14416473.060000000521541
20100126,3264533.200000000186265,2703279.459999999962747,1989536.149999999906868,1948864.839999999850988,2403734.149999999906868,2148010.799999999813735,14457962.600000001490116
20100127,3295602.839999999850988,2900952.700000000186265,2010131.399999999906868,1946421.559999999823049,2407472.450000000186265,2152257.959999999962747,14712842.910000000149012
20100128,3159118.349999999627471,2930463.160000000149012,2021538.000000000000000,1918934.659999999916181,2365728.100000000093132,2183049.869999999646097,14578836.139999998733401
20100129,3044826.459999999962747,2838652.840000000316650,1991754.100000000093132,1906718.259999999776483,2378812.149999999906868,2178448.779999999795109,14339216.589999999850988
20100201,3086992.400000000372529,2890179.040000000037253,1999041.650000000139698,1951308.119999999878928,2386288.750000000000000,2194021.700000000186265,14507835.660000000149012
20100202,3104746.480000000447035,2901421.120000000111759,2027558.150000000139698,1955583.859999999869615,2463546.949999999720603,2226229.329999999608845,14679089.890000000596046
20100203,3158008.719999999739230,2878936.959999999962747,2016151.550000000046566,1991622.239999999757856,2412456.850000000093132,2217381.079999999608845,14674561.399999998509884
20100204,3044826.459999999962747,2778695.080000000074506,1984783.399999999906868,1956500.089999999850988,2311522.750000000000000,2173139.829999999608845,14249471.609999999403954
20100205,3098088.700000000186265,2735600.439999999944121,1984783.399999999906868,1935426.799999999813735,2288469.899999999906868,2169600.529999999795109,14211973.769999999552965
20100208,3077005.730000000447035,2711711.020000000018626,1976228.449999999953434,1921683.349999999860302,2279747.200000000186265,2159336.559999999590218,14125716.309999998658895
20100209,3110294.629999999888241,2798368.720000000204891,1988585.599999999860302,1941535.000000000000000,2272270.600000000093132,2185881.309999999590218,14296939.859999999403954
20100210,3092540.549999999813735,2789000.320000000298023,1987635.049999999813735,1931761.879999999888241,2255448.250000000000000,2182695.939999999944121,14239085.990000000223517
20100211,3149131.679999999701977,2838184.420000000391155,1993338.349999999860302,1948254.019999999785796,2297815.650000000372529,2192959.910000000149012,14419688.029999999329448
20100212,3176872.429999999701977,2794152.939999999944121,1987318.199999999953434,1942145.820000000065193,2300307.850000000093132,2185881.309999999590218,14386682.549999997019768
20100216,3224586.519999999552965,2869568.560000000055879,2015517.850000000093132,1954973.040000000037253,2346413.549999999813735,2223751.819999999832362,14634815.339999999850988
20100217,3211270.959999999962747,2895800.080000000074506,2027241.299999999813735,1962608.290000000037253,2326475.950000000186265,2224459.680000000167638,14647860.259999997913837
20100218,3216819.109999999403954,2945921.020000000018626,2044668.050000000046566,1969327.310000000055879,2323360.699999999720603,2243571.899999999906868,14743672.089999997988343
20100219,3196845.769999999552965,2978710.420000000391155,2021854.850000000093132,1977267.969999999739230,2335821.700000000186265,2245695.479999999981374,14756200.189999997615814
20100222,3176872.429999999701977,2996510.379999999888241,2011715.650000000139698,1978184.199999999720603,2312768.849999999627471,2244633.689999999944121,14720689.199999999254942
20100223,3123610.189999999478459,2940299.980000000447035,2006012.350000000093132,1981238.300000000046566,2274762.799999999813735,2237201.160000000149012,14563128.780000001192093
20100224,3181310.950000000186265,2973557.799999999813735,2010448.250000000000000,1993149.290000000037253,2300930.899999999906868,2261268.399999999906868,14720669.589999999850988
20100225,3202393.919999999925494,2944984.180000000167638,2005061.800000000046566,1966273.209999999729916,2278501.100000000093132,2254543.729999999981374,14651761.939999999478459
20100226,3243450.230000000447035,2958568.359999999869615,1996190.000000000000000,1950086.479999999981374,2297815.650000000372529,2239678.669999999925494,14685793.390000000596046
20100301,3313356.919999999925494,2997915.640000000130385,2008547.149999999906868,1954056.809999999823049,2322114.600000000093132,2247819.059999999590218,14843814.179999999701977
20100302,3311137.660000000149012,3018526.120000000111759,2010131.399999999906868,1956805.499999999767169,2329591.200000000186265,2254897.660000000149012,14881093.539999999105930
20100303,3317795.439999999478459,3018994.540000000037253,2008864.000000000000000,1943367.459999999962747,2318376.300000000279397,2249234.779999999795109,14856636.519999999552965
20100304,3339988.040000000037253,3070520.740000000223517,2014250.449999999953434,1937259.259999999776483,2314014.950000000186265,2253481.939999999944121,14929519.380000000819564
20100305,3470924.379999999888241,3182004.700000000651926,2029142.400000000139698,1944589.099999999860302,2335821.700000000186265,2254189.799999999813735,15216676.080000001937151
20100308,3473143.639999999664724,3149683.719999999739230,2034212.000000000000000,1988873.550000000046566,2327099.000000000000000,2236493.299999999813735,15209509.210000000894070
20100309,3535282.919999999925494,3175446.820000000298023,2036429.949999999953434,1988262.729999999748543,2307784.449999999720603,2240386.529999999795109,15283597.399999998509884
20100310,3564133.299999999813735,3279436.060000000521541,2037063.650000000139698,1983376.169999999925494,2284731.600000000093132,2230122.559999999590218,15378867.339999999850988
20100311,3574119.969999999739230,3282246.579999999608845,2034845.699999999953434,1991622.239999999757856,2297815.650000000372529,2235785.439999999944121,15416439.579999998211861
20100312,3591874.049999999813735,3271004.500000000000000,2033578.300000000279397,2001395.359999999869615,2315261.049999999813735,2241094.390000000130385,15454211.649999998509884
20100315,3548598.480000000447035,3250862.440000000409782,2045935.449999999720603,2013611.760000000009313,2352021.000000000000000,2254543.729999999981374,15465576.860000001266599
20100316,3557475.520000000484288,3219009.879999999888241,2044668.050000000046566,2017887.499999999767169,2363858.949999999720603,2248526.919999999925494,15451430.820000000298023
20100317,3553037.000000000000000,3249925.600000000093132,2048470.250000000232831,2027355.209999999729916,2372581.649999999906868,2265515.560000000055879,15516889.269999999552965
20100318,3560804.410000000149012,3319720.180000000167638,2061461.100000000093132,2036517.510000000009313,2395634.500000000000000,2255605.519999999552965,15629747.219999998807907
20100319,3523076.990000000223517,3312693.879999999888241,2063045.350000000093132,2031936.359999999869615,2371335.550000000279397,2259498.750000000000000,15561590.880000000819564
20100322,3563023.669999999925494,3368435.859999999869615,2062728.499999999767169,2046596.040000000037253,2386288.750000000000000,2260914.470000000204891,15687991.290000000968575
20100323,3619614.799999999813735,3381083.200000000651926,2070966.600000000093132,2056979.979999999748543,2398749.750000000000000,2283919.919999999925494,15811318.250000000000000
20100324,3636259.250000000000000,3387641.079999999608845,2051638.750000000000000,2040182.429999999701977,2368220.299999999813735,2251358.359999999869615,15735304.169999998062849
20100325,3592983.680000000633299,3395604.219999999739230,2045935.449999999720603,2043236.530000000027940,2353890.149999999906868,2251712.289999999571592,15683366.319999998435378
20100326,3660671.110000000335276,3400288.420000000391155,2039915.299999999813735,2054231.290000000037253,2332083.399999999906868,2254189.799999999813735,15741383.320000000298023
20100329,3683973.339999999850988,3471488.260000000242144,2053856.699999999720603,2048428.499999999767169,2360743.700000000186265,2255605.519999999552965,15874100.019999999552965
20100330,3738345.209999999962747,3444319.900000000372529,2056391.500000000232831,2053620.469999999739230,2346413.549999999813735,2253128.009999999776483,15892222.640000002458692
20100331,3725029.650000000372529,3401225.260000000242144,2065897.000000000000000,2037739.149999999906868,2327099.000000000000000,2239324.740000000223517,15796318.800000000745058
