代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13147997.100000001490116
真實報酬,3147997.100000001490116

夏普值報酬,0.306099710000000
夏普值風險,0.083677060727557
夏普值,3.658107817584886

預期報酬,13398.817415103623716
風險,133302.982195472344756
趨勢值,0.100514010972807
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](2),INTC[11](9),MCD[15](30),MRK[17](4),MSFT[18](3),
20140618,2160008.870000000111759,2279193.400000000372529,2176405.159999999683350,1755706.219999999972060,2044730.800000000046566,2085835.599999999860302,12501884.049999998882413
20140619,2164919.040000000037253,2259690.040000000037253,2188039.719999999739230,1765407.100000000093132,2040880.139999999897555,2078824.399999999674037,12497764.440000001341105
20140620,2140368.189999999944121,2277060.219999999739230,2196038.479999999515712,1765580.330000000074506,2062583.860000000102445,2087337.999999999767169,12528973.080000000074506
20140623,2138817.610000000335276,2295344.620000000111759,2198219.959999999962747,1765407.100000000093132,2047881.340000000083819,2102862.799999999813735,12548537.429999999701977
20140624,2136750.170000000391155,2270660.680000000633299,2217853.279999999795109,1757784.980000000214204,2027577.860000000102445,2090843.599999999860302,12501474.570000000298023
20140625,2168278.630000000353903,2283155.020000000484288,2245485.359999999869615,1760210.200000000186265,2060483.500000000000000,2104866.000000000000000,12622482.710000000894070
20140626,2182492.280000000260770,2261823.219999999739230,2238213.759999999776483,1758477.900000000139698,2048931.520000000018626,2089341.199999999720603,12579283.879999998956919
20140627,2204458.830000000074506,2239881.940000000409782,2249121.159999999683350,1757611.750000000000000,2013925.520000000018626,2115883.599999999627471,12580886.799999998882413
20140630,2215829.750000000000000,2233177.660000000149012,2246939.679999999701977,1745139.190000000176951,2025127.440000000176951,2088339.600000000093132,12554557.319999998435378
20140701,2234695.140000000130385,2236834.540000000037253,2252756.959999999962747,1749643.170000000158325,2048231.399999999906868,2096853.199999999720603,12619018.410000000149012
20140702,2233919.850000000093132,2235920.320000000298023,2252756.959999999962747,1741501.360000000102445,2067134.639999999897555,2098355.599999999627471,12629592.730000000447035
20140703,2244257.050000000279397,2258775.820000000298023,2264391.520000000018626,1749296.710000000195578,2072385.540000000270084,2093347.599999999627471,12682458.240000002086163
20140707,2237796.300000000279397,2223425.980000000447035,2256392.759999999776483,1735265.080000000074506,2048581.460000000195578,2102862.799999999813735,12604328.380000002682209
20140708,2218930.910000000149012,2212760.080000000074506,2238940.919999999925494,1733879.240000000223517,2036329.360000000102445,2092346.000000000000000,12533190.509999999776483
20140709,2254077.390000000130385,2221902.280000000260770,2246212.520000000018626,1750855.780000000027940,2049631.639999999897555,2086837.199999999953434,12609520.809999998658895
20140710,2244773.910000000149012,2218550.139999999664724,2273117.439999999944121,1742367.510000000242144,2050681.820000000065193,2087838.799999999813735,12617333.620000001043081
20140711,2245549.200000000186265,2239272.459999999962747,2272390.279999999795109,1738729.680000000167638,2045780.979999999981374,2107870.799999999813735,12649597.399999998509884
20140714,2242189.610000000335276,2235006.100000000558794,2289842.119999999646097,1740461.980000000214204,2036679.420000000158325,2110374.799999999813735,12654558.030000001192093
20140715,2226425.380000000353903,2236834.540000000037253,2305839.639999999664724,1737517.070000000065193,2027227.800000000046566,2125899.599999999627471,12659748.029999999329448
20140716,2205750.979999999981374,2259690.040000000037253,2519624.679999999701977,1719674.380000000121072,2035629.239999999990687,2207530.000000000000000,12947903.320000000298023
20140717,2197481.220000000204891,2241405.639999999664724,2450544.479999999981374,1704083.680000000167638,2016375.940000000176951,2230066.000000000000000,12839960.959999999031425
20140718,2217638.760000000242144,2243234.080000000074506,2450544.479999999981374,1714823.940000000176951,2042280.380000000121072,2238078.799999999813735,12906604.440000001341105
20140721,2215829.750000000000000,2250547.839999999850988,2476722.239999999757856,1689878.820000000065193,2030378.340000000083819,2245590.799999999813735,12908951.789999999105930
20140722,2227975.959999999962747,2269746.459999999962747,2529804.919999999925494,1667705.380000000121072,2045430.920000000158325,2245090.000000000000000,12985757.640000000596046
20140723,2223582.650000000372529,2338617.700000000186265,2508717.279999999795109,1651768.219999999972060,2034229.000000000000000,2247093.200000000186265,13004012.050000000745058
20140724,2243223.330000000074506,2336484.520000000484288,2490538.279999999795109,1651768.219999999972060,2037729.600000000093132,2223555.599999999627471,12983303.550000000745058
20140725,2228492.820000000298023,2330999.200000000186265,2490538.279999999795109,1658177.730000000214204,2035629.239999999990687,2228563.599999999627471,12972404.870000001043081
20140728,2252268.380000000353903,2330389.719999999739230,2489083.959999999497086,1659217.110000000102445,2029328.160000000149012,2202021.200000000186265,12962312.529999997466803
20140729,2227717.530000000260770,2319723.820000000298023,2486175.319999999832362,1659910.030000000027940,2050681.820000000065193,2198014.799999999813735,12942227.320000000298023
20140730,2253818.959999999962747,2277669.700000000186265,2497809.879999999888241,1662162.020000000251457,2033178.820000000065193,2182490.000000000000000,12907133.380000000819564
20140731,2219447.770000000018626,2216416.959999999962747,2464360.520000000018626,1638083.050000000279397,1986270.780000000260770,2161456.399999999441206,12686039.480000000447035
20140801,2206526.270000000018626,2212150.600000000558794,2453453.120000000111759,1633579.070000000065193,1988371.139999999897555,2146432.399999999441206,12640516.600000001490116
20140804,2254594.250000000000000,2242929.339999999850988,2475995.079999999608845,1633752.300000000279397,1997472.700000000186265,2171973.200000000186265,12776720.870000001043081
20140805,2241931.180000000167638,2217635.919999999925494,2386554.399999999906868,1618508.060000000288710,1961416.520000000018626,2157450.000000000000000,12583500.080000000074506
20140806,2237796.300000000279397,2234701.360000000335276,2388735.879999999888241,1619200.980000000214204,1957915.920000000158325,2140422.799999999813735,12578777.239999998360872
20140807,2209885.860000000335276,2227082.860000000335276,2376374.159999999683350,1616429.300000000279397,1947764.180000000167638,2164962.000000000000000,12542502.360000001266599
20140808,2244515.479999999981374,2268832.240000000223517,2370556.879999999888241,1620586.820000000065193,1979619.639999999897555,2163459.599999999627471,12647574.660000000149012
20140811,2261313.430000000167638,2248109.919999999925494,2401097.600000000093132,1620240.360000000102445,1983470.300000000046566,2163459.599999999627471,12677695.209999999031425
20140812,2253818.959999999962747,2248109.919999999925494,2409096.359999999869615,1620760.050000000279397,1996422.520000000018626,2179485.200000000186265,12707697.010000001639128
20140813,2263897.729999999981374,2278279.180000000633299,2479630.879999999888241,1627689.250000000000000,2025127.440000000176951,2207530.000000000000000,12882158.479999998584390
20140814,2289999.160000000149012,2262432.700000000186265,2467996.319999999832362,1622492.350000000093132,2057683.020000000018626,2217045.200000000186265,12917652.750000000000000
20140815,2307313.970000000204891,2257556.860000000335276,2484721.000000000000000,1624744.340000000316650,2051732.000000000000000,2243086.799999999813735,12969158.969999998807907
20140818,2325145.640000000130385,2295039.879999999888241,2502172.839999999385327,1632712.920000000158325,2045080.860000000102445,2259112.399999999441206,13059268.539999999105930
20140819,2328246.800000000279397,2303572.600000000558794,2497082.720000000204891,1636177.520000000251457,2062233.800000000046566,2270130.000000000000000,13097447.440000001341105
20140820,2321786.050000000279397,2313019.540000000037253,2508717.279999999795109,1631673.540000000037253,2082187.219999999972060,2251099.599999999627471,13108487.230000000447035
20140821,2335741.270000000018626,2303267.860000000335276,2555982.679999999701977,1637563.360000000102445,2060133.440000000176951,2264621.200000000186265,13157313.809999998658895
20140822,2338584.000000000000000,2304791.559999999590218,2540712.319999999832362,1636177.520000000251457,2071335.360000000102445,2261115.599999999627471,13152720.359999997541308
20140825,2335741.270000000018626,2305705.780000000260770,2531259.239999999757856,1636004.290000000037253,2090938.719999999972060,2262117.200000000186265,13161770.500000003725290
20140826,2326437.790000000037253,2304486.820000000298023,2530532.079999999608845,1630287.700000000186265,2107391.540000000037253,2254104.399999999441206,13153244.329999998211861
20140827,2335482.840000000316650,2327951.799999999813735,2529804.919999999925494,1639642.120000000344589,2110192.020000000484288,2247093.200000000186265,13190170.900000002235174
20140828,2331864.820000000298023,2327951.799999999813735,2519624.679999999701977,1630807.390000000130385,2100390.339999999850988,2247594.000000000000000,13158237.029999999329448
20140829,2322819.770000000018626,2323990.180000000633299,2539258.000000000000000,1623531.730000000214204,2104241.000000000000000,2275138.000000000000000,13188982.680000001564622
20140902,2346595.330000000074506,2323990.180000000633299,2513807.399999999906868,1607594.570000000065193,2093039.080000000074506,2258110.799999999813735,13143141.359999999403954
20140903,2350213.350000000093132,2339227.180000000633299,2513807.399999999906868,1613484.390000000130385,2117193.219999999739230,2251600.399999999441206,13185529.940000001341105
20140904,2329538.950000000186265,2355987.879999999888241,2538530.839999999385327,1611232.400000000139698,2103190.820000000298023,2266624.399999999441206,13205109.289999999105930
20140905,2350213.350000000093132,2378233.900000000372529,2545075.279999999795109,1612271.780000000027940,2141697.419999999925494,2299176.399999999441206,13326672.129999998956919
20140908,2340393.010000000242144,2356902.100000000558794,2569071.559999999590218,1602397.670000000158325,2137146.639999999664724,2327221.200000000186265,13333136.179999999701977
20140909,2315583.729999999981374,2320028.559999999590218,2538530.839999999385327,1577972.240000000223517,2119993.700000000186265,2341744.399999999441206,13213857.469999998807907
20140910,2313516.290000000037253,2315762.200000000186265,2546529.600000000093132,1611059.170000000158325,2126994.900000000372529,2345750.799999999813735,13259616.960000000894070
20140911,2325145.640000000130385,2295039.879999999888241,2546529.600000000093132,1610366.250000000000000,2103890.940000000409782,2353763.599999999627471,13234739.909999998286366
20140912,2317392.740000000223517,2285897.680000000633299,2517443.199999999720603,1616948.990000000223517,2084637.639999999897555,2338739.599999999627471,13161063.850000001490116
20140915,2327988.370000000111759,2301744.160000000149012,2511625.919999999925494,1619200.980000000214204,2083587.460000000195578,2315702.799999999813735,13159853.690000001341105
20140916,2332898.540000000037253,2320942.780000000260770,2539985.159999999683350,1624051.420000000158325,2100040.280000000260770,2341744.399999999441206,13259666.579999998211861
20140917,2334449.120000000111759,2349893.080000000074506,2543620.959999999497086,1620240.360000000102445,2096189.620000000111759,2329725.200000000186265,13274122.339999999850988
20140918,2334707.550000000279397,2325818.620000000111759,2557437.000000000000000,1619374.210000000195578,2111242.200000000186265,2337738.000000000000000,13286321.580000001937151
20140919,2338584.000000000000000,2321247.520000000484288,2531986.399999999906868,1634618.450000000186265,2117543.280000000260770,2379805.200000000186265,13323788.850000001490116
20140922,2307572.400000000372529,2294125.660000000149012,2523987.639999999664724,1627169.560000000288710,2120693.820000000298023,2356768.400000000372529,13230321.480000000447035
20140923,2282246.260000000242144,2291078.260000000707805,2502900.000000000000000,1619893.900000000139698,2110192.020000000484288,2331728.400000000372529,13138042.840000001713634
20140924,2311707.280000000260770,2322771.219999999739230,2526896.279999999795109,1645705.170000000158325,2112992.500000000000000,2357770.000000000000000,13277846.449999999254942
20140925,2276043.939999999944121,2305705.780000000260770,2482539.520000000018626,1631153.850000000093132,2087788.180000000167638,2305686.799999999813735,13088922.070000000298023
20140926,2293358.750000000000000,2324904.400000000372529,2491265.439999999478459,1640508.270000000251457,2079036.680000000167638,2324216.399999999441206,13153293.939999997615814
20140929,2295684.620000000111759,2318200.120000000111759,2537803.679999999701977,1666839.230000000214204,2079736.800000000046566,2325718.799999999813735,13223987.250000000000000
20140930,2300853.220000000204891,2275841.260000000707805,2531986.399999999906868,1642413.800000000279397,2075186.020000000018626,2321712.399999999441206,13147997.100000001490116
