代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14186926.010000001639128
真實報酬,4186926.010000001639128

夏普值報酬,0.409992601000000
夏普值風險,0.096879395370043
夏普值,4.231989675761090

預期報酬,15859.486809413863739
風險,111655.551470103804604
趨勢值,0.142039393479332
找到最佳解世代,3866
找到最佳解實驗#,2
找到最佳解次數,24

stock[index](rank)
投資組合檔數,6
BA[2](4),HD[9](12),JNJ[12](7),KO[14](6),MCD[15](2),V[25](1),
20170818,2609855.489999999757856,1899647.110000000102445,1986061.419999999925494,1886408.600000000093132,2204486.770000000018626,2209636.450000000186265,12796099.839999999850988
20170821,2608859.279999999795109,1921670.199999999720603,1998340.099999999860302,1886821.649999999906868,2212870.570000000298023,2224940.500000000000000,12853506.299999998882413
20170822,2653910.109999999869615,1930814.289999999804422,2017057.599999999860302,1883517.250000000000000,2230756.009999999776483,2243262.250000000000000,12959321.509999999776483
20170823,2635535.569999999832362,1920382.299999999813735,1988607.000000000232831,1881038.949999999953434,2219158.419999999925494,2224078.300000000745058,12868804.539999999105930
20170824,2642730.419999999925494,1909435.149999999906868,1989954.659999999916181,1875669.299999999813735,2213569.220000000204891,2224940.500000000000000,12856303.250000001862645
20170825,2611183.769999999552965,1927465.750000000000000,1971836.120000000111759,1882278.100000000093132,2219298.149999999906868,2227742.650000000372529,12839808.540000000968575
20170828,2625462.779999999795109,1949875.209999999729916,1972734.560000000288710,1876082.350000000093132,2231175.199999999720603,2237011.299999999813735,12892345.399999998509884
20170829,2662101.169999999925494,1929912.760000000009313,1979772.340000000083819,1877321.500000000232831,2227123.029999999795109,2236795.750000000000000,12913030.549999998882413
20170830,2661769.100000000093132,1931973.399999999906868,1962701.979999999981374,1874843.199999999953434,2229218.979999999981374,2235933.549999999813735,12896444.210000000894070
20170831,2652913.899999999906868,1930299.129999999888241,1982168.180000000167638,1881451.999999999767169,2235367.100000000093132,2231407.000000000000000,12913611.309999998658895
20170901,2660330.129999999888241,1942019.020000000018626,1962103.020000000018626,1890952.150000000139698,2233131.419999999925494,2239597.900000000372529,12928137.640000000596046
20170905,2623470.359999999869615,1969708.869999999878928,1945182.400000000139698,1896734.850000000093132,2223210.589999999850988,2220413.950000000186265,12878725.019999999552965
20170906,2597126.140000000130385,2016459.639999999897555,1956712.379999999888241,1898387.050000000046566,2210914.350000000093132,2224078.300000000745058,12903681.860000001266599
20170907,2615832.750000000000000,2034103.869999999878928,1979472.860000000102445,1911604.650000000139698,2234388.990000000223517,2253824.200000000186265,13029231.320000000298023
20170908,2643173.179999999701977,2056384.539999999804422,1961354.319999999832362,1912430.749999999767169,2231734.120000000111759,2251022.050000000745058,13056102.960000000894070
20170911,2663208.069999999832362,2039770.629999999888241,1994746.340000000083819,1921517.850000000093132,2257164.979999999981374,2288096.650000000372529,13164508.519999999552965
20170912,2663097.379999999888241,2059604.289999999804422,1986061.419999999925494,1929778.849999999860302,2184505.380000000353903,2289389.950000000186265,13112441.269999999552965
20170913,2678040.529999999795109,2061020.979999999981374,1983366.099999999860302,1935974.599999999860302,2193867.290000000037253,2281199.049999999813735,13133472.550000000745058
20170914,2714568.229999999981374,2052778.419999999925494,2009271.120000000111759,1904582.800000000046566,2193867.290000000037253,2286587.799999999813735,13161659.660000000149012
20170915,2756298.359999999869615,2040157.000000000000000,2013314.099999999860302,1907474.149999999906868,2192749.449999999720603,2269774.900000000372529,13179771.959999999031425
20170918,2801459.879999999888241,2032558.389999999897555,2027239.919999999925494,1904582.800000000046566,2189395.930000000167638,2259644.049999999813735,13214884.969999998807907
20170919,2794597.100000000093132,2030626.539999999804422,2024844.080000000074506,1899213.149999999906868,2199875.680000000167638,2272145.950000000186265,13221306.500000000000000
20170920,2827804.100000000093132,2043763.119999999878928,1994896.080000000074506,1890952.150000000139698,2234109.529999999795109,2272145.950000000186265,13263674.929999999701977
20170921,2834224.120000000111759,2050331.409999999916181,1972884.300000000046566,1875256.250000000000000,2222232.479999999981374,2269990.450000000186265,13224923.010000001639128
20170922,2838762.409999999683350,2060377.029999999795109,1967493.659999999916181,1878973.700000000186265,2220555.720000000204891,2275379.200000000186265,13241545.720000002533197
20170925,2815185.439999999944121,2074930.299999999813735,1964199.379999999888241,1887234.699999999953434,2183527.270000000018626,2220629.500000000000000,13145710.589999999850988
20170926,2808322.659999999683350,2076990.939999999711290,1960755.360000000102445,1882278.100000000093132,2142865.839999999850988,2218905.099999999627471,13090122.000000000000000
20170927,2825811.679999999701977,2072612.079999999841675,1942936.300000000046566,1843864.449999999953434,2152646.940000000409782,2239382.350000000558794,13077257.800000000745058
20170928,2814631.989999999757856,2091157.840000000083819,1938743.580000000074506,1855016.799999999813735,2200714.060000000055879,2254255.299999999813735,13154523.570000000298023
20170929,2813967.850000000093132,2106612.640000000130385,1946829.539999999804422,1859147.299999999813735,2189395.930000000167638,2254255.299999999813735,13170212.559999998658895
20171002,2833670.669999999925494,2112536.979999999981374,1964948.080000000074506,1850473.249999999767169,2193308.370000000111759,2272792.599999999627471,13227733.950000001117587
20171003,2827804.100000000093132,2127347.829999999608845,1978125.199999999953434,1866582.199999999953434,2191911.070000000298023,2276025.850000000558794,13267800.250000000000000
20171004,2831124.799999999813735,2128893.309999999590218,1989954.659999999916181,1879386.750000000000000,2196801.620000000111759,2269990.450000000186265,13296155.589999999850988
20171005,2865770.769999999552965,2139582.879999999888241,1994446.860000000102445,1880212.850000000093132,2219018.690000000409782,2290036.599999999627471,13389072.650000000372529
20171006,2862339.379999999888241,2136105.549999999813735,1994896.080000000074506,1878973.700000000186265,2230197.089999999850988,2300598.549999999813735,13403114.350000001490116
20171009,2860236.269999999552965,2134302.490000000223517,1998340.099999999860302,1875669.299999999813735,2237463.050000000279397,2306633.950000000186265,13412649.160000000149012
20171010,2888351.529999999795109,2127219.040000000037253,2005078.400000000139698,1894669.599999999860302,2243890.630000000353903,2313100.450000000186265,13472313.650000002235174
20171011,2893996.719999999739230,2128378.149999999906868,2046256.900000000139698,1904169.750000000000000,2279801.240000000223517,2337457.599999999627471,13590064.359999999403954
20171012,2899199.150000000372529,2119878.009999999776483,2048952.220000000204891,1904582.800000000046566,2290420.720000000204891,2330344.450000000186265,13593381.350000001490116
20171013,2886248.419999999925494,2118332.529999999795109,2042962.620000000111759,1907474.149999999906868,2310821.300000000279397,2342199.700000000186265,13608042.719999998807907
20171016,2875290.109999999869615,2115112.779999999795109,2038320.680000000167638,1925648.349999999860302,2305791.020000000018626,2334439.900000000372529,13594606.839999999850988
20171017,2862782.140000000130385,2103908.049999999813735,2108249.259999999776483,1921517.850000000093132,2311240.490000000223517,2318058.100000000558794,13625759.890000000596046
20171018,2878500.120000000111759,2105195.949999999720603,2106602.120000000111759,1916561.250000000000000,2316410.500000000000000,2323662.400000000372529,13646936.340000001713634
20171019,2867431.120000000111759,2102491.359999999869615,2126966.759999999776483,1924409.200000000186265,2326610.790000000037253,2306849.500000000000000,13654762.730000000447035
20171020,2930635.109999999869615,2104938.370000000111759,2132357.400000000372529,1915735.150000000139698,2323816.190000000409782,2318273.650000000372529,13725759.870000002905726
20171023,2903737.439999999944121,2121809.859999999869615,2150625.679999999701977,1913256.850000000093132,2282456.109999999869615,2317842.549999999813735,13689732.489999998360872
20171024,2944471.359999999869615,2138423.770000000018626,2120977.160000000149012,1907474.149999999906868,2290001.529999999795109,2336810.950000000186265,13738162.919999998062849
20171025,2860568.339999999850988,2138938.929999999701977,2131758.440000000409782,1902104.499999999767169,2285809.630000000353903,2360090.349999999627471,13679274.189999999478459
20171026,2869976.989999999757856,2159287.750000000000000,2123522.740000000223517,1909539.399999999906868,2291818.020000000018626,2366772.400000000372529,13720921.300000000745058
20171027,2838873.099999999627471,2155295.259999999776483,2123073.520000000484288,1902930.600000000093132,2311100.759999999776483,2364832.450000000186265,13696109.690000001341105
20171030,2869755.609999999869615,2129150.890000000130385,2096419.800000000046566,1894256.550000000046566,2322838.080000000074506,2371945.600000000558794,13684370.530000001192093
20171031,2855697.979999999981374,2135204.020000000018626,2087585.139999999897555,1899213.149999999906868,2332339.720000000204891,2370652.299999999813735,13680696.309999998658895
20171101,2861453.859999999869615,2130052.419999999925494,2096120.319999999832362,1891778.249999999767169,2324794.300000000279397,2394147.250000000000000,13698350.400000000372529
20171102,2907168.829999999608845,2095665.489999999990687,2095371.620000000111759,1895082.650000000139698,2348967.589999999850988,2392207.299999999813735,13734467.480000000447035
20171103,2897428.109999999869615,2117302.209999999962747,2097617.720000000670552,1898800.099999999860302,2356652.740000000223517,2400398.200000000186265,13768203.080000001937151
20171106,2923108.189999999944121,2115112.779999999795109,2092826.039999999804422,1878147.599999999860302,2376494.399999999906868,2412469.000000000000000,13798162.009999999776483
20171107,2945910.329999999608845,2107900.540000000037253,2092975.780000000260770,1897560.949999999953434,2386275.500000000000000,2416133.350000000558794,13846760.449999999254942
20171108,2939711.689999999944121,2112923.350000000093132,2116185.479999999515712,1907474.149999999906868,2376913.589999999850988,2424324.250000000000000,13877536.509999999776483
20171109,2907943.659999999683350,2102877.729999999981374,2101660.700000000186265,1909539.399999999906868,2333597.290000000037253,2417211.100000000558794,13772833.880000002682209
20171110,2887466.010000000242144,2113696.089999999850988,2089831.239999999990687,1922343.949999999953434,2313895.359999999869615,2411606.799999999813735,13738843.449999999254942
20171113,2904844.339999999850988,2129666.049999999813735,2092826.039999999804422,1929778.849999999860302,2338767.300000000279397,2401260.400000000372529,13797146.980000000447035
20171114,2897538.799999999813735,2164568.140000000130385,2088783.060000000288710,1959105.399999999906868,2349107.320000000298023,2413762.299999999813735,13872869.019999999552965
20171115,2909714.700000000186265,2131211.529999999795109,2082943.199999999953434,1933496.300000000046566,2338068.649999999906868,2376472.150000000372529,13771910.530000001192093
20171116,2919012.659999999683350,2157355.899999999906868,2079499.180000000167638,1922756.999999999767169,2348827.859999999869615,2393069.500000000000000,13820526.099999999627471
20171117,2903073.299999999813735,2160446.859999999869615,2066471.800000000046566,1888060.800000000046566,2329684.850000000093132,2367203.500000000000000,13714945.109999999403954
20171120,2929306.829999999608845,2195348.949999999720603,2065423.620000000111759,1877734.550000000046566,2332619.180000000167638,2370005.650000000372529,13770442.779999999329448
20171121,2955429.669999999925494,2226387.339999999850988,2071562.960000000195578,1890952.150000000139698,2351762.190000000409782,2402338.150000000372529,13898436.459999999031425
20171122,2935062.709999999497086,2216084.140000000130385,2055840.260000000009313,1893430.450000000186265,2362241.940000000409782,2388758.500000000000000,13851422.000000000000000
20171124,2943143.079999999608845,2219561.470000000204891,2066621.539999999804422,1895082.650000000139698,2363080.320000000298023,2413546.750000000000000,13901039.810000000521541
20171127,2939822.379999999888241,2243130.040000000037253,2067969.199999999953434,1895908.750000000000000,2360984.370000000111759,2422384.299999999813735,13930203.040000002831221
20171128,2966498.669999999925494,2274168.429999999701977,2096719.280000000260770,1893017.399999999906868,2394240.109999999869615,2443508.200000000186265,14068156.089999999850988
20171129,2980999.060000000055879,2282926.149999999906868,2093574.739999999990687,1879386.750000000000000,2381524.680000000167638,2368065.700000000186265,13986481.079999998211861
20171130,3064016.560000000055879,2316025.179999999701977,2086387.220000000204891,1890539.100000000093132,2403043.100000000093132,2426910.850000000558794,14186926.010000001639128
