天數,二次加權,一次
Day 53,9528721.720000000670552,10049476.679999999701977
Day 54,9629243.680000001564622,10160422.240000002086163
Day 55,9643603.960000000894070,10178451.019999999552965
Day 56,9729765.640000000596046,10273401.919999999925494
Day 57,9781984.840000001713634,10316801.540000000968575
Day 58,9823760.200000001117587,10410239.500000000000000
Day 59,9791123.200000001117587,10366460.380000000819564
Day 60,9839425.960000000894070,10441803.780000001192093
Day 61,9896867.080000001937151,10494933.780000001192093
Day 62,9933420.520000001415610,10495242.440000001341105
Day 63,9920365.720000000670552,10529397.440000001341105
Day 64,9972584.920000001788139,10554829.000000000000000
Day 65,10000000.000000000000000,10559722.019999999552965
Day 66,10015665.760000001639128,10569250.000000000000000
Day 67,9922976.680000001564622,10534432.140000000596046
Day 68,9926893.120000001043081,10525202.700000001117587
Day 69,9954308.200000001117587,10535520.039999999105930
Day 70,10007832.880000000819564,10538550.980000000447035
Day 71,10037858.920000001788139,10577295.400000000372529
Day 72,10061357.560000000521541,10623624.760000001639128
Day 73,10101827.440000001341105,10685898.179999999701977
Day 74,10052219.200000001117587,10651940.519999999552965
Day 75,10000000.000000000000000,10607523.839999999850988
Day 76,10234986.400000002235174,10702980.740000002086163
Day 77,10040469.880000000819564,10725396.539999999105930
Day 78,10069190.440000001341105,10719076.600000001490116
Day 79,10044386.320000000298023,10734474.179999999701977
Day 80,10165795.960000000894070,10858914.760000001639128
Day 81,10186683.640000000596046,10883258.419999999925494
Day 82,10223237.080000001937151,10894754.740000002086163
Day 83,10266317.920000001788139,10969521.300000000745058
Day 84,10305482.320000000298023,11013512.940000001341105
Day 85,10322453.560000000521541,10945719.060000000521541
Day 86,10261096.000000000000000,10841811.960000000894070
Day 87,10274150.800000000745058,10862917.219999998807907
Day 88,10353785.080000001937151,10909853.780000001192093
Day 89,10406004.280000001192093,10979357.940000001341105
Day 90,10379894.680000001564622,10936469.380000000819564
Day 91,10530024.880000000819564,11104425.960000000894070
Day 92,10540468.720000000670552,11030995.240000000223517
Day 93,10592687.920000001788139,11021168.720000002533197
Day 94,10565272.840000001713634,11063060.460000000894070
Day 95,10639685.200000001117587,11098232.519999999552965
Day 96,10771538.680000001564622,11169244.560000000521541
Day 97,10748040.040000000968575,11142917.380000000819564
Day 98,10770233.200000001117587,11089600.160000000149012
Day 99,10788509.920000001788139,11089584.980000000447035
Day 100,10798953.760000001639128,11086670.420000001788139
Day 101,10761094.840000001713634,11048416.820000000298023
Day 102,10655350.960000000894070,11006393.519999999552965
Day 103,10644907.120000001043081,11049651.460000000894070
Day 104,10571800.240000002086163,10932750.280000001192093
Day 105,10541774.200000001117587,10901803.320000000298023
Day 106,10514359.120000001043081,10852837.700000001117587
Day 107,10535246.800000000745058,10853110.940000001341105
Day 108,10592687.920000001788139,10845895.380000000819564
Day 109,10593993.400000002235174,10868584.420000001788139
Day 110,10608353.680000001564622,10892715.560000000521541
Day 111,10490860.480000000447035,10777691.640000000596046
Day 112,10539163.240000002086163,10801504.000000000000000
Day 113,10635768.760000001639128,10882013.660000000149012
Day 114,10605742.720000000670552,10806316.060000000521541
Day 115,10680155.080000001937151,10855048.920000001788139
Day 116,10772844.160000000149012,10961400.000000000000000
Day 117,10795037.320000000298023,10992159.740000000223517
Day 118,10809397.600000001490116,11040022.280000001192093
Day 119,10789815.400000002235174,11011924.100000001490116
Day 120,10742818.120000001043081,11003342.339999999850988
Day 121,10684071.520000001415610,10938371.940000001341105
Day 122,10746734.560000000521541,11056153.560000000521541
Day 123,11011747.000000000000000,11269685.559999998658895
Day 124,11040467.560000000521541,11302013.900000000372529
Day 125,11007830.560000000521541,11319936.420000001788139
Day 126,11181459.400000002235174,11508117.820000000298023
Day 127,11180153.920000001788139,11537637.860000001266599
Day 128,11208874.480000000447035,11629294.699999999254942
Day 129,11234984.080000001937151,11600650.040000000968575
Day 130,11174932.000000000000000,11570963.019999999552965
Day 131,11142295.000000000000000,11503791.519999999552965
Day 132,11095297.720000000670552,11448425.000000000000000
Day 133,11091381.280000001192093,11455620.320000000298023
Day 134,11202347.080000001937151,11508052.040000000968575
Day 135,11159266.240000002086163,11530923.240000002086163
Day 136,11148822.400000002235174,11516886.800000000745058
Day 137,11254566.280000001192093,11906405.600000001490116
Day 138,11262399.160000000149012,11857434.919999999925494
Day 139,11297647.120000001043081,11917436.400000000372529
Day 140,11561354.080000001937151,12058782.440000001341105
Day 141,11503912.960000000894070,11979886.919999999925494
Day 142,11490858.160000000149012,11947254.980000000447035
Day 143,11369448.520000001415610,11832985.000000000000000
Day 144,11328978.640000000596046,11828005.960000000894070
Day 145,11289814.240000002086163,11810118.860000001266599
Day 146,11278064.920000001788139,11766952.000000000000000
Day 147,11104436.080000001937151,11588602.180000001564622
Day 148,11167099.120000001043081,11646377.260000001639128
Day 149,11002608.640000000596046,11314952.320000000298023
Day 150,11107047.040000000968575,11418024.519999999552965
Day 151,10719319.480000000447035,10994983.220000000670552
Day 152,11221929.280000001192093,11395117.900000002235174
Day 153,10976499.040000000968575,10998813.640000000596046
Day 154,11263704.640000000596046,11284465.820000000298023
Day 155,11292425.200000001117587,11348662.039999999105930
Day 156,11334200.560000000521541,11531940.300000000745058
Day 157,11314618.360000001266599,11462820.700000001117587
Day 158,11422973.200000001117587,11525134.600000001490116
Day 159,11176237.480000000447035,11142416.440000001341105
Day 160,11387725.240000002086163,11034916.740000002086163
Day 161,11456915.680000001564622,11118330.839999999850988
Day 162,11687985.640000000596046,11414902.500000000000000
Day 163,11766314.440000001341105,11536787.780000001192093
Day 164,11580936.280000001192093,11404094.339999999850988
Day 165,11740204.840000001713634,11604419.740000000223517
Day 166,11852476.120000001043081,11778534.339999999850988
Day 167,11851170.640000000596046,11774152.379999998956919
Day 168,11802867.880000000819564,11729659.800000000745058
Day 169,11758481.560000000521541,11653901.480000000447035
Day 170,11630544.520000001415610,11476361.260000001639128
Day 171,11595296.560000000521541,11395340.540000000968575
Day 172,11656654.120000001043081,11500603.720000000670552
Day 173,11567881.480000000447035,11386379.280000001192093
Day 174,11100519.640000000596046,11021158.600000001490116
Day 175,11251955.320000000298023,11132473.539999999105930
Day 176,11242816.960000000894070,11162145.380000000819564
Day 177,11325062.200000001117587,11332434.620000001043081
Day 178,11497385.560000000521541,11515217.000000000000000
Day 179,11526106.120000001043081,11627893.080000001937151
Day 180,11593991.080000001937151,11666581.839999999850988
Day 181,11659265.080000001937151,11753123.020000001415610
Day 182,11425584.160000000149012,11578649.160000000149012
Day 183,11225845.720000000670552,11329611.140000000596046
Day 184,11406001.960000000894070,11444098.699999999254942
Day 185,11663181.520000001415610,11747961.820000000298023
Day 186,11715400.720000000670552,11882557.820000000298023
Day 187,11492163.640000000596046,11765514.960000000894070
Day 188,11590074.640000000596046,11869391.699999999254942
Day 189,11464748.560000000521541,11660950.060000000521541
Day 190,11229762.160000000149012,11489891.699999999254942
Day 191,11289814.240000002086163,11569075.640000000596046
Day 192,11204958.040000000968575,11598180.760000001639128
Day 193,11372059.480000000447035,11845817.160000000149012
Day 194,11383808.800000000745058,11875423.219999998807907
Day 195,11554826.680000001564622,12104337.620000001043081
Day 196,11663181.520000001415610,12103593.800000000745058
Day 197,11535244.480000000447035,12077595.519999999552965
Day 198,11659265.080000001937151,12163337.220000000670552
Day 199,11741510.320000000298023,12330236.259999999776483
Day 200,11574408.880000000819564,12113111.660000000149012
Day 201,11702345.920000001788139,11916373.800000000745058
Day 202,11699734.960000000894070,11863876.300000000745058
Day 203,11620100.680000001564622,11819312.880000000819564
Day 204,12052214.560000000521541,12183860.580000000074506
Day 205,12011744.680000001564622,12184644.880000000819564
Day 206,11980413.160000000149012,12104904.339999999850988
Day 207,11981718.640000000596046,12160139.300000000745058
Day 208,12207566.680000001564622,12421215.060000000521541
Day 209,12178846.120000001043081,12444486.000000000000000
Day 210,12121405.000000000000000,12320161.800000000745058
Day 211,11998689.880000000819564,12147605.679999999701977
Day 212,12079629.640000000596046,12275203.699999999254942
Day 213,12140987.200000001117587,12420471.240000002086163
Day 214,12246731.080000001937151,12442153.339999999850988
Day 215,12352474.960000000894070,12526893.160000000149012
Day 216,12349864.000000000000000,12523214.539999999105930
Day 217,12095295.400000002235174,12226081.220000002533197
Day 218,12174929.680000001564622,12303529.580000001937151
Day 219,12370751.680000001564622,12538065.640000000596046
Day 220,12279368.080000001937151,12491356.780000001192093
Day 221,12332892.760000001639128,12565581.920000001788139
Day 222,12160569.400000002235174,12407208.980000000447035
Day 223,12048298.120000001043081,12320900.560000000521541
Day 224,12107044.720000000670552,12333661.880000000819564
Day 225,12046992.640000000596046,12176164.320000000298023
Day 226,12095295.400000002235174,12194552.360000001266599
Day 227,11993467.960000000894070,12029727.919999999925494
Day 228,12023494.000000000000000,12014568.160000000149012
Day 229,12240203.680000001564622,12297518.300000000745058
Day 230,12201039.280000001192093,12234880.560000000521541
Day 231,12469968.160000000149012,12608693.120000001043081
Day 232,12467357.200000001117587,12656545.539999999105930
Day 233,12493466.800000000745058,12676719.760000001639128
Day 234,12447775.000000000000000,12693878.219999998807907
Day 235,12533936.680000001564622,12808153.260000001639128
Day 236,12591377.800000000745058,12874505.040000000968575
Day 237,12652735.360000001266599,12821445.880000000819564
Day 238,12797643.640000000596046,12994927.980000000447035
Day 239,12856390.240000002086163,12943614.520000001415610
Day 240,12793727.200000001117587,12877363.940000001341105
Day 241,12742813.480000000447035,12769525.220000000670552
Day 242,12812003.920000001788139,12762081.960000000894070
Day 243,12727147.720000000670552,12587097.039999999105930
Day 244,12694510.720000000670552,12547725.179999999701977
Day 245,12900776.560000000521541,12798331.800000000745058
Day 246,12950384.800000000745058,12627521.380000000819564
Day 247,12872056.000000000000000,12607681.120000001043081
Day 248,13074405.400000002235174,12800730.240000002086163
Day 249,13126624.600000001490116,12833620.240000000223517
Day 250,12999993.040000000968575,12737758.540000000968575
Day 251,13160567.080000001937151,12892290.940000001341105
Day 252,13097904.040000000968575,12782984.820000000298023
result_train_2012(2012 Q1).csv,250
Day 1,10000000.000000000000000,10000000.000000000000000
Day 2,9955072.820000000298023,9986625.720000000670552
Day 3,10006846.830000000074506,10057999.870000001043081
Day 4,9967690.230000000447035,10031295.109999999403954
Day 5,9971920.649999998509884,10022373.230000000447035
Day 6,9998380.320000000298023,10051985.000000000000000
Day 7,9984164.389999998733401,9996739.490000000223517
Day 8,10034286.089999999850988,10036094.460000000894070
Day 9,10010276.279999999329448,9998332.940000001341105
Day 10,10093046.919999999925494,10063482.679999999701977
Day 11,10206852.480000000447035,10176909.270000001415610
Day 12,10245582.539999999105930,10209425.580000000074506
Day 13,10220716.259999997913837,10167976.560000000521541
Day 14,10159157.330000000074506,10090218.780000001192093
Day 15,10120723.899999998509884,10012852.780000001192093
Day 16,10179894.169999999925494,10068686.439999999478459
Day 17,10129480.069999998435378,10016348.859999999403954
Day 18,10090296.589999999850988,9981856.650000000372529
Day 19,10083199.979999998584390,9963183.179999999701977
Day 20,10089641.109999999403954,9964165.750000000000000
Day 21,10215105.839999999850988,10066849.469999998807907
Day 22,10296060.490000000223517,10105561.300000000745058
Day 23,10396149.650000000372529,10253646.750000000000000
Day 24,10366000.490000000223517,10273615.910000000149012
Day 25,10382190.000000000000000,10308937.960000000894070
Day 26,10399756.179999999701977,10340450.910000000149012
Day 27,10520501.639999998733401,10439348.750000000000000
Day 28,10535883.310000000521541,10437888.470000000670552
Day 29,10521266.429999999701977,10469740.069999998435378
Day 30,10615166.559999998658895,10516155.560000000521541
Day 31,10577937.769999999552965,10472779.070000002160668
Day 32,10576910.419999999925494,10488889.129999998956919
Day 33,10687919.319999998435378,10594711.310000000521541
Day 34,10556514.399999998509884,10561593.060000000521541
Day 35,10513278.019999999552965,10545978.580000000074506
Day 36,10537095.830000000074506,10573957.459999999031425
Day 37,10560191.800000000745058,10575774.990000000223517
Day 38,10527046.169999999925494,10576922.519999999552965
Day 39,10606329.070000000298023,10640913.830000000074506
Day 40,10551385.660000000149012,10593105.400000000372529
Day 41,10573545.190000001341105,10656442.570000000298023
Day 42,10535833.689999999478459,10630490.199999999254942
Day 43,10573515.929999999701977,10682068.910000000149012
Day 44,10398397.339999999850988,10504081.130000000819564
Day 45,10508934.960000000894070,10559016.220000002533197
Day 46,10596773.580000000074506,10663983.959999999031425
Day 47,10628427.039999999105930,10684474.419999999925494
Day 48,10666825.660000000149012,10711597.860000001266599
Day 49,10765065.649999998509884,10874817.759999999776483
Day 50,10798222.160000000149012,10870518.709999999031425
Day 51,10799754.459999999031425,10869773.849999999627471
Day 52,10772013.379999998956919,10847402.579999998211861
Day 53,10803854.439999999478459,10893268.689999999478459
Day 54,10776067.160000000149012,10864232.049999998882413
Day 55,10777011.519999999552965,10875430.190000001341105
Day 56,10763951.189999999478459,10857001.820000000298023
Day 57,10806429.809999998658895,10894382.000000000000000
Day 58,10918694.089999999850988,11002854.220000000670552
Day 59,10886319.879999998956919,10934867.230000000447035
Day 60,10884361.929999999701977,10876439.199999999254942
Day 61,10855206.439999999478459,10829713.599999999627471
Day 62,10893720.529999999329448,10896179.640000000596046
Day 63,10911147.439999999478459,10922547.820000000298023
Day 64,10913210.300000000745058,10916001.590000001713634
Day 65,10852598.199999999254942,10858123.359999999403954
Day 66,10949403.099999999627471,10893057.979999998584390
Day 67,10853555.950000001117587,10773575.080000000074506
Day 68,10693186.599999999627471,10560217.730000000447035
Day 69,10744270.320000000298023,10654428.369999999180436
Day 70,10938328.689999999478459,10847680.210000000894070
Day 71,10952497.919999999925494,10841020.849999999627471
Day 72,11017135.419999999925494,10864517.470000000670552
Day 73,11156033.650000000372529,11001725.769999999552965
Day 74,11122021.460000000894070,10954271.589999999850988
Day 75,11174288.530000001192093,11009624.220000000670552
Day 76,11237007.179999999701977,11079885.940000001341105
Day 77,11031943.400000000372529,10986499.359999999403954
Day 78,11005222.720000000670552,11079488.920000001788139
Day 79,11115853.259999999776483,11207723.859999999403954
Day 80,11255303.289999999105930,11334253.610000001266599
Day 81,11238922.570000000298023,11322505.349999999627471
Day 82,11224974.339999999850988,11310346.669999999925494
Day 83,11276855.339999999850988,11391107.390000000596046
Day 84,11282080.259999999776483,11386238.480000000447035
Day 85,11126660.909999998286366,11278675.980000000447035
Day 86,11107773.080000000074506,11208110.310000000521541
Day 87,11115551.740000000223517,11258143.870000001043081
Day 88,11046855.569999998435378,11233893.839999999850988
Day 89,10978376.289999999105930,11202259.839999999850988
Day 90,11063251.889999998733401,11293530.740000000223517
Day 91,11049498.529999999329448,11320227.910000000149012
Day 92,10972645.970000002533197,11236397.570000000298023
Day 93,10895566.139999998733401,11165154.019999999552965
Day 94,10894313.469999998807907,11164552.449999997392297
Day 95,10793942.980000000447035,10987225.700000001117587
Day 96,10747482.329999998211861,10906102.349999999627471
Day 97,10915397.969999998807907,11040926.620000002905726
Day 98,11040064.669999998062849,11120302.310000000521541
Day 99,11040064.669999998062849,11120302.310000000521541
Day 100,11230304.469999998807907,11230681.500000000000000
Day 101,11189518.669999999925494,11196249.680000001564622
Day 102,11259217.980000000447035,11306005.670000001788139
Day 103,11135202.939999999478459,11183520.940000001341105
Day 104,11099087.169999999925494,11179730.939999999478459
Day 105,10853238.849999999627471,10892909.100000001490116
Day 106,10957058.129999998956919,10977504.560000000521541
Day 107,10955307.440000001341105,11007748.320000000298023
Day 108,11170528.339999999850988,11230383.319999998435378
Day 109,11228132.869999999180436,11277131.819999998435378
Day 110,11396257.080000000074506,11405843.139999998733401
Day 111,11277933.240000000223517,11317129.160000000149012
Day 112,11374128.400000000372529,11437193.599999999627471
Day 113,11205190.759999997913837,11318278.800000000745058
Day 114,11399156.509999999776483,11542738.379999998956919
Day 115,11445816.489999998360872,11561322.009999999776483
Day 116,11515183.460000000894070,11618662.900000000372529
Day 117,11587100.949999999254942,11703346.350000001490116
Day 118,11655265.259999997913837,11724180.269999999552965
Day 119,11398593.820000000298023,11530310.689999999478459
Day 120,11592748.169999998062849,11733757.429999999701977
Day 121,11459374.570000000298023,11542587.600000001490116
Day 122,11542938.019999999552965,11637065.040000000968575
Day 123,11559389.309999998658895,11676631.300000000745058
Day 124,11509923.769999999552965,11653626.820000000298023
Day 125,11739301.839999999850988,11849213.080000000074506
Day 126,11801361.949999999254942,11947277.560000002384186
Day 127,11780795.500000000000000,11878635.099999999627471
Day 128,11830089.320000000298023,11879051.320000000298023
Day 129,11772651.589999999850988,11796505.570000000298023
Day 130,11739589.139999998733401,11770816.000000000000000
Day 131,11732948.660000000149012,11718476.339999999850988
Day 132,11640823.599999999627471,11645173.750000000000000
Day 133,11669117.070000000298023,11661881.550000000745058
Day 134,11809873.690000001341105,11813548.310000000521541
Day 135,11813794.039999999105930,11809107.410000000149012
Day 136,11833880.910000000149012,11918616.939999999478459
Day 137,11854326.849999999627471,11954839.169999999925494
Day 138,11730234.119999999180436,11812572.390000000596046
Day 139,11711850.150000002235174,11750598.130000000819564
Day 140,11638523.269999999552965,11666304.259999999776483
Day 141,11582315.729999998584390,11591925.000000001862645
Day 142,11567031.479999998584390,11586478.519999999552965
Day 143,11879456.319999998435378,11894567.009999999776483
Day 144,12066462.550000000745058,12050149.470000000670552
Day 145,12120747.679999999701977,12073536.750000000000000
Day 146,11968026.880000000819564,11944703.060000000521541
Day 147,11895630.299999998882413,11917161.990000000223517
Day 148,11919590.849999999627471,11884022.910000000149012
Day 149,12070078.990000000223517,12021024.960000000894070
Day 150,12035575.729999998584390,12007686.549999998882413
Day 151,12025398.189999999478459,12006436.129999998956919
Day 152,12098889.220000000670552,12075521.490000002086163
Day 153,12040498.080000000074506,12024443.460000000894070
Day 154,12045520.660000000149012,12031001.669999999925494
Day 155,11990638.250000000000000,11990729.339999999850988
Day 156,12157853.300000000745058,12098423.380000000819564
Day 157,12182772.960000000894070,12107166.359999999403954
Day 158,12191612.070000000298023,12205752.500000000000000
Day 159,12232245.159999998286366,12251505.560000000521541
Day 160,12244591.269999999552965,12232461.939999999478459
Day 161,12160798.990000000223517,12111208.619999999180436
Day 162,12217758.879999998956919,12132957.620000001043081
Day 163,12152869.679999999701977,12043802.179999999701977
Day 164,12213761.800000000745058,12140954.730000000447035
Day 165,12227666.230000000447035,12122165.060000000521541
Day 166,12194425.879999998956919,12094025.960000000894070
Day 167,12241573.339999999850988,12162355.870000001043081
Day 168,12161797.349999997764826,12067298.080000000074506
Day 169,12231501.089999999850988,12122625.979999998584390
Day 170,12274140.800000000745058,12174747.400000000372529
Day 171,12233975.009999997913837,12205314.640000000596046
Day 172,12432968.310000000521541,12396216.600000001490116
Day 173,12368152.499999998137355,12349272.760000001639128
Day 174,12336675.140000000596046,12339997.780000001192093
Day 175,12462521.059999998658895,12433591.060000000521541
Day 176,12556060.719999998807907,12548119.769999999552965
Day 177,12749044.869999999180436,12748753.350000001490116
Day 178,12779376.449999999254942,12728326.850000001490116
Day 179,12712637.939999999478459,12683919.189999999478459
Day 180,12702312.169999999925494,12680545.279999999329448
Day 181,12773341.949999999254942,12783331.320000000298023
Day 182,12782285.699999999254942,12786875.730000000447035
Day 183,12794649.439999999478459,12818438.919999999925494
Day 184,12766737.509999999776483,12797906.429999999701977
Day 185,12788385.049999998882413,12808278.030000001192093
Day 186,12673674.719999998807907,12685997.870000001043081
Day 187,12767774.050000000745058,12810206.969999998807907
Day 188,12791765.779999999329448,12810141.069999998435378
Day 189,12907541.349999997764826,12895591.710000000894070
Day 190,12847715.449999999254942,12837745.210000000894070
Day 191,13026094.600000001490116,13030001.850000001490116
Day 192,13085460.410000000149012,13117941.160000000149012
Day 193,13215495.400000000372529,13215554.740000000223517
Day 194,13103446.109999999403954,13064364.630000000819564
Day 195,12945380.519999997690320,12908746.099999999627471
Day 196,12945561.020000001415610,12834185.490000002086163
Day 197,12914897.929999997839332,12748632.050000000745058
Day 198,12963972.169999999925494,12745225.300000000745058
Day 199,13147957.559999998658895,12852391.410000000149012
Day 200,13211204.739999998360872,12913294.759999999776483
Day 201,13319318.729999998584390,13082839.480000000447035
Day 202,13416154.539999999105930,13236034.579999998211861
Day 203,13317717.000000000000000,13130089.359999999403954
Day 204,13324900.559999998658895,13109466.960000000894070
Day 205,13187683.069999998435378,12940188.959999999031425
Day 206,13149926.649999998509884,12910306.890000000596046
Day 207,13104475.539999999105930,12838018.109999999403954
Day 208,13064383.850000001490116,12827672.400000000372529
Day 209,13124555.239999998360872,12824144.599999999627471
Day 210,13205886.020000001415610,13000878.679999999701977
Day 211,13125967.699999999254942,12932452.780000001192093
Day 212,13095412.429999999701977,12903648.730000000447035
Day 213,13237546.359999999403954,13009666.730000000447035
Day 214,13079322.769999999552965,12828400.080000000074506
Day 215,12986818.210000000894070,12743997.340000001713634
Day 216,13005247.019999999552965,12610315.019999999552965
Day 217,13008614.640000000596046,12623706.170000001788139
Day 218,13084661.500000000000000,12732370.539999999105930
Day 219,12883655.099999999627471,12531798.870000001043081
Day 220,12774844.830000000074506,12519088.799999998882413
Day 221,12877870.789999999105930,12606670.290000000968575
Day 222,13099270.579999998211861,12847528.259999999776483
Day 223,13149225.219999998807907,12916326.519999999552965
Day 224,13193032.419999999925494,12984663.019999999552965
Day 225,13370074.499999998137355,13143351.160000000149012
Day 226,13310423.640000000596046,13070081.250000000000000
Day 227,13251226.829999998211861,12997759.310000000521541
Day 228,13352059.369999999180436,13103804.929999999701977
Day 229,13359898.899999998509884,13150925.429999999701977
Day 230,13480086.959999997168779,13210031.000000000000000
Day 231,13425865.690000001341105,13168873.859999999403954
Day 232,13371243.869999997317791,13078196.120000001043081
Day 233,13497425.330000000074506,13231507.300000000745058
Day 234,13487609.070000000298023,13215593.000000000000000
Day 235,13535254.470000000670552,13237887.279999999329448
Day 236,13446597.100000001490116,13155607.030000001192093
Day 237,13395125.740000000223517,13186235.419999998062849
Day 238,13286366.460000000894070,13189842.849999999627471
Day 239,13239765.550000000745058,13107987.419999999925494
Day 240,13204179.800000000745058,13050557.480000000447035
Day 241,13387075.590000001713634,13209269.629999998956919
Day 242,13425883.929999999701977,13266859.140000000596046
Day 243,13236297.780000001192093,13108395.320000000298023
Day 244,13365163.629999998956919,13268903.869999999180436
Day 245,13227971.019999999552965,13110121.189999999478459
Day 246,13230672.249999998137355,13107159.169999998062849
Day 247,13142362.509999999776483,13049642.509999999776483
Day 248,13118688.459999999031425,13008877.869999999180436
Day 249,13026710.570000000298023,12905488.720000000670552
Day 250,13220018.109999999403954,13091616.730000000447035
result_train_2013(2013 Q1).csv,252
Day 1,10000000.000000000000000,10000000.000000000000000
Day 2,9941332.050000000745058,9992217.410000000149012
Day 3,10013661.269999999552965,10027194.220000000670552
Day 4,9976673.339999999850988,9996053.890000000596046
Day 5,9848334.949999999254942,9896071.849999999627471
Day 6,9997888.789999999105930,10036887.859999999403954
Day 7,10067969.289999999105930,10094285.609999999403954
Day 8,10016487.750000000000000,10072631.110000001266599
Day 9,10118592.250000000000000,10153209.560000000521541
Day 10,10148181.330000000074506,10171653.070000000298023
Day 11,10066234.259999999776483,10104274.159999998286366
Day 12,10126689.319999998435378,10171797.790000000968575
Day 13,10132980.000000000000000,10197933.240000000223517
Day 14,10192423.769999999552965,10258866.320000000298023
Day 15,10188127.349999999627471,10245497.149999998509884
Day 16,10280587.029999999329448,10328964.730000000447035
Day 17,10360807.429999999701977,10423832.350000001490116
Day 18,10276243.619999999180436,10340337.230000000447035
Day 19,10305191.940000001341105,10377518.220000000670552
Day 20,10282141.799999998882413,10344783.660000000149012
Day 21,10097517.580000000074506,10271942.469999998807907
Day 22,10174794.940000001341105,10304656.140000000596046
Day 23,10137053.699999999254942,10250758.140000000596046
Day 24,10263847.269999999552965,10365394.580000000074506
Day 25,10308874.449999999254942,10380061.830000000074506
Day 26,10316530.650000000372529,10410963.049999998882413
Day 27,10338626.080000000074506,10428433.899999998509884
Day 28,10324459.859999999403954,10412335.849999999627471
Day 29,10353631.000000000000000,10432645.320000000298023
Day 30,10311676.250000000000000,10363671.949999999254942
Day 31,10278577.900000000372529,10367319.969999998807907
Day 32,10293716.619999999180436,10427476.300000000745058
Day 33,10263730.310000000521541,10437377.960000000894070
Day 34,10140460.280000001192093,10363655.369999999180436
Day 35,10136029.589999999850988,10378996.429999999701977
Day 36,10172365.739999998360872,10422389.699999999254942
Day 37,9987379.009999999776483,10245561.609999999403954
Day 38,10030672.310000000521541,10281329.080000000074506
Day 39,10189678.859999999403954,10416806.199999999254942
Day 40,10170519.919999999925494,10395370.800000000745058
Day 41,10197506.960000000894070,10400892.220000000670552
Day 42,10178614.810000000521541,10388267.070000000298023
Day 43,10273813.480000000447035,10487307.089999999850988
Day 44,10339201.469999998807907,10534631.539999999105930
Day 45,10378925.049999998882413,10574525.410000000149012
Day 46,10405160.029999999329448,10577626.729999998584390
Day 47,10473311.419999999925494,10667927.560000000521541
Day 48,10488529.980000000447035,10728062.410000000149012
Day 49,10540506.289999999105930,10753813.839999999850988
Day 50,10587794.160000000149012,10764291.259999999776483
Day 51,10654366.239999998360872,10802056.580000000074506
Day 52,10554303.519999999552965,10717270.560000000521541
Day 53,10547228.299999998882413,10724837.410000000149012
Day 54,10596540.630000000819564,10777217.069999998435378
Day 55,10454911.380000000819564,10674158.930000001564622
Day 56,10724289.830000000074506,10910866.019999999552965
Day 57,10684389.380000000819564,10878260.220000000670552
Day 58,10757774.189999999478459,10979175.939999999478459
Day 59,10713463.119999999180436,10940740.900000000372529
Day 60,10772542.860000001266599,11007442.270000001415610
Day 61,10749796.970000000670552,11008138.400000000372529
Day 62,10839251.429999999701977,11127538.969999998807907
Day 63,10829712.019999999552965,11139419.910000000149012
Day 64,10903299.750000000000000,11176738.020000001415610
Day 65,10890501.169999998062849,11175004.859999999403954
Day 66,10921855.250000000000000,11247450.130000000819564
Day 67,10992220.070000000298023,11283739.069999998435378
Day 68,11092425.250000000000000,11415519.029999999329448
Day 69,11179989.769999999552965,11514688.039999999105930
Day 70,11148419.859999999403954,11487434.129999998956919
Day 71,10870614.669999999925494,11265628.960000000894070
Day 72,10963854.630000000819564,11378526.070000000298023
Day 73,10933055.920000001788139,11310445.289999999105930
Day 74,10786905.390000000596046,11160816.820000000298023
Day 75,10913959.990000000223517,11318557.789999999105930
Day 76,10902639.059999998658895,11312641.980000000447035
Day 77,10996567.089999999850988,11370866.119999999180436
Day 78,11109821.449999999254942,11394677.820000000298023
Day 79,11218725.889999998733401,11372427.470000000670552
Day 80,11190969.890000000596046,11379186.490000000223517
Day 81,11242338.689999997615814,11406642.310000000521541
Day 82,11284844.609999999403954,11400332.689999999478459
Day 83,11212651.929999997839332,11320836.520000001415610
Day 84,11258777.359999999403954,11376191.849999999627471
Day 85,11414117.560000000521541,11488071.779999999329448
Day 86,11452769.899999998509884,11497524.649999998509884
Day 87,11513676.510000001639128,11540601.550000000745058
Day 88,11569458.739999998360872,11587332.769999999552965
Day 89,11620679.779999997466803,11637178.080000000074506
Day 90,11667206.699999999254942,11727586.519999999552965
Day 91,11651822.969999998807907,11722995.259999999776483
Day 92,11748004.140000000596046,11812908.150000000372529
Day 93,11808402.259999999776483,11843193.739999998360872
Day 94,11738887.669999999925494,11770091.360000001266599
Day 95,11909321.169999999925494,11903936.640000000596046
Day 96,11888851.800000000745058,11863673.719999998807907
Day 97,11913456.650000000372529,11967498.850000001490116
Day 98,11774767.070000000298023,11834418.429999999701977
Day 99,11772851.910000000149012,11843447.410000000149012
Day 100,11743276.400000000372529,11804081.330000000074506
Day 101,11836890.879999998956919,11921214.689999999478459
Day 102,11782016.460000000894070,11833341.279999999329448
Day 103,11845241.550000000745058,11917839.509999997913837
Day 104,11656950.890000000596046,11742332.790000000968575
Day 105,11761010.399999998509884,11912168.739999998360872
Day 106,11710067.310000000521541,11876617.300000000745058
Day 107,11530898.649999998509884,11721996.369999999180436
Day 108,11601230.499999998137355,11758521.960000000894070
