代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12099547.519999999552965
真實報酬,2099547.519999999552965

夏普值報酬,0.201254752000000
夏普值風險,0.064089335414411
夏普值,3.140222171109389

二次趨勢線,5.128068998310582 x^2 + 7156.823922925798797 x + 10000000.000000000000000
二次平均預期報酬,8454.225379498375332
風險,212618.880720768327592
二次平均趨勢值,0.039762345426892
一次趨勢線,8127.948181508839298 x + 10000000.000000000000000
一次預期報酬,8127.948181508839298
一次風險,215744.224923905159812
一次趨勢值,0.037674001166778
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JPM[13](3),MRK[17](8),PG[21](13),UNH[23](2),WMT[28](9),
FS( 193 ),2133603.000000000465661,2387949.620000000111759,2276881.150000000372529,2343631.730000000447035,2257073.899999999441206,11399139.400000002235174
FS( 194 ),2141147.640000000130385,2392141.610000000335276,2296785.969999999739230,2346894.600000000558794,2235596.839999999850988,11412566.660000000149012
FS( 195 ),2157808.720000000204891,2435204.780000000260770,2272798.110000000335276,2371280.260000000707805,2212167.320000000298023,11449259.190000001341105
FS( 196 ),2147434.840000000316650,2360130.050000000279397,2259528.230000000447035,2314094.169999999925494,2192968.129999999888241,11274155.420000001788139
FS( 197 ),2141776.359999999869615,2349840.620000000111759,2260293.799999999813735,2320104.719999999739230,2195246.000000000000000,11267261.500000000000000
FS( 198 ),2129516.319999999832362,2382233.270000000018626,2251872.530000000260770,2304477.290000000037253,2220302.570000000298023,11288401.980000000447035
FS( 199 ),2122600.399999999906868,2368132.940000000409782,2256721.140000000596046,2299840.580000000074506,2227461.589999999850988,11274756.650000000372529
FS( 200 ),2111597.800000000279397,2344505.360000000335276,2241409.740000000223517,2303446.910000000149012,2219977.160000000149012,11220936.970000000670552
FS( 201 ),2128258.880000000353903,2366227.490000000223517,2231712.520000000484288,2462468.889999999664724,2241128.809999999590218,11429796.589999999850988
FS( 202 ),2148692.279999999795109,2357843.510000000242144,2182971.230000000447035,2479298.430000000633299,2241779.629999999888241,11410585.080000001937151
FS( 203 ),2145863.040000000502914,2359748.960000000428408,2167404.640000000596046,2491319.530000000260770,2236573.070000000298023,11400909.240000002086163
FS( 204 ),2153093.319999999832362,2332310.480000000447035,2152093.240000000223517,2496471.430000000633299,2223882.080000000074506,11357850.550000002607703
FS( 205 ),2165039.000000000465661,2315161.430000000167638,2146223.870000000111759,2484793.790000000037253,2251541.929999999701977,11362760.019999999552965
FS( 206 ),2162838.479999999981374,2360892.230000000447035,2219463.400000000372529,2469166.360000000335276,2257073.899999999441206,11469434.370000001043081
FS( 207 ),2173212.359999999869615,2319734.510000000242144,2230436.570000000298023,2442548.209999999962747,2264558.330000000074506,11430489.980000000447035
FS( 208 ),2176355.960000000428408,2335740.290000000037253,2209510.990000000223517,2437568.040000000037253,2272368.169999999925494,11431543.450000001117587
FS( 209 ),2172583.640000000130385,2242373.240000000223517,2216145.929999999701977,2410262.969999999739230,2277574.729999999515712,11318940.510000001639128
FS( 210 ),2177299.040000000502914,2237800.160000000149012,2215125.169999999925494,2427092.510000000707805,2278550.959999999962747,11335867.840000003576279
FS( 211 ),2168182.600000000093132,2259903.379999999888241,2216401.120000000111759,2394463.810000000521541,2255121.439999999478459,11294072.349999999627471
FS( 212 ),2159066.160000000614673,2242373.240000000223517,2213594.030000000260770,2386735.959999999962747,2260002.589999999850988,11261771.980000000447035
FS( 213 ),2149635.359999999869615,2226748.550000000279397,2210021.370000000111759,2366987.010000000707805,2265859.969999999739230,11219252.260000001639128
FS( 214 ),2130145.040000000502914,2241611.060000000055879,2171232.490000000223517,2364926.250000000000000,2250565.700000000186265,11158480.539999999105930
FS( 215 ),2196789.359999999869615,2288485.129999999888241,2209000.610000000335276,2437396.310000000521541,2270741.120000000111759,11402412.530000001192093
FS( 216 ),2201504.760000000242144,2306015.270000000018626,2231967.709999999962747,2454054.120000000111759,2271066.530000000260770,11464608.390000000596046
FS( 217 ),2302728.680000000167638,2445875.300000000279397,2192923.640000000596046,2436881.120000000111759,2313695.239999999292195,11692103.980000000447035
FS( 218 ),2409611.080000000540167,2475600.319999999832362,2117132.209999999962747,2509522.910000000149012,2323132.129999999888241,11834998.649999998509884
FS( 219 ),2410868.520000000018626,2437110.230000000447035,2132953.990000000223517,2514503.080000000074506,2317925.570000000298023,11813361.390000000596046
FS( 220 ),2499518.040000000502914,2421104.450000000186265,2118152.969999999739230,2615136.860000000335276,2293845.229999999515712,11947757.550000000745058
FS( 221 ),2494802.640000000130385,2425677.530000000260770,2133974.750000000000000,2614278.209999999962747,2324108.360000000335276,11992841.489999998360872
FS( 222 ),2433188.080000000540167,2386806.350000000093132,2123001.580000000074506,2601741.919999999925494,2323132.129999999888241,11867870.059999998658895
FS( 223 ),2452678.399999999906868,2389473.980000000447035,2119939.299999999813735,2589205.629999999888241,2251541.929999999701977,11802839.240000000223517
FS( 224 ),2442933.239999999757856,2357843.510000000242144,2092633.969999999972060,2566537.269999999552965,2230390.280000000260770,11690338.269999999552965
FS( 225 ),2453621.479999999981374,2374230.379999999888241,2108966.129999999888241,2583023.350000000558794,2257399.309999999590218,11777240.649999998509884
FS( 226 ),2468710.760000000242144,2351364.980000000447035,2112028.410000000149012,2614793.400000000372529,2281805.059999999590218,11828702.609999999403954
FS( 227 ),2479084.640000000130385,2349078.440000000409782,2109986.890000000596046,2636774.839999999850988,2304909.169999999925494,11879833.980000000447035
FS( 228 ),2478141.560000000055879,2370800.570000000298023,2129891.709999999962747,2624238.549999999813735,2317925.570000000298023,11920997.960000000894070
FS( 229 ),2462109.199999999720603,2355175.879999999888241,2119939.299999999813735,2612217.450000000186265,2316623.929999999701977,11866065.759999999776483
FS( 230 ),2480970.800000000279397,2370038.390000000130385,2115345.879999999888241,2706325.490000000223517,2322481.309999999590218,11995161.870000001043081
FS( 231 ),2520265.800000000279397,2331929.390000000130385,2104372.709999999962747,2718861.780000000260770,2291892.770000000484288,11967322.449999999254942
FS( 232 ),2571192.120000000577420,2315542.520000000018626,2089061.310000000055879,2763855.040000000037253,2299702.610000000335276,12039353.600000001490116
FS( 233 ),2565219.279999999795109,2329642.850000000093132,2102841.570000000298023,2760248.709999999962747,2306536.219999999739230,12064488.629999998956919
FS( 234 ),2617403.040000000502914,2296106.930000000167638,2117897.780000000260770,2707012.410000000149012,2275947.679999999701977,12014367.839999999850988
FS( 235 ),2630920.520000000018626,2297250.200000000186265,2115856.259999999776483,2701688.780000000260770,2289614.899999999441206,12035330.660000000149012
FS( 236 ),2642866.199999999720603,2288866.220000000204891,2148265.390000000596046,2737408.620000000111759,2297424.739999999292195,12114831.169999998062849
FS( 237 ),2675874.000000000465661,2291152.760000000242144,2130912.469999999739230,2736034.780000000260770,2288964.080000000074506,12122938.090000001713634
FS( 238 ),2687505.319999999832362,2333453.750000000000000,2153114.000000000000000,2749773.180000000633299,2280503.419999999925494,12204349.669999999925494
FS( 239 ),2663613.960000000428408,2352127.160000000149012,2172508.439999999478459,2738954.190000000409782,2332243.610000000335276,12259447.359999999403954
FS( 240 ),2664557.040000000502914,2354794.790000000037253,2173784.390000000596046,2756985.839999999850988,2336473.939999999478459,12286596.000000000000000
FS( 241 ),2663613.960000000428408,2355175.879999999888241,2153114.000000000000000,2745308.200000000186265,2321505.080000000074506,12238717.119999999180436
FS( 242 ),2703537.680000000167638,2376898.010000000242144,2161024.890000000596046,2758359.680000000633299,2313044.419999999925494,12312864.680000001564622
FS( 243 ),2670215.520000000018626,2379565.640000000130385,2161024.890000000596046,2815374.040000000037253,2309790.320000000298023,12335970.410000000149012
FS( 244 ),2685619.160000000614673,2330023.940000000409782,2161790.459999999962747,2774158.839999999850988,2329314.919999999925494,12280907.320000002160668
FS( 245 ),2720198.760000000242144,2305634.180000000167638,2158217.799999999813735,2775017.490000000223517,2337124.759999999776483,12296192.990000000223517
FS( 246 ),2727114.680000000167638,2264857.550000000279397,2150817.290000000037253,2770552.510000000707805,2318250.979999999515712,12231593.010000001639128
FS( 247 ),2731515.720000000204891,2270573.899999999906868,2155665.900000000372529,2774845.760000000707805,2264558.330000000074506,12197159.610000001266599
FS( 248 ),2736545.479999999981374,2269811.720000000204891,2168170.209999999962747,2799746.610000000335276,2262931.280000000260770,12237205.300000000745058
FS( 249 ),2739060.359999999869615,2278576.790000000037253,2158983.370000000111759,2793049.139999999664724,2268137.839999999850988,12237807.500000000000000
FS( 250 ),2719255.680000000167638,2258760.110000000335276,2145458.299999999813735,2772441.540000000037253,2255446.849999999627471,12151362.480000000447035
FS( 251 ),2700079.720000000204891,2249995.040000000037253,2152603.620000000111759,2765572.339999999850988,2253819.799999999813735,12122070.519999999552965
FS( 252 ),2712654.120000000577420,2243516.510000000242144,2145713.490000000223517,2748399.339999999850988,2249264.059999999590218,12099547.519999999552965
