代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14516761.900000000372529
真實報酬,4516761.900000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18675.198618923008326
風險,189735.540273751743371
起點值,0.098427519651713
找到最佳解世代,1722
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](16),CAT[3](1),KO[14](5),MCD[15](15),PFE[20](8),UNH[23](3),VZ[26](2),XOM[29](11),
FS( 135 ),1461144.900000000372529,1891105.600000000093132,1579915.640000000130385,1461905.000000000000000,1397596.760000000009313,1580830.109999999869615,1648976.199999999953434,1518986.750000000000000,12540460.959999999031425
FS( 136 ),1475497.650000000139698,1896799.629999999888241,1575529.759999999776483,1460963.200000000186265,1419277.639999999897555,1581692.770000000018626,1672560.999999999767169,1522784.210000000195578,12605105.860000001266599
FS( 137 ),1479006.100000000093132,1932440.039999999804422,1579915.640000000130385,1452487.000000000000000,1433453.600000000093132,1591613.359999999869615,1676000.449999999720603,1526581.669999999925494,12671497.859999997541308
FS( 138 ),1473583.950000000186265,1942140.979999999981374,1557011.599999999860302,1452487.000000000000000,1426782.559999999823049,1574360.159999999916181,1703516.050000000046566,1522784.210000000195578,12652666.510000001639128
FS( 139 ),1471032.350000000093132,1963862.650000000139698,1577479.039999999804422,1450038.320000000065193,1424280.919999999692664,1529070.510000000009313,1701550.649999999906868,1515822.199999999953434,12633136.640000000596046
FS( 140 ),1421595.100000000093132,1965549.770000000018626,1592098.640000000130385,1444952.599999999860302,1435955.239999999757856,1535971.789999999804422,1707938.199999999720603,1523628.090000000083819,12627689.429999997839332
FS( 141 ),1403733.900000000139698,1952685.479999999981374,1600870.399999999906868,1446836.200000000186265,1420111.520000000018626,1511817.309999999823049,1702042.000000000000000,1522573.239999999990687,12560670.050000000745058
FS( 142 ),1355572.450000000186265,1967658.669999999925494,1591611.319999999832362,1448908.160000000149012,1431785.840000000083819,1517424.599999999860302,1706955.500000000000000,1523628.090000000083819,12543544.629999998956919
FS( 143 ),1378855.800000000046566,1995707.039999999804422,1595509.880000000121072,1447778.000000000000000,1449297.319999999832362,1523894.549999999813735,1716782.499999999767169,1534176.590000000083819,12642001.679999999701977
FS( 144 ),1365459.900000000372529,1994441.699999999720603,1598433.799999999813735,1450603.400000000139698,1464307.159999999683350,1545892.380000000121072,1728574.899999999906868,1535864.349999999860302,12683577.590000001713634
FS( 145 ),1364184.100000000325963,1991911.020000000018626,1597946.479999999981374,1449661.599999999860302,1468476.559999999823049,1542873.070000000065193,1741349.999999999767169,1544303.150000000139698,12700705.979999998584390
FS( 146 ),1373114.700000000186265,1983897.199999999720603,1585276.159999999916181,1439678.520000000251457,1458469.999999999767169,1532952.479999999981374,1744298.099999999860302,1540294.720000000204891,12657981.880000000819564
FS( 147 ),1364822.000000000232831,1975883.379999999888241,1592585.959999999962747,1439678.520000000251457,1466808.799999999813735,1540716.419999999925494,1750194.299999999813735,1548944.489999999990687,12679633.869999999180436
FS( 148 ),1367054.650000000139698,1977781.389999999897555,1595022.559999999823049,1450226.679999999934807,1467642.679999999934807,1548911.689999999711290,1748228.899999999674037,1547889.640000000130385,12702758.189999999478459
FS( 149 ),1355891.400000000139698,1979679.400000000139698,1595997.199999999953434,1445894.400000000139698,1458469.999999999767169,1550205.679999999701977,1747246.199999999953434,1547678.669999999925494,12681062.949999999254942
FS( 150 ),1368968.350000000325963,1975250.709999999962747,1602819.679999999934807,1445894.400000000139698,1460137.760000000009313,1557538.289999999804422,1758055.899999999906868,1542615.390000000130385,12711280.480000000447035
FS( 151 ),1384277.950000000186265,1985584.320000000065193,1589174.719999999972060,1442880.639999999897555,1474313.719999999972060,1601533.949999999953434,1789993.649999999906868,1572784.099999999860302,12840543.049999998882413
FS( 152 ),1401820.200000000186265,1976305.159999999916181,1556524.280000000027940,1399746.200000000186265,1500163.999999999767169,1616199.169999999925494,1825862.199999999720603,1580168.050000000046566,12856789.260000001639128
FS( 153 ),1436585.750000000232831,1993387.250000000000000,1547265.199999999953434,1406338.800000000046566,1510170.559999999823049,1621375.130000000121072,1850921.050000000046566,1575948.650000000139698,12941992.390000000596046
FS( 154 ),1426698.300000000046566,1972720.030000000027940,1536056.839999999850988,1397862.599999999860302,1516007.719999999972060,1655018.869999999878928,1780166.649999999674037,1586075.210000000195578,12870606.220000000670552
FS( 155 ),1414897.150000000139698,1976726.939999999944121,1533132.919999999925494,1400876.360000000102445,1529349.799999999813735,1658469.510000000009313,1765426.149999999906868,1594724.979999999981374,12873603.810000000521541
FS( 156 ),1418086.650000000139698,1969556.679999999934807,1536544.159999999916181,1385619.200000000186265,1522678.760000000009313,1658469.510000000009313,1764934.800000000046566,1585020.359999999869615,12840910.120000001043081
FS( 157 ),1436585.750000000232831,1981366.520000000018626,1527772.399999999906868,1392023.440000000176951,1519343.239999999757856,1685643.299999999813735,1737419.199999999720603,1596834.679999999934807,12876988.529999997466803
FS( 158 ),1435309.950000000186265,1971665.579999999841675,1536056.839999999850988,1386372.639999999897555,1531851.439999999944121,1676154.039999999804422,1742824.049999999813735,1615611.010000000009313,12895845.549999998882413
FS( 159 ),1437223.650000000372529,1985373.429999999934807,1544828.599999999860302,1368855.160000000149012,1519343.239999999757856,1708072.459999999962747,1759038.599999999627471,1618353.619999999878928,12941088.759999997913837
FS( 160 ),1475178.700000000186265,1982631.860000000102445,1538493.439999999944121,1395037.200000000186265,1529349.799999999813735,1758538.070000000065193,1742332.699999999953434,1642193.229999999981374,13063755.000000000000000
FS( 161 ),1479006.100000000093132,2029449.439999999944121,1546777.879999999888241,1406715.520000000251457,1532685.319999999832362,1763282.699999999953434,1688284.199999999720603,1660547.619999999878928,13106748.779999997466803
FS( 162 ),1442964.750000000232831,2014898.030000000027940,1545315.919999999925494,1419335.639999999897555,1527682.039999999804422,1749480.140000000130385,1700076.599999999860302,1650632.029999999795109,13050385.149999998509884
FS( 163 ),1443921.600000000325963,1974196.260000000009313,1533620.239999999990687,1415756.800000000046566,1521010.999999999767169,1738696.890000000130385,1700567.949999999720603,1640294.500000000000000,12968065.240000000223517
FS( 164 ),1467204.950000000186265,1956059.719999999972060,1529721.679999999934807,1412931.400000000139698,1531017.559999999823049,1743010.189999999711290,1717273.850000000093132,1666243.810000000055879,13023463.160000000149012
FS( 165 ),1460507.000000000232831,1994441.699999999720603,1541417.359999999869615,1419900.719999999972060,1538522.479999999748543,1717130.390000000130385,1731523.000000000000000,1658015.979999999981374,13061458.630000000819564
FS( 166 ),1428930.950000000186265,1990645.679999999934807,1534107.560000000055879,1421784.320000000065193,1540190.239999999757856,1752068.119999999878928,1758547.249999999767169,1659914.710000000195578,13086188.830000000074506
FS( 167 ),1418086.650000000139698,2019326.719999999972060,1534107.560000000055879,1415945.160000000149012,1531017.559999999823049,1736108.909999999916181,1788519.599999999860302,1680589.770000000018626,13123701.929999997839332
FS( 168 ),1420638.250000000232831,2037885.039999999804422,1527772.399999999906868,1400499.639999999897555,1541024.119999999878928,1824100.229999999981374,1792941.750000000000000,1685231.109999999869615,13230092.539999999105930
FS( 169 ),1398949.650000000139698,2017850.490000000223517,1516076.719999999972060,1380345.120000000111759,1513506.079999999841675,1765439.349999999860302,1750685.649999999906868,1666454.779999999795109,13009307.839999999850988
FS( 170 ),1383640.050000000279397,2045898.860000000102445,1531670.959999999962747,1387691.160000000149012,1519343.239999999757856,1770615.309999999823049,1750194.299999999813735,1702108.710000000195578,13091162.589999999850988
FS( 171 ),1390656.950000000186265,2066987.860000000102445,1536544.159999999916181,1383923.959999999962747,1602731.239999999757856,1814610.969999999972060,1782132.050000000046566,1770252.020000000018626,13347839.210000000894070
FS( 172 ),1394484.350000000093132,2089763.979999999981374,1531670.959999999962747,1387126.080000000074506,1581050.359999999869615,1809435.010000000009313,1776727.199999999720603,1759703.520000000018626,13329961.459999999031425
FS( 173 ),1388424.300000000279397,2086389.740000000223517,1524848.479999999981374,1390704.919999999925494,1598561.840000000083819,1856449.979999999981374,1787536.899999999906868,1760336.429999999934807,13393252.589999999850988
FS( 174 ),1397673.850000000093132,2100308.480000000447035,1524361.159999999916181,1394848.840000000083819,1609402.280000000027940,1832726.830000000074506,1784097.449999999953434,1756960.909999999916181,13400379.800000000745058
FS( 175 ),1429568.850000000093132,2118866.799999999813735,1523386.520000000018626,1383547.239999999990687,1587721.399999999906868,1803396.390000000130385,1769848.300000000046566,1770673.960000000195578,13387009.460000002756715
FS( 176 ),1463377.550000000279397,2121819.259999999776483,1532158.280000000027940,1419524.000000000000000,1597727.959999999962747,1810297.669999999925494,1785571.500000000000000,1750631.810000000055879,13481108.029999999329448
FS( 177 ),1458274.350000000093132,2104526.280000000260770,1538980.759999999776483,1430260.520000000251457,1588555.280000000027940,1814610.969999999972060,1802277.399999999906868,1741560.099999999860302,13479045.660000002011657
FS( 178 ),1485385.100000000093132,2121608.370000000111759,1548239.839999999850988,1427058.400000000139698,1586887.520000000018626,1830138.849999999860302,1789502.300000000046566,1755273.150000000139698,13544093.530000001192093
FS( 179 ),1491126.200000000186265,2183610.030000000260770,1549214.479999999981374,1434216.080000000074506,1570209.919999999692664,1827982.199999999953434,1788028.250000000000000,1747256.289999999804422,13591643.449999999254942
FS( 180 ),1483790.350000000325963,2177705.110000000335276,1538493.439999999944121,1436099.679999999934807,1588555.280000000027940,1831432.839999999850988,1763952.099999999860302,1791349.020000000018626,13611377.819999998435378
FS( 181 ),1473265.000000000000000,2172221.969999999739230,1539955.399999999906868,1434404.440000000176951,1588555.280000000027940,1812885.649999999906868,1791467.699999999953434,1750420.840000000083819,13563176.279999999329448
FS( 182 ),1494634.650000000139698,2183820.919999999925494,1544828.599999999860302,1431955.760000000009313,1607734.520000000018626,1833158.159999999916181,1777218.550000000046566,1765610.679999999934807,13638961.839999999850988
FS( 183 ),1460188.050000000279397,2179814.009999999776483,1573093.159999999916181,1431202.320000000065193,1615239.439999999944121,1837040.130000000121072,1787045.549999999813735,1769619.109999999869615,13653241.769999999552965
FS( 184 ),1452214.300000000279397,2232536.509999999776483,1573093.159999999916181,1434027.719999999972060,1600229.600000000093132,1847823.380000000121072,1799329.299999999813735,1782699.250000000000000,13721953.219999998807907
FS( 185 ),1412664.500000000232831,2151343.860000000335276,1553600.359999999869615,1425928.239999999990687,1575213.199999999953434,1852999.339999999850988,1768865.599999999860302,1802530.429999999934807,13543145.529999999329448
FS( 186 ),1385553.750000000000000,2109376.750000000000000,1557498.919999999925494,1416321.879999999888241,1564372.760000000009313,1850842.689999999711290,1759529.949999999953434,1836918.539999999804422,13480415.239999998360872
FS( 187 ),1389381.150000000372529,2120975.700000000186265,1556524.280000000027940,1416698.599999999860302,1576047.079999999841675,1843941.409999999916181,1748228.899999999674037,1813711.840000000083819,13465508.960000000894070
FS( 188 ),1388424.300000000279397,2151132.969999999739230,1567245.319999999832362,1402194.879999999888241,1572711.559999999823049,1834020.820000000065193,1767391.549999999813735,1800420.729999999981374,13483542.129999998956919
FS( 189 ),1389700.100000000093132,2170745.740000000223517,1557498.919999999925494,1425551.520000000251457,1604398.999999999767169,1836608.799999999813735,1814069.800000000046566,1804429.159999999916181,13603003.040000000968575
FS( 190 ),1376304.200000000186265,2106002.509999999776483,1581864.919999999925494,1410671.080000000074506,1596060.199999999953434,1831001.510000000009313,1769848.300000000046566,1789028.349999999860302,13460781.070000000298023
FS( 191 ),1372157.850000000325963,2129411.299999999813735,1570169.239999999990687,1406903.879999999888241,1600229.600000000093132,1878879.140000000130385,1785571.500000000000000,1794935.510000000009313,13538258.020000001415610
FS( 192 ),1412983.450000000186265,2198583.219999999739230,1597459.159999999916181,1436099.679999999934807,1648594.639999999897555,1931932.729999999981374,1786554.199999999720603,1810547.289999999804422,13822754.369999997317791
FS( 193 ),1394484.350000000093132,2173065.530000000260770,1588687.399999999906868,1432144.120000000111759,1639421.959999999962747,1917267.510000000009313,1772796.399999999674037,1794935.510000000009313,13712802.780000001192093
FS( 194 ),1394165.400000000139698,2153874.540000000037253,1589174.719999999972060,1437041.480000000214204,1635252.559999999823049,1878879.140000000130385,1769356.949999999720603,1787340.590000000083819,13645085.379999998956919
FS( 195 ),1442964.750000000232831,2196052.540000000037253,1599408.439999999944121,1422914.480000000214204,1641089.719999999972060,1890525.049999999813735,1792450.399999999674037,1784808.949999999953434,13770214.330000000074506
FS( 196 ),1436904.700000000186265,2158725.009999999776483,1598921.120000000111759,1427435.120000000111759,1639421.959999999962747,1918992.830000000074506,1800803.349999999860302,1780167.609999999869615,13761371.699999999254942
FS( 197 ),1404052.850000000325963,2075001.679999999934807,1591124.000000000000000,1444387.520000000251457,1614405.559999999823049,1888799.729999999981374,1788519.599999999860302,1716876.609999999869615,13523167.549999998882413
FS( 198 ),1412345.550000000279397,2109376.750000000000000,1579428.319999999832362,1445329.320000000065193,1623578.239999999757856,1880173.130000000121072,1761495.349999999860302,1732488.390000000130385,13544215.050000000745058
FS( 199 ),1400544.400000000139698,2153241.870000000111759,1557986.239999999990687,1425363.160000000149012,1651930.159999999683350,1861625.939999999711290,1728574.899999999906868,1737973.609999999869615,13517240.279999999329448
FS( 200 ),1391932.750000000232831,2124771.719999999739230,1536056.839999999850988,1415003.360000000102445,1647760.760000000009313,1845666.729999999981374,1713343.049999999813735,1717087.580000000074506,13391622.790000000968575
FS( 201 ),1351107.150000000139698,2117390.570000000298023,1500969.800000000046566,1382228.719999999972060,1609402.280000000027940,1805553.039999999804422,1685336.099999999627471,1673205.820000000065193,13125193.480000000447035
FS( 202 ),1384915.850000000325963,2174752.650000000372529,1517538.679999999934807,1382605.440000000176951,1657767.319999999832362,1823237.570000000065193,1735945.149999999674037,1712235.270000000018626,13388997.930000001564622
FS( 203 ),1408837.100000000325963,2215665.309999999590218,1527772.399999999906868,1374882.679999999934807,1682783.719999999972060,1837471.459999999962747,1761004.000000000000000,1705695.199999999953434,13514111.869999999180436
FS( 204 ),1413621.350000000093132,2269020.480000000447035,1549214.479999999981374,1389386.400000000139698,1666106.119999999878928,1862919.929999999701977,1791467.699999999953434,1747678.229999999981374,13689414.690000001341105
FS( 205 ),1427336.200000000186265,2252149.280000000260770,1547752.520000000018626,1391458.360000000102445,1662770.600000000093132,1843510.080000000074506,1815543.850000000093132,1741771.070000000065193,13682291.960000000894070
FS( 206 ),1435947.850000000325963,2251516.610000000335276,1566270.679999999934807,1403890.120000000111759,1661102.840000000083819,1843941.409999999916181,1817017.899999999674037,1742614.949999999953434,13722302.359999999403954
FS( 207 ),1454128.000000000232831,2285469.900000000372529,1576504.399999999906868,1411424.520000000251457,1692790.280000000027940,1889231.059999999823049,1826844.899999999906868,1745357.560000000055879,13881750.620000002905726
FS( 208 ),1454128.000000000232831,2300653.980000000447035,1589174.719999999972060,1417452.040000000037253,1696959.679999999934807,1887074.409999999916181,1832249.749999999767169,1764133.890000000130385,13941826.470000000670552
FS( 209 ),1458274.350000000093132,2307191.570000000298023,1584788.840000000083819,1412743.040000000037253,1690288.639999999897555,1892250.369999999878928,1854851.849999999860302,1760969.340000000083819,13961358.000000000000000
FS( 210 ),1456041.700000000186265,2331233.030000000260770,1601357.719999999972060,1419712.360000000102445,1699461.319999999832362,1918561.499999999767169,1881384.749999999767169,1756328.000000000000000,14064080.380000000819564
FS( 211 ),1464334.400000000139698,2352111.139999999664724,1609154.840000000083819,1428000.200000000186265,1696125.799999999813735,1958243.859999999869615,1889737.699999999953434,1782488.279999999795109,14180196.219999996945262
FS( 212 ),1441688.950000000186265,2348315.120000000111759,1616464.640000000130385,1433274.280000000027940,1693624.159999999683350,1949617.260000000009313,1893668.499999999767169,1774893.359999999869615,14151546.269999999552965
FS( 213 ),1446792.150000000139698,2385642.650000000372529,1637906.719999999972060,1431390.679999999934807,1699461.319999999832362,1967301.789999999804422,1890229.049999999813735,1786496.710000000195578,14245221.070000000298023
FS( 214 ),1448705.850000000325963,2391125.790000000037253,1648627.759999999776483,1438925.080000000074506,1712803.399999999906868,1966870.459999999962747,1897107.949999999720603,1790505.140000000130385,14294671.429999999701977
FS( 215 ),1448705.850000000325963,2368560.559999999590218,1644241.880000000121072,1442880.639999999897555,1705298.479999999748543,1944872.630000000121072,1885806.899999999906868,1802108.489999999990687,14242475.430000001564622
FS( 216 ),1476135.550000000279397,2340933.969999999739230,1648140.439999999944121,1445140.959999999962747,1691956.399999999906868,1939265.339999999850988,1859765.349999999860302,1797045.210000000195578,14198383.220000000670552
FS( 217 ),1472308.150000000139698,2316681.620000000111759,1643267.239999999990687,1431767.400000000139698,1695291.919999999692664,1916404.849999999860302,1855343.199999999720603,1809281.470000000204891,14140345.849999999627471
FS( 218 ),1476135.550000000279397,2316048.950000000186265,1639368.679999999934807,1432332.480000000214204,1706132.359999999869615,1914248.199999999953434,1853377.799999999813735,1813289.900000000139698,14150933.919999999925494
FS( 219 ),1479325.050000000279397,2300232.200000000186265,1642292.600000000093132,1436288.040000000037253,1723643.840000000083819,1911660.219999999972060,1859765.349999999860302,1796623.270000000018626,14149830.570000000298023
FS( 220 ),1467842.850000000325963,2247509.700000000186265,1630109.600000000093132,1444010.800000000046566,1706132.359999999869615,1932795.390000000130385,1849447.000000000000000,1754851.210000000195578,14032698.910000002011657
FS( 221 ),1470394.450000000186265,2269864.040000000037253,1639368.679999999934807,1448343.080000000074506,1706132.359999999869615,1912091.549999999813735,1851903.749999999767169,1754429.270000000018626,14052527.179999999701977
FS( 222 ),1463377.550000000279397,2268809.589999999850988,1664709.319999999832362,1451733.559999999823049,1708633.999999999767169,1933226.719999999972060,1852886.449999999953434,1760336.429999999934807,14103713.619999999180436
FS( 223 ),1475178.700000000186265,2261006.660000000149012,1657399.519999999785796,1457572.719999999972060,1711969.520000000018626,1940127.999999999767169,1859765.349999999860302,1778268.880000000121072,14141289.349999999627471
FS( 224 ),1469118.650000000372529,2191202.070000000298023,1640343.319999999832362,1450415.040000000037253,1701129.079999999841675,1878447.809999999823049,1833232.449999999953434,1753163.449999999953434,13917051.869999999180436
FS( 225 ),1487617.750000000232831,2237597.870000000111759,1634495.479999999981374,1442880.639999999897555,1711969.520000000018626,1896132.339999999850988,1829793.000000000000000,1767931.349999999860302,14008417.949999999254942
FS( 226 ),1499099.950000000186265,2283571.889999999664724,1653013.640000000130385,1476785.440000000176951,1700295.199999999953434,1908209.580000000074506,1856817.249999999767169,1806960.800000000046566,14184753.750000001862645
FS( 227 ),1502608.400000000139698,2307613.349999999627471,1653988.279999999795109,1448719.800000000046566,1650262.399999999906868,2062194.390000000130385,1813578.449999999720603,1821939.669999999925494,14260904.739999998360872
FS( 228 ),1500694.700000000186265,2295592.620000000111759,1650577.039999999804422,1452863.719999999972060,1679448.199999999953434,2057881.089999999850988,1817509.250000000000000,1818986.090000000083819,14273552.709999999031425
FS( 229 ),1502289.450000000186265,2360757.629999999888241,1631084.239999999990687,1449284.879999999888241,1683617.600000000093132,2042353.209999999962747,1848955.649999999906868,1844302.489999999990687,14362645.150000002235174
FS( 230 ),1518874.850000000093132,2374887.259999999776483,1632546.199999999953434,1466802.360000000102445,1720308.319999999832362,2079447.589999999850988,1879419.349999999860302,1851897.409999999916181,14524183.339999999850988
FS( 231 ),1547580.350000000325963,2375519.929999999701977,1642779.919999999925494,1469816.120000000111759,1736985.919999999692664,2117835.959999999962747,1880402.050000000046566,1842614.729999999981374,14613534.980000000447035
FS( 232 ),1565441.550000000046566,2433936.459999999962747,1643754.559999999823049,1475090.200000000186265,1748660.239999999757856,2123443.250000000000000,1856325.899999999906868,1856116.810000000055879,14702768.970000000670552
FS( 233 ),1583621.700000000186265,2412003.900000000372529,1650089.719999999972060,1481306.080000000074506,1752829.639999999897555,2151479.700000000186265,1845516.199999999953434,1834808.840000000083819,14711655.780000001192093
FS( 234 ),1591595.450000000186265,2388806.000000000000000,1653988.279999999795109,1486956.879999999888241,1704464.600000000093132,2142853.099999999627471,1857308.599999999627471,1806327.890000000130385,14632300.800000000745058
FS( 235 ),1585216.450000000186265,2336083.500000000000000,1643754.559999999823049,1489405.559999999823049,1721142.199999999953434,2137677.139999999664724,1850921.050000000046566,1789239.320000000065193,14553439.780000001192093
FS( 236 ),1579475.350000000325963,2306980.679999999701977,1625236.399999999906868,1480552.639999999897555,1700295.199999999953434,2138539.799999999813735,1823896.799999999813735,1743036.890000000130385,14398013.760000001639128
FS( 237 ),1601163.950000000186265,2327015.230000000447035,1630109.600000000093132,1482436.239999999990687,1713637.280000000027940,2161831.620000000111759,1831758.399999999906868,1744513.679999999934807,14492466.000000001862645
FS( 238 ),1600845.000000000000000,2354852.709999999962747,1631571.559999999823049,1493926.200000000186265,1717806.679999999934807,2176928.169999999925494,1829793.000000000000000,1754851.210000000195578,14560574.530000001192093
FS( 239 ),1600207.100000000325963,2380370.400000000372529,1640830.640000000130385,1501460.599999999860302,1739487.559999999823049,2178653.490000000223517,1846007.549999999813735,1758226.729999999981374,14645244.070000000298023
FS( 240 ),1589362.800000000046566,2319423.190000000409782,1640343.319999999832362,1497693.400000000139698,1718640.559999999823049,2157518.320000000298023,1830775.699999999720603,1711391.390000000130385,14465148.680000001564622
FS( 241 ),1580113.250000000232831,2290953.040000000037253,1664709.319999999832362,1519354.800000000046566,1741989.199999999953434,2160106.299999999813735,1839128.649999999906868,1709914.599999999860302,14506269.160000000149012
FS( 242 ),1578518.500000000232831,2242448.339999999850988,1661298.080000000074506,1520861.679999999934807,1744490.840000000083819,2154499.009999999776483,1830775.699999999720603,1706117.140000000130385,14439009.289999999105930
FS( 243 ),1597017.600000000093132,2237386.980000000447035,1653013.640000000130385,1528396.080000000074506,1749494.119999999878928,2163988.269999999552965,1816526.549999999813735,1692826.029999999795109,14438649.269999997690320
FS( 244 ),1619025.150000000139698,2152820.089999999850988,1656424.880000000121072,1524440.520000000251457,1762836.199999999953434,2156224.330000000074506,1823405.449999999720603,1696412.520000000018626,14391589.139999998733401
FS( 245 ),1628593.650000000372529,2219672.219999999739230,1664222.000000000000000,1535177.040000000037253,1766171.719999999972060,2182966.790000000037253,1822422.750000000000000,1724471.529999999795109,14543697.700000001117587
FS( 246 ),1652833.850000000093132,2220726.669999999925494,1668120.559999999823049,1554201.400000000139698,1753663.520000000018626,2180378.809999999590218,1833723.799999999813735,1736918.760000000009313,14600567.369999999180436
FS( 247 ),1632740.000000000000000,2200270.339999999850988,1664222.000000000000000,1550810.919999999925494,1725311.600000000093132,2145441.080000000074506,1825370.849999999860302,1720885.039999999804422,14465051.829999998211861
FS( 248 ),1630507.350000000093132,2148813.179999999701977,1644241.880000000121072,1554013.040000000037253,1716972.799999999813735,2120423.939999999478459,1810630.349999999860302,1701897.739999999990687,14327500.279999999329448
FS( 249 ),1612646.150000000372529,2141642.919999999925494,1644241.880000000121072,1556650.080000000074506,1711135.639999999897555,2068664.339999999850988,1813087.099999999860302,1714977.880000000121072,14263045.990000000223517
FS( 250 ),1607861.900000000139698,2177494.219999999739230,1630596.919999999925494,1558156.959999999962747,1732816.520000000018626,2064782.369999999878928,1788519.599999999860302,1729112.869999999878928,14289341.359999997541308
FS( 251 ),1616473.550000000279397,2197317.879999999888241,1625236.399999999906868,1552694.520000000251457,1742823.079999999841675,2057449.760000000009313,1798837.949999999720603,1738184.580000000074506,14329017.719999998807907
FS( 252 ),1630826.300000000279397,2205964.370000000111759,1620850.519999999785796,1537437.360000000102445,1745324.719999999972060,2083329.559999999823049,1801786.050000000046566,1743247.859999999869615,14368766.740000002086163
FS( 253 ),1645816.950000000186265,2231271.169999999925494,1628160.319999999832362,1535930.480000000214204,1788686.479999999748543,2111366.009999999776483,1814561.149999999906868,1760969.340000000083819,14516761.900000000372529
