代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13167763.539999999105930
真實報酬,3167763.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14004.242703361735039
風險,322417.056702254107222
起點值,0.043435179412032
找到最佳解世代,3197
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
IBM[10](1),KO[14](3),MCD[15](16),UNH[23](2),
FS( 231 ),3592837.459999999962747,2954463.089999999850988,2897437.149999999906868,3683635.299999999813735,13128373.000000000000000
FS( 232 ),3539169.560000000055879,2924805.229999999981374,2852830.279999999795109,3603856.899999999441206,12920661.969999998807907
FS( 233 ),3554673.620000000111759,2983248.660000000149012,2868929.000000000000000,3619198.899999999441206,13026050.179999999701977
FS( 234 ),3408577.669999999925494,2870723.249999999534339,2826669.859999999869615,3457340.799999999813735,12563311.579999998211861
FS( 235 ),3438393.169999999925494,2912593.169999999925494,2853501.060000000055879,3494928.699999999720603,12699416.099999999627471
FS( 236 ),3304024.649999999906868,2840193.100000000093132,2753890.229999999981374,3216471.399999999441206,12114579.379999998956919
FS( 237 ),3391284.680000000167638,2908231.720000000204891,2883015.379999999888241,3431259.399999999441206,12613791.179999999701977
FS( 238 ),3230877.290000000037253,2789600.279999999795109,2819962.060000000055879,3210334.599999999627471,12050774.230000000447035
FS( 239 ),3314161.919999999925494,2899508.819999999832362,2893747.859999999869615,3369891.399999999441206,12477310.000000000000000
FS( 240 ),3343381.109999999869615,2928294.389999999664724,2901126.439999999944121,3437396.199999999720603,12610198.139999998733401
FS( 241 ),3438591.939999999944121,2974525.759999999776483,2911858.919999999925494,3524078.499999999534339,12849055.119999999180436
FS( 242 ),3403807.189999999944121,2973653.470000000204891,2906828.069999999832362,3490326.099999999627471,12774614.830000000074506
FS( 243 ),3408577.669999999925494,3021629.419999999925494,2934665.439999999944121,3492627.399999999906868,12857499.929999999701977
FS( 244 ),3256518.620000000111759,2955335.379999999888241,2871276.729999999981374,3366822.999999999534339,12449953.730000000447035
FS( 245 ),3131492.290000000037253,2926549.809999999590218,2925609.910000000149012,3323098.299999999813735,12306750.309999998658895
FS( 246 ),3160115.169999999925494,2934400.419999999925494,2943385.580000000074506,3345344.199999999720603,12383245.369999999180436
FS( 247 ),3266258.349999999627471,3012034.229999999981374,3002749.609999999869615,3441998.799999999348074,12723040.989999998360872
FS( 248 ),3314758.229999999981374,3039075.220000000204891,3022873.009999999776483,3521777.199999999254942,12898483.660000000149012
FS( 249 ),3291303.370000000111759,2964930.569999999832362,2975247.629999999888241,3458875.000000000000000,12690356.570000000298023
FS( 250 ),3362065.489999999757856,2987610.109999999869615,3016165.209999999962747,3507202.299999999348074,12873043.109999997541308
FS( 251 ),3431237.450000000186265,3041692.089999999850988,3045008.750000000000000,3586980.699999999254942,13104918.989999998360872
FS( 252 ),3429050.979999999981374,3046925.830000000074506,3044673.359999999869615,3626869.899999999906868,13147520.070000000298023
FS( 253 ),3417124.779999999795109,3073094.529999999795109,3032263.929999999701977,3645280.299999999813735,13167763.539999999105930
