代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14835231.189999999478459
真實報酬,4835231.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20537.604966797578527
風險,242963.255598687508609
起點值,0.084529674728760
找到最佳解世代,1951
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),DIS[6](1),KO[14](7),VZ[26](9),WMT[28](5),
FS( 196 ),3197900.799999999813735,3269645.649999999906868,2343012.230000000447035,2458441.549999999813735,2783291.849999999627471,14052292.080000000074506
FS( 197 ),3230044.160000000149012,3323438.349999999627471,2362577.990000000223517,2488160.450000000186265,2816779.020000000484288,14220999.969999998807907
FS( 198 ),3240509.440000000409782,3300679.899999999906868,2338120.790000000037253,2491462.549999999813735,2809080.820000000298023,14179853.500000000000000
FS( 199 ),3240883.200000000186265,3403437.750000000000000,2375418.020000000484288,2512926.199999999254942,2813699.739999999292195,14346364.910000000149012
FS( 200 ),3237145.599999999627471,3403437.750000000000000,2367469.429999999701977,2525584.250000000000000,2804076.989999999292195,14337714.019999999552965
FS( 201 ),3280128.000000000000000,3378610.350000000093132,2371138.009999999776483,2451287.000000000000000,2753268.870000000111759,14234432.230000000447035
FS( 202 ),3226680.320000000298023,3351024.350000000093132,2355240.830000000074506,2448535.250000000000000,2780982.389999999664724,14162463.140000000596046
FS( 203 ),3224064.000000000000000,3308955.699999999720603,2350349.389999999664724,2440830.349999999627471,2765585.989999999292195,14089785.429999999701977
FS( 204 ),3208739.839999999850988,3321369.399999999906868,2343623.660000000149012,2408910.049999999813735,2776748.379999999888241,14059391.329999998211861
FS( 205 ),3070074.879999999888241,3331024.500000000000000,2354629.399999999441206,2406158.299999999813735,2774438.919999999925494,13936325.999999998137355
FS( 206 ),3069701.120000000111759,3428265.149999999906868,2410269.530000000260770,2446884.200000000186265,2835639.610000000335276,14190759.609999999403954
FS( 207 ),3124270.080000000074506,3444127.099999999627471,2446343.899999999441206,2471099.599999999627471,2868356.959999999962747,14354197.639999996870756
FS( 208 ),3176970.240000000223517,3434472.000000000000000,2479972.549999999813735,2473851.349999999627471,2886062.820000000298023,14451328.959999999031425
FS( 209 ),3261066.240000000223517,3388955.100000000093132,2470189.669999999925494,2484308.000000000000000,2864892.770000000484288,14469411.780000001192093
FS( 210 ),3240135.679999999701977,3388955.100000000093132,2476915.399999999441206,2488160.450000000186265,2833715.060000000521541,14427881.689999999478459
FS( 211 ),3245368.320000000298023,3377920.699999999720603,2438395.310000000521541,2455689.799999999813735,2850266.189999999478459,14367640.319999998435378
FS( 212 ),3287603.200000000186265,3432403.050000000279397,2471412.530000000260770,2446884.200000000186265,2869511.689999999478459,14507814.669999999925494
FS( 213 ),3324231.679999999701977,3424127.250000000000000,2465298.230000000447035,2459542.250000000000000,2859119.120000000111759,14532318.530000001192093
FS( 214 ),3315261.440000000409782,3435161.650000000372529,2439006.740000000223517,2447434.549999999813735,2847956.729999999515712,14484821.110000003129244
FS( 215 ),3309655.040000000037253,3482057.850000000093132,2432281.009999999776483,2431474.399999999441206,2860273.849999999627471,14515742.150000000372529
FS( 216 ),3314513.919999999925494,3445506.399999999906868,2422498.129999999888241,2440280.000000000000000,2842567.989999999292195,14465366.439999997615814
FS( 217 ),3319372.799999999813735,3424127.250000000000000,2409046.669999999925494,2454589.099999999627471,2836024.520000000484288,14443160.339999999850988
FS( 218 ),3363850.240000000223517,3438609.899999999906868,2402932.370000000111759,2436427.549999999813735,2825247.040000000037253,14467067.100000001490116
FS( 219 ),3372820.479999999515712,3426885.849999999627471,2407823.810000000521541,2439729.649999999441206,2848726.549999999813735,14495986.339999999850988
FS( 220 ),3368335.360000000335276,3440678.850000000093132,2405989.520000000484288,2432024.750000000000000,2865662.589999999850988,14512691.070000000298023
FS( 221 ),3397862.399999999441206,3465506.250000000000000,2418218.120000000111759,2428172.299999999813735,2777133.290000000037253,14486892.359999999403954
FS( 222 ),3460654.080000000074506,3479988.899999999906868,2416995.259999999776483,2424870.200000000186265,2770974.729999999515712,14553483.170000001788139
FS( 223 ),3551477.759999999776483,3479299.250000000000000,2413326.679999999701977,2405057.599999999627471,2782906.939999999478459,14632068.229999998584390
FS( 224 ),3502888.959999999962747,3423437.600000000093132,2400486.649999999441206,2360479.250000000000000,2749419.770000000484288,14436712.230000000447035
FS( 225 ),3571287.040000000037253,3424816.899999999906868,2370526.580000000074506,2345619.799999999813735,2762506.709999999962747,14474757.030000001192093
FS( 226 ),3538022.399999999441206,3391024.050000000279397,2330172.200000000186265,2325256.849999999627471,2754423.599999999627471,14338899.099999997764826
FS( 227 ),3541386.240000000223517,3417920.400000000372529,2352183.679999999701977,2375889.049999999813735,2775593.649999999441206,14462973.019999999552965
FS( 228 ),3607915.520000000484288,3422747.950000000186265,2333840.780000000260770,2353324.700000000186265,2790605.139999999664724,14508434.089999999850988
FS( 229 ),3603056.640000000596046,3422747.950000000186265,2323446.469999999739230,2348371.549999999813735,2787140.950000000186265,14484763.559999998658895
FS( 230 ),3595955.200000000186265,3451023.600000000093132,2290429.250000000000000,2371486.250000000000000,2800997.709999999962747,14509892.010000001639128
FS( 231 ),3544750.080000000074506,3408265.300000000279397,2270863.490000000223517,2353875.049999999813735,2780982.389999999664724,14358736.310000002384186
FS( 232 ),3551851.520000000484288,3411713.549999999813735,2286760.669999999925494,2363231.000000000000000,2794454.239999999292195,14408010.980000000447035
FS( 233 ),3603804.160000000149012,3424816.899999999906868,2279423.509999999776483,2405057.599999999627471,2829481.049999999813735,14542583.219999998807907
FS( 234 ),3578762.240000000223517,3502747.350000000093132,2293486.399999999441206,2410561.099999999627471,2831020.689999999478459,14616577.779999997466803
FS( 235 ),3610905.599999999627471,3576539.899999999906868,2332617.919999999925494,2429823.349999999627471,2879519.349999999627471,14829406.119999999180436
FS( 236 ),3633331.200000000186265,3568264.100000000093132,2317332.169999999925494,2406158.299999999813735,2841413.259999999776483,14766499.029999999329448
FS( 237 ),3538769.919999999925494,3553091.800000000279397,2302657.849999999627471,2424870.200000000186265,2829481.049999999813735,14648870.820000000298023
FS( 238 ),3527183.360000000335276,3555850.400000000372529,2309383.580000000074506,2434776.500000000000000,2850651.099999999627471,14677844.939999999478459
FS( 239 ),3576145.919999999925494,3565505.500000000000000,2295932.120000000111759,2470549.250000000000000,2851036.009999999776483,14759168.799999998882413
FS( 240 ),3646786.559999999590218,3627574.000000000000000,2344846.520000000484288,2508523.399999999441206,2892221.379999999888241,15019951.859999999403954
FS( 241 ),3690890.240000000223517,3610332.750000000000000,2330783.629999999888241,2450736.650000000372529,2867587.139999999664724,14950330.410000000149012
FS( 242 ),3736488.959999999962747,3596539.750000000000000,2344846.520000000484288,2453488.399999999441206,2847956.729999999515712,14979320.359999999403954
FS( 243 ),3747701.759999999776483,3579298.500000000000000,2361355.129999999888241,2471649.949999999254942,2846417.089999999850988,15006422.429999999701977
FS( 244 ),3748823.040000000037253,3634470.500000000000000,2355240.830000000074506,2491462.549999999813735,2862583.310000000521541,15092580.230000002309680
FS( 245 ),3730508.799999999813735,3631711.899999999906868,2362577.990000000223517,2503570.250000000000000,2877209.889999999664724,15105578.829999998211861
FS( 246 ),3737984.000000000000000,3637229.100000000093132,2325280.759999999776483,2511825.500000000000000,2865662.589999999850988,15077981.949999999254942
FS( 247 ),3688273.919999999925494,3649642.800000000279397,2330783.629999999888241,2514026.899999999441206,2876824.979999999515712,15059552.230000000447035
FS( 248 ),3596328.959999999962747,3623436.100000000093132,2303880.709999999962747,2510724.799999999813735,2858349.299999999813735,14892719.870000001043081
FS( 249 ),3551851.520000000484288,3582057.099999999627471,2308772.149999999441206,2509073.750000000000000,2855654.929999999701977,14807409.449999999254942
FS( 250 ),3637816.320000000298023,3626194.699999999720603,2342400.799999999813735,2518429.700000000186265,2847571.820000000298023,14972413.339999999850988
FS( 251 ),3561943.040000000037253,3605505.200000000186265,2319166.459999999962747,2507973.049999999813735,2840643.439999999478459,14835231.189999999478459
