代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14431933.189999999478459
真實報酬,4431933.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16972.583184099159553
風險,117011.577201358129969
起點值,0.145050460732548
找到最佳解世代,3212
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](5),HD[9](11),KO[14](18),MCD[15](1),MMM[16](4),UNH[23](3),V[25](10),
FS( 135 ),1743059.780000000027940,1603625.329999999841675,1650045.620000000111759,1301341.209999999962747,1640170.399999999906868,1506152.599999999860302,1507205.850000000093132,1426570.419999999925494,12378171.209999999031425
FS( 136 ),1684538.360000000102445,1569219.489999999990687,1627421.200000000186265,1303715.370000000111759,1630371.599999999860302,1482789.900000000139698,1513839.950000000186265,1405283.959999999962747,12217179.830000001937151
FS( 137 ),1710211.550000000046566,1557107.229999999981374,1623355.060000000055879,1299857.359999999869615,1637052.599999999860302,1485833.900000000139698,1537059.300000000046566,1404518.259999999776483,12254995.259999999776483
FS( 138 ),1716041.270000000018626,1586597.949999999953434,1629610.660000000149012,1302825.060000000055879,1649746.500000000000000,1490095.500000000000000,1547279.400000000139698,1416310.039999999804422,12338506.379999998956919
FS( 139 ),1726467.500000000232831,1612139.019999999785796,1626065.820000000298023,1311134.620000000111759,1650191.899999999906868,1510718.599999999860302,1566195.550000000046566,1429020.659999999916181,12431933.669999999925494
FS( 140 ),1724337.410000000149012,1610559.159999999916181,1614284.440000000176951,1317366.790000000037253,1646071.949999999953434,1504782.799999999813735,1570857.350000000093132,1437443.359999999869615,12425703.259999999776483
FS( 141 ),1719180.350000000093132,1626006.679999999934807,1616056.860000000102445,1336360.070000000065193,1664778.750000000000000,1502956.400000000139698,1574174.400000000139698,1451991.659999999916181,12491505.170000001788139
FS( 142 ),1725122.180000000167638,1641980.819999999832362,1631278.820000000298023,1347637.329999999841675,1667896.550000000046566,1518556.899999999906868,1596228.300000000046566,1455513.879999999888241,12584214.780000001192093
FS( 143 ),1722207.320000000298023,1637767.859999999869615,1615014.260000000242144,1347043.790000000037253,1668787.350000000093132,1527156.199999999953434,1591297.550000000046566,1449847.699999999953434,12559122.029999999329448
FS( 144 ),1722879.979999999981374,1640313.189999999944121,1604379.739999999990687,1348230.870000000111759,1669566.800000000046566,1540625.899999999906868,1583139.400000000139698,1450613.399999999906868,12559749.280000001192093
FS( 145 ),1712677.969999999972060,1646895.939999999944121,1600522.120000000111759,1349417.949999999953434,1680256.399999999906868,1556074.199999999953434,1570498.750000000000000,1458423.539999999804422,12574766.869999999180436
FS( 146 ),1717386.590000000083819,1644175.069999999832362,1617620.760000000242144,1358914.590000000083819,1696958.899999999906868,1555161.000000000000000,1609944.750000000232831,1461026.919999999925494,12661188.580000000074506
FS( 147 ),1742835.560000000055879,1669716.139999999897555,1619705.959999999962747,1361882.290000000037253,1711991.150000000139698,1573044.500000000000000,1608241.399999999906868,1472512.419999999925494,12759929.420000001788139
FS( 148 ),1725794.840000000083819,1658481.579999999841675,1613867.399999999906868,1364849.989999999990687,1701412.899999999906868,1569391.699999999953434,1608062.100000000093132,1478638.019999999785796,12720498.529999999329448
FS( 149 ),1731624.560000000055879,1639172.179999999934807,1607716.060000000055879,1364553.219999999972060,1684042.299999999813735,1563227.599999999860302,1621061.350000000093132,1466999.379999999888241,12678396.649999998509884
FS( 150 ),1741938.680000000167638,1651021.129999999888241,1615639.820000000298023,1350605.030000000027940,1691948.149999999906868,1560183.599999999860302,1642487.700000000186265,1471593.579999999841675,12725417.689999999478459
FS( 151 ),1737678.500000000232831,1667083.040000000037253,1600417.860000000102445,1339327.770000000018626,1686269.300000000046566,1567260.899999999906868,1628860.900000000139698,1471593.579999999841675,12698491.849999999627471
FS( 152 ),1670300.389999999897555,1667960.739999999990687,1594787.820000000298023,1344966.399999999906868,1686826.049999999813735,1574794.800000000046566,1626798.950000000186265,1448163.159999999916181,12614598.309999998658895
FS( 153 ),1630389.229999999981374,1667697.429999999934807,1586655.540000000270084,1345263.169999999925494,1653309.699999999953434,1578295.399999999906868,1606986.300000000046566,1431930.319999999832362,12500527.090000001713634
FS( 154 ),1643506.100000000093132,1677264.359999999869615,1605526.600000000093132,1336360.070000000065193,1668341.949999999953434,1591384.600000000093132,1623123.300000000046566,1456126.439999999711290,12601633.420000001788139
FS( 155 ),1627474.370000000111759,1688586.689999999944121,1634406.620000000111759,1344372.859999999869615,1677918.050000000046566,1598233.599999999860302,1634867.450000000186265,1459801.799999999813735,12665661.440000001341105
FS( 156 ),1617720.800000000046566,1715532.079999999841675,1634510.880000000121072,1342889.010000000009313,1683374.199999999953434,1607974.399999999906868,1617116.750000000000000,1442190.699999999953434,12661308.819999998435378
FS( 157 ),1595074.580000000307336,1724221.309999999823049,1633155.500000000000000,1344669.630000000121072,1692504.900000000139698,1622813.900000000139698,1628323.000000000000000,1442190.699999999953434,12682953.519999999552965
FS( 158 ),1640703.350000000093132,1747392.590000000083819,1655779.920000000158325,1346747.020000000018626,1705310.149999999906868,1623727.100000000093132,1640784.350000000093132,1451685.379999999888241,12812129.859999999403954
FS( 159 ),1625792.719999999972060,1740809.840000000083819,1643894.280000000027940,1353572.729999999981374,1715665.699999999953434,1623727.100000000093132,1643025.600000000093132,1445406.639999999664724,12791894.609999999403954
FS( 160 ),1635434.180000000167638,1748182.519999999785796,1632634.200000000186265,1341998.699999999953434,1711879.799999999813735,1619922.100000000093132,1657817.849999999860302,1447856.879999999888241,12795726.230000000447035
FS( 161 ),1632743.540000000037253,1750552.309999999823049,1621061.340000000083819,1337547.149999999906868,1723794.250000000232831,1615051.699999999953434,1671982.550000000046566,1438821.619999999878928,12791554.459999999031425
FS( 162 ),1640030.690000000176951,1775040.139999999897555,1577584.920000000158325,1342889.010000000009313,1722012.649999999906868,1620226.500000000000000,1660776.300000000046566,1463783.439999999711290,12802343.650000000372529
FS( 163 ),1634873.630000000121072,1755291.889999999897555,1578731.780000000027940,1348230.870000000111759,1714440.850000000093132,1618019.600000000093132,1659610.850000000093132,1458270.399999999906868,12767469.869999999180436
FS( 164 ),1611442.639999999897555,1745724.959999999729916,1587281.100000000093132,1336953.609999999869615,1711768.449999999953434,1596483.300000000046566,1654949.050000000046566,1453369.919999999925494,12697973.029999999329448
FS( 165 ),1634985.740000000223517,1752132.169999999925494,1597602.840000000083819,1344966.399999999906868,1718226.750000000232831,1602875.699999999953434,1664810.550000000046566,1473737.539999999804422,12789337.689999999478459
FS( 166 ),1610882.090000000083819,1733173.850000000093132,1586447.020000000018626,1330424.669999999925494,1705198.800000000046566,1581796.000000000000000,1660955.600000000093132,1446019.199999999953434,12654897.229999998584390
FS( 167 ),1614693.830000000307336,1735719.179999999934807,1599375.260000000242144,1331018.209999999962747,1705532.849999999860302,1584383.399999999906868,1662300.349999999860302,1436218.239999999757856,12669241.320000000298023
FS( 168 ),1608864.110000000102445,1743091.859999999869615,1605735.120000000111759,1328347.280000000027940,1698183.750000000000000,1596863.800000000046566,1673327.300000000046566,1429633.219999999739230,12684046.440000001341105
FS( 169 ),1615478.600000000093132,1771353.800000000046566,1591972.800000000046566,1330127.899999999906868,1704530.699999999953434,1596331.099999999860302,1687671.300000000046566,1439740.459999999962747,12737206.660000000149012
FS( 170 ),1600231.639999999897555,1768457.389999999897555,1585300.160000000149012,1317663.560000000055879,1704753.400000000139698,1583089.700000000186265,1675927.150000000139698,1428101.819999999832362,12663524.820000002160668
FS( 171 ),1616487.590000000083819,1776268.919999999925494,1587176.840000000083819,1317366.790000000037253,1740162.700000000186265,1595037.400000000139698,1685071.450000000186265,1438362.199999999953434,12755933.890000000596046
FS( 172 ),1626353.270000000018626,1790224.350000000093132,1576229.540000000270084,1317070.020000000018626,1731811.450000000186265,1601886.400000000139698,1676016.800000000046566,1456279.579999999841675,12775871.410000000149012
FS( 173 ),1631622.440000000176951,1810499.219999999972060,1570182.459999999962747,1315586.169999999925494,1725019.099999999860302,1595570.099999999860302,1667051.800000000046566,1461180.059999999823049,12776711.350000001490116
FS( 174 ),1633976.750000000232831,1811991.309999999823049,1590930.200000000186265,1320928.030000000027940,1743614.550000000046566,1608050.500000000000000,1673685.900000000139698,1472971.839999999850988,12856149.080000000074506
FS( 175 ),1656735.080000000307336,1810148.139999999897555,1598228.399999999906868,1318553.870000000111759,1726466.649999999906868,1606452.400000000139698,1662838.250000000000000,1469296.479999999748543,12848719.270000001415610
FS( 176 ),1670973.050000000046566,1830159.699999999953434,1593953.739999999990687,1325973.120000000111759,1729139.050000000046566,1611627.200000000186265,1675568.550000000046566,1484457.339999999850988,12921851.750000000000000
FS( 177 ),1676802.770000000018626,1834460.429999999934807,1604484.000000000000000,1327456.969999999972060,1728916.349999999860302,1610942.300000000046566,1670637.800000000046566,1482925.939999999711290,12936626.560000000521541
FS( 178 ),1682632.490000000223517,1827789.909999999916181,1586551.280000000027940,1325676.350000000093132,1714440.850000000093132,1608126.600000000093132,1675120.300000000046566,1494411.439999999711290,12914749.220000000670552
FS( 179 ),1693170.830000000307336,1850961.189999999944121,1598332.660000000149012,1330424.669999999925494,1713661.399999999906868,1614138.500000000000000,1696098.400000000139698,1504671.819999999832362,13001459.470000000670552
FS( 180 ),1685547.350000000093132,1845694.989999999990687,1532961.640000000130385,1330127.899999999906868,1717224.600000000093132,1616802.000000000000000,1716807.550000000046566,1502527.859999999869615,12947693.890000000596046
FS( 181 ),1684762.580000000307336,1862020.209999999729916,1528999.760000000242144,1336360.070000000065193,1713995.449999999953434,1606985.099999999860302,1719317.750000000000000,1525345.719999999739230,12977786.640000000596046
FS( 182 ),1705166.600000000093132,1862371.290000000037253,1507417.940000000176951,1330721.440000000176951,1690946.000000000000000,1598157.500000000000000,1711338.899999999906868,1537137.500000000000000,12943257.169999999925494
FS( 183 ),1712453.750000000232831,1864828.850000000093132,1532336.080000000074506,1342592.239999999990687,1771340.699999999953434,1517415.399999999906868,1706946.050000000046566,1531318.179999999701977,12979231.250000001862645
FS( 184 ),1720525.670000000158325,2049058.079999999841675,1529416.800000000046566,1357430.739999999990687,1742835.099999999860302,1514675.800000000046566,1710083.800000000046566,1544488.219999999739230,13168514.210000000894070
FS( 185 ),1688013.770000000018626,2115324.429999999701977,1540259.840000000083819,1368708.000000000000000,1747734.499999999767169,1522438.000000000000000,1693767.500000000000000,1524886.299999999813735,13201132.339999999850988
FS( 186 ),1676130.110000000102445,2117694.219999999739230,1543908.940000000176951,1365443.530000000027940,1735486.000000000000000,1519926.699999999953434,1713669.800000000046566,1518454.419999999925494,13190713.720000000670552
FS( 187 ),1667497.639999999897555,2128138.849999999627471,1559756.459999999962747,1360398.440000000176951,1727580.149999999906868,1530961.199999999953434,1719586.699999999953434,1524733.159999999916181,13218652.599999997764826
FS( 188 ),1682296.160000000149012,2101632.309999999590218,1562362.959999999962747,1356243.660000000149012,1715331.649999999906868,1546257.300000000046566,1723352.000000000000000,1544794.500000000000000,13232270.540000000968575
FS( 189 ),1761782.149999999906868,2088554.579999999841675,1569139.860000000102445,1352979.190000000176951,1743725.900000000139698,1563227.599999999860302,1730255.050000000046566,1551073.239999999757856,13360737.570000000298023
FS( 190 ),1744180.880000000121072,2091187.679999999934807,1572163.399999999906868,1355353.350000000093132,1722903.449999999953434,1580045.699999999953434,1746123.100000000093132,1540506.579999999841675,13352464.139999998733401
FS( 191 ),1753373.899999999906868,2086448.100000000093132,1592598.360000000102445,1350308.260000000009313,1712881.949999999953434,1580274.000000000000000,1747109.250000000000000,1545100.779999999795109,13368094.599999999627471
FS( 192 ),1780504.520000000018626,2108566.139999999664724,1598853.959999999962747,1354463.040000000037253,1725687.199999999953434,1578675.899999999906868,1746212.750000000000000,1554289.179999999701977,13447252.689999999478459
FS( 193 ),1794742.490000000223517,2102158.929999999701977,1598853.959999999962747,1353275.959999999962747,1725130.449999999953434,1570989.800000000046566,1747288.550000000046566,1551073.239999999757856,13443513.380000000819564
FS( 194 ),1805729.270000000018626,2056606.300000000046566,1618767.620000000111759,1352979.190000000176951,1725130.449999999953434,1571370.299999999813735,1746661.000000000232831,1546325.899999999906868,13423570.029999999329448
FS( 195 ),1741378.130000000121072,2044055.189999999944121,1604379.739999999990687,1357430.739999999990687,1744059.949999999953434,1569467.799999999813735,1726400.100000000093132,1523661.179999999701977,13310832.830000000074506
FS( 196 ),1765593.889999999897555,2061609.189999999944121,1614805.739999999990687,1352979.190000000176951,1751631.750000000232831,1567565.299999999813735,1730434.350000000093132,1532849.579999999841675,13377468.990000002086163
FS( 197 ),1792163.959999999962747,2081532.979999999981374,1608341.620000000111759,1359211.359999999869615,1751186.349999999860302,1578143.199999999953434,1736620.200000000186265,1560108.500000000000000,13467308.169999998062849
FS( 198 ),1811783.209999999962747,2099262.519999999552965,1565699.280000000027940,1370785.389999999897555,1755194.949999999953434,1576697.300000000046566,1743702.550000000046566,1571747.139999999664724,13494872.339999999850988
FS( 199 ),1804496.060000000055879,2085394.859999999869615,1587385.360000000102445,1371082.160000000149012,1769447.750000000000000,1582328.699999999953434,1737158.100000000093132,1582313.799999999813735,13519606.789999999105930
FS( 200 ),1769854.070000000298023,2067840.859999999869615,1560486.280000000027940,1360991.979999999981374,1758201.399999999906868,1562771.000000000000000,1727565.550000000046566,1564549.559999999823049,13372260.700000001117587
FS( 201 ),1765818.110000000102445,2069420.719999999972060,1537757.600000000093132,1355353.350000000093132,1756753.849999999860302,1548920.800000000046566,1710711.350000000093132,1569909.459999999962747,13314645.239999998360872
FS( 202 ),1762566.920000000158325,2068630.790000000037253,1555586.060000000055879,1355650.120000000111759,1763434.850000000093132,1556683.000000000000000,1721559.000000000000000,1580782.399999999906868,13364893.140000000596046
FS( 203 ),1791379.190000000176951,2104353.179999999701977,1562988.520000000018626,1353275.959999999962747,1777687.649999999906868,1563608.100000000093132,1746302.399999999906868,1593799.299999999813735,13493394.300000000745058
FS( 204 ),1793621.389999999897555,2089783.359999999869615,1554543.459999999962747,1351495.340000000083819,1768445.600000000093132,1542376.199999999953434,1741371.650000000139698,1580169.839999999850988,13421806.839999999850988
FS( 205 ),1785661.580000000307336,2095488.409999999916181,1545681.360000000102445,1347637.329999999841675,1763991.599999999860302,1538190.699999999953434,1745943.800000000046566,1580782.399999999906868,13403377.180000001564622
FS( 206 ),1792276.070000000298023,2070473.959999999729916,1560277.760000000242144,1352385.649999999906868,1768556.949999999953434,1538266.800000000046566,1742447.450000000186265,1582773.219999999739230,13407457.859999999403954
FS( 207 ),1810325.780000000027940,2081796.290000000037253,1578419.000000000000000,1347934.100000000093132,1778021.699999999953434,1540778.100000000093132,1748991.900000000139698,1589358.239999999757856,13475625.109999999403954
FS( 208 ),1826469.620000000111759,2110848.160000000149012,1562258.700000000186265,1348824.410000000149012,1774792.550000000046566,1544278.699999999953434,1763694.500000000000000,1589205.099999999860302,13520371.740000000223517
FS( 209 ),1831402.459999999962747,2110584.849999999627471,1563926.860000000102445,1347043.790000000037253,1776462.800000000046566,1550138.399999999906868,1756074.250000000000000,1588592.539999999804422,13524225.949999999254942
FS( 210 ),1838689.610000000102445,2103563.250000000000000,1562571.480000000214204,1351792.109999999869615,1781362.199999999953434,1554932.699999999953434,1783148.550000000046566,1585376.599999999860302,13561436.500000000000000
FS( 211 ),1839250.160000000149012,2109443.839999999850988,1572059.140000000130385,1358617.820000000065193,1779580.600000000093132,1549149.100000000093132,1790768.800000000046566,1591195.919999999925494,13590065.380000000819564
FS( 212 ),1817164.490000000223517,2080216.429999999934807,1594475.040000000270084,1362772.600000000093132,1771674.750000000000000,1529515.299999999813735,1786824.199999999953434,1577566.459999999962747,13520209.269999999552965
FS( 213 ),1815258.620000000111759,2059327.169999999925494,1632321.420000000158325,1363959.679999999934807,1761875.949999999953434,1537658.000000000000000,1778486.750000000000000,1580169.839999999850988,13529057.429999999701977
FS( 214 ),1807971.469999999972060,2074160.300000000046566,1646605.040000000270084,1373456.320000000065193,1780582.750000000000000,1555998.100000000093132,1776604.099999999860302,1601303.159999999916181,13616681.240000000223517
FS( 215 ),1778486.540000000037253,2095839.489999999990687,1664642.020000000018626,1374049.859999999869615,1778467.100000000093132,1565358.399999999906868,1772838.800000000046566,1599312.339999999850988,13628994.550000000745058
FS( 216 ),1810662.110000000102445,2111725.860000000335276,1651192.480000000214204,1380578.800000000046566,1798732.800000000046566,1594809.100000000093132,1789244.750000000232831,1625652.419999999925494,13762598.320000000298023
FS( 217 ),1803487.070000000298023,2111638.089999999850988,1667248.520000000018626,1386514.199999999953434,1740830.800000000046566,1595417.899999999906868,1770328.600000000093132,1626571.259999999776483,13702036.439999999478459
FS( 218 ),1789921.760000000242144,2123487.040000000037253,1668395.380000000121072,1390965.750000000000000,1748291.250000000000000,1594276.400000000139698,1778038.500000000232831,1620751.939999999711290,13714128.019999999552965
FS( 219 ),1774562.690000000176951,2152451.139999999664724,1661722.739999999990687,1368411.229999999981374,1748291.250000000000000,1609039.800000000046566,1772659.500000000000000,1624580.439999999711290,13711718.790000000968575
FS( 220 ),1792500.290000000037253,2185540.429999999701977,1651505.260000000242144,1370488.620000000111759,1747400.449999999953434,1623651.000000000000000,1776693.750000000000000,1612635.519999999785796,13760415.320000000298023
FS( 221 ),1778934.979999999981374,2221350.589999999850988,1645353.920000000158325,1368411.229999999981374,1744728.050000000046566,1626771.099999999860302,1776783.400000000139698,1605437.939999999711290,13767771.210000000894070
FS( 222 ),1779607.639999999897555,2215908.849999999627471,1643790.020000000018626,1364553.219999999972060,1753079.300000000046566,1625249.100000000093132,1745047.300000000046566,1614320.059999999823049,13741555.490000000223517
FS( 223 ),1749786.380000000121072,2242239.849999999627471,1654424.540000000270084,1358617.820000000065193,1780360.050000000046566,1602038.599999999860302,1754908.800000000046566,1614320.059999999823049,13756696.100000001490116
FS( 224 ),1719740.899999999906868,2247330.509999999776483,1659741.800000000046566,1347340.560000000055879,1770895.300000000046566,1601505.899999999906868,1750067.700000000186265,1612788.659999999916181,13709411.330000001937151
FS( 225 ),1702924.399999999906868,2250929.080000000074506,1667874.080000000074506,1350011.489999999990687,1769559.099999999860302,1603941.099999999860302,1730524.000000000000000,1616617.159999999916181,13692380.410000000149012
FS( 226 ),1687901.660000000149012,2232234.070000000298023,1679655.459999999962747,1355946.889999999897555,1740051.349999999860302,1603712.799999999813735,1719048.800000000046566,1577719.599999999860302,13596270.630000000819564
FS( 227 ),1716938.149999999906868,2226792.330000000074506,1681323.620000000111759,1352385.649999999906868,1707648.500000000000000,1605995.800000000046566,1727565.550000000046566,1576494.479999999748543,13595144.080000001937151
FS( 228 ),1729158.139999999897555,2240659.990000000223517,1677778.780000000027940,1324786.040000000037253,1715443.000000000232831,1594200.299999999813735,1743612.900000000139698,1591042.779999999795109,13616681.929999999701977
FS( 229 ),1718507.690000000176951,2231795.219999999739230,1692792.220000000204891,1332798.829999999841675,1753747.400000000139698,1594733.000000000000000,1758046.550000000046566,1601609.439999999711290,13684030.350000001490116
FS( 230 ),1727924.930000000167638,2231268.599999999627471,1705303.420000000158325,1335766.530000000027940,1744728.050000000046566,1597396.500000000000000,1755805.300000000046566,1601609.439999999711290,13699802.770000001415610
FS( 231 ),1724449.520000000018626,2246891.660000000149012,1710099.380000000121072,1329534.359999999869615,1747845.850000000093132,1619161.099999999860302,1770059.650000000139698,1614779.479999999748543,13762821.000000000000000
FS( 232 ),1731960.889999999897555,2242239.849999999627471,1722089.280000000027940,1341108.389999999897555,1746732.350000000093132,1632935.199999999953434,1780728.000000000000000,1617076.579999999841675,13814870.539999999105930
FS( 233 ),1720749.889999999897555,2244872.950000000186265,1723340.399999999906868,1350308.260000000009313,1750629.600000000093132,1647774.700000000186265,1797313.250000000000000,1612788.659999999916181,13847777.710000000894070
FS( 234 ),1742162.899999999906868,2272344.959999999962747,1731993.980000000214204,1350901.800000000046566,1768334.250000000232831,1646633.199999999953434,1774183.550000000046566,1627030.679999999701977,13913585.320000000298023
FS( 235 ),1741153.910000000149012,2269624.089999999850988,1729178.959999999962747,1350011.489999999990687,1777242.250000000000000,1647774.700000000186265,1775617.949999999953434,1634534.539999999804422,13925137.889999996870756
FS( 236 ),1747207.850000000093132,2267956.459999999962747,1727719.320000000298023,1347637.329999999841675,1783032.449999999953434,1648992.300000000046566,1759839.550000000046566,1638822.459999999962747,13921207.720000002533197
FS( 237 ),1747880.510000000242144,2290250.040000000037253,1721985.020000000018626,1361288.750000000000000,1788154.550000000046566,1649525.000000000000000,1745316.250000000000000,1643416.659999999916181,13947816.780000001192093
FS( 238 ),1755167.660000000149012,2294726.309999999590218,1722923.360000000102445,1368114.459999999962747,1816771.500000000000000,1647698.599999999860302,1750515.949999999953434,1660721.479999999748543,14016639.319999998435378
FS( 239 ),1749001.610000000102445,2298851.500000000000000,1716042.200000000186265,1368411.229999999981374,1825234.099999999860302,1655917.400000000139698,1729537.849999999860302,1655667.859999999869615,13998663.750000000000000
FS( 240 ),1760100.500000000232831,2288582.410000000149012,1714791.080000000074506,1370488.620000000111759,1841491.199999999953434,1656906.699999999953434,1725951.850000000093132,1664090.559999999823049,14022402.919999999925494
FS( 241 ),1792500.290000000037253,2279893.179999999701977,1712184.580000000074506,1383546.500000000000000,1837482.599999999860302,1664516.699999999953434,1732048.050000000046566,1658577.519999999785796,14060749.419999999925494
FS( 242 ),1799114.780000000027940,2269975.169999999925494,1703113.959999999962747,1380578.800000000046566,1841825.250000000000000,1657135.000000000000000,1827883.899999999906868,1646938.879999999888241,14126565.740000002086163
FS( 243 ),1791154.969999999972060,2282438.509999999776483,1704156.560000000055879,1377017.560000000055879,1845945.200000000186265,1661092.200000000186265,1839897.000000000000000,1650920.519999999785796,14152622.519999999552965
FS( 244 ),1748777.389999999897555,2273661.509999999776483,1701967.100000000093132,1382656.190000000176951,1854073.750000000000000,1668473.900000000139698,1822146.300000000046566,1638975.599999999860302,14090731.740000002086163
FS( 245 ),1751804.360000000102445,2323778.179999999701977,1703948.040000000270084,1376424.020000000018626,1851846.750000000232831,1684302.699999999953434,1860157.900000000139698,1647092.019999999785796,14199353.969999998807907
FS( 246 ),1750907.479999999981374,2302450.070000000298023,1717606.100000000093132,1374643.399999999906868,1818887.150000000139698,1686053.000000000000000,1855854.699999999953434,1646785.739999999757856,14153187.640000000596046
FS( 247 ),1761333.709999999962747,2334749.429999999701977,1731055.640000000130385,1370488.620000000111759,1824900.050000000046566,1785744.000000000000000,1866074.800000000046566,1660262.059999999823049,14334608.310000000521541
FS( 248 ),1753598.120000000111759,2268219.770000000484288,1731472.679999999934807,1366630.609999999869615,1821559.550000000046566,1808802.300000000046566,1860785.449999999953434,1676801.179999999701977,14287869.660000000149012
FS( 249 ),1764809.120000000111759,2275680.219999999739230,1747945.760000000242144,1371972.469999999972060,1826347.599999999860302,1772730.899999999906868,1875039.800000000046566,1681548.519999999785796,14316074.390000000596046
FS( 250 ),1828039.160000000149012,2251016.849999999627471,1744713.700000000186265,1367224.149999999906868,1841713.899999999906868,1786428.900000000139698,1905969.050000000046566,1680170.259999999776483,14405275.970000000670552
FS( 251 ),1869183.530000000027940,2275504.679999999701977,1723548.920000000158325,1360991.979999999981374,1851067.299999999813735,1758119.700000000186265,1877191.399999999906868,1685223.879999999888241,14400831.390000000596046
FS( 252 ),1895193.050000000046566,2264357.889999999664724,1728449.140000000130385,1364553.219999999972060,1858639.099999999860302,1751803.399999999906868,1884632.350000000093132,1684305.039999999804422,14431933.189999999478459
