代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14484009.839999997988343
真實報酬,4484009.839999997988343

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21343.987478455030214
風險,299742.049805893679149
起點值,0.071207851858880
找到最佳解世代,2229
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),MCD[15](11),MSFT[18](4),V[25](1),
FS( 231 ),4877819.039999999105930,2859914.080000000074506,3548795.000000000000000,3378726.160000000149012,14665254.279999999329448
FS( 232 ),4992167.199999999254942,2913148.959999999962747,3571296.419999999925494,3409779.520000000018626,14886392.099999997764826
FS( 233 ),4937965.039999999105930,2916427.919999999459833,3559092.259999999776483,3386839.200000000186265,14800324.419999998062849
FS( 234 ),4911359.279999999329448,2939187.759999999776483,3579686.780000000260770,3408940.239999999757856,14839174.060000000521541
FS( 235 ),4935276.160000000149012,2978921.039999999571592,3601425.440000000409782,3419291.359999999869615,14934914.000000000000000
FS( 236 ),5017216.240000000223517,3032927.439999999944121,3681896.620000000111759,3483356.400000000372529,15215396.700000001117587
FS( 237 ),4871026.080000000074506,3042571.439999999944121,3690668.359999999869615,3475802.879999999888241,15080068.759999997913837
FS( 238 ),4792907.039999999105930,3051829.679999999701977,3600662.680000000167638,3446707.840000000316650,14892107.239999998360872
FS( 239 ),4673888.719999998807907,3052215.439999999944121,3579305.399999999906868,3429362.720000000204891,14734772.279999999329448
FS( 240 ),4669926.160000000149012,3117216.000000000000000,3591890.940000000409782,3452582.799999999813735,14831615.900000002235174
FS( 241 ),4676860.640000000596046,3131682.000000000000000,3607908.899999999906868,3483915.920000000391155,14900367.460000000894070
FS( 242 ),4695116.719999998807907,3067067.199999999720603,3542692.919999999925494,3446987.600000000093132,14751864.439999997615814
FS( 243 ),4778188.959999999031425,3074203.759999999776483,3551846.040000000037253,3494546.799999999813735,14898785.559999998658895
FS( 244 ),4770688.400000000372529,3060316.399999999906868,3527056.340000000316650,3447267.359999999869615,14805328.500000000000000
FS( 245 ),4523169.919999999925494,3029069.839999999850988,3424465.120000000111759,3356904.879999999888241,14333609.759999997913837
FS( 246 ),4542841.199999999254942,2989336.559999999590218,3324924.940000000409782,3273256.640000000130385,14130359.339999999850988
FS( 247 ),4655632.640000000596046,3047779.199999999720603,3576635.740000000223517,3375089.280000000260770,14655136.859999999403954
FS( 248 ),4544539.439999999478459,3037556.559999999590218,3412260.959999999962747,3284447.040000000502914,14278804.000000000000000
FS( 249 ),4528972.240000000223517,3055494.399999999906868,3409209.919999999925494,3272976.879999999888241,14266653.440000001341105
FS( 250 ),4640206.959999999031425,3016339.759999999776483,3480909.359999999869615,3346553.760000000242144,14484009.839999997988343
