代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14940937.379999998956919
真實報酬,4940937.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19859.460124585129961
風險,237216.012835613626521
起點值,0.083718885108938
找到最佳解世代,1614
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](16),HD[9](27),JNJ[12](12),MCD[15](11),MRK[17](9),MSFT[18](8),PG[21](5),
FS( 135 ),1993939.919999999925494,1526324.520000000018626,1300931.300000000046566,1455355.519999999785796,1485677.520000000251457,1728906.399999999906868,1791617.660000000149012,1562114.719999999972060,12844867.560000000521541
FS( 136 ),1996690.159999999916181,1537244.040000000037253,1324699.239999999990687,1446799.039999999804422,1498797.220000000204891,1708844.800000000046566,1798411.040000000037253,1571457.959999999962747,12882943.500000003725290
FS( 137 ),1984314.079999999841675,1525111.239999999990687,1321303.820000000065193,1453454.079999999841675,1483053.580000000074506,1696499.199999999953434,1813232.959999999962747,1547973.599999999860302,12824942.560000000521541
FS( 138 ),2008378.679999999934807,1537244.040000000037253,1326154.420000000158325,1460109.119999999878928,1516687.720000000204891,1702672.000000000000000,1829907.620000000111759,1555801.719999999972060,12936955.320000002160668
FS( 139 ),2029693.039999999804422,1591841.639999999897555,1341191.280000000027940,1478172.799999999813735,1539349.020000000251457,1739194.400000000139698,1824349.399999999906868,1572468.040000000037253,13116259.620000001043081
FS( 140 ),2033130.839999999850988,1593358.239999999990687,1309177.320000000065193,1477697.439999999944121,1516449.180000000167638,1763885.599999999860302,1852758.080000000074506,1573478.120000000111759,13119934.820000000298023
FS( 141 ),2022817.439999999944121,1577888.920000000158325,1323729.120000000111759,1481262.639999999897555,1526229.320000000065193,1807609.600000000093132,1859551.459999999962747,1576003.319999999832362,13175091.820000000298023
FS( 142 ),1969187.760000000009313,1559993.040000000037253,1314998.040000000037253,1483877.119999999878928,1512632.540000000037253,1817383.199999999953434,1839171.320000000065193,1569437.800000000046566,13066680.820000000298023
FS( 143 ),1963687.279999999795109,1568182.680000000167638,1318393.460000000195578,1481024.959999999962747,1525990.780000000027940,1875510.400000000139698,1829290.040000000037253,1560599.599999999860302,13122679.200000001117587
FS( 144 ),2022129.879999999888241,1596391.440000000176951,1334400.440000000176951,1490056.799999999813735,1526467.860000000102445,1873452.800000000046566,1849052.600000000093132,1584083.959999999962747,13276035.780000001192093
FS( 145 ),2008378.679999999934807,1576372.320000000065193,1336825.739999999990687,1501703.119999999878928,1531954.280000000027940,1863164.800000000046566,1847199.860000000102445,1585851.599999999860302,13251450.400000000372529
FS( 146 ),2005628.439999999944121,1605491.040000000037253,1350892.480000000214204,1504555.279999999795109,1537440.700000000186265,1881168.800000000046566,1839788.899999999906868,1587619.239999999990687,13312584.880000000819564
FS( 147 ),1970562.879999999888241,1590931.680000000167638,1339251.040000000037253,1494810.399999999906868,1517164.800000000279397,1866765.599999999860302,1804586.840000000083819,1577770.959999999962747,13161844.199999999254942
FS( 148 ),1963687.279999999795109,1589718.399999999906868,1327124.540000000037253,1493622.000000000000000,1508815.900000000139698,1862650.400000000139698,1816320.860000000102445,1574488.199999999953434,13136427.579999998211861
FS( 149 ),1934809.760000000009313,1629453.320000000065193,1358168.380000000121072,1509546.559999999823049,1515733.560000000055879,1897115.200000000186265,1853375.660000000149012,1588629.319999999832362,13286831.760000001639128
FS( 150 ),1927246.600000000093132,1631273.239999999990687,1374175.360000000102445,1518340.719999999972060,1490925.400000000139698,1892999.999999999767169,1839171.320000000065193,1595699.879999999888241,13269832.519999999552965
FS( 151 ),1929996.839999999850988,1630969.920000000158325,1354772.960000000195578,1524995.759999999776483,1478282.780000000027940,1891456.800000000046566,1842259.219999999972060,1579791.120000000111759,13232525.400000002235174
FS( 152 ),1899056.639999999897555,1658572.040000000037253,1362048.860000000102445,1529749.359999999869615,1469218.260000000242144,1887856.000000000232831,1851522.920000000158325,1580801.199999999953434,13238825.279999999329448
FS( 153 ),1855740.359999999869615,1693150.520000000018626,1368839.699999999953434,1529987.040000000037253,1477328.620000000111759,1887856.000000000232831,1839788.899999999906868,1577518.439999999944121,13230209.580000000074506
FS( 154 ),1864678.639999999897555,1688297.399999999906868,1342161.400000000139698,1527134.879999999888241,1445841.340000000083819,1869852.000000000000000,1826202.140000000130385,1562367.239999999990687,13126535.040000000968575
FS( 155 ),1943060.479999999981374,1682534.320000000065193,1336340.680000000167638,1530224.719999999739230,1445602.800000000279397,1911004.000000000000000,1834848.260000000242144,1571710.479999999981374,13255325.740000000223517
FS( 156 ),1929309.279999999795109,1668581.599999999860302,1357683.320000000065193,1539494.239999999757856,1456337.100000000093132,1931065.599999999860302,1844729.540000000037253,1571710.479999999981374,13298911.160000000149012
FS( 157 ),1912120.279999999795109,1686477.479999999981374,1381936.320000000065193,1541395.679999999701977,1470888.040000000037253,1906888.800000000046566,1843494.380000000121072,1574235.680000000167638,13317436.660000000149012
FS( 158 ),1934809.760000000009313,1700126.879999999888241,1400368.600000000093132,1544010.159999999683350,1482337.960000000195578,1942896.800000000046566,1859551.459999999962747,1591154.520000000018626,13455256.140000000596046
FS( 159 ),1907307.359999999869615,1688600.719999999972060,1407644.500000000000000,1538781.199999999720603,1478998.400000000139698,1954728.000000000000000,1853993.239999999990687,1568680.239999999990687,13398733.660000000149012
FS( 160 ),1915558.079999999841675,1672221.440000000176951,1404734.140000000130385,1540207.279999999795109,1489017.080000000074506,1941868.000000000000000,1858933.880000000121072,1569690.319999999832362,13392230.220000000670552
FS( 161 ),1884617.879999999888241,1652202.320000000065193,1396973.180000000167638,1532363.839999999850988,1477090.080000000074506,1917691.199999999953434,1828054.880000000121072,1555296.680000000167638,13244290.060000000521541
FS( 162 ),1919683.439999999944121,1620960.359999999869615,1389697.280000000027940,1529987.040000000037253,1483053.580000000074506,1923864.000000000000000,1874990.959999999962747,1554286.599999999860302,13296523.259999999776483
FS( 163 ),1947185.839999999850988,1647045.879999999888241,1404734.140000000130385,1529036.319999999832362,1494742.040000000037253,1938781.599999999860302,1884872.239999999990687,1547973.599999999860302,13394371.660000000149012
FS( 164 ),1967812.639999999897555,1671311.479999999981374,1420741.120000000111759,1533789.919999999925494,1502136.780000000027940,1941868.000000000000000,1903399.640000000130385,1547973.599999999860302,13489033.180000001564622
FS( 165 ),1985001.639999999897555,1667065.000000000000000,1406674.380000000121072,1534740.639999999664724,1511439.840000000083819,1916148.000000000000000,1909575.440000000176951,1548226.120000000111759,13478871.059999998658895
FS( 166 ),2053070.079999999841675,1682837.639999999897555,1414920.400000000139698,1537830.479999999981374,1512871.080000000074506,1902773.600000000093132,1914516.080000000074506,1547468.560000000055879,13566287.919999999925494
FS( 167 ),2078509.800000000046566,1672524.760000000009313,1415405.460000000195578,1543534.799999999813735,1517403.340000000083819,1918205.599999999860302,1925014.940000000176951,1546711.000000000000000,13617309.699999999254942
FS( 168 ),2053757.639999999897555,1674648.000000000000000,1419771.000000000000000,1543534.799999999813735,1516926.260000000242144,1908432.000000000000000,1938601.700000000186265,1555044.159999999916181,13610715.559999998658895
FS( 169 ),2078509.800000000046566,1667065.000000000000000,1412980.160000000149012,1542821.759999999776483,1500228.460000000195578,1906374.400000000139698,1912045.760000000242144,1549741.239999999990687,13569766.580000000074506
FS( 170 ),2069571.520000000018626,1641889.440000000176951,1403278.960000000195578,1530937.759999999776483,1489494.160000000149012,1879625.599999999860302,1882401.920000000158325,1531054.760000000009313,13428254.119999999180436
FS( 171 ),2101886.839999999850988,1704070.040000000037253,1390667.400000000139698,1537355.120000000111759,1497604.520000000251457,1903802.399999999906868,1911428.179999999934807,1543428.239999999990687,13590242.740000000223517
FS( 172 ),2106012.199999999720603,1759880.920000000158325,1400853.660000000149012,1519529.119999999878928,1486154.600000000093132,1911518.399999999906868,1912045.760000000242144,1543933.280000000027940,13639927.939999999478459
FS( 173 ),2072321.760000000009313,1813265.239999999990687,1396003.060000000288710,1531888.479999999981374,1465878.700000000186265,1937238.399999999906868,1900311.739999999990687,1536610.199999999953434,13653517.580000000074506
FS( 174 ),2068196.399999999906868,1886668.680000000167638,1412495.100000000093132,1520955.199999999953434,1476613.000000000000000,1940324.800000000046566,1880549.179999999934807,1528277.040000000037253,13714079.399999998509884
FS( 175 ),2081947.600000000093132,1868469.479999999981374,1405704.260000000242144,1526184.159999999683350,1475181.760000000242144,1939296.000000000232831,1893518.360000000102445,1526256.879999999888241,13716558.500000000000000
FS( 176 ),2064071.039999999804422,1846327.119999999878928,1365929.340000000083819,1526421.839999999850988,1486631.680000000167638,1947012.000000000000000,1869432.739999999990687,1520196.400000000139698,13626022.160000000149012
FS( 177 ),2040006.439999999944121,1832981.040000000037253,1357198.260000000242144,1534502.959999999962747,1494742.040000000037253,1931579.999999999767169,1857081.140000000130385,1537620.280000000027940,13585712.160000000149012
FS( 178 ),2068883.959999999962747,1855123.399999999906868,1364474.160000000149012,1544247.839999999850988,1493072.260000000242144,2002567.199999999953434,1874373.380000000121072,1553529.040000000037253,13756271.239999998360872
FS( 179 ),2057195.439999999944121,1867256.200000000186265,1372720.180000000167638,1547337.679999999701977,1494503.500000000000000,2057093.600000000093132,1912045.760000000242144,1555044.159999999916181,13863196.519999999552965
FS( 180 ),2022817.439999999944121,1844810.520000000018626,1385816.800000000046566,1534502.959999999962747,1485677.520000000251457,2030344.800000000046566,1905869.959999999962747,1535852.639999999897555,13745692.640000000596046
FS( 181 ),2112200.239999999757856,1839654.080000000074506,1400853.660000000149012,1553279.679999999701977,1514302.320000000065193,2089500.799999999813735,1920691.880000000121072,1558579.439999999944121,13989062.100000001490116
FS( 182 ),2079884.919999999925494,1826004.680000000167638,1390182.340000000083819,1548526.080000000074506,1503090.940000000176951,2110591.200000000186265,1889195.300000000046566,1526509.400000000139698,13873984.860000001266599
FS( 183 ),2043444.239999999757856,1795672.680000000167638,1381451.260000000242144,1520479.839999999850988,1507623.200000000186265,2061723.199999999953434,1853375.660000000149012,1511105.680000000167638,13674875.759999999776483
FS( 184 ),1942372.919999999925494,1752297.920000000158325,1344586.699999999953434,1502178.479999999981374,1512155.460000000195578,1999480.799999999813735,1788529.760000000242144,1522974.120000000111759,13364576.160000000149012
FS( 185 ),1994627.479999999981374,1752601.239999999990687,1339736.100000000093132,1502653.839999999850988,1504999.260000000242144,1993822.399999999906868,1810762.640000000130385,1531054.760000000009313,13430257.720000000670552
FS( 186 ),2022817.439999999944121,1750478.000000000000000,1345071.760000000242144,1492433.599999999860302,1522174.140000000130385,1984563.199999999953434,1821879.080000000074506,1532569.879999999888241,13471987.099999997764826
FS( 187 ),2042069.119999999878928,1878479.040000000037253,1350407.420000000158325,1507882.799999999813735,1520265.820000000065193,1987649.600000000093132,1832377.940000000176951,1535600.120000000111759,13654731.859999999403954
FS( 188 ),1957499.239999999757856,1897588.200000000186265,1326154.420000000158325,1516439.279999999795109,1498797.220000000204891,1953184.800000000046566,1800881.360000000102445,1557569.360000000102445,13508113.880000000819564
FS( 189 ),1886680.560000000055879,1838137.479999999981374,1358653.440000000176951,1494097.359999999869615,1489255.620000000111759,1963987.199999999953434,1740358.520000000018626,1554286.599999999860302,13325456.779999999329448
FS( 190 ),1912807.839999999850988,1871502.680000000167638,1377085.720000000204891,1499564.000000000000000,1524082.460000000195578,1970159.999999999767169,1754562.860000000102445,1565397.479999999981374,13475163.039999999105930
FS( 191 ),1923808.800000000046566,1878782.359999999869615,1408129.560000000288710,1520955.199999999953434,1527422.020000000251457,2033945.599999999860302,1757650.760000000242144,1588376.800000000046566,13639071.100000001490116
FS( 192 ),1956811.679999999934807,1864223.000000000000000,1380966.199999999953434,1512398.719999999972060,1555569.739999999990687,1991764.800000000046566,1768149.620000000111759,1582063.800000000046566,13611947.560000002384186
FS( 193 ),1886680.560000000055879,1799312.520000000018626,1354772.960000000195578,1488868.399999999906868,1528137.640000000130385,1908432.000000000000000,1719360.800000000046566,1550498.800000000046566,13236063.680000001564622
FS( 194 ),1919683.439999999944121,1771407.080000000074506,1357198.260000000242144,1488868.399999999906868,1511678.380000000121072,1889399.199999999953434,1730477.239999999990687,1547973.599999999860302,13216685.599999999627471
FS( 195 ),1906619.800000000046566,1755937.760000000009313,1386786.920000000158325,1482451.039999999804422,1500944.080000000074506,1882197.600000000093132,1711949.840000000083819,1540650.520000000018626,13167537.560000000521541
FS( 196 ),1927246.600000000093132,1812051.960000000195578,1400368.600000000093132,1491720.559999999823049,1516449.180000000167638,1876024.800000000046566,1729859.660000000149012,1559589.520000000018626,13313310.880000000819564
FS( 197 ),1916245.639999999897555,1805985.560000000055879,1389697.280000000027940,1491007.519999999785796,1508815.900000000139698,1862136.000000000232831,1728624.500000000000000,1557316.840000000083819,13259829.240000000223517
FS( 198 ),1951311.199999999953434,1837834.160000000149012,1406189.320000000065193,1495285.759999999776483,1521697.060000000055879,1897115.200000000186265,1736653.040000000037253,1564639.919999999925494,13410725.659999998286366
FS( 199 ),1968500.199999999953434,1809322.080000000074506,1406674.380000000121072,1490769.839999999850988,1516926.260000000242144,1899172.800000000046566,1724919.020000000018626,1559589.520000000018626,13375874.099999999627471
FS( 200 ),1998065.279999999795109,1858156.599999999860302,1428017.020000000251457,1511923.359999999869615,1526944.940000000176951,1937238.399999999906868,1750857.380000000121072,1586609.159999999916181,13597812.140000000596046
FS( 201 ),1989814.560000000055879,1875142.520000000018626,1456150.500000000000000,1520717.519999999785796,1532908.440000000176951,1920777.600000000093132,1765679.300000000046566,1587114.199999999953434,13648304.640000000596046
FS( 202 ),1993252.359999999869615,1907597.760000000009313,1469732.180000000167638,1533789.919999999925494,1538156.320000000298023,1918205.599999999860302,1789147.340000000083819,1600750.280000000027940,13750631.759999999776483
FS( 203 ),1980876.279999999795109,1928830.160000000149012,1462456.280000000027940,1516676.959999999962747,1544358.360000000102445,1928493.600000000093132,1776795.739999999990687,1602265.400000000139698,13740752.779999999329448
FS( 204 ),1968500.199999999953434,1940356.320000000065193,1470702.300000000046566,1509071.199999999953434,1545073.979999999981374,1909460.799999999813735,1774325.420000000158325,1601507.840000000083819,13718998.060000000521541
FS( 205 ),1935497.319999999832362,1903957.920000000158325,1491559.880000000121072,1504792.959999999962747,1547459.380000000353903,1878082.399999999906868,1749622.219999999972060,1596204.919999999925494,13607177.000000001862645
FS( 206 ),1971250.439999999944121,1925493.639999999897555,1521148.540000000037253,1508120.479999999981374,1556762.440000000176951,1899687.199999999953434,1768149.620000000111759,1613376.280000000027940,13763988.639999998733401
FS( 207 ),1984314.079999999841675,1906991.119999999878928,1521148.540000000037253,1504079.919999999925494,1535770.919999999925494,1881168.800000000046566,1766296.880000000121072,1608578.400000000139698,13708348.660000002011657
FS( 208 ),2009753.800000000046566,1915787.399999999906868,1513387.580000000074506,1497424.879999999888241,1523128.300000000279397,1897115.200000000186265,1770619.940000000176951,1597972.560000000055879,13725189.660000000149012
FS( 209 ),2053070.079999999841675,1941266.280000000027940,1524543.960000000195578,1506694.399999999906868,1526229.320000000065193,1917176.800000000046566,1792235.239999999990687,1603780.520000000018626,13864996.600000001490116
FS( 210 ),2051694.959999999962747,1954612.359999999869615,1521148.540000000037253,1507882.799999999813735,1528376.179999999934807,1923349.600000000093132,1757650.760000000242144,1608830.919999999925494,13853546.119999999180436
FS( 211 ),2055820.319999999832362,1954915.680000000167638,1526484.199999999953434,1506932.079999999841675,1517880.420000000158325,1914090.400000000139698,1757650.760000000242144,1604790.599999999860302,13838564.460000000894070
FS( 212 ),2069571.520000000018626,1988280.879999999888241,1525029.020000000251457,1510972.639999999897555,1513109.620000000111759,1910489.600000000093132,1768149.620000000111759,1607820.840000000083819,13893423.739999998360872
FS( 213 ),2150703.600000000093132,2060471.040000000270084,1542491.180000000167638,1522143.600000000093132,1518834.580000000074506,1928493.600000000093132,1765679.300000000046566,1608325.879999999888241,14097142.780000001192093
FS( 214 ),2152078.720000000204891,2039541.959999999962747,1550252.140000000130385,1525946.479999999981374,1553422.880000000353903,1921292.000000000000000,1768149.620000000111759,1595699.879999999888241,14106383.679999999701977
FS( 215 ),2190582.080000000074506,2056224.560000000288710,1536670.460000000195578,1527610.239999999757856,1552945.800000000046566,1905345.599999999860302,1778648.480000000214204,1598477.599999999860302,14146504.820000000298023
FS( 216 ),2208458.639999999664724,2123561.600000000558794,1538125.640000000130385,1528085.600000000093132,1549129.160000000149012,1886312.800000000046566,1789147.340000000083819,1591154.520000000018626,14213975.300000000745058
FS( 217 ),2214646.680000000167638,2125381.519999999552965,1558498.160000000149012,1526421.839999999850988,1555569.739999999990687,1897115.200000000186265,1802116.520000000018626,1595194.840000000083819,14274944.500000000000000
FS( 218 ),2225647.639999999664724,2118101.839999999850988,1574020.080000000307336,1525471.120000000111759,1563203.020000000251457,1911518.399999999906868,1807674.739999999990687,1598982.639999999897555,14324619.480000000447035
FS( 219 ),2198832.799999999813735,2105059.080000000074506,1585661.520000000018626,1534740.639999999664724,1572744.620000000344589,1941868.000000000000000,1808909.899999999906868,1608578.400000000139698,14356394.960000000894070
FS( 220 ),2204333.280000000260770,2084433.320000000065193,1578870.679999999934807,1533789.919999999925494,1576084.179999999934807,1951641.599999999860302,1813850.540000000037253,1604285.560000000055879,14347289.080000000074506
FS( 221 ),2201583.040000000037253,2104452.439999999478459,1577415.500000000232831,1536642.080000000074506,1583478.919999999925494,1958843.199999999953434,1829907.620000000111759,1616406.520000000018626,14408729.320000000298023
FS( 222 ),2206395.959999999962747,2149647.120000000111759,1571594.780000000027940,1546386.959999999962747,1590635.120000000344589,1977876.000000000232831,1828672.459999999962747,1609335.959999999962747,14480544.360000003129244
FS( 223 ),2183018.919999999925494,2145097.320000000298023,1569654.540000000037253,1547575.359999999869615,1587057.020000000251457,1957814.400000000139698,1827437.300000000046566,1612113.680000000167638,14429768.540000000968575
FS( 224 ),2207771.080000000074506,2181192.400000000372529,1584691.400000000139698,1547337.679999999701977,1598506.940000000176951,1970159.999999999767169,1828054.880000000121072,1613123.760000000009313,14530838.140000000596046
FS( 225 ),2242836.639999999664724,2189382.040000000037253,1580810.920000000391155,1553517.359999999869615,1606617.300000000046566,1980448.000000000000000,1845347.120000000111759,1629537.560000000055879,14628496.939999999478459
FS( 226 ),2253150.040000000037253,2193628.519999999552965,1567714.300000000046566,1539018.879999999888241,1593497.600000000093132,1955242.399999999906868,1831142.780000000027940,1606305.719999999972060,14539700.240000000223517
FS( 227 ),2226335.200000000186265,2198784.959999999962747,1582266.100000000093132,1534740.639999999664724,1595883.000000000232831,1943411.199999999953434,1853375.660000000149012,1606558.239999999990687,14541355.000000000000000
FS( 228 ),2268276.359999999869615,2201818.160000000149012,1588571.880000000121072,1530224.719999999739230,1604470.440000000176951,1925407.199999999953434,1831760.360000000102445,1608325.879999999888241,14558854.999999996274710
FS( 229 ),2282715.120000000111759,2247922.799999999813735,1581295.980000000214204,1540682.639999999664724,1599938.179999999934807,1949069.600000000093132,1827437.300000000046566,1609335.959999999962747,14638397.580000001937151
FS( 230 ),2316405.559999999590218,2230330.240000000223517,1585661.520000000018626,1542584.080000000074506,1603993.360000000102445,1937238.399999999906868,1838553.739999999990687,1607568.319999999832362,14662335.220000000670552
FS( 231 ),2308154.839999999850988,2202424.799999999813735,1569169.480000000214204,1549714.479999999981374,1591589.280000000027940,1921292.000000000000000,1808909.899999999906868,1597720.040000000037253,14548974.820000000298023
FS( 232 ),2317780.680000000167638,2213950.959999999962747,1570624.660000000149012,1563262.239999999757856,1612103.720000000204891,1939810.400000000139698,1800881.360000000102445,1599992.719999999972060,14618406.740000002086163
FS( 233 ),2342532.839999999850988,2185135.560000000521541,1584206.339999999850988,1554468.080000000074506,1622838.020000000251457,1923349.600000000093132,1807674.739999999990687,1610093.520000000018626,14630298.699999999254942
FS( 234 ),2352846.239999999757856,2194841.799999999813735,1578870.679999999934807,1552328.959999999962747,1617590.140000000130385,1916148.000000000000000,1810762.640000000130385,1593679.719999999972060,14617068.179999999701977
FS( 235 ),2363159.639999999664724,2186955.479999999515712,1581781.040000000037253,1550189.839999999850988,1614966.200000000186265,1892485.599999999860302,1812615.380000000121072,1578276.000000000000000,14580429.179999999701977
FS( 236 ),2356971.600000000093132,2192415.240000000223517,1599243.199999999953434,1543297.120000000111759,1640251.440000000176951,1891971.199999999953434,1847817.440000000176951,1579791.120000000111759,14651758.359999999403954
FS( 237 ),2374848.159999999683350,2196661.719999999739230,1612824.880000000121072,1548288.399999999906868,1638343.120000000344589,1901744.800000000046566,1873755.800000000046566,1584083.959999999962747,14730550.839999999850988
FS( 238 ),2379661.080000000074506,2181495.719999999739230,1623981.260000000009313,1547575.359999999869615,1634765.020000000251457,1895572.000000000000000,1872520.640000000130385,1583326.400000000139698,14718897.480000000447035
FS( 239 ),2381036.200000000186265,2159353.360000000335276,1665696.420000000391155,1561123.120000000111759,1644068.080000000074506,1887856.000000000232831,1880549.179999999934807,1590902.000000000000000,14770584.359999999403954
FS( 240 ),2413351.520000000018626,2174822.679999999701977,1696740.260000000009313,1556607.199999999720603,1655995.080000000074506,1862650.400000000139698,1903399.640000000130385,1595699.879999999888241,14859266.660000000149012
FS( 241 ),2444979.280000000260770,2186652.160000000149012,1704501.220000000204891,1557082.560000000055879,1649793.040000000037253,1853905.599999999860302,1906487.540000000037253,1590902.000000000000000,14894303.400000002235174
FS( 242 ),2429852.959999999962747,2147220.560000000521541,1698195.439999999944121,1545436.239999999757856,1646692.020000000251457,1836930.400000000139698,1894135.940000000176951,1587114.199999999953434,14785577.759999999776483
FS( 243 ),2427102.719999999739230,2152377.000000000000000,1705956.400000000139698,1569441.919999999925494,1667922.080000000074506,1846704.000000000000000,1916986.399999999906868,1596457.439999999944121,14882947.960000000894070
FS( 244 ),2402350.559999999590218,2166026.400000000372529,1706441.460000000195578,1568491.199999999720603,1677940.760000000242144,1854934.400000000139698,1936748.959999999962747,1595699.879999999888241,14908633.619999997317791
FS( 245 ),2546050.600000000093132,2249439.400000000372529,1710807.000000000232831,1554230.399999999906868,1678417.840000000083819,1787033.600000000093132,1934896.219999999972060,1606810.760000000009313,15067685.820000000298023
FS( 246 ),2617556.839999999850988,2292814.160000000149012,1732634.699999999953434,1539731.919999999925494,1694400.020000000251457,1737136.800000000046566,1938601.700000000186265,1605800.680000000167638,15158676.820000000298023
FS( 247 ),2660185.559999999590218,2278861.439999999478459,1765133.720000000204891,1545911.600000000093132,1697262.500000000232831,1824070.400000000139698,1912045.760000000242144,1604538.080000000074506,15288009.059999998658895
FS( 248 ),2647121.919999999925494,2254899.160000000149012,1769984.320000000298023,1539256.560000000055879,1694161.479999999981374,1800408.000000000000000,1921309.459999999962747,1614638.879999999888241,15241779.780000001192093
FS( 249 ),2573553.000000000000000,2198481.640000000596046,1711777.120000000111759,1527847.919999999925494,1682473.020000000251457,1773659.199999999953434,1905252.380000000121072,1593679.719999999972060,14966724.000000001862645
FS( 250 ),2569427.639999999664724,2195145.120000000111759,1706926.520000000018626,1535929.040000000037253,1677940.760000000242144,1777774.400000000139698,1908957.860000000102445,1595194.840000000083819,14967296.179999999701977
FS( 251 ),2638871.200000000186265,2238216.560000000521541,1724873.740000000223517,1545198.560000000055879,1706088.479999999981374,1813268.000000000000000,1914516.080000000074506,1570700.400000000139698,15151733.020000001415610
FS( 252 ),2564614.719999999739230,2196965.040000000037253,1708866.760000000009313,1528323.279999999795109,1683904.260000000242144,1802465.599999999860302,1886107.399999999906868,1569690.319999999832362,14940937.379999998956919
