代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13065533.290000000968575
真實報酬,3065533.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13506.258991295411761
風險,136955.784367170039332
起點值,0.098617660098868
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MRK[17](7),MSFT[18](3),PG[21](19),
FS( 151 ),1784338.300000000046566,1769232.100000000093132,1846451.679999999934807,1650082.960000000195578,1636672.000000000000000,1677016.280000000260770,1539800.010000000242144,11903596.330000000074506
FS( 152 ),1789795.899999999906868,1798097.949999999720603,1834931.159999999916181,1648205.739999999990687,1607068.899999999906868,1686375.520000000251457,1541113.000000000000000,11905591.169999999925494
FS( 153 ),1791842.500000000000000,1805810.199999999953434,1837287.630000000121072,1645702.780000000027940,1618206.699999999953434,1682121.320000000065193,1545427.110000000102445,11926401.240000000223517
FS( 154 ),1811285.199999999953434,1816166.649999999906868,1868969.059999999823049,1650082.960000000195578,1620551.499999999767169,1700414.380000000121072,1533047.490000000223517,12000520.240000000223517
FS( 155 ),1827487.449999999953434,1808674.750000000000000,1866350.760000000009313,1655088.880000000121072,1634034.099999999860302,1719558.280000000260770,1530796.650000000139698,12041993.869999999180436
FS( 156 ),1816913.349999999860302,1783114.149999999906868,1871849.189999999944121,1647580.000000000000000,1652206.299999999813735,1711900.720000000204891,1522543.570000000065193,12006110.279999999329448
FS( 157 ),1790648.649999999906868,1766147.200000000186265,1812675.610000000102445,1627556.320000000065193,1638137.499999999767169,1684673.840000000083819,1510539.090000000083819,11830381.209999999031425
FS( 158 ),1808385.849999999860302,1771435.599999999860302,1826290.770000000018626,1615667.260000000009313,1637551.299999999813735,1694458.500000000000000,1506787.690000000176951,11860579.969999998807907
FS( 159 ),1797470.649999999906868,1785978.699999999953434,1839644.100000000093132,1629433.540000000037253,1651620.099999999860302,1691055.140000000130385,1499284.890000000363216,11894490.120000001043081
FS( 160 ),1732150.000000000000000,1786860.100000000093132,1854568.409999999916181,1629433.540000000037253,1641361.599999999860302,1688077.200000000186265,1504911.990000000223517,11837365.840000001713634
FS( 161 ),1754662.599999999860302,1811098.599999999860302,1862161.480000000214204,1639445.380000000121072,1658361.399999999906868,1716580.340000000083819,1509788.810000000055879,11952101.609999999403954
FS( 162 ),1758073.599999999860302,1814624.199999999720603,1856139.390000000130385,1636316.679999999934807,1655723.500000000000000,1705944.840000000083819,1512789.930000000167638,11939615.139999998733401
FS( 163 ),1774275.849999999860302,1835998.149999999906868,1889653.630000000121072,1645077.040000000037253,1665102.699999999953434,1706795.679999999934807,1510351.520000000018626,12027257.569999998435378
FS( 164 ),1768306.600000000093132,1845252.849999999860302,1899079.510000000009313,1671358.120000000111759,1661585.499999999767169,1709773.620000000111759,1502098.440000000176951,12057457.639999998733401
FS( 165 ),1755174.250000000000000,1842167.949999999720603,1930499.110000000102445,1681995.699999999953434,1653085.599999999860302,1702116.060000000055879,1502473.580000000074506,12067515.250000000000000
FS( 166 ),1766942.199999999953434,1851643.000000000000000,1956420.280000000027940,1687001.620000000111759,1691188.599999999860302,1716154.920000000391155,1508100.680000000167638,12177454.300000000745058
FS( 167 ),1743576.850000000093132,1851202.300000000046566,1943328.780000000027940,1709528.260000000009313,1695878.199999999953434,1741680.120000000111759,1515415.910000000149012,12200613.420000001788139
FS( 168 ),1769671.000000000000000,1856931.399999999906868,1957991.260000000009313,1705773.820000000065193,1697929.899999999906868,1735298.820000000065193,1507350.400000000139698,12230949.600000001490116
FS( 169 ),1782121.149999999906868,1848337.749999999767169,1961656.880000000121072,1730803.420000000158325,1697343.699999999720603,1714027.820000000065193,1499284.890000000363216,12233578.609999999403954
FS( 170 ),1779051.250000000000000,1856270.349999999860302,1956943.939999999944121,1727048.980000000214204,1697929.899999999906868,1715304.080000000074506,1497971.900000000139698,12230523.400000000372529
FS( 171 ),1824246.999999999767169,1868169.250000000000000,1962180.540000000037253,1730803.420000000158325,1702912.599999999860302,1753166.460000000195578,1502661.150000000139698,12344143.420000001788139
FS( 172 ),1845054.100000000093132,1864423.300000000046566,1981032.299999999813735,1762716.160000000149012,1695585.099999999860302,1764652.800000000046566,1501160.590000000083819,12414627.350000001490116
FS( 173 ),1854775.449999999953434,1883593.750000000000000,1975795.699999999953434,1746446.920000000158325,1698222.999999999767169,1755718.980000000214204,1502286.010000000242144,12416842.810000000521541
FS( 174 ),1864326.250000000000000,1867508.199999999953434,1981817.790000000037253,1767096.340000000083819,1714343.500000000000000,1748912.260000000009313,1503411.430000000167638,12447418.769999999552965
FS( 175 ),1853752.149999999906868,1857812.800000000046566,1971082.760000000009313,1747698.400000000139698,1723722.699999999953434,1738276.760000000009313,1501723.300000000279397,12394071.870000001043081
FS( 176 ),1818959.949999999953434,1824539.949999999953434,1938877.669999999925494,1749575.620000000111759,1708774.599999999860302,1726365.000000000000000,1496096.200000000186265,12263191.990000002086163
FS( 177 ),1821006.549999999813735,1824539.949999999953434,1953801.980000000214204,1869091.960000000195578,1707016.000000000000000,1754017.300000000046566,1493845.360000000102445,12423322.100000001490116
FS( 178 ),1821688.750000000000000,1835557.449999999953434,1950136.360000000102445,1877852.320000000065193,1702033.299999999813735,1765503.640000000130385,1494783.209999999962747,12447558.030000001192093
FS( 179 ),1819301.050000000046566,1832472.549999999813735,1938877.669999999925494,1874097.880000000121072,1701740.199999999953434,1773161.200000000186265,1492719.940000000176951,12432373.490000000223517
FS( 180 ),1833115.600000000093132,1841727.250000000000000,1958253.090000000083819,1872846.400000000139698,1711998.699999999720603,1771884.940000000176951,1496658.910000000149012,12486487.890000000596046
FS( 181 ),1829192.949999999953434,1845913.899999999906868,1941495.970000000204891,1882858.239999999990687,1708774.599999999860302,1765929.060000000055879,1505099.560000000055879,12479267.280000001192093
FS( 182 ),1865520.099999999860302,1824980.649999999906868,1956420.280000000027940,1889741.380000000121072,1726946.799999999813735,1773161.200000000186265,1499284.890000000363216,12536058.300000000745058
FS( 183 ),1855287.099999999860302,1823658.550000000046566,1972130.079999999841675,1891618.600000000093132,1714636.599999999860302,1786349.220000000204891,1491594.520000000018626,12535277.669999999925494
FS( 184 ),1838743.750000000000000,1821895.750000000000000,1950921.850000000093132,1908513.580000000074506,1697636.799999999813735,1776139.140000000130385,1482028.450000000186265,12475882.320000000298023
FS( 185 ),1849488.399999999906868,1848778.450000000186265,1961656.880000000121072,1932291.699999999953434,1725188.199999999953434,1788050.900000000139698,1487843.119999999878928,12593300.650000000372529
FS( 186 ),1850852.799999999813735,1860897.699999999953434,1943328.780000000027940,1926034.300000000046566,1715515.899999999906868,1774862.880000000121072,1474713.220000000204891,12546208.580000001937151
FS( 187 ),1855287.099999999860302,1879627.449999999953434,1924477.020000000018626,1935420.400000000139698,1686205.899999999906868,1797410.140000000130385,1482216.020000000018626,12560647.030000001192093
FS( 188 ),1853411.050000000046566,1889322.849999999860302,1918716.760000000009313,1933543.179999999934807,1695585.099999999860302,1774012.040000000270084,1474150.510000000242144,12538744.490000000223517
FS( 189 ),1861938.550000000046566,1905408.399999999906868,1921858.720000000204891,1938549.100000000093132,1714929.699999999720603,1781244.179999999934807,1487092.840000000083819,12611024.489999998360872
FS( 190 ),1868590.000000000000000,1904747.349999999860302,1921073.230000000214204,1938549.100000000093132,1730757.099999999860302,1782520.440000000176951,1492344.800000000279397,12638585.019999999552965
FS( 191 ),1894513.599999999860302,1913561.350000000093132,1940710.480000000214204,1948560.940000000176951,1735153.599999999860302,1778266.239999999990687,1500222.740000000223517,12710991.950000001117587
FS( 192 ),1878823.000000000000000,1908052.600000000093132,1910338.199999999953434,1941677.800000000046566,1715222.800000000046566,1786349.220000000204891,1504161.709999999962747,12644628.330000001937151
FS( 193 ),1866884.499999999767169,1891967.050000000046566,1901174.149999999906868,1926660.040000000037253,1704964.299999999813735,1777415.400000000139698,1511101.800000000279397,12580170.240000000223517
FS( 194 ),1878481.899999999906868,1921934.649999999906868,1909029.049999999813735,1932917.440000000176951,1716102.099999999860302,1772735.780000000260770,1531922.070000000065193,12663125.990000002086163
FS( 195 ),1865179.000000000000000,1914002.050000000046566,1906148.919999999925494,1956069.820000000065193,1716981.399999999906868,1773586.620000000111759,1530796.650000000139698,12662767.459999999031425
FS( 196 ),1875411.999999999767169,1914663.099999999860302,1923953.360000000102445,1955444.080000000074506,1712877.999999999767169,1790603.420000000391155,1522356.000000000000000,12695312.959999999031425
FS( 197 ),1877629.149999999906868,1911798.550000000046566,1920287.740000000223517,1970461.840000000083819,1705257.399999999906868,1792730.520000000251457,1525357.119999999878928,12703525.319999998435378
FS( 198 ),1873535.949999999953434,1898357.200000000186265,1921858.720000000204891,1984228.120000000111759,1697343.699999999720603,1805918.540000000270084,1524231.700000000186265,12705476.930000003427267
FS( 199 ),1899971.199999999953434,1880729.199999999720603,1941495.970000000204891,2168195.680000000167638,1704378.099999999860302,1875262.000000000000000,1518229.459999999962747,12988264.609999999403954
FS( 200 ),1860233.049999999813735,1873678.000000000000000,1925786.169999999925494,2108750.380000000353903,1688257.599999999860302,1894405.900000000139698,1508100.680000000167638,12859214.779999999329448
FS( 201 ),1878993.550000000046566,1890865.300000000046566,1927357.149999999906868,2108750.380000000353903,1709947.000000000000000,1901212.620000000111759,1510914.229999999981374,12928043.230000000447035
FS( 202 ),1880016.850000000093132,1889322.849999999860302,1933641.069999999832362,2131277.020000000018626,1699981.599999999860302,1907593.920000000391155,1505849.840000000083819,12947686.149999998509884
FS( 203 ),1877117.500000000000000,1899679.299999999813735,1950136.360000000102445,2176956.040000000037253,1712584.899999999906868,1907168.500000000000000,1502473.580000000074506,13026119.179999999701977
FS( 204 ),1848465.099999999860302,1895933.350000000093132,2009309.939999999944121,2158809.580000000074506,1703205.699999999953434,1908870.179999999934807,1500410.310000000055879,13025007.160000000149012
FS( 205 ),1791501.400000000139698,1912679.949999999953434,2007477.130000000121072,2143166.080000000074506,1706136.699999999953434,1888875.440000000176951,1505474.700000000186265,12955314.399999998509884
FS( 206 ),1788260.949999999953434,1900120.000000000000000,2002764.189999999944121,2143166.080000000074506,1704378.099999999860302,1893129.640000000130385,1492344.800000000279397,12924166.760000001639128
FS( 207 ),1776322.449999999953434,1920392.200000000186265,2002240.530000000027940,2141914.600000000093132,1699102.299999999813735,1870582.380000000121072,1486717.700000000186265,12897275.160000003874302
FS( 208 ),1785532.149999999906868,1899458.949999999953434,1993076.480000000214204,2139411.640000000130385,1716981.399999999906868,1867179.020000000251457,1475275.930000000167638,12876918.570000000298023
FS( 209 ),1763190.099999999860302,1921714.299999999813735,1956943.939999999944121,2149423.479999999981374,1702326.399999999906868,1853991.000000000000000,1466085.000000000000000,12813677.220000000670552
FS( 210 ),1718335.449999999953434,1892407.749999999767169,1904316.110000000102445,2120639.439999999944121,1663051.000000000000000,1836123.359999999869615,1450329.119999999878928,12585205.229999998584390
FS( 211 ),1714412.799999999813735,1881390.249999999767169,1900650.490000000223517,2111253.340000000316650,1664809.599999999860302,1823360.760000000009313,1494032.930000000167638,12589913.169999999925494
FS( 212 ),1736413.750000000000000,1922375.349999999860302,1927095.319999999832362,2130651.279999999795109,1672430.199999999953434,1845057.179999999934807,1485967.420000000158325,12719993.499999998137355
FS( 213 ),1731126.699999999953434,1911578.199999999953434,1905363.429999999934807,2053685.260000000009313,1642240.899999999906868,1832720.000000000000000,1489531.250000000000000,12566248.740000000223517
FS( 214 ),1730956.149999999906868,1908052.600000000093132,1920025.909999999916181,2055562.480000000214204,1639309.899999999906868,1818255.720000000204891,1521043.010000000242144,12593208.770000001415610
FS( 215 ),1738630.899999999906868,1884254.800000000046566,1913480.159999999916181,2044924.900000000139698,1630809.999999999767169,1839101.300000000046566,1503223.860000000102445,12554428.919999999925494
FS( 216 ),1761484.599999999860302,1913781.699999999720603,1949350.870000000111759,2039918.980000000214204,1657482.099999999860302,1837825.040000000270084,1518417.030000000260770,12678263.320000000298023
FS( 217 ),1782291.699999999953434,1928104.449999999953434,1931546.429999999934807,2066200.060000000288710,1660706.199999999720603,1837825.040000000270084,1528358.240000000223517,12735035.120000001043081
FS( 218 ),1779392.349999999860302,1921714.299999999813735,1931546.429999999934807,2073083.200000000186265,1671550.899999999906868,1851438.480000000214204,1527232.820000000065193,12755961.480000000447035
FS( 219 ),1793548.000000000000000,1930307.949999999720603,1957467.600000000093132,2133779.979999999981374,1695585.099999999860302,1875262.000000000000000,1528358.240000000223517,12914311.869999999180436
FS( 220 ),1802075.500000000000000,1952563.300000000046566,1943852.439999999944121,2123768.140000000130385,1722843.399999999906868,1883344.980000000214204,1537174.030000000260770,12965624.790000002831221
FS( 221 ),1803439.899999999906868,1967326.750000000000000,1939663.159999999916181,2138160.160000000149012,1717860.699999999953434,1905466.820000000065193,1533985.340000000083819,13005905.830000000074506
FS( 222 ),1824588.100000000093132,1982530.899999999906868,1971868.250000000000000,2153177.919999999925494,1712291.799999999813735,1919080.260000000009313,1546364.959999999962747,13109905.189999997615814
FS( 223 ),1830045.699999999953434,1985175.100000000093132,1979199.490000000223517,2148797.740000000223517,1726653.699999999720603,1928439.500000000000000,1551054.209999999962747,13149368.440000001341105
FS( 224 ),1836867.699999999953434,1979666.350000000093132,1987316.220000000204891,2158809.580000000074506,1743360.399999999674037,1912273.540000000270084,1553305.050000000279397,13171601.840000001713634
FS( 225 ),1841472.550000000046566,1991565.249999999767169,1978937.659999999916181,2199482.680000000167638,1724895.099999999860302,1923759.880000000121072,1562120.840000000083819,13222236.960000000894070
FS( 226 ),1830216.250000000000000,1993989.099999999860302,1980246.809999999823049,2186342.140000000130385,1734274.299999999813735,1920781.940000000176951,1564184.110000000102445,13210037.649999996647239
FS( 227 ),1841472.550000000046566,1991565.249999999767169,1981032.299999999813735,2178207.520000000018626,1750687.899999999674037,1921632.780000000260770,1566997.660000000149012,13231598.960000000894070
FS( 228 ),1843007.500000000000000,1983632.649999999906868,1979984.980000000214204,2177581.779999999795109,1764463.599999999860302,1914826.060000000055879,1563996.540000000037253,13227496.109999999403954
FS( 229 ),1851364.449999999953434,1991344.900000000139698,2000145.890000000130385,2176956.040000000037253,1766808.399999999906868,1908870.179999999934807,1562683.550000000279397,13258176.410000000149012
FS( 230 ),1853069.949999999953434,1988260.000000000000000,2000145.890000000130385,2168195.680000000167638,1758601.599999999860302,1909295.600000000325963,1557431.590000000083819,13235003.309999998658895
FS( 231 ),1860233.049999999813735,1980547.749999999767169,1996742.100000000093132,2185090.660000000149012,1761825.699999999953434,1932693.700000000186265,1558932.150000000139698,13276068.110000001266599
FS( 232 ),1857674.800000000046566,2000819.949999999953434,1996742.100000000093132,2163189.760000000242144,1752446.499999999767169,1918229.420000000391155,1556493.740000000223517,13245599.269999999552965
FS( 233 ),1849829.499999999767169,2003904.849999999860302,2009833.600000000093132,2163189.760000000242144,1772670.399999999674037,1912698.960000000195578,1554993.180000000167638,13267123.250000000000000
FS( 234 ),1855969.299999999813735,1986276.849999999860302,2024234.250000000000000,2184464.919999999925494,1760946.399999999906868,1925461.560000000055879,1569998.780000000260770,13307355.059999998658895
FS( 235 ),1851193.900000000139698,2003904.849999999860302,2043347.840000000083819,2190096.580000000074506,1793187.399999999906868,1953113.859999999869615,1571311.770000000018626,13406159.199999999254942
FS( 236 ),1840449.250000000000000,1995531.550000000046566,2025019.740000000223517,2210746.000000000000000,1789377.099999999860302,1976937.380000000121072,1562871.119999999878928,13400935.140000000596046
FS( 237 ),1831751.199999999953434,1974377.949999999720603,1993338.309999999823049,2184464.919999999925494,1775015.199999999953434,1989274.560000000055879,1556681.310000000055879,13304906.449999999254942
FS( 238 ),1806680.350000000093132,1972615.149999999906868,1989672.689999999944121,2191348.060000000055879,1780877.199999999720603,1992677.920000000391155,1568873.360000000102445,13302747.729999998584390
FS( 239 ),1800881.649999999906868,1982530.899999999906868,1971868.250000000000000,2191348.060000000055879,1761532.599999999860302,1999484.640000000130385,1566059.810000000055879,13273708.910000000149012
FS( 240 ),1791160.299999999813735,1975920.399999999906868,1964013.350000000093132,2166318.459999999962747,1745412.099999999860302,1986722.040000000270084,1561745.700000000186265,13191295.350000001490116
FS( 241 ),1788431.500000000000000,1984954.750000000000000,1977628.510000000009313,2161312.540000000037253,1744532.800000000046566,1967152.720000000204891,1573187.470000000204891,13197203.290000000968575
FS( 242 ),1788431.500000000000000,1989141.399999999906868,1994123.799999999813735,2185716.399999999906868,1758308.500000000000000,1989274.560000000055879,1577126.440000000176951,13282125.599999999627471
FS( 243 ),1773593.649999999906868,1990463.500000000000000,2018997.649999999906868,2188845.100000000093132,1755084.399999999906868,1979064.480000000214204,1578627.000000000000000,13284678.780000001192093
FS( 244 ),1779562.899999999906868,1990683.850000000093132,1998313.079999999841675,2200734.160000000149012,1767687.699999999953434,1985871.200000000186265,1579189.709999999962747,13302045.600000001490116
FS( 245 ),1748352.250000000000000,1993989.099999999860302,1994385.630000000121072,2178833.260000000242144,1772963.500000000000000,2021606.480000000214204,1584441.670000000158325,13294574.890000000596046
FS( 246 ),1720893.699999999953434,1967547.100000000093132,1971082.760000000009313,2171950.120000000111759,1775601.399999999906868,2002037.160000000149012,1590819.050000000279397,13199934.290000000968575
FS( 247 ),1705373.649999999906868,1945952.800000000046566,1968464.460000000195578,2153803.660000000149012,1766808.399999999906868,1980766.160000000149012,1583878.959999999962747,13105051.089999999850988
FS( 248 ),1726010.199999999953434,1971072.699999999953434,1995694.780000000027940,2174453.080000000074506,1769153.199999999953434,2002888.000000000000000,1598884.560000000055879,13238159.519999999552965
FS( 249 ),1697187.250000000000000,1940664.399999999906868,1981032.299999999813735,2136282.939999999944121,1748049.999999999767169,1958644.320000000065193,1581815.690000000176951,13043679.899999998509884
FS( 250 ),1712025.099999999860302,1955427.849999999860302,1997527.590000000083819,2143791.819999999832362,1740722.499999999767169,1974384.859999999869615,1586504.940000000176951,13110387.659999998286366
FS( 251 ),1702644.849999999860302,1957411.000000000000000,1991767.329999999841675,2183839.180000000167638,1741308.699999999720603,1975661.120000000111759,1583878.959999999962747,13136514.140000000596046
FS( 252 ),1689000.849999999860302,1961818.000000000000000,1955372.960000000195578,2178833.260000000242144,1737498.399999999906868,1972257.760000000009313,1570749.060000000055879,13065533.290000000968575
