代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14567441.299999998882413
真實報酬,4567441.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19285.446395638940885
風險,326045.162679376371671
起點值,0.059149616688544
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),INTC[11](10),MCD[15](11),V[25](1),
FS( 231 ),4494085.940000000409782,3585780.270000000018626,2769738.529999999795109,3276893.840000000316650,14126498.580000000074506
FS( 232 ),4419525.299999999813735,3368211.109999999869615,2793471.270000000018626,3243199.220000000204891,13824406.900000000372529
FS( 233 ),4534381.580000000074506,3425357.439999999944121,2840936.750000000000000,3265388.360000000335276,14066064.129999998956919
FS( 234 ),4488055.299999999813735,3441881.680000000167638,2864492.379999999888241,3282098.700000000186265,14076528.059999998658895
FS( 235 ),4610861.059999999590218,3468733.570000000298023,2903810.799999999813735,3319902.419999999925494,14303307.849999999627471
FS( 236 ),4469963.379999999888241,3359260.479999999981374,2855991.100000000093132,3224297.360000000335276,13909512.320000000298023
FS( 237 ),4420073.540000000037253,3411587.239999999757856,2855636.879999999888241,3254156.820000000298023,13941454.480000000447035
FS( 238 ),4589342.639999999664724,3530010.959999999962747,2882911.820000000298023,3307027.240000000223517,14309292.660000000149012
FS( 239 ),4486958.820000000298023,3518306.290000000037253,2893007.090000000316650,3281276.879999999888241,14179549.080000001937151
FS( 240 ),4625663.540000000037253,3629844.909999999683350,2862544.170000000391155,3316615.139999999664724,14434667.759999997913837
FS( 241 ),4513274.339999999850988,3570633.049999999813735,2864492.379999999888241,3307849.060000000055879,14256248.830000000074506
FS( 242 ),4547402.280000000260770,3607812.589999999850988,2862721.279999999795109,3338804.279999999795109,14356740.429999999701977
FS( 243 ),4615246.980000000447035,3686302.729999999981374,2879015.400000000372529,3391400.759999999776483,14571965.870000001043081
FS( 244 ),4673908.660000000149012,3691122.299999999813735,2865909.260000000242144,3391400.759999999776483,14622340.980000000447035
FS( 245 ),4668974.500000000000000,3595419.409999999683350,2825528.180000000167638,3395783.799999999813735,14485705.890000000596046
FS( 246 ),4641973.680000000633299,3547912.220000000204891,2812067.820000000298023,3402358.360000000335276,14404312.080000001937151
FS( 247 ),4644303.700000000186265,3518306.290000000037253,2815964.240000000223517,3409480.799999999813735,14388055.030000001192093
FS( 248 ),4510259.020000000484288,3542404.140000000130385,2786386.870000000111759,3322093.939999999944121,14161143.970000000670552
FS( 249 ),4699401.820000000298023,3537584.570000000298023,2761945.689999999944121,3320450.299999999813735,14319382.379999998956919
FS( 250 ),4698442.400000000372529,3652565.739999999757856,2814370.250000000000000,3481253.080000000074506,14646631.470000000670552
FS( 251 ),4672263.940000000409782,3630533.419999999925494,2803743.650000000372529,3451941.500000000000000,14558482.510000001639128
FS( 252 ),4571936.020000000484288,3554108.809999999590218,2965622.189999999944121,3475774.279999999795109,14567441.299999998882413
