代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11488030.429999999701977
真實報酬,1488030.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,6402.878907001928383
風險,305038.322795236657839
起點值,0.020990408183237
找到最佳解世代,2331
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](10),MRK[17](1),NKE[19](5),PFE[20](3),
FS( 231 ),2470094.949999999720603,3156947.720000000204891,2736875.140000000130385,2935783.180000000167638,11299700.990000000223517
FS( 232 ),2334210.600000000093132,3092213.520000000018626,2688465.399999999906868,2853649.590000000316650,10968539.109999999403954
FS( 233 ),2477440.049999999813735,3185347.239999999757856,2758678.000000000000000,2918813.430000000167638,11340278.719999998807907
FS( 234 ),2488982.350000000093132,3150265.480000000447035,2798218.779999999795109,2934425.600000000093132,11371892.209999999031425
FS( 235 ),2504721.850000000093132,3173653.319999999832362,2835542.319999999832362,2948001.400000000372529,11461918.890000000596046
FS( 236 ),2518887.399999999906868,3149430.199999999720603,2830368.760000000242144,2941892.290000000502914,11440578.650000000372529
FS( 237 ),2547743.149999999906868,3110589.680000000167638,2824086.580000000074506,2871976.920000000391155,11354396.330000000074506
FS( 238 ),2567155.200000000186265,3128130.560000000055879,2810044.060000000055879,2910667.950000000186265,11415997.769999999552965
FS( 239 ),2536725.500000000000000,3064231.640000000130385,2811891.760000000242144,2876049.660000000149012,11288898.560000000521541
FS( 240 ),2549841.750000000000000,3111424.959999999962747,2878039.419999999925494,2900486.100000000093132,11439792.229999998584390
FS( 241 ),2525183.200000000186265,3116019.000000000000000,2870648.620000000111759,2858401.120000000111759,11370251.940000001341105
FS( 242 ),2543021.299999999813735,3157365.359999999869615,2924231.919999999925494,2882837.560000000055879,11507456.140000000596046
FS( 243 ),2580796.100000000093132,3168641.640000000130385,2973011.200000000186265,2886910.300000000279397,11609359.240000002086163
FS( 244 ),2532528.300000000279397,3166971.080000000074506,2984097.399999999906868,2869261.760000000242144,11552858.540000000968575
FS( 245 ),2515214.850000000093132,3150683.119999999646097,2974858.899999999906868,2861795.069999999832362,11502551.939999999478459
FS( 246 ),2610701.149999999906868,3055878.839999999850988,2972641.659999999683350,2779661.480000000447035,11418883.130000000819564
FS( 247 ),2467996.350000000093132,3046690.760000000242144,2978923.839999999850988,2758618.990000000223517,11252229.939999999478459
FS( 248 ),2450682.899999999906868,3045437.839999999850988,2968207.179999999701977,2683273.300000000279397,11147601.220000000670552
FS( 249 ),2441763.850000000093132,3058384.680000000167638,2964511.779999999795109,2767443.260000000242144,11232103.570000000298023
FS( 250 ),2494228.850000000093132,3064231.640000000130385,3003683.020000000018626,2822425.250000000000000,11384568.759999999776483
FS( 251 ),2472193.549999999813735,3108501.480000000447035,3025855.419999999925494,2881479.980000000447035,11488030.429999999701977
