代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13025967.470000000670552
真實報酬,3025967.470000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11678.732133595694904
風險,163304.615783537912648
起點值,0.071515015528257
找到最佳解世代,2867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](9),CAT[3](15),DD[7](1),JNJ[12](7),UNH[23](6),
FS( 196 ),2470317.570000000298023,2248221.799999999813735,2855607.080000000074506,2209884.009999999776483,2471335.599999999627471,12255366.060000000521541
FS( 197 ),2419890.950000000186265,2220125.600000000558794,2838838.490000000223517,2195718.610000000335276,2452545.870000000111759,12127119.520000003278255
FS( 198 ),2444111.610000000335276,2215017.200000000186265,2833521.620000000111759,2191232.900000000372529,2410826.299999999813735,12094709.630000002682209
FS( 199 ),2489972.040000000037253,2221518.799999999813735,2853971.120000000111759,2217674.980000000447035,2444584.120000000111759,12227721.060000002384186
FS( 200 ),2462574.900000000372529,2238701.599999999627471,2892825.169999999925494,2217911.070000000298023,2484074.400000000372529,12296087.140000000596046
FS( 201 ),2426839.500000000000000,2230110.200000000186265,2889553.250000000000000,2209647.919999999925494,2546494.519999999552965,12302645.390000000596046
FS( 202 ),2456420.469999999739230,2234057.599999999627471,2926362.349999999627471,2222160.690000000409782,2596494.310000000521541,12435495.419999999925494
FS( 203 ),2433589.519999999552965,2261457.200000000186265,2924317.400000000372529,2264892.980000000447035,2590443.379999999888241,12474700.480000000447035
FS( 204 ),2450266.040000000037253,2248918.400000000372529,2921454.470000000670552,2247658.410000000149012,2588532.560000000521541,12456829.880000000819564
FS( 205 ),2462177.839999999850988,2289321.200000000186265,2949674.780000000260770,2299126.030000000260770,2582800.099999999627471,12583099.950000001117587
FS( 206 ),2452449.870000000111759,2270977.400000000372529,2878919.509999999776483,2291335.059999999590218,2596812.780000000260770,12490494.620000001043081
FS( 207 ),2446096.910000000149012,2286070.400000000372529,2795076.560000000521541,2296765.129999999888241,2580252.339999999850988,12404261.339999999850988
FS( 208 ),2470913.160000000149012,2307897.200000000186265,2807346.259999999776483,2300542.570000000298023,2599360.540000000037253,12486059.730000000447035
FS( 209 ),2491361.750000000000000,2307432.799999999813735,2830249.700000000186265,2319193.680000000633299,2611143.929999999701977,12559381.859999999403954
FS( 210 ),2545361.910000000149012,2317649.600000000558794,2895279.110000000335276,2312347.070000000298023,2606366.879999999888241,12677004.570000000298023
FS( 211 ),2547347.209999999962747,2383130.000000000000000,2906321.839999999850988,2319193.680000000633299,2599042.070000000298023,12755034.800000000745058
FS( 212 ),2556678.120000000111759,2381272.400000000372529,2886690.320000000298023,2319901.950000000186265,2619424.150000000372529,12763966.940000001341105
FS( 213 ),2528883.919999999925494,2372448.799999999813735,2835975.560000000521541,2323679.390000000596046,2596494.310000000521541,12657481.980000002309680
FS( 214 ),2493347.049999999813735,2347835.600000000558794,2791804.640000000596046,2311166.620000000111759,2582163.160000000149012,12526317.070000000298023
FS( 215 ),2464758.730000000447035,2377557.200000000186265,2799984.439999999478459,2315180.150000000372529,2568787.419999999925494,12526267.939999999478459
FS( 216 ),2518957.419999999925494,2391489.200000000186265,2852335.160000000149012,2336192.160000000149012,2592035.730000000447035,12691009.670000001788139
FS( 217 ),2454633.700000000186265,2374538.600000000558794,2778307.970000000670552,2279294.470000000670552,2547449.929999999701977,12434224.670000001788139
FS( 218 ),2423464.490000000223517,2355730.400000000372529,2734546.040000000037253,2287085.440000000409782,2514329.049999999813735,12315155.420000001788139
FS( 219 ),2446891.030000000260770,2386613.000000000000000,2766447.259999999776483,2293459.870000000111759,2521653.860000000335276,12415065.019999999552965
FS( 220 ),2467141.089999999850988,2380111.400000000372529,2770537.160000000149012,2342094.410000000149012,2532163.370000000111759,12492047.429999999701977
FS( 221 ),2502280.900000000372529,2390096.000000000000000,2824932.830000000074506,2331470.360000000335276,2490125.330000000074506,12538905.419999999925494
FS( 222 ),2539604.540000000037253,2387774.000000000000000,2837611.519999999552965,2336428.250000000000000,2413374.060000000521541,12514792.369999999180436
FS( 223 ),2537619.240000000223517,2383362.200000000186265,2839247.480000000447035,2360981.610000000335276,2386941.049999999813735,12508151.580000001937151
FS( 224 ),2532258.929999999701977,2407743.200000000186265,2850699.200000000186265,2365231.230000000447035,2412737.120000000111759,12568669.679999999701977
FS( 225 ),2593406.169999999925494,2400545.000000000000000,2875647.589999999850988,2366175.589999999850988,2399042.910000000149012,12634817.259999999776483
FS( 226 ),2578119.360000000335276,2444663.000000000000000,2867876.780000000260770,2360037.250000000000000,2439170.129999999888241,12689866.519999999552965
FS( 227 ),2554295.759999999776483,2430963.200000000186265,2824932.830000000074506,2356023.720000000670552,2409552.419999999925494,12575767.930000001564622
FS( 228 ),2522133.900000000372529,2420978.600000000558794,2754586.549999999813735,2392617.669999999925494,2412100.179999999701977,12502416.900000000372529
FS( 229 ),2548538.389999999664724,2445127.400000000372529,2836384.549999999813735,2385298.879999999888241,2394902.799999999813735,12610252.019999999552965
FS( 230 ),2561442.839999999850988,2447449.400000000372529,2906321.839999999850988,2391437.220000000670552,2389807.280000000260770,12696458.580000001937151
FS( 231 ),2550325.160000000149012,2439786.799999999813735,2837202.530000000260770,2373494.379999999888241,2386941.049999999813735,12587749.920000001788139
FS( 232 ),2579707.599999999627471,2438393.600000000558794,2835975.560000000521541,2344691.400000000372529,2389488.810000000521541,12588256.970000000670552
FS( 233 ),2619810.660000000149012,2427015.799999999813735,2874829.610000000335276,2360981.610000000335276,2395858.209999999962747,12678495.890000000596046
FS( 234 ),2597376.770000000484288,2411922.799999999813735,2860514.959999999962747,2349413.200000000186265,2396813.620000000111759,12616041.350000001490116
FS( 235 ),2587847.330000000074506,2429337.799999999813735,2884236.379999999888241,2382465.799999999813735,2481208.169999999925494,12765095.479999998584390
FS( 236 ),2592214.990000000223517,2436768.200000000186265,2866240.820000000298023,2372786.110000000335276,2448724.230000000447035,12716734.350000001490116
FS( 237 ),2602737.080000000074506,2439554.600000000558794,2869921.730000000447035,2382465.799999999813735,2450635.049999999813735,12745314.260000001639128
FS( 238 ),2632516.580000000074506,2466025.400000000372529,2919409.519999999552965,2373258.290000000037253,2475794.179999999701977,12867003.969999998807907
FS( 239 ),2649391.629999999888241,2488084.400000000372529,2915319.620000000111759,2385062.790000000037253,2485348.280000000260770,12923206.720000002533197
FS( 240 ),2640259.250000000000000,2473688.000000000000000,2923908.410000000149012,2381521.440000000409782,2457641.390000000596046,12877018.490000002086163
FS( 241 ),2604920.910000000149012,2437929.200000000186265,2831476.669999999925494,2377271.820000000298023,2435666.959999999962747,12687265.560000002384186
FS( 242 ),2596979.709999999962747,2462078.000000000000000,2852744.150000000372529,2374674.830000000074506,2441080.950000000186265,12727557.640000000596046
FS( 243 ),2607700.330000000074506,2447217.200000000186265,2873602.640000000596046,2376091.370000000111759,2458596.799999999813735,12763208.339999999850988
FS( 244 ),2572560.520000000484288,2358284.600000000558794,2896915.070000000298023,2366883.860000000335276,2441399.419999999925494,12636043.470000000670552
FS( 245 ),2599957.660000000149012,2388935.000000000000000,2908775.780000000260770,2387895.870000000111759,2475157.240000000223517,12760721.550000000745058
FS( 246 ),2617428.299999999813735,2393579.000000000000000,2899369.009999999776483,2383646.250000000000000,2494902.379999999888241,12788924.939999997615814
FS( 247 ),2628744.509999999776483,2415638.000000000000000,2951719.730000000447035,2384118.430000000633299,2508596.589999999850988,12888817.260000001639128
FS( 248 ),2663685.790000000037253,2407511.000000000000000,2966443.370000000111759,2380104.900000000372529,2519424.570000000298023,12937169.630000000819564
FS( 249 ),2666862.270000000484288,2389631.599999999627471,3015522.169999999925494,2368064.309999999590218,2502545.660000000149012,12942626.009999999776483
FS( 250 ),2682943.200000000186265,2405653.400000000372529,3056012.179999999701977,2378924.450000000186265,2527704.790000000037253,13051238.019999999552965
FS( 251 ),2685127.030000000260770,2373842.000000000000000,3035562.679999999701977,2395450.750000000000000,2535985.009999999776483,13025967.470000000670552
