代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14232901.010000001639128
真實報酬,4232901.010000001639128

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16124.954983025010733
風險,112584.680487746591098
起點值,0.143225125418196
找到最佳解世代,3480
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,6
BA[2](5),HD[9](11),JNJ[12](6),KO[14](7),MCD[15](2),V[25](1),
FS( 171 ),2627284.240000000223517,1974049.359999999869615,1988071.240000000223517,1893616.300000000046566,2180148.000000000000000,2242461.699999999720603,12905634.839999999850988
FS( 172 ),2619300.959999999962747,1974049.359999999869615,1979243.070000000298023,1891956.699999999953434,2179444.600000000093132,2237821.750000000000000,12881820.439999999478459
FS( 173 ),2562543.120000000111759,1998634.879999999888241,1993607.549999999813735,1891541.800000000046566,2179444.600000000093132,2230972.299999999813735,12856748.250000000000000
FS( 174 ),2546904.640000000596046,1980871.519999999785796,1991512.730000000214204,1897765.300000000046566,2203360.200000000186265,2198271.699999999720603,12818690.089999999850988
FS( 175 ),2568776.640000000596046,1993743.519999999785796,1991662.359999999869615,1891541.800000000046566,2212926.440000000409782,2211528.700000000186265,12870183.460000000894070
FS( 176 ),2593601.360000000335276,1985762.879999999888241,1997348.299999999813735,1900254.699999999720603,2212363.719999999739230,2250857.799999999813735,12940192.760000001639128
FS( 177 ),2615692.080000000074506,1933116.399999999674037,1995852.000000000000000,1916435.799999999813735,2217428.200000000186265,2267650.000000000000000,12946178.480000000447035
FS( 178 ),2598413.200000000186265,1959890.159999999916181,2007672.769999999785796,1916850.700000000186265,2235435.240000000223517,2282895.549999999813735,13001161.620000001043081
FS( 179 ),2576541.200000000186265,1926680.399999999674037,1990764.579999999841675,1902744.099999999860302,2221226.560000000055879,2257265.349999999627471,12875226.189999999478459
FS( 180 ),2578509.680000000633299,1898619.439999999944121,1984629.750000000000000,1894861.000000000000000,2219397.719999999739230,2264998.600000000093132,12841020.189999999478459
FS( 181 ),2577525.440000000409782,1920630.559999999823049,1996899.409999999916181,1895275.899999999906868,2227838.520000000018626,2280686.049999999813735,12898859.879999998956919
FS( 182 ),2622034.959999999962747,1929769.679999999934807,2015603.159999999916181,1891956.699999999953434,2245845.560000000055879,2299466.799999999813735,13004680.859999999403954
FS( 183 ),2603881.200000000186265,1919343.359999999869615,1987173.460000000195578,1889467.299999999813735,2234169.120000000111759,2279802.250000000000000,12913840.690000001341105
FS( 184 ),2610989.600000000558794,1908402.159999999916181,1988520.129999999888241,1884073.599999999860302,2228541.919999999925494,2280686.049999999813735,12901217.460000000894070
FS( 185 ),2579822.000000000000000,1926422.959999999962747,1970414.900000000139698,1890712.000000000000000,2234309.799999999813735,2283558.399999999906868,12885244.060000000521541
FS( 186 ),2593929.440000000409782,1948820.239999999757856,1971312.680000000167638,1884488.500000000000000,2246267.600000000093132,2293059.250000000000000,12937881.709999999031425
FS( 187 ),2630127.600000000558794,1928868.639999999897555,1978345.290000000270084,1885733.200000000186265,2242187.879999999888241,2292838.299999999813735,12958104.910000000149012
FS( 188 ),2629799.520000000484288,1930928.159999999916181,1961287.469999999972060,1883243.800000000046566,2244298.080000000074506,2291954.500000000000000,12941515.530000001192093
FS( 189 ),2621050.719999999739230,1929254.800000000046566,1980739.370000000111759,1889882.199999999720603,2250488.000000000000000,2287314.549999999813735,12958733.640000000596046
FS( 190 ),2628377.840000000782311,1940968.319999999832362,1960688.950000000186265,1899424.899999999906868,2248237.120000000111759,2295710.649999999906868,12973411.779999999329448
FS( 191 ),2591960.959999999962747,1968643.120000000111759,1943780.760000000242144,1905233.500000000000000,2238248.839999999850988,2276046.100000000093132,12923917.279999999329448
FS( 192 ),2565933.280000000260770,2015368.479999999981374,1955302.269999999785796,1906893.100000000093132,2225869.000000000000000,2279802.250000000000000,12949172.379999998956919
FS( 193 ),2584415.120000000111759,2033003.120000000111759,1978046.030000000027940,1920169.899999999906868,2249503.240000000223517,2310293.350000000093132,13075434.759999999776483
FS( 194 ),2611427.040000000037253,2055271.679999999934807,1959940.799999999813735,1920999.699999999720603,2246830.320000000298023,2307421.000000000000000,13101894.539999999105930
FS( 195 ),2631221.200000000186265,2038666.800000000046566,1993308.290000000270084,1930127.500000000000000,2272434.080000000074506,2345424.399999999906868,13211186.269999999552965
FS( 196 ),2631111.840000000782311,2058489.679999999934807,1984629.750000000000000,1938425.500000000000000,2199280.479999999981374,2346750.099999999627471,13158691.349999999627471
FS( 197 ),2645875.440000000409782,2059905.600000000093132,1981936.409999999916181,1944648.999999999767169,2208706.040000000037253,2338354.000000000000000,13179430.490000002086163
FS( 198 ),2681964.240000000223517,2051667.519999999785796,2007822.400000000139698,1913116.599999999860302,2208706.040000000037253,2343877.750000000000000,13207158.550000000745058
FS( 199 ),2723192.959999999962747,2039052.959999999962747,2011862.409999999916181,1916020.899999999906868,2207580.600000000093132,2326643.649999999906868,13224357.480000000447035
FS( 200 ),2767811.840000000782311,2031458.479999999981374,2025778.000000000000000,1913116.599999999860302,2204204.280000000260770,2316259.000000000000000,13258632.199999999254942
FS( 201 ),2761031.520000000484288,2029527.679999999934807,2023383.919999999925494,1907722.899999999906868,2214755.280000000260770,2329074.099999999627471,13265499.400000000372529
FS( 202 ),2793839.520000000484288,2042657.120000000111759,1993457.919999999925494,1899424.899999999906868,2249221.879999999888241,2329074.099999999627471,13307679.439999999478459
FS( 203 ),2800182.400000000372529,2049221.839999999850988,1971462.310000000055879,1883658.699999999953434,2237264.080000000074506,2326864.600000000093132,13268657.929999999701977
FS( 204 ),2804666.160000000149012,2059262.000000000000000,1966075.629999999888241,1887392.800000000046566,2235575.919999999925494,2332388.350000000093132,13285364.859999999403954
FS( 205 ),2781372.480000000447035,2073807.359999999869615,1962783.769999999785796,1895690.799999999813735,2198295.719999999739230,2276267.049999999813735,13188221.179999999701977
FS( 206 ),2774592.160000000149012,2075866.879999999888241,1959342.280000000027940,1890712.000000000000000,2157357.839999999850988,2274499.449999999720603,13132374.609999999403954
FS( 207 ),2791871.040000000037253,2071490.399999999674037,1941536.310000000055879,1852126.300000000046566,2167205.440000000409782,2295489.699999999720603,13119723.190000001341105
FS( 208 ),2780825.680000000633299,2090026.080000000074506,1937346.669999999925494,1863328.599999999860302,2215599.360000000335276,2310735.250000000000000,13197865.640000000596046
FS( 209 ),2780169.520000000484288,2105472.479999999515712,1945426.689999999944121,1867477.599999999860302,2204204.280000000260770,2310735.250000000000000,13213489.820000000298023
FS( 210 ),2799635.600000000558794,2111393.599999999627471,1963531.919999999925494,1858764.699999999720603,2208143.320000000298023,2329736.949999999720603,13271210.089999999850988
FS( 211 ),2793839.520000000484288,2126196.399999999441206,1976699.359999999869615,1874945.799999999813735,2206736.520000000018626,2333051.200000000186265,13311472.799999997019768
FS( 212 ),2797120.320000000298023,2127741.040000000037253,1988520.129999999888241,1887807.699999999953434,2211660.320000000298023,2326864.600000000093132,13339718.109999999403954
FS( 213 ),2831350.000000000000000,2138424.799999999813735,1993009.030000000027940,1888637.500000000000000,2234028.440000000409782,2347412.949999999720603,13432866.719999998807907
FS( 214 ),2827959.839999999850988,2134949.359999999403954,1993457.919999999925494,1887392.800000000046566,2245282.839999999850988,2358239.500000000000000,13447286.259999999776483
FS( 215 ),2825882.000000000000000,2133147.280000000260770,1996899.409999999916181,1884073.599999999860302,2252598.200000000186265,2364426.100000000093132,13457030.590000001713634
FS( 216 ),2853659.440000000409782,2126067.679999999701977,2003632.760000000242144,1903158.999999999767169,2259069.479999999981374,2371054.600000000093132,13516646.960000000894070
FS( 217 ),2859236.799999999813735,2127226.160000000149012,2044781.010000000242144,1912701.699999999953434,2295224.240000000223517,2396021.949999999720603,13635195.859999999403954
FS( 218 ),2864376.720000000670552,2118730.639999999664724,2047474.350000000325963,1913116.599999999860302,2305915.919999999925494,2388730.600000000093132,13638348.830000000074506
FS( 219 ),2851581.600000000558794,2117186.000000000000000,2041489.150000000139698,1916020.899999999906868,2326455.200000000186265,2400882.849999999627471,13653619.700000001117587
FS( 220 ),2840754.959999999962747,2113968.000000000000000,2036850.620000000111759,1934276.499999999767169,2321390.719999999739230,2392928.649999999906868,13640173.450000001117587
FS( 221 ),2828397.280000000260770,2102769.359999999403954,2106727.830000000074506,1930127.500000000000000,2326877.240000000223517,2376136.450000000186265,13671039.660000000149012
FS( 222 ),2843926.400000000372529,2104056.559999999590218,2105081.900000000372529,1925148.699999999953434,2332082.400000000372529,2381881.149999999906868,13692181.110000001266599
FS( 223 ),2832990.400000000372529,2101353.440000000409782,2125431.580000000074506,1933031.800000000046566,2342352.040000000037253,2364647.049999999813735,13699810.310000002384186
FS( 224 ),2895434.959999999962747,2103799.120000000111759,2130818.260000000242144,1924318.900000000139698,2339538.440000000409782,2376357.399999999906868,13770271.080000000074506
FS( 225 ),2868860.480000000447035,2120661.440000000409782,2149073.120000000111759,1921829.500000000000000,2297897.160000000149012,2375915.500000000000000,13734241.200000001117587
FS( 226 ),2909104.959999999962747,2137266.320000000298023,2119446.379999999888241,1916020.899999999906868,2305493.879999999888241,2395359.099999999627471,13782695.540000000968575
FS( 227 ),2826210.080000000074506,2137781.200000000186265,2130219.740000000223517,1910627.199999999720603,2301273.479999999981374,2419221.699999999720603,13725337.400000000372529
FS( 228 ),2835505.679999999701977,2158118.959999999962747,2121990.090000000316650,1918095.399999999906868,2307322.719999999739230,2426071.149999999906868,13767108.000000001862645
FS( 229 ),2804775.519999999552965,2154128.639999999664724,2121541.200000000186265,1911457.000000000000000,2326736.560000000055879,2424082.599999999627471,13742725.519999999552965
FS( 230 ),2835286.959999999962747,2127998.479999999515712,2094907.060000000055879,1902744.099999999860302,2338553.679999999701977,2431373.950000000186265,13730868.230000000447035
FS( 231 ),2821398.240000000223517,2134048.320000000298023,2086078.889999999897555,1907722.899999999906868,2348119.919999999925494,2430048.250000000000000,13727420.519999999552965
FS( 232 ),2827084.959999999962747,2128899.519999999552965,2094607.799999999813735,1900254.699999999720603,2340523.200000000186265,2454131.799999999813735,13745505.980000000447035
FS( 233 ),2872250.640000000596046,2094531.280000000027940,2093859.650000000139698,1903573.900000000139698,2364860.839999999850988,2452143.250000000000000,13781223.560000000521541
FS( 234 ),2862626.959999999962747,2116156.239999999292195,2096104.100000000325963,1907308.000000000000000,2372598.240000000223517,2460539.350000000093132,13815336.890000000596046
FS( 235 ),2887998.480000000447035,2113968.000000000000000,2091315.939999999944121,1886563.000000000000000,2392574.799999999813735,2472912.549999999813735,13845336.769999999552965
FS( 236 ),2910526.640000000596046,2106759.679999999701977,2091465.570000000298023,1906063.299999999813735,2402422.400000000372529,2476668.700000000186265,13893910.290000002831221
FS( 237 ),2904402.480000000447035,2111779.759999999776483,2114658.219999999739230,1916020.899999999906868,2392996.839999999850988,2485064.799999999813735,13924927.000000000000000
FS( 238 ),2873016.160000000149012,2101739.599999999627471,2100144.109999999869615,1918095.399999999906868,2349386.040000000037253,2477773.449999999720603,13820158.759999997913837
FS( 239 ),2852784.560000000521541,2112552.080000000074506,2088323.340000000083819,1930957.299999999813735,2329550.160000000149012,2472028.750000000000000,13786200.190000001341105
FS( 240 ),2869954.080000000074506,2128513.359999999403954,2091315.939999999944121,1938425.500000000000000,2354591.200000000186265,2461423.149999999906868,13844227.229999998584390
FS( 241 ),2862736.320000000298023,2163396.479999999515712,2087275.930000000167638,1967883.399999999906868,2365001.520000000018626,2474238.250000000000000,13920535.900000000372529
FS( 242 ),2874765.919999999925494,2130058.000000000000000,2081440.359999999869615,1942159.600000000093132,2353887.799999999813735,2436013.899999999906868,13818329.580000000074506
FS( 243 ),2883952.160000000149012,2156188.160000000149012,2077998.870000000111759,1931372.199999999720603,2364720.160000000149012,2453027.049999999813735,13867262.600000001490116
FS( 244 ),2868204.320000000298023,2159277.440000000409782,2064981.060000000055879,1896520.600000000093132,2345447.000000000000000,2426513.049999999813735,13760947.469999998807907
FS( 245 ),2894122.640000000596046,2194160.559999999590218,2063933.650000000139698,1886148.100000000093132,2348401.280000000260770,2429385.399999999906868,13816155.630000000819564
FS( 246 ),2919931.600000000558794,2225182.080000000074506,2070068.480000000214204,1899424.899999999906868,2367674.440000000409782,2462527.899999999906868,13944813.400000000372529
FS( 247 ),2899809.360000000335276,2214884.479999999515712,2054357.329999999841675,1901914.300000000046566,2378225.440000000409782,2448608.049999999813735,13897802.960000000894070
FS( 248 ),2907792.640000000596046,2218359.919999999925494,2065130.689999999944121,1903573.900000000139698,2379069.520000000018626,2474017.299999999813735,13947947.969999998807907
FS( 249 ),2904511.839999999850988,2241915.679999999701977,2066477.359999999869615,1904403.699999999953434,2376959.320000000298023,2483076.250000000000000,13977348.149999998509884
FS( 250 ),2930867.600000000558794,2272937.200000000186265,2095206.320000000298023,1901499.399999999906868,2410441.160000000149012,2504729.350000000093132,14115685.030000001192093
FS( 251 ),2945193.760000000707805,2281690.160000000149012,2092064.090000000083819,1887807.699999999953434,2397639.280000000260770,2427396.850000000093132,14031795.840000001713634
FS( 252 ),3027213.760000000707805,2314771.200000000186265,2084881.850000000325963,1899010.000000000000000,2419304.000000000000000,2487716.200000000186265,14232901.010000001639128
