代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12836034.859999999403954
真實報酬,2836034.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11109.086147411697311
風險,195656.865978686197195
起點值,0.056778412001253
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,20

stock[index](rank)
投資組合檔數,7
BA[2](10),CSCO[4](8),INTC[11](11),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),
FS( 151 ),1541380.599999999860302,1936601.699999999953434,1672382.520000000018626,1638021.099999999860302,1772833.270000000018626,1553249.799999999813735,1683965.720000000204891,11798437.709999999031425
FS( 152 ),1562884.929999999934807,1939035.380000000121072,1695095.000000000000000,1636807.600000000093132,1780152.010000000009313,1560998.199999999720603,1676077.080000000074506,11851053.199999999254942
FS( 153 ),1558772.079999999841675,1934168.020000000018626,1689996.280000000027940,1630012.000000000000000,1769736.879999999888241,1548847.299999999813735,1663997.600000000325963,11795533.159999998286366
FS( 154 ),1561827.340000000083819,1914698.580000000074506,1689069.239999999990687,1632196.300000000046566,1780152.010000000009313,1545853.599999999860302,1669544.300000000046566,11793344.370000001043081
FS( 155 ),1510475.469999999972060,1876976.540000000270084,1642717.239999999990687,1617634.300000000279397,1759040.260000000009313,1518734.199999999720603,1647110.980000000214204,11572691.990000000223517
FS( 156 ),1529159.560000000055879,1912873.320000000065193,1672382.520000000018626,1627585.000000000000000,1778744.559999999823049,1554130.299999999813735,1670653.640000000130385,11745531.900000002235174
FS( 157 ),1513178.199999999953434,1889753.360000000102445,1650597.080000000074506,1614721.900000000139698,1739898.940000000176951,1532998.299999999813735,1651178.560000000055879,11592329.340000001713634
FS( 158 ),1500369.609999999869615,1886102.840000000083819,1651060.600000000093132,1611566.800000000279397,1726950.400000000139698,1532293.899999999906868,1647973.800000000046566,11556320.950000002980232
FS( 159 ),1501544.709999999962747,1904963.860000000102445,1694631.480000000214204,1617391.600000000093132,1755943.870000000111759,1550784.399999999906868,1671639.720000000204891,11696902.640000000596046
FS( 160 ),1488971.139999999897555,1876368.120000000111759,1746082.200000000186265,1597490.199999999953434,1753128.969999999972060,1550608.299999999813735,1706892.080000000074506,11719544.009999999776483
FS( 161 ),1498136.919999999925494,1887319.680000000167638,1722442.679999999934807,1606470.100000000093132,1726387.419999999925494,1556243.500000000000000,1697154.540000000270084,11694157.840000001713634
FS( 162 ),1501779.729999999981374,1892187.040000000270084,1721515.640000000130385,1613023.000000000000000,1743558.309999999823049,1559941.599999999860302,1694566.080000000074506,11726574.400000000372529
FS( 163 ),1534330.000000000000000,1908005.959999999962747,1735884.760000000242144,1622245.600000000093132,1764951.550000000046566,1546205.799999999813735,1724641.520000000018626,11836268.190000001341105
FS( 164 ),1549723.810000000055879,1926258.560000000055879,1740519.959999999962747,1635594.100000000093132,1773959.229999999981374,1567161.699999999720603,1738569.899999999906868,11931790.259999999776483
FS( 165 ),1548666.219999999972060,1906789.120000000111759,1723833.239999999990687,1632196.300000000046566,1772270.290000000037253,1545501.399999999906868,1732037.119999999878928,11861296.689999999478459
FS( 166 ),1534447.509999999776483,1890361.780000000027940,1698803.160000000149012,1596519.400000000139698,1749469.599999999860302,1547086.299999999813735,1722299.580000000074506,11738990.330000000074506
FS( 167 ),1543260.759999999776483,1915307.000000000000000,1723369.720000000204891,1610596.000000000000000,1761292.179999999934807,1556067.399999999906868,1735488.399999999906868,11845384.460000000894070
FS( 168 ),1553954.169999999925494,1916523.840000000083819,1735421.239999999990687,1619090.500000000000000,1781840.949999999953434,1575438.399999999674037,1730804.520000000018626,11913076.619999999180436
FS( 169 ),1539852.969999999972060,1909831.220000000204891,1729859.000000000000000,1593364.300000000279397,1742713.839999999850988,1553778.099999999860302,1705043.179999999934807,11774445.609999999403954
FS( 170 ),1548196.179999999934807,1929909.080000000074506,1749790.360000000102445,1616178.100000000093132,1756788.339999999850988,1580545.299999999813735,1725750.860000000102445,11907161.219999998807907
FS( 171 ),1555716.819999999832362,1916523.840000000083819,1745618.679999999934807,1614236.500000000232831,1759884.729999999981374,1561350.399999999674037,1707138.600000000325963,11860472.570000000298023
FS( 172 ),1554189.189999999944121,1907397.540000000270084,1740056.440000000176951,1616420.799999999813735,1758195.790000000037253,1555891.299999999813735,1703071.020000000018626,11835225.080000001937151
FS( 173 ),1582509.099999999860302,1921999.620000000111759,1760914.840000000083819,1642875.100000000093132,1767766.449999999953434,1564696.299999999813735,1696168.459999999962747,11936932.870000001043081
FS( 174 ),1579688.859999999869615,1915307.000000000000000,1764623.000000000000000,1647243.700000000186265,1763825.589999999850988,1571211.999999999767169,1682240.080000000074506,11924143.229999998584390
FS( 175 ),1572990.789999999804422,1914698.580000000074506,1766013.560000000055879,1653068.500000000000000,1766921.979999999981374,1584947.799999999813735,1684582.020000000018626,11943226.230000000447035
FS( 176 ),1596375.280000000027940,1914698.580000000074506,1762305.400000000139698,1665931.600000000093132,1798730.349999999860302,1568394.399999999906868,1702084.940000000176951,12008523.550000000745058
FS( 177 ),1571698.179999999934807,1888536.520000000018626,1727541.400000000139698,1657922.500000000000000,1743276.820000000065193,1559237.199999999953434,1661039.360000000102445,11809254.979999998584390
FS( 178 ),1564882.599999999860302,1845947.120000000111759,1721052.120000000111759,1653553.899999999906868,1735676.589999999850988,1559765.499999999767169,1665353.459999999962747,11746234.289999999105930
FS( 179 ),1567467.819999999832362,1835603.980000000214204,1713635.800000000046566,1644088.599999999860302,1759603.239999999990687,1553954.199999999720603,1654136.800000000046566,11728493.439999999478459
FS( 180 ),1568877.939999999944121,1836212.400000000139698,1735884.760000000242144,1638749.199999999953434,1749188.110000000102445,1557300.099999999860302,1650808.780000000027940,11737024.289999999105930
FS( 181 ),1574753.439999999944121,1838646.080000000074506,1728468.440000000176951,1630254.700000000186265,1731735.729999999981374,1546734.099999999860302,1653397.239999999990687,11703992.730000000447035
FS( 182 ),1587679.539999999804422,1852031.320000000065193,1749790.360000000102445,1643117.800000000046566,1747780.660000000149012,1540042.299999999813735,1767536.000000000000000,11887980.980000000447035
FS( 183 ),1600370.620000000111759,1846555.540000000270084,1645961.880000000121072,1658893.299999999813735,1741587.879999999888241,1506407.199999999953434,1779615.480000000214204,11779394.899999998509884
FS( 184 ),1596375.280000000027940,1834995.560000000055879,1642253.720000000204891,1656709.000000000232831,1742995.330000000074506,1495665.099999999860302,1788243.679999999934807,11757240.669999999925494
FS( 185 ),1593907.569999999832362,1834387.139999999897555,1629275.160000000149012,1662291.099999999860302,1722728.050000000046566,1485099.099999999860302,1791941.480000000214204,11719632.599999999627471
FS( 186 ),1615294.389999999897555,1853248.160000000149012,1634373.880000000121072,1671513.700000000186265,1710061.000000000000000,1481048.799999999813735,1783559.800000000046566,11749102.730000000447035
FS( 187 ),1633743.459999999962747,1845947.120000000111759,1626957.560000000055879,1669814.800000000046566,1743839.800000000046566,1531589.499999999767169,1772343.140000000130385,11824238.380000000819564
FS( 188 ),1710359.979999999748543,1858723.940000000176951,1618614.200000000186265,1677823.899999999906868,1713438.879999999888241,1539161.799999999813735,1753237.840000000083819,11871363.539999999105930
FS( 189 ),1684155.250000000000000,1848380.800000000046566,1613515.480000000214204,1680250.900000000139698,1725261.459999999962747,1524721.599999999860302,1749663.300000000046566,11825951.790000000968575
FS( 190 ),1680629.949999999953434,1861157.620000000111759,1610270.840000000083819,1677338.500000000000000,1656296.410000000149012,1529300.199999999953434,1730064.959999999962747,11745061.480000000447035
FS( 191 ),1673814.370000000111759,1866633.400000000139698,1616296.600000000093132,1680979.000000000232831,1652918.530000000027940,1528595.799999999813735,1742144.440000000176951,11761385.139999998733401
FS( 192 ),1673579.349999999860302,1854465.000000000000000,1600073.400000000139698,1673940.699999999953434,1669244.949999999953434,1529476.299999999813735,1718725.040000000270084,11719507.740000000223517
FS( 193 ),1654072.689999999944121,1848989.220000000204891,1603781.560000000055879,1666902.400000000139698,1656296.410000000149012,1527539.199999999720603,1713178.340000000083819,11670762.820000000298023
FS( 194 ),1645494.459999999962747,1844730.280000000027940,1572725.720000000204891,1659621.399999999906868,1644755.320000000065193,1525073.799999999813735,1699003.440000000176951,11591407.419999999925494
FS( 195 ),1639853.979999999748543,1836820.820000000065193,1557893.080000000074506,1644574.000000000232831,1655733.429999999934807,1498306.599999999860302,1697524.320000000298023,11530709.230000000447035
FS( 196 ),1680864.969999999972060,1882452.320000000065193,1607953.239999999990687,1696026.399999999906868,1690356.699999999953434,1524369.399999999906868,1749540.040000000270084,11831566.070000000298023
FS( 197 ),1671111.639999999897555,1886102.840000000083819,1610270.840000000083819,1699666.900000000139698,1703305.239999999990687,1540218.399999999674037,1761496.260000000242144,11872175.120000001043081
FS( 198 ),1705072.030000000027940,1908005.959999999962747,1610734.360000000102445,1777816.300000000046566,1806612.070000000298023,1513275.099999999860302,1749170.260000000242144,12070689.080000000074506
FS( 199 ),1735624.629999999888241,1886102.840000000083819,1599146.360000000102445,1860334.300000000279397,1828568.289999999804422,1460973.399999999674037,1801309.239999999990687,12172062.060000000521541
FS( 200 ),1745377.959999999962747,1908005.959999999962747,1604245.080000000074506,1861305.100000000093132,1800137.800000000046566,1471891.599999999860302,1804883.780000000027940,12195850.279999999329448
FS( 201 ),1762651.929999999934807,1908614.380000000121072,1598219.320000000065193,1929746.500000000232831,1788315.219999999972060,1461677.799999999813735,1877114.140000000130385,12326342.289999999105930
FS( 202 ),1740560.050000000046566,1928692.239999999990687,1618150.679999999934807,1926106.000000000000000,1791693.099999999860302,1472596.000000000000000,1876497.840000000083819,12354298.910000000149012
FS( 203 ),1720935.879999999888241,1920782.780000000027940,1614906.040000000270084,1878536.800000000279397,1762981.120000000111759,1465023.699999999720603,1867499.860000000102445,12230669.179999999701977
FS( 204 ),1707892.270000000018626,1828302.940000000176951,1623249.400000000139698,1893584.199999999953434,1764951.550000000046566,1462910.499999999767169,1858501.880000000121072,12139395.740000002086163
FS( 205 ),1719878.289999999804422,1836212.400000000139698,1620004.760000000242144,1886060.500000000000000,1741587.879999999888241,1444067.799999999813735,1842231.560000000055879,12090046.189999999478459
FS( 206 ),1727751.459999999962747,1828302.940000000176951,1621395.320000000065193,1894312.300000000046566,1753691.949999999953434,1455338.199999999720603,1854064.520000000018626,12134859.689999999478459
FS( 207 ),1757128.959999999962747,1818568.220000000204891,1644571.320000000065193,1905961.900000000139698,1736802.550000000046566,1457451.399999999906868,1876867.619999999878928,12197354.970000000670552
FS( 208 ),1759714.179999999934807,1807616.660000000149012,1631592.760000000242144,1913971.000000000000000,1735113.610000000102445,1456042.599999999860302,1892644.899999999906868,12196698.709999999031425
FS( 209 ),1763239.479999999748543,1830736.620000000111759,1642717.239999999990687,1913242.899999999906868,1751158.540000000037253,1469778.399999999674037,1883646.920000000158325,12254523.100000001490116
FS( 210 ),1760066.709999999962747,1820393.480000000214204,1645961.880000000121072,1900865.199999999953434,1739617.449999999953434,1462910.499999999767169,1875018.720000000204891,12204836.940000001341105
FS( 211 ),1782041.079999999841675,1814917.699999999953434,1636691.480000000214204,1915427.200000000186265,1750595.559999999823049,1459740.699999999720603,1942565.200000000186265,12301981.919999998062849
FS( 212 ),1769350.000000000000000,1814309.280000000027940,1608416.760000000242144,1945764.700000000186265,1722446.559999999823049,1452168.399999999674037,1951563.179999999934807,12264021.880000000819564
FS( 213 ),1790854.329999999841675,1791797.739999999990687,1564845.880000000121072,1985082.100000000093132,1710342.489999999990687,1441602.399999999906868,1983857.300000000046566,12268385.240000002086163
FS( 214 ),1789209.189999999944121,1779629.340000000083819,1583386.679999999934807,1980470.799999999813735,1720757.620000000111759,1451111.799999999813735,1981268.840000000083819,12285837.269999999552965
FS( 215 ),1788151.599999999860302,1796665.100000000093132,1594047.640000000130385,2020759.000000000232831,1695986.500000000000000,1461501.699999999720603,1943058.239999999990687,12300172.779999999329448
FS( 216 ),1789091.679999999934807,1784496.699999999953434,1609343.800000000046566,2031195.100000000093132,1696830.969999999972060,1460092.899999999674037,1939237.179999999934807,12310291.330000000074506
FS( 217 ),1811418.579999999841675,1822218.739999999990687,1645498.360000000102445,2040417.699999999953434,1690638.190000000176951,1482457.599999999860302,1964875.260000000242144,12457527.429999999701977
FS( 218 ),1826107.329999999841675,1822218.739999999990687,1654768.760000000242144,2065901.200000000186265,1692327.129999999888241,1470482.799999999813735,1963889.179999999934807,12495698.140000000596046
FS( 219 ),1839033.429999999934807,1828911.360000000102445,1657549.880000000121072,2074881.099999999860302,1723572.520000000018626,1485803.500000000000000,1973749.980000000214204,12583504.769999999552965
FS( 220 ),1846906.599999999860302,1835603.980000000214204,1667283.800000000046566,2056435.900000000139698,1737365.530000000027940,1499187.099999999627471,1965984.600000000325963,12608770.509999999776483
FS( 221 ),1841031.099999999860302,1861157.620000000111759,1705755.959999999962747,2057164.000000000232831,1739335.959999999962747,1500067.599999999860302,1978926.899999999906868,12683442.140000000596046
FS( 222 ),1815296.409999999916181,1853248.160000000149012,1694167.959999999962747,2056435.900000000139698,1739617.449999999953434,1485803.500000000000000,1970545.220000000204891,12615117.600000001490116
FS( 223 ),1807070.709999999962747,1863591.300000000046566,1705292.440000000176951,2087258.800000000046566,1755662.379999999888241,1491262.599999999860302,1979912.980000000214204,12690054.209999999031425
FS( 224 ),1815648.939999999944121,1861157.620000000111759,1683043.480000000214204,2061532.600000000093132,1757632.809999999823049,1491262.599999999860302,2020835.300000000046566,12691116.350000001490116
FS( 225 ),1835390.620000000111759,1870892.340000000083819,1709927.640000000130385,2073424.900000000139698,1721039.110000000102445,1491790.899999999674037,1991252.899999999906868,12693721.410000000149012
FS( 226 ),1837858.329999999841675,1859332.360000000102445,1724760.280000000027940,2100121.900000000372529,1703023.750000000000000,1489325.499999999767169,1991869.200000000186265,12706294.320000000298023
FS( 227 ),1850666.919999999925494,1850814.480000000214204,1714099.320000000065193,2105461.299999999813735,1672904.320000000065193,1484218.599999999860302,1988664.440000000176951,12666832.379999998956919
FS( 228 ),1850431.900000000139698,1853248.160000000149012,1711781.720000000204891,2108859.099999999627471,1677126.669999999925494,1487564.499999999767169,1991745.940000000176951,12680760.990000000223517
FS( 229 ),1854544.750000000000000,1857507.100000000093132,1713635.800000000046566,2112742.299999999813735,1676563.690000000176951,1496193.399999999674037,2009618.640000000130385,12720808.680000001564622
FS( 230 ),1850666.919999999925494,1866633.400000000139698,1718271.000000000000000,2114683.900000000372529,1683037.959999999962747,1489853.799999999813735,2004811.500000000000000,12727961.480000000447035
FS( 231 ),1834450.539999999804422,1850814.480000000214204,1697876.120000000111759,2099393.799999999813735,1668400.479999999981374,1480520.499999999767169,1990020.300000000046566,12621479.220000000670552
FS( 232 ),1829632.629999999888241,1853248.160000000149012,1699266.679999999934807,2084589.100000000093132,1661926.209999999962747,1485451.299999999813735,1985089.899999999906868,12599206.980000002309680
FS( 233 ),1829515.120000000111759,1838646.080000000074506,1681189.400000000139698,2094297.100000000093132,1657140.879999999888241,1480696.599999999860302,1972763.899999999906868,12554252.080000001937151
FS( 234 ),1844673.909999999916181,1858115.520000000018626,1696485.560000000055879,2117110.900000000372529,1693171.599999999860302,1482809.799999999813735,1990143.560000000055879,12682513.849999999627471
FS( 235 ),1864063.060000000055879,1831345.040000000270084,1687678.679999999934807,2109344.500000000000000,1692608.620000000111759,1488092.799999999813735,1995813.520000000018626,12668949.219999998807907
FS( 236 ),1865120.650000000139698,1835603.980000000214204,1684897.560000000055879,2089928.500000000000000,1692045.639999999897555,1497954.399999999906868,1999141.540000000270084,12664695.270000001415610
FS( 237 ),1869703.539999999804422,1839254.500000000000000,1690923.320000000065193,2090171.200000000186265,1696549.479999999981374,1497426.099999999860302,2001976.520000000018626,12686007.660000000149012
FS( 238 ),1860537.759999999776483,1836212.400000000139698,1696949.080000000074506,2091627.400000000139698,1719913.150000000139698,1486331.799999999813735,1996306.560000000055879,12687881.150000000372529
FS( 239 ),1869351.009999999776483,1848380.800000000046566,1693704.440000000176951,2097694.900000000372529,1686697.330000000074506,1470306.699999999720603,1991745.940000000176951,12657884.119999999180436
FS( 240 ),1873228.840000000083819,1834387.139999999897555,1712708.760000000242144,2113470.400000000372529,1734832.120000000111759,1474885.299999999813735,1995567.000000000000000,12739082.560000002384186
FS( 241 ),1860185.229999999748543,1827694.520000000018626,1701584.280000000027940,2093083.599999999860302,1751158.540000000037253,1476470.199999999953434,2001360.220000000204891,12711539.589999999850988
FS( 242 ),1866530.770000000018626,1829519.780000000027940,1705292.440000000176951,2104247.799999999813735,1754817.910000000149012,1479463.899999999906868,1994457.660000000149012,12734333.259999999776483
FS( 243 ),1852899.609999999869615,1824652.419999999925494,1705755.959999999962747,2027797.300000000046566,1730609.770000000018626,1500595.899999999674037,1980406.020000000018626,12622719.980000000447035
FS( 244 ),1860537.759999999776483,1827086.100000000093132,1703901.880000000121072,2037262.600000000093132,1721883.580000000074506,1495665.099999999860302,1944414.100000000325963,12590754.119999999180436
FS( 245 ),1868528.439999999944121,1824044.000000000000000,1695095.000000000000000,2021729.800000000046566,1698238.419999999925494,1491614.799999999813735,1956247.060000000055879,12555500.520000001415610
FS( 246 ),1874756.469999999972060,1831345.040000000270084,1712245.239999999990687,2030709.700000000186265,1760166.219999999972060,1540042.299999999813735,1955754.020000000018626,12705021.989999998360872
FS( 247 ),1854897.280000000027940,1841688.180000000167638,1704365.400000000139698,2031680.500000000000000,1739898.940000000176951,1531413.399999999674037,1960807.679999999934807,12664754.380000000819564
FS( 248 ),1886742.489999999990687,1861766.040000000270084,1743764.600000000093132,2056193.199999999953434,1723009.540000000037253,1547262.399999999906868,1977571.040000000270084,12796312.310000002384186
FS( 249 ),1966766.800000000046566,1867850.239999999990687,1752107.959999999962747,2087986.900000000139698,1719350.169999999925494,1534935.399999999674037,1987555.100000000325963,12916555.570000000298023
FS( 250 ),1987448.560000000055879,1870283.919999999925494,1740983.480000000214204,2105461.299999999813735,1722728.050000000046566,1525073.799999999813735,2006167.360000000102445,12958149.469999998807907
FS( 251 ),1970762.139999999897555,1884886.000000000000000,1760451.320000000065193,2109829.900000000372529,1738210.000000000000000,1527186.999999999767169,2009125.600000000325963,13000454.959999999031425
FS( 252 ),1945732.509999999776483,1875759.699999999953434,1734494.200000000186265,2087986.900000000139698,1729202.320000000065193,1527715.299999999813735,1998032.200000000186265,12898926.129999998956919
FS( 253 ),1920467.859999999869615,1869067.080000000074506,1706683.000000000000000,2054008.899999999906868,1744965.760000000009313,1542683.799999999813735,1998155.459999999962747,12836034.859999999403954
