代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14140213.299999998882413
真實報酬,4140213.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15441.730087379544784
風險,159622.060255530261202
起點值,0.096739323265592
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
AAPL[0](4),AXP[1](6),CAT[3](5),MSFT[18](2),UNH[23](1),
FS( 196 ),2746896.679999999701977,2485034.549999999813735,2596662.200000000186265,2453547.680000000167638,2667597.540000000037253,12949738.649999998509884
FS( 197 ),2720101.339999999850988,2492743.299999999813735,2571126.040000000037253,2440351.040000000037253,2686899.080000000074506,12911220.799999998882413
FS( 198 ),2703799.280000000260770,2488426.399999999906868,2612622.299999999813735,2427501.680000000167638,2657725.759999999776483,12890075.419999999925494
FS( 199 ),2665948.520000000484288,2511552.649999999906868,2642087.099999999627471,2430974.479999999981374,2676143.259999999776483,12926706.009999999776483
FS( 200 ),2742212.179999999701977,2524811.699999999720603,2639386.160000000149012,2461187.840000000316650,2696623.520000000018626,13064221.399999998509884
FS( 201 ),2717290.639999999664724,2544237.750000000000000,2628336.860000000335276,2427848.959999999962747,2700307.020000000018626,13018021.230000000447035
FS( 202 ),2733405.320000000298023,2534987.249999999534339,2540679.080000000074506,2440351.040000000037253,2724618.119999999646097,12974040.810000000521541
FS( 203 ),2728908.200000000186265,2536220.649999999906868,2549764.059999999590218,2440003.760000000242144,2747897.839999999850988,13002794.509999999776483
FS( 204 ),2741087.900000000372529,2535295.600000000093132,2556393.639999999664724,2472995.359999999869615,2729480.339999999850988,13035252.839999999850988
FS( 205 ),2732468.419999999925494,2558113.499999999534339,2559831.200000000186265,2449380.319999999832362,2727564.919999999925494,13027358.359999999403954
FS( 206 ),2693306.000000000000000,2561813.699999999720603,2551973.919999999925494,2403539.359999999869615,2719903.239999999757856,12930536.219999998807907
FS( 207 ),2732655.799999999813735,2589256.850000000093132,2613850.000000000000000,2424028.879999999888241,2736110.639999999664724,13095902.170000001788139
FS( 208 ),2692369.100000000558794,2578772.949999999720603,2593961.259999999776483,2378535.199999999720603,2729775.020000000018626,12973413.529999999329448
FS( 209 ),2698740.020000000484288,2597582.299999999813735,2638649.540000000037253,2393815.520000000018626,2731985.119999999646097,13060772.500000000000000
FS( 210 ),2688996.259999999776483,2624100.399999999906868,2626618.080000000074506,2367422.240000000223517,2750107.939999999944121,13057244.919999999925494
FS( 211 ),2700051.679999999701977,2617625.049999999813735,2639386.160000000149012,2399024.719999999739230,2773682.339999999850988,13129769.949999999254942
FS( 212 ),2674568.000000000000000,2582164.799999999813735,2615323.240000000223517,2381313.439999999944121,2754380.799999999813735,13007750.280000001192093
FS( 213 ),2701738.100000000558794,2600357.449999999720603,2625390.379999999888241,2412221.359999999869615,2769409.479999999981374,13109116.770000001415610
FS( 214 ),2718227.540000000037253,2599432.399999999906868,2647980.059999999590218,2430279.919999999925494,2754528.139999999664724,13150448.059999998658895
FS( 215 ),2727034.400000000372529,2595115.500000000000000,2657801.660000000149012,2430627.199999999720603,2739794.139999999664724,13150372.899999998509884
FS( 216 ),2730969.379999999888241,2615466.599999999627471,2675480.540000000037253,2470911.680000000167638,2750697.299999999813735,13243525.500000000000000
FS( 217 ),2769007.520000000484288,2632425.850000000093132,2663449.080000000074506,2492443.040000000037253,2732869.159999999683350,13290194.650000002235174
FS( 218 ),2792804.780000000260770,2629650.699999999720603,2670815.280000000260770,2527518.319999999832362,2753791.439999999944121,13374580.519999999552965
FS( 219 ),2802548.540000000037253,2627800.600000000093132,2672534.059999999590218,2547313.279999999795109,2745687.739999999757856,13395884.220000000670552
FS( 220 ),2812292.299999999813735,2637051.099999999627471,2629073.479999999515712,2545576.879999999888241,2753054.739999999757856,13377048.499999998137355
FS( 221 ),2829906.020000000484288,2649693.450000000186265,2648225.599999999627471,2565024.560000000055879,2787532.299999999813735,13480381.929999999701977
FS( 222 ),2817164.179999999701977,2631809.149999999906868,2635211.979999999515712,2577526.640000000130385,2821567.839999999850988,13483279.789999999105930
FS( 223 ),2815852.520000000484288,2639209.549999999813735,2617287.559999999590218,2562593.600000000093132,2825693.359999999869615,13460636.589999999850988
FS( 224 ),2849955.679999999701977,2621016.899999999906868,2656328.419999999925494,2555995.279999999795109,2812580.099999999627471,13495876.379999998956919
FS( 225 ),2862135.379999999888241,2633659.250000000000000,2812491.860000000335276,2576484.799999999813735,2805360.439999999944121,13690131.729999998584390
FS( 226 ),2875626.740000000223517,2630267.399999999906868,2787446.780000000260770,2571622.879999999888241,2810517.339999999850988,13675481.140000000596046
FS( 227 ),2821286.540000000037253,2585556.649999999906868,2808317.679999999701977,2540714.959999999962747,2783701.459999999962747,13539577.289999999105930
FS( 228 ),2801424.259999999776483,2614849.899999999906868,2801688.099999999627471,2536547.600000000093132,2816410.939999999944121,13570920.799999998882413
FS( 229 ),2786996.000000000000000,2628108.950000000186265,2798005.000000000000000,2524740.080000000074506,2826135.379999999888241,13563985.410000000149012
FS( 230 ),2811730.160000000149012,2628417.299999999813735,2777134.099999999627471,2520572.719999999739230,2832323.659999999683350,13570177.939999999478459
FS( 231 ),2944582.580000000074506,2630267.399999999906868,2776888.559999999590218,2509459.760000000242144,2843668.839999999850988,13704867.140000000596046
FS( 232 ),2915163.919999999925494,2637667.800000000279397,2788428.940000000409782,2505639.680000000167638,2869748.020000000018626,13716648.360000001266599
FS( 233 ),2930529.080000000074506,2650926.850000000093132,2807826.599999999627471,2524045.520000000018626,2871368.759999999776483,13784696.809999998658895
FS( 234 ),2975875.040000000037253,2647226.649999999906868,2816666.040000000037253,2514321.680000000167638,2869895.359999999869615,13823984.769999999552965
FS( 235 ),2999672.299999999813735,2650001.799999999813735,2809299.839999999850988,2527865.600000000093132,2871663.439999999944121,13858502.979999998584390
FS( 236 ),3018035.540000000037253,2642293.049999999813735,2807581.059999999590218,2516752.640000000130385,2870632.060000000055879,13855294.349999999627471
FS( 237 ),2910479.419999999925494,2607449.500000000000000,2778361.799999999813735,2479940.959999999962747,2837333.219999999739230,13613564.899999998509884
FS( 238 ),2950953.500000000000000,2599124.050000000279397,2770995.599999999627471,2517794.479999999981374,2843963.520000000018626,13682831.150000000372529
FS( 239 ),2995362.559999999590218,2635509.350000000093132,2792112.040000000037253,2555648.000000000000000,2854129.979999999981374,13832761.929999999701977
FS( 240 ),3028154.059999999590218,2676211.550000000279397,2790638.799999999813735,2542798.640000000130385,2865769.839999999850988,13903572.890000000596046
FS( 241 ),3015974.359999999403954,2694712.549999999813735,2802179.179999999701977,2557731.680000000167638,2855014.020000000018626,13925611.789999999105930
FS( 242 ),2958073.940000000409782,2654627.049999999813735,2778116.259999999776483,2514321.680000000167638,2839248.639999999664724,13744387.570000000298023
FS( 243 ),2951328.259999999776483,2632734.199999999720603,2797268.379999999888241,2517447.199999999720603,2811548.719999999739230,13710326.759999997913837
FS( 244 ),2945894.240000000223517,2630267.399999999906868,2789411.099999999627471,2505639.680000000167638,2829376.859999999869615,13700589.279999999329448
FS( 245 ),2994050.900000000372529,2630267.399999999906868,2843920.979999999515712,2540714.959999999962747,2870042.699999999720603,13878996.940000001341105
FS( 246 ),2997798.500000000000000,2629650.699999999720603,2817648.200000000186265,2525434.640000000130385,2861939.000000000000000,13832471.039999999105930
FS( 247 ),2984494.520000000484288,2632117.500000000000000,2818384.820000000298023,2524392.799999999813735,2869453.339999999850988,13828842.980000000447035
FS( 248 ),2995549.940000000409782,2635509.350000000093132,2832380.599999999627471,2528907.439999999944121,2863707.080000000074506,13856054.410000000149012
FS( 249 ),3025718.120000000111759,2633659.250000000000000,2825505.479999999515712,2529254.719999999739230,2874462.899999999906868,13888600.470000000670552
FS( 250 ),3052700.839999999850988,2633967.600000000093132,2848586.240000000223517,2536894.879999999888241,2898626.659999999683350,13970776.219999998807907
FS( 251 ),3060945.559999999590218,2642293.049999999813735,2886399.399999999441206,2570233.760000000242144,2886102.759999999776483,14045974.529999997466803
FS( 252 ),3073125.259999999776483,2654935.399999999906868,2884926.160000000149012,2596627.040000000037253,2930599.439999999944121,14140213.299999998882413
