代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13913219.590000001713634
真實報酬,3913219.590000001713634

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14857.309896159800701
風險,185252.249834652437130
起點值,0.080200428925537
找到最佳解世代,2028
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),
FS( 196 ),2826292.160000000149012,2827280.089999999850988,2554586.959999999962747,2268476.750000000000000,2457131.360000000335276,12933767.320000000298023
FS( 197 ),2827510.879999999888241,2832817.440000000409782,2563719.379999999888241,2221098.500000000000000,2448806.120000000111759,12893952.320000000298023
FS( 198 ),2823245.360000000335276,2827754.719999999739230,2542133.660000000149012,2222361.919999999925494,2437453.519999999552965,12852949.179999999701977
FS( 199 ),2853104.000000000000000,2827438.300000000279397,2583644.660000000149012,2217308.240000000223517,2450319.799999999813735,12931815.000000000000000
FS( 200 ),2857775.759999999776483,2819211.379999999888241,2569530.919999999925494,2219835.080000000074506,2446157.179999999701977,12912510.320000000298023
FS( 201 ),2843557.360000000335276,2849429.490000000223517,2571191.359999999869615,2228047.310000000521541,2454860.839999999850988,12947086.360000001266599
FS( 202 ),2873416.000000000000000,2838196.580000000074506,2640099.620000000111759,2238154.669999999925494,2457131.360000000335276,13046998.230000000447035
FS( 203 ),2840510.560000000521541,2783930.550000000279397,2557907.840000000316650,2213517.979999999515712,2429885.120000000111759,12825752.050000000745058
FS( 204 ),2872603.519999999552965,2800067.969999999739230,2557907.840000000316650,2234364.410000000149012,2460915.560000000521541,12925859.300000000745058
FS( 205 ),2862447.519999999552965,2804497.850000000093132,2552373.040000000037253,2228047.310000000521541,2454860.839999999850988,12902226.559999998658895
FS( 206 ),2856760.160000000149012,2781715.609999999869615,2550159.120000000111759,2221098.500000000000000,2459023.459999999962747,12868756.850000001490116
FS( 207 ),2861635.040000000037253,2786145.490000000223517,2532447.760000000242144,2235627.830000000074506,2463564.500000000000000,12879420.620000001043081
FS( 208 ),2920946.080000000074506,2806079.950000000186265,2572298.320000000298023,2248893.740000000223517,2470754.480000000447035,13018972.570000000298023
FS( 209 ),2927445.919999999925494,2810351.620000000111759,2569807.660000000149012,2246998.610000000335276,2477566.040000000037253,13032169.850000001490116
FS( 210 ),2923586.640000000596046,2815888.969999999739230,2579770.299999999813735,2258369.389999999664724,2486648.120000000111759,13064263.420000001788139
FS( 211 ),2918102.400000000372529,2798169.450000000186265,2567040.260000000242144,2278584.110000000335276,2492324.419999999925494,13054220.640000002458692
FS( 212 ),2918914.879999999888241,2794847.040000000037253,2553480.000000000000000,2284269.500000000000000,2480593.400000000372529,13032104.820000000298023
FS( 213 ),2940648.720000000670552,2827280.089999999850988,2604953.639999999664724,2291850.019999999552965,2487404.959999999962747,13152137.429999999701977
FS( 214 ),2925414.720000000670552,2801650.070000000298023,2607997.779999999795109,2288059.759999999776483,2480971.820000000298023,13104094.150000000372529
FS( 215 ),2918102.400000000372529,2806238.160000000149012,2651722.699999999720603,2276057.269999999552965,2487404.959999999962747,13139525.489999998360872
FS( 216 ),2911602.560000000521541,2829653.240000000223517,2643420.500000000000000,2276057.269999999552965,2485512.860000000335276,13146246.429999999701977
FS( 217 ),2908149.519999999552965,2809244.150000000372529,2688252.379999999888241,2261527.939999999478459,2479836.560000000521541,13147010.550000000745058
FS( 218 ),2876869.040000000037253,2825223.359999999869615,2687145.419999999925494,2257737.679999999701977,2477944.459999999962747,13124919.960000000894070
FS( 219 ),2880322.080000000074506,2785354.440000000409782,2625155.660000000149012,2250788.870000000111759,2468483.959999999962747,13010105.010000001639128
FS( 220 ),2865088.080000000074506,2778551.410000000149012,2576449.419999999925494,2226783.889999999664724,2457888.200000000186265,12904761.000000000000000
FS( 221 ),2880931.440000000409782,2832342.810000000521541,2605230.379999999888241,2241313.219999999739230,2477944.459999999962747,13037762.310000002384186
FS( 222 ),2868134.879999999888241,2813832.240000000223517,2612148.879999999888241,2259632.810000000521541,2474538.679999999701977,13028287.490000000223517
FS( 223 ),2857572.640000000596046,2822533.790000000037253,2586688.799999999813735,2268476.750000000000000,2461293.980000000447035,12996565.960000000894070
FS( 224 ),2893321.759999999776483,2836772.690000000409782,2619620.859999999869615,2285532.919999999925494,2478701.299999999813735,13113949.530000001192093
FS( 225 ),2889868.720000000670552,2853859.370000000111759,2610211.699999999720603,2294376.860000000335276,2512759.100000000558794,13161075.750000003725290
FS( 226 ),2917696.160000000149012,2880438.650000000372529,2679119.959999999962747,2321540.389999999664724,2555520.560000000521541,13354315.720000000670552
FS( 227 ),2935773.839999999850988,2903379.100000000093132,2889719.100000000093132,2329120.910000000149012,2570278.940000000409782,13628271.890000000596046
FS( 228 ),2918508.640000000596046,2874901.300000000279397,2896360.859999999869615,2332911.169999999925494,2566873.160000000149012,13589555.130000000819564
FS( 229 ),2920742.959999999962747,2898791.010000000242144,2841566.340000000316650,2364496.669999999925494,2583523.639999999664724,13609120.620000001043081
FS( 230 ),2917899.280000000260770,2924262.820000000298023,2829943.260000000242144,2283637.790000000037253,2590713.620000000111759,13546456.770000003278255
FS( 231 ),2977413.440000000409782,2885659.580000000074506,2822748.020000000018626,2293745.150000000372529,2626663.519999999552965,13606229.710000000894070
FS( 232 ),2996303.599999999627471,2902271.629999999888241,2809187.760000000242144,2335438.009999999776483,2622500.900000000372529,13665701.900000000372529
FS( 233 ),2987163.200000000186265,2901480.580000000074506,2810017.979999999981374,2336069.719999999739230,2614175.660000000149012,13648907.140000000596046
FS( 234 ),2976397.839999999850988,2896417.859999999869615,2750518.879999999888241,2327857.490000000223517,2603958.320000000298023,13555150.389999998733401
FS( 235 ),3025756.000000000000000,2927110.600000000093132,2757437.379999999888241,2325962.360000000335276,2611148.299999999813735,13647414.640000000596046
FS( 236 ),3108019.599999999627471,2943089.810000000521541,2749965.400000000372529,2308274.479999999515712,2608877.780000000260770,13718227.070000000298023
FS( 237 ),3127925.360000000335276,2957170.500000000000000,2747751.479999999981374,2297535.410000000149012,2612661.980000000447035,13743044.730000000447035
FS( 238 ),3113097.599999999627471,2898158.170000000391155,2777362.660000000149012,2274793.849999999627471,2622879.320000000298023,13686291.599999999627471
FS( 239 ),3127112.879999999888241,2910182.129999999888241,2794797.279999999795109,2254579.129999999888241,2590713.620000000111759,13677385.039999999105930
FS( 240 ),3170783.679999999701977,2899265.640000000130385,2787048.560000000055879,2244471.769999999552965,2587686.259999999776483,13689255.910000000149012
FS( 241 ),3162658.879999999888241,2885659.580000000074506,2834371.100000000093132,2250788.870000000111759,2589578.360000000335276,13723056.789999999105930
FS( 242 ),3157987.120000000111759,2890564.089999999850988,2832157.180000000167638,2262791.360000000335276,2626663.519999999552965,13770163.269999999552965
FS( 243 ),3051958.480000000447035,2828545.770000000018626,2771274.379999999888241,2213517.979999999515712,2553628.459999999962747,13418925.070000000298023
FS( 244 ),3098472.959999999962747,2806712.790000000037253,2773488.299999999813735,2224888.759999999776483,2562332.120000000111759,13465894.929999999701977
FS( 245 ),3109035.200000000186265,2859871.350000000093132,2834647.840000000316650,2236259.540000000037253,2561575.280000000260770,13601389.210000000894070
FS( 246 ),3127925.360000000335276,2905910.459999999962747,2830773.479999999981374,2259632.810000000521541,2590335.200000000186265,13714577.310000002384186
FS( 247 ),3124066.080000000074506,2903062.680000000167638,2867856.639999999664724,2265318.200000000186265,2599038.860000000335276,13759342.459999997168779
FS( 248 ),3114722.560000000521541,2930907.640000000130385,2876712.320000000298023,2281742.660000000149012,2602444.639999999664724,13806529.820000000298023
FS( 249 ),3125487.919999999925494,2959701.859999999869615,2906323.500000000000000,2290586.599999999627471,2634610.339999999850988,13916710.219999998807907
FS( 250 ),3120206.800000000745058,2952107.780000000260770,2924034.859999999869615,2290586.599999999627471,2647476.620000000111759,13934412.660000000149012
FS( 251 ),3121425.519999999552965,2956695.870000000111759,2918776.799999999813735,2285532.919999999925494,2664505.519999999552965,13946936.629999998956919
FS( 252 ),3102941.599999999627471,2968561.620000000111759,2917669.840000000316650,2281110.950000000186265,2642935.580000000074506,13913219.590000001713634
