代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14031513.240000000223517
真實報酬,4031513.240000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16648.618027509386593
風險,131599.038844675524160
起點值,0.126510179509438
找到最佳解世代,2521
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](3),DD[7](7),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](12),
FS( 151 ),1955074.120000000111759,2017004.230000000214204,1684993.399999999906868,1798911.920000000158325,1717664.980000000214204,1787017.250000000000000,1693963.379999999888241,12654632.280000001192093
FS( 152 ),1945806.040000000037253,1976753.800000000279397,1681740.279999999795109,1800905.680000000167638,1724382.310000000055879,1788564.499999999767169,1687827.139999999897555,12605982.750000001862645
FS( 153 ),1954566.280000000027940,1984954.960000000195578,1685758.839999999850988,1797042.770000000018626,1703235.159999999916181,1787842.449999999720603,1691453.100000000093132,12604856.559999998658895
FS( 154 ),1981862.679999999934807,1977509.170000000158325,1690734.199999999720603,1811372.920000000158325,1701244.839999999850988,1772266.800000000046566,1685177.399999999906868,12620171.009999999776483
FS( 155 ),1976784.280000000027940,1968228.909999999916181,1700493.559999999823049,1822837.040000000037253,1702488.790000000270084,1769378.599999999860302,1686432.540000000037253,12626646.719999998807907
FS( 156 ),1973864.199999999953434,1971574.120000000111759,1697814.519999999785796,1835422.649999999906868,1726870.209999999962747,1734204.449999999953434,1693126.620000000111759,12632879.769999999552965
FS( 157 ),1907591.080000000074506,1929273.400000000139698,1640597.879999999888241,1824456.969999999972060,1678853.740000000223517,1741837.550000000046566,1667744.899999999906868,12390358.520000001415610
FS( 158 ),1936664.919999999925494,1914381.820000000298023,1650931.319999999832362,1831933.569999999832362,1684575.909999999916181,1768553.399999999674037,1664816.239999999990687,12451860.180000001564622
FS( 159 ),1943266.840000000083819,1950639.580000000074506,1670258.679999999934807,1846139.110000000102445,1684078.330000000074506,1780312.500000000000000,1689779.579999999841675,12564477.619999999180436
FS( 160 ),1955074.120000000111759,1982041.390000000130385,1661838.839999999850988,1846637.550000000046566,1702986.370000000111759,1802077.149999999674037,1696752.579999999841675,12647411.000000000000000
FS( 161 ),1952661.880000000121072,1980099.010000000242144,1656480.760000000009313,1842026.979999999981374,1708708.540000000270084,1807440.949999999953434,1702470.439999999944121,12649891.560000000521541
FS( 162 ),1946821.720000000204891,1999091.170000000158325,1674659.959999999962747,1862961.459999999962747,1710947.649999999906868,1811257.500000000000000,1702609.899999999906868,12708352.360000001266599
FS( 163 ),1953550.600000000093132,2018730.790000000037253,1652844.919999999925494,1866450.540000000037253,1732094.800000000279397,1836632.400000000139698,1704980.719999999972060,12765287.770000001415610
FS( 164 ),1950249.640000000363216,2013551.110000000102445,1664135.159999999683350,1867447.420000000158325,1740553.659999999916181,1830959.149999999906868,1699402.319999999832362,12766301.460000000894070
FS( 165 ),1951011.399999999906868,2016680.500000000000000,1659351.159999999683350,1868319.689999999944121,1751749.209999999962747,1821572.500000000000000,1691313.639999999897555,12760001.100000001490116
FS( 166 ),1939458.040000000037253,2024773.750000000000000,1688629.239999999757856,1880282.249999999767169,1737568.180000000167638,1807028.350000000093132,1691453.100000000093132,12769195.909999998286366
FS( 167 ),1944790.360000000102445,2021428.540000000037253,1710444.279999999795109,1898973.749999999767169,1744036.719999999972060,1852414.350000000093132,1698565.560000000055879,12870656.560000000521541
FS( 168 ),1973610.280000000027940,2052830.350000000093132,1718290.040000000037253,1915796.100000000093132,1785335.860000000102445,1850454.499999999767169,1703167.739999999990687,12999487.869999999180436
FS( 169 ),1954312.360000000102445,2039017.870000000111759,1722691.319999999832362,1903958.149999999906868,1798272.940000000176951,1850248.199999999953434,1687269.300000000046566,12955773.140000000596046
FS( 170 ),1960914.280000000027940,2015277.670000000158325,1736851.959999999962747,1884518.989999999757856,1804243.899999999906868,1865204.949999999720603,1675275.739999999990687,12942290.490000000223517
FS( 171 ),1972594.600000000093132,2029845.520000000018626,1743549.559999999823049,1893366.300000000046566,1801009.630000000121072,1889857.800000000046566,1670534.100000000093132,13000760.509999999776483
FS( 172 ),1967770.120000000111759,2049593.050000000279397,1743358.199999999720603,1887011.189999999944121,1790062.870000000111759,1874178.999999999767169,1672765.459999999962747,12984742.890000000596046
FS( 173 ),1891467.159999999916181,2050672.150000000139698,1764407.799999999813735,1887634.239999999757856,1749510.099999999860302,1871806.550000000046566,1682527.659999999916181,12898028.660000000149012
FS( 174 ),1846269.399999999906868,2050348.420000000158325,1744506.359999999869615,1850126.629999999888241,1736075.440000000176951,1849010.399999999906868,1671928.699999999953434,12748268.349999999627471
FS( 175 ),1861123.720000000204891,2062110.610000000102445,1778568.439999999711290,1866948.979999999981374,1757720.170000000158325,1867577.400000000139698,1674438.979999999981374,12868491.300000000745058
FS( 176 ),1842968.439999999944121,2076031.000000000000000,1758667.000000000000000,1877665.439999999944121,1748266.149999999906868,1881090.050000000046566,1673741.679999999934807,12858432.759999999776483
FS( 177 ),1831922.919999999925494,2109159.370000000111759,1746802.679999999934807,1883771.329999999841675,1739060.920000000158325,1860666.349999999860302,1684061.719999999972060,12855448.290000000968575
FS( 178 ),1806277.000000000232831,2119842.459999999962747,1754839.799999999813735,1893989.350000000093132,1741548.820000000065193,1873560.099999999860302,1679599.000000000000000,12869659.529999999329448
FS( 179 ),1857949.720000000204891,2148330.700000000186265,1777420.279999999795109,1908319.499999999767169,1763193.550000000279397,1887897.949999999953434,1699402.319999999832362,13042517.019999999552965
FS( 180 ),1841064.040000000037253,2140237.450000000186265,1774167.159999999683350,1919908.229999999981374,1739309.709999999962747,1890476.699999999953434,1694660.679999999934807,12999826.969999998807907
FS( 181 ),1851982.600000000093132,2149301.889999999664724,1735512.439999999711290,1915671.489999999757856,1748266.149999999906868,1907496.449999999720603,1698007.719999999972060,13006241.740000000223517
FS( 182 ),1848935.560000000055879,2152215.459999999962747,1739531.000000000000000,1929004.760000000009313,1748017.360000000102445,1923794.149999999906868,1703865.040000000037253,13045366.329999998211861
FS( 183 ),1857187.960000000195578,2182322.349999999627471,1729771.639999999897555,1927010.999999999767169,1771652.409999999916181,1910900.399999999906868,1704562.339999999850988,13083411.099999999627471
FS( 184 ),1851347.800000000046566,2158042.599999999627471,1732450.679999999934807,1918537.520000000018626,1754734.690000000176951,1909559.449999999953434,1699681.239999999990687,13024356.979999998584390
FS( 185 ),1824813.159999999916181,2146280.410000000149012,1719438.199999999720603,1915546.879999999888241,1721894.409999999916181,1904195.649999999906868,1695776.360000000102445,12927948.069999998435378
FS( 186 ),1851474.760000000242144,2154157.839999999850988,1723648.119999999646097,1922774.260000000009313,1736573.020000000018626,1915542.149999999674037,1708467.219999999972060,13012640.370000001043081
FS( 187 ),1824178.360000000102445,2130849.280000000260770,1708913.399999999906868,1908194.889999999897555,1703981.530000000027940,1911106.699999999953434,1696613.120000000111759,12883840.280000001192093
FS( 188 ),1828495.000000000232831,2133978.669999999925494,1718864.119999999646097,1908568.719999999972060,1714928.290000000270084,1912653.949999999720603,1703028.280000000027940,12920520.029999997466803
FS( 189 ),1821893.080000000074506,2143043.110000000335276,1742592.760000000009313,1900344.459999999962747,1696020.250000000000000,1925341.399999999906868,1702609.899999999906868,12931847.960000000894070
FS( 190 ),1829383.720000000204891,2177790.129999999888241,1728432.119999999646097,1907447.229999999981374,1718660.140000000130385,1941845.399999999906868,1712511.560000000055879,13016073.300000000745058
FS( 191 ),1812117.159999999916181,2174229.099999999627471,1732259.319999999832362,1907696.449999999953434,1705971.849999999860302,1928332.749999999767169,1699960.159999999916181,12960569.790000000968575
FS( 192 ),1830526.360000000102445,2183833.089999999850988,1741253.239999999757856,1947322.430000000167638,1728114.159999999916181,1938854.050000000046566,1710001.280000000027940,13079907.609999999403954
FS( 193 ),1841698.840000000083819,2200990.780000000260770,1758284.279999999795109,1937976.680000000167638,1741051.240000000223517,1928435.899999999674037,1716276.979999999981374,13124717.700000001117587
FS( 194 ),1847665.960000000195578,2225917.990000000223517,1759241.080000000074506,1930375.469999999972060,1741300.030000000027940,1918120.899999999674037,1722971.060000000055879,13145595.490000000223517
FS( 195 ),1850332.120000000111759,2227752.459999999962747,1806315.639999999897555,1951185.340000000083819,1770159.670000000158325,1925753.999999999767169,1725341.879999999888241,13256844.109999999403954
FS( 196 ),1876105.000000000232831,2225486.349999999627471,1787945.080000000074506,1931995.399999999906868,1785584.649999999906868,1913272.849999999860302,1716416.439999999944121,13236808.769999999552965
FS( 197 ),1892228.919999999925494,2250089.830000000074506,1805167.479999999748543,1934986.040000000037253,1810712.440000000176951,1927920.149999999906868,1721158.079999999841675,13342265.939999999478459
FS( 198 ),1898830.840000000083819,2255377.419999999925494,1801914.359999999869615,1934736.819999999832362,1824893.469999999972060,1922246.899999999906868,1716974.280000000027940,13354977.089999999850988
FS( 199 ),1905432.760000000242144,2247176.260000000707805,1791772.279999999795109,1918537.520000000018626,1823649.520000000018626,1927404.399999999906868,1710280.199999999953434,13324255.939999999478459
FS( 200 ),1917367.000000000232831,2275664.500000000000000,1819710.839999999850988,1917665.249999999767169,1837581.760000000009313,1951541.499999999767169,1716555.899999999906868,13436089.750000000000000
FS( 201 ),1908733.720000000204891,2269189.900000000372529,1809377.399999999906868,1921652.770000000018626,1846538.199999999953434,1975369.149999999906868,1707769.919999999925494,13438634.060000000521541
FS( 202 ),1907845.000000000232831,2289261.160000000149012,1802488.439999999711290,1918039.079999999841675,1835840.230000000214204,1978257.349999999860302,1722273.760000000009313,13454008.019999999552965
FS( 203 ),1930951.720000000204891,2289692.799999999813735,1804593.399999999906868,1892244.809999999823049,1831113.219999999972060,1969076.999999999767169,1717253.199999999953434,13434929.149999998509884
FS( 204 ),1939204.120000000111759,2292714.280000000260770,1821815.799999999813735,1982213.229999999981374,1845791.830000000074506,1964022.649999999906868,1679459.540000000037253,13525224.449999999254942
FS( 205 ),1948345.240000000223517,2519217.370000000111759,1810142.839999999850988,1950313.069999999832362,1842308.770000000018626,1967632.899999999906868,1667187.060000000055879,13705150.250000000000000
FS( 206 ),1911526.840000000083819,2600689.419999999925494,1801340.279999999795109,1955795.909999999916181,1820166.459999999962747,1948859.600000000093132,1655332.959999999962747,13693714.469999998807907
FS( 207 ),1898069.080000000074506,2603602.990000000223517,1789858.679999999934807,1942088.809999999823049,1817180.980000000214204,1971758.899999999906868,1657843.239999999990687,13680405.679999999701977
FS( 208 ),1888293.159999999916181,2616444.280000000260770,1750629.879999999888241,1933241.499999999767169,1808722.120000000111759,1978566.800000000046566,1653659.439999999944121,13629560.180000001564622
FS( 209 ),1905051.880000000121072,2583855.459999999962747,1762876.919999999925494,1919534.399999999906868,1805736.640000000130385,1982899.099999999860302,1657982.699999999953434,13617940.099999999627471
FS( 210 ),1995066.519999999785796,2567776.870000000111759,1752352.119999999646097,1951309.949999999953434,1797775.360000000102445,1990841.649999999906868,1678483.319999999832362,13733608.790000000968575
FS( 211 ),1975133.800000000046566,2571014.169999999925494,1728623.479999999748543,1928007.879999999888241,1795038.670000000158325,2009099.199999999953434,1688942.819999999832362,13695863.019999999552965
FS( 212 ),1985544.519999999785796,2565187.030000000260770,1747185.399999999906868,1916792.979999999981374,1808224.540000000270084,2010233.849999999860302,1694381.760000000009313,13727553.080000000074506
FS( 213 ),2016268.840000000083819,2592380.349999999627471,1740870.519999999785796,1931123.129999999888241,1801258.420000000158325,2009202.349999999860302,1652962.139999999897555,13744068.750000000000000
FS( 214 ),2032392.760000000242144,2584502.919999999925494,1728049.399999999906868,1930500.079999999841675,1810961.230000000214204,2010440.149999999906868,1648359.959999999962747,13745209.500000000000000
FS( 215 ),2044834.840000000083819,2528497.629999999888241,1730537.080000000074506,1930500.079999999841675,1802999.949999999953434,2009718.100000000093132,1634553.419999999925494,13681644.099999999627471
FS( 216 ),1971959.800000000046566,2513066.500000000000000,1719820.919999999925494,1951683.780000000027940,1776628.209999999962747,1986406.199999999720603,1628417.179999999934807,13547985.589999999850988
FS( 217 ),1999383.159999999916181,2534648.500000000000000,1724030.839999999850988,1960157.260000000009313,1803746.320000000065193,1991047.949999999953434,1630230.159999999916181,13643247.189999999478459
FS( 218 ),2029472.679999999934807,2559144.070000000298023,1728049.399999999906868,1959658.819999999832362,1830864.430000000167638,1998165.300000000046566,1633856.120000000111759,13739213.820000000298023
FS( 219 ),2051690.679999999934807,2580941.889999999664724,1735129.719999999972060,1964144.780000000027940,1821659.199999999953434,2006314.149999999906868,1617260.379999999888241,13777143.800000000745058
FS( 220 ),2043438.280000000027940,2563892.110000000335276,1742592.760000000009313,1980094.860000000102445,1832357.170000000158325,1998784.199999999953434,1645710.219999999972060,13806872.600000001490116
FS( 221 ),2004207.640000000363216,2542310.110000000335276,1721734.519999999785796,1967509.249999999767169,1801258.420000000158325,1987747.149999999674037,1619212.819999999832362,13643982.910000002011657
FS( 222 ),1999637.080000000074506,2544252.490000000223517,1727858.040000000037253,1965889.319999999832362,1803497.530000000027940,1968354.949999999720603,1610566.300000000046566,13620058.709999999031425
FS( 223 ),1995955.240000000223517,2543281.299999999813735,1740296.439999999711290,1973365.920000000158325,1795038.670000000158325,1980836.099999999860302,1607777.100000000093132,13636553.769999999552965
FS( 224 ),2028583.960000000195578,2587200.669999999925494,1765364.599999999860302,1989315.999999999767169,1820166.459999999962747,2009305.499999999767169,1613494.959999999962747,13813435.149999998509884
FS( 225 ),2031123.159999999916181,2569287.610000000335276,1760006.519999999785796,1978973.369999999878928,1809219.699999999953434,2003632.250000000000000,1632182.600000000093132,13784428.209999999031425
FS( 226 ),2022109.000000000232831,2576301.760000000707805,1753691.639999999897555,1973988.969999999972060,1808473.330000000074506,2008892.899999999906868,1608056.020000000018626,13751516.619999999180436
FS( 227 ),2029599.640000000363216,2545547.410000000149012,1758858.359999999869615,1979097.979999999981374,1811707.599999999860302,2004870.050000000046566,1604848.439999999944121,13734532.480000000447035
FS( 228 ),2050040.199999999953434,2559467.799999999813735,1762494.199999999720603,1989689.829999999841675,1811956.390000000130385,2012400.000000000000000,1608474.399999999906868,13794525.820000000298023
FS( 229 ),2068322.439999999944121,2595186.010000000707805,1750247.159999999683350,1986076.139999999897555,1817429.770000000018626,2029316.599999999860302,1655472.419999999925494,13902053.540000000968575
FS( 230 ),2073908.679999999934807,2594862.280000000260770,1768617.719999999972060,1987945.290000000037253,1841313.610000000102445,2020548.849999999860302,1668023.819999999832362,13955223.249999998137355
FS( 231 ),2082161.080000000074506,2586229.480000000447035,1816457.719999999972060,1993428.129999999888241,1860221.649999999906868,2051700.149999999906868,1669697.339999999850988,14059898.550000000745058
FS( 232 ),2082795.880000000121072,2593459.450000000186265,1830809.719999999972060,1991434.369999999878928,1839572.080000000074506,2060467.899999999906868,1644594.540000000037253,14043136.940000001341105
FS( 233 ),2057784.760000000242144,2557525.419999999925494,1770914.040000000037253,1982587.059999999823049,1831362.010000000009313,2055929.300000000046566,1551016.879999999888241,13807122.469999998807907
FS( 234 ),2055626.439999999944121,2531842.839999999850988,1767852.279999999795109,1971621.379999999888241,1826137.420000000158325,2046336.349999999860302,1528703.280000000027940,13728122.989999998360872
FS( 235 ),2047374.040000000037253,2550079.629999999888241,1762685.559999999823049,1992555.860000000102445,1849523.680000000167638,2044170.199999999720603,1533863.300000000046566,13780255.269999999552965
FS( 236 ),2013983.560000000055879,2576733.400000000372529,1767278.199999999720603,1990188.270000000018626,1840567.240000000223517,2039837.899999999906868,1527866.520000000018626,13756458.089999999850988
FS( 237 ),2050421.080000000074506,2596265.110000000335276,1821815.799999999813735,2012867.290000000037253,1859972.860000000102445,2058714.350000000093132,1529121.659999999916181,13929181.150000000372529
FS( 238 ),2042295.640000000363216,2596157.200000000186265,1867359.479999999748543,1948070.090000000083819,1857982.540000000270084,2036949.699999999953434,1532189.780000000027940,13881007.429999999701977
FS( 239 ),2026933.480000000214204,2610725.049999999813735,1893958.519999999785796,1956418.959999999962747,1871168.409999999916181,2045820.600000000093132,1538047.100000000093132,13943075.119999999180436
FS( 240 ),2009539.960000000195578,2646335.349999999627471,1908119.159999999683350,1956418.959999999962747,1860221.649999999906868,2039631.599999999860302,1577932.659999999916181,13998202.339999999850988
FS( 241 ),2029853.560000000055879,2687017.419999999925494,1903909.239999999757856,1955422.079999999841675,1873656.310000000055879,2044273.350000000093132,1577095.899999999906868,14071230.860000001266599
FS( 242 ),2014491.399999999906868,2731044.700000000186265,1901421.559999999823049,1952431.439999999944121,1869924.459999999962747,2044376.499999999767169,1572772.639999999897555,14086465.699999999254942
FS( 243 ),2015253.159999999916181,2724354.280000000260770,1909075.959999999962747,1961777.189999999944121,1876890.580000000074506,2007861.399999999906868,1585045.120000000111759,14080260.690000001341105
FS( 244 ),1981481.800000000046566,2756727.280000000260770,1918835.319999999832362,1992306.639999999897555,1864451.080000000074506,2019207.899999999906868,1591320.819999999832362,14124333.840000001713634
FS( 245 ),1947456.519999999785796,2762986.060000000521541,1916347.639999999897555,1981714.790000000037253,1846289.409999999916181,2013637.800000000046566,1596899.219999999972060,14065334.440000001341105
FS( 246 ),1928412.519999999785796,2767410.370000000111759,1906588.279999999795109,1980219.469999999972060,1851265.209999999962747,1991151.099999999860302,1604011.679999999934807,14029061.630000000819564
FS( 247 ),1911399.880000000121072,2744425.540000000037253,1916921.719999999972060,1947197.819999999832362,1822654.360000000102445,1977947.899999999906868,1593970.560000000055879,13914520.779999999329448
FS( 248 ),1944282.519999999785796,2737735.120000000111759,1889939.959999999962747,1910936.309999999823049,1822654.360000000102445,1987747.149999999674037,1599967.339999999850988,13893265.759999999776483
FS( 249 ),1958121.159999999916181,2754784.900000000372529,1875013.879999999888241,1919659.010000000009313,1837332.969999999972060,2006211.000000000000000,1634274.500000000000000,13985400.420000001788139
FS( 250 ),1946059.960000000195578,2743885.990000000223517,1882094.199999999720603,1962524.850000000093132,1837830.550000000279397,2022818.149999999906868,1615586.860000000102445,14010803.560000000521541
FS( 251 ),1956724.600000000093132,2743238.530000000260770,1886686.839999999850988,1952431.439999999944121,1853255.530000000027940,2020239.399999999906868,1618933.899999999906868,14031513.240000000223517
