代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12813222.570000000298023
真實報酬,2813222.570000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9493.051329229327166
風險,205584.132281317695742
起點值,0.046175992397308
找到最佳解世代,2230
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](10),MCD[15](14),V[25](1),VZ[26](5),WMT[28](3),
FS( 196 ),2266901.479999999981374,2128251.000000000000000,2741357.799999999813735,2244211.280000000260770,2243631.280000000260770,11624352.839999999850988
FS( 197 ),2285797.160000000149012,2126862.000000000000000,2758164.399999999441206,2260938.080000000074506,2249712.560000000055879,11681474.200000001117587
FS( 198 ),2287568.630000000353903,2127556.500000000000000,2752562.200000000186265,2294949.240000000223517,2258454.399999999906868,11721090.970000000670552
FS( 199 ),2269853.930000000167638,2103943.500000000000000,2724551.200000000186265,2279895.120000000111759,2245151.600000000093132,11623395.349999999627471
FS( 200 ),2260406.090000000316650,2106953.000000000000000,2721750.099999999627471,2288816.080000000074506,2255793.840000000316650,11633719.109999999403954
FS( 201 ),2253910.700000000186265,2116676.000000000000000,2743225.200000000186265,2279337.560000000521541,2249712.560000000055879,11642862.020000001415610
FS( 202 ),2217890.810000000055879,2074774.500000000000000,2684402.099999999627471,2306658.000000000000000,2344352.479999999981374,11628077.890000000596046
FS( 203 ),2186594.840000000316650,2080098.999999999767169,2629313.799999999813735,2315578.959999999962747,2372858.479999999981374,11584445.080000000074506
FS( 204 ),2200176.109999999869615,2112972.000000000000000,2713346.799999999813735,2304985.320000000298023,2396043.359999999869615,11727523.589999999850988
FS( 205 ),2190728.270000000018626,2114592.500000000000000,2763766.599999999627471,2307773.120000000111759,2422268.879999999888241,11799129.369999997317791
FS( 206 ),2190728.270000000018626,2114592.500000000000000,2763766.599999999627471,2307773.120000000111759,2422268.879999999888241,11799129.369999997317791
FS( 207 ),2230881.590000000316650,2118991.000000000000000,2795512.400000000372529,2307773.120000000111759,2473199.599999999627471,11926357.709999999031425
FS( 208 ),2221433.750000000000000,2107879.000000000000000,2786175.399999999441206,2311118.480000000447035,2482321.520000000018626,11908928.149999998509884
FS( 209 ),2227929.140000000130385,2104406.500000000000000,2807650.500000000000000,2327845.280000000260770,2496384.480000000447035,11964215.900000002235174
FS( 210 ),2216119.340000000316650,2086118.000000000000000,2742291.500000000000000,2309445.799999999813735,2487262.560000000055879,11841237.200000001117587
FS( 211 ),2206671.500000000000000,2068292.500000000000000,2689070.599999999627471,2321712.120000000111759,2501705.599999999627471,11787452.319999998435378
FS( 212 ),2158251.319999999832362,2007407.999999999767169,2619976.799999999813735,2287700.959999999962747,2491443.439999999944121,11564780.519999997690320
FS( 213 ),2174194.550000000279397,1998379.499999999767169,2664794.399999999441206,2304985.320000000298023,2508166.959999999962747,11650520.730000000447035
FS( 214 ),2162384.750000000000000,2015973.500000000000000,2656391.099999999627471,2297179.480000000447035,2489543.040000000037253,11621471.870000001043081
FS( 215 ),2203128.560000000055879,2052550.500000000000000,2716147.899999999441206,2328960.400000000372529,2505886.480000000447035,11806673.839999999850988
FS( 216 ),2193090.229999999981374,2046068.500000000000000,2726418.599999999627471,2321712.120000000111759,2503606.000000000000000,11790895.449999999254942
FS( 217 ),2221433.750000000000000,2031484.000000000000000,2721750.099999999627471,2366316.919999999925494,2592924.799999999813735,11933909.570000000298023
FS( 218 ),2204309.540000000037253,2004630.000000000000000,2716147.899999999441206,2373007.640000000596046,2566699.280000000260770,11864794.359999999403954
FS( 219 ),2220252.770000000018626,2025928.000000000232831,2734821.899999999441206,2394194.919999999925494,2573920.799999999813735,11949118.390000000596046
FS( 220 ),2205490.520000000018626,2036577.000000000000000,2682534.700000000186265,2396982.719999999739230,2549215.599999999627471,11870800.539999999105930
FS( 221 ),2236196.000000000000000,2077089.500000000000000,2718949.000000000000000,2439357.280000000260770,2570500.080000000074506,12042091.860000001266599
FS( 222 ),2246824.819999999832362,2095146.500000000000000,2763766.599999999627471,2428206.080000000074506,2575061.040000000037253,12109005.039999999105930
FS( 223 ),2243281.880000000353903,2089127.499999999767169,2803915.700000000186265,2443260.200000000186265,2589124.000000000000000,12168709.280000001192093
FS( 224 ),2236196.000000000000000,2074311.499999999767169,2832860.399999999441206,2438242.160000000149012,2577341.520000000018626,12158951.579999998211861
FS( 225 ),2230881.590000000316650,2052319.000000000232831,2861805.099999999627471,2414267.080000000074506,2604327.199999999720603,12163599.969999998807907
FS( 226 ),2204900.030000000260770,2028937.500000000000000,2788976.500000000000000,2415939.759999999776483,2573160.640000000130385,12011914.429999999701977
FS( 227 ),2212576.399999999906868,2045373.999999999767169,2916893.399999999441206,2450508.480000000447035,2557957.439999999944121,12183309.719999998807907
FS( 228 ),2207852.479999999981374,2040049.500000000000000,2830993.000000000000000,2433781.679999999701977,2591404.480000000447035,12104081.140000000596046
FS( 229 ),2216709.830000000074506,2062736.499999999767169,2874876.899999999441206,2444375.320000000298023,2606607.680000000167638,12205306.230000000447035
FS( 230 ),2253910.700000000186265,2044911.000000000000000,2881412.799999999813735,2441029.959999999962747,2606987.760000000242144,12228252.220000000670552
FS( 231 ),2260406.090000000316650,2041438.500000000232831,2836595.200000000186265,2451623.599999999627471,2595965.439999999944121,12186028.830000000074506
FS( 232 ),2308826.270000000018626,2049541.000000000000000,2886081.299999999813735,2477828.919999999925494,2649936.799999999813735,12372214.289999999105930
FS( 233 ),2330083.910000000149012,2039123.500000000000000,2956108.799999999813735,2505149.360000000335276,2635873.839999999850988,12466339.410000000149012
FS( 234 ),2337169.790000000037253,2050698.500000000000000,2949572.899999999441206,2506264.480000000447035,2689085.040000000037253,12532790.710000000894070
FS( 235 ),2316502.640000000130385,2067366.500000000000000,2964512.099999999627471,2502919.120000000111759,2701627.680000000167638,12552928.039999999105930
FS( 236 ),2307645.290000000037253,2075700.500000000000000,2924363.000000000000000,2476713.799999999813735,2712269.919999999925494,12496692.509999999776483
FS( 237 ),2302330.880000000353903,2078941.500000000000000,2886081.299999999813735,2494555.719999999739230,2727473.120000000111759,12489382.519999999552965
FS( 238 ),2302330.880000000353903,2089359.000000000000000,2854335.500000000000000,2492325.480000000447035,2740775.919999999925494,12479126.780000001192093
FS( 239 ),2286978.140000000130385,2072691.000000000000000,2818854.900000000372529,2503476.679999999701977,2746477.120000000111759,12428477.839999999850988
FS( 240 ),2262768.050000000279397,2128251.000000000000000,2862738.799999999813735,2490652.799999999813735,2748377.520000000018626,12492788.169999999925494
FS( 241 ),2281663.729999999981374,2136585.000000000000000,2896352.000000000000000,2520761.040000000037253,2781444.480000000447035,12616806.250000000000000
FS( 242 ),2258044.130000000353903,2121769.000000000000000,2968246.899999999441206,2524106.400000000372529,2773842.880000000353903,12646009.310000000521541
FS( 243 ),2294064.020000000018626,2127325.000000000000000,2993456.799999999813735,2545851.240000000223517,2778403.839999999850988,12739100.899999998509884
FS( 244 ),2286387.649999999906868,2134964.500000000000000,2984119.799999999813735,2558675.120000000111759,2768901.839999999850988,12733048.910000000149012
FS( 245 ),2289930.590000000316650,2147465.500000000000000,2927164.099999999627471,2483404.519999999552965,2718731.280000000260770,12566695.989999998360872
FS( 246 ),2274577.850000000093132,2120148.500000000000000,2935567.400000000372529,2480616.719999999739230,2746097.040000000037253,12557007.509999997913837
FS( 247 ),2269853.930000000167638,2059032.500000000000000,2905689.000000000000000,2472810.879999999888241,2730893.839999999850988,12438280.149999998509884
FS( 248 ),2263358.540000000037253,2038660.500000000000000,2862738.799999999813735,2440472.400000000372529,2741916.160000000149012,12347146.400000000372529
FS( 249 ),2273987.359999999869615,2038197.500000000232831,2852468.099999999627471,2437684.599999999627471,2739635.680000000167638,12341973.239999998360872
FS( 250 ),2327721.950000000186265,2060421.500000000000000,2958909.900000000372529,2478944.040000000037253,2800068.399999999906868,12626065.790000000968575
FS( 251 ),2362560.859999999869615,2064820.000000000000000,3013998.200000000186265,2503476.679999999701977,2832375.199999999720603,12777230.939999997615814
FS( 252 ),2395037.810000000055879,2068061.000000000000000,3054147.299999999813735,2506264.480000000447035,2849858.880000000353903,12873369.470000000670552
FS( 253 ),2385589.970000000204891,2068755.500000000000000,3013064.500000000000000,2516858.120000000111759,2828954.480000000447035,12813222.570000000298023
