代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12782620.710000000894070
真實報酬,2782620.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10172.828324528098165
風險,241768.132051093998598
起點值,0.042076795805240
找到最佳解世代,1817
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](13),MRK[17](6),MSFT[18](1),PFE[20](9),V[25](2),
FS( 196 ),2011190.500000000000000,2500800.030000000260770,2651553.200000000186265,2333421.199999999720603,2647306.240000000223517,12144271.169999999925494
FS( 197 ),2039838.180000000167638,2535523.120000000111759,2680036.399999999441206,2357630.000000000000000,2666450.899999999441206,12279478.599999997764826
FS( 198 ),2038495.320000000065193,2505095.669999999925494,2690954.959999999962747,2363682.200000000186265,2670243.709999999962747,12268471.859999999403954
FS( 199 ),2033123.880000000121072,2520846.350000000558794,2661759.679999999701977,2366433.199999999720603,2640262.450000000186265,12222425.559999998658895
FS( 200 ),2063562.040000000037253,2520846.350000000558794,2687157.200000000186265,2393943.199999999720603,2666450.899999999441206,12331959.690000001341105
FS( 201 ),2065800.140000000130385,2505095.669999999925494,2651315.839999999850988,2380188.199999999720603,2662658.089999999850988,12265057.939999999478459
FS( 202 ),2112800.240000000223517,2533733.270000000484288,2695702.160000000149012,2407148.000000000000000,2695529.110000000335276,12444912.780000001192093
FS( 203 ),2088628.760000000009313,2545188.309999999590218,2712080.000000000000000,2424204.200000000186265,2710158.520000000484288,12480259.789999999105930
FS( 204 ),2099819.259999999776483,2533733.270000000484288,2721811.759999999776483,2417051.600000000093132,2693181.180000000633299,12465597.070000000298023
FS( 205 ),2055057.260000000009313,2529079.660000000149012,2716589.839999999850988,2409348.799999999813735,2701669.850000000558794,12411745.410000000149012
FS( 206 ),2045657.240000000223517,2517624.620000000111759,2705433.919999999925494,2403296.600000000093132,2696070.940000000409782,12368083.320000000298023
FS( 207 ),2053714.400000000139698,2531585.450000000186265,2715640.399999999441206,2415401.000000000000000,2709616.690000000409782,12425957.940000001341105
FS( 208 ),2116828.820000000298023,2539460.790000000037253,2714690.959999999962747,2424754.399999999906868,2710880.959999999962747,12506615.929999999701977
FS( 209 ),2079228.740000000223517,2560581.020000000484288,2744123.599999999627471,2435758.400000000372529,2723523.660000000149012,12543215.420000001788139
FS( 210 ),2153086.040000000037253,2568456.360000000335276,2733205.040000000037253,2433007.399999999906868,2703295.339999999850988,12591050.179999999701977
FS( 211 ),2182628.959999999962747,2554853.500000000000000,2733679.759999999776483,2465469.200000000186265,2697877.040000000037253,12634508.460000000894070
FS( 212 ),2154428.900000000372529,2549483.950000000186265,2677188.080000000074506,2459417.000000000000000,2650737.830000000074506,12491255.759999999776483
FS( 213 ),2105190.700000000186265,2542682.520000000484288,2661522.319999999366701,2470971.199999999720603,2625452.430000000633299,12405819.170000001788139
FS( 214 ),2105190.700000000186265,2558075.229999999515712,2631140.240000000223517,2491328.600000000093132,2562780.759999999776483,12348515.529999999329448
FS( 215 ),2083704.939999999944121,2589576.589999999850988,2664608.000000000000000,2501782.399999999906868,2570366.379999999888241,12410038.309999998658895
FS( 216 ),2005371.439999999944121,2521920.259999999776483,2519818.399999999441206,2448963.199999999720603,2447732.190000000409782,11943805.489999998360872
FS( 217 ),1979857.099999999860302,2447462.500000000000000,2513884.399999999441206,2355429.200000000186265,2415403.000000000000000,11712036.199999999254942
FS( 218 ),2008952.400000000139698,2499010.180000000633299,2600758.160000000149012,2408798.600000000093132,2529729.129999999888241,12047248.470000002533197
FS( 219 ),1993285.700000000186265,2486481.229999999515712,2553998.240000000223517,2372485.399999999906868,2478616.500000000000000,11884867.070000000298023
FS( 220 ),2056400.119999999878928,2549483.950000000186265,2634700.639999999664724,2417051.600000000093132,2560071.610000000335276,12217707.920000001788139
FS( 221 ),2054162.020000000018626,2570962.149999999441206,2627817.200000000186265,2452264.399999999906868,2572894.919999999925494,12278100.689999999478459
FS( 222 ),2012980.979999999981374,2584922.979999999515712,2575360.639999999664724,2420903.000000000000000,2515822.160000000149012,12109989.759999997913837
FS( 223 ),1969561.840000000083819,2589934.559999999590218,2579158.399999999441206,2448413.000000000000000,2530090.350000000558794,12117158.149999998509884
FS( 224 ),2014771.459999999962747,2597809.899999999441206,2602182.319999999366701,2441260.399999999906868,2540204.509999999776483,12196228.589999997988343
FS( 225 ),1991942.840000000083819,2580985.309999999590218,2565866.240000000223517,2426405.000000000000000,2512751.790000000037253,12077951.179999999701977
FS( 226 ),1898837.880000000121072,2525141.990000000223517,2428672.160000000149012,2337272.599999999627471,2424975.330000000074506,11614899.959999999031425
FS( 227 ),1983438.060000000288710,2504379.729999999515712,2570613.439999999478459,2388441.199999999720603,2538037.190000000409782,11984909.620000001043081
FS( 228 ),2045209.619999999878928,2520130.410000000149012,2538807.200000000186265,2343875.000000000000000,2487827.610000000335276,11935849.839999999850988
FS( 229 ),2032228.640000000130385,2557717.259999999776483,2464988.240000000223517,2378537.599999999627471,2426239.600000000558794,11859711.339999999850988
FS( 230 ),2137866.959999999962747,2608549.000000000000000,2462139.919999999925494,2359830.799999999813735,2397883.830000000074506,11966270.509999999776483
FS( 231 ),2098476.400000000372529,2635038.780000000260770,2535246.799999999813735,2369184.200000000186265,2489814.320000000298023,12127760.500000000000000
FS( 232 ),2158457.480000000447035,2617498.250000000000000,2514121.759999999776483,2402746.399999999906868,2543636.100000000558794,12236459.990000002086163
FS( 233 ),2108771.660000000149012,2587070.799999999813735,2519818.399999999441206,2362031.600000000093132,2524672.049999999813735,12102364.509999997913837
FS( 234 ),2147266.980000000447035,2617498.250000000000000,2551862.000000000000000,2394493.400000000372529,2525033.270000000484288,12236153.900000002235174
FS( 235 ),2115038.339999999850988,2624299.680000000633299,2556846.559999999590218,2366433.199999999720603,2542913.660000000149012,12205531.439999999478459
FS( 236 ),2180838.480000000447035,2687660.370000000111759,2657487.200000000186265,2442911.000000000000000,2614977.049999999813735,12583874.100000001490116
FS( 237 ),2192924.219999999739230,2701979.169999999925494,2652502.639999999664724,2412650.000000000000000,2623104.500000000000000,12583160.529999999329448
FS( 238 ),2153533.660000000149012,2679785.030000000260770,2600758.160000000149012,2436308.600000000093132,2599625.200000000186265,12470010.650000002235174
FS( 239 ),2088181.140000000130385,2673699.540000000037253,2536670.959999999962747,2426955.200000000186265,2523588.389999999664724,12249095.230000000447035
FS( 240 ),2121305.020000000484288,2670835.780000000260770,2538332.479999999515712,2394493.400000000372529,2523588.389999999664724,12248555.070000000298023
FS( 241 ),2107876.419999999925494,2652221.339999999850988,2491572.559999999590218,2360931.199999999720603,2519434.360000000335276,12132035.879999998956919
FS( 242 ),2153533.660000000149012,2679069.089999999850988,2546402.719999999739230,2377437.200000000186265,2561877.709999999962747,12318320.379999998956919
FS( 243 ),2185762.299999999813735,2722741.430000000633299,2570376.080000000074506,2393943.199999999720603,2531896.450000000186265,12404719.460000000894070
FS( 244 ),2148609.839999999850988,2733122.559999999590218,2483264.959999999962747,2430806.600000000093132,2434005.830000000074506,12229809.789999999105930
FS( 245 ),2121305.020000000484288,2676921.270000000484288,2414193.200000000186265,2395043.600000000093132,2408901.040000000037253,12016364.130000002682209
FS( 246 ),2105190.700000000186265,2677279.240000000223517,2447423.599999999627471,2371385.000000000000000,2427865.089999999850988,12029143.629999998956919
FS( 247 ),2083257.320000000065193,2672983.600000000558794,2446474.160000000149012,2373585.799999999813735,2399870.540000000037253,11976171.420000001788139
FS( 248 ),2123990.740000000223517,2700547.290000000037253,2527176.559999999590218,2384589.800000000279397,2455317.809999999590218,12191622.199999999254942
FS( 249 ),2151743.179999999701977,2732764.589999999850988,2543079.679999999701977,2424754.399999999906868,2454775.979999999515712,12307117.829999998211861
FS( 250 ),2187105.160000000149012,2764623.919999999925494,2637548.959999999962747,2470421.000000000000000,2553569.649999999441206,12613268.689999997615814
FS( 251 ),2135181.240000000223517,2788965.879999999888241,2615474.479999999515712,2503983.199999999720603,2512390.570000000298023,12555995.369999999180436
FS( 252 ),2207248.060000000521541,2840155.589999999850988,2632089.679999999701977,2543597.599999999627471,2559529.780000000260770,12782620.710000000894070
