代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799945.830000001937151
真實報酬,3799945.830000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14929.155159800071488
風險,213149.666146203118842
起點值,0.070040715661079
找到最佳解世代,1999
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](11),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
FS( 196 ),2681857.990000000223517,1941442.129999999888241,2792921.480000000447035,2983203.500000000465661,2653637.280000000260770,13053062.380000002682209
FS( 197 ),2675198.219999999739230,1948568.220000000204891,2826160.919999999925494,2983589.069999999832362,2644532.639999999664724,13078049.070000000298023
FS( 198 ),2664440.129999999888241,1939273.320000000298023,2812221.799999999813735,2997855.160000000149012,2626323.360000000335276,13040113.769999999552965
FS( 199 ),2651120.589999999850988,1937414.340000000083819,2840100.040000000037253,2987059.200000000186265,2648705.599999999627471,13064399.769999999552965
FS( 200 ),2649583.719999999739230,1950117.370000000111759,2817851.060000000521541,2953129.040000000502914,2672605.280000000260770,13043286.470000002533197
FS( 201 ),2662903.259999999776483,1936794.679999999934807,2798550.740000000223517,2967009.560000000055879,2657999.919999999925494,13023258.160000000149012
FS( 202 ),2659317.229999999515712,1937104.510000000242144,2848677.959999999962747,2967395.129999999888241,2674312.400000000372529,13086807.230000000447035
FS( 203 ),2679808.830000000074506,1942371.620000000111759,2894248.160000000149012,2953129.040000000502914,2656103.120000000111759,13125660.769999999552965
FS( 204 ),2673149.060000000521541,1964989.210000000195578,2885938.299999999813735,2912258.620000000111759,2656103.120000000111759,13092438.310000002384186
FS( 205 ),2685956.310000000521541,1998141.020000000018626,2970913.320000000298023,2975106.529999999795109,2705609.599999999627471,13335726.779999999329448
FS( 206 ),2672124.479999999515712,1983269.180000000167638,2938478.060000000521541,3013277.960000000428408,2702954.080000000074506,13310103.760000001639128
FS( 207 ),2442618.560000000521541,1967158.020000000251457,2886474.419999999925494,2964696.140000000130385,2669001.360000000335276,12929948.500000000000000
FS( 208 ),2443130.849999999627471,2008055.580000000074506,2824552.560000000521541,2928838.129999999888241,2588766.719999999739230,12793343.839999999850988
FS( 209 ),2464134.740000000223517,2040897.560000000288710,2843584.820000000298023,2965467.279999999795109,2593698.400000000372529,12907782.800000000745058
FS( 210 ),2500507.330000000074506,2029124.020000000018626,2848946.020000000484288,2989758.190000000409782,2622340.080000000074506,12990675.640000000596046
FS( 211 ),2534830.759999999776483,2020758.610000000102445,2883525.759999999776483,3032556.460000000428408,2635048.639999999664724,13106720.230000000447035
FS( 212 ),2542515.110000000335276,2042756.540000000270084,2896124.580000000074506,3036026.589999999850988,2652119.839999999850988,13169542.660000000149012
FS( 213 ),2525609.540000000037253,2051741.610000000102445,2898537.120000000111759,3065715.480000000447035,2650033.360000000335276,13191637.109999999403954
FS( 214 ),2546101.140000000596046,2062895.489999999990687,2918641.620000000111759,3105043.620000000111759,2660845.120000000111759,13293526.990000002086163
FS( 215 ),2559420.679999999701977,2066303.620000000111759,2934993.280000000260770,3103886.910000000149012,2668432.320000000298023,13333036.810000000521541
FS( 216 ),2568641.900000000372529,2044925.350000000093132,2939818.360000000335276,3133190.230000000447035,2655723.759999999776483,13342299.599999999627471
FS( 217 ),2502556.490000000223517,2047094.159999999916181,2921858.339999999850988,3112755.020000000484288,2650412.719999999739230,13234676.730000000447035
FS( 218 ),2482064.890000000596046,2067233.110000000102445,2900681.599999999627471,3090391.960000000428408,2659517.360000000335276,13199888.920000001788139
FS( 219 ),2465159.320000000298023,2059177.529999999795109,2936869.700000000186265,3090006.390000000130385,2669949.759999999776483,13221162.699999999254942
FS( 220 ),2431348.179999999701977,2087372.060000000288710,2885938.299999999813735,3068028.899999999906868,2654016.639999999664724,13126704.079999998211861
FS( 221 ),2416491.770000000484288,2133226.899999999906868,2885402.179999999701977,3086536.260000000242144,2667863.280000000260770,13189520.390000000596046
FS( 222 ),2412905.740000000223517,2139733.330000000074506,2883793.820000000298023,3074969.160000000149012,2680761.520000000484288,13192163.570000000298023
FS( 223 ),2382168.339999999850988,2174124.459999999962747,2864761.560000000521541,3168662.670000000391155,2673364.000000000000000,13263081.030000001192093
FS( 224 ),2439544.820000000298023,2143141.459999999962747,2840904.219999999739230,3198351.560000000055879,2656292.799999999813735,13278234.859999999403954
FS( 225 ),2410344.290000000037253,2139113.670000000391155,2869854.700000000186265,3186398.890000000130385,2677157.599999999627471,13282869.150000000372529
FS( 226 ),2406758.259999999776483,2136944.859999999869615,2883257.700000000186265,3196809.279999999795109,2695366.879999999888241,13319136.980000000447035
FS( 227 ),2441593.979999999515712,2139113.670000000391155,2905774.740000000223517,3179073.060000000055879,2735199.679999999701977,13400755.130000000819564
FS( 228 ),2476941.990000000223517,2137564.520000000018626,2937941.939999999478459,3186784.460000000428408,2757961.280000000260770,13497194.190000001341105
FS( 229 ),2488212.370000000111759,2126410.640000000130385,2955633.900000000372529,3184085.470000000204891,2754167.679999999701977,13508510.060000000521541
FS( 230 ),2497433.589999999850988,2131987.580000000074506,3002812.459999999962747,3192182.440000000409782,2788879.120000000111759,13613295.190000001341105
FS( 231 ),2471306.799999999813735,2123622.170000000391155,3000936.040000000037253,3138588.210000000428408,2783378.400000000372529,13517831.620000001043081
FS( 232 ),2481040.310000000521541,2125171.320000000298023,3011122.320000000298023,3169433.810000000055879,2786223.599999999627471,13572991.360000001266599
FS( 233 ),2456962.679999999701977,2105342.200000000186265,2994502.599999999627471,3069185.609999999869615,2803484.480000000447035,13429477.570000000298023
FS( 234 ),2444667.719999999739230,2126100.810000000055879,2908187.280000000260770,3081523.850000000093132,2706178.639999999664724,13266658.300000000745058
FS( 235 ),2421102.379999999888241,2149647.890000000130385,2914888.780000000260770,3100031.210000000428408,2740890.080000000074506,13326560.339999999850988
FS( 236 ),2379606.890000000596046,2158632.959999999962747,2900681.599999999627471,3096175.510000000242144,2716231.679999999701977,13251328.640000000596046
FS( 237 ),2371922.540000000037253,2155224.830000000074506,2932044.620000000111759,3165578.109999999869615,2732923.520000000484288,13357693.620000001043081
FS( 238 ),2301738.810000000521541,2140352.990000000223517,2981903.780000000260770,3186013.319999999832362,2759668.400000000372529,13369677.300000000745058
FS( 239 ),2301738.810000000521541,2164519.729999999981374,2994502.599999999627471,3200279.410000000149012,2780153.839999999850988,13441194.390000000596046
FS( 240 ),2334525.370000000111759,2194573.240000000223517,3026669.799999999813735,3218401.200000000186265,2800259.919999999925494,13574429.529999999329448
FS( 241 ),2332988.500000000000000,2168237.690000000409782,3039000.560000000521541,3219172.339999999850988,2804243.200000000186265,13563642.289999999105930
FS( 242 ),2326841.020000000484288,2181870.209999999962747,3006029.179999999701977,3210304.230000000447035,2772756.320000000298023,13497800.960000000894070
FS( 243 ),2361676.740000000223517,2181870.209999999962747,3034711.599999999627471,3287418.230000000447035,2800259.919999999925494,13665936.700000001117587
FS( 244 ),2364238.190000000409782,2168237.690000000409782,2994234.540000000037253,3255415.920000000391155,2796276.639999999664724,13578402.980000000447035
FS( 245 ),2418028.640000000596046,2193024.090000000316650,3044361.759999999776483,3291659.500000000465661,2830798.400000000372529,13777872.390000000596046
FS( 246 ),2390364.979999999515712,2202938.649999999906868,3062857.900000000372529,3298599.760000000242144,2846162.480000000447035,13800923.769999999552965
FS( 247 ),2403172.229999999515712,2193024.090000000316650,3073848.360000000335276,3249246.799999999813735,2828332.560000000521541,13747624.040000000968575
FS( 248 ),2351943.229999999515712,2188996.300000000279397,3067951.040000000037253,3269296.440000000409782,2837247.520000000484288,13715434.530000001192093
FS( 249 ),2341185.140000000596046,2179081.740000000223517,3055352.219999999739230,3227269.310000000055879,2831367.440000000409782,13634255.850000001490116
FS( 250 ),2350406.360000000335276,2191165.109999999869615,3066878.799999999813735,3259657.190000000409782,2845593.440000000409782,13713700.900000002235174
FS( 251 ),2422639.250000000000000,2197981.370000000111759,3065806.560000000521541,3266597.450000000186265,2846921.200000000186265,13799945.830000001937151
