代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13417665.200000001117587
真實報酬,3417665.200000001117587

夏普值報酬,0.333066520000000
夏普值風險,0.093864128675281
夏普值,3.548389834334142

二次趨勢線,20.410381027891866 x^2 + 9839.313078224573474 x + 10000000.000000000000000
二次加權預期報酬,16710.808024281508551
風險,156561.498281776235672
二次加權趨勢值,0.106736382876240
一次趨勢線,13704.513829158073349 x + 10000000.000000000000000
一次預期報酬,13704.513829158073349
一次風險,213821.730433638877003
一次趨勢值,0.064093176130250
找到最佳解世代,1939
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](4),CSCO[4](7),DIS[6](2),DD[7](5),INTC[11](1),MRK[17](9),MSFT[18](3),
FS( 148 ),1734736.420000000391155,1410130.000000000232831,1769672.800000000046566,1815555.740000000223517,1652585.920000000158325,1706429.799999999813735,1688502.620000000111759,11777616.300000000745058
FS( 149 ),1759328.020000000018626,1411359.400000000139698,1789724.649999999906868,1840429.590000000083819,1637568.160000000149012,1718446.899999999906868,1677441.700000000186265,11834301.420000001788139
FS( 150 ),1740269.530000000260770,1396606.600000000093132,1785538.000000000000000,1831265.540000000037253,1639445.380000000121072,1673895.699999999953434,1661701.160000000149012,11728724.910000000149012
FS( 151 ),1734121.630000000353903,1405827.100000000325963,1769232.100000000093132,1846451.679999999934807,1650082.960000000195578,1636672.000000000000000,1677016.280000000260770,11719406.750000000000000
FS( 152 ),1721415.970000000204891,1415047.600000000093132,1798097.949999999720603,1834931.159999999916181,1648205.739999999990687,1607068.899999999906868,1686375.520000000251457,11711145.839999999850988
FS( 153 ),1714243.420000000391155,1415047.600000000093132,1805810.199999999953434,1837287.630000000121072,1645702.780000000027940,1618206.699999999953434,1682121.320000000065193,11718422.650000000372529
FS( 154 ),1735556.140000000130385,1425497.500000000232831,1816166.649999999906868,1868969.059999999823049,1650082.960000000195578,1620551.499999999767169,1700414.380000000121072,11817241.190000001341105
FS( 155 ),1738220.229999999981374,1405212.400000000139698,1808674.750000000000000,1866350.760000000009313,1655088.880000000121072,1634034.099999999860302,1719558.280000000260770,11827142.399999998509884
FS( 156 ),1738630.090000000316650,1402138.900000000139698,1783114.149999999906868,1871849.189999999944121,1647580.000000000000000,1652206.299999999813735,1711900.720000000204891,11807422.349999999627471
FS( 157 ),1723875.130000000353903,1486352.800000000279397,1766147.200000000186265,1812675.610000000102445,1627556.320000000065193,1638137.499999999767169,1684673.840000000083819,11739421.400000000372529
FS( 158 ),1749286.450000000186265,1498032.100000000325963,1771435.599999999860302,1826290.770000000018626,1615667.260000000009313,1637551.299999999813735,1694458.500000000000000,11792724.980000000447035
FS( 159 ),1769984.380000000353903,1496802.700000000186265,1785978.699999999953434,1839644.100000000093132,1629433.540000000037253,1651620.099999999860302,1691055.140000000130385,11864521.660000002011657
FS( 160 ),1770394.240000000223517,1482664.600000000325963,1786860.100000000093132,1854568.409999999916181,1629433.540000000037253,1641361.599999999860302,1688077.200000000186265,11853362.690000001341105
FS( 161 ),1775107.630000000353903,1504793.800000000279397,1811098.599999999860302,1862161.480000000214204,1639445.380000000121072,1658361.399999999906868,1716580.340000000083819,11967551.630000000819564
FS( 162 ),1777771.720000000204891,1498646.800000000046566,1814624.199999999720603,1856139.390000000130385,1636316.679999999934807,1655723.500000000000000,1705944.840000000083819,11945170.130000000819564
FS( 163 ),1797854.860000000335276,1507252.600000000093132,1835998.149999999906868,1889653.630000000121072,1645077.040000000037253,1665102.699999999953434,1706795.679999999934807,12047737.660000000149012
FS( 164 ),1831668.310000000055879,1518931.900000000139698,1845252.849999999860302,1899079.510000000009313,1671358.120000000111759,1661585.499999999767169,1709773.620000000111759,12137652.809999998658895
FS( 165 ),1826749.990000000223517,1525693.600000000093132,1842167.949999999720603,1930499.110000000102445,1681995.699999999953434,1653085.599999999860302,1702116.060000000055879,12162311.009999999776483
FS( 166 ),1860153.580000000074506,1517087.800000000279397,1851643.000000000000000,1956420.280000000027940,1687001.620000000111759,1691188.599999999860302,1716154.920000000391155,12279652.800000000745058
FS( 167 ),1853185.960000000428408,1513399.600000000325963,1851202.300000000046566,1943328.780000000027940,1709528.260000000009313,1695878.199999999953434,1741680.120000000111759,12308206.219999998807907
FS( 168 ),1840480.300000000279397,1523234.800000000279397,1856931.399999999906868,1957991.260000000009313,1705773.820000000065193,1697929.899999999906868,1735298.820000000065193,12317643.300000000745058
FS( 169 ),1866506.410000000149012,1517087.800000000279397,1848337.749999999767169,1961656.880000000121072,1730803.420000000158325,1697343.699999999720603,1714027.820000000065193,12335766.779999999329448
FS( 170 ),1887819.130000000353903,1506023.200000000186265,1856270.349999999860302,1956943.939999999944121,1727048.980000000214204,1697929.899999999906868,1715304.080000000074506,12347342.580000001937151
FS( 171 ),1895196.610000000335276,1518317.200000000186265,1868169.250000000000000,1962180.540000000037253,1730803.420000000158325,1702912.599999999860302,1753166.460000000195578,12430749.080000001937151
FS( 172 ),1889868.430000000167638,1526308.300000000046566,1864423.300000000046566,1981032.299999999813735,1762716.160000000149012,1695585.099999999860302,1764652.800000000046566,12484589.390000000596046
FS( 173 ),1920198.070000000298023,1524464.200000000186265,1883593.750000000000000,1975795.699999999953434,1746446.920000000158325,1698222.999999999767169,1755718.980000000214204,12504443.620000001043081
FS( 174 ),1931469.220000000204891,1536758.200000000186265,1867508.199999999953434,1981817.790000000037253,1767096.340000000083819,1714343.500000000000000,1748912.260000000009313,12547908.509999999776483
FS( 175 ),1923476.950000000186265,1539217.000000000232831,1857812.800000000046566,1971082.760000000009313,1747698.400000000139698,1723722.699999999953434,1738276.760000000009313,12501290.369999999180436
FS( 176 ),1891302.940000000409782,1515858.400000000139698,1824539.949999999953434,1938877.669999999925494,1749575.620000000111759,1708774.599999999860302,1726365.000000000000000,12355297.180000001564622
FS( 177 ),1870605.010000000242144,1518317.200000000186265,1824539.949999999953434,1953801.980000000214204,1869091.960000000195578,1707016.000000000000000,1754017.300000000046566,12497392.400000002235174
FS( 178 ),1889458.570000000298023,1507867.300000000279397,1835557.449999999953434,1950136.360000000102445,1877852.320000000065193,1702033.299999999813735,1765503.640000000130385,12528411.940000001341105
FS( 179 ),1886999.410000000149012,1506023.200000000186265,1832472.549999999813735,1938877.669999999925494,1874097.880000000121072,1701740.199999999953434,1773161.200000000186265,12513375.109999999403954
FS( 180 ),1889048.710000000428408,1514014.300000000046566,1841727.250000000000000,1958253.090000000083819,1872846.400000000139698,1711998.699999999720603,1771884.940000000176951,12559776.389999998733401
FS( 181 ),1882490.950000000186265,1518931.900000000139698,1845913.899999999906868,1941495.970000000204891,1882858.239999999990687,1708774.599999999860302,1765929.060000000055879,12546397.620000001043081
FS( 182 ),1863022.600000000093132,1526308.300000000046566,1824980.649999999906868,1956420.280000000027940,1889741.380000000121072,1726946.799999999813735,1773161.200000000186265,12560584.210000000894070
FS( 183 ),1861383.160000000149012,1518317.200000000186265,1823658.550000000046566,1972130.079999999841675,1891618.600000000093132,1714636.599999999860302,1786349.220000000204891,12568096.410000000149012
FS( 184 ),1850112.010000000242144,1507867.300000000279397,1821895.750000000000000,1950921.850000000093132,1908513.580000000074506,1697636.799999999813735,1776139.140000000130385,12513089.429999999701977
FS( 185 ),1851751.450000000186265,1519546.600000000093132,1848778.450000000186265,1961656.880000000121072,1932291.699999999953434,1725188.199999999953434,1788050.900000000139698,12627267.179999999701977
FS( 186 ),1862817.670000000391155,1515243.700000000186265,1860897.699999999953434,1943328.780000000027940,1926034.300000000046566,1715515.899999999906868,1774862.880000000121072,12598703.930000001564622
FS( 187 ),1884950.110000000335276,1518317.200000000186265,1879627.449999999953434,1924477.020000000018626,1935420.400000000139698,1686205.899999999906868,1797410.140000000130385,12626411.220000002533197
FS( 188 ),1904418.460000000428408,1527537.700000000186265,1889322.849999999860302,1918716.760000000009313,1933543.179999999934807,1695585.099999999860302,1774012.040000000270084,12643139.090000001713634
FS( 189 ),1916509.330000000074506,1541675.800000000046566,1905408.399999999906868,1921858.720000000204891,1938549.100000000093132,1714929.699999999720603,1781244.179999999934807,12720178.229999998584390
FS( 190 ),1915689.610000000335276,1538602.300000000279397,1904747.349999999860302,1921073.230000000214204,1938549.100000000093132,1730757.099999999860302,1782520.440000000176951,12731942.130000000819564
FS( 191 ),1926960.760000000242144,1548437.500000000232831,1913561.350000000093132,1940710.480000000214204,1948560.940000000176951,1735153.599999999860302,1778266.239999999990687,12791653.870000001043081
FS( 192 ),1966717.180000000167638,1550896.300000000279397,1908052.600000000093132,1910338.199999999953434,1941677.800000000046566,1715222.800000000046566,1786349.220000000204891,12779257.100000001490116
FS( 193 ),1954011.520000000018626,1541061.100000000093132,1891967.050000000046566,1901174.149999999906868,1926660.040000000037253,1704964.299999999813735,1777415.400000000139698,12697256.560000000521541
FS( 194 ),1954831.240000000223517,1563805.000000000232831,1921934.649999999906868,1909029.049999999813735,1932917.440000000176951,1716102.099999999860302,1772735.780000000260770,12771358.260000001639128
FS( 195 ),1947658.690000000409782,1563805.000000000232831,1914002.050000000046566,1906148.919999999925494,1956069.820000000065193,1716981.399999999906868,1773586.620000000111759,12778255.500000000000000
FS( 196 ),1951347.430000000167638,1568722.600000000093132,1914663.099999999860302,1923953.360000000102445,1955444.080000000074506,1712877.999999999767169,1790603.420000000391155,12817614.990000000223517
FS( 197 ),1976553.820000000298023,1563805.000000000232831,1911798.550000000046566,1920287.740000000223517,1970461.840000000083819,1705257.399999999906868,1792730.520000000251457,12840897.870000001043081
FS( 198 ),1953396.729999999981374,1577943.100000000325963,1898357.200000000186265,1921858.720000000204891,1984228.120000000111759,1697343.699999999720603,1805918.540000000270084,12839049.110000001266599
FS( 199 ),1942330.510000000242144,1596998.800000000279397,1880729.199999999720603,1941495.970000000204891,2168195.680000000167638,1704378.099999999860302,1875262.000000000000000,13109393.259999999776483
FS( 200 ),1907697.340000000316650,1575484.300000000046566,1873678.000000000000000,1925786.169999999925494,2108750.380000000353903,1688257.599999999860302,1894405.900000000139698,12974062.690000001341105
FS( 201 ),1935157.960000000428408,1592695.900000000139698,1890865.300000000046566,1927357.149999999906868,2108750.380000000353903,1709947.000000000000000,1901212.620000000111759,13065989.310000002384186
FS( 202 ),1925116.390000000130385,1589007.700000000186265,1889322.849999999860302,1933641.069999999832362,2131277.020000000018626,1699981.599999999860302,1907593.920000000391155,13075943.549999998882413
FS( 203 ),1941100.930000000167638,1595154.700000000186265,1899679.299999999813735,1950136.360000000102445,2176956.040000000037253,1712584.899999999906868,1907168.500000000000000,13182783.730000000447035
FS( 204 ),1991718.640000000130385,1578557.800000000279397,1895933.350000000093132,2009309.939999999944121,2158809.580000000074506,1703205.699999999953434,1908870.179999999934807,13246408.189999999478459
FS( 205 ),1988439.760000000242144,1587778.300000000046566,1912679.949999999953434,2007477.130000000121072,2143166.080000000074506,1706136.699999999953434,1888875.440000000176951,13234556.359999999403954
FS( 206 ),2001555.280000000260770,1596384.100000000093132,1900120.000000000000000,2002764.189999999944121,2143166.080000000074506,1704378.099999999860302,1893129.640000000130385,13241500.390000000596046
FS( 207 ),2029220.830000000074506,1593310.600000000325963,1920392.200000000186265,2002240.530000000027940,2141914.600000000093132,1699102.299999999813735,1870582.380000000121072,13256766.440000003203750
FS( 208 ),2016105.310000000055879,1580401.900000000139698,1899458.949999999953434,1993076.480000000214204,2139411.640000000130385,1716981.399999999906868,1867179.020000000251457,13212617.700000001117587
FS( 209 ),2011391.920000000391155,1575484.300000000046566,1921714.299999999813735,1956943.939999999944121,2149423.479999999981374,1702326.399999999906868,1853991.000000000000000,13171278.340000001713634
FS( 210 ),1959134.770000000018626,1550896.300000000279397,1892407.749999999767169,1904316.110000000102445,2120639.439999999944121,1663051.000000000000000,1836123.359999999869615,12926571.730000000447035
FS( 211 ),1969996.060000000055879,1536758.200000000186265,1881390.249999999767169,1900650.490000000223517,2111253.340000000316650,1664809.599999999860302,1823360.760000000009313,12888221.699999999254942
FS( 212 ),1958929.840000000316650,1547208.100000000325963,1922375.349999999860302,1927095.319999999832362,2130651.279999999795109,1672430.199999999953434,1845057.179999999934807,13003750.269999997690320
FS( 213 ),1949298.130000000353903,1534914.100000000093132,1911578.199999999953434,1905363.429999999934807,2053685.260000000009313,1642240.899999999906868,1832720.000000000000000,12829803.020000001415610
FS( 214 ),1946019.250000000000000,1532455.300000000279397,1908052.600000000093132,1920025.909999999916181,2055562.480000000214204,1639309.899999999906868,1818255.720000000204891,12819684.160000002011657
FS( 215 ),1936182.610000000335276,1528152.400000000139698,1884254.800000000046566,1913480.159999999916181,2044924.900000000139698,1630809.999999999767169,1839101.300000000046566,12776909.170000001788139
FS( 216 ),1941510.790000000037253,1538602.300000000279397,1913781.699999999720603,1949350.870000000111759,2039918.980000000214204,1657482.099999999860302,1837825.040000000270084,12878474.780000001192093
FS( 217 ),1967127.040000000037253,1550896.300000000279397,1928104.449999999953434,1931546.429999999934807,2066200.060000000288710,1660706.199999999720603,1837825.040000000270084,12942408.519999999552965
FS( 218 ),1966717.180000000167638,1545978.700000000186265,1921714.299999999813735,1931546.429999999934807,2073083.200000000186265,1671550.899999999906868,1851438.480000000214204,12962032.189999999478459
FS( 219 ),1992743.290000000037253,1549052.200000000186265,1930307.949999999720603,1957467.600000000093132,2133779.979999999981374,1695585.099999999860302,1875262.000000000000000,13134201.119999999180436
FS( 220 ),1998071.470000000204891,1508482.000000000232831,1952563.300000000046566,1943852.439999999944121,2123768.140000000130385,1722843.399999999906868,1883344.980000000214204,13132928.730000002309680
FS( 221 ),2007908.110000000335276,1501720.300000000279397,1967326.750000000000000,1939663.159999999916181,2138160.160000000149012,1717860.699999999953434,1905466.820000000065193,13178109.000000000000000
FS( 222 ),2032089.850000000093132,1514014.300000000046566,1982530.899999999906868,1971868.250000000000000,2153177.919999999925494,1712291.799999999813735,1919080.260000000009313,13285056.279999999329448
FS( 223 ),2060165.260000000242144,1514629.000000000232831,1985175.100000000093132,1979199.490000000223517,2148797.740000000223517,1726653.699999999720603,1928439.500000000000000,13343062.790000000968575
FS( 224 ),2060984.979999999981374,1518931.900000000139698,1979666.350000000093132,1987316.220000000204891,2158809.580000000074506,1743360.399999999674037,1912273.540000000270084,13361345.970000002533197
FS( 225 ),2061189.910000000149012,1529996.500000000232831,1991565.249999999767169,1978937.659999999916181,2199482.680000000167638,1724895.099999999860302,1923759.880000000121072,13409829.980000000447035
FS( 226 ),2076354.729999999981374,1515243.700000000186265,1993989.099999999860302,1980246.809999999823049,2186342.140000000130385,1734274.299999999813735,1920781.940000000176951,13407235.720000000670552
FS( 227 ),2080863.190000000409782,1518317.200000000186265,1991565.249999999767169,1981032.299999999813735,2178207.520000000018626,1750687.899999999674037,1921632.780000000260770,13422309.140000000596046
FS( 228 ),2067542.740000000223517,1525078.900000000139698,1983632.649999999906868,1979984.980000000214204,2177581.779999999795109,1764463.599999999860302,1914826.060000000055879,13413113.710000000894070
FS( 229 ),2092954.060000000055879,1524464.200000000186265,1991344.900000000139698,2000145.890000000130385,2176956.040000000037253,1766808.399999999906868,1908870.179999999934807,13461546.669999999925494
FS( 230 ),2095413.220000000204891,1527537.700000000186265,1988260.000000000000000,2000145.890000000130385,2168195.680000000167638,1758601.599999999860302,1909295.600000000325963,13447452.689999999478459
FS( 231 ),2100536.470000000204891,1536143.500000000000000,1980547.749999999767169,1996742.100000000093132,2185090.660000000149012,1761825.699999999953434,1932693.700000000186265,13493582.879999998956919
FS( 232 ),2116930.870000000111759,1529381.800000000046566,2000819.949999999953434,1996742.100000000093132,2163189.760000000242144,1752446.499999999767169,1918229.420000000391155,13477743.400000000372529
FS( 233 ),2027581.390000000130385,1539217.000000000232831,2003904.849999999860302,2009833.600000000093132,2163189.760000000242144,1772670.399999999674037,1912698.960000000195578,13429098.960000000894070
FS( 234 ),2010777.130000000353903,1531225.900000000139698,1986276.849999999860302,2024234.250000000000000,2184464.919999999925494,1760946.399999999906868,1925461.560000000055879,13423390.010000001639128
FS( 235 ),2028196.180000000167638,1536758.200000000186265,2003904.849999999860302,2043347.840000000083819,2190096.580000000074506,1793187.399999999906868,1953113.859999999869615,13548607.910000000149012
FS( 236 ),2015695.450000000186265,1533684.700000000186265,1995531.550000000046566,2025019.740000000223517,2210746.000000000000000,1789377.099999999860302,1976937.380000000121072,13546994.920000001788139
FS( 237 ),2008113.040000000037253,1528152.400000000139698,1974377.949999999720603,1993338.309999999823049,2184464.919999999925494,1775015.199999999953434,1989274.560000000055879,13452739.380000000819564
FS( 238 ),2069796.970000000204891,1532455.300000000279397,1972615.149999999906868,1989672.689999999944121,2191348.060000000055879,1780877.199999999720603,1992677.920000000391155,13529446.289999999105930
FS( 239 ),2078608.960000000428408,1547822.800000000279397,1982530.899999999906868,1971868.250000000000000,2191348.060000000055879,1761532.599999999860302,1999484.640000000130385,13533199.210000000894070
FS( 240 ),2083322.350000000093132,1546593.400000000139698,1975920.399999999906868,1964013.350000000093132,2166318.459999999962747,1745412.099999999860302,1986722.040000000270084,13468305.100000001490116
FS( 241 ),2082707.560000000055879,1540446.400000000139698,1984954.750000000000000,1977628.510000000009313,2161312.540000000037253,1744532.800000000046566,1967152.720000000204891,13458738.280000001192093
FS( 242 ),2066927.950000000186265,1550281.600000000093132,1989141.399999999906868,1994123.799999999813735,2185716.399999999906868,1758308.500000000000000,1989274.560000000055879,13533777.210000000894070
FS( 243 ),2081682.910000000149012,1549666.900000000139698,1990463.500000000000000,2018997.649999999906868,2188845.100000000093132,1755084.399999999906868,1979064.480000000214204,13563807.940000001341105
FS( 244 ),2085986.440000000409782,1550281.600000000093132,1990683.850000000093132,1998313.079999999841675,2200734.160000000149012,1767687.699999999953434,1985871.200000000186265,13579561.030000001192093
FS( 245 ),2068977.250000000000000,1549052.200000000186265,1993989.099999999860302,1994385.630000000121072,2178833.260000000242144,1772963.500000000000000,2021606.480000000214204,13579810.419999999925494
FS( 246 ),2071026.550000000279397,1534914.100000000093132,1967547.100000000093132,1971082.760000000009313,2171950.120000000111759,1775601.399999999906868,2002037.160000000149012,13494162.189999999478459
FS( 247 ),2103405.490000000223517,1518317.200000000186265,1945952.800000000046566,1968464.460000000195578,2153803.660000000149012,1766808.399999999906868,1980766.160000000149012,13437521.169999999925494
FS( 248 ),2085166.720000000204891,1535528.800000000279397,1971072.699999999953434,1995694.780000000027940,2174453.080000000074506,1769153.199999999953434,2002888.000000000000000,13533960.280000001192093
FS( 249 ),2005653.880000000353903,1508482.000000000232831,1940664.399999999906868,1981032.299999999813735,2136282.939999999944121,1748049.999999999767169,1958644.320000000065193,13278812.840000001713634
FS( 250 ),2064673.720000000204891,1536758.200000000186265,1955427.849999999860302,1997527.590000000083819,2143791.819999999832362,1740722.499999999767169,1974384.859999999869615,13413289.539999999105930
FS( 251 ),2051558.200000000186265,1544134.600000000325963,1957411.000000000000000,1991767.329999999841675,2183839.180000000167638,1741308.699999999720603,1975661.120000000111759,13445683.129999998956919
FS( 252 ),2064673.720000000204891,1547208.100000000325963,1961818.000000000000000,1955372.960000000195578,2178833.260000000242144,1737498.399999999906868,1972257.760000000009313,13417665.200000001117587
