代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15051816.569999998435378
真實報酬,5051816.569999998435378

夏普值報酬,0.496481657000000
夏普值風險,0.112804993692313
夏普值,4.401238285196875

二次趨勢線,-15.922939639298999 x^2 + 23981.254872695346421 x + 10000000.000000000000000
二次加權預期報酬,18641.762446983750124
風險,226222.469802880688803
二次加權趨勢值,0.082404557174304
一次趨勢線,20977.802254211404943 x + 10000000.000000000000000
一次預期報酬,20977.802254211404943
一次風險,252747.167783151293406
一次趨勢值,0.082999158559156
找到最佳解世代,2748
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),HD[9](3),KO[14](7),VZ[26](2),WMT[28](5),
FS( 192 ),3234903.040000000037253,3301674.160000000149012,2389480.910000000149012,2444682.799999999813735,2746725.399999999441206,14117466.309999998658895
FS( 193 ),3277885.440000000409782,3299774.830000000074506,2383978.040000000037253,2462294.000000000000000,2762121.799999999813735,14186054.109999999403954
FS( 194 ),3247610.879999999888241,3306105.929999999701977,2383978.040000000037253,2460092.599999999627471,2775593.649999999441206,14173381.099999997764826
FS( 195 ),3227427.839999999850988,3271284.879999999888241,2368080.859999999403954,2471099.599999999627471,2781367.299999999813735,14119260.479999996721745
FS( 196 ),3197900.799999999813735,3263687.559999999590218,2343012.230000000447035,2458441.549999999813735,2783291.849999999627471,14046333.990000000223517
FS( 197 ),3230044.160000000149012,3297875.500000000000000,2362577.990000000223517,2488160.450000000186265,2816779.020000000484288,14195437.120000001043081
FS( 198 ),3240509.440000000409782,3257356.459999999962747,2338120.790000000037253,2491462.549999999813735,2809080.820000000298023,14136530.060000002384186
FS( 199 ),3240883.200000000186265,3211139.429999999701977,2375418.020000000484288,2512926.199999999254942,2813699.739999999292195,14154066.589999999850988
FS( 200 ),3237145.599999999627471,3223168.519999999552965,2367469.429999999701977,2525584.250000000000000,2804076.989999999292195,14157444.789999999105930
FS( 201 ),3280128.000000000000000,3226334.070000000298023,2371138.009999999776483,2451287.000000000000000,2753268.870000000111759,14082155.949999999254942
FS( 202 ),3226680.320000000298023,3209873.209999999962747,2355240.830000000074506,2448535.250000000000000,2780982.389999999664724,14021312.000000000000000
FS( 203 ),3224064.000000000000000,3226334.070000000298023,2350349.389999999664724,2440830.349999999627471,2765585.989999999292195,14007163.800000000745058
FS( 204 ),3208739.839999999850988,3239629.379999999888241,2343623.660000000149012,2408910.049999999813735,2776748.379999999888241,13977651.309999998658895
FS( 205 ),3070074.879999999888241,3233298.280000000260770,2354629.399999999441206,2406158.299999999813735,2774438.919999999925494,13838599.779999999329448
FS( 206 ),3069701.120000000111759,3349790.519999999552965,2410269.530000000260770,2446884.200000000186265,2835639.610000000335276,14112284.980000000447035
FS( 207 ),3124270.080000000074506,3400439.320000000298023,2446343.899999999441206,2471099.599999999627471,2868356.959999999962747,14310509.859999999403954
FS( 208 ),3176970.240000000223517,3371316.259999999776483,2479972.549999999813735,2473851.349999999627471,2886062.820000000298023,14388173.220000000670552
FS( 209 ),3261066.240000000223517,3303573.490000000223517,2470189.669999999925494,2484308.000000000000000,2864892.770000000484288,14384030.170000001788139
FS( 210 ),3240135.679999999701977,3271917.990000000223517,2476915.399999999441206,2488160.450000000186265,2833715.060000000521541,14310844.580000000074506
FS( 211 ),3245368.320000000298023,3253557.799999999813735,2438395.310000000521541,2455689.799999999813735,2850266.189999999478459,14243277.419999999925494
FS( 212 ),3287603.200000000186265,3310537.700000000186265,2471412.530000000260770,2446884.200000000186265,2869511.689999999478459,14385949.319999998435378
FS( 213 ),3324231.679999999701977,3292177.509999999776483,2465298.230000000447035,2459542.250000000000000,2859119.120000000111759,14400368.789999999105930
FS( 214 ),3315261.440000000409782,3317501.910000000149012,2439006.740000000223517,2447434.549999999813735,2847956.729999999515712,14367161.370000001043081
FS( 215 ),3309655.040000000037253,3342193.200000000186265,2432281.009999999776483,2431474.399999999441206,2860273.849999999627471,14375877.499999998137355
FS( 216 ),3314513.919999999925494,3364985.160000000149012,2422498.129999999888241,2440280.000000000000000,2842567.989999999292195,14384845.199999999254942
FS( 217 ),3319372.799999999813735,3359287.169999999925494,2409046.669999999925494,2454589.099999999627471,2836024.520000000484288,14378320.260000001639128
FS( 218 ),3363850.240000000223517,3344092.530000000260770,2402932.370000000111759,2436427.549999999813735,2825247.040000000037253,14372549.730000000447035
FS( 219 ),3372820.479999999515712,3463750.320000000298023,2407823.810000000521541,2439729.649999999441206,2848726.549999999813735,14532850.809999998658895
FS( 220 ),3368335.360000000335276,3482110.509999999776483,2405989.520000000484288,2432024.750000000000000,2865662.589999999850988,14554122.730000000447035
FS( 221 ),3397862.399999999441206,3565047.919999999925494,2418218.120000000111759,2428172.299999999813735,2777133.290000000037253,14586434.029999997466803
FS( 222 ),3460654.080000000074506,3591638.540000000037253,2416995.259999999776483,2424870.200000000186265,2770974.729999999515712,14665132.809999998658895
FS( 223 ),3551477.759999999776483,3581508.780000000260770,2413326.679999999701977,2405057.599999999627471,2782906.939999999478459,14734277.759999997913837
FS( 224 ),3502888.959999999962747,3565681.030000000260770,2400486.649999999441206,2360479.250000000000000,2749419.770000000484288,14578955.660000000149012
FS( 225 ),3571287.040000000037253,3585940.549999999813735,2370526.580000000074506,2345619.799999999813735,2762506.709999999962747,14635880.679999999701977
FS( 226 ),3538022.399999999441206,3580242.559999999590218,2330172.200000000186265,2325256.849999999627471,2754423.599999999627471,14528117.609999999403954
FS( 227 ),3541386.240000000223517,3606200.070000000298023,2352183.679999999701977,2375889.049999999813735,2775593.649999999441206,14651252.689999997615814
FS( 228 ),3607915.520000000484288,3587839.879999999888241,2333840.780000000260770,2353324.700000000186265,2790605.139999999664724,14673526.019999999552965
FS( 229 ),3603056.640000000596046,3578976.339999999850988,2323446.469999999739230,2348371.549999999813735,2787140.950000000186265,14640991.949999999254942
FS( 230 ),3595955.200000000186265,3598602.750000000000000,2290429.250000000000000,2371486.250000000000000,2800997.709999999962747,14657471.160000000149012
FS( 231 ),3544750.080000000074506,3584674.330000000074506,2270863.490000000223517,2353875.049999999813735,2780982.389999999664724,14535145.339999999850988
FS( 232 ),3551851.520000000484288,3592904.759999999776483,2286760.669999999925494,2363231.000000000000000,2794454.239999999292195,14589202.189999997615814
FS( 233 ),3603804.160000000149012,3595437.200000000186265,2279423.509999999776483,2405057.599999999627471,2829481.049999999813735,14713203.519999999552965
FS( 234 ),3578762.240000000223517,3579609.450000000186265,2293486.399999999441206,2410561.099999999627471,2831020.689999999478459,14693439.879999998956919
FS( 235 ),3610905.599999999627471,3649884.660000000149012,2332617.919999999925494,2429823.349999999627471,2879519.349999999627471,14902750.879999998956919
FS( 236 ),3633331.200000000186265,3625193.370000000111759,2317332.169999999925494,2406158.299999999813735,2841413.259999999776483,14823428.299999998882413
FS( 237 ),3538769.919999999925494,3627725.809999999590218,2302657.849999999627471,2424870.200000000186265,2829481.049999999813735,14723504.829999998211861
FS( 238 ),3527183.360000000335276,3591005.429999999701977,2309383.580000000074506,2434776.500000000000000,2850651.099999999627471,14712999.970000000670552
FS( 239 ),3576145.919999999925494,3611898.059999999590218,2295932.120000000111759,2470549.250000000000000,2851036.009999999776483,14805561.359999999403954
FS( 240 ),3646786.559999999590218,3691036.809999999590218,2344846.520000000484288,2508523.399999999441206,2892221.379999999888241,15083414.669999998062849
FS( 241 ),3690890.240000000223517,3764477.570000000298023,2330783.629999999888241,2450736.650000000372529,2867587.139999999664724,15104475.230000000447035
FS( 242 ),3736488.959999999962747,3729656.519999999552965,2344846.520000000484288,2453488.399999999441206,2847956.729999999515712,15112437.129999998956919
FS( 243 ),3747701.759999999776483,3726490.969999999739230,2361355.129999999888241,2471649.949999999254942,2846417.089999999850988,15153614.899999998509884
FS( 244 ),3748823.040000000037253,3765110.679999999701977,2355240.830000000074506,2491462.549999999813735,2862583.310000000521541,15223220.410000002011657
FS( 245 ),3730508.799999999813735,3753081.589999999850988,2362577.990000000223517,2503570.250000000000000,2877209.889999999664724,15226948.519999999552965
FS( 246 ),3737984.000000000000000,3761945.129999999888241,2325280.759999999776483,2511825.500000000000000,2865662.589999999850988,15202697.980000000447035
FS( 247 ),3688273.919999999925494,3760045.799999999813735,2330783.629999999888241,2514026.899999999441206,2876824.979999999515712,15169955.230000000447035
FS( 248 ),3596328.959999999962747,3780938.429999999701977,2303880.709999999962747,2510724.799999999813735,2858349.299999999813735,15050222.199999999254942
FS( 249 ),3551851.520000000484288,3746117.379999999888241,2308772.149999999441206,2509073.750000000000000,2855654.929999999701977,14971469.730000000447035
FS( 250 ),3637816.320000000298023,3791068.190000000409782,2342400.799999999813735,2518429.700000000186265,2847571.820000000298023,15137286.830000001937151
FS( 251 ),3561943.040000000037253,3822090.580000000074506,2319166.459999999962747,2507973.049999999813735,2840643.439999999478459,15051816.569999998435378
