代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14616033.609999999403954
真實報酬,4616033.609999999403954

夏普值報酬,0.452903361000000
夏普值風險,0.119025124509535
夏普值,3.805107223086474

二次趨勢線,36.989225078649127 x^2 + 10150.273482321599658 x + 10000000.000000000000000
二次加權預期報酬,22553.993625361945305
風險,150863.762070867494913
二次加權趨勢值,0.149499079936554
一次趨勢線,17127.338486321685195 x + 10000000.000000000000000
一次預期報酬,17127.338486321685195
一次風險,302189.588201677892357
一次趨勢值,0.056677460624127
找到最佳解世代,2557
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](4),MSFT[18](2),V[25](3),
FS( 226 ),4508608.600000000558794,3454492.390000000130385,3164825.259999999776483,3114281.560000000055879,14242207.810000000521541
FS( 227 ),4454786.349999999627471,3463433.259999999776483,3170485.199999999720603,3118203.789999999571592,14206908.599999997764826
FS( 228 ),4479148.000000000000000,3481969.209999999962747,3170920.580000000074506,3131177.319999999832362,14263215.109999999403954
FS( 229 ),4541657.350000000558794,3475645.179999999701977,3180498.939999999944121,3130875.609999999869615,14328677.080000000074506
FS( 230 ),4541090.800000000745058,3478916.229999999981374,3222295.420000000391155,3129668.770000000018626,14371971.220000000670552
FS( 231 ),4525982.799999999813735,3488511.310000000055879,3255384.299999999813735,3123332.859999999869615,14393211.269999999552965
FS( 232 ),4538635.750000000000000,3485022.189999999944121,3219247.759999999776483,3134797.840000000316650,14377703.539999999105930
FS( 233 ),4475748.700000000186265,3469539.219999999739230,3204880.220000000204891,3107945.649999999906868,14258113.790000000968575
FS( 234 ),4430802.400000000372529,3450349.060000000055879,3195737.240000000223517,3113074.720000000204891,14189963.420000001788139
FS( 235 ),4462718.049999999813735,3486984.820000000298023,3236662.959999999962747,3154710.700000000186265,14341076.530000001192093
FS( 236 ),4509364.000000000000000,3482841.490000000223517,3220989.280000000260770,3150788.470000000204891,14363983.240000000223517
FS( 237 ),4543545.850000000558794,3522530.229999999981374,3254948.920000000391155,3202682.590000000316650,14523707.589999999850988
FS( 238 ),4543357.000000000000000,3409133.830000000074506,3251465.880000000353903,3204492.849999999627471,14408449.560000000521541
FS( 239 ),4568851.750000000000000,3423744.520000000018626,3274541.019999999552965,3193027.870000000111759,14460165.160000000149012
FS( 240 ),4631172.250000000000000,3423744.520000000018626,3255384.299999999813735,3200570.620000000111759,14510871.690000001341105
FS( 241 ),4702368.700000000186265,3421999.959999999962747,3278894.820000000298023,3177037.239999999757856,14580300.720000000670552
FS( 242 ),4779419.500000000000000,3416766.280000000260770,3272364.120000000111759,3162856.870000000111759,14631406.769999999552965
FS( 243 ),4767710.800000000745058,3433121.530000000260770,3284554.759999999776483,3180356.049999999813735,14665743.140000000596046
FS( 244 ),4824365.800000000745058,3486548.679999999701977,3262785.759999999776483,3180356.049999999813735,14754056.289999999105930
FS( 245 ),4835319.100000000558794,3468012.729999999981374,3231003.019999999552965,3177338.950000000186265,14711673.800000000745058
FS( 246 ),4843061.950000000186265,3465395.890000000130385,3239710.620000000111759,3184881.700000000186265,14733050.160000000149012
FS( 247 ),4802836.900000000372529,3407607.339999999850988,3189641.920000000391155,3108247.359999999869615,14508333.519999999552965
FS( 248 ),4791128.200000000186265,3344148.969999999739230,3189641.920000000391155,3105833.679999999701977,14430752.769999999552965
FS( 249 ),4820966.500000000000000,3359413.870000000111759,3215329.339999999850988,3134496.129999999888241,14530205.839999999850988
FS( 250 ),4801892.650000000372529,3434429.950000000186265,3216200.100000000093132,3155314.120000000111759,14607836.820000000298023
FS( 251 ),4800759.550000000745058,3416766.280000000260770,3243193.659999999683350,3155314.120000000111759,14616033.609999999403954
