代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12137320.910000000149012
真實報酬,2137320.910000000149012

夏普值報酬,0.205032091000000
夏普值風險,0.068141163331429
夏普值,3.008931473663771

二次趨勢線,42.834746877925632 x^2 + -1499.829774438180038 x + 10000000.000000000000000
二次加權預期報酬,12864.088678626209003
風險,132704.552991695527453
二次加權趨勢值,0.096937809507043
一次趨勢線,6579.842420957088507 x + 10000000.000000000000000
一次預期報酬,6579.842420957088507
一次風險,330984.086337312182877
一次趨勢值,0.019879633772638
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),DD[7](2),JNJ[12](12),MCD[15](14),MRK[17](4),MSFT[18](7),
FS( 167 ),1753547.500000000000000,2171094.400000000372529,1749100.060000000288710,1584833.470000000204891,1796006.239999999990687,1716773.029999999795109,10771358.700000001117587
FS( 168 ),1803470.500000000000000,2199383.290000000037253,1760904.460000000195578,1595891.919999999925494,1840724.939999999944121,1726138.829999999841675,10926517.939999999478459
FS( 169 ),1817209.000000000000000,2208926.530000000260770,1740640.240000000223517,1602186.729999999981374,1822149.479999999981374,1772031.250000000000000,10963147.230000000447035
FS( 170 ),1788377.500000000000000,2169049.419999999925494,1707391.180000000167638,1582621.780000000027940,1791534.369999999878928,1708343.809999999823049,10747322.060000000521541
FS( 171 ),1789925.500000000000000,2182341.790000000037253,1704243.340000000316650,1583812.690000000176951,1840724.939999999944121,1702256.040000000037253,10803308.300000000745058
FS( 172 ),1779476.499999999767169,2176888.509999999776483,1717228.180000000167638,1592149.060000000055879,1841412.919999999925494,1677436.669999999925494,10784595.839999999850988
FS( 173 ),1815661.000000000000000,2212675.660000000149012,1746148.960000000195578,1615286.739999999990687,1849668.680000000167638,1694295.109999999869615,10933740.150000000372529
FS( 174 ),1835785.000000000000000,2213357.320000000298023,1771528.420000000391155,1631959.479999999981374,1884067.680000000167638,1712090.129999999888241,11048792.030000001192093
FS( 175 ),1828625.500000000000000,2224945.540000000037253,1791792.640000000130385,1613925.699999999953434,1888195.560000000055879,1723329.089999999850988,11070818.029999999329448
FS( 176 ),1837526.499999999767169,2273343.400000000372529,1829173.240000000223517,1622091.940000000176951,1916058.750000000000000,1740655.820000000065193,11218853.650000002235174
FS( 177 ),1860940.000000000000000,2250848.620000000111759,1818352.540000000270084,1614436.090000000083819,1891979.449999999953434,1754704.519999999785796,11191265.219999998807907
FS( 178 ),1859779.000000000000000,2247440.320000000298023,1821106.900000000139698,1624133.500000000000000,1895419.350000000093132,1761260.579999999841675,11209143.650000000372529
FS( 179 ),1868293.000000000000000,2267208.459999999962747,1825041.700000000186265,1629577.660000000149012,1907115.009999999776483,1761728.869999999878928,11258968.699999999254942
FS( 180 ),1868486.500000000000000,2270616.759999999776483,1813434.040000000270084,1633660.780000000027940,1915714.759999999776483,1752363.070000000065193,11254279.910000000149012
FS( 181 ),1861713.999999999767169,2253916.089999999850988,1803006.820000000298023,1625664.669999999925494,1893355.409999999916181,1756577.679999999701977,11194238.669999999925494
FS( 182 ),1875452.500000000000000,2287999.089999999850988,1817565.580000000074506,1629067.270000000018626,1919842.640000000130385,1767816.639999999897555,11297747.720000000670552
FS( 183 ),1886675.500000000000000,2279478.339999999850988,1800645.940000000176951,1640976.370000000111759,1927410.419999999925494,1778587.309999999823049,11313777.880000000819564
FS( 184 ),1883192.499999999767169,2278796.679999999701977,1792579.600000000093132,1641827.020000000018626,1932570.270000000018626,1765006.899999999906868,11293976.969999998807907
FS( 185 ),1865584.000000000000000,2292089.049999999813735,1792579.600000000093132,1643868.580000000074506,1923282.539999999804422,1757982.549999999813735,11275390.320000000298023
FS( 186 ),1880870.500000000000000,2321400.429999999701977,1792579.600000000093132,1631449.090000000083819,1935666.180000000167638,1754704.519999999785796,11316674.319999998435378
FS( 187 ),1871195.500000000000000,2354460.940000000409782,1797498.100000000093132,1617668.560000000055879,1949081.789999999804422,1772967.829999999841675,11362876.720000000670552
FS( 188 ),1876420.000000000000000,2364345.009999999776483,1812450.340000000316650,1618859.470000000204891,1960433.459999999962747,1794040.879999999888241,11426553.160000000149012
FS( 189 ),1863649.000000000000000,2351052.640000000596046,1801432.900000000139698,1604738.679999999934807,1940826.030000000027940,1769221.510000000009313,11330924.759999999776483
FS( 190 ),1877387.500000000000000,2400813.820000000298023,1836452.620000000344589,1615967.260000000009313,1962841.390000000130385,1798723.779999999795109,11492190.369999999180436
FS( 191 ),1864810.000000000000000,2422626.940000000409782,1821697.120000000344589,1616647.780000000027940,1956649.570000000065193,1784675.079999999841675,11467110.490000000223517
FS( 192 ),1888610.500000000000000,2416151.169999999925494,1827599.320000000298023,1626175.060000000055879,1969721.189999999944121,1786548.239999999757856,11514809.480000000447035
FS( 193 ),1877968.000000000000000,2403199.629999999888241,1836059.140000000130385,1624814.020000000018626,1976944.979999999981374,1774840.989999999757856,11493830.759999999776483
FS( 194 ),1872163.000000000000000,2418536.979999999515712,1838616.760000000242144,1619710.120000000111759,1971785.129999999888241,1771094.669999999925494,11491910.660000000149012
FS( 195 ),1873904.500000000000000,2390929.750000000000000,1839403.720000000204891,1680616.660000000149012,1950113.759999999776483,1780460.469999999972060,11515432.860000001266599
FS( 196 ),1873517.499999999767169,2379682.359999999403954,1841567.860000000102445,1679425.750000000000000,1954241.640000000130385,1792167.719999999972060,11520606.830000000074506
FS( 197 ),1850104.000000000000000,2365708.330000000074506,1829763.460000000195578,1656628.330000000074506,1919154.659999999916181,1774372.699999999953434,11395735.479999998584390
FS( 198 ),1845847.000000000000000,2361277.540000000037253,1826025.400000000139698,1660201.060000000055879,1916058.750000000000000,1765475.189999999944121,11374888.939999999478459
FS( 199 ),1851265.000000000000000,2378319.040000000037253,1848060.280000000260770,1660541.319999999832362,1935322.189999999944121,1781865.339999999850988,11455377.169999999925494
FS( 200 ),1865584.000000000000000,2410697.890000000596046,1848257.020000000251457,1655607.550000000046566,1938762.089999999850988,1852108.839999999850988,11571021.390000000596046
FS( 201 ),1858424.500000000232831,2407971.250000000000000,1841371.120000000344589,1635021.819999999832362,1926034.459999999962747,1838996.719999999972060,11507823.869999999180436
FS( 202 ),1861713.999999999767169,2438645.950000000186265,1851798.340000000316650,1643528.319999999832362,1912274.860000000102445,1888635.459999999729916,11596600.929999999701977
FS( 203 ),1884547.000000000000000,2436941.799999999813735,1887408.280000000260770,1624303.629999999888241,1880283.789999999804422,1880674.529999999795109,11594163.029999999329448
FS( 204 ),1874098.000000000000000,2434555.990000000223517,1873046.260000000242144,1636382.860000000102445,1850012.669999999925494,1896596.389999999897555,11564696.170000001788139
FS( 205 ),1907767.000000000000000,2458073.259999999776483,1915935.580000000074506,1631789.349999999860302,1898515.259999999776483,1889103.750000000000000,11701188.199999999254942
FS( 206 ),1892480.500000000000000,2399109.669999999925494,1909443.160000000149012,1630598.440000000176951,1927066.430000000167638,1863347.799999999813735,11622050.000000000000000
FS( 207 ),1905058.000000000000000,2329239.520000000484288,1913968.180000000167638,1636042.599999999860302,1917090.719999999739230,1843211.329999999841675,11544614.349999999627471
FS( 208 ),1923247.000000000000000,2339464.419999999925494,1917116.020000000251457,1654416.639999999897555,1925690.469999999739230,1887230.589999999850988,11647169.140000000596046
FS( 209 ),1922860.000000000000000,2358550.900000000372529,1932658.480000000214204,1667856.910000000149012,1952865.680000000167638,1919542.600000000093132,11754338.570000000298023
FS( 210 ),1931374.000000000000000,2412742.870000000111759,1926953.020000000251457,1665645.220000000204891,1939106.079999999841675,1939679.070000000065193,11815504.260000001639128
FS( 211 ),1985941.000000000000000,2421945.280000000260770,1932658.480000000214204,1660371.190000000176951,1942201.989999999990687,1936401.040000000037253,11879522.980000000447035
FS( 212 ),1984393.000000000000000,2405585.440000000409782,1933248.700000000186265,1661562.099999999860302,1933602.239999999990687,1920479.179999999701977,11838874.660000000149012
FS( 213 ),1977040.000000000000000,2363322.520000000484288,1936396.540000000270084,1665134.830000000074506,1930506.329999999841675,1867094.119999999878928,11739498.339999999850988
FS( 214 ),1956529.000000000000000,2326512.879999999888241,1925969.320000000298023,1650503.650000000139698,1898515.259999999776483,1863816.089999999850988,11621850.199999999254942
FS( 215 ),1981297.000000000000000,2333329.479999999515712,1929313.900000000139698,1668707.560000000055879,1893355.409999999916181,1864752.669999999925494,11670760.019999999552965
FS( 216 ),1992907.000000000000000,2376955.719999999739230,1946823.760000000242144,1673301.069999999832362,1964217.350000000093132,1895191.519999999785796,11849400.419999999925494
FS( 217 ),1978781.500000000000000,2315265.490000000223517,1899409.420000000391155,1691675.110000000102445,1921218.600000000093132,1843211.329999999841675,11649565.450000001117587
FS( 218 ),1963108.000000000000000,2278796.679999999701977,1905901.840000000316650,1689293.290000000037253,1923626.530000000027940,1836186.979999999981374,11596917.320000000298023
FS( 219 ),1988843.500000000000000,2305381.419999999925494,1911213.820000000298023,1703243.949999999953434,1911586.879999999888241,1834782.109999999869615,11655055.679999999701977
FS( 220 ),1983425.500000000000000,2308789.719999999739230,1951742.260000000242144,1715493.310000000055879,1928098.399999999906868,1861474.639999999897555,11749027.830000001937151
FS( 221 ),1991746.000000000232831,2354120.109999999403954,1942888.960000000195578,1715493.310000000055879,1935322.189999999944121,1891913.489999999757856,11831488.059999998658895
FS( 222 ),1989811.000000000000000,2364685.839999999850988,1947020.500000000000000,1705625.770000000018626,1942545.979999999981374,1873650.179999999701977,11823343.269999999552965
FS( 223 ),1986134.500000000000000,2366049.160000000149012,1967481.460000000195578,1695758.229999999981374,1969377.199999999953434,1870372.149999999906868,11855176.699999999254942
FS( 224 ),2006452.000000000000000,2375592.400000000372529,1971022.780000000260770,1689803.679999999934807,1987264.680000000167638,1872713.600000000093132,11902853.140000000596046
FS( 225 ),2000453.500000000000000,2396383.030000000260770,1971809.740000000223517,1686571.209999999962747,1977976.949999999953434,1858664.899999999906868,11891863.330000000074506
FS( 226 ),2037218.500000000000000,2389907.259999999776483,1966694.500000000000000,1698650.440000000176951,1979008.919999999925494,1866625.829999999841675,11938109.450000001117587
FS( 227 ),2025802.000000000000000,2354120.109999999403954,1963349.920000000391155,1713792.010000000009313,1969033.209999999962747,1868967.279999999795109,11895068.529999999329448
FS( 228 ),2017481.500000000000000,2295497.349999999627471,1993844.620000000344589,1706646.550000000046566,1949769.770000000018626,1913923.119999999878928,11877166.909999998286366
FS( 229 ),2037605.500000000000000,2363663.349999999627471,1987745.680000000167638,1726892.020000000018626,2019943.729999999981374,1897064.679999999701977,12032918.959999999031425
FS( 230 ),2039540.500000000000000,2421945.280000000260770,1992860.920000000391155,1724850.459999999962747,2014439.890000000130385,1891913.489999999757856,12085554.540000000968575
FS( 231 ),2033154.999999999767169,2364345.009999999776483,1977908.680000000167638,1717705.000000000000000,2050902.829999999841675,1873181.889999999897555,12017202.410000000149012
FS( 232 ),2031994.000000000000000,2363322.520000000484288,1953906.400000000139698,1725701.110000000102445,2002744.229999999981374,1858664.899999999906868,11936337.160000002011657
FS( 233 ),2022512.500000000000000,2395701.370000000111759,1967481.460000000195578,1720767.340000000083819,2016847.820000000065193,1846489.359999999869615,11969803.849999999627471
FS( 234 ),2009935.000000000000000,2383772.320000000298023,1957841.200000000186265,1717534.870000000111759,1964561.339999999850988,1829162.629999999888241,11862811.359999999403954
FS( 235 ),2024447.500000000000000,2403540.459999999962747,1985384.800000000046566,1734718.000000000000000,1920874.610000000102445,1846021.070000000065193,11914990.439999999478459
FS( 236 ),2030639.500000000000000,2388543.940000000409782,1977318.460000000195578,1734547.870000000111759,1886131.619999999878928,1856323.449999999953434,11873508.839999999850988
FS( 237 ),2032961.500000000000000,2391611.410000000149012,1985384.800000000046566,1751220.610000000102445,1899203.239999999990687,1851640.549999999813735,11912026.109999999403954
FS( 238 ),2055020.500000000000000,2432851.839999999850988,1977711.940000000176951,1750029.699999999953434,1901955.159999999916181,1871777.019999999785796,11989350.160000000149012
FS( 239 ),2073403.000000000000000,2429443.540000000037253,1987548.940000000176951,1761428.410000000149012,1917778.699999999953434,1892850.070000000065193,12062456.660000000149012
FS( 240 ),2061406.000000000000000,2436600.969999999739230,1984597.840000000316650,1752921.910000000149012,1939106.079999999841675,1884420.850000000093132,12059057.650000000372529
FS( 241 ),2031607.000000000000000,2359573.390000000596046,1981056.520000000251457,1743905.020000000018626,1922594.560000000055879,1854450.290000000037253,11893190.780000001192093
FS( 242 ),2051731.000000000000000,2377296.549999999813735,1978892.380000000121072,1754793.340000000083819,1921906.579999999841675,1865220.959999999729916,11949844.809999998658895
FS( 243 ),2039347.000000000000000,2394678.879999999888241,1980072.820000000298023,1736929.690000000176951,1938418.100000000093132,1861474.639999999897555,11950925.130000000819564
FS( 244 ),1965236.500000000000000,2414106.190000000409782,1972399.960000000195578,1727402.410000000149012,1926378.449999999953434,1858196.609999999869615,11863724.119999999180436
FS( 245 ),1990778.500000000000000,2423990.259999999776483,1989909.820000000298023,1744925.800000000046566,1946329.869999999878928,1889572.040000000037253,11985510.289999999105930
FS( 246 ),1994648.500000000000000,2416151.169999999925494,1986368.500000000000000,1743054.370000000111759,1943233.959999999962747,1877864.790000000037253,11961325.289999999105930
FS( 247 ),2013031.000000000000000,2459777.410000000149012,1986761.980000000214204,1735398.520000000018626,1954241.640000000130385,1878801.369999999878928,12028015.919999999925494
FS( 248 ),2006258.500000000232831,2472047.290000000037253,1983417.400000000139698,1741523.199999999953434,1950113.759999999776483,1882079.399999999906868,12035443.550000000745058
FS( 249 ),1991359.000000000000000,2512946.890000000596046,1973383.660000000149012,1723489.419999999925494,1940138.049999999813735,1873650.179999999701977,12014971.199999999254942
FS( 250 ),2004710.500000000000000,2546689.059999999590218,1982433.700000000186265,1724169.940000000176951,1984856.750000000000000,1889103.750000000000000,12131967.699999999254942
FS( 251 ),1978201.000000000000000,2529647.559999999590218,1996205.500000000000000,1725701.110000000102445,1990360.589999999850988,1917201.149999999906868,12137320.910000000149012
