代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13430596.900000002235174
真實報酬,3430596.900000002235174

夏普值報酬,0.334359690000000
夏普值風險,0.086403737895483
夏普值,3.869736404279775

二次趨勢線,30.020386267978253 x^2 + 4876.145164716921499 x + 10000000.000000000000000
二次加權預期報酬,15023.035723293571209
風險,188734.068307651818031
二次加權趨勢值,0.079598960897747
一次趨勢線,10583.748899488575262 x + 10000000.000000000000000
一次預期報酬,10583.748899488575262
一次風險,286762.189484295086004
一次趨勢值,0.036907755930174
找到最佳解世代,2063
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),V[25](3),VZ[26](2),WMT[28](5),
FS( 226 ),2756124.170000000391155,3486224.849999999627471,3019932.159999999683350,3216450.800000000279397,12478731.980000000447035
FS( 227 ),2765719.600000000093132,3646121.659999999217689,3063143.680000000167638,3197446.800000000279397,12672431.740000000223517
FS( 228 ),2759814.720000000204891,3538745.699999999720603,3042234.879999999888241,3239255.600000000558794,12580050.900000002235174
FS( 229 ),2770886.370000000111759,3593600.809999999590218,3055477.120000000111759,3258259.600000000093132,12678223.900000000372529
FS( 230 ),2817387.300000000279397,3601770.719999999273568,3051295.359999999869615,3258734.700000000651926,12729188.080000000074506
FS( 231 ),2825506.510000000242144,3545748.479999999515712,3064537.600000000093132,3244956.800000000279397,12680749.390000000596046
FS( 232 ),2886031.530000000260770,3607606.369999999646097,3097294.719999999739230,3312421.000000000000000,12903353.620000001043081
FS( 233 ),2912603.490000000223517,3695141.119999999646097,3131445.759999999776483,3294842.299999999813735,13034032.669999998062849
FS( 234 ),2921460.810000000055879,3686971.209999999497086,3132839.680000000167638,3361356.300000000279397,13102628.000000000000000
FS( 235 ),2895626.959999999962747,3705645.289999999571592,3128657.919999999925494,3377034.600000000093132,13106964.769999999552965
FS( 236 ),2884555.310000000055879,3655458.699999999720603,3095900.800000000279397,3390337.400000000372529,13026252.210000000894070
FS( 237 ),2877912.320000000298023,3607606.369999999646097,3118203.520000000018626,3409341.400000000372529,13013063.609999999403954
FS( 238 ),2877912.320000000298023,3567923.949999999720603,3115415.680000000167638,3425969.900000000372529,12987221.849999999627471
FS( 239 ),2858721.459999999962747,3523573.009999999776483,3129354.879999999888241,3433096.400000000372529,12944745.750000000000000
FS( 240 ),2828458.950000000186265,3578428.119999999646097,3113324.800000000279397,3435471.900000000372529,12955683.770000001415610
FS( 241 ),2852078.470000000204891,3620444.799999999348074,3150960.640000000130385,3476805.600000000558794,13100289.510000001639128
FS( 242 ),2822554.070000000298023,3710313.809999999590218,3155142.400000000372529,3467303.600000000558794,13155313.880000002682209
FS( 243 ),2867578.780000000260770,3741826.319999999832362,3182323.839999999850988,3473004.799999999813735,13264733.739999998360872
FS( 244 ),2857983.350000000093132,3730155.019999999552965,3198353.919999999925494,3461127.299999999813735,13247619.589999999850988
FS( 245 ),2862412.010000000242144,3658960.089999999850988,3104264.319999999832362,3398414.100000000558794,13024050.519999999552965
FS( 246 ),2843221.150000000372529,3669464.259999999776483,3100779.520000000018626,3432621.300000000279397,13046086.230000000447035
FS( 247 ),2837316.270000000018626,3632116.099999999627471,3091022.080000000074506,3413617.299999999813735,12974071.750000000000000
FS( 248 ),2829197.060000000055879,3578428.119999999646097,3050598.400000000372529,3427395.200000000186265,12885618.780000001192093
FS( 249 ),2842483.040000000037253,3565589.689999999478459,3047113.600000000093132,3424544.600000000093132,12879730.929999999701977
FS( 250 ),2909651.050000000279397,3698642.509999999776483,3098688.640000000130385,3500085.500000000465661,13207067.700000001117587
FS( 251 ),2953199.540000000037253,3767503.179999999701977,3129354.879999999888241,3540469.000000000000000,13390526.599999999627471
FS( 252 ),2993795.590000000316650,3817689.769999999552965,3132839.680000000167638,3562323.600000000558794,13506648.640000000596046
FS( 253 ),2981985.830000000074506,3766336.049999999813735,3146081.919999999925494,3536193.100000000558794,13430596.900000002235174
