代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13109413.820000000298023
真實報酬,3109413.820000000298023

夏普值報酬,0.302241382000000
夏普值風險,0.090319539686094
夏普值,3.346356536475290

二次趨勢線,86.022282062432637 x^2 + -10357.042078397054865 x + 10000000.000000000000000
二次加權預期報酬,18718.489258705176326
風險,229547.770624192053219
二次加權趨勢值,0.081545071022931
一次趨勢線,5997.880672774675077 x + 10000000.000000000000000
一次預期報酬,5997.880672774675077
一次風險,659861.697045864071697
一次趨勢值,0.009089602714670
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](6),CSCO[4](3),HD[9](4),MCD[15](1),
FS( 226 ),3008014.000000000000000,2683189.280000000260770,3027062.000000000000000,3396306.699999999720603,12114571.980000000447035
FS( 227 ),3059116.000000000000000,2671066.459999999962747,3052224.959999999962747,3369934.919999999925494,12152342.339999999850988
FS( 228 ),3009016.000000000000000,2669719.479999999981374,3057665.600000000093132,3296494.520000000018626,12032895.599999999627471
FS( 229 ),3196891.000000000000000,2671066.459999999962747,3078068.000000000000000,3312517.880000000353903,12258543.340000001713634
FS( 230 ),3182362.000000000000000,2671066.459999999962747,3056985.520000000018626,3310848.780000000260770,12221262.760000001639128
FS( 231 ),3201400.000000000000000,2634698.000000000000000,3051544.879999999888241,3294491.600000000093132,12182134.479999998584390
FS( 232 ),3242482.000000000000000,2634698.000000000000000,3044744.080000000074506,3294491.600000000093132,12216415.679999999701977
FS( 233 ),3267030.999999999534339,2646820.819999999832362,3018901.040000000037253,3306509.120000000111759,12239261.980000000447035
FS( 234 ),3265027.000000000000000,2667025.520000000018626,3024341.679999999701977,3284810.820000000298023,12241205.019999999552965
FS( 235 ),3257512.000000000000000,2667025.520000000018626,3023661.600000000093132,3292154.860000000335276,12240353.980000000447035
FS( 236 ),3290077.000000000000000,2706087.939999999944121,3071947.280000000260770,3338555.840000000316650,12406668.059999998658895
FS( 237 ),3320638.000000000000000,2719557.740000000223517,3073987.520000000018626,3321197.199999999720603,12435380.459999999031425
FS( 238 ),3355708.000000000000000,2720904.720000000204891,3091669.600000000093132,3368599.640000000130385,12536881.960000000894070
FS( 239 ),3411819.999999999534339,2751885.260000000242144,3071947.280000000260770,3339891.120000000111759,12575543.660000000149012
FS( 240 ),3529555.000000000000000,2693965.120000000111759,3078748.080000000074506,3337888.199999999720603,12640156.399999998509884
FS( 241 ),3531558.999999999534339,2680495.319999999832362,3082828.559999999590218,3320529.560000000055879,12615412.439999999478459
FS( 242 ),3597190.000000000000000,2698006.060000000055879,3123633.359999999869615,3326538.320000000298023,12745367.740000000223517
FS( 243 ),3646288.000000000000000,2703393.979999999981374,3132474.399999999906868,3323200.120000000111759,12805356.500000000000000
FS( 244 ),3562119.999999999534339,2681842.300000000279397,3108671.600000000093132,3291821.040000000037253,12644454.940000001341105
FS( 245 ),3594183.999999999534339,2719557.740000000223517,3123633.359999999869615,3313519.340000000316650,12750894.439999999478459
FS( 246 ),3593683.000000000000000,2733027.540000000037253,3176679.600000000093132,3337888.199999999720603,12841278.339999999850988
FS( 247 ),3684865.000000000000000,2742456.399999999906868,3190961.280000000260770,3354579.199999999720603,12972861.879999998956919
FS( 248 ),3671839.000000000465661,2710128.880000000353903,3167158.479999999981374,3360254.140000000130385,12909380.500000001862645
FS( 249 ),3695887.000000000000000,2724945.660000000149012,3193001.520000000018626,3365261.439999999944121,12979095.619999999180436
FS( 250 ),3738973.000000000000000,2712822.840000000316650,3195041.759999999776483,3348904.259999999776483,12995741.859999999403954
FS( 251 ),3763021.000000000000000,2716863.780000000260770,3191641.359999999869615,3350239.540000000037253,13021765.679999999701977
FS( 252 ),3832158.999999999534339,2720904.720000000204891,3212043.759999999776483,3330877.979999999981374,13095985.460000000894070
FS( 253 ),3882258.999999999534339,2677801.359999999869615,3235166.479999999981374,3314186.979999999981374,13109413.820000000298023
