代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15368710.219999998807907
真實報酬,5368710.219999998807907

夏普值報酬,0.528171022000000
夏普值風險,0.123663258288318
夏普值,4.271042420446195

二次趨勢線,12.074017575131478 x^2 + 18245.973407711757318 x + 10000000.000000000000000
二次加權預期報酬,22310.892658006032434
風險,258995.926893201714847
二次加權趨勢值,0.086143797416575
一次趨勢線,20532.481520147670381 x + 10000000.000000000000000
一次預期報酬,20532.481520147670381
一次風險,272948.037632088409737
一次趨勢值,0.075224873196648
找到最佳解世代,2257
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),HD[9](3),MCD[15](8),MRK[17](18),PG[21](10),
FS( 167 ),2771349.750000000000000,2230036.990000000223517,1887204.340000000083819,2023211.260000000009313,2557611.129999999888241,2062288.500000000000000,13531705.969999998807907
FS( 168 ),2738346.750000000000000,2232868.000000000000000,1893025.000000000000000,2022575.140000000130385,2544579.600000000093132,2073399.599999999860302,13504798.089999999850988
FS( 169 ),2771349.750000000000000,2222757.250000000000000,1883970.639999999897555,2000310.940000000176951,2541836.120000000111759,2066328.899999999906868,13486557.599999999627471
FS( 170 ),2759432.000000000000000,2189189.560000000521541,1871035.840000000083819,1985998.239999999990687,2506170.879999999888241,2041413.100000000093132,13353243.619999999180436
FS( 171 ),2802519.250000000000000,2272097.709999999962747,1854220.600000000093132,1996812.280000000027940,2538406.769999999552965,2057911.399999999906868,13521972.009999999776483
FS( 172 ),2808019.750000000000000,2346512.830000000074506,1867802.139999999897555,1981545.399999999906868,2548694.819999999832362,2058584.800000000046566,13611163.740000000223517
FS( 173 ),2763099.000000000000000,2417692.509999999776483,1861334.739999999990687,1954510.300000000279397,2582988.319999999832362,2048820.500000000000000,13628449.370000001043081
FS( 174 ),2757598.500000000000000,2515564.570000000298023,1883323.900000000139698,1968823.000000000000000,2587103.540000000037253,2037709.400000000139698,13750126.910000002011657
FS( 175 ),2775933.500000000000000,2491298.770000000484288,1874269.540000000037253,1966914.640000000130385,2585731.800000000279397,2035015.799999999813735,13729168.050000000745058
FS( 176 ),2752098.000000000000000,2461775.379999999888241,1821236.860000000102445,1982181.520000000018626,2596019.850000000093132,2026935.000000000000000,13640250.609999999403954
FS( 177 ),2720011.750000000000000,2443980.459999999962747,1809595.540000000037253,1992995.560000000055879,2575443.749999999534339,2050167.300000000046566,13592198.360000001266599
FS( 178 ),2758515.250000000000000,2473503.849999999627471,1819296.639999999897555,1990769.140000000130385,2670093.810000000055879,2071379.400000000139698,13783562.089999999850988
FS( 179 ),2742930.500000000000000,2489681.049999999813735,1830291.219999999972060,1992677.500000000000000,2742796.030000000260770,2073399.599999999860302,13871779.900000000372529
FS( 180 ),2697093.000000000000000,2459753.230000000447035,1847753.199999999953434,1980909.280000000027940,2707130.790000000037253,2047810.399999999906868,13740453.900000000372529
FS( 181 ),2816270.500000000000000,2452877.919999999925494,1867802.139999999897555,2019076.479999999981374,2786005.839999999850988,2078113.399999999906868,14020150.279999999329448
FS( 182 ),2773183.250000000000000,2434678.570000000298023,1853573.860000000102445,2004127.659999999916181,2814126.509999999776483,2035352.500000000000000,13915046.349999999627471
FS( 183 ),2724595.500000000000000,2394235.570000000298023,1841932.540000000037253,2010170.800000000279397,2748968.859999999869615,2014813.800000000046566,13734721.070000000298023
FS( 184 ),2589833.250000000000000,2336402.080000000074506,1792780.300000000046566,2016213.940000000176951,2665978.589999999850988,2030638.700000000186265,13431850.859999999403954
FS( 185 ),2659506.250000000000000,2336806.509999999776483,1786312.900000000139698,2006672.140000000130385,2658434.019999999552965,2041413.100000000093132,13489148.919999999925494
FS( 186 ),2697093.000000000000000,2333975.500000000000000,1793427.040000000037253,2029572.460000000195578,2646088.359999999869615,2043433.299999999813735,13543593.660000000149012
FS( 187 ),2722762.000000000000000,2504644.959999999962747,1800541.179999999934807,2027027.979999999981374,2650203.580000000074506,2047473.700000000186265,13752657.399999998509884
FS( 188 ),2610001.750000000000000,2530124.049999999813735,1768204.179999999934807,1998402.580000000074506,2604250.290000000037253,2076766.600000000093132,13587753.449999997392297
FS( 189 ),2515576.500000000000000,2450855.770000000484288,1811535.760000000009313,1985680.180000000167638,2618653.560000000055879,2072389.500000000000000,13454695.270000001415610
FS( 190 ),2550413.000000000000000,2495343.070000000298023,1836111.880000000121072,2032116.940000000176951,2626883.999999999534339,2087204.300000000046566,13628077.190000001341105
FS( 191 ),2565081.000000000000000,2505049.389999999664724,1877503.239999999990687,2036569.780000000027940,2711931.879999999888241,2117844.000000000000000,13813983.289999999105930
FS( 192 ),2609085.000000000000000,2485636.750000000000000,1841285.800000000046566,2074100.859999999869615,2655690.540000000037253,2109426.500000000000000,13775229.449999999254942
FS( 193 ),2515576.500000000000000,2399088.730000000447035,1806361.840000000083819,2037523.960000000195578,2544579.600000000093132,2067339.000000000000000,13370473.630000000819564
FS( 194 ),2559580.500000000000000,2361881.169999999925494,1809595.540000000037253,2015577.820000000065193,2519202.409999999683350,2063972.000000000000000,13329813.439999999478459
FS( 195 ),2542162.250000000000000,2341255.240000000223517,1849046.679999999934807,2001265.120000000111759,2509600.229999999981374,2054207.699999999953434,13297541.219999998807907
FS( 196 ),2569664.750000000000000,2416074.790000000037253,1867155.400000000139698,2021939.020000000018626,2501369.790000000037253,2079460.199999999953434,13455667.949999999254942
FS( 197 ),2554996.750000000000000,2407986.189999999478459,1852927.119999999878928,2011761.100000000093132,2482851.300000000279397,2076429.900000000139698,13386956.360000001266599
FS( 198 ),2601751.000000000000000,2450451.339999999850988,1874916.280000000027940,2028936.340000000083819,2529490.459999999962747,2086194.199999999953434,13571743.620000001043081
FS( 199 ),2624669.750000000000000,2412434.919999999925494,1875563.020000000018626,2022575.140000000130385,2532233.939999999944121,2079460.199999999953434,13546940.969999998807907
FS( 200 ),2664090.000000000000000,2477548.149999999441206,1904019.580000000074506,2035933.660000000149012,2582988.319999999832362,2115487.100000000093132,13780070.810000000521541
FS( 201 ),2653089.000000000000000,2500196.230000000447035,1941530.500000000000000,2043885.160000000149012,2561040.479999999981374,2116160.500000000000000,13815905.870000001043081
FS( 202 ),2657672.750000000000000,2543470.240000000223517,1959639.219999999972060,2050882.480000000214204,2557611.129999999888241,2134342.299999999813735,13903622.120000001043081
FS( 203 ),2641171.250000000000000,2571780.339999999850988,1949938.119999999878928,2059152.040000000037253,2571328.530000000260770,2136362.500000000000000,13929736.780000001192093
FS( 204 ),2624669.750000000000000,2587148.679999999701977,1960932.699999999953434,2060106.219999999972060,2545951.339999999850988,2135352.399999999906868,13914165.089999999850988
FS( 205 ),2580665.750000000000000,2538617.080000000074506,1988742.520000000018626,2063286.820000000298023,2504113.269999999552965,2128281.700000000186265,13803711.140000000596046
FS( 206 ),2628336.750000000000000,2567331.609999999403954,2028193.659999999916181,2075691.160000000149012,2532919.810000000055879,2151177.299999999813735,13983654.289999999105930
FS( 207 ),2645755.000000000000000,2542661.379999999888241,2028193.659999999916181,2047701.879999999888241,2508228.489999999757856,2144780.000000000000000,13917324.410000000149012
FS( 208 ),2679674.750000000000000,2554389.849999999627471,2017845.820000000065193,2030844.700000000186265,2529490.459999999962747,2130638.600000000093132,13942888.180000001564622
FS( 209 ),2737430.000000000000000,2588361.969999999739230,2032720.840000000083819,2034979.479999999981374,2556239.390000000130385,2138382.699999999720603,14088118.379999998956919
FS( 210 ),2735596.500000000000000,2606156.889999999664724,2028193.659999999916181,2037842.019999999785796,2564469.830000000074506,2145116.700000000186265,14117379.600000001490116
FS( 211 ),2741097.000000000000000,2606561.320000000298023,2035307.800000000046566,2023847.380000000121072,2552124.169999999925494,2139729.500000000000000,14098671.169999999925494
FS( 212 ),2759432.000000000000000,2651048.620000000111759,2033367.580000000074506,2017486.180000000167638,2547323.080000000074506,2143769.899999999906868,14152431.360000001266599
FS( 213 ),2867608.500000000000000,2747302.959999999962747,2056650.219999999972060,2025119.620000000111759,2571328.530000000260770,2144443.299999999813735,14412457.130000002682209
FS( 214 ),2869442.000000000000000,2719397.290000000037253,2066998.060000000055879,2071238.320000000298023,2561726.350000000093132,2127608.299999999813735,14416414.320000000298023
FS( 215 ),2920780.000000000000000,2741640.940000000409782,2048889.340000000083819,2070602.199999999953434,2540464.379999999888241,2131312.000000000000000,14453692.859999999403954
FS( 216 ),2944615.499999999534339,2831424.400000000372529,2050829.560000000055879,2065513.239999999990687,2515087.189999999944121,2121547.699999999720603,14529021.589999999850988
FS( 217 ),2952866.250000000000000,2833850.979999999515712,2077992.640000000130385,2074100.859999999869615,2529490.459999999962747,2126934.899999999906868,14595240.089999997988343
FS( 218 ),2967534.249999999534339,2824144.660000000149012,2098688.320000000298023,2084278.780000000027940,2548694.819999999832362,2131985.399999999906868,14655330.230000000447035
FS( 219 ),2931781.000000000000000,2806754.169999999925494,2114210.080000000074506,2097001.180000000400469,2589161.149999999906868,2144780.000000000000000,14683691.580000000074506
FS( 220 ),2939115.000000000000000,2779252.929999999701977,2105155.719999999739230,2101454.020000000018626,2602192.679999999701977,2139056.100000000093132,14666230.449999999254942
FS( 221 ),2935448.000000000465661,2805945.309999999590218,2103215.500000000000000,2111313.879999999888241,2611794.859999999869615,2155217.700000000186265,14722939.250000000000000
FS( 222 ),2941865.250000000465661,2866205.379999999888241,2095454.619999999878928,2120855.680000000167638,2637172.050000000279397,2145790.100000000093132,14807347.080000001937151
FS( 223 ),2910695.750000000000000,2860138.929999999701977,2092867.659999999916181,2116084.780000000260770,2610423.120000000111759,2149493.800000000279397,14739708.040000002831221
FS( 224 ),2943698.750000000000000,2908266.099999999627471,2112916.600000000093132,2131351.660000000149012,2626883.999999999534339,2150840.600000000093132,14873961.709999999031425
FS( 225 ),2990452.999999999534339,2919185.709999999962747,2107742.680000000167638,2142165.699999999720603,2640601.399999999906868,2172726.100000000093132,14972878.589999997988343
FS( 226 ),3004204.250000000465661,2924847.729999999515712,2090280.699999999953434,2124672.399999999906868,2606993.769999999552965,2141749.700000000186265,14892752.550000000745058
FS( 227 ),2968451.000000000465661,2931723.040000000037253,2109682.899999999906868,2127853.000000000465661,2591218.759999999776483,2142086.399999999906868,14871019.100000001490116
FS( 228 ),3024372.750000000000000,2935767.339999999850988,2118090.520000000018626,2139303.160000000149012,2567213.310000000055879,2144443.299999999813735,14929194.379999998956919
FS( 229 ),3043624.500000000465661,2997240.700000000186265,2108389.419999999925494,2133260.020000000018626,2598763.330000000074506,2145790.100000000093132,15027072.070000000298023
FS( 230 ),3088545.250000000000000,2973783.759999999776483,2114210.080000000074506,2138667.040000000037253,2582988.319999999832362,2143433.199999999720603,15041631.649999998509884
FS( 231 ),3077544.250000000000000,2936576.200000000186265,2092220.920000000158325,2122127.919999999925494,2561726.350000000093132,2130301.899999999906868,14920501.539999999105930
FS( 232 ),3090378.750000000000000,2951944.540000000037253,2094161.140000000130385,2149481.080000000074506,2586417.669999999925494,2133332.200000000186265,15005719.379999998956919
FS( 233 ),3123381.750000000000000,2913523.690000000409782,2112269.859999999869615,2163793.780000000260770,2564469.830000000074506,2146800.199999999720603,15024243.110000001266599
FS( 234 ),3137133.000000000000000,2926465.450000000186265,2105155.719999999739230,2156796.459999999962747,2554867.649999999906868,2124914.700000000186265,15005336.980000000447035
FS( 235 ),3150884.249999999534339,2915950.269999999552965,2109036.160000000149012,2153297.800000000279397,2523317.629999999888241,2104376.000000000000000,14956866.109999999403954
FS( 236 ),3142633.500000000000000,2923230.009999999776483,2132318.799999999813735,2187012.160000000149012,2522631.759999999776483,2106396.200000000186265,15014226.429999999701977
FS( 237 ),3166469.000000000000000,2928892.030000000260770,2150427.520000000018626,2184467.680000000167638,2535663.290000000037253,2112120.100000000093132,15078043.619999999180436
FS( 238 ),3172886.250000000000000,2908670.530000000260770,2165302.540000000037253,2179696.780000000260770,2527432.850000000093132,2111110.000000000000000,15065102.950000001117587
FS( 239 ),3174719.750000000465661,2879147.139999999664724,2220922.180000000167638,2192101.120000000111759,2517144.800000000279397,2121211.000000000000000,15105249.990000002086163
FS( 240 ),3217807.000000000000000,2899773.070000000298023,2262313.540000000037253,2208004.120000000111759,2483537.169999999925494,2127608.299999999813735,15199047.199999999254942
FS( 241 ),3259977.500000000000000,2915545.839999999850988,2272661.379999999888241,2199734.560000000055879,2471877.379999999888241,2121211.000000000000000,15241011.660000000149012
FS( 242 ),3239809.000000000465661,2862969.940000000409782,2264253.759999999776483,2195599.780000000260770,2449243.669999999925494,2116160.500000000000000,15128040.650000000372529
FS( 243 ),3236141.999999999534339,2869845.250000000000000,2274601.600000000093132,2223907.120000000111759,2462275.199999999720603,2128618.399999999906868,15195393.569999998435378
FS( 244 ),3203139.000000000000000,2888044.599999999627471,2275248.339999999850988,2237265.640000000130385,2473249.120000000111759,2127608.299999999813735,15204559.000000000000000
FS( 245 ),3394739.750000000000000,2999262.849999999627471,2281069.000000000000000,2237901.760000000242144,2382714.280000000260770,2142423.100000000093132,15438114.740000000223517
FS( 246 ),3490081.750000000000000,3057096.339999999850988,2310172.299999999813735,2259211.780000000260770,2316184.890000000130385,2141076.300000000279397,15573827.360000003129244
FS( 247 ),3546920.250000000000000,3038492.559999999590218,2353503.879999999888241,2263028.500000000465661,2432096.919999999925494,2139392.799999999813735,15773438.910000000149012
FS( 248 ),3529502.000000000000000,3006542.589999999850988,2359971.280000000260770,2258893.719999999739230,2400546.899999999906868,2152860.799999999813735,15708321.289999999105930
FS( 249 ),3431409.750000000000000,2931318.610000000335276,2282362.479999999981374,2243308.780000000260770,2364881.659999999683350,2124914.700000000186265,15378199.980000000447035
FS( 250 ),3425909.249999999534339,2926869.879999999888241,2275895.080000000074506,2237265.640000000130385,2370368.620000000111759,2126934.899999999906868,15363247.369999999180436
FS( 251 ),3518501.000000000465661,2984298.940000000409782,2299824.459999999962747,2274796.719999999739230,2417693.649999999906868,2094275.000000000000000,15589393.770000001415610
FS( 252 ),3419491.999999999534339,2929296.459999999962747,2278482.040000000037253,2245217.140000000130385,2403290.379999999888241,2092928.199999999953434,15368710.219999998807907
