代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14297277.810000000521541
真實報酬,4297277.810000000521541

夏普值報酬,0.421027781000000
夏普值風險,0.107715172279936
夏普值,3.908713805941920

二次趨勢線,42.798093944985077 x^2 + 6206.078971165252369 x + 10000000.000000000000000
二次加權預期報酬,20557.706474050242832
風險,174030.018269057298312
二次加權趨勢值,0.118127359167814
一次趨勢線,14278.837534410315129 x + 10000000.000000000000000
一次預期報酬,14278.837534410315129
一次風險,349383.941821963235270
一次趨勢值,0.040868614224080
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](8),BA[2](1),DD[7](11),MMM[16](3),NKE[19](2),UNH[23](9),
FS( 167 ),1298479.000000000000000,2402488.880000000353903,2013336.519999999785796,2185464.160000000149012,2254329.799999999813735,2262629.290000000037253,12416731.649999998509884
FS( 168 ),1315196.679999999934807,2429508.080000000074506,2060065.149999999906868,2182695.759999999776483,2265263.079999999608845,2234794.990000000223517,12487527.740000000223517
FS( 169 ),1334700.640000000130385,2420501.680000000167638,2074842.580000000074506,2176420.719999999739230,2268679.729999999981374,2268196.150000000372529,12543345.500000000000000
FS( 170 ),1322759.439999999944121,2410144.320000000298023,2050879.180000000167638,2168669.200000000186265,2273463.040000000037253,2265103.450000000186265,12491022.629999998956919
FS( 171 ),1322162.380000000121072,2396184.400000000372529,2064059.050000000046566,2174759.679999999701977,2242713.189999999944121,2255206.809999999590218,12455089.509999997913837
FS( 172 ),1310818.239999999990687,2383125.120000000111759,2099205.370000000111759,2190447.280000000260770,2257063.120000000111759,2263247.830000000074506,12503910.960000000894070
FS( 173 ),1292110.360000000102445,2371641.959999999962747,2163507.160000000149012,2183618.559999999590218,2265946.409999999683350,2255516.080000000074506,12532344.529999999329448
FS( 174 ),1328929.059999999823049,2347099.520000000018626,2131555.959999999962747,2184910.479999999515712,2272779.709999999962747,2238815.500000000000000,12504094.230000000447035
FS( 175 ),1392018.399999999906868,2391906.360000000335276,2154321.189999999478459,2190262.719999999739230,2248863.159999999683350,2268505.419999999925494,12645881.249999998137355
FS( 176 ),1417293.939999999944121,2345298.240000000223517,2147132.169999999925494,2170883.919999999925494,2198296.740000000223517,2241908.200000000186265,12520817.210000000894070
FS( 177 ),1415701.780000000027940,2313100.360000000335276,2113184.019999999552965,2138216.799999999813735,2169596.879999999888241,2208197.770000000484288,12358001.609999999403954
FS( 178 ),1428240.040000000037253,2329762.200000000186265,2098007.200000000186265,2139139.599999999627471,2175063.519999999552965,2209125.580000000074506,12379342.139999998733401
FS( 179 ),1443564.580000000074506,2357907.200000000186265,2083229.769999999785796,2133787.360000000335276,2210596.680000000167638,2217785.139999999664724,12446874.730000000447035
FS( 180 ),1424657.679999999934807,2355880.760000000242144,2101601.709999999962747,2130280.719999999739230,2208546.689999999944121,2240980.389999999664724,12461951.949999999254942
FS( 181 ),1428439.059999999823049,2339669.240000000223517,2112385.240000000223517,2093368.719999999972060,2191463.439999999944121,2222114.919999999925494,12387444.619999999180436
FS( 182 ),1430031.219999999972060,2367363.920000000391155,2115180.969999999739230,2116438.719999999739230,2216063.319999999832362,2225826.160000000149012,12470908.310000000521541
FS( 183 ),1424458.659999999916181,2375019.360000000335276,2203446.160000000149012,2111455.599999999627471,2193513.430000000167638,2243454.549999999813735,12551351.760000001639128
FS( 184 ),1430031.219999999972060,2376145.160000000149012,2198254.089999999850988,2110163.679999999701977,2183946.810000000055879,2238506.229999999515712,12537051.189999997615814
FS( 185 ),1389232.119999999878928,2323908.040000000037253,2136348.639999999664724,2080634.080000000074506,2146363.659999999683350,2211909.009999999776483,12288399.549999998882413
FS( 186 ),1395799.780000000027940,2325259.000000000000000,2129958.400000000372529,2085617.199999999953434,2165496.899999999906868,2212527.549999999813735,12314662.830000001937151
FS( 187 ),1397989.000000000000000,2362635.560000000521541,2133952.299999999813735,2091523.119999999878928,2168913.549999999813735,2240361.849999999627471,12395379.380000000819564
FS( 188 ),1385251.719999999972060,2339894.400000000372529,2127162.669999999925494,2096321.679999999934807,2146363.659999999683350,2218712.950000000186265,12313711.079999998211861
FS( 189 ),1389232.119999999878928,2364436.840000000316650,2129559.009999999776483,2089677.520000000018626,2196930.079999999608845,2244073.089999999850988,12413912.660000000149012
FS( 190 ),1417891.000000000000000,2395058.600000000093132,2148729.729999999515712,2114224.000000000000000,2225629.939999999944121,2268505.419999999925494,12570042.689999999478459
FS( 191 ),1408139.020000000018626,2401363.080000000074506,2184674.830000000074506,2120129.919999999925494,2233829.899999999906868,2289845.049999999813735,12637985.800000000745058
FS( 192 ),1416497.860000000102445,2388303.799999999813735,2193062.019999999552965,2123267.440000000409782,2220163.299999999813735,2290463.589999999850988,12631762.009999999776483
FS( 193 ),1439186.140000000130385,2413521.720000000204891,2207440.060000000521541,2154642.639999999664724,2234513.229999999981374,2296339.719999999739230,12745647.510000001639128
FS( 194 ),1406347.839999999850988,2435587.400000000372529,2274138.189999999478459,2170330.240000000223517,2283029.659999999683350,2308091.979999999515712,12877529.309999998658895
FS( 195 ),1329924.159999999916181,2459454.360000000335276,2266549.780000000260770,2191000.959999999962747,2309679.529999999795109,2325101.830000000074506,12881714.620000001043081
FS( 196 ),1344054.580000000074506,2472288.479999999981374,2210235.790000000037253,2181588.400000000372529,2326079.449999999720603,2311493.950000000186265,12845744.649999998509884
FS( 197 ),1321764.339999999850988,2506737.959999999962747,2267747.950000000186265,2188970.799999999813735,2320612.810000000055879,2303452.929999999701977,12909290.789999999105930
FS( 198 ),1279771.119999999878928,2604457.400000000372529,2263754.049999999813735,2200598.080000000074506,2330179.430000000167638,2323246.209999999962747,13002010.289999999105930
FS( 199 ),1294697.619999999878928,2636880.439999999944121,2258561.979999999515712,2213517.280000000260770,2334279.409999999683350,2298195.339999999850988,13036136.070000000298023
FS( 200 ),1321167.280000000027940,2665926.080000000074506,2324061.939999999478459,2238617.440000000409782,2373912.549999999813735,2258918.049999999813735,13182607.339999999850988
FS( 201 ),1342860.459999999962747,2680336.320000000298023,2309683.900000000372529,2243785.120000000111759,2374595.879999999888241,2190878.650000000372529,13142144.330000000074506
FS( 202 ),1328929.059999999823049,2626072.760000000242144,2258162.589999999850988,2214993.759999999776483,2370495.899999999906868,2182528.359999999403954,12981186.429999999701977
FS( 203 ),1395003.700000000186265,2645886.840000000316650,2231802.850000000558794,2235295.360000000335276,2356829.299999999813735,2221187.109999999403954,13086009.160000000149012
FS( 204 ),1390625.260000000009313,2679435.680000000167638,2224613.830000000074506,2229574.000000000000000,2372545.889999999664724,2236650.609999999403954,13133449.269999999552965
FS( 205 ),1369131.100000000093132,2668402.840000000316650,2266949.169999999925494,2218500.400000000372529,2354779.310000000055879,2226135.429999999701977,13103902.250000001862645
FS( 206 ),1382465.439999999944121,2687991.760000000242144,2274537.580000000074506,2226990.160000000149012,2403295.740000000223517,2231702.290000000037253,13206986.970000002533197
FS( 207 ),1372514.439999999944121,2673581.520000000018626,2219421.759999999776483,2218869.519999999552965,2516045.189999999944121,2226444.700000000186265,13226881.129999998956919
FS( 208 ),1355597.739999999990687,2645661.680000000167638,2184275.439999999478459,2203920.160000000149012,2481878.689999999944121,2214692.440000000409782,13086030.149999998509884
FS( 209 ),1387440.939999999944121,2651290.680000000167638,2179083.370000000111759,2207795.919999999925494,2474362.060000000055879,2244691.629999999888241,13144668.600000001490116
FS( 210 ),1392018.399999999906868,2653317.120000000111759,2201049.820000000298023,2200044.400000000372529,2456595.479999999981374,2244382.359999999403954,13147411.580000000074506
FS( 211 ),1374504.640000000130385,2594775.520000000018626,2205043.719999999739230,2188048.000000000000000,2447712.189999999944121,2242836.009999999776483,13052924.080000000074506
FS( 212 ),1373310.520000000018626,2638906.880000000353903,2274537.580000000074506,2203735.599999999627471,2464795.439999999944121,2257371.700000000186265,13212661.719999998807907
FS( 213 ),1386843.880000000121072,2627423.720000000204891,2238193.089999999850988,2190631.839999999850988,2437462.240000000223517,2232011.559999999590218,13112570.330000001937151
FS( 214 ),1367538.939999999944121,2599278.720000000204891,2191065.070000000298023,2162394.160000000149012,2401245.750000000000000,2210671.929999999701977,12932198.570000000298023
FS( 215 ),1383460.540000000037253,2577438.200000000186265,2213830.299999999813735,2169961.120000000111759,2422428.979999999981374,2207579.229999999515712,12974702.370000001043081
FS( 216 ),1392217.420000000158325,2677184.080000000074506,2297702.200000000186265,2202628.240000000223517,2509211.889999999664724,2287989.429999999701977,13366937.260000001639128
FS( 217 ),1401173.320000000065193,2656469.360000000335276,2336043.639999999664724,2228097.519999999552965,2509895.219999999739230,2296958.259999999776483,13428641.319999998435378
FS( 218 ),1410328.239999999990687,2689793.040000000037253,2321665.600000000558794,2240647.599999999627471,2530395.120000000111759,2310875.410000000149012,13503709.010000001639128
FS( 219 ),1417891.000000000000000,2660972.560000000521541,2299699.150000000372529,2211487.120000000111759,2518095.180000000167638,2284587.459999999962747,13392736.470000002533197
FS( 220 ),1424856.700000000186265,2709607.120000000111759,2339238.759999999776483,2232157.839999999850988,2546111.709999999962747,2325411.099999999627471,13577387.229999998584390
FS( 221 ),1434409.659999999916181,2753513.320000000298023,2354016.189999999478459,2263163.919999999925494,2546795.040000000037253,2207269.959999999962747,13559172.089999999850988
FS( 222 ),1446947.920000000158325,2758692.000000000000000,2349622.900000000372529,2267224.240000000223517,2594628.139999999664724,2126550.490000000223517,13543669.689999999478459
FS( 223 ),1482373.480000000214204,2735050.200000000186265,2352418.629999999888241,2274791.200000000186265,2600094.779999999795109,2109231.370000000111759,13553963.660000000149012
FS( 224 ),1478194.059999999823049,2757791.360000000335276,2363202.160000000149012,2284942.000000000000000,2595311.469999999739230,2129643.190000000409782,13609088.240000002086163
FS( 225 ),1492523.500000000000000,2905046.000000000465661,2334046.689999999478459,2273868.400000000372529,2581644.870000000111759,2103355.240000000223517,13690488.700000001117587
FS( 226 ),1512425.500000000000000,2904145.359999999869615,2310482.679999999701977,2279220.639999999664724,2580278.209999999962747,2090984.439999999944121,13677540.830000000074506
FS( 227 ),1495508.800000000046566,2953905.720000000204891,2247778.450000000186265,2296384.719999999739230,2586428.180000000167638,2091293.710000000195578,13671303.580000001937151
FS( 228 ),1506653.920000000158325,2924409.760000000242144,2224613.830000000074506,2305612.719999999739230,2580278.209999999962747,2070263.349999999860302,13611835.790000000968575
FS( 229 ),1469039.140000000130385,2919456.240000000223517,2244183.939999999478459,2312256.879999999888241,2593944.810000000055879,2105520.129999999888241,13644405.140000000596046
FS( 230 ),1492523.500000000000000,2919906.560000000521541,2233001.019999999552965,2303213.440000000409782,2601461.439999999944121,2103355.240000000223517,13653465.199999999254942
FS( 231 ),1486154.860000000102445,2938369.680000000167638,2244982.719999999739230,2322776.799999999813735,2588478.169999999925494,2111086.990000000223517,13691853.219999998807907
FS( 232 ),1478592.100000000093132,2995335.160000000149012,2215427.860000000335276,2323699.599999999627471,2598728.120000000111759,2122529.979999999515712,13734316.820000000298023
FS( 233 ),1497698.020000000018626,2989931.319999999832362,2184275.439999999478459,2331451.120000000111759,2609661.399999999906868,2132426.620000000111759,13745447.919999998062849
FS( 234 ),1493916.640000000130385,3007493.799999999813735,2202247.990000000223517,2327759.919999999925494,2637677.930000000167638,2125313.410000000149012,13794413.689999999478459
FS( 235 ),1481179.360000000102445,2996686.120000000111759,2233001.019999999552965,2346400.479999999515712,2622644.669999999925494,2173868.799999999813735,13853784.449999999254942
FS( 236 ),1457097.939999999944121,2961110.839999999850988,2199452.259999999776483,2333112.160000000149012,2586428.180000000167638,2157477.490000000223517,13694682.869999999180436
FS( 237 ),1480184.260000000009313,3005692.520000000484288,2256165.639999999664724,2362272.639999999664724,2634944.609999999869615,2180363.469999999739230,13919627.139999996870756
FS( 238 ),1475805.820000000065193,2984077.160000000149012,2255766.250000000000000,2361534.400000000372529,2636311.269999999552965,2180363.469999999739230,13893862.370000001043081
FS( 239 ),1478592.100000000093132,2979573.960000000428408,2237394.310000000521541,2369101.360000000335276,2626744.649999999906868,2163353.620000000111759,13854764.000000000000000
FS( 240 ),1480383.280000000027940,2998487.399999999906868,2252171.740000000223517,2373346.240000000223517,2659544.490000000223517,2196136.240000000223517,13960073.390000000596046
FS( 241 ),1501678.420000000158325,3041718.120000000111759,2280927.820000000298023,2395493.439999999478459,2686877.689999999944121,2209434.849999999627471,14116134.339999999850988
FS( 242 ),1492722.520000000018626,3064008.960000000428408,2288116.839999999850988,2396600.799999999813735,2706694.259999999776483,2222733.459999999962747,14170880.839999999850988
FS( 243 ),1474611.700000000186265,3115345.440000000409782,2267747.950000000186265,2401768.479999999515712,2684827.699999999720603,2216857.330000000074506,14161162.599999999627471
FS( 244 ),1477198.959999999962747,3084273.359999999869615,2258162.589999999850988,2400292.000000000000000,2658861.159999999683350,2214692.440000000409782,14093484.510000001639128
FS( 245 ),1464262.659999999916181,2982275.879999999888241,2233001.019999999552965,2384235.280000000260770,2659544.490000000223517,2226135.429999999701977,13949458.759999999776483
FS( 246 ),1481776.420000000158325,2993083.560000000521541,2254168.689999999478459,2405828.799999999813735,2668427.779999999795109,2254897.540000000037253,14058186.789999999105930
FS( 247 ),1477995.040000000037253,3061532.200000000186265,2255766.250000000000000,2418194.320000000298023,2695077.649999999906868,2280566.950000000186265,14189136.410000000149012
FS( 248 ),1489140.159999999916181,2994659.680000000167638,2218622.979999999515712,2422070.080000000074506,2703960.939999999944121,2290772.859999999403954,14119230.699999997392297
FS( 249 ),1516604.920000000158325,3034738.160000000149012,2206241.889999999664724,2439049.599999999627471,2719677.529999999795109,2304690.009999999776483,14221006.109999999403954
FS( 250 ),1552229.500000000000000,3033387.200000000186265,2223815.049999999813735,2463965.200000000186265,2710794.240000000223517,2299741.690000000409782,14283936.879999998956919
FS( 251 ),1581087.399999999906868,3022804.680000000167638,2221818.100000000558794,2464149.759999999776483,2703960.939999999944121,2303452.929999999701977,14297277.810000000521541
