代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13640188.580000000074506
真實報酬,3640188.580000000074506

夏普值報酬,0.355318858000000
夏普值風險,0.095406063722761
夏普值,3.724279612169251

二次趨勢線,52.839530044090658 x^2 + 695.971512773674363 x + 10000000.000000000000000
二次加權預期報酬,18485.279960950865643
風險,134192.880135728890309
二次加權趨勢值,0.137751570293849
一次趨勢線,10702.418277598560962 x + 10000000.000000000000000
一次預期報酬,10702.418277598560962
一次風險,400186.162244890350848
一次趨勢值,0.026743599072897
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),MCD[15](1),MMM[16](4),MSFT[18](2),V[25](5),
FS( 193 ),2777673.399999999441206,2439774.650000000372529,2236790.870000000111759,2439022.160000000149012,2353425.650000000372529,12246686.730000000447035
FS( 194 ),2792836.530000000260770,2444519.810000000521541,2228378.120000000111759,2436901.280000000260770,2349081.299999999813735,12251717.040000002831221
FS( 195 ),2806198.099999999627471,2446553.450000000186265,2220638.390000000596046,2440436.080000000540167,2351125.700000000186265,12264951.720000002533197
FS( 196 ),2750199.610000000335276,2449264.969999999739230,2205831.950000000186265,2449980.040000000037253,2357514.450000000186265,12212791.019999999552965
FS( 197 ),2761609.489999999292195,2444011.400000000372529,2207065.820000000298023,2419934.239999999757856,2353681.200000000186265,12186302.149999998509884
FS( 198 ),2751250.519999999552965,2463500.450000000186265,2205046.759999999776483,2417106.399999999906868,2369780.849999999627471,12206684.979999998584390
FS( 199 ),2738339.339999999850988,2479091.690000000409782,2216936.780000000260770,2418873.800000000279397,2382558.349999999627471,12235799.960000000894070
FS( 200 ),2742993.369999999180436,2496208.160000000149012,2220077.540000000037253,2453514.839999999850988,2380513.950000000186265,12293307.859999999403954
FS( 201 ),2684142.410000000149012,2481294.799999999813735,2185641.350000000558794,2385293.200000000186265,2344992.500000000000000,12081364.260000001639128
FS( 202 ),2663424.469999999739230,2491463.000000000000000,2190128.150000000372529,2393423.239999999757856,2343714.750000000000000,12082153.609999999403954
FS( 203 ),2713868.149999999441206,2510782.580000000074506,2196409.669999999925494,2392716.280000000260770,2363392.099999999627471,12177168.779999999329448
FS( 204 ),2757555.979999999515712,2511460.459999999962747,2226807.740000000223517,2419580.760000000242144,2384602.750000000000000,12300007.689999999478459
FS( 205 ),2754853.639999999664724,2505190.070000000298023,2218058.479999999515712,2427710.800000000279397,2398658.000000000000000,12304470.990000000223517
FS( 206 ),2781276.519999999552965,2533661.030000000260770,2215366.400000000372529,2430892.120000000111759,2422935.250000000000000,12384131.320000000298023
FS( 207 ),2808600.179999999701977,2538406.190000000409782,2238361.250000000000000,2460937.920000000391155,2428812.900000000372529,12475118.440000001341105
FS( 208 ),2801393.939999999478459,2539761.950000000186265,2251036.459999999962747,2472956.239999999757856,2419357.549999999813735,12484506.140000000596046
FS( 209 ),2805747.709999999962747,2540948.240000000223517,2270890.549999999813735,2488862.839999999850988,2420635.299999999813735,12527084.640000000596046
FS( 210 ),2817007.459999999962747,2557217.359999999403954,2293661.059999999590218,2468714.480000000447035,2433668.349999999627471,12570268.709999999031425
FS( 211 ),2812353.429999999701977,2582637.859999999403954,2292315.019999999552965,2477904.959999999962747,2438012.700000000186265,12603223.969999998807907
FS( 212 ),2856041.259999999776483,2605516.310000000521541,2318674.969999999739230,2536582.640000000130385,2457178.950000000186265,12773994.129999998956919
FS( 213 ),2836824.619999999180436,2589416.660000000149012,2313290.809999999590218,2554963.600000000093132,2467400.950000000186265,12761896.640000000596046
FS( 214 ),2803796.019999999552965,2562979.339999999850988,2304205.040000000037253,2563447.120000000111759,2447979.150000000372529,12682406.669999999925494
FS( 215 ),2824063.569999999366701,2575011.709999999962747,2299718.240000000223517,2558851.880000000353903,2455645.650000000372529,12713291.050000000745058
FS( 216 ),2851537.360000000335276,2566368.740000000223517,2310150.049999999813735,2543298.760000000242144,2455645.650000000372529,12727000.560000000521541
FS( 217 ),2853038.660000000149012,2567216.089999999850988,2321254.879999999888241,2485681.520000000018626,2416546.500000000000000,12643737.650000000372529
FS( 218 ),2852588.269999999552965,2516205.620000000111759,2326414.700000000186265,2466593.600000000093132,2389458.200000000186265,12551260.390000000596046
FS( 219 ),2868952.439999999478459,2539084.070000000298023,2345707.940000000409782,2497346.360000000335276,2429835.099999999627471,12680925.910000000149012
FS( 220 ),2888319.209999999962747,2553658.490000000223517,2355803.240000000223517,2483914.120000000111759,2435968.299999999813735,12717663.359999999403954
FS( 221 ),2934409.119999999180436,2561962.519999999552965,2370161.000000000000000,2470835.360000000335276,2406580.049999999813735,12743948.050000000745058
FS( 222 ),2949271.989999999292195,2575859.060000000521541,2392034.150000000372529,2474370.160000000149012,2406580.049999999813735,12798115.410000000149012
FS( 223 ),2988906.309999999590218,2595348.109999999403954,2393380.190000000409782,2505122.920000000391155,2422424.150000000372529,12905181.679999999701977
FS( 224 ),2977646.559999999590218,2611108.820000000298023,2393380.190000000409782,2471188.839999999850988,2411946.599999999627471,12865271.009999999776483
FS( 225 ),2990257.479999999515712,2605346.839999999850988,2387771.690000000409782,2483914.120000000111759,2416035.400000000372529,12883325.529999999329448
FS( 226 ),2994310.989999999292195,2623480.129999999888241,2380592.809999999590218,2483560.640000000130385,2400957.950000000186265,12882902.519999999552965
FS( 227 ),3036197.259999999776483,2620768.609999999403954,2388220.370000000111759,2517141.239999999757856,2442612.599999999627471,13004940.079999998211861
FS( 228 ),3002418.009999999776483,2609244.650000000372529,2384967.440000000409782,2493104.600000000093132,2433412.799999999813735,12923147.500000000000000
FS( 229 ),2986053.839999999850988,2605177.370000000111759,2353223.330000000074506,2446445.239999999757856,2425235.200000000186265,12816134.980000000447035
FS( 230 ),2997013.330000000074506,2615006.629999999888241,2362645.610000000335276,2467300.560000000055879,2459223.349999999627471,12901189.480000000447035
FS( 231 ),2964585.250000000000000,2595178.639999999664724,2331574.519999999552965,2420994.680000000167638,2412968.799999999813735,12725301.890000000596046
FS( 232 ),2968939.019999999552965,2595687.049999999813735,2335388.299999999813735,2436547.800000000279397,2396613.599999999627471,12733175.769999999552965
FS( 233 ),2981549.939999999478459,2584502.030000000260770,2353784.180000000633299,2409683.320000000298023,2385624.950000000186265,12715144.420000001788139
FS( 234 ),3029891.799999999813735,2594161.820000000298023,2352998.990000000223517,2441850.000000000000000,2402491.250000000000000,12821393.859999999403954
FS( 235 ),3024937.509999999776483,2594500.759999999776483,2333481.410000000149012,2423822.520000000018626,2383069.450000000186265,12759811.649999998509884
FS( 236 ),3038299.080000000074506,2648392.219999999739230,2351092.100000000558794,2455282.239999999757856,2400191.299999999813735,12893256.940000001341105
FS( 237 ),3062169.750000000000000,2635681.969999999739230,2361187.400000000372529,2473663.200000000186265,2430090.650000000372529,12962792.970000000670552
FS( 238 ),3096849.780000000260770,2625344.299999999813735,2351877.290000000037253,2474016.680000000167638,2438268.250000000000000,12986356.300000000745058
FS( 239 ),3099401.989999999292195,2653645.790000000037253,2370273.169999999925494,2515020.360000000335276,2457945.600000000558794,13096286.910000000149012
FS( 240 ),3096249.259999999776483,2627547.410000000149012,2367917.600000000558794,2536936.120000000111759,2451812.399999999441206,13080462.789999999105930
FS( 241 ),3130478.899999999441206,2631614.690000000409782,2375545.160000000149012,2572637.600000000093132,2477111.850000000558794,13187388.199999999254942
FS( 242 ),3137835.269999999552965,2631275.750000000000000,2374535.629999999888241,2592785.959999999962747,2474556.349999999627471,13210988.959999999031425
FS( 243 ),3126425.389999999664724,2609244.650000000372529,2370385.339999999850988,2591018.560000000055879,2493722.599999999627471,13190796.539999999105930
FS( 244 ),3166059.709999999962747,2608058.359999999403954,2379246.769999999552965,2610813.439999999944121,2510844.450000000186265,13275022.730000000447035
FS( 245 ),3157051.910000000149012,2613481.400000000372529,2383172.719999999739230,2623538.720000000204891,2507266.750000000000000,13284511.500000000000000
FS( 246 ),3184976.089999999850988,2608566.769999999552965,2368702.790000000037253,2608339.080000000540167,2545343.700000000186265,13315928.429999999701977
FS( 247 ),3185576.610000000335276,2573486.479999999515712,2355691.070000000298023,2601622.959999999962747,2565021.049999999813735,13281398.170000001788139
FS( 248 ),3189780.250000000000000,2695843.820000000298023,2236678.700000000186265,2622478.280000000260770,2555310.149999999441206,13300091.199999999254942
FS( 249 ),3504903.119999999180436,2652459.500000000000000,2232640.580000000074506,2617529.560000000055879,2577287.450000000186265,13584820.210000000894070
FS( 250 ),3618251.269999999552965,2659916.179999999701977,2244081.919999999925494,2586069.839999999850988,2544577.049999999813735,13652896.259999997913837
FS( 251 ),3622304.780000000260770,2641274.479999999515712,2240380.309999999590218,2581828.080000000540167,2533843.950000000186265,13619631.600000001490116
FS( 252 ),3640170.250000000000000,2629242.109999999403954,2256644.959999999962747,2569809.760000000242144,2544321.500000000000000,13640188.580000000074506
