代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13869999.679999999701977
真實報酬,3869999.679999999701977

夏普值報酬,0.378299968000000
夏普值風險,0.094192693687375
夏普值,4.016234733190398

二次趨勢線,31.165633240868658 x^2 + 6550.372520179334060 x + 10000000.000000000000000
二次加權預期報酬,17042.802377938449354
風險,240085.486394684761763
二次加權趨勢值,0.070986391696836
一次趨勢線,12452.341172371898210 x + 10000000.000000000000000
一次預期報酬,12452.341172371898210
一次風險,327245.553979490709025
一次趨勢值,0.038051979686032
找到最佳解世代,1699
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MRK[17](6),MSFT[18](2),NKE[19](3),V[25](1),
FS( 226 ),2507049.880000000353903,3706376.480000000447035,3661436.290000000502914,3428754.600000000093132,13303617.250000001862645
FS( 227 ),2486683.560000000055879,3640783.140000000596046,3602404.030000000260770,3385685.410000000149012,13115556.140000000596046
FS( 228 ),2538382.680000000167638,3562679.730000000447035,3558832.599999999627471,3283907.379999999888241,12943802.390000000596046
FS( 229 ),2579898.640000000596046,3586685.540000000037253,3603341.049999999813735,3290163.240000000223517,13060088.470000000670552
FS( 230 ),2565015.560000000055879,3593447.740000000223517,3632857.180000000633299,3326495.350000000093132,13117815.830000000074506
FS( 231 ),2554440.740000000223517,3637063.929999999701977,3684861.790000000502914,3342616.219999999739230,13218982.679999999701977
FS( 232 ),2582248.600000000558794,3652955.100000000558794,3689078.379999999888241,3364271.120000000111759,13288553.200000002980232
FS( 233 ),2593606.740000000223517,3655998.089999999850988,3725153.650000000372529,3361624.410000000149012,13336382.890000000596046
FS( 234 ),2607706.500000000000000,3681356.339999999850988,3772941.670000000391155,3375339.180000000167638,13437343.689999999478459
FS( 235 ),2612014.760000000242144,3701981.049999999813735,3771536.140000000130385,3384963.580000000074506,13470495.530000001192093
FS( 236 ),2584990.220000000204891,3708067.030000000260770,3807142.900000000372529,3368842.709999999962747,13469042.859999999403954
FS( 237 ),2587731.839999999850988,3685413.660000000149012,3782311.870000000111759,3362105.629999999888241,13417563.000000000000000
FS( 238 ),2613189.740000000223517,3658702.969999999739230,3755138.290000000502914,3373654.910000000149012,13400685.910000000149012
FS( 239 ),2603006.580000000074506,3704347.820000000298023,3754669.780000000260770,3386888.459999999962747,13448912.640000000596046
FS( 240 ),2638647.640000000596046,3640106.919999999925494,3727964.709999999962747,3366677.219999999739230,13373396.489999998360872
FS( 241 ),2696613.319999999832362,3639430.700000000186265,3750453.189999999944121,3384241.750000000000000,13470738.959999999031425
FS( 242 ),2704838.180000000167638,3637402.040000000037253,3736397.890000000130385,3400603.230000000447035,13479241.340000001713634
FS( 243 ),2748312.440000000409782,3613396.230000000447035,3850245.820000000298023,3391219.439999999944121,13603173.930000001564622
FS( 244 ),2709146.440000000409782,3583304.440000000409782,3886321.090000000316650,3369564.540000000037253,13548336.510000001639128
FS( 245 ),2704054.860000000335276,3619820.320000000298023,3871797.280000000260770,3396031.639999999664724,13591704.100000001490116
FS( 246 ),2701313.240000000223517,3636725.820000000298023,3884447.049999999813735,3419130.200000000186265,13641616.309999998658895
FS( 247 ),2704054.860000000335276,3665127.060000000521541,3862895.590000000316650,3469658.299999999813735,13701735.810000002384186
FS( 248 ),2702096.560000000055879,3705700.259999999776483,3872265.790000000502914,3498531.500000000000000,13778594.110000001266599
FS( 249 ),2687996.799999999813735,3728015.520000000484288,3868986.220000000204891,3493719.299999999813735,13778717.839999999850988
FS( 250 ),2695046.680000000167638,3787522.879999999888241,3878824.930000000633299,3537750.930000000167638,13899145.420000001788139
FS( 251 ),2684471.860000000335276,3785156.110000000335276,3813702.040000000502914,3530773.240000000223517,13814103.250000001862645
FS( 252 ),2686430.160000000149012,3798004.290000000037253,3851182.840000000316650,3534382.389999999664724,13869999.679999999701977
