代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12987385.629999998956919
真實報酬,2987385.629999998956919

夏普值報酬,0.290038563000000
夏普值風險,0.075919353534111
夏普值,3.820350799874535

二次趨勢線,24.408303489078111 x^2 + 5495.895558249175338 x + 10000000.000000000000000
二次加權預期報酬,13713.357732905484227
風險,155309.027964332402917
二次加權趨勢值,0.088297234955684
一次趨勢線,10118.199906515497787 x + 10000000.000000000000000
一次預期報酬,10118.199906515497787
一次風險,233347.897770930110710
一次趨勢值,0.043361007333557
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](13),CAT[3](2),DD[7](1),INTC[11](10),MRK[17](4),MSFT[18](8),UNH[23](16),WBA[27](5),
FS( 132 ),1494979.100000000093132,1264593.650000000139698,1459962.610000000102445,1252084.200000000186265,1240971.859999999869615,1399751.840000000083819,1438379.000000000000000,1540145.759999999776483,11090868.019999999552965
FS( 133 ),1482232.220000000204891,1267151.300000000046566,1480349.899999999906868,1263547.300000000046566,1257386.659999999916181,1458582.920000000158325,1471240.670000000158325,1528396.900000000139698,11208887.870000001043081
FS( 134 ),1458132.649999999906868,1258575.650000000139698,1458109.219999999972060,1253647.350000000093132,1253556.540000000037253,1432605.560000000055879,1460147.239999999990687,1512050.660000000149012,11086824.869999999180436
FS( 135 ),1481236.370000000111759,1267452.199999999953434,1495706.560000000055879,1255210.500000000000000,1280367.379999999888241,1443302.120000000111759,1475636.179999999934807,1524821.160000000149012,11223732.470000000670552
FS( 136 ),1476854.630000000121072,1266098.150000000139698,1495441.790000000037253,1259378.900000000139698,1285838.979999999981374,1436043.740000000223517,1475636.179999999934807,1518435.910000000149012,11213728.280000001192093
FS( 137 ),1479643.010000000242144,1261584.650000000139698,1483262.370000000111759,1272926.199999999953434,1301980.200000000186265,1427257.280000000027940,1464124.129999999888241,1519202.139999999897555,11209979.980000000447035
FS( 138 ),1481435.540000000037253,1266850.400000000139698,1493058.860000000102445,1281784.050000000046566,1295140.700000000186265,1457818.879999999888241,1486310.989999999990687,1547552.650000000139698,11309952.070000000298023
FS( 139 ),1502746.730000000214204,1260230.600000000325963,1512122.300000000046566,1270842.000000000000000,1308272.540000000037253,1452470.600000000093132,1495311.319999999832362,1535548.379999999888241,11337544.470000002533197
FS( 140 ),1493784.080000000074506,1259929.699999999953434,1516888.160000000149012,1277615.650000000139698,1315112.040000000037253,1445594.240000000223517,1504311.650000000139698,1539634.939999999944121,11352870.460000000894070
FS( 141 ),1475659.610000000102445,1264443.200000000186265,1503384.890000000130385,1281784.050000000046566,1313470.559999999823049,1421144.960000000195578,1500334.760000000009313,1535548.379999999888241,11295770.410000000149012
FS( 142 ),1478248.820000000065193,1258876.550000000279397,1497030.410000000149012,1286994.550000000046566,1315112.040000000037253,1403572.040000000037253,1498869.589999999850988,1496470.650000000139698,11235174.650000000372529
FS( 143 ),1465302.770000000018626,1243982.000000000232831,1480349.899999999906868,1279699.850000000093132,1316753.520000000018626,1416560.719999999972060,1506614.060000000055879,1517158.859999999869615,11226421.679999999701977
FS( 144 ),1482829.730000000214204,1235556.800000000279397,1494382.709999999962747,1314610.199999999953434,1330158.939999999944121,1428785.360000000102445,1526079.889999999897555,1538868.709999999962747,11351272.339999999850988
FS( 145 ),1479045.500000000232831,1246991.000000000000000,1495441.790000000037253,1243747.400000000139698,1338913.500000000000000,1435279.699999999953434,1543452.619999999878928,1545253.959999999962747,11328125.469999998807907
FS( 146 ),1490199.020000000018626,1269859.400000000139698,1470818.179999999934807,1237494.800000000046566,1358611.259999999776483,1437953.840000000083819,1550359.849999999860302,1529673.949999999953434,11344970.299999998882413
FS( 147 ),1517684.480000000214204,1269257.600000000093132,1462610.310000000055879,1232284.300000000046566,1356422.619999999878928,1426875.260000000009313,1559778.799999999813735,1520734.599999999860302,11345647.970000000670552
FS( 148 ),1553335.909999999916181,1273921.550000000279397,1474260.190000000176951,1245310.550000000046566,1363262.119999999878928,1436425.760000000009313,1556429.839999999850988,1512306.070000000065193,11415251.990000000223517
FS( 149 ),1582215.560000000055879,1272868.400000000139698,1472936.340000000083819,1242184.250000000000000,1363262.119999999878928,1456672.820000000065193,1558941.560000000055879,1512050.660000000149012,11461131.710000000894070
FS( 150 ),1568472.830000000074506,1267602.650000000139698,1507621.209999999962747,1234889.550000000046566,1372837.419999999925494,1468897.460000000195578,1552243.639999999897555,1509496.560000000055879,11482061.320000002160668
FS( 151 ),1611294.380000000121072,1261885.550000000279397,1459962.610000000102445,1227073.800000000046566,1361347.059999999823049,1463549.180000000167638,1543243.310000000055879,1499535.570000000065193,11427891.460000000894070
FS( 152 ),1607510.149999999906868,1263390.050000000046566,1466317.090000000083819,1236973.750000000000000,1349035.959999999962747,1487616.439999999944121,1541568.830000000074506,1470418.830000000074506,11422831.099999999627471
FS( 153 ),1615875.290000000037253,1270009.850000000093132,1455726.290000000037253,1264068.350000000093132,1335356.959999999962747,1451706.560000000055879,1522730.929999999934807,1433128.969999999972060,11348603.199999999254942
FS( 154 ),1593369.080000000074506,1286408.900000000139698,1480614.670000000158325,1293247.150000000139698,1351224.600000000093132,1465459.280000000027940,1538429.179999999934807,1448453.570000000065193,11457206.429999999701977
FS( 155 ),1611692.720000000204891,1295285.450000000186265,1538334.530000000027940,1298978.699999999953434,1355875.459999999962747,1478829.979999999981374,1543034.000000000000000,1447176.519999999785796,11569207.359999999403954
FS( 156 ),1609103.510000000242144,1300250.300000000279397,1575402.330000000074506,1293247.150000000139698,1352318.919999999925494,1455908.780000000027940,1549941.229999999981374,1445644.060000000055879,11581816.280000001192093
FS( 157 ),1597153.310000000055879,1283099.000000000232831,1547866.250000000000000,1272405.150000000139698,1339187.080000000074506,1436807.780000000027940,1509963.020000000018626,1473228.339999999850988,11459709.929999999701977
FS( 158 ),1594962.439999999944121,1287462.050000000046566,1537010.679999999934807,1275010.399999999906868,1321951.540000000037253,1421909.000000000000000,1486310.989999999990687,1469908.009999999776483,11394525.109999999403954
FS( 159 ),1577435.480000000214204,1294683.650000000139698,1565605.840000000083819,1265631.500000000000000,1323593.020000000018626,1401661.939999999944121,1475217.560000000055879,1456115.869999999878928,11359944.859999999403954
FS( 160 ),1586198.960000000195578,1314693.500000000000000,1568518.310000000055879,1273968.300000000046566,1315659.200000000186265,1408920.320000000065193,1487357.540000000037253,1452795.540000000037253,11408111.669999998062849
FS( 161 ),1579028.840000000083819,1307772.800000000279397,1591288.530000000027940,1284910.350000000093132,1310461.179999999934807,1395167.600000000093132,1480450.310000000055879,1436704.709999999962747,11385784.320000000298023
FS( 162 ),1567078.640000000130385,1326579.050000000279397,1640535.750000000000000,1310441.800000000046566,1337819.179999999934807,1397459.719999999972060,1514986.459999999729916,1464544.400000000139698,11559445.000000000000000
FS( 163 ),1549153.340000000083819,1317100.700000000186265,1655362.870000000111759,1309920.750000000000000,1334809.800000000046566,1384853.060000000055879,1515195.770000000018626,1454328.000000000000000,11520724.289999999105930
FS( 164 ),1562099.390000000130385,1338013.250000000232831,1650861.780000000027940,1305752.350000000093132,1349309.540000000037253,1405864.159999999916181,1535289.529999999795109,1507964.099999999860302,11655154.099999999627471
FS( 165 ),1622049.560000000055879,1353509.600000000093132,1654568.560000000055879,1319299.650000000139698,1350403.859999999869615,1398987.800000000046566,1556220.529999999795109,1469652.599999999860302,11724692.160000000149012
FS( 166 ),1615277.780000000027940,1367802.350000000093132,1674955.850000000093132,1325031.199999999953434,1351771.759999999776483,1416560.719999999972060,1551615.709999999729916,1471440.469999999972060,11774455.839999999850988
FS( 167 ),1604522.600000000093132,1371413.150000000139698,1691371.590000000083819,1339099.550000000046566,1360252.739999999990687,1430313.439999999944121,1566686.029999999795109,1472972.929999999934807,11836632.029999999329448
FS( 168 ),1593568.250000000232831,1367200.550000000279397,1681575.100000000093132,1333889.050000000046566,1362167.800000000046566,1424583.140000000130385,1563337.069999999832362,1466843.089999999850988,11793164.050000000745058
FS( 169 ),1577833.820000000065193,1367200.550000000279397,1681575.100000000093132,1346915.300000000046566,1366271.500000000000000,1424583.140000000130385,1565220.859999999869615,1477314.900000000139698,11806915.169999999925494
FS( 170 ),1596356.630000000121072,1366297.850000000093132,1674161.540000000037253,1352646.850000000093132,1369280.879999999888241,1429167.379999999888241,1576104.979999999981374,1467098.500000000000000,11831114.610000001266599
FS( 171 ),1573850.419999999925494,1352155.550000000279397,1654039.020000000018626,1343789.000000000000000,1353960.400000000139698,1419616.879999999888241,1560825.349999999860302,1446410.290000000037253,11704646.910000000149012
FS( 172 ),1539194.840000000083819,1351403.300000000046566,1646625.459999999962747,1343267.950000000186265,1360526.319999999832362,1410066.379999999888241,1571918.779999999795109,1451263.080000000074506,11674266.109999999403954
FS( 173 ),1547559.980000000214204,1333650.200000000186265,1643712.989999999990687,1326594.350000000093132,1360799.900000000139698,1380268.820000000065193,1553918.119999999878928,1459436.199999999953434,11605940.560000000521541
FS( 174 ),1536605.630000000121072,1338013.250000000232831,1625443.860000000102445,1333368.000000000000000,1370922.359999999869615,1390965.379999999888241,1601431.489999999990687,1468886.369999999878928,11665636.339999999850988
FS( 175 ),1546364.960000000195578,1341172.700000000186265,1627297.250000000000000,1325031.199999999953434,1362167.800000000046566,1366134.080000000074506,1582802.900000000139698,1516137.219999999972060,11667108.110000001266599
FS( 176 ),1526647.130000000121072,1349748.350000000093132,1606380.420000000158325,1318778.600000000093132,1354781.140000000130385,1357347.620000000111759,1592431.159999999916181,1561600.199999999953434,11667714.620000001043081
FS( 177 ),1516290.290000000037253,1361784.350000000325963,1610351.969999999972060,1330241.700000000186265,1364630.020000000018626,1376830.640000000130385,1563546.379999999888241,1541678.219999999972060,11665353.570000002160668
FS( 178 ),1524257.090000000083819,1352456.450000000186265,1579638.649999999906868,1328678.550000000046566,1453269.939999999944121,1336336.520000000018626,1547638.819999999832362,1537591.660000000149012,11659867.679999999701977
FS( 179 ),1554730.100000000093132,1362536.600000000093132,1608233.810000000055879,1381304.600000000093132,1449986.979999999981374,1366898.120000000111759,1549313.299999999813735,1532483.459999999962747,11805486.970000002533197
FS( 180 ),1585800.620000000111759,1390369.850000000093132,1623325.700000000186265,1389641.400000000139698,1436855.140000000130385,1404336.080000000074506,1566476.719999999972060,1519457.550000000046566,11916263.060000002384186
FS( 181 ),1577037.140000000130385,1384351.850000000325963,1624649.550000000046566,1382867.750000000000000,1436307.979999999981374,1409302.340000000083819,1522940.239999999990687,1529673.949999999953434,11867130.799999998882413
FS( 182 ),1538398.159999999916181,1375776.200000000186265,1624120.010000000242144,1346915.300000000046566,1421261.080000000074506,1389819.320000000065193,1517916.799999999813735,1511029.019999999785796,11725235.890000000596046
FS( 183 ),1562298.560000000055879,1363138.400000000139698,1731881.399999999906868,1333368.000000000000000,1417978.119999999878928,1381796.900000000139698,1531312.639999999897555,1500046.389999999897555,11821820.410000000149012
FS( 184 ),1569269.510000000242144,1348695.200000000186265,1722349.679999999934807,1318778.600000000093132,1404846.280000000027940,1372628.420000000158325,1536336.080000000074506,1504643.769999999785796,11777547.540000000968575
FS( 185 ),1582414.730000000214204,1331243.000000000232831,1686340.959999999962747,1309399.699999999953434,1411685.780000000027940,1377594.680000000167638,1532149.879999999888241,1490340.810000000055879,11721169.540000000968575
FS( 186 ),1553734.250000000232831,1296489.050000000279397,1636828.969999999972060,1292726.100000000093132,1422081.819999999832362,1406246.180000000167638,1498660.279999999795109,1461734.889999999897555,11568501.540000000968575
FS( 187 ),1566281.960000000195578,1373519.450000000186265,1625179.090000000083819,1288036.649999999906868,1437128.719999999972060,1376448.620000000111759,1499706.830000000074506,1466076.859999999869615,11632378.179999999701977
FS( 188 ),1441203.199999999953434,1391272.550000000046566,1623590.469999999972060,1297415.550000000046566,1446430.439999999944121,1385617.100000000093132,1500962.689999999711290,1456371.280000000027940,11542863.279999997466803
FS( 189 ),1424871.260000000242144,1363439.300000000279397,1686605.730000000214204,1285952.449999999953434,1428374.159999999916181,1400515.879999999888241,1491543.739999999990687,1443089.959999999962747,11524392.480000000447035
FS( 190 ),1422082.880000000121072,1402255.400000000139698,1708581.640000000130385,1289078.750000000000000,1463939.559999999823049,1408156.280000000027940,1523777.479999999981374,1462501.119999999878928,11680373.109999999403954
FS( 191 ),1424273.750000000232831,1412937.350000000093132,1715995.200000000186265,1278657.750000000000000,1449166.239999999990687,1445594.240000000223517,1512893.359999999869615,1464799.810000000055879,11704317.700000001117587
FS( 192 ),1427062.130000000121072,1390520.300000000279397,1685017.110000000102445,1247915.800000000046566,1424817.619999999878928,1393639.520000000018626,1480659.619999999878928,1419336.830000000074506,11468968.929999999701977
FS( 193 ),1447576.640000000130385,1391723.900000000139698,1695343.140000000130385,1241142.150000000139698,1463939.559999999823049,1388673.260000000009313,1475845.489999999990687,1429042.410000000149012,11533286.550000000745058
FS( 194 ),1458530.990000000223517,1383599.600000000093132,1691106.820000000065193,1225510.650000000139698,1464486.719999999972060,1368426.199999999953434,1482334.099999999860302,1477570.310000000055879,11551565.390000000596046
FS( 195 ),1458331.820000000065193,1411733.750000000000000,1718907.670000000158325,1250000.000000000000000,1471052.640000000130385,1382178.920000000158325,1483380.650000000139698,1512561.479999999981374,11688146.930000001564622
FS( 196 ),1478647.159999999916181,1427380.550000000279397,1719437.209999999962747,1261463.100000000093132,1498410.640000000130385,1396695.680000000167638,1493636.839999999850988,1557002.820000000065193,11832674.000000000000000
FS( 197 ),1505136.770000000018626,1421813.900000000139698,1728439.390000000130385,1265631.500000000000000,1501693.600000000093132,1405864.159999999916181,1459728.619999999878928,1549085.109999999869615,11837393.049999998882413
FS( 198 ),1525053.770000000018626,1428734.600000000093132,1766036.730000000214204,1275010.399999999906868,1523853.580000000074506,1419998.900000000139698,1478147.900000000139698,1639755.660000000149012,12056591.540000000968575
FS( 199 ),1524854.600000000093132,1446939.050000000279397,1748561.910000000149012,1279178.800000000046566,1504702.979999999981374,1431459.500000000000000,1470194.119999999878928,1670915.679999999934807,12076806.639999998733401
FS( 200 ),1549153.340000000083819,1446036.350000000093132,1745914.209999999962747,1286994.550000000046566,1507438.780000000027940,1436807.780000000027940,1490497.189999999711290,1695690.449999999953434,12158532.649999998509884
FS( 201 ),1547759.149999999906868,1452656.150000000139698,1761270.869999999878928,1290120.850000000093132,1516740.500000000000000,1437189.800000000046566,1538847.799999999813735,1654569.439999999944121,12199154.560000000521541
FS( 202 ),1553535.080000000074506,1452806.600000000093132,1763918.570000000298023,1290120.850000000093132,1523580.000000000000000,1429549.400000000139698,1545336.409999999916181,1648439.600000000093132,12207286.509999999776483
FS( 203 ),1529037.169999999925494,1447540.850000000093132,1750944.839999999850988,1276573.550000000046566,1505797.300000000046566,1432987.580000000074506,1539475.729999999981374,1673214.370000000111759,12155571.390000000596046
FS( 204 ),1511311.040000000037253,1458222.800000000279397,1777421.839999999850988,1289078.750000000000000,1526862.959999999962747,1442156.060000000055879,1538010.560000000055879,1699777.009999999776483,12242841.019999999552965
FS( 205 ),1494580.760000000242144,1466948.900000000139698,1770802.589999999850988,1272405.150000000139698,1532881.719999999972060,1450942.520000000018626,1544917.790000000037253,1693902.579999999841675,12227382.009999999776483
FS( 206 ),1500954.199999999953434,1464240.800000000046566,1770273.050000000046566,1283347.199999999953434,1536985.419999999925494,1439863.939999999944121,1590965.989999999990687,1699010.779999999795109,12285641.379999998956919
FS( 207 ),1485418.939999999944121,1450549.850000000093132,1780599.080000000074506,1282826.150000000139698,1529598.759999999776483,1434133.640000000130385,1576523.599999999860302,1709993.410000000149012,12249643.429999999701977
FS( 208 ),1472074.550000000046566,1462435.400000000139698,1803369.300000000046566,1292205.050000000046566,1539447.640000000130385,1431459.500000000000000,1592012.540000000037253,1698755.370000000111759,12291759.350000001490116
FS( 209 ),1501352.540000000037253,1454912.900000000139698,1829051.989999999990687,1290120.850000000093132,1550117.259999999776483,1446358.280000000027940,1591175.299999999813735,1741664.250000000000000,12404753.370000001043081
FS( 210 ),1497369.140000000130385,1458975.050000000046566,1836730.320000000298023,1290120.850000000093132,1559145.400000000139698,1463549.180000000167638,1617339.049999999813735,1735534.410000000149012,12458763.400000002235174
FS( 211 ),1501551.710000000195578,1449045.350000000093132,1826404.290000000270084,1276573.550000000046566,1543551.340000000083819,1443302.120000000111759,1613780.779999999795109,1721486.860000000102445,12375695.999999998137355
FS( 212 ),1511510.210000000195578,1459727.300000000046566,1865060.709999999962747,1282305.100000000093132,1561060.459999999962747,1467369.379999999888241,1635339.709999999729916,1764651.150000000139698,12547024.019999999552965
FS( 213 ),1514696.929999999934807,1449948.050000000279397,1882005.989999999990687,1276573.550000000046566,1556136.020000000018626,1455908.780000000027940,1632409.369999999878928,1749071.140000000130385,12516749.830000000074506
FS( 214 ),1510116.020000000018626,1468453.400000000139698,1876975.360000000102445,1283347.199999999953434,1566532.059999999823049,1457436.860000000102445,1625083.520000000018626,1703863.569999999832362,12491807.990000000223517
FS( 215 ),1509319.340000000083819,1460178.650000000139698,1866914.100000000325963,1283868.250000000000000,1572277.239999999990687,1447886.360000000102445,1620060.080000000074506,1716634.069999999832362,12477138.090000001713634
FS( 216 ),1510713.530000000027940,1455665.150000000139698,1878828.750000000000000,1294289.250000000000000,1568173.540000000037253,1444830.199999999953434,1630106.959999999729916,1705651.439999999944121,12488258.819999998435378
FS( 217 ),1525252.939999999944121,1457019.200000000186265,1857382.380000000121072,1288557.699999999953434,1550938.000000000000000,1452470.600000000093132,1628013.859999999869615,1699010.779999999795109,12458645.459999999031425
FS( 218 ),1526846.300000000046566,1456718.300000000046566,1848644.969999999972060,1290120.850000000093132,1554220.959999999962747,1462021.100000000093132,1624246.279999999795109,1709482.590000000083819,12472301.349999999627471
FS( 219 ),1509916.850000000093132,1438513.850000000093132,1837789.399999999906868,1280220.900000000139698,1526315.800000000046566,1447504.340000000083819,1611896.989999999990687,1709482.590000000083819,12361640.720000000670552
FS( 220 ),1492987.399999999906868,1435203.950000000186265,1834347.390000000130385,1276573.550000000046566,1523853.580000000074506,1440245.960000000195578,1584477.379999999888241,1713058.329999999841675,12300747.540000000968575
FS( 221 ),1498763.330000000074506,1439416.550000000279397,1847585.890000000130385,1286994.550000000046566,1539174.059999999823049,1453616.659999999916181,1606664.239999999990687,1719954.400000000139698,12392169.679999999701977
FS( 222 ),1511908.550000000046566,1450549.850000000093132,1872739.040000000270084,1293247.150000000139698,1541909.859999999869615,1510919.659999999916181,1632618.679999999934807,1716378.660000000149012,12530271.450000001117587
FS( 223 ),1511510.210000000195578,1444983.200000000186265,1870620.880000000121072,1303668.150000000139698,1531787.400000000139698,1500223.100000000093132,1673643.439999999711290,1706928.489999999990687,12543364.870000001043081
FS( 224 ),1504340.090000000083819,1447540.850000000093132,1894450.179999999934807,1325031.199999999953434,1520844.200000000186265,1540717.219999999972060,1706505.109999999869615,1698499.959999999962747,12637928.809999998658895
FS( 225 ),1516091.120000000111759,1465293.950000000186265,1893126.330000000074506,1311483.900000000139698,1495401.259999999776483,1534222.879999999888241,1702528.219999999972060,1653803.209999999962747,12571950.870000001043081
FS( 226 ),1534215.590000000083819,1457169.650000000139698,1891272.940000000176951,1308878.650000000139698,1471326.219999999972060,1547211.560000000055879,1701272.359999999869615,1642565.169999999925494,12553912.140000000596046
FS( 227 ),1550746.699999999953434,1483347.950000000186265,1909542.070000000298023,1326594.350000000093132,1509901.000000000000000,1541099.240000000223517,1697504.779999999795109,1696456.679999999934807,12715192.769999999552965
FS( 228 ),1535808.949999999953434,1471462.400000000139698,1863736.860000000102445,1322425.949999999953434,1532608.140000000130385,1520088.140000000130385,1706714.420000000158325,1658400.590000000083819,12611245.450000001117587
FS( 229 ),1529236.340000000083819,1481241.650000000139698,1809459.010000000242144,1318778.600000000093132,1524674.319999999832362,1503661.280000000027940,1695830.299999999813735,1643586.809999999823049,12506468.310000000521541
FS( 230 ),1527443.810000000055879,1495383.950000000186265,1817402.110000000102445,1334931.150000000139698,1531513.819999999832362,1539571.159999999916181,1708388.900000000139698,1669383.219999999972060,12624018.120000001043081
FS( 231 ),1527244.640000000130385,1495083.050000000279397,1832229.230000000214204,1344831.100000000093132,1553126.640000000130385,1565930.540000000037253,1716133.369999999878928,1686495.689999999944121,12721074.260000001639128
FS( 232 ),1541186.540000000037253,1501702.850000000093132,1874327.660000000149012,1354210.000000000000000,1542183.439999999944121,1582357.400000000139698,1712993.719999999972060,1681387.489999999990687,12790349.100000001490116
FS( 233 ),1543775.750000000232831,1544129.750000000000000,1881476.450000000186265,1348999.500000000000000,1544645.659999999916181,1579683.260000000009313,1708179.589999999850988,1694668.809999999823049,12845558.770000001415610
FS( 234 ),1533020.570000000065193,1542926.150000000139698,1868767.489999999990687,1376094.100000000093132,1537806.159999999916181,1566694.580000000074506,1721575.429999999934807,1713569.150000000139698,12860453.630000000819564
FS( 235 ),1513103.570000000065193,1537209.050000000279397,1835936.010000000242144,1363067.850000000093132,1535343.939999999944121,1523144.300000000046566,1706505.109999999869615,1687006.509999999776483,12701316.339999999850988
FS( 236 ),1489402.340000000083819,1521261.350000000093132,1807340.850000000325963,1380262.500000000000000,1509901.000000000000000,1520470.159999999916181,1697086.159999999916181,1662742.559999999823049,12588466.920000001788139
FS( 237 ),1489402.340000000083819,1540518.950000000186265,1812636.250000000000000,1402146.600000000093132,1505797.300000000046566,1521234.199999999953434,1688295.139999999897555,1630050.080000000074506,12590080.860000001266599
FS( 238 ),1508921.000000000232831,1549545.949999999953434,1846526.809999999823049,1405793.949999999953434,1562154.780000000027940,1546065.500000000000000,1703574.770000000018626,1673469.779999999795109,12796052.539999999105930
FS( 239 ),1489402.340000000083819,1538563.100000000325963,1798603.440000000176951,1377136.199999999953434,1527957.280000000027940,1503661.280000000027940,1674271.369999999878928,1619322.859999999869615,12528917.869999999180436
FS( 240 ),1478447.990000000223517,1526376.650000000139698,1770273.050000000046566,1364109.949999999953434,1529872.340000000083819,1497930.979999999981374,1652503.129999999888241,1641288.120000000111759,12460802.210000000894070
FS( 241 ),1484423.090000000083819,1546386.500000000232831,1790925.110000000102445,1383909.850000000093132,1520297.040000000037253,1496784.920000000158325,1657317.260000000009313,1677300.929999999934807,12557344.700000001117587
FS( 242 ),1473667.909999999916181,1542173.900000000139698,1793572.809999999823049,1394851.900000000139698,1533428.879999999888241,1518560.060000000055879,1664224.489999999990687,1685984.870000000111759,12606464.820000000298023
FS( 243 ),1476655.460000000195578,1548643.250000000232831,1828787.219999999972060,1403188.699999999953434,1539174.059999999823049,1543391.360000000102445,1636595.569999999832362,1689816.019999999785796,12666251.640000000596046
FS( 244 ),1493584.909999999916181,1547138.750000000000000,1836995.089999999850988,1408920.250000000000000,1544919.239999999990687,1528492.580000000074506,1586151.859999999869615,1704885.209999999962747,12651087.890000000596046
FS( 245 ),1511311.040000000037253,1544280.200000000186265,1838054.170000000158325,1404230.800000000046566,1566258.479999999981374,1525818.439999999944121,1568779.129999999888241,1689049.789999999804422,12647782.049999997019768
FS( 246 ),1512904.399999999906868,1560077.450000000186265,1845467.730000000214204,1398499.250000000000000,1580484.640000000130385,1527728.540000000037253,1585733.239999999990687,1720976.039999999804422,12731871.290000000968575
FS( 247 ),1492987.399999999906868,1555413.500000000000000,1861618.700000000186265,1393809.800000000046566,1573097.979999999981374,1516267.939999999944121,1576732.909999999916181,1721231.449999999953434,12691159.679999997839332
FS( 248 ),1615476.949999999953434,1583999.000000000232831,1856588.070000000298023,1393809.800000000046566,1573918.719999999972060,1522762.280000000027940,1603105.969999999972060,1721997.679999999934807,12871658.470000000670552
FS( 249 ),1627427.149999999906868,1575122.450000000186265,1828787.219999999972060,1368278.350000000093132,1565984.900000000139698,1524672.379999999888241,1583640.139999999897555,1702331.110000000102445,12776243.699999999254942
FS( 250 ),1690364.870000000111759,1568653.100000000325963,1783246.780000000027940,1371925.699999999953434,1550664.419999999925494,1561346.300000000046566,1585314.619999999878928,1722763.910000000149012,12834279.700000001117587
FS( 251 ),1685385.620000000111759,1584299.900000000139698,1836200.780000000027940,1379741.449999999953434,1606474.739999999990687,1547593.580000000074506,1574011.879999999888241,1719443.579999999841675,12933151.529999999329448
FS( 252 ),1679012.179999999934807,1585804.400000000139698,1881476.450000000186265,1390683.500000000000000,1602097.459999999962747,1543391.360000000102445,1570662.920000000158325,1734257.360000000102445,12987385.629999998956919
