代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15547723.169999999925494
真實報酬,5547723.169999999925494

夏普值報酬,0.546072317000000
夏普值風險,0.116664144162974
夏普值,4.680721064024308

二次趨勢線,-25.763466755681705 x^2 + 28148.352980832580215 x + 10000000.000000000000000
二次平均預期報酬,21655.959358400788915
風險,244754.513033389201155
二次平均趨勢值,0.088480327042821
一次趨勢線,23288.738271397993230 x + 10000000.000000000000000
一次預期報酬,23288.738271397993230
一次風險,305228.833620057441294
一次趨勢值,0.076299273548931
找到最佳解世代,2169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](1),HD[9](2),KO[14](9),VZ[26](5),WMT[28](4),
FS( 167 ),2570522.919999999925494,2627006.410000000149012,2603138.250000000000000,1904102.319999999599531,1909739.899999999906868,2111225.500000000000000,13725739.300000000745058
FS( 168 ),2496083.979999999981374,2551719.399999999906868,2530330.830000000074506,1862321.679999999701977,1881763.469999999972060,2102565.250000000000000,13424788.610000001266599
FS( 169 ),2510722.600000000093132,2552294.109999999869615,2572538.029999999795109,1876078.719999999972060,1895981.000000000000000,2116678.250000000000000,13524296.710000000894070
FS( 170 ),2504181.940000000409782,2577006.640000000130385,2580979.470000000204891,1865888.319999999599531,1889560.179999999934807,2100961.500000000000000,13518582.050000000745058
FS( 171 ),2542802.979999999981374,2616661.629999999888241,2669614.589999999850988,1901045.199999999953434,1915702.090000000083819,2114753.750000000000000,13760584.239999998360872
FS( 172 ),2543737.359999999869615,2622408.729999999981374,2703380.350000000093132,1892383.359999999869615,1909739.899999999906868,2112829.250000000000000,13784482.949999999254942
FS( 173 ),2582046.940000000409782,2657466.040000000037253,2761942.839999999850988,1916840.319999999599531,1946430.299999999813735,2188205.500000000000000,14052935.940000001341105
FS( 174 ),2541557.139999999664724,2632178.799999999813735,2709183.839999999850988,1902064.239999999757856,1951933.859999999869615,2166073.750000000000000,13902995.629999998956919
FS( 175 ),2563670.800000000279397,2665511.979999999981374,2756139.350000000093132,1915821.280000000027940,1969361.799999999813735,2172168.000000000000000,14042677.210000000894070
FS( 176 ),2545917.580000000074506,2656891.329999999608845,2689135.419999999925494,1903083.280000000027940,1971654.949999999953434,2151319.250000000000000,13918005.809999998658895
FS( 177 ),2543114.440000000409782,2711488.779999999795109,2751918.629999999888241,1929578.319999999599531,2006510.829999999841675,2169281.250000000000000,14111896.250000000000000
FS( 178 ),2554638.459999999962747,2706316.390000000130385,2736618.520000000018626,1938749.679999999701977,1997338.229999999748543,2173130.250000000000000,14106795.529999999329448
FS( 179 ),2606340.820000000298023,2706891.100000000093132,2760360.069999999832362,1935692.560000000055879,2009721.239999999757856,2184998.000000000000000,14204007.790000000968575
FS( 180 ),2613815.859999999869615,2730454.209999999962747,2794653.419999999925494,1929578.319999999599531,2005593.569999999599531,2175054.750000000000000,14249154.130000000819564
FS( 181 ),2606340.820000000298023,2743097.829999999608845,2787267.159999999683350,1924992.639999999897555,1985872.479999999748543,2197828.000000000000000,14245402.930000001564622
FS( 182 ),2570211.459999999962747,2724132.399999999906868,2704435.529999999795109,1902573.760000000009313,1987248.369999999878928,2171526.500000000000000,14060132.019999997690320
FS( 183 ),2590144.899999999906868,2728155.370000000111759,2744532.370000000111759,1909197.519999999785796,2015683.429999999934807,2158696.500000000000000,14146414.089999999850988
FS( 184 ),2539688.380000000353903,2683902.700000000186265,2718152.870000000111759,1905121.359999999869615,2001924.529999999795109,2186922.500000000000000,14035716.339999999850988
FS( 185 ),2545294.660000000149012,2718385.299999999813735,2737146.109999999869615,1912764.159999999683350,2010638.500000000000000,2199752.500000000000000,14123985.230000000447035
FS( 186 ),2556195.759999999776483,2751143.770000000018626,2719735.639999999664724,1944863.919999999925494,2007886.719999999972060,2200073.250000000000000,14179903.060000000521541
FS( 187 ),2531901.880000000353903,2748270.220000000204891,2727121.899999999906868,1950468.639999999897555,2016600.689999999711290,2190771.500000000000000,14165138.830000000074506
FS( 188 ),2598554.320000000298023,2787350.500000000000000,2795708.600000000093132,1992249.280000000027940,2038156.299999999813735,2236318.000000000000000,14448341.000000000000000
FS( 189 ),2636552.440000000409782,2799994.120000000111759,2796763.779999999795109,2010592.000000000000000,2060629.169999999925494,2224450.250000000000000,14528985.759999999776483
FS( 190 ),2667075.520000000018626,2792522.890000000130385,2725011.540000000037253,2016706.239999999757856,2061546.429999999934807,2269355.250000000000000,14532221.869999999180436
FS( 191 ),2713794.520000000018626,2764936.810000000055879,2749280.679999999701977,1998873.039999999571592,2058794.649999999906868,2279940.000000000000000,14565623.699999999254942
FS( 192 ),2695729.839999999850988,2760913.839999999850988,2751391.040000000037253,1991230.239999999757856,2037239.039999999804422,2288921.000000000000000,14525428.999999998137355
FS( 193 ),2731547.740000000223517,2758615.000000000000000,2749808.270000000018626,1986644.560000000055879,2051915.199999999953434,2301751.000000000000000,14580285.769999999552965
FS( 194 ),2706319.479999999981374,2721833.560000000055879,2755084.169999999925494,1986644.560000000055879,2050080.679999999934807,2312977.250000000000000,14532943.699999999254942
FS( 195 ),2689500.639999999664724,2716661.170000000391155,2726066.720000000204891,1973397.039999999571592,2059253.279999999795109,2317788.500000000000000,14482671.349999999627471
FS( 196 ),2664895.300000000279397,2724707.109999999869615,2719735.639999999664724,1952506.719999999972060,2048704.789999999804422,2319392.250000000000000,14429945.809999998658895
FS( 197 ),2691680.859999999869615,2769534.489999999757856,2748225.500000000000000,1968811.359999999869615,2073470.809999999823049,2347297.500000000000000,14599024.519999999552965
FS( 198 ),2700401.740000000223517,2750569.060000000055879,2714459.740000000223517,1948430.560000000055879,2076222.590000000083819,2340882.500000000000000,14530970.190000001341105
FS( 199 ),2700713.199999999720603,2836200.850000000093132,2675945.669999999925494,1979511.280000000027940,2094109.159999999683350,2344731.500000000000000,14631215.660000000149012
FS( 200 ),2697598.600000000093132,2836200.850000000093132,2685969.879999999888241,1972887.519999999785796,2104657.649999999441206,2336712.750000000000000,14634031.250000000000000
FS( 201 ),2733416.500000000000000,2815511.290000000037253,2688607.830000000074506,1975944.639999999897555,2042742.599999999860302,2294373.750000000000000,14550600.609999999403954
FS( 202 ),2688877.720000000204891,2792522.890000000130385,2674890.490000000223517,1962697.120000000111759,2040449.449999999953434,2317467.750000000000000,14476909.419999999925494
FS( 203 ),2686697.500000000000000,2757465.579999999608845,2688607.830000000074506,1958620.959999999729916,2034028.629999999888241,2304637.750000000000000,14430062.250000000000000
FS( 204 ),2673927.639999999664724,2767810.359999999869615,2699687.220000000204891,1953016.239999999757856,2007428.090000000083819,2313939.500000000000000,14415813.050000000745058
FS( 205 ),2558375.979999999981374,2775856.299999999813735,2694411.319999999832362,1962187.599999999627471,2005134.939999999711290,2312015.000000000000000,14307985.139999998733401
FS( 206 ),2558064.520000000018626,2856890.410000000149012,2791487.879999999888241,2008553.919999999925494,2039073.559999999823049,2363014.250000000000000,14617088.540000000968575
FS( 207 ),2603537.680000000167638,2870108.739999999757856,2833695.080000000074506,2038615.599999999627471,2059253.279999999795109,2390278.000000000000000,14795492.379999998956919
FS( 208 ),2647453.540000000037253,2862062.799999999813735,2809425.939999999944121,2066639.199999999953434,2061546.429999999934807,2405032.500000000000000,14852164.409999998286366
FS( 209 ),2717532.040000000037253,2824131.939999999944121,2752973.810000000055879,2058486.879999999655411,2070260.399999999906868,2387391.250000000000000,14810780.320000000298023
FS( 210 ),2700090.279999999795109,2824131.939999999944121,2726594.310000000055879,2064091.599999999627471,2073470.809999999823049,2361410.500000000000000,14749793.439999999478459
FS( 211 ),2704450.720000000204891,2814936.579999999608845,2711294.200000000186265,2031991.840000000083819,2046411.639999999664724,2375202.750000000000000,14684291.730000000447035
FS( 212 ),2739645.699999999720603,2860338.670000000391155,2758777.299999999813735,2059505.919999999925494,2039073.559999999823049,2391240.250000000000000,14848585.400000000372529
FS( 213 ),2770168.779999999795109,2853442.149999999906868,2743477.189999999944121,2054410.719999999972060,2049622.049999999813735,2382580.000000000000000,14853704.890000000596046
FS( 214 ),2762693.740000000223517,2862637.510000000242144,2764580.790000000037253,2032501.359999999869615,2039532.189999999711290,2373278.250000000000000,14835227.839999997988343
FS( 215 ),2758021.839999999850988,2901717.790000000037253,2785156.799999999813735,2026896.639999999897555,2026231.919999999925494,2383542.250000000000000,14881571.240000000223517
FS( 216 ),2762070.820000000298023,2871258.160000000149012,2804150.040000000037253,2018744.319999999599531,2033570.000000000000000,2368787.750000000000000,14858585.089999999850988
FS( 217 ),2766119.800000000279397,2853442.149999999906868,2799401.729999999981374,2007534.879999999655411,2045494.379999999888241,2363335.000000000000000,14835331.939999997615814
FS( 218 ),2803183.540000000037253,2865511.060000000055879,2786739.569999999832362,2002439.679999999701977,2030359.590000000083819,2354354.000000000000000,14842591.439999999478459
FS( 219 ),2810658.580000000074506,2855740.989999999757856,2886454.080000000074506,2006515.840000000083819,2033111.369999999878928,2373919.750000000000000,14966404.609999999403954
FS( 220 ),2806921.060000000055879,2867235.189999999944121,2901754.189999999944121,2004987.280000000027940,2026690.549999999813735,2388032.750000000000000,14995625.019999999552965
FS( 221 ),2831526.399999999906868,2887924.750000000000000,2970868.479999999981374,2015177.679999999701977,2023480.139999999664724,2314260.250000000000000,15043241.699999999254942
FS( 222 ),2883851.680000000167638,2899993.660000000149012,2993027.259999999776483,2014158.639999999897555,2020728.359999999869615,2309128.250000000000000,15120891.849999999627471
FS( 223 ),2959536.459999999962747,2899418.950000000186265,2984585.819999999832362,2011101.519999999785796,2004217.679999999934807,2319071.500000000000000,15177935.929999999701977
FS( 224 ),2919046.660000000149012,2852867.439999999944121,2971396.069999999832362,2000401.599999999627471,1967068.649999999906868,2291166.250000000000000,15001950.669999999925494
FS( 225 ),2976043.839999999850988,2854016.859999999869615,2988278.950000000186265,1975435.120000000111759,1954685.639999999664724,2302071.750000000000000,15050536.160000000149012
FS( 226 ),2948323.899999999906868,2825856.070000000298023,2983530.639999999664724,1941806.799999999813735,1937716.329999999841675,2295336.000000000000000,14932573.740000000223517
FS( 227 ),2951127.040000000037253,2848269.760000000242144,3005161.830000000074506,1960149.519999999785796,1979910.289999999804422,2312977.250000000000000,15057599.689999999478459
FS( 228 ),3006566.919999999925494,2852292.729999999981374,2989861.720000000204891,1944863.919999999925494,1961106.459999999729916,2325486.500000000000000,15080182.250000000000000
FS( 229 ),3002517.940000000409782,2852292.729999999981374,2982475.459999999962747,1936202.079999999841675,1956978.789999999804422,2322599.750000000000000,15053070.749999998137355
FS( 230 ),2996600.199999999720603,2875855.839999999850988,2998830.750000000000000,1908688.000000000000000,1976241.250000000000000,2334146.750000000000000,15090366.789999999105930
FS( 231 ),2953930.180000000167638,2840223.820000000298023,2987223.770000000018626,1892383.359999999869615,1961565.090000000083819,2317467.750000000000000,14952797.969999998807907
FS( 232 ),2959847.919999999925494,2843097.370000000111759,2994082.439999999944121,1905630.879999999655411,1969361.799999999813735,2328694.000000000000000,15000718.410000000149012
FS( 233 ),3003140.859999999869615,2854016.859999999869615,2996192.799999999813735,1899516.639999999897555,2004217.679999999934807,2357882.250000000000000,15114971.089999999850988
FS( 234 ),2982273.040000000037253,2918959.089999999850988,2983003.049999999813735,1911235.599999999627471,2008803.979999999748543,2359165.250000000000000,15163444.009999999776483
FS( 235 ),3009058.600000000093132,2980453.060000000055879,3041565.540000000037253,1943844.879999999655411,2024856.029999999795109,2399579.750000000000000,15399361.859999997541308
FS( 236 ),3027746.199999999720603,2973556.540000000037253,3020989.529999999795109,1931106.879999999655411,2005134.939999999711290,2367825.500000000000000,15326363.589999997988343
FS( 237 ),2948946.820000000298023,2960912.920000000391155,3023099.889999999664724,1918878.399999999674037,2020728.359999999869615,2357882.250000000000000,15230452.639999998733401
FS( 238 ),2939291.560000000055879,2963211.760000000242144,2992499.669999999925494,1924483.120000000111759,2028983.699999999953434,2375523.500000000000000,15223997.309999998658895
FS( 239 ),2980092.820000000298023,2971257.700000000186265,3009910.139999999664724,1913273.679999999701977,2058794.649999999906868,2375844.250000000000000,15309177.240000000223517
FS( 240 ),3038958.759999999776483,3022981.600000000093132,3075858.889999999664724,1954035.280000000027940,2090440.119999999878928,2410164.500000000000000,15592443.149999998509884
FS( 241 ),3075711.040000000037253,3008613.850000000093132,3137059.330000000074506,1942316.319999999599531,2042283.969999999972060,2389636.500000000000000,15595625.010000001639128
FS( 242 ),3113709.160000000149012,2997119.649999999906868,3108041.879999999888241,1954035.280000000027940,2044577.119999999878928,2373278.250000000000000,15590765.339999999850988
FS( 243 ),3123052.959999999962747,2982751.899999999906868,3105403.929999999701977,1967792.319999999599531,2059711.909999999683350,2371995.250000000000000,15610712.269999999552965
FS( 244 ),3123987.339999999850988,3028728.700000000186265,3137586.919999999925494,1962697.120000000111759,2076222.590000000083819,2385466.750000000000000,15714693.420000001788139
FS( 245 ),3108725.800000000279397,3026429.859999999869615,3127562.709999999962747,1968811.359999999869615,2086312.449999999953434,2397655.250000000000000,15715501.429999999701977
FS( 246 ),3114955.000000000000000,3031027.540000000037253,3134948.970000000204891,1937730.639999999897555,2093191.899999999906868,2388032.750000000000000,15699890.800000000745058
FS( 247 ),3073530.820000000298023,3041372.320000000298023,3133366.200000000186265,1942316.319999999599531,2095026.419999999925494,2397334.500000000000000,15682950.580000000074506
FS( 248 ),2996911.660000000149012,3019533.339999999850988,3150776.669999999925494,1919897.439999999711290,2092274.639999999664724,2381938.500000000000000,15561336.250000000000000
FS( 249 ),2959847.919999999925494,2985050.739999999757856,3121759.220000000204891,1923973.599999999627471,2090898.750000000000000,2379693.250000000000000,15461227.480000000447035
FS( 250 ),3031483.720000000204891,3021832.179999999701977,3159218.109999999869615,1951997.199999999953434,2098695.459999999962747,2372957.500000000000000,15636188.169999998062849
FS( 251 ),2968257.339999999850988,3004590.879999999888241,3185070.020000000018626,1932635.439999999711290,2089981.489999999757856,2367184.000000000000000,15547723.169999999925494
