代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13471069.950000002980232
真實報酬,3471069.950000002980232

夏普值報酬,0.338406995000000
夏普值風險,0.090200931388082
夏普值,3.751701781703699

二次趨勢線,5.020693330404316 x^2 + 13431.961261014968841 x + 10000000.000000000000000
二次平均預期報酬,14702.196673607255434
風險,145413.591337555844802
二次平均趨勢值,0.101106069510919
一次趨勢線,14382.751332222669589 x + 10000000.000000000000000
一次預期報酬,14382.751332222669589
一次風險,149761.198743674729485
一次趨勢值,0.096037902025875
找到最佳解世代,1747
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](2),INTC[11](3),JNJ[12](7),MRK[17](10),MSFT[18](4),
FS( 167 ),2159745.440000000409782,2267220.019999999552965,1994449.469999999972060,1933231.459999999962747,1978524.399999999906868,2031957.520000000018626,12365132.309999998658895
FS( 168 ),2166429.519999999552965,2284326.339999999850988,1990069.290000000037253,1946759.800000000046566,1980918.050000000046566,2024512.720000000204891,12393019.720000000670552
FS( 169 ),2156403.400000000372529,2288602.919999999925494,2019270.489999999990687,1952285.459999999962747,1980234.149999999906868,1999696.720000000204891,12396497.140000000596046
FS( 170 ),2165658.280000000260770,2283104.459999999962747,2014890.310000000055879,1956477.340000000316650,1980918.050000000046566,2001185.680000000167638,12402238.120000001043081
FS( 171 ),2179540.600000000558794,2289213.859999999403954,2019270.489999999990687,1966766.500000000000000,1986731.199999999953434,2045358.160000000149012,12486884.809999998658895
FS( 172 ),2175170.240000000223517,2311207.700000000186265,2056502.020000000018626,1966004.340000000316650,1978182.449999999953434,2058758.800000000046566,12545829.550000000745058
FS( 173 ),2197536.200000000186265,2305098.299999999813735,2037521.239999999990687,1966766.500000000000000,1981259.999999999767169,2048336.080000000307336,12536522.320000000298023
FS( 174 ),2178769.360000000335276,2312124.109999999403954,2061612.229999999981374,1983534.020000000018626,2000067.250000000000000,2040394.960000000195578,12576505.929999999701977
FS( 175 ),2167457.839999999850988,2299599.839999999850988,2038981.300000000046566,1968671.899999999906868,2011009.650000000139698,2027986.960000000195578,12513711.490000000223517
FS( 176 ),2128638.759999999776483,2262027.030000000260770,2041171.390000000130385,1953619.240000000223517,1993570.199999999953434,2014090.000000000000000,12393120.619999999180436
FS( 177 ),2128638.759999999776483,2279438.820000000298023,2180607.120000000111759,1953619.240000000223517,1991518.500000000000000,2046350.800000000046566,12580177.240000002086163
FS( 178 ),2141492.759999999776483,2275162.240000000223517,2190827.540000000037253,1952094.920000000158325,1985705.349999999860302,2059751.440000000176951,12605038.250000000000000
FS( 179 ),2137893.639999999664724,2262027.030000000260770,2186447.360000000335276,1942186.840000000316650,1985363.400000000139698,2068685.200000000186265,12582607.470000002533197
FS( 180 ),2148691.000000000000000,2284631.810000000521541,2184987.299999999813735,1958954.360000000102445,1997331.649999999906868,2067196.239999999990687,12641796.360000001266599
FS( 181 ),2153575.519999999552965,2265081.730000000447035,2196667.780000000260770,1978008.360000000102445,1993570.199999999953434,2060247.760000000009313,12647155.349999999627471
FS( 182 ),2129152.919999999925494,2282493.519999999552965,2204698.110000000335276,2005827.199999999953434,2014771.100000000093132,2068685.200000000186265,12705632.050000000745058
FS( 183 ),2127610.440000000409782,2300821.719999999739230,2206888.200000000186265,1995919.120000000111759,2000409.199999999953434,2084071.120000000344589,12715723.800000000745058
FS( 184 ),2125553.799999999813735,2276078.650000000372529,2226599.009999999776483,1992870.480000000214204,1980576.100000000093132,2072159.440000000176951,12673841.479999998584390
FS( 185 ),2156917.560000000521541,2288602.919999999925494,2254340.150000000372529,2015163.660000000149012,2012719.399999999906868,2086056.400000000139698,12813804.090000001713634
FS( 186 ),2171056.959999999962747,2267220.019999999552965,2247039.849999999627471,2013067.720000000204891,2001435.050000000046566,2070670.480000000214204,12770494.080000000074506
FS( 187 ),2192908.759999999776483,2245226.179999999701977,2257990.299999999813735,2000492.080000000074506,1967240.050000000046566,2096975.440000000176951,12760836.810000000521541
FS( 188 ),2204220.280000000260770,2238505.839999999850988,2255800.209999999962747,1993442.100000000093132,1978182.449999999953434,2069677.840000000316650,12739832.719999998807907
FS( 189 ),2222987.120000000111759,2242171.480000000447035,2261640.450000000186265,2017259.600000000093132,2000751.149999999906868,2078115.280000000027940,12822929.080000000074506
FS( 190 ),2222215.879999999888241,2241255.070000000298023,2261640.450000000186265,2017069.060000000055879,2019216.449999999953434,2079604.239999999990687,12841005.150000000372529
FS( 191 ),2232499.080000000074506,2264165.320000000298023,2273320.929999999701977,2008685.300000000046566,2024345.699999999953434,2074641.040000000037253,12877661.370000001043081
FS( 192 ),2226072.080000000074506,2228730.799999999813735,2265290.599999999627471,2028692.000000000000000,2001093.100000000093132,2084071.120000000344589,12833953.700000001117587
FS( 193 ),2207305.240000000223517,2218039.349999999627471,2247769.879999999888241,2014401.500000000000000,1989124.850000000093132,2073648.400000000139698,12750293.219999998807907
FS( 194 ),2242268.120000000111759,2227203.450000000186265,2255070.179999999701977,2020498.780000000260770,2002118.949999999953434,2068188.880000000353903,12815352.360000001266599
FS( 195 ),2233013.240000000223517,2223843.280000000260770,2282081.290000000037253,2015925.820000000065193,2003144.799999999813735,2069181.520000000018626,12827193.949999999254942
FS( 196 ),2233784.480000000447035,2244615.240000000223517,2281351.259999999776483,2002588.020000000018626,1998357.499999999767169,2089034.320000000298023,12849734.820000000298023
FS( 197 ),2230442.440000000409782,2240338.660000000149012,2298871.979999999515712,2007923.140000000130385,1989466.800000000046566,2091515.920000000158325,12858562.940000001341105
FS( 198 ),2214760.560000000521541,2242171.480000000447035,2314932.639999999664724,1967909.740000000223517,1980234.149999999906868,2106901.840000000782311,12826914.410000003874302
FS( 199 ),2194194.160000000149012,2265081.730000000447035,2529561.459999999962747,1947712.500000000000000,1988440.949999999953434,2187802.000000000000000,13112796.800000000745058
FS( 200 ),2185967.600000000558794,2246753.530000000260770,2460208.610000000335276,1912462.600000000093132,1969633.699999999953434,2210136.400000000372529,12985166.440000001341105
FS( 201 ),2206019.839999999850988,2248586.349999999627471,2460208.610000000335276,1939709.820000000065193,1994938.000000000000000,2218077.520000000484288,13067544.140000000596046
FS( 202 ),2204220.280000000260770,2255917.629999999888241,2486489.690000000409782,1929611.199999999953434,1983311.699999999953434,2225522.320000000298023,13085076.820000000298023
FS( 203 ),2216303.040000000037253,2275162.240000000223517,2539781.879999999888241,1952476.000000000000000,1998015.550000000046566,2225026.000000000000000,13206768.710000000894070
FS( 204 ),2211932.680000000633299,2344198.459999999962747,2518611.009999999776483,1947140.880000000121072,1987073.149999999906868,2227011.280000000260770,13235971.460000000894070
FS( 205 ),2231470.759999999776483,2342060.169999999925494,2500360.259999999776483,1947331.420000000158325,1990492.649999999906868,2203684.240000000223517,13215403.500000000000000
FS( 206 ),2216817.200000000186265,2336561.709999999962747,2500360.259999999776483,1945616.560000000055879,1988440.949999999953434,2208647.440000000409782,13196448.120000001043081
FS( 207 ),2240468.560000000521541,2335950.769999999552965,2498900.200000000186265,1945616.560000000055879,1982285.849999999860302,2182342.480000000447035,13185568.419999999925494
FS( 208 ),2216045.959999999962747,2325259.320000000298023,2495980.080000000074506,1942758.459999999962747,2003144.799999999813735,2178371.919999999925494,13161564.540000000968575
FS( 209 ),2242011.040000000037253,2283104.459999999962747,2507660.560000000521541,1949236.820000000065193,1986047.299999999813735,2162986.000000000000000,13131050.179999999701977
FS( 210 ),2207819.400000000372529,2221704.990000000223517,2474079.179999999701977,1907127.480000000214204,1940226.000000000000000,2142140.559999999590218,12893101.609999999403954
FS( 211 ),2194965.400000000372529,2217428.410000000149012,2463128.730000000447035,1903507.220000000204891,1942277.699999999953434,2127250.959999999962747,12848562.420000001788139
FS( 212 ),2242782.280000000260770,2248280.879999999888241,2485759.660000000149012,1908461.260000000009313,1951168.400000000139698,2152563.280000000260770,12989019.760000001639128
FS( 213 ),2230185.360000000335276,2222926.870000000111759,2395965.969999999739230,1901982.899999999906868,1915947.550000000046566,2138170.000000000000000,12805182.650000000372529
FS( 214 ),2226072.080000000074506,2240033.189999999478459,2398156.060000000521541,1918940.959999999962747,1912528.050000000046566,2121295.120000000111759,12817029.460000000894070
FS( 215 ),2198307.440000000409782,2232396.439999999478459,2385745.549999999813735,1904078.840000000316650,1902611.500000000000000,2145614.799999999813735,12768758.570000000298023
FS( 216 ),2232756.160000000149012,2274245.830000000074506,2379905.310000000521541,1925990.940000000176951,1933728.949999999953434,2144125.840000000782311,12890757.030000001192093
FS( 217 ),2249466.360000000335276,2253473.870000000111759,2410566.570000000298023,1927515.260000000009313,1937490.399999999906868,2144125.840000000782311,12922642.300000000745058
FS( 218 ),2242011.040000000037253,2253473.870000000111759,2418596.900000000372529,1917416.640000000130385,1950142.550000000046566,2160008.080000000074506,12941653.080000001937151
FS( 219 ),2252037.160000000149012,2283715.400000000372529,2489409.810000000521541,1938566.580000000074506,1978182.449999999953434,2187802.000000000000000,13129717.400000000372529
FS( 220 ),2278002.240000000223517,2267830.959999999962747,2477729.330000000074506,1943901.699999999953434,2009983.800000000046566,2197232.080000000074506,13174684.110000001266599
FS( 221 ),2295226.600000000558794,2262943.439999999478459,2494520.020000000484288,1927705.800000000046566,2004170.649999999906868,2223040.719999999739230,13207611.230000000447035
FS( 222 ),2312965.120000000111759,2300516.250000000000000,2512040.740000000223517,1956858.420000000158325,1997673.600000000093132,2238922.959999999962747,13318981.089999999850988
FS( 223 ),2316050.080000000074506,2309069.410000000149012,2506930.530000000260770,1961812.459999999962747,2014429.149999999906868,2249842.000000000000000,13358137.630000000819564
FS( 224 ),2309623.080000000074506,2318538.980000000447035,2518611.009999999776483,1966575.959999999962747,2033920.299999999813735,2230981.840000000782311,13378255.170000001788139
FS( 225 ),2323505.400000000372529,2308763.939999999478459,2566062.959999999962747,1985248.880000000121072,2012377.449999999953434,2244382.480000000447035,13440345.109999999403954
FS( 226 ),2326333.280000000260770,2310291.290000000037253,2550732.330000000074506,1964480.020000000018626,2023319.850000000093132,2240908.240000000223517,13416069.009999999776483
FS( 227 ),2323505.400000000372529,2311207.700000000186265,2541241.940000000409782,1966957.040000000270084,2042469.049999999813735,2241900.879999999888241,13427286.010000001639128
FS( 228 ),2314250.519999999552965,2309985.820000000298023,2540511.910000000149012,1970958.380000000121072,2058540.699999999953434,2233959.759999999776483,13428211.089999999850988
FS( 229 ),2323248.320000000298023,2333507.009999999776483,2539781.879999999888241,1966766.500000000000000,2061276.300000000046566,2227011.280000000260770,13451595.290000002831221
FS( 230 ),2319649.200000000186265,2333507.009999999776483,2529561.459999999962747,1961621.920000000158325,2051701.699999999953434,2227507.600000000558794,13423552.890000000596046
FS( 231 ),2310651.400000000372529,2329535.900000000372529,2549272.270000000484288,1976484.040000000270084,2055463.149999999906868,2254805.200000000186265,13476215.960000000894070
FS( 232 ),2334302.759999999776483,2329535.900000000372529,2523721.219999999739230,1969434.060000000055879,2044520.750000000000000,2237930.320000000298023,13439449.009999999776483
FS( 233 ),2337901.879999999888241,2344809.400000000372529,2523721.219999999739230,1977055.660000000149012,2068115.299999999813735,2231478.160000000149012,13483085.620000001043081
FS( 234 ),2317335.480000000447035,2361610.250000000000000,2548542.240000000223517,1978579.980000000214204,2054437.299999999813735,2246367.759999999776483,13506877.009999999776483
FS( 235 ),2337901.879999999888241,2383909.560000000521541,2555112.509999999776483,1989631.300000000046566,2092051.800000000046566,2278628.559999999590218,13637239.609999999403954
FS( 236 ),2328132.839999999850988,2362526.660000000149012,2579203.500000000000000,1982581.320000000065193,2087606.449999999953434,2306422.480000000447035,13646477.250000000000000
FS( 237 ),2303453.160000000149012,2325564.790000000037253,2548542.240000000223517,1977817.820000000065193,2070850.900000000139698,2320815.759999999776483,13547048.669999999925494
FS( 238 ),2301396.519999999552965,2321288.209999999962747,2556572.570000000298023,2000492.080000000074506,2077689.899999999906868,2324786.320000000298023,13582229.599999999627471
FS( 239 ),2312965.120000000111759,2300516.250000000000000,2556572.570000000298023,1992108.320000000065193,2055121.199999999953434,2332727.440000000409782,13550014.899999998509884
FS( 240 ),2305252.719999999739230,2291352.150000000372529,2527371.370000000111759,1992679.940000000176951,2036313.949999999953434,2317837.840000000782311,13470811.969999998807907
FS( 241 ),2315793.000000000000000,2307236.589999999850988,2521531.129999999888241,1995347.500000000000000,2035288.100000000093132,2295007.120000000111759,13470207.439999997615814
FS( 242 ),2320677.519999999552965,2326481.200000000186265,2550002.299999999813735,2017450.140000000130385,2051359.750000000000000,2320815.759999999776483,13586790.669999999925494
FS( 243 ),2322220.000000000000000,2355500.849999999627471,2553652.450000000186265,2023356.880000000121072,2047598.300000000046566,2308904.080000000074506,13611236.560000000521541
FS( 244 ),2322477.080000000074506,2331368.719999999739230,2567523.020000000484288,2045459.520000000018626,2062302.150000000139698,2316845.200000000186265,13645979.690000001341105
FS( 245 ),2326333.280000000260770,2326786.669999999925494,2541971.969999999739230,2057654.080000000074506,2068457.250000000000000,2358536.080000000074506,13679743.330000000074506
FS( 246 ),2295483.680000000633299,2299599.839999999850988,2533941.639999999664724,2055558.140000000130385,2071534.799999999813735,2335705.360000000335276,13591827.460000000894070
FS( 247 ),2270289.839999999850988,2296545.140000000596046,2512770.770000000484288,2047555.459999999962747,2061276.300000000046566,2310889.360000000335276,13499330.870000001043081
FS( 248 ),2299596.959999999962747,2328314.019999999552965,2536861.759999999776483,2070039.180000000167638,2064011.899999999906868,2336698.000000000000000,13635525.820000000298023
FS( 249 ),2264119.919999999925494,2311207.700000000186265,2492329.929999999701977,2040696.020000000018626,2039391.500000000000000,2285080.719999999739230,13432829.789999999105930
FS( 250 ),2281344.280000000260770,2330452.310000000521541,2501090.290000000037253,2040696.020000000018626,2030842.750000000000000,2303444.559999999590218,13487874.210000000894070
FS( 251 ),2283658.000000000000000,2323731.969999999739230,2547812.209999999962747,2030025.780000000260770,2031526.649999999906868,2304933.520000000484288,13521692.130000002682209
FS( 252 ),2288799.600000000558794,2281271.640000000596046,2541971.969999999739230,2030978.480000000214204,2027081.300000000046566,2300962.959999999962747,13471069.950000002980232
